   Ārya Saṃghāṭa Sūtra	Ārya SaMGAwa SUtra
   [SaSū 6] aṣṭābhiśca nāgarājasahasraiḥ tadyathā apalālena ca nāgarājñā /	[SaSU 6] azwABiH-ca nAga-rAja-sahasrEH tat-yaTA apalAlena ca nAga-rAjQA /
   elapatreṇa ca nāgarājñā / timiṅgilena ca nāgarājñā / kuṃbhasāreṇa ca	ela-patreNa ca nAga-rAjQA / timiFgilena ca nAga-rAjQA / kuMBasAreNa ca
   nāgarājñā / kuṃbhaśīrṣeṇa ca nāgarājñā / sunandena ca nāgarājñā /	nAga-rAjQA / kuMBaSIrzeNa ca nAga-rAjQA / sunandena ca nAga-rAjQA /
   suśākhena ca nāgarājñā / gavaśīrṣeṇa ca nāgārājñā /	su-SAKena ca nAga-rAjQA / gavaSIrzeNa ca nAgArAjQA /
   evaṃpramukhairaṣṭābhirnāgarājasahasrais	evaMpramuKEH-azwABiH-nAga-rAja-sahasrEH-
   [SaSū 7] te sarve yena rājagṛhaṃ mahānagaraṃ yena gṛddhrakūṭaḥ parvato	[SaSU 7] te sarve yena rAjagRham mahA-nagaram yena gRdDrakUwaH parvataH-
   yena ca bhagavāṃcchākyamunistathāgato 'rhan	yena ca BagavAn=-CAkya-muniH-taTAgataH arhan
   samyaksaṃbuddhastenopasaṃkrāmadupasaṃkramya bhagavataḥ pādau	samyaksaMbudDaH-tena-upasaMkrAmat-upasaMkramya BagavataH pAdO
   śirasābhivandya bhagavantaṃ triṣpradakṣiṇīkṛtya bhagavataḥ puratastasthire	SirasA-aBivandya Bagavantam trizpradakziNIkRtya BagavataH puratas-tasTire
   [SaSū 8] (etadavocan deśayatu bhagavāṃ dharmaṃ deśayatu sugataḥ dharmaṃ	[SaSU 8] (etat-avocan deSayatu BagavAm Darmam deSayatu sugataH Darmam
   yaṃ śrutvāsme kṣipramanuttarā samyaksaṃbodhimabhisaṃbuddhyema yena ca	yam SrutvA-asme kzipram-anuttarA samyaksaMboDim-aBisaMbudDyema yena ca
   sarvasattvānāṃ karmāvaraṇakṣayo bhaveyāt) bhagavāṃśca	sarva-sattvAnAm karma-AvaraNa-kzayaH Baveya-at) BagavAn=-ca
   tūṣṇībhāvenādhivāsayati sma /	tUzNIBAvena-aDivAsayati sma /
   [SaSū 9] atha khalu sarvaśūro bodhisattvo mahāsattvaḥ	[SaSU 9] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH
   utthāyāsanādekāṃsamuttarāsaṅgaṃ kṛtvā dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ	utTAya-AsanAt-eka-aMsam-uttarAsaFgam kRtvA dakziNam jAnu-maNxalam pRTivyAm
   pratiṣṭhāpya yena bhagavāṃstenāṃjaliṃ praṇamayya bhagavantametadavocat	pratizWApya yena BagavAn=-tena-aMjalim praNamayya Bagavantam-etat-avocat-
   [SaSū 10] bahvyo bhagavan devakoṭyopsarakanyākoṭyo bodhisattvakoṭyaḥ	[SaSU 10] bahvyaH Bagavan deva-kowyA-upsara-kanyA-kowyaH boDisattva-kowyaH
   bahvyo bhagavaṃcchrāvakakoṭyaḥ sannipatitāḥ sanniṣaṇṇā dharmaśravaṇāya /	bahvyaH Bagavan=-SrAvaka-kowyaH sannipatitAH sannizaNNAH Darma-SravaNAya /
   tatsādhu bhagavan teṣāṃ yathāsannipatitānāṃ (sanniṣaṇṇānāṃ) tathāgato	tat-sADu Bagavan tezAm yaTA-sannipatitAnAm (sannizaNNAnAM) taTAgataH-
   'rhan samyaksaṃbuddhastathārūpaṃ dharmanayapraveśaṃ deśayatu / yathaiṣāṃ	arhan samyaksaMbudDaH-taTArUpam Darma-naya-praveSam deSayatu / yaTA-ezAm
   syāddīrgharātramarthāya hitāya sukhāya devānāṃ ca manuṣyānāṃ ca	syAt-dIrGarAtram-arTAya hitAya suKAya devAnAm ca manuzyAnAm ca
   yathārūpeṇa dharmanayapraveśena deśitena vṛddhānāṃ sattvānāṃ saha	yaTArUpeNa Darma-naya-praveSena deSitena vRdDAnAm sattvAnAm saha
   śravaṇenaiva sarvakarmāvaraṇāni caiṣāṃ parikṣayaṃ gaccheyuḥ daharāśca	SravaNena-eva sarva-karma-AvaraNAni ca-ezAm parikzayam gacCeyuH daharAH-ca
   sattvāḥ kuśaleṣu dharmeṣvabhiyujyamānā viśeṣāmadhigaccheyurna hīyeranna	sattvAH kuSalezu Darmezu-aBiyujyamAnAH viSezAm-aDigacCeyuH-na hIyeranna
   parihīyeran kuśalairdharmaiḥ //	parihIyeran kuSalEH-DarmEH //
   [SaSū 11] evamukte bhagavān sarvaśūraṃ bodhisattvaṃ mahāsattvametadavocat	[SaSU 11] evam-ukte BagavAn sarva-SUram boDisattvam mahAsattvam-etat-avocat-
   - sādhu sādhu sarveśūra sādhu khalu punastvaṃ sarvaśūra yastvaṃ	 sADu sADu sarveSUra sADu Kalu punar-tvam sarva-SUra yaH-tvam
   tathāgatamarhantaṃ samyaksaṃbuddhametamarthaṃ paripraṣṭavyaṃ manyase /	taTAgatam-arhantam samyaksaMbudDam-etam-arTam pariprazwavyam manyase /
   tena hi tvaṃ sarvaśūra śṛṇu sādhu ca suṣṭhu ca manasikuru.................	tena hi tvam sarva-SUra SRNu sADu ca suzWu ca manasikuru.................
   te /	te /
   [SaSū 12] evaṃ bhagavanniti sarvaśūro bodhisattvo mahāsattvo bhagavataḥ	[SaSU 12] evam Bagavan=-iti sarva-SUraH boDisattvaH mahAsattvaH BagavataH
   pravyaśrauṣād /	pravyaSrOzAt /
   [SaSū 13] bhagavan asyaitadavocat asti sarvaśūra [(saddharmaparyāyo / yena	[SaSU 13] Bagavan asya-etat-avocat asti sarva-SUraH [(sat-Darma-paryAyaH / yena
   dharmaparyāyeṇa sarvasatvānāṃ paṃcānantaryāṇi karmāvaraṇani kṣayaṃ	Darma-paryAyeNa sarva-satvAnAm paMcAnantaryANi karma-AvaraNani kzayam
   ................... / tathānye ca karmāvaraṇāni kṣayaṃ gacchante / kṣipraṃ	................... / taTA-anye ca karma-AvaraNAni kzayam gacCante / kzipram
   cānuttarāṃ samyaksaṃbodhim abhisaṃbuddhayaṃteḥkataro bhagavaṃ	ca-anuttarAm samyaksaMboDim aBisaMbudDayaMteHkataraH Bagavam
   saddharmaparyāyaḥ	sadDarma-paryAyaH
   [SaSū 14] bhagavānāhaḥ) saṃghāṭo nāma dharmaparyāya / ya etarhi jambudvīpe	[SaSU 14] BagavAn-AhaH) saMGAwaH nAma Darma-paryAya / yaH etarhi jambudvIpe
   pracariṣyati / yaḥ kaścit sarvaśūremaṃ saṃghāṭaṃ dharmaparyāyaṃ śroṣyati /	pracarizyati / yaH kaScid sarva-SUra-imam saMGAwam Darma-paryAyam Srozyati /
   tasya pañcānantaryāṇi karmāṇi parikṣayaṃ yāsyanti / avaivartikāśca	tasya paQca-AnantaryANi karmANi parikzayam yAsyanti / avEvartikAH-ca
   bhaviṣyantyanuttarāyāṃ samyaksaṃbodhau /	Bavizyanti-anuttarAyAm samyaksaMboDO /
   [SaSū 15] tatkiṃ manyase sarvaśūra ya imaṃ saṃghāṭasūtraṃ dharmaparyāyaṃ	[SaSU 15] tat-kim manyase sarva-SUra yaH imam saMGAwa-sUtram Darma-paryAyam
   śroṣyati / yathaikasya tathāgatasya [satkāraṃ kṛtvā] puṇyaskandhastathā	Srozyati / yaTA-ekasya taTAgatasya [satkAram kRtvA] puNya-skanDaH-taTA
   tāvantaṃ puṇyaskandhaḥ sa sattva prasaviṣyatīti / naivaṃ sarvaśūra	tAvantam puNya-skanDaH sa sattva prasavizyati-iti / na-evam sarva-SUra
   draṣṭavyaṃ /	drazwavyam /
   [SaSū 16] sarvaśūro bodhisattva āha / yathā kathaṃ punarbhagavan	[SaSU 16] sarva-SUraH boDisattvaH Aha / yaTA kaTam punar-Bagavan
   draṣṭavyaṃ /	drazwavyam /
   bhagavānāha / yathā gaṃgānadībālukāsamānāṃ tathāgatānāṃ arhatāṃ	BagavAn-Aha / yaTA gaMgA-nadI-bAlukA-samAnAm taTAgatAnAm arhatAm
   samyaksaṃbuddhānāṃ (satkāraṃ kṛtvā) puṇyaskandhastāvantaṃ sarvaśūra te	samyaksaMbudDAnAm (satkAram kRtvA) puNya-skanDaH-tAvantam sarva-SUra te
   satvāḥ puṇyaskandhaṃ prasaviṣyanti / ye sarvaśūra imaṃ saṃghāṭaṃ	satvAH puNya-skanDam prasavizyanti / ye sarva-SUraH imam saMGAwam
   dharmaparyāyaṃ śroṣyanti te sarve avaivartikā bhaviṣyanti (anuttarasyāṃ	Darma-paryAyam Srozyanti te sarve avEvartikAH Bavizyanti (anuttarasyAm
   samyaksaṃbodheḥ) / sarve ca tathāgataṃ drakṣyanti / sarve ca	samyaksaMboDeH) / sarve ca taTAgatam drakzyanti / sarve ca
   tathāgatadarśāvino bhaviṣyanti / sarve cānuttarāṃ	taTAgata-darSAvinaH Bavizyanti / sarve ca-anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyante / adhṛṣyāśca bhaviṣyanti mārena pāpīmatā	samyaksaMboDim-aBisaMBotsyante / aDRzyAH-ca Bavizyanti mArena pApImatA
   / te ca sarve tadeva kuśaladharmamanuprāpsyanti / ye sarvaśūra imaṃ	/ te ca sarve tat-eva kuSala-Darmam-anuprApsyanti / ye sarva-SUraH imam
   saṃghāṭasūtraṃ śroṣyanti / te sarve utpādanirodhaṃ jñāsyanti /	saMGAwa-sUtram Srozyanti / te sarve utpAda-niroDam jQAsyanti /
   [SaSū 17] atha te sarve (yathāsannipatitā bodhisattvā mahāśrāvakā)	[SaSU 17] aTa te sarve (yaTA-sannipatitAH boDisattvAH mahA-SrAvakA)
   devanāgamanuṣyāpsarakanyākoṭyastena kālena tena samayenotthāyāsanebhyaḥ	deva-nAga-manuzya-apsara-kanyA-kowyaH-tena kAlena tena samayena-utTAya-AsaneByaH
   ekāṃsānyuttarāsaṃgāni kṛtvā dakṣiṇāni jānumaṇḍalāni pṛthivyāṃ pratiṣṭhāpya	eka-aMsAni-uttarAsaMgAni kRtvA dakziNAni jAnu-maNxalAni pRTivyAm pratizWApya
   yena bhagavāṃstenāṃjalayaḥ praṇamayya (te sarve) bhagavantaṃ paripṛcchanti	yena BagavAn=-tena-aMjalayaH praNamayya (te sarve) Bagavantam paripRcCanti
   sma / kiyantaṃ bhagavannekasya tathāgatasya (satkāraṃ kṛtvā) puṇyaskandhaḥ	sma / kiyantam Bagavan=-ekasya taTAgatasya (satkAram kRtvA) puNya-skanDaH
   [SaSū 18] bhagavān āha / śṛṇu kulaputrā; ekasya buddhasya puṇyaskandhasya	[SaSU 18] BagavAn Aha / SRNu kula-putrA; ekasya budDasya puNya-skanDasya
   pramāṇaṃ tadyathā mahāsamudre udakabindavaḥ yāvanto jaṃbudvīpe paramāṇavaḥ	pramANam tat-yaTA mahA-samudre udaka-bindavaH yAvantaH jaMbudvIpe paramANavaH
   yathā gaṃgānadībālikāsamāḥ sattvāste sarve daśabhūmipratiṣṭhitā	yaTA gaMgA-nadI-bAlikA-samAH sattvAH-te sarve daSa-BUmi-pratizWitA
   bodhisattvā bhaveyuḥ yacca teṣāṃ bodhisattvānāṃ puṇyaskandhamato bahutaraṃ	boDisattvAH BaveyuH yat-ca tezAm boDisattvAnAm puNya-skanDam-atas bahutaram
   puṇyaskandhamekasya buddhasya (puṇyaskandham) / ataśca te sarvaśūra sattvā	puNya-skanDam-ekasya budDasya (puNya-skanDam) / atas-ca te sarva-SUra sattvA
   bahutaraṃ puṇyaskandhaṃ prasaviṣyanti ya imaṃ saṃghāṭaṃ dharmaparyāyaṃ	bahutaram puNya-skanDam prasavizyanti yaH imam saMGAwam Darma-paryAyam
   śroṣyanti / yāvanna śakyaṃ gaṇanāyogena tasya puṇyaskandhasya	Srozyanti / yAvat-na Sakyam gaNanA-yogena tasya puNya-skanDasya
   paryantamadhigantuṃ / yasya sarvaśūra tasmin kāle tasmin samaye etad	paryantam-aDigantum / yasya sarva-SUra tasmin kAle tasmin samaye etat-
   vacanaṃ śrutvā mahānutsāho bhaviṣyati sa evamaprameyaṃ puṇyaskandhaṃ	vacanam SrutvA mahAn-utsAhaH Bavizyati saH evam-aprameyam puNya-skanDam
   prasaviṣyati /	prasavizyati /
   [SaSū 19] atha khalu sarvaśūro bodhisattvo mahāsattvo	[SaSU 19] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH-
   bhagavantametadavocat - katame te bhagavan sattvā ye dharmaparitṛṣitā	Bagavantam-etat-avocat  katame te Bagavan sattvAH ye Darma-paritRzitA
   bhaviṣyanti / evamukte bhagavān sarvaśūraṃ bodhisattvaṃ	Bavizyanti / evam-ukte BagavAn sarva-SUram boDisattvam
   mahāsattvametadavocat - dvāvimau sarvaśūra sattvau dharmaparitṛṣitau /	mahAsattvam-etat-avocat  dvO=-imO sarva-SUra sattvO Darma-paritRzitO /
   katamau dvau / yadutaikaḥ sarvaśūra sarvasattvasamacittaḥ dvitīyaḥ	katamO dvO / yat-uta-ekaH sarva-SUra sarva-sattva-sama-cittaH dvitIyaH
   sarvaśūra yo dharmaṃ śrutvā sarvasattvānāṃ samaṃ prakāśayati (imau dvau	sarva-SUra yaH Darmam SrutvA sarva-sattvAnAm samam prakASayati (imO dvO
   dharmaparitṛṣitau) /	Darma-paritRzitO) /
   [SaSū 20] sarvaśūro bodhisattva āha - katamaṃ bhagavan dharmaṃ śrutvā	[SaSU 20] sarva-SUraH boDisattvaH Aha  katamam Bagavan Darmam SrutvA
   sarvasattvānāṃ samaprakāśanā; bhagavān āha - ekaḥ sarvaśūra dharmaṃ śrutvā	sarva-sattvAnAm sama-prakASanA; BagavAn Aha  ekaH sarva-SUra Darmam SrutvA
   bodhāya pariṇāmayaṃti / yadā ca bodhāya pariṇāmayati tadā sarvasattvā	boDAya pariNAmayaMti / yadA ca boDAya pariNAmayati tadA sarva-sattvA
   dharmaparitṛṣitā bhaviṣyanti / dvitīyassarvaśūra yo mahāyānamavagāhayati	Darma-paritRzitAH Bavizyanti / dvitIyassarva-SUra yaH mahAyAnam-avagAhayati
   sa nityaṃ dharmaparitṛṣito bhavat /	sa nityam Darma-paritRzitaH Bavat /
   [SaSū 21] atha te devanāgamanuṣyāpsarasakoṭya utthāyāsanād bhagavataḥ	[SaSU 21] aTa te deva-nAga-manuzya-apsarasa-kowyaH utTAya-AsanAt BagavataH
   purataḥ prāṃjalayo bhūtvā bhagavantametadavocan vayaṃ bhagavan	puratas prAMjalayaH BUtvA Bagavantam-etat-avocan vayam Bagavan
   dharmaparitṛṣitāḥ paripūrayatu bhagavān asmākaṃ sarvasattvānāṃ cāśā /	Darma-paritRzitAH paripUrayatu BagavAn asmAkam sarva-sattvAnAm ca-ASAH /
   [SaSū 22] atha khalu bhagavāṃstasyāṃ velāyāṃ smitaṃ prāduṣcakāraḥ atha	[SaSU 22] aTa Kalu BagavAn=-tasyAm velAyAm smitam prAduzcakAraH aTa
   khalu sarvaśūro bodhisattvo mahāsattva utthāyāsanādyena	Kalu sarva-SUraH boDisattvaH mahAsattvaH utTAya-Asana-At-yena
   bhagavāṃstenāṃjaliṃ praṇamayya bhagavantametadavocat - ko bhagavan hetuḥ	BagavAn=-tena-aMjalim praNamayya Bagavantam-etat-avocat  kaH Bagavan hetuH
   kaḥ pratyayaḥ smitasya prāduṣkaraṇāya /	kaH pratyayaH smitasya prAduzkaraNAya /
   [SaSū 23] atha khalu bhagavān sarvaśūraṃ bodhisattvaṃ mahāsattvaṃ	[SaSU 23] aTa Kalu BagavAn sarva-SUram boDisattvam mahAsattvam
   āmantrayāmāsa / ye sarvaśūra sattvā ihāgatvā te sarve anuttarāṃ	AmantrayAmAsa / ye sarva-SUra sattvAH iha-AgatvA te sarve anuttarAm
   samyaksaṃbodhimabhisaṃbuddhyante / sarve te tathāgatagocarapariniṣpattaye	samyaksaMboDim-aBisaMbudDi-ante / sarve te taTAgata-gocara-parinizpattaye
   pariniṣpadyante /	parinizpadyante /
   [SaSū 24] sarvaśūro bodhisattva āha - ko bhagavan hetuḥ kaḥ pratyayaḥ	[SaSU 24] sarva-SUraH boDisattvaH Aha  kaH Bagavan hetuH kaH pratyayaH
   yadete sattvā ihagatvānuttarāṃ samyaksaṃbodhimabhisaṃbuddhyante	yat-ete sattvAH ihagatvA-anuttarAm samyaksaMboDim-aBisaMbudDi-ante
   bhagavānāha - sādhu sādhu sarvaśūra yastvaṃ tathāgatametamarthaṃ	BagavAn-Aha  sADu sADu sarva-SUra yaH-tvam taTAgatam-etam-arTam
   paripraṣṭavyaṃ manyase / tena hi sarvaśūra śṛṇu / iha sarvaśura	pariprazwavyam manyase / tena hi sarva-SUra SRNu / iha sarva-Sura
   pariṇāmanaviśeṣo draṣṭavyaḥ /	pariNAmana-viSezaH drazwavyaH /
   [SaSū 25] bhūtapūrvaṃ sarvaśūrātīte 'dhvanyasaṃkhyeyaiḥ kalpairyadāpi tena	[SaSU 25] BUta-pUrvam sarva-SUra-atIte aDvani-asaMKyeyEH kalpEH-yadA-api tena
   kālena tena samayena ratnaśrīrnāma tathāgato 'rhan samyaksaṃbuddho loko	kAlena tena samayena ratnaSrIH-nAma taTAgataH arhan samyaksaMbudDaH lokaH-
   udapādi vidyācaraṇasaṃpannaḥ sugato lokavidanuttaraḥ puruṣadamyasārathiḥ	udapAdi vidyA-caraNa-saMpannaH sugataH loka-vid-anuttaraH puruza-damya-sAraTiH
   śāstā devānāṃ ca manuṣyāṇāṃ ca buddho bhagavān /	SAstA devAnAm ca manuzyANAm ca budDaH BagavAn /
   [SaSū 26] tena khalu punaḥ sarvaśūra kālenāhaṃ māṇāvako bhūvan ye sattvāḥ	[SaSU 26] tena Kalu punar sarva-SUra kAlena-aham mANAvakaH BUvan ye sattvAH
   sāṃprataṃ mayā buddhajñāne pratiṣṭhapitāste sarve tena kālena tena	sAMpratam mayA budDa-jQAne pratizWapitAH-te sarve tena kAlena tena
   samayena mṛgā abhūvan tena ca kālena tena samayenāhamevaṃ	samayena mRgAH aBUvan tena ca kAlena tena samayena-aham-evam
   praṇidhānamakārṣīd ye kecin mṛgāḥ sāṃprataṃ duḥkhena paripīḍitāḥ ete sarve	praNiDAnam-akArzIt ye kecid mRgAH sAMpratam duHKena paripIxitAH ete sarve
   mama buddhakṣetra upapadyeran sarvāṃśca tānahaṃ buddhajñāne	mama budDa-kzetre upapadyeran sarvAn=-ca tAn-aham budDa-jQAne
   pratiṣṭhāpayeyaṃ te ca mṛgāstadvacanaṃ śrutvā evaṃ vācamabhāṣanta - evaṃ	pratizWApayeyam te ca mRgAH-tad-vacanam SrutvA evam vAcam-aBAzanta  evam
   bhavatu; tena sarvaśūra kuśalamūlenaite sattvā ihagatvānuttarāṃ	Bavatu; tena sarva-SUra kuSala-mUlena-ete sattvAH ihagatvA-anuttarAm
   samyaksaṃbodhimabhisaṃbhotsyante //	samyaksaMboDim-aBisaMBotsyante //
   [SaSū 27] atha khalu sarvaśuro bodhisattvo mahāsattvo bhagavato	[SaSU 27] aTa Kalu sarva-SuraH boDisattvaH mahAsattvaH BagavataH-
   'ntikāttadutsāhaṃ śrutvā bhagavantametadavocat - kiyantaṃ bhagavaṃsteṣāṃ	antikAt-tad-utsAham SrutvA Bagavantam-etat-avocat  kiyantam Bagavan=-tezAm
   sattvānāṃ āyuṣpramāṇaṃ bhaviṣyati / bhagavān āha / caturaśītiḥ	sattvAnAm AyuzpramANam Bavizyati / BagavAn Aha / caturaSItiH
   kalpasahasrāṇi teṣāṃ sattvānāmāyuṣpramāṇaṃ bhaviṣyati /	kalpa-sahasrANi tezAm sattvAnAm-AyuzpramANam Bavizyati /
   [SaSū 28] sarvaśūro bodhisattva āha - kiyantaṃ bhagavan kalpasya pramāṇaṃ	[SaSU 28] sarva-SUraH boDisattvaH Aha  kiyantam Bagavan kalpasya pramANam
   / bhagavān āha - śṛṇu kulaputra / tadyathāpi nāma sarvaśūra kaścideva	/ BagavAn Aha  SRNu kula-putra / tat-yaTA-api nAma sarva-SUra kaScid-eva
   puruṣo nagaraṃ kārayeddvādaśayojanāyāmavistāraṃ ūrdhvena trīṇi yojanāni	puruzaH nagaram kArayet-dvAdaSa-yojana-AyAma-vistAram UrDvena trINi yojanAni
   pramāṇaṃ / tacca nagaraṃ tilaphalakaiḥ paripūrṇaṃ kuryāt (sa ca puruṣa	pramANam / tat-ca nagaram tila-PalakEH paripUrNam kuryAt (sa ca puruza
   śirajīvī syāt) atha sa puruṣo varṣaśatasyātyayāttatastilaphalakaiḥ	SirajIvI syAt) aTa sa puruzaH varza-Satasya-atyayAt-tatas-tila-PalakEH
   paripūrṇānnagarād ekaṃ tilaphalakaṃ bahirnikṣipedanena paryāyeṇa sa	paripUrNAt-nagarAt ekam tila-Palakam bahis-nikzipet-anena paryAyeNa sa
   puruṣaḥ sarvāṇi tāni tilaphalakāni kṣayaṃ kuryāt paryavadānaṃ kuryāt tacca	puruzaH sarvANi tAni tila-PalakAni kzayam kuryAt paryavadAnam kuryAt tat-ca
   nagaramamūlamapratiṣṭhānāṃ bhavenna cādyāpi ca kalpaṃ kṣīyeta //	nagaram-amUlam-apratizWAnAm Bavet-na ca-adya-api ca kalpam kzIyeta //
   [SaSū 29] punaraparaṃ sarvaśūra (aparāṃ te upamā kariṣyāmyasyaivārthasya	[SaSU 29] punar-aparam sarva-SUra (aparAm te upamA karizyAmi-asya-eva-arTasya
   prasiddhaye /) tadyathāpi nāma parvato bhavet paṃcaviṃśad yojanāni	prasidDaye /) tat-yaTA-api nAma parvataH Bavet paMcaviMSat yojanAni
   pramāṇena dvādaśa yojanānyūrdhvena / atha kaścideva puruṣastasya	pramANena dvAdaSa yojanAni-UrDvena / aTa kaScid-eva puruzaH-tasya
   parvatasya pārśve gṛhaṃ kārayet sa dīrghasyādhvano varṣaśatasyātyayena	parvatasya pArSve gRham kArayet sa dIrGasya-aDvanaH varza-Satasya-atyayena
   kāśikena vastreṇaikavārā parimārjayedevaṃ kṛtvā tasya parvatasya kṣayo	kASikena vastreNa-eka-vArA parimArjayet-evam kRtvA tasya parvatasya kzayaH-
   bhavenna ca kalpaṃ kṣīyeta / etatsarvaśūra kalpasya pramāṇaṃ /	Bavet-na ca kalpam kzIyeta / etat-sarva-SUra kalpasya pramANam /
   [SaSū 30] atha khalu sarvaśūro bodhisattvo mahāsattva utthāyāsanād	[SaSU 30] aTa Kalu sarva-SUraH boDisattvaH mahAsattvaH utTAya-AsanAt-
