   atha śrīvātūlanāthasūtrāṇi	aTa SrI-vAtUla-nATa-sUtrANi
   anu paramarahasyopabṛṃhitatrayodaśakathāsākātkāradṛśā	anu parama-rahasya-upabRMhita-trayodaSa-kaTAsAkAtkAra-dRSA
   kramākramāstināstitathyātathyabhedābhedasavikalpanirvikalpabhavanirvāṇakalaṅkojjhitaṃ	kramAkramAstina-asti-taTyA-taTya-Beda-aBedasa-vikalpa-nirvikalpa-Bava-nirvANa-kalaFka-ujJitam
   kim apy anavakāśaṃ paraṃ tattvaṃ sūtramukhenādiśanti	kim api anavakASam param tattvam sUtra-muKena-AdiSanti
   yatredam ādisūtram	yatra-idam Adi-sUtram
   VaSu1: mahāsāhasavṛttyā svarūpalābhaḥ //	VaSu1: mahA-sAhasa-vRttyA sva-rUpa-lABaH //
   atitīvrātitīvrataraviśṛṅkhalaśaktipātāghrātasya svasvarūpasamāviṣṭasya	ati-tIvra-atitIvratara-viSRFKala-SaktipAta-AGrAtasya sva-svarUpa-samAvizwasya
   kasya cit kva cit kadā cid akasmād eva "*mahāsāhasavṛttyā*"	kasya cit kva cit kadA cit akasmAt eva "*-mahA-sAhasa-vRttyA*"
   ghasmaramahāghanataraparanādollāsasphāreṇa	Gasmara-mahA-Ganatara-para-nAda-ullAsa-sPAreNa
   savikalpanirvikalpātmakasamastasaṃvinnivahaghaṭṭanān	sa-vikalpa-nirvikalpa-Atmaka-samasta-saMvid-nivaha-GawwanAn
   nirāvaraṇamahāśūnyatāsamāveśaniṣṭhayā "*svarūpalābhaḥ*"	nirAvaraNa-mahA-SUnyatA-samAveSa-nizWayA "*svarUpa-lABaH*"
   samastakalpanottīrṇatvād	samasta-kalpanA-uttIrNa-tvAt-
   akṛtakaniravakāśaniruttaranistaraṅganiravadhinirniketāsparśasaṃvitprāptir	akRtaka-niravakASa-niruttara-nistaraFga-niravaDi-nirniketA-sparSa-saMvid-prAptiH-
   bhavati iti rahasyārthaḥ / mahāsāhasavṛttyānupraveśaś ca	Bavati iti rahasya-arTaH / mahA-sAhasa-vRttyA-anupraveSaH ca
   vakṣyamāṇakathitakrameṇādhigantavyaḥ //	vakzyamANa-kaTita-krameNa-aDigantavyaH //
   jhaṭiti	Jawiti
   sarvollaṅghanakrameṇāniketasvarūpaprāptisākṣātkāramahāsāhasacarcāsaṃpradāyaṃ	sarva-ullaFGana-krameNa-aniketa-svarUpa-prApti-sAkzAtkAra-mahA-sAhasa-carcA-saMpradAyam
   nirūpya, idānīṃ tatraiva sarvavṛttimahāsāmarasyam ekakāle pracakṣate	nirUpya, idAnIm tatra-eva sarva-vRtti-mahA-sAmarasyam eka-kAle pracakzate
   VaSu2: tallābhācchuritā [yud?]yugapadvṛttipravṛttiḥ	VaSu2: tad-lABAt-CuritA [yud?]-yugapad-vRtti-pravRttiH
   vṛttīnāṃ dṛgādimarīcirūpāṇāṃ tathā rāgadveṣādyunmeṣavatīnāṃ "*yugapat*"	vRttInAm dRS-Adi-marIci-rUpANAm taTA rAga-dveza-Adi-unmezavatInAm "*yugapat*"
   tulyakālaṃ kramaparipāṭyullaṅghanenākramapravṛttyā "*tallābhācchuritā*"	tulya-kAlam krama-paripAwI-ullaFGanena-Akrama-pravRttyA "*tad-lABa-At-CuritA*"
   tat tena prāguktamahāsāhasadaśāsamāveśakramaprāpyeṇa svarūpalābhena	tat tena prAc-ukta-mahA-sAhasa-daSA-samAveSa-krama-prApyeNa sva-rUpa-lABena
   kālākālakalpanottīrṇālaṃgrāsavapuṣā mahānirīheṇācchuritā spṛṣtā	kAla-akAla-kalpanA-uttIrNa-alaMgrAsa-vapuzA mahAnirIheNa-AcCuritA spRztA
   svasvarūpatāṃ nītāḷ"*pravṛttir*" prakarṣeṇa vartamānā vṛttir satatam	sva-svarUpa-tAm nIta-a?"*-pravRttiH-*" prakarzeNa vartamAnA vRttiH satatam
   acyutatayā tatsamāveśāvasthānam ity arthaḥ / ity anayoktibhaṅgyā	acyuta-tayA tad-samAveSa-avasTAnam iti arTaH / iti anayA-ukti-BaFgyA
   sarvavṛttīnāṃ samanantaram eva sarvottīrṇamahāśūnyatādhāmni dhāmarūpe	sarva-vRttInAm samanantaram eva sarva-uttIrNa-mahA-SUnyatA-DAmni DAma-rUpe
   tanmayatayā parasparavibhedavigalanenodayapadavyām eva satatam avasthitir	tad-maya-tayA paraspara-viBeda-vigalanena-udaya-padavyAm eva satatam avasTitiH-
   sthitetyarthaḥ //	sTitA-iti-arTaH //
   ityanayoktibhaṅgyā tulyakālakathanopadeśam uktvedānīṃ pustakakathāṃ	iti-anayA-ukti-BaFgyA tulya-kAla-kaTana-upadeSam uktvA-idAnIm pustaka-kaTAm
   nirūpayanti	nirUpayanti
   VaSu3: ubhayapaṭṭodghaṭṭanān mahāśūnyatāpraveśaḥ	VaSu3: uBaya-pawwa-udGawwanAt mahA-SUnyatA-praveSaH
   śrīmanniṣkriyānandanāthānugrahasamaye śrīgandhamādanasiddhapādair	SrImat-nizkriya-Ananda-nATa-anugraha-samaye SrI-ganDamAdana-sidDa-pAdEH-
   akṛtakapustakapradarśanena yā parapade prāptir upadiṣṭā saiva vitatya	akRtaka-pustaka-pradarSanena yA para-pade prAptiH upadizwA sA-eva vitatya
   nirūpyate / saptarandhrakramoditasaptaśikhollāsātmakaḥ prāṇapravāhodayaḥ	nirUpyate / sapta-ranDra-krama-udita-sapta-SiKA-ullAsa-AtmakaH prANa-pravAha-udayaH
   saivordhvapaṭṭakaḥ pūrṇavṛttyudayaḥ,	sA-eva-UrDva-pawwakaH pUrNa-vRtti-udayaH,
   randhradvayasuṣiranālikāpravāhaprasṛto 'pānarūpo 'dhaḥpaṭṭakaḥ	ranDra-dvaya-suzira-nAlikA-pravAha-prasRtaH apAna-rUpaH aDas-pawwakaH
   pañcendriyaśaktiveṣṭitaḥ pañcaphaṇadharmānibandhako 'dhaḥsthitaḥ / tasya	paQca-indriya-Sakti-vezwitaH paQca-PaNa-DarmA-nibanDakaH aDas-sTitaH / tasya
   valayadvayaṃ jāgratsvapnātmakam unmudrya granthinibandhanam apahṛtya	valaya-dvayam jAgrat-svapna-Atmakam unmudrya granTi-nibanDanam apahRtya
   "*ubhayapaṭṭodghaṭṭanāt*" prāṇāpānadvayavidāraṇān madhyavartī yaḥ	"*uBaya-pawwa-udGawwanAt*" prANa-apAna-dvaya-vidAraNAt maDya-vartI yaH
   prāṇarūpo mahāśūnyatāsvabhāvaḥ kulākulavikalpadaśojjhito	prANa-rUpaH mahA-SUnyatA-svaBAvaH kula-Akula-vikalpa-daSA-ujJitaH-
   'vyapadeśyamahānirāvaraṇaniratyayavedyavedakanirmukto	avyapadeSya-mahA-nirAvaraNa-niratyaya-vedya-vedaka-nirmuktaH-
   varṇāvarṇanivarṇottīrṇaḥ sparśāsparśaprathāparivarjitopacārāt	varNa-avarNa-nivarNa-uttIrNaH sparSa-asparSa-praTA-parivarjita-upacArAt
   paramākāśādyabhidhānaiḥ	parama-AkASa-Adi-aBiDAnEH
   abhidhīyate / tatra "*praveśaḥ*" tatsamāveśatayā sāmarasyāvasthitir saiva	aBiDIyate / tatra "*praveSaH*" tad-samAveSa-tayA sa-amarasya-avasTitiH sA-eva
   prāptamahopadeśanāmāvirbhavatītyarthaḥ //	prApta-mahA-upadeSa-nAm-AvirBavati-iti-arTaH //
   itthaṃ mahānayoktadṛśā sarvaśāstraprapañcottīrṇātvād avācyaṃ kim api	itTam mahAnayA-ukta-dRSA sarva-SAstra-prapaQca-uttIrNAtvAt avAcyam kim api
   mahopadeśasākṣātkāram ubhayapaṭṭakākārasadasadrūpadvayanivāraṇena	mahA-upadeSa-sAkzAtkAram uBaya-pawwaka-AkAra-sat-asat-rUpa-dvaya-nivAraNena
   nistaraṅgaparavyomasamāveśavivarjitam āsūtritamahāśūnyatāsamāveśam āvedya,	nistaraFga-para-vyoma-samAveSa-vivarjitam AsUtrita-mahA-SUnyatA-samAveSam Avedya,
   idānīṃ yugmopasaṃhārāt kaivalyaphalaṃ tanmayatopavarṇyate	idAnIm yugma-upasaMhArAt kEvalya-Palam tat-mayatA-upavarNyate
   VaSu4: yugmagrāsān niravakāśasaṃvinniṣṭhā //	VaSu4: yugma-grAsAt niravakASa-saMvid-nizWA //
   pṛthivyādimahābhūtapañcakasyaikaikasmin grāhyagrāhakatayā "*yugma*"	pRTivI-Adi-mahABUta-paQcakasya-ekEkasmin grAhya-grAhaka-tayA "*yugma*"
   vṛttyudayasaṃvyavasthitiḥ / tatra gandhaprādhānyād dharātattvasya	vRtti-udaya-saMvyavasTitiH / tatra ganDa-prADAnyAt DarA-tattvasya
   pāyughrāṇarūpeṇa dviprakāratā / aptattvasya ca	pAyu-GrANa-rUpeNa dvi-prakAra-tA / ap-tattvasya ca
   rasapradhānatayopastharasanārūpeṇadvaividhyam / tejastattvasya	rasa-praDAna-tayA-upasTa-rasanA-rUpeNa-dvEviDyam / tejaH-tattvasya
   rūpaprādhānyāt pādanetrabhedena dvayarūpatā / vāyutattvasya	rUpa-prADAnyAt pAda-netra-Bedena dvaya-rUpa-tA / vAyu-tattvasya
   sparśaprādhānyāt tvakpāṇisvabhāvato dvidhā gatiḥ / ākāśatattvasya	sparSa-prADAnyAt tvac-pANi-svaBAvataH dviDA gatiH / AkASa-tattvasya
   śabdaprādhānyād vākśrotrabhedena dviprakāratayaiva bahudhātvam / athavā	Sabda-prADAnyAt vAc-Srotra-Bedena dvi-prakAra-tayA-eva bahuDA-tvam / aTavA
   pṛthivyapsvarūpau bhogyasvarūpāvasthitau / tejovāyvākhyau bhoktṛsvabhāvau	pRTivI-ap-svarUpO Bogya-svarUpa-avasTitO / tejaH-vAyu-AKyO BoktR-svaBAvO
   saṃsthitau / ākāśaṃ caitad yugmāntarasthaṃ satsuṣiratayā	saMsTitO / AkASam ca-etat yugma-antara-sTam sat-suzira-tayA
   sarvapranāḍikāntaroditaṃ ca bahudhā vibhaktam / pṛthivyādivāyvantaṃ	sarva-pranAxikA-antara-uditam ca bahuDA viBaktam / pRTivI-Adi-vAyu-antam
   bhūtacatuṣṭayaṃ bhogyarūpam ākāśaṃ ca bhoktṛsvabhāvam iti vā / bhogye 'pi	BUta-catuzwayam Bogya-rUpam AkASam ca BoktR-svaBAvam iti vA / Bogye api
   bhoktā sadaiva tiṣṭhati; bhoktary api bhogaḥ	BoktA sadA-eva tizWati; Boktari api BogaH
   nityaṃ vibhāti / evamuktayuktyā pratyekaṃ pṛthivyādimahābhūtapañcakaṃ	nityam viBAti / evam-ukta-yuktyA pratyekam pRTivI-Adi-mahABUta-paQcakam
   yugmena dvayavibhūtyānārataṃ prollasatītyabhiprāyaḥ / athavā pratyekaṃ	yugmena dvaya-viBUti-AnA-ratam prollasati-iti-aBiprAyaH / aTavA pratyekam
   vyaktāvyaktatayā bahirantaratayā śāntodriktatayā vā vibhāti / etat	vyakta-avyakta-tayA bahis-antaratayA SAnta-udrikta-tayA vA viBAti / etat-
   pañcakasthānasaṃthitayugmasya ``grāsāt'' saṃharaṇat	paQcaka-sTAna-saMTita-yugmasya ``grAsAt-aa saMharaNat-
   ``niravakāśasaṃvinniṣṭhā'' niravakāśā yeyaṃ saṃvit tasyā niṣṭhā	``niravakASa-saMvid-nizWA-aa niravakASAH yA-iyam saMvid tasyAH nizWA
   samyagaviparyastatayā saṃthitiḥ / niravakāśasaṃvittvena nāpi	samyak-aviparyasta-tayA saMTitiH / niravakASa-saMvid-tvena na-api
   savikalpasaṃvidunmeṣair avakāśo labhyate, nāpi nirvikalpasaṃvitsvabhāvena	sa-vikalpa-saMvid-unmezEH avakASaH laByate, na-api nirvikalpa-saMvid-svaBAvena
   praveśo 'dhigamyate / ittham aprameyatvān niruttaraparamādvayasvabhāvatvāc	praveSaH aDigamyate / itTam aprameya-tvAt niruttara-parama-advaya-svaBAva-tvAt-
   ca niravakāśasaṃvid ihocyate / tasyā niṣṭhā varagurupradarśitadṛśā satatam	ca niravakASa-saMvid iha-ucyate / tasyAH nizWA vara-guru-pradarSita-dRSA satatam
   ucyatā gatir keṣāṃcid bhavatīty arthaḥ / evaṃ	ucyatA gatiH kezAMcid Bavati-iti arTaH / evam
   dvayātmakakulakaulakavalanena nirupādhinīrūpaniḥsvarūpatādātmyaṃ bhavatīty	dvaya-Atmaka-kula-kOla-kavalanena nirupADi-nI-rUpa-niHsvarUpa-tAdAtmyam Bavati-iti-
   arthaḥ //4//	arTaH //4//
   dvayavigalanena paratattvāvasthitiṃ yugmacarcāgamanikayehoktvā, tad anu	dvaya-vigalanena para-tattva-avasTitim yugma-carcA-gama-nikayeha-uktvA, tat anu
   saṃghaṭṭakathāsākṣātkāro nirūpyate	saMGawwa-kaTA-sAkzAtkAraH nirUpyate
   VaSu5: siddhayoginīsaṃghaṭṭān mahāmelāpodayaḥ	VaSu5: sidDa-yoginI-saMGawwAn mahAmelApa-udayaH
   siddhā ca yoginyaś ca tā siddhayoginyo viṣayakaraṇeśvarīrūpā / tāsāṃ	sidDA ca yoginyaH ca tA sidDa-yoginyaH vizaya-karaNa-ISvarI-rUpAH / tAsAm
   saṃghaṭṭaḥ saṃgamo grāhyagrāhakobhayasaṃśleṣaḥ	saMGawwaH saMgamaH grAhya-grAhaka-uBaya-saMSlezaH
   parasparāgūraṇakrameṇāliṅganam / tenāliṅganena sadaiva ``mahāmelāpodayaḥ''	paraspara-AgUraNa-krameNa-AliFganam / tena-AliFganena sadA-eva ``-mahAmelApa-udayaH-aa
   mahāmelāpasyāhaṃtedaṃtātmakadvayavigalanān niruttaracidvyomni satataṃ	mahAmelApasya-ahaMtedaMtA-Atmaka-dvaya-vigalanAt niruttara-cit-vyomni satatam
   mahāsāmarasyātmakasya sarvatra pratyakṣatayodayaḥ samullāso bhavatīty	mahA-sAmarasya-Atmakasya sarvatra pratyakzatayA-udayaH samullAsaH Bavati-iti-
   arthaḥ / vedyavedakadvayāprathanapravṛttyā paramādvayasamāveśaḥ	arTaH / vedya-vedaka-dvaya-apraTana-pravRttyA parama-advaya-samAveSaH
   sarvatrāvasthitety uktaṃ bhavati //5//	sarvatra-avasTitA-iti uktam Bavati //5//
   ubhayavigalanena sadaiva mahāmelāpodayam uktvā, tad anu	uBaya-vigalanena sadA-eva mahAmelApa-udayam uktvA, tat anu
   kañcukatrayollaṅghanena niruttarapadaprāptiṃ kaṭākṣayanti	kaQcuka-traya-ullaFGanena niruttara-pada-prAptim kawAkzayanti
   VaSu6: trikañcukaparityāgān nirākhyapadāvasthitiḥ	VaSu6: tri-kaQcuka-parityAgAt nirAKya-pada-avasTitiH
   trikañcukasya bhāvikabhautikaśūnyabhedabhinnasya / tatra bhāvikaṃ	tri-kaQcukasya BAvika-BOtika-SUnya-Beda-Binnasya / tatra BAvikam
   śabdādyahaṃkāraparyantaṃ tanmātrarūpaṃ, bhautikaṃ pṛthivyādirūpaṃ, śūnyaṃ	Sabda-Adi-ahaMkAra-paryantam tanmAtra-rUpaM, BOtikam pRTivI-Adi-rUpaM, SUnyam
   nirīhākhyaṃ vāsanāsvarūpaṃ ca / athavā bhāvikaṃ ghaṭākāraṃ bāhyaṃ	nirIha-AKyam vAsanA-svarUpam ca / aTavA BAvikam Gawa-AkAram bAhyam
   grāhyaviṣayarūpaṃ, bhautikaṃ puno'antaram indriyātmakaṃ grahaṇarūpam,	grAhya-vizaya-rUpaM, BOtikam punaH-aantaram indriya-Atmakam grahaNa-rUpam,
   śūnyaṃ tadubhayamadhyamākāśam / athavā bhāvikaṃ svapnāvasthā sṛṣṭir	SUnyam tad-uBaya-maDyam-a-AkASam / aTavA BAvikam svapna-avasTA sRzwiH-
   ucyate, bhautikaṃ jāgratprathā sthitir nigadyate, śūnyaṃ suṣuptadaśā	ucyate, BOtikam jAgrat-praTA sTitiH nigadyate, SUnyam suzupta-daSA
   saṃhāro 'bhidhīyate / itthaṃsaṃsthitasya trikañcukasya ``parityāgāt''	saMhAraH aBiDIyate / itTaMsaMsTitasya tri-kaQcukasya ``-parityAgAt-aa
   sannyāsāt ``nirākhyapadāvasthitir''nirgatākhyābhidhānaṃ yasyāsau nirākhyo	sannyAsAt ``nirAKya-pada-avasTitir-aanirgata-AKya-aBiDAnam yasya-asO nirAKyaH-
   'vyapadeśyam anuttaraṃ vāguttīrṇaṃ paraṃ dhāma, tasmin	avyapadeSyam anuttaram vAc-uttIrNam param DAma, tasmin
   sarvottīrṇāniketanaparamākāśe 'vasthitir sadaivāparicyutasvabhāvaniṣṭhā	sarva-uttIrNA-niketana-parama-AkASe avasTitiH sadA-eva-aparicyuta-svaBAva-nizWA
   bhavatīti saṃbandhaḥ //6//	Bavati-iti saMbanDaH //6//
   itthaṃ kañcukatrayollaṅghanena turyapadaprāptiṃ nirūpya, idānīṃ	itTam kaQcuka-traya-ullaFGanena turya-pada-prAptim nirUpya, idAnIm
   sarvavākprathāsu nirāvaraṇāsu svarabhūtivijṛmbhaiva prathate sadaiva, iti	sarva-vAc-praTAsu nirAvaraNAsu svara-BUti-vijRmBA-eva praTate sadA-eva, iti
   nirūpayanti	nirUpayanti
   VaSu7: vākcatuṣṭayodayavirāmaprathāsu svaraḥ prathate	VaSu7: vAc-catuzwaya-udaya-virAma-praTAsu svaraH praTate
   ādau tāvad vākcatuṣṭayaṃ nirṇīyate /	AdO tAvat vAc-catuzwayam nirNIyate /
   nirāvaraṇaniravakāśodayaniruttaranistaraṅgaparamanabhasy	nirAvaraNa-niravakASa-udaya-niruttara-nistaraFga-parama-naBasy
   ucchalatkimciccalanātmakaprathamaspandavikāsasvabhāvā varṇaracanāṃ	ucCalat-kimcid-calana-Atmaka-praTama-spanda-vikAsa-svaBAvAH varNa-racanAm
   māyūrāṇḍarasanyāyenādvayamahāsāmarasyatayāntodhārayantī pareti prathitā /	mAyUrANxa-rasa-nyAyena-advaya-mahA-sAmarasya-tayA-antoDArayantI parA-iti praTitA /
   saiva cānāhatanādasvarūpatām avāptā nirvibhāgadharmiṇī samastavarṇodayaṃ	sA-eva ca-anAhata-nAda-svarUpa-tAm avAptA nirviBAga-DarmiNI samasta-varNa-udayam
   vaṭadhānikāvad antodhārayantī draṣṭṛsvabhāvā paśyantīti vyapadeśyā / saiva	vawa-DAnikA-vat antoDArayantI drazwR-svaBAvA paSyanti-iti vyapadeSyAH / sA-eva
   ca saṃkalpavikalpanivahaniścayātmabuddhibhūmiṃ svīkṛtavatī varṇapuñjaṃ	ca saMkalpa-vikalpa-nivaha-niScaya-Atma-budDi-BUmim svIkRtavatI varNa-puQjam
   śimbikāphalanyāyenāntodhārayantī madhyametyabhihitā / saiva	SimbikA-Pala-nyAyena-antoDArayantI maDyamA-iti-aBihitA / sA-eva
   hṛtkaṇṭhatālvādisthānakaraṇakrameṇāhatā satī varṇavibhavamayaślokādivad	hRd-kaNWa-tAlu-Adi-sTAna-karaNa-krameNa-AhatA satI varNa-viBava-maya-Sloka-Adi-vat-
   bhedarūpaṃ prakaṭayantī rūpādisamastaviśvaprathāṃ ca vyaktatām āpādayantī	Beda-rUpam prakawayantI rUpa-Adi-samasta-viSva-praTAm ca vyakta-tAm ApAdayantI
   vaikharīty uktā / itthaṃ niravakāśāt saṃvitpadāt	vEKarI-iti uktA / itTam niravakASAt saMvid-padAt-
   vākcatuṣṭayam aviratam anirodhatayā prathate / evam	vAc-catuzwayam aviratam aniroDa-tayA praTate / evam
   īdṛksvabhāvavākcatuṣṭayasyodayaś ca virāmaś ca tāvad udayavirāmau	IdRS-svaBAva-vAc-catuzwayasya-udayaH ca virAmaH ca tAvat udaya-virAmO
   sṛṣṭisaṃhārau, tayor prathā vyaktāvyaktatayā sadaivāviratam ullasantyaḥ	sRzwi-saMhArO, tayoH praTA vyakta-avyakta-tayA sadA-eva-aviratam ullasantyaH
   sphurantyaḥ, tāsu ``svaraḥ'' anāhatahatottīrṇamahānādollāsavikāsasvabhāvaḥ	sPurantyaH, tAsu ``svaraH-aa anAhata-hata-uttIrNa-mahA-nAda-ullAsa-vikAsa-svaBAvaH
   ``prathate'' savikalpanirvikalpasaṃviduttīrṇaparaviyadudayam eva	``praTate-aa sa-vikalpa-nirvikalpa-saMvid-uttIrNa-para-viyat-udayam eva
   prakāśitaṃ satatam akaraṇapravṛttyā prayātīty arthaḥ / itthaṃ	prakASitam satatam akaraNa-pravRttyA prayAti-iti arTaH / itTam
   nānābhedollāsaprakāśarūpeṣu varṇanivahodvahodayeṣu madhyāt prativarṇāntare	nAnA-Beda-ullAsa-prakASa-rUpezu varNa-nivaha-udvaha-udayezu maDyAt prativarNa-antare
   vākcatuṣṭayakrameṇākhaṇḍitavṛttyā svasvarūpam aparityajya	vAc-catuzwaya-krameNa-aKaNxita-vRttyA sva-svarUpam aparityajya
   yathāmukhopadiṣṭanītyā svaraiva prathate, ityuktaṃ bhavati //7//	yaTA-muKa-upadizwa-nItyA svarA-eva praTate, iti-uktam Bavati //7//
   iti vākcatuṣṭayodayakrameṇa nirāvaraṇasvarodayaḥ sarvatra sarvakālaṃ	iti vAc-catuzwaya-udaya-krameNa nirAvaraNa-svara-udayaH sarvatra sarvakAlam
   sphurati, iti nirūpya, idānīṃ rasatritayābhoge sati paraṃ dhāmaiva	sPurati, iti nirUpya, idAnIm rasa-tritaya-ABoge sati param DAma-eva
   niruttaraṃ cakāsti, iti nigadyate	niruttaram cakAsti, iti nigadyate
   VaSu8: rasatritayāsvādanenānicchocchalitaṃ vigatabandhaṃ paraṃ brahma //	VaSu8: rasa-tritaya-AsvAdanena-anicCA-ucCalitam vigata-banDam param brahma //
   rasatrayaṃ gurumukhoditadṛśā manāg īṣat prakāśyate /	rasa-trayam guru-muKa-udita-dRSA manAk Izat prakASyate /
   mūlādhārapayodharādhāraprathitākṛtrimarasatritayābhoge sati	mUlADAra-payoDara-ADAra-praTita-akRtrima-rasa-tritaya-ABoge sati
   "*anicchocchalitam*" niṣkāmatayā prollasitaṃ "*vigatabandhaṃ*"	"*anicCA-ucCalitam*" nizkAma-tayA prollasitam "*vigata-banDaM*"
   virahitabhedaprathātmakasaṃsārāvagrahaṃ	virahita-Beda-praTA-Atmaka-saMsAra-avagraham
   śāntacitrobhayavidhabrahmasvarūpasamuttīrṇaṃ kim api	SAnta-citra-uBayaviDa-brahma-svarUpa-samuttIrNam kim api
   niruttaraprakṛṣṭatarāmarśasaṃvitsvabhāvaṃ "*paraṃ brahma*" eva satatam	niruttara-prakRzwatara-AmarSa-saMvid-svaBAvam "*param brahma*" eva satatam
   anastamitasthityā vijṛmbhatety arthaḥ / etad eva rahasyakrameṇocyate /	anastamita-sTityA vijRmBatA-iti arTaH / etat eva rahasya-krameNa-ucyate /
   mūlādhāras tu prathamapratibhollāsamahānādaviśeṣaḥ sṛṣṭisvabhāvo	mUlADAraH tu praTama-pratiBA-ullAsa-mahA-nAdaviSezaH sRzwi-svaBAvaH-
   bhedābhedātmakasaṃvitpadārthaprathamāśrayabhittimūtatvāt / payidharas tu	Beda-aBeda-Atmaka-saMvid-padArTa-praTama-ASraya-Bitti-mUta-tvAt / payiDaraH tu
   payaḥ samastāpyāyakatvāt sarvāśrayasaṃvitsvarūpaṃ tad eva dhārayati	payaH samasta-ApyAyaka-tvAt sarva-ASraya-saMvid-svarUpam tat eva DArayati
   sthitipraroham avalambayati yaḥ spando 'dyonmeṣaiva	sTiti-praroham avalambayati yaH spandaH adya-unmeza-eva
   sarvapadārthāvabhāsanāt sthitirūpaḥ / ādhāras tu	sarva-padArTa-avaBAsanAt sTiti-rUpaH / ADAraH tu
   jaḍājaḍabhāvapadārthopasaṃhārakatvāt pratyāvṛttisaṃvitsvabhāvaḥ saṃhāraḥ /	jaxa-ajaxa-BAva-padArTa-upasaMhAraka-tvAt pratyAvRtti-saMvid-svaBAvaH saMhAraH /
   etattrayodhūtaṃ rasarūpaṃ tattadanubhavacamatkārasāmarasyam āsvādya	etat-trayoDUtam rasa-rUpam tad-tad-anuBava-camatkAra-sAmarasyam AsvAdya
   svātmany akṛtakakhamudrānupraveśād vimṛśya, turyasvabhāvo mahāsaṃhārākhyo	sva-Atmani akRta-kaKa-mudra-anupraveSAt vimRSya, turya-svaBAvaH mahA-saMhAra-AKyaH-
   'navarataṃ paramādvayatayā vibhātīti rahasyārthaḥ //8	anavaratam parama-advayatayA viBAti-iti rahasya-arTaH //8
   evaṃ niravakāśabhaṅgyā rasatritayacarcāsaṃpradāyaṃ nirūpya, idānīṃ	evam niravakASa-BaFgyA rasa-tritaya-carcA-saMpradAyam nirUpya, idAnIm
   devīcatuṣṭayakathāsākṣātkāraḥ prakāśyate	devI-catuzwaya-kaTA-sAkzAtkAraH prakASyate
   VaSu9: devīcatuṣṭayollāsena sadaiva svaviśrāntyacasthitiḥ //	VaSu9: devI-catuzwaya-ullAsena sadA-eva sva-viSrAnti-aca-sTitiH //
   "*devīcatuṣṭayaṃ*" kṣuttṛḍīrṣyāmananākhyam / tatra ca sarvagrāsaniratatvāt	"*devI-catuzwayaM*" kzut-tRz-IrzyAmanana-AKyam / tatra ca sarva-grAsa-nirata-tvAt
   kṣud eva mahāsaṃhāraḥ / sarvaśoṣakatvāt tṛḍ eva saṃhāraḥ / īrṣyā	kzuD eva mahA-saMhAraH / sarva-Sozaka-tvAt tRz eva saMhAraH / IrzyA
