   Spandakārikā, prathamo niḥṣyandaḥ	Spanda-kArikA, praTamaH niHzyandaH
   * evaṃ hi śāntasvarūpatvād anīśvaram evaitad bhavet || VSpkC_1.1:5	* evam hi SAnta-svarUpa-tvAt anISvaram eva-etat Bavet || VSpkC_1.1:5
   * sphurattāsāraspandaśaktimayaśaṃkarātmakasvasvabhāvapratipādanāyaiva	* sPurat-tA-sAra-spanda-Sakti-maya-SaMkara-Atmaka-sva-svaBAva-pratipAdanAya-eva
   cedaṃ śāstraṃ samucitaspandābhidhānaṃ mahāgurubhir nibaddham ||	ca-idam SAstram samucita-spanda-aBiDAnam mahA-guruBiH nibadDam ||
   VSpkC_1.1:6	VSpkC_1.1:6
   * etac ca vyaktībhaviṣyati || VSpkC_1.1:7	* etat ca vyaktIBavizyati || VSpkC_1.1:7
   * sā caiṣā spandaśaktir	* sA ca-ezA spanda-SaktiH-
   garbhīkṛtānantasargasaṃhāraikaghanāhantācamatkārānandarūpā	garBIkRta-ananta-sarga-saMhAra-eka-GanA-hantA-camatkAra-Ananda-rUpA
   niḥśeṣaśuddhāśuddharūpāmātṛmeyasaṃkocavikāsābhāsanasatattvā	niHSeza-SudDa-aSudDa-rUpA-mAtR-meya-saMkoca-vikAsa-ABa-Asana-sa-tattvA
   sarvopaniṣadupāsyā yugapad evonmeṣanimeṣamayī || VSpkC_1.1:8	sarva-upanizad-upAsyA yugapad eva-unmeza-nimeza-mayI || VSpkC_1.1:8
   * tathā hi śivādeḥ kṣityantasyāśeṣasya tattvagrāmasya prāksṛṣṭasya	* taTA hi Siva-AdeH kziti-antasya-aSezasya tattva-grAmasya prAc-sRzwasya
   saṃhartṛrūpā yā nimeṣabhūr asāv evodbhaviṣyaddaśāpekṣayā	saMhartR-rUpA yA nimeza-BUH asO eva-udBavizyat-daSa-apekzayA
   sraṣṭurūponmeṣabhūmis tathā viśvanimeṣabhūś cidghanatonmeṣasārā	srazwu-rUpa-unmeza-BUmiH taTA viSva-nimeza-BUH cit-Gana-tA-unmeza-sArA
   cidghanatānimajjanabhūmir api viśvonmeṣarūpā || VSpkC_1.1:9	cidGana-tA-nimajjana-BUmiH api viSva-unmeza-rUpAH || VSpkC_1.1:9
   * yad āgamaḥ /	* yat AgamaH /
   * lelihānā sadā devī sadā pūrṇā ca bhāsate || VSpkC_1.1:10	* lelihAnA sadA devI sadA pUrNA ca BAsate || VSpkC_1.1:10
   * ūrmir eṣā vibodhābdheḥ śaktir icchātmikā prabhoḥ || VSpkC_1.1:11	* UrmiH ezA viboDa-abDeH SaktiH icCA-AtmikA praBoH || VSpkC_1.1:11
   * iti || VSpkC_1.1:12	* iti || VSpkC_1.1:12
   * śrīmān maheśvaro hi svātantryaśaktyā	* SrImAn maheSvaraH hi svAtantrya-SaktyA
   śivamantramaheśvaramantreśvaramantravijñānākalapralayākalasakalāntāṃ	Siva-mantra-maheSvara-mantreSvara-mantra-vijQAnAkala-pralaya-akala-sakala-antAm
   pramātṛbhūmikāṃ tadvedyabhūmikāṃ ca gṛhṇānaḥ pūrvapūrvarūpatāṃ	pramAtR-BUmikAm tad-vedya-BUmikAm ca gRhNAnaH pUrva-pUrvarUpa-tAm
   bhittibhūtatayā sthitām apy antaḥsvarūpāvacchādanakrīḍayā nimeṣayann	Bitti-BUta-tayA sTitAm api antar-svarUpa-avacCAdana-krIxayA nimezayan=-
   evonmeṣayati uttararūpatām avarohakrameṇa ārohakrameṇa tūttarottararūpatāṃ	eva-unmezayati uttara-rUpa-tAm avaroha-krameNa Aroha-krameNa tu-uttarottara-rUpa-tAm
   nimeṣayann eva jñānayoginām unmeṣayati pūrvapūrvarūpatām ata evottaram	nimezayan eva jQAna-yoginAm unmezayati pUrva-pUrvarUpa-tAm atas eva-uttaram
   uttaraṃ pūrvatra pūrvatra saṃkocātmatāṃ jahadvikasitatvenāsāv ābhāsayati	uttaram pUrvatra pUrvatra saMkoca-Atma-tAm jahat-vikasita-tvena-asO ABAsayati
   pūrvaṃ pūrvaṃ tu rūpaṃ yathottaraṃ vikasitatāṃ nimajjayan saṅkucitatvena	pUrvam pUrvam tu rUpam yaTottaram vikasita-tAm nimajjayan saFkucita-tvena
   darśayati || VSpkC_1.1:13	darSayati || VSpkC_1.1:13
   * evaṃ ca sarvaṃ sarvamayam eva prathayati kevalaṃ	* evam ca sarvam sarva-mayam eva praTayati kevalam
   tadavabhāsitasaṃkocamātrata iyaṃ bhedapratipattir iva yad uddalanāyehatya	tad-avaBAsita-saMkoca-mAtrataH iyam Beda-pratipattiH iva yat uddalanAya-ihatya
   upadeśa ity āstāṃ tāvad etat || VSpkC_1.1:14	upadeSaH iti AstAm tAvat etat || VSpkC_1.1:14
   * nīlasukhādyābhāsonmeṣamayy api ca saṃvit	* nIla-suKa-Adi-ABAsa-unmeza-mayI api ca saMvid-
   pramātrekātmakatatsvarūpanimeṣarūpāvabhātacarapītādyābhāsopasaṃhārarūpā	pramAtR-eka-Atmaka-tad-svarUpa-nimeza-rUpa-avaBAta-cara-pIta-Adi-ABAsa-upasaMhAra-rUpA
   ceti svasaṃvedanasiddhām imāṃ yugapad evonmeṣanimeṣobhayarūpāṃ pratibhāṃ	ca-iti sva-saMvedana-sidDAm imAm yugapad eva-unmeza-nimeza-uBaya-rUpAm pratiBAm
   bhagavatīṃ vicinvan tu mahādhiyaḥ saṃsāravicchedāya || VSpkC_1.1:15	BagavatIm vicinvan tu mahA-ADiyaH saMsAra-vicCedAya || VSpkS_1.1:15
   * ata evonmeṣanimeṣābhyām ityetatpadaṃ nijavṛttau bhaṭṭaśrīkallaṭena	* atas eva-unmeza-nimezAByAm iti-etat-padam nija-vRttO Bawwa-SrI-kallawena
   saṃkalpamātreṇā ity avibhaktam evecchaśaktirūpatayā vyākhyāyi ||	saMkalpa-mAtreNA iti aviBaktam eva-icCa-Sakti-rUpa-tayA vyAKyAyi ||
   VSpkC_1.1:16	VSpkC_1.1:16
   * saṃgrahakṛtāpi ekacintāprasaktasya yataḥ syād aparodayaḥ || VSpkC_1.1:17	* saMgraha-kRtA-api ekacintA-prasaktasya yatas syAt apara-udayaH || VSpkS_1.1:17
   * unmeṣaḥ sa tu vijñeyaḥ svayaṃ tam upalakṣayet || VSpkC_1.1:18	* unmezaH sa tu vijQeyaH svayam tam upalakzayet || VSpkC_1.1:18
   * ity atra prārabdhacintāsaṃharaṇam eva parasvarūpodayahetur unmeṣa ity	* iti atra prArabDa-cintA-saMharaNam eva para-svarUpa-udaya-hetuH unmezaH iti-
   abhidhāsyate pravṛttacintāsaṃhāraṃ vinā parasvarūpodayābhāvāt ||	aBiDAsyate pravRtta-cintA-saMhAram vinA para-svarUpa-udaya-aBAvAt ||
   VSpkC_1.1:19	VSpkC_1.1:19
   * etac ca tatraiva vitaniṣyāmaḥ || VSpkC_1.1:20	* etat ca tatra-eva vitanizyAmaH || VSpkC_1.1:20
   * parāmṛtarasāpāyas tasya yaḥ pratyayodbhavaḥ || VSpkC_1.1:21	* para-amRta-rasa-apAyaH tasya yaH pratyaya-udBavaH || VSpkC_1.1:21
   * tenāsvatantratām eti sa ca tanmātragocaraḥ || VSpkC_1.1:22	* tena-asvatantra-tAm eti sa ca tanmAtra-gocaraH || VSpkS_1.1:22
   * ity atrāpy udayaḥ pralayaparamārtha iti spaṣṭam eva vakṣyate ||	* iti atra-api udayaH pralaya-parama-arTaH iti spazwam eva vakzyate ||
   VSpkC_1.1:23	VSpkC_1.1:23
   * yadā kṣobhaḥ pralīyeta tadā syāt paramaṃ padam || VSpkC_1.1:24	* yadA kzoBaH pralIyeta tadA syAt paramam padam || VSpkC_1.1:24
   * ity atrāpi kṣobhapralayātmā nimeṣaḥ parapadonmeṣarūpa ity api	* iti atra-api kzoBa-pralaya-AtmA nimezaH para-pada-unmeza-rUpaH iti api
   nirūpayiṣyate || VSpkC_1.1:25	nirUpayizyate || VSpkS_1.1:25
   * tad evam ekaivobhayarūpāpi śaktiḥ kadācid unmeṣapradhānatayā	* tat evam ekA-eva-uBaya-rUpA-api SaktiH kadAcid unmeza-praDAna-tayA
   vyavahriyate kadācin nimeṣapradhānatayā || VSpkC_1.1:26	vyavahriyate kadAcid nimeza-praDAna-tayA || VSpkC_1.1:26
   * tataś ca yasya saṃbandhinyāḥ svarūpanimeṣātmanaḥ kāryonmeṣapradhānāyāḥ	* tatas ca yasya saMbanDinyAH svarUpa-nimeza-AtmanaH kArya-unmeza-praDAnAyAH
   śakter hetor jagato viśvasya śivāder dharaṇyantasyodayo	SakteH hetoH jagataH viSvasya Siva-AdeH DaraNI-antasya-udaya-u
   'bhedasāratānimajjanasattvo nānāvaicitryaśālī bhedarūpaḥ sargaḥ	aBeda-sAra-tA-nimajjana-sattvaH nAnA-vEcitrya-SAlI Beda-rUpaH sargaH
   svarūponmeṣātmanaś ca bāhyatānimeṣapradhānāyāḥ śakter jagataḥ pralayo	svarUpa-unmeza-AtmanaH ca bAhya-tA-nimeza-praDAnAyAH SakteH jagataH pralayaH-
   'bhedamayatodayātmā vicitrabhedarūpatāsaṃhāra ita pralayo 'py udayarūpa	aBeda-maya-tA-udaya-AtmA vicitra-Beda-rUpa-tA-saMhAraH ita pralayaH api udaya-rUpa
   udayo 'pi ca pralayarūpa iti vyākhyeyam vastutas tu na kiṃcid udeti	udayaH api ca pralaya-rUpaH iti vyAKyeyam vastutas tu na kiMcid udeti
   vyayate vā kevalaṃ spandaśaktir eva bhagavaty akramāpi	vyayate vA kevalam spanda-SaktiH eva Bagavati akramA-api
   tathātathābhāsarūpatayā sphuranty udetīva vyayata iva ceti darśayiṣyāmaḥ	taTA-taTA-ABAsa-rUpa-tayA sPuranti udeti-iva vyayataH iva ca-iti darSayizyAmaH
   || VSpkC_1.1:27	|| VSpkC_1.1:27
   * sthitivilayānu grahāṇāṃ viśiṣṭapralayodayarūpatvān nādhikyam iti	* sTiti-vilaya-anu grahANAm viSizwa-pralaya-udaya-rUpa-tvAt na-ADikyam iti
   pralayodayābhyām eva pañcavidhaṃ pārameśvaryaṃ kṛtyaṃ saṃgṛhītam ||	pralaya-udayAByAm eva paQcaviDam pArameSvaryam kRtyam saMgRhItam ||
   VSpkC_1.1:28	VSpkC_1.1:28
   * nirṇītaṃ caivaṃprāyaṃ mayaiva prathamasūtramātravivaraṇe spandasaṃdohe	* nirNItam ca-evaMprAyam mayA-eva praTama-sUtra-mAtra-vivaraNe spanda-saMdohe
   || VSpkC_1.1:29	|| VSpkC_1.1:29
   * nanu śrīmanmahārthadṛṣṭyā sṛṣṭyādidevatābhir eva vicitrā jagataḥ	* nanu SrImat-mahArTa-dRzwyA sRzwi-Adi-devatABiH eva vicitrA jagataH
   pralayodayāḥ saṃpādyante tat katham etad uktaṃ yasyetyādi ityāśaṅkyāha taṃ	pralaya-udayAH saMpAdyante tat kaTam etat uktam yasya-ityAdi iti-ASaFkya-Aha tam
   śakticakravibhavaprabhavām iti || VSpkC_1.1:30	Sakti-cakra-viBava-praBavAm iti || VSpkC_1.1:30
   * śaktīnāṃ sṛṣṭiraktādimarīcīdevīnāṃ cakraṃ dvādaśātmā samūhas tasya yo	* SaktInAm sRzwi-rakta-Adi-marIcI-devInAm cakram dvAdaSa-AtmA samUhaH tasya yaH-
   vibhava udyogāvabhāsanacarvaṇavilāpanātmā krīḍāḍambaras tasya prabhavaṃ	viBavaH udyoga-avaBAsana-carvaNa-vilApana-AtmA krIxA-AxambaraH tasya praBavam
   hetum || VSpkC_1.1:31	hetum || VSpkC_1.1:31
   * etā hi devyaḥ śrīmanmanthānabhairavaṃ cakreśvaram āliṅgya	* etAH hi devyaH SrImat-manTAnaBEravam cakreSvaram AliFgya
   sarvadaivajagatsargādikrīḍāṃsaṃpādayantīty āmnāyaḥ || VSpkC_1.1:32	sarva-dEva-jagat-sarga-Adi-krIxAMsaMpAdayanti-iti AmnAyaH || VSpkS_1.1:32
   * atha ca kasmāt parameśvarasya jagatsargasaṃhārādihetutvam ity āśaṅkāyām	* aTa ca kasmAt parameSvarasya jagat-sarga-saMhAra-Adi-hetu-tvam iti ASaFkAyAm
   etad evottaraṃ śakticakreti || VSpkC_1.1:33	etat eva-uttaram Sakti-cakra-iti || VSpkC_1.1:33
   * yāvaddhi kiṃcid viśvaṃ saṃbhavati tatprakāśamānatvena prakāśamayatvāt	* yAvat-hi kiMcid viSvam saMBavati tad-prakASa-mAna-tvena prakASa-maya-tvAt-
   svāminaś cātmasaṃsthasya bhāvajātasya bhāsanam || VSpkC_1.1:34	svAminaH ca-Atma-saMsTasya BAva-jAtasya BAsanam || VSpkC_1.1:34
   * asty eva na vinā tasmād icchāmarśaḥ pravartate || VSpkC_1.1:35	* asti eva na vinA tasmAt icCA-marSaH pravartate || VSpkC_1.1:35
   * iti vipaścinniścitanītyā parameśvarasyāntaḥprakāśaikātmyena prakāśamānaṃ	* iti vipaScit-niScita-nItyA parameSvarasya-antar-prakASa-EkAtmyena prakASamAnam
   sthitaṃ sacchakticakram ity ucyate yataḥ parameśvarasyāgameṣv	sTitam sat-Sakti-cakram iti ucyate yatas parameSvarasya-Agamezu-
   anantaśaktitvam uddhoṣyate || VSpkC_1.1:36	ananta-Sakti-tvam udDozyate || VSpkS_1.1:36
   * tasya śakticakrasyābhāsaparamārthasya viśvasya yo vibhavaḥ	* tasya Sakti-cakrasya-ABAsa-parama-arTasya viSvasya yaH viBavaH
   parasparasaṃyojanāviyojanāvaicitryam anantaprakāraṃ tasya prabhavaṃ	paraspara-saMyojanA-viyojanA-vEcitryam ananta-prakAram tasya praBavam
   kāraṇam || VSpkC_1.1:37	kAraNam || VSpkC_1.1:37
   * sa eva hi bhagavān vijñānadehātmakān svātmaikātmyena sthitān viśvān	* saH eva hi BagavAn vijQAna-deha-AtmakAn sva-Atma-EkAtmyena sTitAn viSvAn
   ābhāsān anyonyaṃ nānāvaicitryeṇa saṃyojayan viyojayaṃś ca	ABAsAn anyonyam nAnA-vEcitryeNa saMyojayan viyojayan ca
   viśvodayapralayahetuḥ || VSpkC_1.1:38	viSva-udaya-pralaya-hetuH || VSpkS_1.1:38
   * tad uktaṃ śrībhaṭṭakallaṭena vijñānadehātmakasya	* tat uktam SrI-Bawwa-kallawena vijQAna-deha-Atmakasya
   śakticakraiśvaryasyotpattihetutvam || VSpkC_1.1:39	Sakti-cakra-ESvaryasya-utpatti-hetu-tvam || VSpkC_1.1:39
   * ity etad vṛttyakṣarāṇām atra vyākhyādvaye 'py ānurūpyam || VSpkC_1.1:40	* iti etat vRtti-akzarANAm atra vyAKyA-dvaye api AnurUpyam || VSpkC_1.1:40
   * api ca śaktayo 'sya jagat kṛtsnam || VSpkC_1.1:41	* api ca SaktayaH asya jagat kRtsnam || VSpkC_1.1:41
   * ity āgamadṛṣṭyā tasmāc chabdārthacintāsu na sāvasthā na yā śivaḥ ||	* iti Agama-dRzwyA tasmAt Sabda-arTa-cintAsu na sA-avasTA na yA SivaH ||
   VSpkC_1.1:42	VSpkC_1.1:42
   * itīhatyasthityā ca jagadātmanaḥ tatkhecaryūrdhvamārgasthaṃ vyoma	* iti-ihati-asTityA ca jagadAtmanaH tad-KecarI-UrDva-mArga-sTam vyoma
   vāmeśigocaram || VSpkC_1.1:43	vAmeSi-gocaram || VSpkC_1.1:43
   * iti rahasyanītyā ca vāmeśvarīkhecarīgocarīdikcarībhūcarī rūpasya mayaiva	* iti rahasya-nItyA ca vAmeSvarI-KecarI-gocarI-dikcarI-BUcarI rUpasya mayA-eva
   spandasandohe samyaṅ nirṇītasya aprabuddhadhiyas tv ete	spanda-sandohe samyak nirNItasya aprabudDa-DiyaH tu ete
   svasthitisthaganodyatāḥ || VSpkC_1.1:44	sva-sTiti-sTagana-udyatAH || VSpkS_1.1:44
   * ity atrāpi	* iti atra-api
   nirṇeṣyamāṇasyaitadvyākhyādvayavyākhyātaśakticakraprapañcabhūtasya ca	nirNezyamANasya-etat-vyAKyA-dvaya-vyAKyAta-Sakti-cakra-prapaQca-BUtasya ca
   yataḥ karaṇavargo 'yaṃ || VSpkC_1.1:45	yatas karaNa-vargaH ayam || VSpkC_1.1:45
   * iti sthityendriyagrāmātmanaḥ tadākramya balaṃ mantrāḥ || VSpkC_1.1:46	* iti sTityA-indriya-grAma-AtmanaH tat-Akramya balam mantrAH || VSpkS_1.1:46
   * iti nityamantrātmanaḥ śabdarāśisamutthasya śaktivargasya || VSpkC_1.1:47	* iti nitya-mantra-AtmanaH Sabda-rASi-samutTasya Sakti-vargasya || VSpkS_1.1:47
   * iti nītyā brāhmyādidevatāsvabhāvasyaivam āder anantaprakārasyāpi mayaiva	* iti nItyA brAhmI-Adi-devatA-svaBAvasya-evam AdeH ananta-prakArasya-api mayA-eva
   spandasandohe vitatya nirṇītasya śakticakrasya yo vibhavo māhātmyaṃ tatra	spanda-sandohe vitatya nirNItasya Sakti-cakrasya yaH viBavaH mAhAtmyam tatra
   prabhavatīti prabhavaṃ svatantraṃ na tu paśuvat paratantram ||	praBavati-iti praBavam svatantram na tu paSu-vat paratantram ||
   VSpkC_1.1:48	VSpkC_1.1:48
   * śakticakrasya raśmipuñjasya yo vibhavo 'ntarmukho vikāsas tataḥ prabhava	* Sakti-cakrasya raSmi-puQjasya yaH viBavaH antarmuKaH vikAsaH tatas praBava
   udayo 'bhivyaktir yasyeti bahuvrīhiṇāntarmukhatatsvarūpanibhālanād	udayaH aBivyaktiH yasya-iti bahu-vrIhiNA-antarmuKa-tad-svarUpa-niBAlanAt-
   ayatnena parameśvarasvarūpapratyabhijñānaṃ bhavatīty arthaḥ ||	ayatnena parameSvara-svarUpa-pratyaBijQAnam Bavati-iti arTaH ||
   VSpkC_1.1:49	VSpkC_1.1:49
   * kiṃ ca yasya cidānandaghanasyātmana unmeṣanimeṣābhyāṃ	* kim ca yasya cit-Ananda-Ganasya-AtmanaH unmeza-nimezAByAm
   svarūponmīlananimīlanābhyāṃ yad antas tad bahiḥ iti yuktyā jagataḥ	svarUpa-unmIlana-nimIlanAByAm yat antar tat bahis iti yuktyA jagataH
   śarīrarūpasya tadanuṣaṅgeṇa bāhyasyāpi viśvasya pralayodayau yathāsaṃkhyaṃ	SarIra-rUpasya tad-anuzaFgeNa bAhyasya-api viSvasya pralaya-udayO yaTAsaMKyam
   majjanonmajjane bhavatas taṃ śakticakravibhavasya	majjana-unmajjane BavataH tam Sakti-cakra-viBavasya
   parasaṃviddevatāsphārasya prabhavaṃ bhaktibhājām etatsvarūpaprakāśakaṃ	para-saMvid-devatA-sPArasya praBavam Bakti-BAjAm etat-svarUpa-prakASakam
   śaṃkaraṃ stumaḥ || VSpkC_1.1:50	SaMkaram stumaH || VSpkC_1.1:50
   * tathā yasya svātmanaḥ saṃbandhino bahirmukhatāprasararūpād unmeṣāj	* taTA yasya sva-AtmanaH saMbanDinaH bahis-muKa-tA-prasara-rUpAt unmeza-aj
   jagata udayo 'ntarmukhatārūpāc ca nimeṣāt pralayas taṃ	jagataH udayaH antar-muKa-tA-rUpAt ca nimezAt pralayaH tam
   viśvasargādikāryunmeṣādisvarūpasaṃviddevīmāhātmyasya hetuṃ śaṃkaraṃ stuma	viSva-sarga-Adi-kArI-unmeza-Adi-svarUpa-saMvid-devI-mAhAtmyasya hetum SaMkaram stuma
   iti yathāsaṃbhavam api yojyam || VSpkC_1.1:51	iti yaTAsaMBavam api yojyam || VSpkC_1.1:51
   * dehādyāviṣṭo 'pi parameśvaraḥ karaṇonmīlananimīlanābhyāṃ	* deha-Adi-AvizwaH api parameSvaraH karaNa-unmIlana-nimIlanAByAm
   rūpādipañcakamayasya jagataḥ sargarsaṃhārau karoti || VSpkC_1.1:52	rUpa-Adi-paQcaka-mayasya jagataH sargarsaMhArO karoti || VSpkC_1.1:52
   * yad uktaṃ rahasyatattvavidā tad evaṃ vyavahāre 'pi prabhur dehādim	* yat uktam rahasya-tattva-vidA tat evam vyavahAre api praBuH deha-Adim
   āviśan || VSpkC_1.1:53	AviSan || VSpkC_1.1:53
   * bhāntam evāntararthaugham icchayā bhāsayed bahiḥ || VSpkC_1.1:54	* BAntam eva-antararTa-oGam icCayA BAsayet bahis || VSpkC_1.1:54
   * evaṃvidhārthaparigrahāyāpi yasya svātantryaśaktyā iti tyaktvā	* evaMviDa-arTa-parigrahAya-api yasya svAtantrya-SaktyA iti tyaktvA
   yasyonmeṣanimeṣābhyām iti nyarūpi guruṇā || VSpkC_1.1:55	yasya-unmeza-nimezAByAm iti nyarUpi guruNA || VSpkC_1.1:55
   * atra ca śaṃkarastutiḥ samāveśarūpā prāpyatvenābhidheyā	* atra ca SaMkara-stutiH samAveSa-rUpA prApya-tvena-aBiDeyA
   śakticakravibhavāt prabhavo yasyeti bahuvrīhiṇā śakticakravikāsas	Sakti-cakra-viBavAt praBavaH yasya-iti bahu-vrIhiNA Sakti-cakra-vikAsaH-
   tatprāptāv upāya uktaḥ śakticakravibhavasya parasaṃviddevatāsphārasya	tad-prAptO upAyaH uktaH Sakti-cakra-viBavasya para-saMvid-devatA-AsPArasya
   bhaktibhājāṃ prabhavaṃ prakāśakam iti tatpuruṣeṇa phalam uktam ||	Bakti-BAjAm praBavam prakASakam iti tatpuruzeNa Palam uktam ||
   VSpkC_1.1:56	VSpkC_1.1:56
   * yad vakṣyati tataś cakreśvaro bhavet || VSpkC_1.1:57	* yat vakzyati tatas cakreSvaraH Bavet || VSpkC_1.1:57
   * ity abhidheyopāyayor upāyopeyabhāvaḥ saṃbandha ity abhidheyopāya	* iti aBiDeya-upAyayoH upAya-upeya-BAvaH saMbanDaH iti aBiDeya-upAya
   saṃbandhaprayojanāny anenaiva sūtreṇa sūtritāni || VSpkC_1.1:58	saMbanDa-prayojanAni anena-eva sUtreNa sUtritAni || VSpkC_1.1:58
   * nanv evaṃbhūtaśaṃkarasvarūpasattāyāṃ kiṃ pramāṇaṃ kutaś copādānādihetuṃ	* nanu evaMBUta-SaMkara-sva-rUpa-sattAyAm kim pramANam kutas ca-upAdAna-Adi-hetum
   vinā jagad asau janayati tasyaivopādānatve mṛtpiṇḍasyeva ghaṭena jagatā	vinA jagat asO janayati tasya-eva-upAdAna-tve mRd-piNxasya-iva Gawena jagatA
   tirodhānaṃ kriyeta tirohitātirohitatāyāṃ ca bhagavataḥ svabhāvabhedaḥ syāt	tiroDAnam kriyeta tirohita-atirohita-tAyAm ca BagavataH svaBAva-BedaH syAt-
   punar unmajjane ca hetuścintyo jagadudayeca dveetaprasaṅga ityetāḥ śaṅkā	punar unmajjane ca hetuH-cintyaH jagat-udayeca dveeta-prasaFgaH iti-etAH SaFkA
   eka prahāreṇāpahartumāha || VSpkC_1.1:59]	eka prahAreNa-apahartum-Aha || VSpkC_1.1:59]
   yatra sthitamidaṃ sarvaṃ kāryaṃ yasmāc ca nirgatam /	yatra sTitam-idam sarvam kAryam yasmAt ca nirgatam /
   tasyānāvṛtarūpatvān na nirodho'sti kutracit // VSpk_1.2 //	tasya-anAvRta-rUpa-tvAt na niroDaH-asti kutracid // VSpc-_1.2 //
   * tasyāsya śaṃkarātmanaḥ prakāśānandaghanasya svasvabhāvasya na	* tasya-asya SaMkara-AtmanaH prakASa-Ananda-Ganasya sva-svaBAvasya na
   kutraciddeśe kāla ākāre vā nirodhaḥ prasaravyāghāto 'sti anāvṛtarūpatvād	kutracid-deSe kAle AkAre vA niroDaH prasara-vyAGAtaH asti anAvRta-rUpa-tvAt-
   asthagitasvabhāvatvāt || VSpkC_1.2:1	asTagita-svaBAva-tvAt || VSpkC_1.2:1
   * ayaṃ bhāvaḥ iha yatkiṃcitprāṇapuryaṣṭakasukhanīlādikaṃ	* ayam BAvaH iha yat-kiMcid-prANa-puryazwaka-suKa-nIla-Adikam
   citprakāśasyāvarakaṃ saṃbhāvyate tadyadi na prakāśate na kiṃcit	cit-prakASasya-avarakam saMBAvyate tat-yadi na prakASate na kiMcid-
   prakāśamānaṃ tu prakāśātmakaśaṃkarasvarūpameveti kiṃ kasya nirodhakaṃ ko	prakASamAnam tu prakASa-Atmaka-SaMkara-svarUpam-eva-iti kim kasya niroDakam kaH-
   vā nirodhārthaḥ || VSpkC_1.2:2	vA niroDa-arTaH || VSpkS_1.2:2
   * etadeva tasyetyetadviśeṣaṇena yatretyādinopapādayati || VSpkC_1.2:3	* etat-eva tasya-iti-etat-viSezaNena yatra-ityAdinA-upapAdayati || VSpkC_1.2:3
   * yatra yasmiṃścid rūpe svātmani idaṃ mātṛmānameyātmakaṃ sarvaṃ	* yatra yasmin=-cit rUpe sva-Atmani idam mAtR-mAna-meya-Atmakam sarvam
