   Padmagupta (alias Parimala):	Padmagupta (aliaH Parimala):
   agādhapātālatalodgatāni Pnc_9.62a	agADa pAtAla tala udgatAni Pnd _9.62a
   agādhalāvaṇyasarit sumadhyamā Pnc_7.5d	agADa lAvaNya sarit sumaDyamA Pn= _7.5d
   agīyateva devasya Pnc_2.81c	agIyatA iva devasya Pn= _2.81c
   agrajo 'syāgraṇīḥ satām Pnc_11.92b	agrajaH asya agraNIH satAm Pnd _11.92b
   agraṇīr agarudhūpagandhinā Pnc_8.48b	agraNIH agaru DUpa ganDinA Pnd _8.48b
   agrataś cakitam uktavartmabhiḥ Pnc_8.43b	agratas cakitam ukta vartmaBiH Pnd _8.43b
   agrataḥ kṛtapayodharaśriyā Pnc_8.18a	agratas kRta payoDara SriyA Pn= _8.18a
   agrataḥ saś ca yaśobhaṭo 'viśat Pnc_8.65a	agratas saH ca yaSoBawaH aviSat Pn= _8.65a
   agrato 'tha bilakalpavin nṛpaḥ Pnc_8.58b	agratas aTa bila kalpa vid nRpaH Pnd _8.58b
   agrahīc ca saśaraṃ kareṇa tad Pnc_8.33c	agrahIt ca sa Saram kareNa tat Pn= _8.33c
   agre tathābhraṃlihabhūruhaṃ naḥ Pnc_14.27c	agre taTA aBraMliha BUruham naH Pn= _14.27c
   agre dadarśa maṇimandiram indumauleḥ Pnc_18.14d	agre dadarSa maNi mandiram indumOleH Pn= _18.14d
   agre babhūva puruṣo 'sya sahemavetraḥ Pnc_18.41d	agre baBUva puruzaH asya sahema vetraH Pn= _18.41d
   agre 'bhavat tasya sa ratnacūḍaḥ Pnc_17.45d	agre aBavat tasya sa ratnacUxaH Pn= _17.45d
   agresaraiḥ sambhramamuktamārgaḥ Pnc_14.28b	agresarEH samBrama mukta mArgaH Pn= _14.28b
   aṅkād apāsya sahasā maṇivallakīṃ ca Pnc_18.3b	aFkAt apAsya sahasA maNivallakIm ca Pnd _18.3b
   aṅgād asiprāsapṛṣatkabhinnāt  Pnc_17.21a	aFgAt asi prAsa pRzat kaBinnAt Pn= _17.21a
   aṅgena puṣpaśarabhaṅgitaraṅgitena Pnc_18.48b	aFgena puzpa Sara BaFgi ta raFgitena Pn= _18.48b
   aṅgeṣu sāraṅgadṛśām ṛtuśrīḥ Pnc_14.70d	aFgezu sAraFga dRSAm Rtu SrIH Pn= _14.70d
   Acalendraguhāsu līyate Pnc_12.55c	Acala indra guhAsu lIyate Pn= _12.55c
   Acalendrasutāsmitacchavi  Pnc_12.48c	Acala indra sutA asmita= Cavi Pn= _12.48c
   acale vicayaḥ patatriṇo 'yaṃ Pnc_5.41a	acale vicayaH patatriNaH ayam Pnd _5.41a
   acāmaro 'py eṣa sateva vījyate Pnc_4.31c	acAmaraH api eza satA iva vIjyate Pn= _4.31c
   acintayat seti ca pāṭalādharaḥ Pnc_4.28a	acintayat sA iti ca pAwalA DaraH Pn= _4.28a
   acetaneva śūnyeva Pnc_6.48c	acetanA iva SUnyA iva Pn= _6.48c
   acchinnadānaniṣyandam Pnc_16.62c	acCinna dAna nizyandam Pn= _16.62c
   ajātapākasya navātapādhikāṃ Pnc_13.23a	ajAta pAkasya nava Atapa aDikAm Pn= _13.23a
   ajāyatāntaḥkaraṇena tāmyatā Pnc_13.9a	ajAyata antaHkaraNena tAmyatA Pn= _13.9a
   ajāyatāmbhojadṛśā viyogo Pnc_9.9c	ajAyata amBoja dRSA viyogaH Pn= _9.9c
   ajāyatāripramadālatānāṃ Pnc_1.75c	ajAyata ari pramadA latAnAm Pn= _1.75c
   ajāyatendīvarapatranetrā Pnc_9.36b	ajAyata indIvara patra netrA Pn= _9.36b
   ajāyanta bhayodbhrānta  Pnc_2.15c	ajAyanta Baya udBrAnta Pn= _2.15c
   ajñātasvaparāntare Pnc_16.106b	ajQAta sva para antare Pn= _16.106b
   ajñānam asmin viṣaye kim anyat Pnc_9.34a	ajQAnam asmin vizaye kim anyat Pn= _9.34a
   atasīkusumopamaṃ mukhe Pnc_12.41a	atasI kusuma upamam muKe Pn= _12.41a
   atas tadāsyai kathitaḥ savistaraṃ Pnc_7.63c	atas tadA asyE kaTitaH sa vistaram Pn= _7.63c
   ataḥ kim etat pihitaṃ prakāśyatām Pnc_7.53c	atas kim etat pihitam prakASyatAm Pn= _7.53c
   ataḥ kim evaṃ pratipattimūḍhatāṃ Pnc_7.46c	atas kim evam pratipatti mUXa tAm Pn= _7.46c
   ataḥ sakhībhāvagatasya gopanaṃ Pnc_7.61c	atas saKI BAva gatasya gopanam Pn= _7.61c
   ataḥ saṃprati vīkṣante Pnc_11.28a	atas saMprati vIkzante Pn= _11.28a
   atādṛśānāṃ stutayaḥ prakṛtyā Pnc_13.63c	atAdRSAnAm stutayaH prakRtyA Pn= _13.63c
   atikampam ūrmikuṭilabhru Pnc_15.30a	ati kampam Urmi kuwila Bru Pn= _15.30a
   atikāntaguṇābhirāmamūrtir Pnc_5.17a	atikAnta guNa aBirAma mUrtiH Pnd _5.17a
   atikāntāyatahāramaṇḍalām Pnc_12.14b	ati kAnta Ayata hAra maNxalAm Pnc_12.14b
   atikramyaiva pāṭalām Pnc_6.101b	atikramya eva pAwalAm Pnc_6.101b
   atigāḍhadinoṣṇajanmabhiḥ Pnc_12.47c	ati gAXa dina uzNa janmaBiH Pn= _12.47c
   atigūḍhaṃ yathā yathā Pnc_6.65b	ati gUXam yaTA yaTA Pn= _6.65b
   atitāmradyuti kāladantinā Pnc_12.25b	ati tAmra dyuti kAla dantinA Pnd _12.25b
   atithir nāma pārthivaḥ Pnc_11.35d	atiTiH nAma pArTivaH Pn= _11.35d
   atidurlabhasūryabhāsi yasmiṃs Pnc_5.8a	ati durlaBa sUrya BAsi yasmin Pnd _5.8a
   atidūrato dṛśyate 'yaṃ Pnc_5.55a	ati dUrataH dRSyate ayam Pnd _5.55a
   atidūravikṛṣṭanāgakanyā  Pnc_5.36c	ati dUra vikRzwa nAga kanyA Pn= _5.36c
   atidūraṃ kuraṅgeṇa Pnc_2.41c	ati dUram kuraFgeNa Pn= _2.41c
   atidṛḍham anuraktayā vitīrṇaṃ Pnc_3.59a	ati dRXam anuraktayA vitIrNam Pn= _3.59a
   atipāṭalādharam avāñcitaṃ hriyā Pnc_10.56a	ati pAwala aDaram avAQcitam hriyA Pn= _10.56a
   atibhāsuraratnakuṇḍalām Pnc_12.14a	ati BAsura ratna kuNxalAm Pnc_12.14a
   atimātram upoḍhasaukumārye Pnc_5.3a	atimAtram upoXa sOkumArye Pnc_5.3a
   atimātravismayarasārdramānasaḥ Pnc_10.1b	atimAtra vismaya rasa Ardra mAnasaH Pnc_10.1b
   atiraktam āyatatareṇa Pnc_15.57a	ati raktam AyatatareNa Pnd _15.57a
   atirāgiṇi praṇayiṇīva Pnc_15.54a	atirAgiNi praNayiNI iva Pn= _15.54a
   ativatsalayā samaṃ sakhībhir Pnc_5.28a	ati vatsalayA samam saKIBiH Pnd _5.28a
   ativācālavihaṅganūpuram Pnc_12.37d	ati vAcAla vihaFga nUpuram Pn= _12.37d
   ativitataguṇaikadhāmni tasmin Pnc_3.51a	ati vitata guNa eka DAmni tasmin Pn= _3.51a
   ativitataruciṃ vahantam antas Pnc_3.56a	ati vitata rucim vahantam antar Pnd _3.56a
   ativelam uttaradigantavartinā Pnc_10.20a	ativelam uttara diS anta vartinA Pn= _10.20a
   atiśuddham iva āśayam Pnc_6.109d	ati SudDam iva ASayam Pn= _6.109d
   atisāndrakāñcanamarīcipiṅgalaṃ Pnc_10.11a	ati sAndra kAQcana marIci piFgalam Pn= _10.11a
   atisvādhīnanīvāra  Pnc_11.64a	ati svADIna nIvAra Pn= _11.64a
   atīte vikramāditye Pnc_11.93a	atIte vikramAditye Pn= _11.93a
   atīvāraṇyabhūmayaḥ Pnc_2.59d	atIva araNya BUmayaH Pn= _2.59d
   ato varo 'yaṃ yuvayoḥ samāgamaḥ Pnc_7.67a	atas varaH ayam yuvayoH samAgamaH Pnc_7.67a
   atyacchadaśanodgacchat  Pnc_11.79a	atyacCat aSana udgacCat Pn= _11.79a
   atyacchaṃ pārthivasya ca Pnc_16.6d	atyacCam pArTivasya ca Pn= _16.6d
   atyadbhutaṃ nṛttam ivārabhanta Pnc_17.11c	ati adButam nRttam iva AraBanta Pn= _17.11c
   atyādarāgatajitorjitavairilakṣmī  Pnc_17.71c	ati Adara Agata jita Urjita vEri lakzmI Pn= _17.71c
   atyādarānatasurāsuramauliratna  Pnc_18.17a	ati Adara Anata sura asura mOli ratna Pn= _18.17a
   atyāyatakutūhalā Pnc_6.62d	atyAyata kutUhalA Pn= _6.62d
   atyujjvalaiḥ kavīndreṇa Pnc_2.93c	ati ujjvalEH kavi indreNa Pn= _2.93c
   atyutsukā bhaṅgamalīmasāni Pnc_17.42d	ati utsukA BaFga malImasAni Pn= _17.42d
   atyunnate mūrdhni mahāsurasya Pnc_17.58b	ati unnate mUrDni mahA asurasya Pnc_17.58b
   atyunmanās tadavalokanakautukena Pnc_18.3c	ati unmanAH tad avalokana kOtukena Pn= _18.3c
   atra yat tava sambhramaḥ Pnc_6.57d	atra yat tava samBramaH Pn= _6.57d
   atrāntare jhaṭiti cittam ivāccham ambhaḥ Pnc_7.80a	atra antare Jawiti cittam iva acCam amBaH Pn= _7.80a
   atrāntare nabhaḥsindhu  Pnc_16.1a	atra antare naBaH sinDu Pn= _16.1a
   atrāntare pramadaloladṛśā nṛpeṇa Pnc_18.33a	atra antare pramada lola dRSA nRpeNa Pnd _18.33a
   atrāntare samāyāntī Pnc_6.98a	atra antare samAyAntI Pn= _6.98a
   atrābjapatranayane nayane nimīlya Pnc_10.69b	atra abja patra nayane nayane nimIlya Pn= _10.69b
   atretivṛttaṃ kathayāmy aśeṣaṃ Pnc_9.35c	atra iti vRttam kaTayAmi aSezam Pn= _9.35c
   atrer iva niśākaraḥ Pnc_11.91d	atreH iva niSAkaraH Pn= _11.91d
   atrorvītilake dṛṣṭim Pnc_6.73a	atra urvI tilake dRzwim Pnd _6.73a
   atha kanakamṛṇālikāyugasya Pnc_3.48a	aTa kanaka mRNAlikA yugasya Pnd _3.48a
   atha kamalasarastaraṅgadolā  Pnc_3.44a	aTa kamala saraH taraFga dolA Pn= _3.44a
   atha kām api nirvṛtiṃ tayā Pnc_12.75c	aTa kAm api nirvRtim tayA Pn= _12.75c
   atha kinnararājendra  Pnc_6.87a	aTa kinnara rAja indra Pn= _6.87a
   atha kramonmīlitasauhṛdāsu Pnc_11.120a	aTa krama unmIlita sOhRdAsu Pn= _11.120a
   atha ca sthitim ātmanā vidhatse Pnc_5.71c	aTa ca sTitim AtmanA viDatse Pn= _5.71c
   atha tasya babhūva yatnavān Pnc_12.4c	aTa tasya baBUva yatnavAn Pn= _12.4c
   atha tā gṛhītaśaradindu  Pnc_15.35a	aTa tAH gRhIta Sarad indu Pnc_15.35a
   atha tābhir ekatapanīya  Pnc_15.33a	aTa tABiH eka tapanIya Pn= _15.33a
   atha tām aṅkagatāṃ vyalokayat Pnc_12.8d	aTa tAm aFka gatAm vyalokayat Pn= _12.8d
   atha tāṃ śithilīkṛtatrapām Pnc_12.72a	aTa tAm SiTilIkRta trapAm Pnc_12.72a
   atha dvayenāvanipākaśāsanaḥ Pnc_13.26a	aTa dvayena avanipAkaSAsanaH Pn= _13.26a
   atha dvāḥsthaniveditaḥ Pnc_16.71d	aTa dvAHsTa niveditaH Pn= _16.71d
   atha dvirephasya mukhābjapātino Pnc_7.71a	aTa dvirePasya muKa abja pAtinaH Pnc_7.71a
   atha nabhasi piśaṅgasāndhyarāga  Pnc_3.52a	aTa naBasi piSaFga sAnDya rAga Pn= _3.52a
   atha nyaṣīdannavapallavāsane Pnc_7.33c	aTa nyazIdat = ava pallava Asane Pn= _7.33c
   atha pathi navasāhasāṅkaḥ sa vidyādharair vanditaḥ Pnc_13.72a	aTa paTi nava sAhasa aFkaH sa vidyADarEH vanditaH Pn= _13.72a
   atha pārśvacareṇa sādaraṃ Pnc_12.7a	aTa pArSva careNa sa Adaram Pn= _12.7a
   atha pratasthe navasāhasāṅkaḥ Pnc_17.43d	aTa pratasTe nava sAhasa aFkaH Pn= _17.43d
   atha pravālād api pāṭalacchavir Pnc_4.52c	aTa pravAlAt api pAwala= CaviH Pn= _4.52c
   atha pravālādharabimbacumbi  Pnc_14.79a	aTa pravAla aDara bimba cumbi Pn= _14.79a
   atha bahu carato 'sya cāpapāṇeś Pnc_3.1a	aTa bahu carataH asya cApa pANeH Pnd _3.1a
   atha bālatamālamāṃsalaṃ Pnc_12.41c	aTa bAla tamAla mAMsalam Pn= _12.41c
   atha bibhrat sarāgeṇa Pnc_11.1a	aTa biBrat sa rAgeNa Pnd _11.1a
   atha madagajalīlākhelagāmī saḥ kṛtvā Pnc_5.82a	aTa mada gaja lIlA Kela gAmI saH kRtvA Pn= _5.82a
   atha mantharalocanaṃ hriyā Pnc_12.69a	aTa manTara locanam hriyA Pn= _12.69a
   atha mānavamīnalakṣmaṇo Pnc_12.1a	aTa mAnava mIna lakzmaNaH Pnc_12.1a
   atha mālyavatī nāma Pnc_6.20a	aTa mAlyavatI nAma Pn= _6.20a
   atha mukharakhagāpanītanidraḥ Pnc_2.100a	aTa muKara Kaga apanIta nidraH Pn= _2.100a
   atha mekalācalasutātirohitau Pnc_10.1a	aTa mekalA acala suta atirohitO Pnd _10.1a
   atha rdhimatyā paravaty asi striyā Pnc_4.57a	aTa rDimatyA paravati asi striyA Pn= _4.57a
   atha vadati śanaiḥ sametya tasminn Pnc_16.120a	aTa vadati SanEs sametya tasmin Pn= _16.120a
   atha vallabhārpitakarāgra  Pnc_15.8a	aTa vallaBa arpita kara agra Pn= _15.8a
   athavā parato 'stu narma nāsyāṃ Pnc_5.73a	aTavA paratas astu narma na asyAm Pn= _5.73a
   atha vā mṛgabhaṅginopanīte Pnc_5.44a	aTa vA mRga BaFginA upanIte Pn= _5.44a
   atha vā mṛgayiṣyate na hāraṃ Pnc_5.54a	aTa vA mRgayizyate na hAram Pn= _5.54a
   athavā subhaṭaiḥ sārdham Pnc_16.117a	aTavA su BawEH sArDam Pnc_16.117a
   athavāsyāsti śaktiś cet Pnc_16.102a	aTavA asya asti SaktiH ced Pn= _16.102a
   atha vidrumatāmrauṣṭha  Pnc_16.14a	aTa vidruma tAmra ozWa Pn= _16.14a
   athavaika eva vibhur asy arer vadhe Pnc_10.37a	aTavA ekaH eva viBuH asi areH vaDe Pn= _10.37a
   atha śuci paṭhatā śukena sāma Pnc_12.80a	aTa Suci paWatA Sukena sAma Pn= _12.80a
   atha sa caṭulaṣaṭpadopagītaṃ Pnc_3.3a	aTa sa cawula zawpada upagItam Pnd _3.3a
   atha satrapayā dhṛtāṃśukāṃ Pnc_12.77a	aTa satrapayA DRta aMSukAm Pn= _12.77a
   atha samamasunāthais tāḥ salīlaṃ niṣeduḥ Pnc_15.70c	aTa samam asunATEH tAH sa lIlam nizeduH Pn= _15.70c
   atha samuditatrāsā meghasvanān nanu bhūpater Pnc_7.82a	aTa samudita trAsAH meGa svanAt nanu BUpateH Pn= _7.82a
   atha sambhramād anucareṇa Pnc_3.73a	aTa samBramAt anucareNa Pnd _3.73a
   atha sasmitam āttavepathuḥ Pnc_12.15a	aTa sa smitam Atta vepaTuH Pn= _12.15a
   atha sānṛjuvādinī vidhāya Pnc_5.80a	aTa sa anRju vAdinI viDAya Pn= _5.80a
   atha sāndragharmajalabindu  Pnc_15.1a	aTa sAndra Garma jala bindu Pnc_15.1a
   atha sā vadane navendukānti  Pnc_5.1a	aTa sA vadane nava indu kAnti Pnd _5.1a
   atha sā siddhatanayā Pnc_6.30a	aTa sA sidDa tanayA Pn= _6.30a
   atha sutanur alolatārake sā Pnc_6.118a	aTa su tanuH alola tArake sA Pnd _6.118a
   atha svabimbādharapāṭalacchadaṃ Pnc_7.29a	aTa sva bimba aDara pAwala= Cadam Pn= _7.29a
   atha svareṇāṅgaṇadīrghikāṇāṃ Pnc_9.1a	aTa svareNa aFgaNa dIrGikANAm Pnd _9.1a
   atha haṃsam itas tato vicetuṃ Pnc_5.37c	aTa haMsam itas tatas vicetum Pn= _5.37c
   atha hāram anādareṇa kaṇṭhāt Pnc_5.63a	aTa hAram anAdareNa kaNWAt Pn= _5.63a
   atha hāralatāvikṛṣṭadṛṣṭiḥ Pnc_5.67a	aTa hAra latA vikRzwa dRzwiH Pn= _5.67a
   athātharvavidām ādyaḥ Pnc_11.67a	aTa aTarva vidAm AdyaH Pnd _11.67a
   athādadhad vaktra ivāmśukāñcalaṃ Pnc_13.15a	aTa adaDat vaktraH iva amSuka aQcalam Pn= _13.15a
   athādūre sukhāsīnaḥ Pnc_11.39a	aTa adUre suKa AsInaH Pn= _11.39a
   athādhigantuṃ kila tasya patriṇo Pnc_4.40a	aTa aDigantum kila tasya patriNaH Pnc_4.40a
   athānaṅgavatī nāma Pnc_6.52a	aTa anaFgavatI nAma Pn= _6.52a
   athānubhavena nideśiteva sā Pnc_4.46c	aTa anuBavena nideSitA iva sA Pn= _4.46c
   athāntikasthena saś cābhyadhāyi Pnc_14.6a	aTa antika sTena saH ca aByaDAyi Pnd _14.6a
   athārpitaṃ tena phalaṃ tadādade Pnc_13.21a	aTa arpitam tena Palam tad Adade Pnc_13.21a
   athāvataṃsīkṛtalocanotpalaṃ Pnc_7.37a	aTa avataMsIkRta locana utpalam Pn= _7.37a
   athāśramopāntamahīṃ vihāya Pnc_14.1a	aTa ASrama upAnta mahIm vihAya Pnd _14.1a
   athāsurendradviradena vegād Pnc_17.53a	aTa asura indra dviradena vegAt Pnc_17.53a
   athāsya kopaḥ praśaśāma mānase Pnc_13.57a	aTa asya kopaH praSaSAma mAnase Pn= _13.57a
   athāsya sīdanmaṇibandhanāt karād Pnc_13.24a	aTa asya sIdan maNibanDanAt karAt Pn= _13.24a
   athāhividyādhararājasainyair Pnc_17.1a	aTa ahi vidyADara rAja sEnyEH Pn= _17.1a
   atheti bāṣpodgamagadgadaiḥ padair Pnc_13.51c	aTa iti bAzpa udgama gadgadEH padEH Pn= _13.51c
   athettham amlānamanorathodgamo Pnc_7.3c	aTa itTam amlAna manoraTa udgamaH Pnc_7.3c
   athedaṃ ratnavalayaṃ Pnc_11.111a	aTa idam ratna valayam Pn= _11.111a
   athendracāpalalitaṃ Pnc_2.34a	aTa indracApa lalitam Pn= _2.34a
   athaitena gṛhīteyaṃ Pnc_11.112a	aTa etena gRhItA iyam Pn= _11.112a
   athaiṣa dīrghā darśanārciṣaḥ kiran Pnc_4.10a	aTa eza dIrGA darSana arcizaH kiran Pnd _4.10a
   atho rathenājimahīṃ viveśa Pnc_17.27d	aTo raTena Aji mahIm viveSa Pn= _17.27d
   adatta yāṃ vākpatirājadevaḥ Pnc_1.8b	adatta yAm vAkpati rAjadevaH Pnd _1.8b
   adaḥ sugandhīkuru matprasūnaṃ Pnc_14.60a	adaH suganDIkuru mad prasUnam Pn= _14.60a
   adurlabhām indumukhīm amanyata Pnc_4.8d	adurlaBAm indu muKIm amanyata Pn= _4.8d
   adṛśyata cchatram ivāntakasya Pnc_17.23d	adRSyate cCatram iva antakasya Pn= _17.23d
   adṛśyataikā viśatī tapovanaṃ Pnc_13.49c	adRSyatA ekA viSatI tapaH vanam Pn= _13.49c
   adṛśyatoddāmabhujāspadasya Pnc_17.59c	adRSya ta uddAma Buja Aspadasya Pn= _17.59c
   adṛśyam etad yadi manyase tataḥ Pnc_7.54a	adRSyam etat yadi manyase tatas Pn= _7.54a
   adṛśyair atha sā nāgair Pnc_11.104a	adRSyEH aTa sA nAgEH Pn= _11.104a
   adṛṣṭe 'py utsukā rājñi Pnc_6.14a	adRzwe api utsukAH rAjQi Pnd _6.14a
   adbhir jagatyastamitopasarge Pnc_9.30b	adBiH jagati astamita upasarge Pnc_9.30b
   adbhutaṃ pathi bibhīṣikāvaham Pnc_8.57b	adButam paTi biBIzikA vaham Pnc_8.57b
   adya naḥ puṇyabījena Pnc_11.40a	adya naH puNya bIjena Pn= _11.40a
   adya naḥ saphalaṃ cakṣuś Pnc_6.55a	adya naH saPalam cakzuH Pnc_6.55a
   adyāpi tūrṇam amunā svabhujārjitena Pnc_18.40b	adya api tUrNam amunA sva Buja arjitena Pn= _18.40b
   adyaiṣa kasyāpi mayā śubhasya Pnc_9.4a	adya eza kasya api mayA SuBasya Pnd _9.4a
   adrakṣam aham ekadā Pnc_6.22b	adrakzam aham ekadA Pnc_6.22b
   adharāgracumbanam avāpya Pnc_15.59a	aDara agra cumbanam avApya Pn= _15.59a
   adharitamurajadhvanīni muñcan Pnc_7.81c	aDarita m uraja DvanIni muQcan Pn= _7.81c
   adhas taruṇām amunā vinīyate Pnc_4.33c	aDas taruNAm amunA vinIyate Pn= _4.33c
   adhastālīvanāsitaḥ Pnc_11.58b	aDastAlIva nAsitaH Pnc_11.58b
   adhaḥkṛtāḥ satyam adhīralocane Pnc_7.48a	aDas kRtAH satyam aDIra locane Pn= _7.48a
   adhaḥ praviṣṭoddhṛtakacchapoddhṛtair Pnc_13.42c	aDas pravizwa udDRta kacCapa udDRtEH Pn= _13.42c
   adhaḥsaṃnaddhamedheṣu Pnc_11.55a	aDas saMnadDa meDezu Pn= _11.55a
   adhaḥsthalīnirgatajahnukanyako Pnc_13.18c	aDas sTalI nirgata jahnu kanyakaH Pn= _13.18c
   adhaḥsthitoḍḍāmaravairipatti  Pnc_17.61a	aDas sTita uxxAmara vEripatti Pn= _17.61a
   adhikarṇam udgatamayūkha  Pnc_15.39a	aDikarNam udgata mayUKa Pn= _15.39a
   adhikādhikajātalajjayā Pnc_12.75a	aDika aDika jAta lajjayA Pn= _12.75a
   adhirohati yatra vaṃśamuktā  Pnc_5.16a	aDirohati yatra vaMSa muktA Pnd _5.16a
   adhirohati svayam acintitāpy aho Pnc_10.2a	aDirohati svayam acintitA api aho Pn= _10.2a
   adhītya kautukenātha Pnc_6.13a	aDItya kOtukena aTa Pn= _6.13a
   adhīyate mānmatham astravedam Pnc_1.33d	aDIyate mAnmaTam astra vedam Pn= _1.33d
   adhīratāṃ dakṣiṇamātariśvanā Pnc_4.11c	aDIratAm dakziNa mAtariSvanA Pn= _4.11c
   adhunā kim induvadanā ca vakti sā Pnc_10.61b	aDunA kim indu vadanA ca vakti sA Pnd _10.61b
   adhunā timirair vigāhyate Pnc_12.43c	aDunA timirEH vigAhyate Pn= _12.43c
   adhunā tu nītinihitena cetasā Pnc_10.24c	aDunA tu nIti nihitena cetasA Pn= _10.24c
   adhunāpi deva muralāṅganājanais Pnc_10.16a	aDunA api deva murala aFganA janEH Pnd _10.16a
   adhunā puno 'tra vindhyapade Pnc_5.27a	aDunA punaH atra vinDya pade Pn= _5.27a
   adhunāpy ālikhiteva nūnam āste Pnc_5.44d	aDunA api AliKitA iva nUnam Aste Pn= _5.44d
   adhunā manmahe vayam Pnc_11.114d	aDunA manmahe vayam Pn= _11.114d
   adhunā hṛdaye 'py eṣa Pnc_6.60c	aDunA hRdaye api eza Pn= _6.60c
   adhunaiva te 'tra nijatāṃ vrajanti vā Pnc_10.35a	aDunA eva te atra nijatAm vrajanti vA Pnd _10.35a
   adhyāsate kām api kāntim āsām Pnc_14.57a	aDyAsate kAm api kAntim AsAm Pnc_14.57a
   adhyāsate yasya mukhāravindaṃ Pnc_1.64c	aDyAsate yasya muKa aravindam Pn= _1.64c
   adhyāsta ratnasadanaṃ parito vitāna  Pnc_11.121c	aDyAsta ratna sadanam paritas vitAna Pn= _11.121c
   adhyāsta sādarajaratphaṇikalpitāśīs Pnc_18.29c	aDyAsta sAdara jarat PaNi kalpita ASIH Pn= _18.29c
   adhyāsya kārmukasanāthakaro narendraḥ Pnc_13.69b	aDyAsya kArmuka sanATa karaH narendraH Pnc_13.69b
   adhyāsya sa śilātalam Pnc_2.80b	aDyAsya sa SilA talam Pnc_2.80b
   anaṅgakalpadrumamañjarīṇām Pnc_14.75a	anaFga kalpadruma maQjarINAm Pn= _14.75a
   Anaṅgakodaṇḍalatām ivaikṣata Pnc_7.1d	AnaFga kodaNxala tAm iva Ekzata Pn= _7.1d
   Anaṅgacaṇḍātapataptayos tadā Pnc_4.7a	AnaFga caNxa Atapa taptayoH tadA Pn= _4.7a
   anaṅgatāpavaty asyā Pnc_16.39a	anaFga tA apavatI asyAH Pnc_16.39a
   Anaṅgadīpanaṃ tasyai Pnc_6.106c	AnaFga dIpanam tasyE Pn= _6.106c
   Anaṅgadurvāraśarādhidaivataṃ Pnc_7.48c	AnaFga durvAra Sara aDi dEvatam Pn= _7.48c
   Anaṅganṛpasāmrājya  Pnc_6.71c	AnaFga nRpa sAmrAjya Pn= _6.71c
   anaṅgamattadvipakumbhalakṣmīḥ Pnc_14.54d	anaFga matta dvipa kumBa lakzmIH Pn= _14.54d
   Anaṅgaratnākaravelayā manaḥ Pnc_7.2d	AnaFga ratna Akara velayA manaH Pn= _7.2d
   anaṅgalīlākalahotsaveṣu Pnc_1.30b	anaFga lIlAka laha utsavezu Pnd _1.30b
   anaṅgalīlāsu kṛtī bhuvaḥpatiḥ Pnc_4.34b	anaFga lIlAsu kRtI BuvaHpatiH Pnd _4.34b
