   agre māhiṣikaṃ dṛṣṭvā YS78v_35a	agre mAhizikam dRzwvA YS78u-_35a
   ekaikaṃ varddhayec chukle YS78v_10a	ekEkam vardDayet Sukle YS78u-_10a
   etat te kathitaṃ sarvaṃ YS78v_68a	etat te kaTitam sarvam YS78u-_68a
   etad bhāsvatir abravīt YS78v_33d	etat BAsvatiH abravIt YS78u-_33d
   etān niyojayed yas tu YS78v_34a	etAn niyojayet yaH tu YS78u-_34a
   ete varjyāḥ prayatnena YS78v_33c	ete varjyAH prayatnena YS78u-_33c
   ete śūdreṣu bhojyānnā YS78v_20c	ete SUdrezu Bojya-annAH YS78u-_20c
   ete śrāddhe ca dāne ca YS78v_a	ete SrAdDe ca dAne ca YS78u-_a
   eteṣām udakaṃ pītvā YS78v_47c	etezAm udakam pItvA YS78u-_47c
   evam eva tu nārīṇāṃ YS78v_74c	evam eva tu nArINAm YS78u-_74c
   eṣa cāndrāyaṇo vidhiḥ YS78v_10d	eza cAndrAyaNaH viDiH YS78u-_10d
   eṣāṃ gatvā tu yoṣāṃ vai YS78v_55a	ezAm gatvA tu yozAm vE YS78u-_55a
   kartā yadi vipadyate YS78v_12b	kartA yadi vipadyate YS78u-_12b
   kāmād akāmato vāpi YS78v_57c	kAmAt akAmatas vA-api YS78u-_57c
   kāṣṭhe vanaspatau rodha- YS78v_67c	kAzWe vanaspatO roDa YS78u-_67c
   kukkuṭāṇḍapramāṇan tu YS78v_9a	kukkuwa-aNxa-pramANan tu YS78u-_9a
   kunakhī śyāvadantakaḥ YS78v_29b	kunaKI SyAva-dantakaH YS78u-_29b
   kumārī tu rajasvalā YS78v_25d	kumArI tu rajasvalA YS78u-_25d
   kulamitrārdhasīriṇaḥ YS78v_20b	kula-mitra-arDa-sIriNaH YS78u-_20b
   kuśāśvatthapalāśakāḥ YS78v_47b	kuSa-aSvatTa-palASakAH YS78u-_47b
   kṛcchrapādaṃ caret pūrvā YS78v_60c	kRcCra-pAdam caret pUrvAH YS78u-_60c
   kṛcchrārddhaṃ saṃprakurvīta YS78v_6c	kRcCra-ardDam saMprakurvIta YS78u-_6c
   kṛcchreṇa vastraghāte 'pi YS78v_71a	kRcCreNa vastra-GAte api YS78u-_71a
   kṛcchreṇa śudhyate pūrvā YS78v_58c	kRcCreNa SuDyate pUrvA YS78u-_58c
   kṛmibhir vraṇasaṃbhūtair YS78v_6a	kRmiBiH vraNa-saMBUtEH YS78u-_6a
   kṛmibhuktabraṇe mauñjī- YS78v_7c	kRmi-Bukta-braNe mOQjI YS78u-_7c
   kṛṣṇapakṣe ca hrāsayet YS78v_10b	kRzNa-pakze ca hrAsayet YS78u-_10b
   kaivartamedabhillāś ca YS78v_54c	kEvarta-meda-BillAH ca YS78u-_54c
   krūragarbhaś ca maithune YS78v_77b	krUragarBaH ca mETune YS78u-_77b
   kṣatriyā śūdrajā tathā YS78v_59b	kzatriyA SUdra-jA taTA YS78u-_59b
   gātre mukhe ca praviśec ca samyak YS78v_44c	gAtre muKe ca praviSet ca samyak YS78u-_44c
   gṛhitvañ ca cikīrṣati YS78v_48d	gRhitvan ca cikIrzati YS78u-_48d
   goghnaś ceti viśuddhyati YS78v_71b	go-GnaH ca-iti viSudDi-ati YS78u-_71b
   gobrāhmaṇahanaṃ dagdhā YS78v_5a	go-brAhmaNa-hanam dagDA YS78u-_5a
   gomāṃsabhakṣaṇe kṛte YS78v_11b	go-mAMsa-BakzaNe kRte YS78u-_11b
   grāsañca parikalpayet YS78v_9b	grAsaQca parikalpayet YS78u-_9b
   caturṇām api varṇānāṃ YS78v_1c	caturNAm api varNAnAm YS78u-_1c
   caturthe saśikhaṃ vapet YS78v_72d	caturTe sa-SiKam vapet YS78u-_72d
   catvāri khalu karmāṇi YS78v_76a	catvAri Kalu karmANi YS78u-_76a
   carec cāndrāyaṇaṃ vratam YS78v_8d	caret cAndrAyaNam vratam YS78u-_8d
   carec cāndrāyaṇaṃ vratam YS78v_21d	caret cAndrAyaNam vratam YS78u-_21d
   carec cāndrāyaṇāni ca YS78v_49b	caret cAndrAyaNAni ca YS78u-_49b
   cāṇḍālarajakastriyaḥ YS78v_18b	cANxAla-rajaka-striyaH YS78u-_18b
   cāṇḍālair arajasvalā YS78v_62b	cANxAlEH arajasvalA YS78u-_62b
   cāndrāyaṇena śuddhyanti YS78v_3c	cAndrAyaNena SudDyanti YS78u-_3c
   chedayed aṅgulidvayam YS78v_74b	Cedayet aFguli-dvayam YS78u-_74b
   jalāgnyudvandhanabhraṣṭāḥ YS78v_2a	jala-agni-udvanDana-BrazwAH YS78u-_2a
   jātakarmādibhiḥ proktaiḥ YS78v_49c	jAtakarma-AdiBiH proktEH YS78u-_49c
   jātarūpaṃ suvarṇañ ca YS78v_19a	jAtarUpam suvarNan ca YS78u-_19a
   jñātvā dharmaṃ samācaret YS78v_51d	jQAtvA Darmam samAcaret YS78u-_51d
   jñātvā bhuṅkte viśeṣeṇa YS78v_8c	jQAtvA BuFkte viSezeNa YS78u-_8c
   jyeṣṭho bhrātā tathaiva ca YS78v_23b	jyezWaH BrAtA taTA-eva ca YS78u-_23b
   tataḥ śuddhyeta āturaḥ YS78v_53d	tatas SudDyete AturaH YS78u-_53d
   tato devalakaś caiva YS78v_33a	tatas devalakaH ca-eva YS78u-_33a
   tat pāpas tu praṇaśyati YS78v_11d	tat pApaH tu praNaSyati YS78u-_11d
   tat pāpaṃ na praṇaśyati YS78v_43d	tat pApam na praNaSyati YS78u-_43d
   tadarddhan tu tathottarā YS78v_60d	tat-ardDan tu taTA-uttarAH YS78u-_60d
   tad bhaikṣabhug japen nityaṃ YS78v_26c	tat BEkza-Buj japet nityam YS78u-_26c
   tan mātreṇaiva śuddhyati YS78v_45d	tat mAtreNa-eva SudDi-ati YS78u-_45d
   taptakṛcchrañ cared vipras YS78v_11c	taptakRcCran caret vipraH YS78u-_11c
   taptakṛcchradvayena vā YS78v_3d	taptakRcCra-dvayena vA YS78u-_3d
   taptakṛcchraṃ samācaret YS78v_5d	taptakRcCram samAcaret YS78u-_5d
   taptakṛcchraṃ samācaret YS78v_55b	taptakRcCram samAcaret YS78u-_55b
   tasyāñ caiva prasūtasya YS78v_28c	tasyAn ca-eva prasUtasya YS78u-_28c
   tān doṣān kṣamate yas tu YS78v_36c	tAn dozAn kzamate yaH tu YS78u-_36c
   tāvac cīrṇavratasyāpi YS78v_43c	tAvat cIrNa-vratasya-api YS78u-_43c
   tāvato grasate piṇḍān YS78v_40c	tAvataH grasate piNxAn YS78u-_40c
   tāvat tiṣṭhet nirāhārā YS78v_61c	tAvat tizWet nirAhArAH YS78u-_61c
   tūlikā upadhānāni YS78v_50a	tUlikAH upaDAnAni YS78u-_50a
   tṛtīye tu śikhā dhāryā YS78v_72c	tRtIye tu SiKA DAryA YS78u-_72c
   tena snātvā ca pītvā ca YS78v_19c	tena snAtvA ca pItvA ca YS78u-_19c
   tenaivocchiṣṭasaṃspṛṣṭaḥ YS78v_42c	tena-eva-ucCizwa-saMspRzwaH YS78u-_42c
   te 'pi sarve vigarhitāḥ YS78v_13d	te api sarve vigarhitAH YS78u-_13d
   trayas te narakaṃ yānti YS78v_23c	trayaH te narakam yAnti YS78u-_23c
   tribhir varṣair vyapohati YS78v_26d	triBiH varzEH vyapohati YS78u-_26d
   dattvā dhenuṃ tathā vṛṣam YS78v_4d	dattvA Denum taTA vRzam YS78u-_4d
   daśakṛtvo hy anāturaḥ YS78v_53b	daSa-kRtvas hi anAturaH YS78u-_53b
   dāruṇā ghātane kṛcchraṃ YS78v_69a	dAruNAH GAtane kRcCram YS78u-_69a
   dāsanāpitagopāla- YS78v_20a	dAsa-nApita-gopAla YS78u-_20a
   divānītaṃ ca yaj jalam YS78v_19b	divAnItam ca yat jalam YS78u-_19b
   divānītena toyena YS78v_63c	divAnItena toyena YS78u-_63c
   divārka raśmisaṃspṛṣṭaṃ YS78v_64a	divArka raSmi-saMspRzwam YS78u-_64a
   durbhago hi tathā ṣaṇḍaḥ YS78v_30a	durBagaH hi taTA zaNxaH YS78u-_30a
   dṛṣṭvā kanyāṃ rajasvalām YS78v_23d	dRzwvA kanyAm rajasvalAm YS78u-_23d
   deśaṃ kālaṃ tathātmānaṃ YS78v_51a	deSam kAlam taTA-AtmAnam YS78u-_51a
   dravyaṃ dravyaprayojanam YS78v_51b	dravyam dravya-prayojanam YS78u-_51b
   dvitīye śmaśru vāpayet YS78v_72b	dvitIye SmaSru vApayet YS78u-_72b
   dharmaśāstraṃ pravartate YS78v_1d	Darma-SAstram pravartate YS78u-_1d
   na kuryād vaidikīṃ śrutim YS78v_73d	na kuryAt vEdikIm Srutim YS78u-_73d
   na ca rātrau vased goṣṭhe YS78v_73c	na ca rAtrO vaset gozWe YS78u-_73c
   na ca sā gām anuvrajet YS78v_73b	na ca sA gAm anuvrajet YS78u-_73b
   naṭo vuruḍa eva ca YS78v_54b	nawaH vuruxaH eva ca YS78u-_54b
   nadīkāntāramantike YS78v_71d	nadIkAntAram-antike YS78u-_71d
   na śūdrī vṛṣalī bhavet YS78v_27d	na SUdrI vRzalI Bavet YS78u-_27d
   na sa tatra viśuddhyati YS78v_9d	na sa tatra viSudDi-ati YS78u-_9d
   na strīṇāṃ vapanaṃ kuryāt YS78v_73a	na strINAm vapanam kuryAt YS78u-_73a
   nāparādho na pātakam YS78v_16b	na-aparADaH na pAtakam YS78u-_16b
   nāvāyasa tṛṇāni ca YS78v_52b	na-avAyasa tRNAni ca YS78u-_52b
   nāsya sūtakitā bhavet YS78v_75d	na-asya sUtakitA Bavet YS78u-_75d
   nityaṃ pratigrahe lubdho YS78v_31a	nityam pratigrahe lubDaH YS78u-_31a
   nidrā śriyo nivarttante YS78v_77c	nidrA SriyaH nivarttante YS78u-_77c
   nirāśāḥ pitaras tasya YS78v_34c	nirASAH pitaraH tasya YS78u-_34c
   nirāśāḥ pitaro gatāḥ YS78v_35d	nirASAH pitaraH gatAH YS78u-_35d
   niṣkṛtir naiva vidyate YS78v_28d	nizkRtiH na-eva vidyate YS78u-_28d
   niḥśvāsopahatasya ca YS78v_28b	niHSvAsa-upahatasya ca YS78u-_28b
   pakveṣṭakacitāni ca YS78v_52d	pakva-izwaka-citAni ca YS78u-_52d
   pañcagavyena śuddhyati YS78v_41d	paQcagavyena SudDi-ati YS78u-_41d
   pañcavarṣāt parasya ca YS78v_15b	paQca-varzAt parasya ca YS78u-_15b
   padmoḍumbaravilvāś ca YS78v_47a	padma-uxumbara-vilvAH ca YS78u-_47a
   pavitraṃ sarvadā jalam YS78v_64d	pavitram sarvadA jalam YS78u-_64d
   pātakena tu liptena YS78v_75c	pAtakena tu liptena YS78u-_75c
   pādakṛcchran tu pādape YS78v_69d	pAda-kRcCran tu pAdape YS78u-_69d
   pādahīnaṃ caret pūrvā YS78v_59c	pAda-hInam caret pUrvAH YS78u-_59c
   pādārddhan tu tathottarā YS78v_59d	pAda-ArdDan tu taTA-uttarAH YS78u-_59d
   pāśaṃ tasyaiva chittvā tu YS78v_5c	pASam tasya-eva CittvA tu YS78u-_5c
   pāṣaṇḍī vedanindakaḥ YS78v_30b	pAzaNxI veda-nindakaH YS78u-_30b
   pāṣāṇair dviguṇaṃ bhavet YS78v_69b	pAzANEH dviguNam Bavet YS78u-_69b
   pāṣāṇaiḥ śastraghātanaiḥ YS78v_66b	pAzANEH Sastra-GAtanEH YS78u-_66b
   pitaro yatra tarpitāḥ YS78v_39b	pitaraH yatra tarpitAH YS78u-_39b
   pitā pibati śoṇitam YS78v_22d	pitA pibati SoNitam YS78u-_22d
   pitā vānyo 'pi bāndhavaḥ YS78v_15d	pitA vA-anyaH api bAnDavaH YS78u-_15d
   pitṛbhis tarpitaiḥ paścād YS78v_39c	pitRBiH tarpitEH paScAt YS78u-_39c
   pibed ācamane dvijaḥ YS78v_65b	pibet Acamane dvijaH YS78u-_65b
   piśuno matsaras tathā YS78v_29d	piSunaH matsaraH taTA YS78u-_29d
   punaḥ saṃskāram arhati YS78v_49d	punar saMskAram arhati YS78u-_49d
   puṣpaṃ raktāmbarāṇi ca YS78v_50b	puzpam rakta-ambarANi ca YS78u-_50b
   pūtas tad ahar evāpi YS78v_12c	pUtaH tat ahar eva-api YS78u-_12c
   pūyante 'nuvrate cīrṇe YS78v_14c	pUyante anuvrate cIrNe YS78u-_14c
   pūyaśoṇita sambhave YS78v_7b	pUya-SoNita samBave YS78u-_7b
   prabrajyānaśanacyutāḥ YS78v_2b	prabrajya-anaSana-cyutAH YS78u-_2b
   pramādasthānam uttamam YS78v_68b	pramAda-sTAnam uttamam YS78u-_68b
   prayaścittaṃ tathā prāptaṃ YS78v_21c	prayaH-cittam taTA prAptam YS78u-_21c
   pravrajyāgnir nirāpadi YS78v_48b	pravrajyA-agniH nirApadi YS78u-_48b
   prājāpatyaṃ samācaret YS78v_42d	prAjApatyam samAcaret YS78u-_42d
   prājāpatyena kṛcchreṇa YS78v_62c	prAjApatyena kRcCreNa YS78u-_62c
   prāṇāyāmaśatena ca YS78v_62d	prANAyAma-Satena ca YS78u-_62d
   prāpte dvādaśame varṣe YS78v_22a	prApte dvAdaSame varze YS78u-_22a
   prāyaścittaṃ kathaṃ tāsāṃ YS78v_56c	prAyaScittam kaTam tAsAm YS78u-_56c
   prāyaścittaṃ kathaṃ bhavet YS78v_18d	prAyaScittam kaTam Bavet YS78u-_18d
   prāyaścittaṃ kathaṃ bhavet YS78v_46d	prAyaScittam kaTam Bavet YS78u-_46d
   prāyaścittaṃ cared bhrātā YS78v_15c	prAyaScittam caret BrAtA YS78u-_15c
   prāyaścittaṃ na vidyate YS78v_16d	prAyaScittam na vidyate YS78u-_16d
   prāyaścittaṃ samācaret YS78v_68d	prAyaScittam samAcaret YS78u-_68d
   prāyaścittābhidhāyakam YS78v_1b	prAyaScitta-aBiDAyakam YS78u-_1b
   prāyaścittārddham arhanti YS78v_17c	prAyaScitta-ardDam arhanti YS78u-_17c
   prāyaścittena śuddhyati YS78v_13b	prAyaScittena SudDi-ati YS78u-_13b
   prāyaścitte hy upakrānte YS78v_12a	prAyaScitte hi upakrAnte YS78u-_12a
   prokṣayitvā śucir bhavet YS78v_50d	prokzayitvA SuciH Bavet YS78u-_50d
   bālo vāpy ūnaṣoḍaśaḥ YS78v_17b	bAlaH vA-api Una-zoxaSaH YS78u-_17b
   brahmavādiṣu garhitaḥ YS78v_37d	brahma-vAdizu garhitaH YS78u-_37d
   brāhmaṇasya maladvāre YS78v_7a	brAhmaNasya mala-dvAre YS78u-_7a
   brāhmaṇī śūdrajā tathā YS78v_58b	brAhmaNI SUdra-jA taTA YS78u-_58b
   brāhmaṇo madamohitaḥ YS78v_24b	brAhmaNaH mada-mohitaH YS78u-_24b
   bhṛtako vedavikrayī YS78v_33b	BRtakaH veda-vikrayI YS78u-_33b
   makṣikāśvopaghātitaḥ YS78v_6b	makzikA-aSva-upa-GAtitaH YS78u-_6b
   madhye tu vṛṣalīpatim YS78v_35b	maDye tu vRzalI-patim YS78u-_35b
   mayā proktam idaṃ śāstraṃ YS78v_78c	mayA proktam idam SAstram YS78u-_78c
   mahārghaṃ yah prayacchati YS78v_37b	mahArGam yam prayacCati YS78u-_37b
   mahiṣīty ucyate bhāryā YS78v_36a	mahizi-iti ucyate BAryA YS78u-_36a
   mātā caiva pitā caiva YS78v_23a	mAtA ca-eva pitA ca-eva YS78u-_23a
   mārutārkeṇa śuddhyanti YS78v_52c	mAruta-arkeNa SudDyanti YS78u-_52c
   māsi māsi rajas tasyāḥ YS78v_22c	mAsi mAsi rajaH tasyAH YS78u-_22c
   mṛtakena tu jātena YS78v_75a	mRtakena tu jAtena YS78u-_75a
   mṛtam udvandhanena ca YS78v_5b	mRtam udvanDanena ca YS78u-_5b
   mṛtpiṇḍe gokulena ca YS78v_66d	mRd-piNxe gokulena ca YS78u-_66d
   yat karoty ekarātreṇa YS78v_26a	yat karoti eka-rAtreNa YS78u-_26a
   yatra yatra mṛtā gāvaḥ YS78v_68c	yatra yatra mRtAH gAvaH YS78u-_68c
   yad aṅgam upahanyate YS78v_45b	yat aFgam upahanyate YS78u-_45b
   yad veṣṭitaṃ kākabalākacillair YS78v_44a	yat vezwitam kAka-balAka-cillEH YS78u-_44a
   yamasya vacanaṃ yathā YS78v_65d	yamasya vacanam yaTA YS78u-_65d
   yaś cātmanaṃ nivedayet YS78v_20d	yaH ca-Atmanam nivedayet YS78u-_20d
   yaṣṭighāte dvayaṃ caret YS78v_b	yazwi-GAte dvayam caret YS78u-_b
   yaṣṭyā tu ghātane caiva YS78v_66c	yazwyA tu GAtane ca-eva YS78u-_66c
   yas tāṃ vivāhayet kanyāṃ YS78v_24a	yaH tAm vivAhayet kanyAm YS78u-_24a
   yaḥ kanyāṃ na prayacchati YS78v_22b	yaH kanyAm na prayacCati YS78u-_22b
   yaḥ kṣatriyas tathā vaiśyaḥ YS78v_8a	yaH kzatriyaH taTA vESyaH YS78u-_8a
   yaḥ pratyavasito vipraḥ YS78v_48a	yaH pratyavasitaH vipraH YS78u-_48a
   yācako viṣayātmakaḥ YS78v_31b	yAcakaH vizaya-AtmakaH YS78u-_31b
   yā caiva vyabhicāriṇī YS78v_36b	yA ca-eva vyaBicAriNI YS78u-_36b
   yānti devāmaharṣibhiḥ YS78v_34d	yAnti devAmahA-RziBiH YS78u-_34d
   yāvato grasate grāsān YS78v_40a	yAvataH grasate grAsAn YS78u-_40a
   yāvad uṣṇaṃ bhavaty annaṃ YS78v_38a	yAvat uzNam Bavati annam YS78u-_38a
   yāvad ekaḥ pṛthak dravyaḥ YS78v_13a	yAvat ekaH pRTak dravyaH YS78u-_13a
   yāvad bhuñjanti vāgyatāḥ YS78v_38b	yAvat BuQjanti vAgyatAH YS78u-_38b
   yāvad viprā na pūjyante YS78v_43a	yAvat viprAH na pUjyante YS78u-_43a
   yāvan noktā havirguṇāḥ YS78v_38d	yAvat na-uktAH haviH-guNAH YS78u-_38d
   ye 'grāmya śaraṇacyutāḥ YS78v_4b	ye agrAmya SaraNa-cyutAH YS78u-_4b
   ye bhuñjanty abudhā narāḥ YS78v_21b	ye BuQjanti abuDAH narAH YS78u-_21b
   yo varttayati gomadhye YS78v_71c	yaH varttayati go-maDye YS78u-_71c
   rajakaś carmakāraś ca YS78v_54a	rajakaH carmakAraH ca YS78u-_54a
   rathy ākardamatoyāni YS78v_52a	raTI Akardama-toyAni YS78u-_52a
   rājadaṇḍo na tasyāsti YS78v_16c	rAja-daNxaH na tasya-asti YS78u-_16c
   rātrau nakṣatraraśmibhiḥ YS78v_64b	rAtrO nakzatra-raSmiBiH YS78u-_64b
   reto mūtrapurīṣāṇāṃ YS78v_46c	retaH mUtra-purIzANAm YS78u-_46c
   rogī hīnātiriktāṅgaḥ YS78v_29c	rogI hIna-atirikta-aFgaH YS78u-_29c
   rodhane bandhane caiva YS78v_67a	roDane banDane ca-eva YS78u-_67a
   romāṇi prathame pāde YS78v_72a	romANi praTame pAde YS78u-_72a
   vaktavyaṃ śobhanaṃ haviḥ YS78v_39d	vaktavyam SoBanam haviH YS78u-_39d
   vandhyā tu vṛṣalī jñeyā YS78v_25a	vanDyA tu vRzalI jQeyAH YS78u-_25a
   varjanīyāḥ prayatnataḥ YS78v_b	varjanIyAH prayatnataH YS78u-_b
   varṇānāṃ hitakāmyayā YS78v_78b	varNAnAm hita-kAmyayA YS78u-_78b
   varṇe varṇe vidhīyate YS78v_56d	varNe varNe viDIyate YS78u-_56d
   vipraḥ spṛṣṭo niśāyāñ ca YS78v_63a	vipraH spRzwaH niSAyAn ca YS78u-_63a
   viṣaprapatanaprāya- YS78v_2c	viza-prapatana-prAya YS78u-_2c
   vṛṣalī tu mṛtaprajāḥ YS78v_25b	vRzalI tu mRta-prajAH YS78u-_25b
   vṛṣalīphenapītasya YS78v_28a	vRzalI-Pena-pItasya YS78u-_28a
   vṛṣalī sā tu vijñeyā YS78v_27c	vRzalI sA tu vijQeyA YS78u-_27c
   vṛṣalīsevanād dvijaḥ YS78v_26b	vRzalI-sevanAt dvijaH YS78u-_26b
   vaiśyajā śūdrajā tathā YS78v_60b	vESya-jA SUdra-jA taTA YS78u-_60b
   śaktyā dadyāt tu dakṣiṇām YS78v_6d	SaktyA dadyAt tu dakziNAm YS78u-_6d
   śarīre brahmaṇaḥ pitā YS78v_40d	SarIre brahmaNaH pitA YS78u-_40d
   śastraghātacyutāśca ye YS78v_2d	Sastra-GAta-cyutAH-ca ye YS78u-_2d
   śastraghāte trikṛcchrāṇi YS78v_a	Sastra-GAte trikRcCrANi YS78u-_a
   śiraso vapanaṃ smṛtam YS78v_74d	SirasaH vapanam smRtam YS78u-_74d
   śunā śūdreṇa vā dvijaḥ YS78v_41b	SunA SUdreNa vA dvijaH YS78u-_41b
   śūdraścāpyanulomajaḥ YS78v_8b	SUdraH-ca-api-anuloma-jaH YS78u-_8b
   śūdrā pādena śudhyati YS78v_58d	SUdrA pAdena SuDyati YS78u-_58d
   śūdrī tu vṛṣalī jñeyā YS78v_25c	SUdrI tu vRzalI jQeyA YS78u-_25c
   śoṣayitvā pratāpena YS78v_50c	SozayitvA pratApena YS78u-_50c
   śyāvadanto 'tha vaidyaś ca YS78v_31c	SyAva-dantaH aTa vEdyaH ca YS78u-_31c
   śvājajambūkarāsabhaiḥ YS78v_61b	SvAja-jambUkarA-asaBEH YS78u-_61b
   śvitrakuṣṭhī tathā caiva YS78v_29a	SvitrakuzWI taTA ca-eva YS78u-_29a
   ṣaḍrātreṇaiva śuddhyati YS78v_47d	zaz-rAtreNa-eva SudDi-ati YS78u-_47d
   sagotrāñ ca sabharttṛkām YS78v_57b	sagotrAn ca sa-BarttRkAm YS78u-_57b
   saṅkaṭe rajjuvastrayoḥ YS78v_67d	saFkawe rajju-vastrayoH YS78u-_67d
   sandhyākāle vivarjayet YS78v_76b	sanDyA-kAle vivarjayet YS78u-_76b
   sandhyobhayoś ca sandhyāyāḥ YS78v_64c	sanDyA-uBayoH ca sanDyAyAH YS78u-_64c
   saptaite cāntyajāḥ smṛtāḥ YS78v_54d	saptA-ete ca-antyajAH smRtAH YS78u-_54d
   samārghan tu samuddhṛtya YS78v_37a	samArGan tu samudDRtya YS78u-_37a
   sambhojanahiraṇyakaiḥ YS78v_43b	samBojana-hiraNyakEH YS78u-_43b
   sarvalokavahiṣkṛtāḥ YS78v_3b	sarva-loka-vahizkRtAH YS78u-_3b
   sarvān keśān samuddhṛtya YS78v_74a	sarvAn keSAn samudDRtya YS78u-_74a
   sarve te ṛkthabhāginaḥ YS78v_14d	sarve te RkTa-BAginaH YS78u-_14d
   sarve te pratyavasitāḥ YS78v_3a	sarve te pratyavasitAH YS78u-_3a
   sarve te śucayaḥ smṛtāḥ YS78v_19d	sarve te SucayaH smRtAH YS78u-_19d
   sa vipro vṛṣalīpatiḥ YS78v_24d	sa vipraH vRzalI-patiH YS78u-_24d
   sa vai māhiṣikaḥ smṛtaḥ YS78v_36d	sa vE mAhizikaH smRtaH YS78u-_36d
   sa vai vārdhuṣiko nāma YS78v_37c	sa vE vArDuzikaH nAma YS78u-_37c
   saṃspṛṣṭās tu tadā kaiścit YS78v_18c	saMspRzwAH tu tadA kEScid YS78u-_18c
   sāvadhāno 'vadhāraya YS78v_78d	sa-avaDAnaH avaDAraya YS78u-_78d
   surānyamadyapānena YS78v_11a	sura-anya-madya-pAnena YS78u-_11a
   surāṃ pibati suvyaktaṃ YS78v_65c	surAm pibati su-vyaktam YS78u-_65c
   striyo rogiṇa eva ca YS78v_17d	striyaH rogiNaH eva ca YS78u-_17d
   strīṇāṃ rajasvalānān tu YS78v_56a	strINAm rajasvalAnAn tu YS78u-_56a
   sthāpite puṣkale tathā YS78v_67b	sTApite puzkale taTA YS78u-_67b
   snātvā kālena śuddhyati YS78v_57d	snAtvA kAlena SudDi-ati YS78u-_57d
