   akaros tvaṃ pratāpena RmUD_*6.34c	akaroH tvam pratApena RmUD_*6.34c
   ātmāṃśaiś ca surāḥ sarve RmUD_17*1.17a	Atma-aMSEH ca surAH sarve RmUD_17*1.17a
   ānayat plavagaiḥ sārdhaṃ RmUD_102*4.14c	Anayat plavagEH sArDam RmUD_102*4.14c
   ānāyya mithilādhipaḥ RmUD_37*1.37b	AnAyya miTilA-aDipaH RmUD_37*1.37b
   ānīya putrakāmeṣṭim RmUD_23*1.23c	AnIya putrakAma-izwim RmUD_23*1.23c
   ānīya sasutāṃ sītāṃ RmUD_149*7.4c	AnIya sa-sutAm sItAm RmUD_149*7.4c
   ānīyaināṃ nijāśramam RmUD_146*7.2b	AnIya-enAm nija-ASramam RmUD_146*7.2b
   ānīyauṣadhiparvatam RmUD_133b	AnIya-ozaDi-parvatam RmUD_133b
   ānetuṃ nāgaraiḥ saha RmUD_55*2.15d	Anetum nAgarEH saha RmUD_55*2.15d
   āmantrya savibhīṣaṇaḥ RmUD_*6.28b	Amantrya sa-viBIzaNaH RmUD_*6.28b
   āyāntaṃ roṣabhīṣaṇam RmUD_39*1.39b	AyAntam roza-BIzaNam RmUD_39*1.39b
   ārurohānilātmajaḥ RmUD_108*4.20d	Aruroha-anilAtmajaH RmUD_108*4.20d
   ārebhe sapurohitaḥ RmUD_23*1.23d	AreBe sa-purohitaH RmUD_23*1.23d
   āvirbhūyātha daityāriḥ RmUD_14*1.14a	AvirBUya-aTa dEtyAriH RmUD_14*1.14a
   āśāsu catasṛṣv api RmUD_103*4.15d	ASAsu catasRzu api RmUD_103*4.15d
   āśrame tasya rāghavaḥ RmUD_60*2.20b	ASrame tasya rAGavaH RmUD_60*2.20b
   āśvāsya sa viniryayau RmUD_118*5.10d	ASvAsya sa viniryayO RmUD_118*5.10d
   āsādya mātaras toṣaṃ RmUD_*6.59c	AsAdya mAtaraH tozam RmUD_*6.59c
   āsīd asyānujau cāstāṃ RmUD_2*1.2c	AsIt asya-anujO ca-AstAm RmUD_2*1.2c
   āsīd daśaratho nāma RmUD_22*1.22a	AsIt daSaraTaH nAma RmUD_22*1.22a
   āste sma mārutis tatra RmUD_113*5.5c	Aste sma mArutiH tatra RmUD_113*5.5c
   āhlādayañ jagat sarvaṃ RmUD_144a	AhlAdayan jagat sarvam RmUD_144a
   ity ajñajanavādena RmUD_145*7.1c	iti ajQa-jana-vAdena RmUD_145*7.1c
   ity anyena ca saṃśrutam RmUD_91*4.3d	iti anyena ca saMSrutam RmUD_91*4.3d
   ityāśayā sthitaṃ putra RmUD_*6.37c	iti-ASayA sTitam putraH RmUD_*6.37c
   ity uktvādān nṛpāya saḥ RmUD_24*1.24d	iti uktvA-AdAn nRpAya saH RmUD_24*1.24d
   ity uktvā pāduke dattvā RmUD_57*2.17c	iti uktvA pAduke dattvA RmUD_57*2.17c
   ity uktvā ratham āruhya RmUD_*6.42a	iti uktvA raTam Aruhya RmUD_*6.42a
   ity evaṃ devasaṃghaiś ca RmUD_*6.50a	iti evam deva-saMGEH ca RmUD_*6.50a
   ity evaṃ bahudhā tatra RmUD_*6.40a	iti evam bahuDA tatra RmUD_*6.40a
   ity eṣā taṃ nirākarot RmUD_115*5.7b	iti ezA tam nirAkarot RmUD_115*5.7b
   idaṃ mandadhiyā mayā RmUD_154*7.8b	idam manda-DiyA mayA RmUD_154*7.8b
   indrajit punar apy ājau RmUD_132a	indrajit punar api AjO RmUD_132a
   indrajit samitiñjayaḥ RmUD_*6.19b	indrajit samitiQjayaH RmUD_*6.19b
   indrajid yatra vartate RmUD_*6.28d	indrajit yatra vartate RmUD_*6.28d
   indraṃ jitvā tu taṃ baddhvā RmUD_*6.34a	indram jitvA tu tam badDvA RmUD_*6.34a
   uktvā rāmasya vṛttāntaṃ RmUD_116*5.8c	uktvA rAmasya vRttAntam RmUD_116*5.8c
   udayastho yathā raviḥ RmUD_*6.43d	udaya-sTaH yaTA raviH RmUD_*6.43d
   upagamyābravīd rāmaṃ RmUD_*6.22a	upagamya-abravIt rAmam RmUD_*6.22a
   upagamyocire sarvaṃ RmUD_12*1.12c	upagamya-Ucire sarvam RmUD_12*1.12c
   uvāca rāmaḥ saumitriṃ RmUD_*6.27a	uvAca rAmaH sOmitrim RmUD_*6.27a
   uvāsa caturo māsān RmUD_101*4.13c	uvAsa caturaH mAsAn RmUD_101*4.13c
   uṣitvā tu niśām ekām RmUD_60*2.20a	uzitvA tu niSAm ekAm RmUD_60*2.20a
   ṛṣibhiḥ prārthitasyātha RmUD_147*7.3a	RziBiH prArTitasya-aTa RmUD_147*7.3a
   ṛṣyaśṛṅgaṃ sa bhūpatiḥ RmUD_23*1.23b	RzyaSRFgam sa BUpatiH RmUD_23*1.23b
   etat prāśaya patnīs tvam RmUD_24*1.24c	etat prASaya patnIH tvam RmUD_24*1.24c
   etad ākarṇya vaidehyā RmUD_77*3.17a	etat AkarNya vEdehyAH RmUD_77*3.17a
   etasminn antare gehaṃ RmUD_41*2.1a	etasmin antare geham RmUD_41*2.1a
   enaṃ ramo 'rimardanaḥ RmUD_124*6.2d	enam ramaH ari-mardanaH RmUD_124*6.2d
   evam anye ca vibudhāḥ RmUD_20*1.20c	evam anye ca vibuDAH RmUD_20*1.20c
   evam uktvā vidhātāraṃ RmUD_18*1.18a	evam uktvA viDAtAram RmUD_18*1.18a
   aindraṃ tūṇīyugaṃ tathā RmUD_64*3.4b	Endram tUNI-yugam taTA RmUD_64*3.4b
   aindreṇāstreṇa rāmo 'pi RmUD_*6.9c	EndreNa-astreNa rAmaH api RmUD_*6.9c
   aindreṇāstreṇa vai ruṣā RmUD_*6.30b	EndreNa-astreNa vE ruzA RmUD_*6.30b
   kapīn ajanayan bahūn RmUD_20*1.20d	kapIn ajanayan bahUn RmUD_20*1.20d
   kapīnāṃ yoṣitaḥ priyāḥ RmUD_*6.53b	kapInAm yozitaH priyAH RmUD_*6.53b
   kare jagrāha so 'pi tam RmUD_117*5.9d	kare jagrAha saH api tam RmUD_117*5.9d
   kartuṃ rāvaṇanigrahe RmUD_17*1.17d	kartum rAvaNa-nigrahe RmUD_17*1.17d
   kāmamanyuparītātmā RmUD_115*5.7c	kAma-manyu-parIta-AtmA RmUD_115*5.7c
   kāmārtā kāmasaṃnibham RmUD_68*3.8b	kAma-ArtA kAma-saMniBam RmUD_68*3.8b
   kārayām āsa lakṣmīvān RmUD_*6.51c	kArayAm Asa lakzmIvAn RmUD_*6.51c
   kārayitvā tena gatvā RmUD_125*6.3c	kArayitvA tena gatvA RmUD_125*6.3c
   kārāgṛhanivāsinam RmUD_*6.34d	kArAgRha-nivAsinam RmUD_*6.34d
   kāṃ cid ārtāṃ dadarśa saḥ RmUD_112*5.4d	kAm cit ArtAm dadarSa saH RmUD_112*5.4d
   kim artham āgato 'si tvaṃ RmUD_14*1.14c	kim arTam AgataH asi tvam RmUD_14*1.14c
   kiṣkindhānilayāḥ sarvāḥ RmUD_*6.53a	kizkinDA-nilayAH sarvAH RmUD_*6.53a
   kiṣkindhām adhyuvāsa ca RmUD_21*1.21d	kizkinDAm aDyuvAsa ca RmUD_21*1.21d
   kiṣkindhāṃ prāpa rāghavaḥ RmUD_*6.52d	kizkinDAm prApa rAGavaH RmUD_*6.52d
   kiṣkindhāṃ prāpya sugrīvas RmUD_95*4.7a	kizkinDAm prApya sugrIvaH RmUD_95*4.7a
   kiṣkindhāṃ lebhire kṛcchrāc RmUD_*6.64c	kizkinDAm leBire kRcCrAt RmUD_*6.64c
   kiṃ kariṣyāmy aham putra RmUD_*6.36a	kim karizyAmi aham putraH RmUD_*6.36a
   kumbhakarṇavibhīṣaṇau RmUD_2*1.2d	kumBakarNa-viBIzaNO RmUD_2*1.2d
   kumbhakarṇaṃ prabodhyāśu RmUD_130*6.8c	kumBakarNam praboDya-ASu RmUD_130*6.8c
   kumbhakarṇaḥ pratāpavān RmUD_*6.38b	kumBakarNaH pratApavAn RmUD_*6.38b
   kumbhakarṇo 'vṛṇīta ca RmUD_4*1.4d	kumBakarNaH avRNIta ca RmUD_4*1.4d
   kumbhaṃ rāmo 'vadhīd bāṇair RmUD_*6.16c	kumBam rAmaH avaDIt bANEH RmUD_*6.16c
   kurarīva bhṛśāturā RmUD_*6.46d	kurarI-iva BRSa-AturAH RmUD_*6.46d
   kurvatīṃ pathi lakṣmaṇaḥ RmUD_85*3.25b	kurvatIm paTi lakzmaNaH RmUD_85*3.25b
   kurvāṇaś ceṣṭitaiḥ svakaiḥ RmUD_40*1.40b	kurvANaH cezwitEH svakEH RmUD_40*1.40b
   kṛcchreṇa nṛpatis tasya RmUD_30*1.30c	kRcCreNa nRpatiH tasya RmUD_30*1.30c
   kṛtacihnas tu rāmeṇa RmUD_97*4.9a	kRta-cihnaH tu rAmeNa RmUD_97*4.9a
   kṛtaṃ tenādhunā kila RmUD_*6.25d	kRtam tena-aDunA kila RmUD_*6.25d
   kṛte home tatra ripur RmUD_*6.26c	kRte home tatra ripuH RmUD_*6.26c
   kṛtodvāhaḥ sahānujaḥ RmUD_38*1.38b	kRta-udvAhaH saha-anujaH RmUD_38*1.38b
   kṛttaśravaṇanāsikā RmUD_69*3.9b	kRtta-SravaNa-nAsikA RmUD_69*3.9b
   kṛttaśravaṇanāsikām RmUD_85*3.25d	kRtta-SravaNa-nAsikAm RmUD_85*3.25d
   kṛtvā ciraṃ tatra yuddham RmUD_*6.30a	kRtvA ciram tatra yudDam RmUD_*6.30a
   kṛtvā yajñaṃ vitanvati RmUD_149*7.4b	kRtvA yajQam vitanvati RmUD_149*7.4b
   kṛtvā yuddhaṃ sudāruṇaṃ RmUD_136b	kRtvA yudDam su-dAruNam RmUD_136b
   kṛtvā rāmo vibhīṣaṇam RmUD_138b	kRtvA rAmaH viBIzaNam RmUD_138b
   kṛtvā saṃprāpa maithilam RmUD_35*1.35d	kRtvA saMprApa mETilam RmUD_35*1.35d
   kaikeyī tu mahīpālaṃ RmUD_43*2.3a	kEkeyI tu mahIpAlam RmUD_43*2.3a
   kaikeyī bharataṃ tathā RmUD_26*1.26d	kEkeyI Baratam taTA RmUD_26*1.26d
   kopayan vānarādhipam RmUD_95*4.7d	kopayan vAnara-aDipam RmUD_95*4.7d
   kopaṃ cakre sudāruṇam RmUD_*6.40d	kopam cakre su-dAruNam RmUD_*6.40d
   kauśikasya kare dadau RmUD_30*1.30d	kOSikasya kare dadO RmUD_30*1.30d
   kauśikaḥ saharāghavaḥ RmUD_33*1.33b	kOSikaH saha-rAGavaH RmUD_33*1.33b
   kauśikena tato rāmo RmUD_35*1.35a	kOSikena tatas rAmaH RmUD_35*1.35a
   kauśikena pracoditaḥ RmUD_32*1.32b	kOSikena pracoditaH RmUD_32*1.32b
   kauśikena pracoditaḥ RmUD_36*1.36b	kOSikena pracoditaH RmUD_36*1.36b
   kausalyā putravatsalā RmUD_*6.63b	kOsalyA putra-vatsalA RmUD_*6.63b
   kva gacchāmi vadādhunā RmUD_*6.36b	kva gacCAmi vada-aDunA RmUD_*6.36b
   kva gato 'si hataḥ śūra RmUD_*6.33a	kva gataH asi hataH SUraH RmUD_*6.33a
   kṣiptvā mārīcam arṇave RmUD_34*1.34b	kziptvA mArIcam arNave RmUD_34*1.34b
   kṣipraṃ kuru jayaiṣiṇaḥ RmUD_*6.41b	kzipram kuru jaya-eziNaH RmUD_*6.41b
   kharaṃ sahānugaṃ saṃkhye RmUD_71*3.11c	Karam saha-anugam saMKye RmUD_71*3.11c
   kharāyaitan nyavedayat RmUD_69*3.9d	KarAya-etat nyavedayat RmUD_69*3.9d
   khe satāro yathā candras RmUD_*6.68c	Ke sa-tAraH yaTA candraH RmUD_*6.68c
   gaganena mudānvitaḥ RmUD_78*3.18d	gaganena mudA-anvitaH RmUD_78*3.18d
   gaṅgākūle 'tha rāghavaḥ RmUD_48*2.8b	gaFgA-kUle aTa rAGavaH RmUD_48*2.8b
   gaccha devagaṇaiḥ saha RmUD_16*1.16b	gacCa deva-gaNEH saha RmUD_16*1.16b
   gacchan sahānujo rāmaḥ RmUD_32*1.32a	gacCan sahAnujaH rAmaH RmUD_32*1.32a
   gaccheti śīghraṃ suhṛdā RmUD_*6.27c	gacCa-iti SIGram suhRdA RmUD_*6.27c
   gato 'dya sudurāsadaḥ RmUD_*6.35d	gataH adya su-durAsadaH RmUD_*6.35d
   gatvā cauṣadhiparvatam RmUD_*6.13b	gatvA ca-ozaDi-parvatam RmUD_*6.13b
   gatvātriṃ samavandata RmUD_59*2.19b	gatvA-atrim samavandate RmUD_59*2.19b
   gatvā sītāṃ vicinvantaḥ RmUD_105*4.17c	gatvA sItAm vicinvantaH RmUD_105*4.17c
   garvitena mayātra hi RmUD_*6.37d	garvitena mayA-atra hi RmUD_*6.37d
   guhena satkṛtas tatra RmUD_48*2.8c	guhena satkRtaH tatra RmUD_48*2.8c
   guhenānītayā nāvā RmUD_49*2.9c	guhena-AnItayA nAvA RmUD_49*2.9c
   gṛhītau tau kabandhena RmUD_86*3.26a	gRhItO tO kabanDena RmUD_86*3.26a
   gṛhītvā pāduke tasmād RmUD_58*2.18a	gRhItvA pAduke tasmAt RmUD_58*2.18a
   gṛhītvā pāyasaṃ carum RmUD_24*1.24b	gRhItvA pAyasam carum RmUD_24*1.24b
   gṛhītvā punar āgataḥ RmUD_*6.14b	gRhItvA punar AgataH RmUD_*6.14b
   gṛhītvā rāvaṇaḥ sītāṃ RmUD_80*3.20c	gRhItvA rAvaNaH sItAm RmUD_80*3.20c
   cakāra dahanaṃ tasya RmUD_*6.47c	cakAra dahanam tasya RmUD_*6.47c
   cakāra yuddham tumulaṃ RmUD_*6.44a	cakAra yudDam tumulam RmUD_*6.44a
   cakārāśritavatsalaḥ RmUD_100*4.12d	cakAra-ASrita-vatsalaH RmUD_100*4.12d
   cakruḥ prāyopaveśanam RmUD_106*4.18b	cakruH prAya-upaveSanam RmUD_106*4.18b
   cakre tasyodakakriyām RmUD_84*3.24d	cakre tasya-udaka-kriyAm RmUD_84*3.24d
   caturdaśa samā nītvā RmUD_57*2.17a	caturdaSa samAH nItvA RmUD_57*2.17a
   catvāras te mahātmānaḥ RmUD_*6.68a	catvAraH te mahAtmAnaH RmUD_*6.68a
   caritaṃ kīrtitaṃ mayā RmUD_155b	caritam kIrtitam mayA RmUD_155b
   cātakās tu ghanān dṛṣṭvā RmUD_*6.59a	cAtakAH tu GanAn dRzwvA RmUD_*6.59a
   citrakūṭe 'vasat sukham RmUD_50*2.10d	citrakUwe avasat suKam RmUD_50*2.10d
   cūḍāmaṇiṃ dadau tasya RmUD_117*5.9c	cUxAmaNim dadO tasya RmUD_117*5.9c
   chittvainam candrahāsena RmUD_80*3.20a	CittvA-enam candrahAsena RmUD_80*3.20a
   chinnapakṣaṃ dadarśa saḥ RmUD_83*3.23d	Cinna-pakzam dadarSa saH RmUD_83*3.23d
   chrīrāmavirahāturāḥ RmUD_*6.64d	CrI-rAma-viraha-AturAH RmUD_*6.64d
   jagannāyaka he prabho RmUD_*6.24b	jagat-nAyaka he praBo RmUD_*6.24b
   jagarjātīva saṃhṛṣṭaḥ RmUD_95*4.7c	jagarja-ati-iva saMhRzwaH RmUD_95*4.7c
   jagrāha pitṛsaṃnidhau RmUD_*6.48d	jagrAha pitR-saMniDO RmUD_*6.48d
   jaghāna rāmo lakṣmīvān RmUD_*6.45c	jaGAna rAmaH lakzmIvAn RmUD_*6.45c
   jaghāna sītāṃ khaḍgena RmUD_*6.20c	jaGAna sItAm Kaxgena RmUD_*6.20c
   jaghānālaghuvikramaḥ RmUD_71*3.11d	jaGAna-alaGu-vikramaH RmUD_71*3.11d
   jaghānāśu sa rāghavaḥ RmUD_131d	jaGAna-ASu sa rAGavaH RmUD_131d
   jaghānāstreṇa rāghavaḥ RmUD_*6.17d	jaGAna-astreNa rAGavaH RmUD_*6.17d
   jaghnur bhīmaparākramāḥ RmUD_128*6.6d	jaGnuH BIma-parAkramAH RmUD_128*6.6d
   janakenārcito rāmaḥ RmUD_36*1.36a	janakena-arcitaH rAmaH RmUD_36*1.36a
   janakenoru mānitaḥ RmUD_38*1.38d	janakena-uru mAnitaH RmUD_38*1.38d
   janāḥ sarve 'pi toṣitāḥ RmUD_*6.58b	janAH sarve api tozitAH RmUD_*6.58b
   jalpitaṃ ca nirarthakam RmUD_*6.32b	jalpitam ca nirarTakam RmUD_*6.32b
   jahāra ca vilāsinīḥ RmUD_9*1.9d	jahAra ca vilAsinIH RmUD_9*1.9d
   jātakarmādikaṃ dvijaiḥ RmUD_27*1.27d	jAtakarma-Adikam dvijEH RmUD_27*1.27d
   jāmbavantaṃ ca padmajaḥ RmUD_20*1.20b	jAmbavantam ca padmajaH RmUD_20*1.20b
   jāyeran mama sāhāyyaṃ RmUD_17*1.17c	jAyeran mama sAhAyyam RmUD_17*1.17c
   jīvayitvā plavaṅgamān RmUD_139b	jIvayitvA plavaFgamAn RmUD_139b
   jñātvā rāvaṇimānasam RmUD_*6.24d	jQAtvA rAvaNi-mAnasam RmUD_*6.24d
   tac chrutvā rāvaṇaḥ kruddho RmUD_135a	tat SrutvA rAvaNaH krudDaH RmUD_135a
   tac chrutvā rāvaṇaḥ sītāṃ RmUD_73*3.13a	tat SrutvA rAvaNaH sItAm RmUD_73*3.13a
   tac chrutvovāca dhātāraṃ RmUD_15*1.15c	tat SrutvA-uvAca DAtAram RmUD_15*1.15c
   tatas tasminn avasare RmUD_12*1.12a	tatas tasmin avasare RmUD_12*1.12a
   tatas tu yācitau tena RmUD_86*3.26c	tatas tu yAcitO tena RmUD_86*3.26c
   tataḥ kadā cid āgatya RmUD_29*1.29a	tatas kadA cit Agatya RmUD_29*1.29a
   tataḥ kharātmajaṃ tena RmUD_*6.17a	tatas Kara-Atmajam tena RmUD_*6.17a
   tataḥ pañcavaṭīṃ prāpya RmUD_66*3.6a	tatas paQcavawIm prApya RmUD_66*3.6a
   tataḥ puṣpakam āruhya RmUD_140a	tatas puzpakam Aruhya RmUD_140a
   tataḥ puṣpakam āruhya RmUD_*6.52a	tatas puzpakam Aruhya RmUD_*6.52a
   tataḥ prakṛtibhiḥ sākaṃ RmUD_42*2.2a	tatas prakRtiBiH sAkam RmUD_42*2.2a
   tataḥ prāpur udanvantam RmUD_107*4.19a	tatas prApuH udanvantam RmUD_107*4.19a
   tataḥ prīto raghuśreṣṭhaḥ RmUD_88*3.28a	tatas prItaH raGu-SrezWaH RmUD_88*3.28a
   tataḥ śakrajitā yuddhe RmUD_120*5.12a	tatas Sakra-jitA yudDe RmUD_120*5.12a
   tataḥ śūrpaṇakhā gatvā RmUD_72*3.12a	tatas SUrpaNaKA gatvA RmUD_72*3.12a
   tataḥ sa gacchan kākutsthaḥ RmUD_65*3.5a	tatas sa gacCan kAkutsTaH RmUD_65*3.5a
   tataḥ sarvajanānandaṃ RmUD_40*1.40a	tatas sarva-jana-Anandam RmUD_40*1.40a
   tataḥ saṃtaptahṛdayo RmUD_*6.18a	tatas saMtapta-hRdayaH RmUD_*6.18a
   tataḥ siddhāśramaṃ prāpya RmUD_33*1.33a	tatas sidDASramam prApya RmUD_33*1.33a
   tataḥ sumantravacanād RmUD_23*1.23a	tatas sumantra-vacanAt RmUD_23*1.23a
   tato guruniyogena RmUD_38*1.38a	tatas guru-niyogena RmUD_38*1.38a
   tato jaṭāyur ālokya RmUD_79*3.19a	tatas jawAyuH Alokya RmUD_79*3.19a
   tato daśarathaṃ dūtair RmUD_37*1.37a	tatas daSaraTam dUtEH RmUD_37*1.37a
   tato daśānanāt pīḍām RmUD_15*1.15a	tatas daSAnanAt pIxAm RmUD_15*1.15a
   tato nikumbhilāṃ gatvā RmUD_134a	tatas nikumBilAm gatvA RmUD_134a
   tato bharataśatrughnau RmUD_153*7.7a	tatas Barata-SatruGnO RmUD_153*7.7a
   tato mātalinānītaṃ RmUD_*6.43a	tatas mAtalinA-AnItam RmUD_*6.43a
   tato mālyavataḥ pṛṣṭhe RmUD_101*4.13a	tatas mAlyavataH pRzWe RmUD_101*4.13a
   tato rāghavanirdiṣṭā RmUD_126*6.4a	tatas rAGava-nirdizwAH RmUD_126*6.4a
   tato rāmasamanvitaḥ RmUD_95*4.7b	tatas rAma-samanvitaH RmUD_95*4.7b
   tato rāmasya vṛttāntaṃ RmUD_90*4.2a	tatas rAmasya vRttAntam RmUD_90*4.2a
   tato rāvaṇasaṃdiṣṭaḥ RmUD_*6.12a	tatas rAvaNa-saMdizwaH RmUD_*6.12a
   tato rāvaṇasaṃdiṣṭau RmUD_*6.10a	tatas rAvaNa-saMdizwO RmUD_*6.10a
