   Rājanighaṇṭu, Maṅgalācaraṇa	RAjani GaNwu, MaFgala AcaraNa
   atrānūpādir asmād avanir atha guḍūcīśatāhvādiko dvau tatprānte parpaṭādis	atra AnUpa AdiH asmAt avaniH aTa guxUcI SatAhvA AdikaH dvO tad prAnte parpawa Adi s
   tadupari paṭhitau pippalīmūlakādiḥ /	tad upari paWitO pippalI mUlaka AdiH /
   śālmalyādiḥ prabhadrādikam anu karavīrādir āmrādir anyas tasyāgre	SAlmalI AdiH praBadra Adikam anu karavIra AdiH Amra AdiH anyaH tasya agre
   candanādis tadanu nigaditaḥ komalaḥ kāñcanādiḥ // Rajni_Gpr.16	candana AdiH tadanu nigaditaH komalaH kAQcana AdiH // Rajni_Gpr.16
   pānīyaḥ kṣīraśālyādikam anu kathito māsamānuṣyakādiḥ siṃhādiḥ syād gadādis	pAnIyaH kzIra SAli Adikam anu kaTitaH mAsa mAnuzyaka AdiH siMha AdiH syAt gadA Adi s
   tadanu bhavati sattvādhiko miśrako 'nyaḥ /	tadanu Bavati sattva aDikaH miSrakaH anyaH /
   ekārthādis tad etais trikaraparicitaiḥ prātibhonmeṣasargaṃ vargair āsādya	eka arTa AdiH tat etEH tri kara paricitEH prAtiBa unmeza sargam vargEH AsAdya
   vaidyo nijamatahṛdaye nistarāṃ niścinotu // Rajni_Gpr.17	vEdyaH nija mata hRdaye nistarAm niScinotu // Rajni_Gpr.17
   kāśmīreṇa	kASmIreNa
   kapardipādakamaladvaṃdvārcanopārjitaśrīsaubhāgyayaśaḥpratāpapadavī dhāmnā	kapardi pAda kamala dvaMdva arcana upArjita SrI sOBAgya yaSaH pratApa padavI DAmnA
   pratiṣṭhāpitā /	pratizWApitA /
   seyaṃ śrīnarasiṃhanāmaviduṣo svarvaidyavidyāsthitiḥ prītyā	sA iyam SrI narasiMha nAma viduzaH svar vEdya vidyA sTitiH prItyA
   prāptasuvarṇarājiracanā citrojjvalā pīṭhikā // Rajni_Gpr.18	prApta suvarNa rAji racanA citra ujjvalA pIWikA // Rajni_Gpr.18
   anyatra vidyamānatvād upayogānavekṣaṇāt /	anyatra vidyamAna tvAt upayoga anavekzaNAt /
   vṛthā vistarabhītyā ca nokto guṇagaṇo mayā // Rajni_Gpr.19	vRTA vistara BItyA ca na uktaH guNa gaNaH mayA // Rajni_Gpr.19
   Rājanighaṇṭu, Ānūpādivarga	RAjani GaNwu, ĀnUpAdi varga
   nānākṣauṇījanānājalamṛgasahitaṃ nirjharavrātaśītaṃ śailākīrṇaṃ kanīyaḥ	nAnA kzONI ja nAnA jala mRga sahitam nirJara vrAta SItam SEla AkIrNam kanIyaH
   kuraramukhakhagālaṅkṛtaṃ tāmrabhūmi /	kurara muKa Kaga alaFkRtam tAmra BUmi /
   bibhrad vrīhyādikaṃ yat sthalam ativipulaṃ nīrasaṃ yat tv anuṣṇaṃ	biBrat vrIhi Adikam yat sTalam ati vipulam nIrasam yat tu anuzNam
   pittaghnaṃ śleṣmavātapradam udararujāpāmadaṃ syād anūpam // Rajni_1.1	pitta Gnam Slezma vAta pradam udara rujA apAma dam syAt anUpam // Rajni_1.1
   tac coktakṛtsnanijalakṣaṇadhāribhūricchāyāvṛtāntaravahad bahuvārimukhyam /	tat ca ukta kRtsna nija lakzaNa DAri BUri= CAyA AvRta antara vahat bahu vAri muKyam /
   īṣat prakāśasalilaṃ yadi madhyamaṃ tat etac ca nātibahalāmbu bhavet	Izat prakASa salilam yadi maDyamam tat etat ca na ati bahala ambu Bavet 
   kanīyaḥ // Rajni_1.2	kanIyaH // Rajni_1.2
   yatrānūpaviparyayas tanutṛṇāstīrṇā dharā dhūsarā	yatra AnUpa viparyayaH tanu tRNa AstIrNA DarA DUsarA
   mudgavrīhiyavādidhānyaphaladā tīvroṣmavaty uttamā /	mudga vrIhi yava Adi DAnya Pala dA tIvra uzmavatI uttamA /
   prāyaḥ pittavivṛddhir uddhatabalāḥ syur nīrajaḥ prāṇino gāvo 'jāś ca payaḥ	prAyas pitta vivRdDiH udData balAH syuH nIrajaH prANinaH gAvaH ajAH ca payaH
   kṣaranti bahu tatkūpe jalaṃ jāṅgalam // Rajni_1.3	kzaranti bahu tad kUpe jalam jAFgalam // Rajni_1.3
   etac ca mukhyam uditaṃ svaguṇaiḥ samagram alpālpabhūruhayutaṃ yadi	etat ca muKyam uditam sva guNEH samagram alpa alpa BUruha yutam yadi
   madhyamaṃ tat /	maDyamam tat /
   tac cāpi kūpakhanane sulabhāmbu yat taj jñeyaṃ kanīya iti jāṅgalakaṃ	tat ca api kUpa Kanane sulaBa ambu yat tat jQeyam kanIyaH iti jAFgalakam
   trirūpam // Rajni_1.4	trirUpam // Rajni_1.4
   lakṣmonmīlati yatra kiṃcid ubhayos taj jāṅgalānūpayor	lakzma unmIlati yatra kiMcid uBayoH tat jAFgala anUpayoH 
   godhūmolvaṇayāvanālavilasanmāṣādidhānyodbhavaḥ /	goDUma ulvaNa yAvanAla vilasat mAza Adi DAnya udBavaH /
   nānāvarṇam aśeṣajantusukhadaṃ deśaṃ budhā madhyamaṃ	nAnA varNam aSeza jantu suKa dam deSam buDAH maDyamam
   doṣodbhūtivikopaśāntisahitaṃ sādhāraṇaṃ taṃ viduḥ // Rajni_1.5	doza udBUti vikopa SAnti sahitam sADAraNam tam viduH // Rajni_1.5
   tac ca sādhāraṇaṃ dvedhānūpajāṅgalayoḥ param /	tat ca sADAraNam dveDA nUpa jAFgalayoH param /
   yatra yatra guṇādhikyaṃ tatra tasya guṇaṃ bhajet // Rajni_1.6	yatra yatra guNa ADikyam tatra tasya guNam Bajet // Rajni_1.6
   mukhyaṃ taddeśavaiṣamyān nāsti sādhāraṇaṃ kvacit /	muKyam tad deSa vEzamyAt na asti sADAraNam kvacid /
   sūkṣmatvāl lakṣma tattvasya tadvidhair vedam iṣyate // Rajni_1.7	sUkzma tvAt lakzma tattvasya tadviDEH vA idam izyate // Rajni_1.7
   kṣetrabhedaṃ pravakṣyāmi śivenākhyātam añjasā /	kzetra Bedam pravakzyAmi Sivena AKyAtam aQjasA /
   brāhmaṃ kṣātraṃ ca vaiśyīyaṃ śaudraṃ ceti yathākramāt // Rajni_1.8	brAhmam kzAtram ca vESyIyam SOdram ca iti yaTAkramAt // Rajni_1.8
   tatra kṣetre brahmabhūmīruhāḍhyaṃ vārisphāraṃ yat kuśāṅkūrakīrṇam /	tatra kzetre brahma BUmIruha AXyam vAri sPAram yat kuSa aFkUra kIrNam /
   ramyaṃ yac ca śvetamṛtsnāsametaṃ tad vyācaṣṭe brāhmam ity aṣṭamūrtiḥ //	ramyam yat ca Sveta mRtsnA sametam tat vyAcazwe brAhmam iti azwamUrtiH //
   Rajni_1.9	Rajni_1.9
   tāmrabhūmivalayaṃ vibhūdharaṃ yan mṛgendramukhasaṃkulaṃ kulam /	tAmra BUmi valayam viBUDaram yat mRgendra muKa saMkulam kulam /
   ghoraghoṣi khadirādidurgamaṃ kṣātram etad uditaṃ pinākinā // Rajni_1.10	Gora Gozi Kadira Adi durgamam kzAtram etat uditam pinAkinA // Rajni_1.10
   śātakumbhanibhabhūmibhāsvaraṃ svarṇareṇunicitaṃ vidhānavat /	SAtakumBa niBa BUmi BAsvaram svarNa reNu nicitam viDAna vat /
   siddhakiṃnarasuparvasevitaṃ vaiśyam ākhyad idam induśekharaḥ // Rajni_1.11	sidDa kiMnara su parva sevitam vESyam AKyat idam induSeKaraH // Rajni_1.11
   śyāmasthalāḍhyaṃ bahuśasyabhūtidaṃ lasattṛṇair babbulavṛkṣavṛddhidam /	SyAma sTala AXyam bahu Sasya BUti dam lasat tRNEH babbula vRkza vRdDi dam /
   dhānyodbhavaiḥ karṣakalokaharṣadaṃ jagāda śaudraṃ jagatau vṛṣadhvajaḥ //	DAnya udBavEH karzaka loka harza dam jagAda SOdram jagatO vRzaDvajaH //
   Rajni_1.12	Rajni_1.12
   dravyaṃ kṣetrād uditam anaghaṃ brāhma tat siddhidāyi kṣatrād utthaṃ	dravyam kzetrAt uditam anaGam brAhma tat sidDi dAyi kzatrAt utTam
   valipalitajid viśvarogāpahāri /	vali palita jit viSva roga apahAri /
   vaiśyāj jātaṃ prabhavatitarāṃ dhātulohādisiddhau śaudrād etaj janitam	vESyAt jAtam praBavatitarAm DAtu loha Adi sidDO SOdrAt etat janitam
   akhilavyādhividrāvakaṃ drāk // Rajni_1.13	aKila vyADi vidrAvakam drAk // Rajni_1.13
   brahmā śakraḥ kiṃnareśas tathā bhūr ity eteṣāṃ devatāḥ syuḥ krameṇa /	brahmA SakraH kiMnareSaH taTA BUH iti etezAm devatAH syuH krameNa /
   proktās tatra prāg umāvallabhena pratyekaṃ te pañca bhūtāni vakṣye //	proktAH tatra prAk umA vallaBena pratyekam te paQca BUtAni vakzye //
   Rajni_1.14	Rajni_1.14
   pītasphuradvalayaśarkarilāśmaramyaṃ pītaṃ yad uttamamṛgaṃ caturasrabhūtam	pIta sPurat valaya SarkarilA aSma ramyam pItam yat uttama mRgam caturasra BUtam
   prāyaś ca pītakusumānvitavīrudādi tat pārthivaṃ kaṭhinam udyad aśeṣatas tu	prAyas ca pIta kusuma anvita vIruD Adi tat pArTivam kaWinam udyat aSezatas tu
   // Rajni_1.15	// Rajni_1.15
   ardhacandrākṛtiśvetaṃ kamalābhaṃ dṛṣaccitam /	arDacandra AkRti Svetam kamala ABam dRzad citam /
   nadīnadajalākīrṇam āpyaṃ tat kṣetram ucyate // Rajni_1.16	nadInada jala AkIrNam Apyam tat kzetram ucyate // Rajni_1.16
   khadirādidrumākīrṇaṃ bhūricitrakaveṇukam /	Kadira Adi druma AkIrNam BUri citraka veNukam /
   trikoṇaṃ raktapāṣāṇaṃ kṣetraṃ taijasam uttamam // Rajni_1.17	tri koNam rakta pAzANam kzetram tEjasam uttamam // Rajni_1.17
   dhūmrasthalaṃ dhūmradṛṣatparītaṃ ṣaṭkoṇakaṃ tūrṇamṛgāvakīrṇam /	DUmra sTalam DUmra dRzat parItam zaz koNakam tUrNa mRga avakIrNam /
   śākais tṛṇair añcitarūkṣavṛkṣakaṃ prakāram etat khalu vāyavīyam //	SAkEH tRNEH aQcita rUkza vRkzakam prakAram etat Kalu vAyavIyam //
   Rajni_1.18	Rajni_1.18
   nānāvarṇaṃ vartulaṃ tat praśastaṃ prāyaḥ śubhraṃ parvatākīrṇam uccaiḥ /	nAnA varNam vartulam tat praSastam prAyas SuBram parvata AkIrNam uccEs /
   yac ca sthānaṃ pāvanaṃ devatānāṃ prāha kṣetraṃ trīkṣaṇas tv āntarikṣam //	yat ca sTAnam pAvanam devatAnAm prAha kzetram trIkzaNaH tu Antarikzam //
   Rajni_1.19	Rajni_1.19
   dravyaṃ vyādhiharaṃ balātiśayakṛt svādu sthiraṃ pārthivaṃ syād āpyaṃ	dravyam vyADi haram bala atiSaya kRt svAdu sTiram pArTivam syAt Apyam
   kaṭukaṃ kaṣāyam akhilaṃ śītaṃ ca pittāpaham /	kawukam kazAyam aKilam SItam ca pitta apaham /
   yat tiktaṃ lavaṇaṃ ca dīpyamarujic coṣṇaṃ ca tat taijasaṃ vāyavyaṃ tu	yat tiktam lavaNam ca dIpya maru jit ca uzNam ca tat tEjasam vAyavyam tu
   himoṣṇam amlam abalaṃ syān nābhasaṃ nīrasam // Rajni_1.20	hima uzNam amlam abalam syAt nABasam nIrasam // Rajni_1.20
   brahmā viṣṇuś ca rudro 'smād īśvaro 'tha sadāśivaḥ /	brahmA vizNuH ca rudraH asmAt ISvaraH aTa sadASivaH /
   ity etāḥ kamataḥ pañca kṣetrabhūtādhidevatāḥ // Rajni_1.21	iti etAH kamatas paQca kzetra BUta aDidevatAH // Rajni_1.21
   jitvā javād ajarasainyam ihājahāra vīraḥ purā yudhi sudhākalaśaṃ garutmān	jitvA javAt ajara sEnyam iha AjahAra vIraH purA yuDi suDA kalaSam garutmAn
   kīrṇais tadā bhuvi sudhāśakalaiḥ kilāsīd vṛkṣādikaṃ sakalam asya sudhāṃśur	kIrNEH tadA Buvi suDA SakalEH kila AsIt vRkza Adikam sakalam asya suDAMSuH 
   īśaḥ // Rajni_1.22	ISaH // Rajni_1.22
   tatrotpannās tūttame kṣetrabhāge viprīyādau vipruṣo yatra yatra /	tatra utpannAH tu uttame kzetra BAge viprIya AdO vipruzaH yatra yatra /
   kṣauṇījādidravyabhūyaṃ prapannās tās tāḥ saṃjñā bibhrate tatra bhūyaḥ //	kzONIja Adi dravya BUyam prapannAH tAH tAH saMjQA biBrate tatra BUyas //
   Rajni_1.23	Rajni_1.23
   evaṃ kṣetrānuguṇyena tajjā viprādivarṇinaḥ /	evam kzetra anuguNyena tad jAH vipra Adi varNinaH /
   yadi vā lakṣaṇaṃ vakṣyāmy amohāya manīṣiṇām // Rajni_1.24	yadi vA lakzaNam vakzyAmi amohAya manIziNAm // Rajni_1.24
   kisalayakusume prakāṇḍaśākhādiṣu viśadeṣu vadanti vipram etān /	kisalaya kusume prakANxa SAKA Adizu viSadezu vadanti vipram etAn /
   narapatimatilohiteṣu vaiśyaṃ kanakanibheṣu sitetareṣu śūdram // Rajni_1.25	narapatim ati lohitezu vESyam kanaka niBezu sitetarezu SUdram // Rajni_1.25
   viprādijātisambhūtān viprādiṣv eva yojayet /	vipra Adi jAti samBUtAn vipra Adizu eva yojayet /
   guṇāḍhyān api vṛkṣādīn prātilomyaṃ na cācaret // Rajni_1.26	guNa AXyAn api vRkza AdIn prAtilomyam na ca Acaret // Rajni_1.26
   vipro viprādyeṣu varṇeṣu rājā rājanyādau vaiśyamukhyeṣu vaiśyaḥ /	vipraH vipra Adyezu varNezu rAjA rAjani AdO vESya muKyezu vESyaH /
   śūdraḥ śūdrādyeṣu śastaṃ guṇāḍhyaṃ dravyaṃ naiva prātilomyena kiṃcit //	SUdraH SUdra Adyezu Sastam guNa AXyam dravyam na eva prAtilomyena kiMcid //
   Rajni_1.27	Rajni_1.27
   dravyaṃ yad aṅkūrajam āhur āryās tat te punaḥ pañcavidhaṃ vadanti /	dravyam yat aFkUra jam AhuH AryAH tat te punar paQcaviDam vadanti /
   vanaspatiś cāpi sa eva vānaspatyaḥ kṣupo vīrud athauṣadhīś ca //	vanaspatiH ca api saH eva vAnaspatyaH kzupaH vIruD aTa OzaDIH ca //
   Rajni_1.28	Rajni_1.28
   jñeyaḥ so 'tra vanaspatiḥ phalati yaḥ puṣpair vinā taiḥ phalaṃ vānaspatya	jQeyaH saH atra vanaspatiH Palati yaH puzpEH vinA tEH Palam vAnaspatya
   iti smṛtas tanur asau hrasvaḥ kṣupaḥ kathyate /	iti smRtaH tanuH asO hrasvaH kzupaH kaTyate /
   yā vellatyagamādisaṃśrayavaśād eṣā tu vallī matā śālyādiḥ punar oṣadhiḥ	yA vellati agama Adi saMSraya vaSAt ezA tu vallI matA SAli AdiH punar ozaDiH
   phalaparīpākāvasānānvitā // Rajni_1.29	Pala parIpAka avasAna anvitAH // Rajni_1.29
   strīpuṃnapuṃsakatvena traividhyaṃ sthāvareṣv api /	strI puMnapuMsaka tvena trEviDyam sTAvarezu api /
   śṛṇu vakṣyāmi tallakṣma vyaktam atra yathākramam // Rajni_1.30	SRNu vakzyAmi tat lakzma vyaktam atra yaTAkramam // Rajni_1.30
   ikṣuveṇutaruvīrudādayaḥ skandhakāṇḍaphalapuṣpapallavaiḥ /	ikzu veNu taru vIruD AdayaH skanDa kANxa Pala puzpa pallavEH /
   snigdhadīrghatanutāmanoramās tāḥ striyaḥ khalu matā vipaścitām //	snigDa dIrGa tanu tA manoramAH tAH striyaH Kalu matAH vipaScitAm //
   Rajni_1.31	Rajni_1.31
   yatra puṣpapravālādi nātidīrghaṃ na cālpakam /	yatra puzpa pravAla Adi na ati dIrGam na ca alpakam /
   sthūlaṃ paruṣam ity eṣa pumān ukto manīṣibhiḥ // Rajni_1.32	sTUlam paruzam iti eza pumAn uktaH manIziBiH // Rajni_1.32
   strīpuṃsayor yatra vibhāti lakṣma dvayor api skandhaphalādikeṣu /	strIpuMsayoH yatra viBAti lakzma dvayoH api skanDa Pala Adikezu /
   saṃdehadaṃ naikatarāvadhāri napuṃsakaṃ tadvibudhā vadanti // Rajni_1.33	saMdeha dam na ekatara avaDAri napuMsakam tat vibuDAH vadanti // Rajni_1.33
   dravyaṃ pumān syād akhilasya jantor ārogyadaṃ tadbalavardhanaṃ ca /	dravyam pumAn syAt aKilasya jantoH Arogya dam tad bala varDanam ca /
   strī durbalā svalpaguṇā guṇāḍhyā strīṣv eva na kvāpi napuṃsakaḥ syāt //	strI durbalA su alpa guNA guNa AXyA strIzu eva na kvApi napuMsakaH syAt //
   Rajni_1.34	Rajni_1.34
   yadi striyaḥ strīṣu kṛtā guṇāḍhyāḥ klībāni tu klībaśarīrabhājām /	yadi striyaH strIzu kRtAH guNa AXyAH klIbAni tu klIba SarIra BAjAm /
   sadā ca sarvatra pumān prayuktau guṇāvahaś ceti ca kecid āhuḥ //	sadA ca sarvatra pumAn prayuktO guNa AvahaH ca iti ca kecid AhuH //
   Rajni_1.35	Rajni_1.35
   kṣutpipāsā ca nidrā ca vṛkṣādiṣv api lakṣyate /	kzuD pipAsA ca nidrA ca vRkza Adizu api lakzyate /
   mṛjjalādānatas tv ādye parṇasaṃkocitāntimā // Rajni_1.36	mRd jala AdAnataH tu Adye parNa saMkocita antimA // Rajni_1.36
   yatkāṭhinye sā kṣitiryodbhavo 'mbhastejastūṣmā vardhate yat sa vātaḥ /	yat kAWinye sA kzitiH yA udBavaH amBaH tejaH tu UzmA varDate yat sa vAtaH /
   yad yac chidraṃ tan nabhaḥ sthāvarāṇām ity eteṣāṃ pañcabhūtātmakatvam //	yat yat Cidram tat naBaH sTAvarANAm iti etezAm paQcaBUta Atmaka tvam //
   Rajni_1.37	Rajni_1.37
   itthaṃ deśaguṇasvarūpakathanaprakrāntakāntārajakṣetradravyaguṇānvayakramam	itTam deSa guNa svarUpa kaTana prakrAnta kAntA ra ja kzetra dravya guNa anvaya kramam
   imaṃ vargaṃ paṭhitvā naraḥ /	imam vargam paWitvA naraH /
   prāpnoty āśu bhiṣak	prApnoti ASu Bizaj 
   prayogaviṣayaprāvīṇyapārīṇatāhaṃkurvāṇasuparvasaṃsadagadaṅkārakriyākauśalam	prayoga vizaya prAvINya pArINa tA ahaMkurvANa suparva saMsad agadaFkAra kriyA kOSalam
   // Rajni_1.38	// Rajni_1.38
   asūta sutam īśvaraḥ śrutayaśā yam	asUta sutam ISvaraH Sruta yaSAH yam
   aṣṭādaśaprabhedavidhavāṅmayāmbunidhipārapārīṇadhīḥ /	azwAdaSa praBedaviDa vAc maya ambuniDi pAra pArINa DIH /
   amuṣya nṛharīśituḥ kṛtivarasya vargaḥ kṛtāvasāvagamadādimaḥ	amuzya nRhari ISituH kRti varasya vargaH kRtO= asO= agamat AdimaH
   sadabhidhānacūḍāmaṇau // Rajni_1.39	sat aBiDAna cUxAmaNO // Rajni_1.39
