   mahāyānasūtrālaṃkāraḥ	mahAyAna sUtra alaMkAraH
   sukṛtamiva subhojyaṃ bhujyamānaṃ kṣudhārtaiḥ |	sukRtam iva su Bojyam BujyamAnam kzuDA ArtEH |
   (MSA_Bagchi 2)	(MSA_BagCi 2)
   vidita iva sulekho ratnapeṭeva muktā	viditaH iva su leKaH ratna pewA iva muktA
   vivṛta iha sa dharmaḥ prītimagryāṃ dadhāti || Msa_1.2 ||	vivRtaH iha sa DarmaH prItim agryAm daDAti || Msa_1.2 ||
   anena ślokena pañcabhirdṛṣṭāntaiḥ sa hi dharmaḥ pañcavidhamarthamadhikṛtya	anena Slokena paQcaBiH dRzwAntEH sa hi DarmaH paQcaviDam arTam aDikRtya
   deśitaḥ sādhyaṃ vyutpādyaṃ cintyamacintyaṃ pariniṣpannaṃ cādhigamārthaṃ	deSitaH sADyam vyutpAdyam cintyam acintyam parinizpannam ca aDigama arTam
   pratyātmavedanīyaṃ bodhipakṣasvabhāvam | so 'nena sūtrālaṃkāreṇa vivṛtaḥ	pratyAtma vedanIyam boDi pakza svaBAvam | saH anena sUtra alaMkAreNa vivRtaH
   prītimagryāṃ dadhāti | yathākramaṃ ghaṭitasuvarṇādivat |	prItim agryAm daDAti | yaTAkramam Gawita suvarNa Adi vat |
   yadā sa dharmaḥ prakṛtyaiva guṇayuktaḥ kathaṃ so 'laṃkriyata ityasya	yadA sa DarmaH prakRtyA eva guNa yuktaH kaTam saH alaMkriyate iti asya
   codyasya parihārārthaṃ tṛtīyaḥ ślokaḥ |	codyasya parihAra arTam tRtIyaH SlokaH |
   yathā bimbaṃ bhūṣāprakṛtiguṇavaddarpaṇagataṃ	yaTA bimbam BUzA prakRti guNavat darpaNa gatam
   viśiṣṭaṃ prāmodyaṃ janayati nṛṇāṃ darśanavaśāt |	viSizwam prAmodyam janayati nRNAm darSana vaSAt |
   tathā dharmaḥ sūktaprakṛtiguṇayukto 'pi satataṃ	taTA DarmaH sUkta prakRti guNa yuktaH api satatam
   vibhaktārthastuṣṭiṃ janayati viśiṣṭāmiha satām || Msa_1.3 ||	viBakta arTaH tuzwim janayati viSizwAm iha satAm || Msa_1.3 ||
   anena kiṃ darśayati | yathā bimbaṃ bhūṣayā prakṛtyaiva guṇavat ādarśagataṃ	anena kim darSayati | yaTA bimbam BUzayA prakRtyA eva guNavat AdarSa gatam
   darśanavaśādviśiṣṭaṃ prāmodyaṃ janayatyevaṃ sa dharmaḥ subhāṣitaiḥ	darSana vaSAt viSizwam prAmodyam janayati evam sa DarmaH su BAzitEH
   prakṛtyaiva guṇayukto 'pi satataṃ vibhaktārthastuṣṭiṃ viśiṣṭāṃ janayati |	prakRtyA eva guNa yuktaH api satatam viBakta arTaH tuzwim viSizwAm janayati |
   buddhimatāmatastuṣṭiviśeṣotpādanādalaṃkṛta iva bhavatīti |	budDimatAmatas tuzwi viSeza utpAdanAt alaMkRtaH iva Bavati iti |
   ataḥ paraṃ tribhiḥ ślokaistasmindharme trividhamanuśaṃsaṃ	atas param triBiH SlokEH tasmin Darme triviDam anuSaMsam
   darśayatyādarotpādanārtham |	darSayati Adara utpAdana arTam |
   āghrāyamāṇakaṭukaṃ svādurasaṃ yathauṣadhaṃ tadvat |	AGrAyamANa kawukam svAdu rasam yaTA OzaDam tadvat |
   dharma[rmo] dvayavyavasthā[stho] vyañjanato 'rtho na ca[rthataśca]jñeyaḥ	Darma[rmo] dvaya vyavasTA[ sTo] vyaQjanataH arTaH na ca[rTataH ca] jQeyaH
   || Msa_1.4 ||	|| Msa_1.4 ||
   rājeva durārādho dharmo 'yaṃ vipulagāḍhagambhīraḥ |	rAjA iva durArADaH DarmaH ayam vipula gAXa gamBIraH |
   ārādhitaśca tadvadvaraguṇadhanadāyako bhavati || Msa_1.5 ||	ArADitaH ca tadvat vara guNa Dana dAyakaH Bavati || Msa_1.5 ||
   ratnaṃ jātyamanarthaṃ[rghaṃ]yathāparīkṣakajanaṃ na toṣayati |	ratnam jAtyam anarTaM[rGan]yaTA parIkzaka janam na tozayati |
   dharmastathāyamabughaṃ viparyayāttoṣayati tadvat || Msa_1.6 ||	DarmaH taTA ayam abuGam viparyayAt tozayati tadvat || Msa_1.6 ||
   (MSA_Bagchi 3)	(MSA_BagCi 3)
   trividho 'nuśaṃsaḥ | āvaraṇaprahāṇahetutvamauṣadhopamatvena |	triviDaH anuSaMsaH | AvaraNa prahANa hetu tvam OzaDa upama tvena |
   dvayavyavastha iti vyañjanārthavyavasthaḥ |	dvaya vyavasTaH iti vyaQjana arTa vyavasTaH |
   vibhutvahetutvamabhijñādivaiśeṣikaguṇairśvaryadānādrājopamatvena |	viBu tva hetu tvam aBijQa Adi vESezika guNEH Svarya dAnAt rAja upama tvena |
   āryadha[ja]nopabhogahetutvaṃ ca anartha[rgha]jātyaratnopamatvena |	Arya Da[ja]na upaBoga hetu tvam ca anarTa [rGa] jAti aratna upama tvena |
   parīkṣakajana āryajano veditavyaḥ |	parIkzaka janaH Arya janaH veditavyaH |
   naivedaṃ mahāyānaṃ buddhavacanaṃ kutastasyāyamanuśaṃso bhaviṣyatītyatra	na eva idam mahAyAnam budDa vacanam kutas tasya ayam anuSaMsaH Bavizyati iti atra
   vipratipannāstasya buddhavacanatvaprasādhanārthaṃ kāraṇavibhājyamārabhya	vipratipannAH tasya budDa vacana tva prasADana arTam kAraNa viBAjyam AraBya
   ślokaḥ |	SlokaH |
   ādāvavyākaraṇātsamapravṛtteragocarātsiddheḥ |	AdO= avyAkaraNAt sama pravRtteH agocarAt sidDeH |
   bhāvābhāve 'bhāvātpratipakṣatvādrutānyatvāt || Msa_1.7 ||	BAva aBAve aBAvAt pratipakza tvAt ruta anya tvAt || Msa_1.7 ||
   ādāvavyākaraṇāt yadyetatsaddharmāntarāyipaścātkenāpyutpāditam | kasmādādau	AdO= avyAkaraNAt yadi etat sat Darma antarAyi paH cAt kena api utpAditam | kasmAt AdO
   bhagavatā na vyākṛtamanāgatabhaya[bhaṃga]vat | samapravṛtteḥ samakālaṃ ca	BagavatA na vyAkRtam anAgata Baya[ BaMga]vat | sama pravRtteH sama kAlam ca
   śrāvakayānena mahāyānasya pravṛttirupalabhyate na paścāditi	SrAvaka yAnena mahAyAnasya pravRttiH upalaByate na paScAt iti
   kathamasyābuddhavacanatvaṃ vijñāyate | agocarānnāyamevamudāro gambhīraśca	kaTam asya abudDa vacana tvam vijQAyate | agocarAn na ayam evam udAraH gamBIraH ca
   dharmastārkikāṇāṃ gocaraḥ | tīrthikaśāstreṣu tatprakārānupalambhāditi |	DarmaH tArkikANAm gocaraH | tIrTika SAstrezu tad prakAra anupalamBAt iti |
   nāyamanyairbhāṣito yujyate | ucyamāne 'pi tadanadhimukteḥ |	na ayam anyEH BAzitaH yujyate | ucyamAne api tad anaDimukteH |
   siddherathānyenābhisaṃbudhya bhāṣitaḥ | siddhamasya buddhavacanatvam | sa	sidDeH aTa anyena aBisaMbuDya BAzitaH | sidDam asya budDa vacana tvam | sa
   eva buddho yo 'bhisaṃbudhya evaṃ bhāṣate | bhāvābhāve 'bhāvādyadi	eva budDaH yaH aBisaMbuDya evam BAzate | BAva aBAve aBAvAt yadi
   mahāyānaṃ kiṃcidasti tasya bhāva[ve] siddhamidaṃ buddhavacanamato 'nyasya	mahAyAnam kiMcid asti tasya BAva[ve] sidDam idam budDa vacanam atas anyasya
   mahāyānasyābhāvāt | atha nāsti tasyābhāve śrāvakayānasyāpyabhāvāt |	mahAyAnasya aBAvAt | aTa na asti tasya aBAve SrAvaka yAnasya api aBAvAt |
   śrāvakayānaṃ buddhavacanaṃ na mahāyānamiti na yujyate vinā buddhayānena	SrAvaka yAnam budDa vacanam na mahAyAnam iti na yujyate vinA budDa yAnena
   buddhānāmanutpādāt | pratipakṣatvāt | bhāvyamānaṃ ca mahāyānaṃ	budDAnAm anutpAdAt | pratipakza tvAt | BAvyamAnam ca mahAyAnam
   sarvanirvikalpajñānāśrayatvena kleśānāṃ pratipakṣo bhavati tasmād	sarva nirvikalpa jQAna ASraya tvena kleSAnAm pratipakzaH Bavati tasmAt 
   buddhavacanam | rutānyatvāt | na cāsya yathārutamarthastasmānna	budDa vacanam | ruta anya tvAt | na ca asya yaTArutam arTaH tasmAt na
   yathārutārthānusāreṇedamabuddhavacanaṃ veditabyam |	yaTA ruta arTa anusAreNa idam abudDa vacanam veditabyam |
   yaduktamādāvavyākaraṇādityanābhogādetadanāgatāṃ bhagavatā na vyākṛtamiti	yat uktam AdO= avyAkaraNAt iti anABogAt etat anAgatAm BagavatA na vyAkRtam iti
   kasyacit syādata upekṣāyā ayoge ślokaḥ |	kasyacid syAt atas upekzAyAH ayoge SlokaH |
   pratyakṣacakṣuṣo buddhāḥ śāsanasya ca rakṣakāḥ |	pratyakza cakzuzaH budDAH SAsanasya ca rakzakAH |
   adhmanyanāvṛtajñānā upekṣāto na yujyate || Msa_1.8 ||	aDmani anAvRta jQAnAH upekzAtaH na yujyate || Msa_1.8 ||
   anena kiṃ darśayati | tribhiḥ kāraṇairanāgatasya mahataḥ	anena kim darSayati | triBiH kAraNEH anAgatasya mahataH
   śāsanopadravasyopekṣā na yujyate | buddhānāmayatnato jñānapravṛtteḥ	SAsana upadravasya upekzA na yujyate | budDAnAm ayatnatas jQAna pravRtteH
   pratyakṣacakṣuṣkatayā śāsanarakṣāyāśca[yāṃ ca] yatnavatvāt |	pratyakza cakzuzka tayA SAsana rakzAyAH ca[yAm ca] yatnava tvAt |
   anāgatajñānasamarthyācca sarvakālāvyāhatajñānatayeti |	anAgata jQAna samarTyAt ca sarva kAla avyAhata jQAna tayA iti |
   yaduktaṃ bhāvābhāve 'bhāvāditi | etadeva śrāvakayānaṃ mahāyānametenaiva	yat uktam BAva aBAve aBAvAt iti | etat eva SrAvaka yAnam mahAyAnam etena eva
   mahābodhiprāptiriti kasyacitsyādataḥ śrāvakayānasya mahāyānatvāyoge ślokaḥ	mahAboDi prAptiH iti kasyacid syAt atas SrAvaka yAnasya mahAyAna tva ayoge SlokaH
   (MSA_Bagchi 4)	(MSA_BagCi 4)
   vaikalyato virodhādanupāyatvāttathāpyanupadeśāt |	vEkalyataH viroDAt anupAya tvAt taTA api anupadeSAt |
   na śrāvakayānamidaṃ bhavati mahāyānadharmākhyam || Msa_1.9 ||	na SrAvaka yAnam idam Bavati mahAyAna Darma AKyam || Msa_1.9 ||
   vaikalyātparārthopadeśasya | na hi śrāvakayāne kaścitparārtha upadiṣṭaḥ	vEkalyAt para arTa upadeSasya | na hi SrAvaka yAne kaScid para arTaH upadizwaH
   śrāvakāṇāmātmano nirvidvirāgavimuktimātropāyopadeśāt | na ca svārtha eva	SrAvakANAm AtmanaH nirvidvirAga vimukti mAtra upAya upadeSAt | na ca sva arTaH eva
   pareṣūpadiśyamānaḥ parārtho bhavitumarhati | virodhāt | svārthe hi paro	parezu upadiSyamAnaH para arTaH Bavitum arhati | viroDAt | sva arTe hi paraH 
   niyujyamānaḥ svārtha eva prayujyate sa ātmana eva parinirvāṇārthaprayukto	niyujyamAnaH sva arTaH eva prayujyate saH AtmanaH eva parinirvANa arTa prayuktaH 
   'nuttarāṃ samyaksaṃbodhimabhisaṃbhotsyata iti viruddhametat | na ca	anuttarAm samyaksaMboDim aBisaMBotsyate iti virudDam etat | na ca
   śrāvakayānenaiva cirakālaṃ bodhau ghaṭamāno buddho bhavitumarhati |	SrAvaka yAnena eva cira kAlam boDO GawamAnaH budDaH Bavitum arhati |
   anupāyatvāt | anupāyo hi śrāvakayānaṃ buddhatvasya na cānupāyena ciramapi	anupAya tvAt | anupAyaH hi SrAvaka yAnam budDa tvasya na ca anupAyena ciram api
   prayujyamānaḥ prārthitamarthaṃ prāpnoti | śrṛṅgādiva dugdhaṃ na	prayujyamAnaH prArTitam arTam prApnoti | SrRFgAt iva dugDam na
   bhasrayā[bhasrāyāḥ] | athānyathāpyatropadiṣṭaṃ yathā bodhisattvena	Basra yA[BasrAyAH] | aTa anyaTA api atra upadizwam yaTA boDisattvena
   prayoktavyam | tathāpyanupadeśānna śrāvakayānameva mahāyānaṃ	prayoktavyam | taTA api anupadeSAt na SrAvaka yAnam eva mahAyAnam
   bhaviturmahati | na hi sa tādṛśa upadeśa etasminnupalabhyate |	BavituH mahati | na hi sa tAdRSaH upadeSaH etasmin= upalaByate |
   viruddhameva cānyonyaṃ śrāvakayānaṃ mahāyānaṃ cetyanyonyavirodhe ślokaḥ |	virudDam eva ca anyonyam SrAvaka yAnam mahAyAnam ca iti anyonya viroDe SlokaH |
   āśayasyopadeśasya prayogasya virodhataḥ |	ASayasya upadeSasya prayogasya viroDataH |
   upastambhasya kālasya yat hīnaṃ hīnameva tat || Msa_1.10 ||	upastamBasya kAlasya yat hInam hInam eva tat || Msa_1.10 ||
   kathaṃ viruddham | pañcabhirvirodhaiḥ |	kaTam virudDam | paQcaBiH viroDEH |
   āśayopadeśaprayogopastambhakālavirodhaiḥ | śrāvakayāne	ASaya upadeSa prayoga upastamBa kAla viroDEH | SrAvaka yAne
   hyātmaparinirvāṇāyaivāśayastadarthamevopadeśastadarthameva prayogaḥ	hi Atma parinirvANAya eva ASayaH tad arTam eva upadeSaH tad arTam eva prayogaH
   parīttaśca puṇyajñānasaṃbhārasaṃgṛhīta upastambhaḥ, kālena cālpena	parIttaH ca puNya jQAna saMBAra saMgRhItaH upastamBaH, kAlena ca alpena
   tadarthaprāptiryāvattribhirapi janmabhiḥ | mahāyāne tu sarvaṃ viparyayeṇa	tad arTa prAptiH yAvat triBiH api janmaBiH | mahAyAne tu sarvam viparyayeNa
   | tasmādanyonyavirodhād yad yānaṃ hīnaṃ hīnameva tat | na tanmahāyānaṃ	| tasmAt anyonya viroDAt yat yAnam hInam hInam eva tat | na tat mahAyAnam
   bhavitumarhati |	Bavitum arhati |
   buddhavacanasyedaṃ lakṣaṇaṃ yatsūtre 'vatarati vinaye saṃdṛśyate dharmatāṃ	budDa vacanasya idam lakzaNam yat sUtre avatarati vinaye saMdRSyate Darma tAm
   ca na vilomayati | na caivaṃ mahāyānam, sarvadharmaniḥsvabhāvatvopadeśāt |	ca na vilomayati | na ca evam mahAyAnam, sarva Darma niHsvaBAva tva upadeSAt |
   tasmānna buddhavacanamiti kasyacitsyādato lakṣaṇāvirodhe ślokaḥ |	tasmAt na budDa vacanam iti kasyacid syAt atas lakzaNa aviroDe SlokaH |
   svake 'vatārātsvasyaiva vinaye darśanādapi |	svake avatArAt svasya eva vinaye darSanAt api |
   audāryādapi gāmbhīryādaviruddhaiva dharmatā || Msa_1.11 ||	OdAryAt api gAmBIryAt avirudDA eva DarmatA || Msa_1.11 ||
   anena ślokena kiṃ darśayati | avataratyevedaṃ svasmin mahāyānasūtre svasya	anena Slokena kim darSayati | avatarati eva idam svasmin mahAyAna sUtre svasya
   ca kleśasya[kleśaḥ?] vinayaḥ[vinaye]saṃdṛśyate | yo mahāyāne	ca kleSasya[ kleSaH?] vinayaH[vinaye] saMdRSyate | yaH mahAyAne
   bodhisattvānāṃ kleśaḥ uktaḥ | vikalpakleśā hi bodhisattvāḥ |	boDisattvAnAm kleSaH uktaH | vikalpa kleSAH hi boDisattvAH |
   audāryagāmbhīryalakṣaṇatvācca | na dharmatāṃ vilomayatyathaiva hi dharmatā	OdArya gAmBIrya lakzaNa tvAt ca | na Darma tAm vilomayati aTa eva hi DarmatA
   mahābodhiprāptaye tasmānnāsti lakṣaṇavirodhaḥ |	mahAboDi prAptaye tasmAt na asti lakzaNa viroDaH |
   (MSA_Bagchi 5)	(MSA_BagCi 5)
   agocarādityuktamatarstakagocaratvāyoge ślokaḥ |	agocarAt iti uktam atarstaka gocara tva ayoge SlokaH |
   niśrito 'niyato 'vyāpī sāṃvṛtaḥ khedavānapi |	niSritaH aniyataH avyApI sAMvRtaH KedavAn api |
   bālāśrayo matastarkastasyāto viṣayo na tat || Msa_1.12 ||	bAla ASrayaH mataH tarkaH tasya atas vizayaH na tat || Msa_1.12 ||
   adṛṣṭasatyāśrayo hi tarkaḥ kaścidāgamaniśrito bhavati | aniyataśca bhavati	adRzwa satya ASrayaH hi tarkaH kaScid Agama niSritaH Bavati | aniyataH ca Bavati
   kālāntareṇānyathāpratyavagamāt | avyāpī ca na sarvajñeyaviṣayaḥ |	kAla antareNa anyaTA pratyavagamAt | avyApI ca na sarva jQeya vizayaH |
   saṃvṛtisatyaviṣayaśca na paramārthaviṣayaḥ | khedavāṃśca	saMvRti satya vizayaH ca na parama arTa vizayaH | KedavAn= ca
   pratibhānaparyādānāt | mahāyānaṃ tu na niśritaṃ yāvadakhedavat |	pratiBAna paryAdAnAt | mahAyAnam tu na niSritam yAvat aKeda vat |
   śatasāhasrikādyanekasūtropadeśāt | ato na tarkasya tadviṣayaḥ |	Sata sAhasrikA Adi aneka sUtra upadeSAt | atas na tarkasya tad vizayaH |
   anupāyatvāt śrāvakayāne na buddhatvaṃ prāptamityuktam, atha mahāyānaṃ	anupAya tvAt SrAvaka yAne na budDa tvam prAptam iti uktam, aTa mahAyAnam
   kathamupāyo yukta ityupāyatvayoge ślokaḥ |	kaTam upAyaH yuktaH iti upAya tva yoge SlokaH |
   audāryādapi gāmbhīryātparipāko 'vikalpanā |	OdAryAt api gAmBIryAt paripAkaH avikalpanA |
   deśanāto dvayasyāsmin sa copāyo niruttare || Msa_1.13 ||	deSanAtaH dvayasya asmin sa ca upAyaH niruttare || Msa_1.13 ||
   anena ślokena kiṃ darśayati | prabhāvaudāryadeśanayā sattvānāṃ paripākaḥ	anena Slokena kim darSayati | praBAva OdArya deSanayA sattvAnAm paripAkaH
   prabhāvādhimuktito ghaṭanāt | gāmbhīryadeśanayā avikalpanā, ata etasya	praBAva aDimuktitaH GawanAt | gAmBIrya deSanayA avikalpanA, atas etasya
   dvayasyāsmin mahāyāne deśanā | sa copāyo niruttare jñāne, tābhyāṃ	dvayasya asmin mahAyAne deSanA | sa ca upAyaH niruttare jQAne, tAByAm
   yathākramaṃ sattvānāṃ paripācanādātmanaśca buddhadharmaparipākāditi |	yaTAkramam sattvAnAm paripAcanAt AtmanaH ca budDa Darma paripAkAt iti |
   ye punarasmāt trasanti tadarthamasthānatrāsādīnave kāraṇatvena ślokaḥ |	ye punar asmAt trasanti tad arTam asTAna trAsa AdInave kAraNa tvena SlokaH |
   tadasthānatrāso bhavati jagatāṃ dāhakaraṇo	tad asTAna trAsaH Bavati jagatAm dAha karaNaH 
   mahāpuṇyaskandhaprasavakaraṇāddīrghasamayam |	mahA puNya skanDa prasava karaNAt dIrGa samayam |
   agotro 'sanmitro 'kṛtamatirapūrvācittaśubha 	agotraH asat mitraH akRta matiH apUrva Acitta SuBa 
   strasatyasmin dharme patati mahato 'rthādgat iha || Msa_1.14 ||	strasati asmin Darme patati mahataH arTAt gat iha || Msa_1.14 ||
   trāsāsthāne trāsastadasthānatrāsaḥ | dāhakaraṇo bhavatyapāyeṣu | kiṃ	trAsa AsTAne trAsaH tad asTAna trAsaH | dAha karaNaH Bavati apAyezu | kim
   kāraṇam | mahataḥ apuṇyaskandhaprasavasya karaṇāt | kiyantaṃ kālamiti	kAraNam | mahataH apuNya skanDa prasavasya karaNAt | kiyantam kAlam iti
   dīrghasamayam | evaṃ paścādādīnavaḥ | yena ca kāraṇena yāvantaṃ ca kālaṃ	dIrGa samayam | evam paScAt AdInavaH | yena ca kAraNena yAvantam ca kAlam
   tat saṃdarśayati | kiṃ punaḥ kāraṇe tu satīti caturvidhaṃ trāsakāraṇaṃ	tat saMdarSayati | kim punar kAraNe tu sati iti caturviDam trAsa kAraNam
   darśayati | gotraṃ cāsya na bhavati sanmitraṃ vā avyutpannamatirvā bhavati	darSayati | gotram ca asya na Bavati sat mitram vA avyutpanna matiH vA Bavati
   mahāyānadharmatāyāṃ pūrvaṃ vānupacitaśubho bhavati | patati mahato	mahAyAna Darma tAyAm pUrvam vA anupacita SuBaH Bavati | patati mahataH 
   'rthāditi mahābodhisaṃbhārārthāt | aprāptaparihāṇito 'paramādīnavaṃ	arTAt iti mahA boDi saMBAra arTAt | aprApta parihANitaH aparam AdInavam
   darśayati |	darSayati |
   (MSA_Bagchi 6)	(MSA_BagCi 6)
   trāsakāraṇamuktamatrāsakāraṇaṃ vaktavyamityatrāsakāraṇatve ślokaḥ |	trAsa kAraNa muktam atrAsa kAraNam vaktavyam iti atrAsa kAraNa tve SlokaH |
   tadanyānyā[nyasyā?]bhāvātparamagahanatvādanugamāt	tad anyAnyA[nyasya a?]BAvAt parama gahana tvAt anugamAt 
   vicitrasyākhyānād dhruvakathanayogādvahumukhāt |	vicitrasya AKyAnAt Druva kaTana yogAt vahu muKAt |
   yathākhyānaṃ nārthādbhagavati ca bhāvātigahanāt	yaTA AKyAnam na arTAt Bagavati ca BAva ati gahanAt 
   na dharme 'smiṃstrāso bhavati viduṣāṃ yonivicayāt || Msa_1.15 ||	na Darme asmin= trAsaH Bavati viduzAm yoni vicayAt || Msa_1.15 ||
   tadanyānyā[nyasyā?]bhāvāditi tato 'nyasya mahāyānasyābhāvāt | atha	tad anyAn yA[nyasya a?]BAvAt iti tatas anyasya mahAyAnasya aBAvAt | aTa
   śrāvakayānameva mahāyānaṃ syādanyasya śrāvakasya pratyekabuddhasya	SrAvaka yAnam eva mahAyAnam syAt anyasya SrAvakasya pratyekabudDasya
   vābhāvaḥ syāt | sarva eva hi buddhā bhaveyuḥ | paramagahanatvācca |	vABAvaH syAt | sarve eva hi budDAH BaveyuH | parama gahana tvAt ca |
   sarvajñajñānamārgasyānugamācca tulyakālapravṛttyā | vicitrasyākhyānāt |	sarvajQa jQAna mArgasya anugamAt ca tulya kAla pravRttyA | vicitrasya AKyAnAt |
   vicitraścātra saṃbhā[sā?]ramārga ākhyāyate na kevalaṃ śūnyataiva |	vicitraH ca atra saMBA[sa a?]ra mArgaH AKyAyate na kevalam SUnyatA eva |
   tasmāda[ā]bhiprāyikenānena bhavitavyamiti | dhruvakathanayogād,	tasmAt a[A]Bi prAyikena anena Bavitavyam iti | Druva kaTana yogAt ,
   bahumukhādabhīkṣṇaṃ cātra śūnyatā kathyate bahumiśca paryāyaisteṣu teṣu	bahu muKAt aBIkzNam ca atra SUnyatA kaTyate bahumiH ca paryAyEH tezu tezu
   sūtrānteṣu tasmādbhavitavyamatra mahatā prayojanena | anyathā hi	sUtrAntezu tasmAt Bavitavyam atra mahatA prayojanena | anyaTA hi
   satkṛtpratiṣedhamātrakṛtamabhabiṣyaditi | yathākhyānaṃ nārthāt na cāsya	satkRt pratizeDa mAtra kRtam aBabizyat iti | yaTA AKyAnam na arTAt na ca asya
   yathārutamartho 'smādapi trāso na yuktaḥ | bhagavati ca	yaTArutam arTaH asmAt api trAsaH na yuktaH | Bagavati ca
   bhāvātigahanādatigahanaśca buddhānāṃ bhāvo	BAva ati gahanAt ati gahanaH ca budDAnAm BAvaH 
   durājñeyastasmānnāsmābhistadajñānāttrasitavyamiti | evaṃ yoniśaḥ	durAjQeyaH tasmAt na asmABiH tad ajQAnAt trasitavyam iti | evam yoniSas 
   pravicayādviduṣāṃ trāso na bhavati |	pravicayAt viduzAm trAsaH na Bavati |
   dūrānupraviṣṭajñānagocaratve ślokaḥ |	dUra anupravizwa jQAna gocara tve SlokaH |
   śrutaṃ niśrityādau prabhavati manaskāra iha yo	Srutam niSriti AdO praBavati manaskAraH iha yaH 
   manaskārājjñānaṃ prabhavati ca tattvārthaviṣayam |	manaskArAt jQAnam praBavati ca tattva arTa vizayam |
   tato dharmaprāptiḥ prabhavati ca tasminmatirato	tatas Darma prAptiH praBavati ca tasmin matiH atas 
   yadā pratyātmaṃ sā kathamasati tasminvyavasitiḥ || Msa_1.16 ||	yadA pratyAtmam sA kaTam asati tasmin vyavasitiH || Msa_1.16 ||
   śrutaṃ niśrityādau manaskāraḥ prabhavati yo yoniśa ityarthaḥ | yoniśo	Srutam niSriti a AdO manaskAraH praBavati yaH yoniSas iti arTaH | yoni Sas 
   manaskārāttattvārthaviṣayaṃ jñānaṃ prabhavati lokottarā samyagdṛṣṭiḥ,	manaskArAt tattva arTa vizayam jQAnam praBavati lokottarA samyak dRzwiH,
   tatastatphalasya dharmasya prāptiḥ, tatastasmin prāpte matirvimuktijñānaṃ	tatas tad Palasya Darmasya prAptiH, tatas tasmin prApte matiH vimukti jQAnam
   prādurbhavati | evaṃ yadā pratyātmaṃ sā matirbhavati, kathamasati	prAdurBavati | evam yadA pratyAtmam sA matiH Bavati, kaTam asati
