   oṃ namaḥ śivāya	om namaH SivAya
   svāsiddhaye parākṣepaḥ parārthaṃ svasamarpaṇam /	sva-asidDaye parAkzepaH para-arTam sva-samarpaNam /
   upādānaṃ lakṣaṇaṃ cetyuktā śuddhaiva sā dvidhā // MKpr-K_10 //	upAdAnam lakzaNam ca-iti-uktA SudDA-eva sA dviDA // MKpr-K_10 //
   sāropānyā tu yatroktau viṣyī viṣayastathā /	sAra-upAnyA tu yatra-uktO vizyI vizayaH-taTA /
   viṣyayyantaḥkṛtenyasmin sā syātsādhyavasānikā // MKpr-K_11 //	vizyayI-antaHkRtenyasmin sA syAt-sADyavasAnikAH // MKpr-K_11 //
   bhedāvimau ca sādṛśyātsambandhāntaratastathā /	BedO=-imO ca sAdRSyAt-sambanDa-antarataH-taTA /
   gauṇau śuddhau ca vijñeyau lakṣaṇā tena ṣaḍvidhā // MKpr-K_12 //	gONO SudDO ca vijQeyO lakzaNA tena zaxviDAH // MKpr-K_12 //
   vyaṅgyena rahitā rūḍhau sahitā tu prayojane /	vyaFgyena rahitA rUXO sahitA tu prayojane /
   tacca gūḍhamagūḍhaṃ vā tadeṣā kathitā tridhā // MKpr-K_13 //	tat-ca gUXam-agUXam vA tat-ezA kaTitA triDA // MKpr-K_13 //
   tadbhūlakṣiṇikastatra vyāpāro vyañjanātmakaḥ /	tad-BUlakziNikaH-tatra vyApAraH vyaQjana-AtmakaH /
   yasya pratītimādhātuṃ lakṣaṇā samupāsyate // MKpr-K_14 //	yasya pratItim-ADAtum lakzaNA samupAsyate // MKpr-K_14 //
   phale śabdaikagamye 'tra vyañjanānnāparā kriyā /	Pale Sabda-eka-gamye atra vyaQjanAt-na-aparA kriyA /
   nābhidhā samayābhāvāddhetvabhāvānna lakṣaṇā // MKpr-K_15 //	na-aBiDA samaya-aBAvAt-hetu-aBAvAt-na lakzaNAH // MKpr-K_15 //
   lakṣyaṃ na mukhyaṃ nāpyatra bādho yogaḥ phalena no /	lakzyam na muKyam na-api-atra bADaH yogaH Palena naH /
   na prayojanametasmin na ca śabdaḥ skhaladgatiḥ // MKpr-K_16 //	na prayojanam-etasmin na ca SabdaH sKalat-gatiH // MKpr-K_16 //
   evamapyanavasthā syād yā mūlakṣayakāriṇī /	evam-api-anavasTA syAt yA mUla-kzaya-kAriNI /
   prayojanena sahitaṃ lakṣaṇīyaṃ na yujyate // MKpr-K_17 //	prayojanena sahitam lakzaNIyam na yujyate // MKpr-K_17 //
   jñānasya viṣyo hyanyaḥ phalamanyadudāhṛtam /	jQAnasya vizyaH hi-anyaH Palam-anyat-udAhRtam /
   viśiṣṭe lakṣaṇā naivaṃ viśeṣāḥ syustu lakṣite // MKpr-K_18 //	viSizwe lakzaNAH na-evam viSezAH syuH-tu lakzite // MKpr-K_18 //
   anekārthasya śabdasya vācakatve niyantrite /	aneka-arTasya Sabdasya vAcaka-tve niyantrite /
   saṃyogādyairavācyārthadhīkṛdvyāpṛtirañjanam // MKpr-K_19 //	saMyoga-AdyEH-avAcya-arTa-DI-kRt-vyApRti-raQjanam // MKpr-K_19 //
   tadyukto vyañjakaḥ śabdo yatso 'rthāntarayuk tathā /	tad-yuktaH vyaQjakaH SabdaH yat-saH arTa-antara-yuj taTA /
   artho 'pi vyañjakastatra sahakāritayā mataḥ // MKpr-K_20 //	arTaH api vyaQjakaH-tatra sahakAritayA mataH // MKpr-K_20 //
   arthāḥ proktāḥ purā teṣāmarhtavyañjakatocyate /	arTAH proktAH purA tezAm-arhta-vyaQjaka-tA-ucyate /
   vaktṛboddhavyakākūnāṃ vākyavācyānyasannidheḥ // MKpr-K_21 //	vaktR-bA-udDavyakAkUnAm vAkya-vAcya-ani-asanniDeH // MKpr-K_21 //
   prastāvadeśakālādervaiśiṣṭyāt pratibhājuṣām /	prastAva-deSa-kAla-AdeH-vESizwyAt pratiBAjuzAm /
   yo 'rthasyānyārthadhīheturvyāpāro vyaktireva sā // MKpr-K_22 //	yaH arTasya-anya-arTa-DI-hetuH-vyApAraH vyaktiH-eva sA // MKpr-K_22 //
   śabdapramāṇavedyor'rtho vyanaktyarthāntaraṃ yataḥ /	Sabda-pramANa-vedyor-arTaH vyanakti-arTa-antaram yatas /
   arthasya vyñjakatve tacchabdasya sahakāritā // MKpr-K_23 //	arTasya vyQjaka-tve tad-Sabdasya sahakAritA // MKpr-K_23 //
   avivakṣitavācyo tastatra vācyaṃ bhaveddhvanau /	avivakzita-vAcyaH taH-tatra vAcyam Bavet-DvanO /
   arthāntare saṅkrimitamatyantaṃ vā tiraskṛtam // MKpr-K_24 //	arTa-antare saFkrimitam-atyantam vA tiraskRtam // MKpr-K_24 //
   vivakṣitaṃ cānyaparaṃ vācyaṃ yatrāparastu saḥ /	vivakzitam ca-anya-param vAcyam yatra-aparaH-tu saH /
   po 'pyalakṣyakramavyañgyo lakṣyavyaṅgyakramaḥ paraḥ // MKpr-K_25 //	paH api-alakzya-krama-vyaQgyaH lakzya-vyaFgya-kramaH paraH // MKpr-K_25 //
   rasabhāvatadābhāvabhāvaśāntyādirakramaḥ /	rasa-BAva-tadA-aBAva-BAva-SAnti-AdiH-akramaH /
   bhinno rasādyalaṅkārādalaṅkāryatayā sthitaḥ // MKpr-K_26 //	BinnaH rasa-Adi-alaFkArAt-alaFkArya-tayA sTitaH // MKpr-K_26 //
   kāraṇānyatha kāryāṇi sahakārīṇi yāni ca /	kAraNAni-aTa kAryANi saha-kArINi yAni ca /
   ratyādeḥ sthāyino loke tāni cennāṭyakāvyayoḥ // MKpr-K_27 //	rati-AdeH sTAyinaH loke tAni ced-nAwya-kAvyayoH // MKpr-K_27 //
   vibhāvā abubhāvāstat kathyante vyabhicāriṇaḥ /	viBAvAH abuBAvAH-tat kaTyante vyaBicAriNaH /
   vyaktaḥ sa tairvibhāvādyaiḥ sthāyī bhāvo rasaḥ smṛtaḥ // MKpr-K_28 //	vyaktaH sa tEH-viBAva-AdyEH sTAyI BAvaH rasaH smRtaH // MKpr-K_28 //
   sṛṅgārahāsyakaruṇaraudravīrabhayānakāḥ /	sRFgAra-hAsya-karuNa-rOdra-vIra-BayAnakAH /
   bībhatsādbhutasaṃjñau cetyaṣṭau nāṭye rasāḥ smṛtāḥ // MKpr-K_29 //	bIBatsa-adButa-saMjQO ca-iti-azwO nAwye rasAH smRtAH // MKpr-K_29 //
   ratirhāsaśca śokaśca krodhotsāhau bhayaṃ tathā /	ratiH-hAsaH-ca SokaH-ca kroDa-utsAhO Bayam taTA /
   jugupsā vismayaśceti sthāyibhāvāḥ prakīrtitāḥ // MKpr-K_30 //	jugupsA vismayaH-ca-iti sTAyi-BAvAH prakIrtitAH // MKpr-K_30 //
   nirvedaglāniśaṅkākhyāstathāsūyā madaśramāḥ /	nirveda-glAni-SaFkA-AKyAH-taTA-asUyAH mada-SramAH /
   ālasyaṃ caiva dainyaṃ ca cintā mohaḥ smṛtirdhṛtiḥ // MKpr-K_31 //	Alasyam ca-eva dEnyam ca cintA mohaH smRtiH-DRtiH // MKpr-K_31 //
   vrīḍā capalatā harṣa āvego jaḍatā tathā /	vrIxA capala-tA harzaH AvegaH jaxa-tA taTA /
   garvo viṣāda autsukyaṃ nidrāpasmāra eva ca // MKpr-K_32 //	garvaH vizAdaH Otsukyam nidrA-apasmAraH eva ca // MKpr-K_32 //
   suptaṃ prabodhomarṣaścāpyavahitthamathogratā /	suptam praboDaH-marzaH-ca-api-avahitTam-aTa-ugra-tA /
   matirvyādhistathonmādastathā maraṇameva ca // MKpr-K_33 //	matiH-vyADiH-taTA-unmAdaH-taTA maraNam-eva ca // MKpr-K_33 //
   trāsaścaiva vitarkaśca vijñeyā vyabhicāriṇaḥ /	trAsaH-ca-eva vitarkaH-ca vijQeyAH vyaBicAriNaH /
   triṃstriśadamī bhāvāḥ samākhyātāstu nāmataḥ // MKpr-K_34 //	trin=-tri-Sat-amI BAvAH samAKyAtAH-tu nAmataH // MKpr-K_34 //
   nirvedasthāyibhāvo 'sti śānto 'pi navamo rasaḥ /	nirveda-sTAyi-BAvaH asti SAntaH api navamaH rasaH /
   ratirdevādiviṣayā vyabhicārī tathāñjitaḥ // MKpr-K_35 //	ratiH-deva-Adi-vizayA vyaBicArI taTA-aQjitaH // MKpr-K_35 //
   bhāvaḥ proktastadābhāsā anaucityapravarttitāḥ /	BAvaH proktaH-tad-ABAsAH anOcitya-pravarttitAH /
   bhāvasya śāntirudayaḥ sandhiḥ śabalatā tathā // MKpr-K_36 //	BAvasya SAntiH-udayaH sanDiH Sabala-tA taTA // MKpr-K_36 //
   mukhye rase 'pi teṅgitvaṃ prāpnuvanti kadācana /	muKye rase api teFgi-tvam prApnuvanti kadAcana /
   anusvānābhasaṃlakṣyakramavyaṅgyasthitistu yaḥ // MKpr-K_37 //	anusvAnABa-saMlakzya-krama-vyaFgya-sTitiH-tu yaH // MKpr-K_37 //
   śabdārthobhayaśaktyutthastridhā sa kathito dhvaniḥ /	Sabda-arTa-uBaya-Sakti-utTaH-triDA sa kaTitaH DvaniH /
   alaṅkāro 'tha vastveva śabdādyatrāvabhāsate // MKpr-K_38 //	alaFkAraH aTa vastu-eva SabdAt-yatra-avaBAsate // MKpr-K_38 //
   pradhānatvena sa jñeyaḥ śabdaśaktyudbhavo dvidhā /	praDAna-tvena sa jQeyaH Sabda-Sakti-udBavaH dviDA /
   arthaśaktyudbhavo 'pyartho vyañjakaḥ saṃbhavī svataḥ // MKpr-K_39 //	arTa-Sakti-udBavaH api-arTaH vyaQjakaH saMBavI svatas // MKpr-K_39 //
   prauḍhoktimātrātsiddho vā kavestenombhitasya vā /	prOXA-ukti-mAtrAt-sidDaH vA kaveH-tena-umBitasya vA /
   vastu vālaṅkṛtirvety ṣaḍbhedo 'sau vyanakti yat // MKpr-K_40 //	vastu vA-alaFkRtiH-vA-iti zaxBedaH asO vyanakti yat // MKpr-K_40 //
   vastvalaṅkāramathavā tenāyaṃ dvādaśātmakaḥ /	vastu-alaFkAram-aTavA tena-ayam dvAdaSa-AtmakaH /
   śabdārthobhayabhūreko bhedā aṣṭādaśāsya tat // MKpr-K_41 //	Sabda-arTa-uBaya-BUH-ekaH BedAH azwAdaSa-asya tat // MKpr-K_41 //
   rasādīnāmanantatvādbheda eko hi gaṇyate /	rasa-AdInAm-ananta-tvAt-BedaH ekaH hi gaNyate /
   vākye dvyutthaḥ pade 'pyanye prabandhe 'pyarthaśaktibhūḥ // MKpr-K_42 //	vAkye dvi-utTaH pade api-anye prabanDe api-arTa-Sakti-BUH // MKpr-K_42 //
   padaikadeśaracanāvarṇeṣvapi rasādayaḥ /	pada-eka-deSa-racanA-varNezu-api rasa-AdayaH /
   bhedāstadekapañcāśatteṣāṃ cānyonyayojane // MKpr-K_43 //	BedAH-tat-ekapaQcASat-tezAm ca-anyonya-yojane // MKpr-K_43 //
   saṃkareṇa trirūpeṇa saṃsṛṣṭyā caikarūpayā /	saMkareNa trirUpeNa saMsRzwyA ca-eka-rUpayA /
   vedakhābdhiviyaccandrāḥ śareṣuyugakhendavaḥ // MKpr-K_44 //	veda-KAbDi-viyat-candrAH Sara-izu-yuga-KendavaH // MKpr-K_44 //
   agūḍhamaparasyāṅgaṃ vācyasiddhyaṅgamsphuṭam /	agUXam-aparasya-aFgam vAcya-sidDi-aFgam-sPuwam /
   sandigdhatulyaprādhānye kākvākṣiptamasundaram // MKpr-K_45 //	sandigDa-tulya-prADAnye kAku-Akziptam-asundaram // MKpr-K_45 //
   vyaṅgyamevaṃ guṇībhūtavyaṅgyasyāṣṭau bhidāḥ smṛtāḥ /	vyaFgyam-evam guNIBUta-vyaFgyasya-azwO BidAH smRtAH /
   eṣāṃ bhedā yathāyogaṃ veditavyāśca pūrvavat // MKpr-K_46 //	ezAm BedAH yaTAyogam veditavyAH-ca pUrvavat // MKpr-K_46 //
   sālaṅkārairdhvanestaiśca yogaḥ sasṛṣṭisaṅkaraiḥ /	sa-alaFkArEH-DvaneH-tEH-ca yogaH sa-sRzwi-saFkarEH /
   anyonyayogādevaṃ syādbhedasaṃkhyātibhūyasī // MKpr-K_47 //	anyonya-yogAt-evam syAt-Beda-saMKyA-ati-BUyasI // MKpr-K_47 //
   śabdārthacitraṃ yatpūrvaṃ kāvyadvayamudāhṛtam /	Sabda-arTa-citram yat-pUrvam kAvya-dvayam-udAhRtam /
   guṇaprādhānyatastatra sthitiścitrārthaśabdayoḥ // MKpr-K_48 //	guNa-prADAnyataH-tatra sTitiH-citra-arTa-SabdayoH // MKpr-K_48 //
   mukhyārthahatirdoṣo rasaśca mukhyastadāśrayādvācyaḥ /	muKya-arTa-hatiH-dozaH rasaH-ca muKyaH-tad-ASrayAt-vAcyaH /
   ubhayopayoginaḥ syuḥ śabdādyāstena teṣvapi saḥ // MKpr-K_49 //	uBaya-upayoginaH syuH Sabda-AdyAH-tena tezu-api saH // MKpr-K_49 //
   duṣṭaṃ padaṃ śrutikaṭu cyutasaṃskṛtyaprayuktamasamartham /	duzwam padam Sruti-kawu cyuta-saMskRtya-prayuktam-asamarTam /
   nihatārthamanucitārthaṃ nirarthakamavācakaṃ tridhāślīlam // MKpr-K_50 //	nihata-arTam-anucita-arTam nirarTakam-avAcakam triDA-SlIlam // MKpr-K_50 //
   sandigdhamaprat=itaṃ grāmyaṃ neyārthamatha bhavet kliṣṭam /	sandigDam-aprat=itam grAmyam neyArTam-aTa Bavet klizwam /
   avimṛṣṭavidheyāṃśaṃ viruddhamatikṛtsamāsagatameva // MKpr-K_51 //	avimRzwa-viDeya-aMSam virudDam-ati-kRt-samAsa-gatam-eva // MKpr-K_51 //
   apāsya cyutasaṃskāramasamarthaṃ nirarthakam /	apAsya cyuta-saMskAram-asamarTam nirarTakam /
   vākye 'pi doṣāḥ santyete padasyāṃśe 'pi kecana // MKpr-K_52 //	vAkye api dozAH santi-ete padasya-aMSe api kecana // MKpr-K_52 //
   pratikūlavarṇamupahataluptavisargaṃ visandhi hatavṛttam /	pratikUla-varNam-upahata-lupta-visargam visanDi hata-vRttam /
   nyūnādhikakathitapadaṃ patatprakarṣaṃ samāptapunarāttam // MKpr-K_53 //	nyUna-aDika-kaTita-padam patat-prakarzam samApta-punarAttam // MKpr-K_53 //
   ardhāntaraikavācakamabhavanmatayogamanabhihitavācyam /	arDa-antara-eka-vAcakam-aBavat-mata-yogam-anaBihita-vAcyam /
   apadasthapadasamāsaṃ saṃkīrṇaṃ garbhitaṃ prasiddhihatam // MKpr-K_54 //	apadasTa-pada-samAsam saMkIrNam garBitam prasidDi-hatam // MKpr-K_54 //
   bhagnaprakramamakramamamataparārthaṃ ca vākyameva tathā /	Bagna-prakrama-makramama-mata-para-arTam ca vAkyam-eva taTA /
   arthopuṣṭaḥ kaṣṭo vyāhatapunarektaduṣkramagrāmyāḥ // MKpr-K_55 //	arTopuzwaH kazwaH vyAhata-punarekta-duzkrama-grAmyAH // MKpr-K_55 //
   saṃdigdho nirhetuḥ prasiddhividyāviruddhaśca /	saMdigDaH nirhetuH prasidDi-vidyA-virudDaH-ca /
   anavīkṛtaḥ saniyamāniyamaviśeṣā viśeṣaparivṛttāḥ // MKpr-K_56 //	anavIkRtaH sa-niyama-aniyama-viSezAH viSeza-parivRttAH // MKpr-K_56 //
   sākāṅkṣopadayuktaḥ sahacarabhinnaḥ prakāśitaviruddhaḥ /	sa-AkAFkza-upada-yuktaH sahacara-BinnaH prakASita-virudDaH /
   vidhyanuvādāyuktatyaktapunaḥsvīkṛtoślīlaḥ // MKpr-K_57 //	viDi-anuvAda-Ayukta-tyakta-punar-svIkRta-uSlIlaH // MKpr-K_57 //
   karṇāvataṃsādipade karṇādidhvaninirmitiḥ /	karNa-avataMsa-Adi-pade karNa-Adi-Dvani-nirmitiH /
   saṃnidhānādibodhārthaṃ sthiteṣvetatsamarthanam // MKpr-K_58 //	saMniDAna-Adi-boDa-arTam sTitezu-etat-samarTanam // MKpr-K_58 //
   khyāte 'rthe nirhetoraduṣṭatānukraṇe tu sarveṣām /	KyAte arTe nirhetoH-aduzwa-tA-anukraNe tu sarvezAm /
   vaktrādyaucityavaśāddoṣo 'pi guṇaḥ kvacitkvacinnobhau // MKpr-K_59 //	vaktra-Adi-Ocitya-vaSAt-dozaH api guNaH kvacid-kvacit-noBO // MKpr-K_59 //
   vyabhicārirasasthāyibhāvānāṃ śabdavācyatā /	vyaBicAri-rasa-sTAyi-BAvAnAm Sabda-vAcya-tA /
   kaṣṭakalpanayā vyaktiranubhāvavibhāvayoḥ // MKpr-K_60 //	kazwa-kalpanayA vyaktiH-anuBAva-viBAvayoH // MKpr-K_60 //
   pratikūlavibhāvādigraho dīptiḥ punaḥ punaḥ /	pratikUla-viBAva-Adi-grahaH dIptiH punar punar /
   akāṇḍe prathanacchedāvaṅgasyāpyativistṛtiḥ // MKpr-K_61 //	akANxe praTana=-CedO=-aFgasya-api-ati-vistRtiH // MKpr-K_61 //
   aṅginonanusaṃdhānaṃ prakṛtīnāṃ viparyayaḥ /	aFginaH-nanusaMDAnam prakRtInAm viparyayaH /
   anaṅgasyābhidhānaṃ ca rase doṣāḥ syurīdṛśāḥ // MKpr-K_62 //	anaFgasya-aBiDAnam ca rase dozAH syuH-IdRSAH // MKpr-K_62 //
   na doṣaḥ svapadenoktāvapi saṃcāriṇaḥ kvacid /	na dozaH sva-padena-uktO=-api saMcAriNaH kvacid /
   saṃcāryāderviruddhasya bādhyasyoktirguṇāvahā // MKpr-K_63 //	saMcArya-AdeH-virudDasya bADyasya-uktiH-guNa-AvahAH // MKpr-K_63 //
   āśrayaikye viruddho yaḥ sa kāryo bhinnasaṃśrayaḥ /	ASraya-Ekye virudDaH yaH sa kAryaH Binna-saMSrayaH /
   rasāntareṇāntarito nairantaryeṇa yo rasaḥ // MKpr-K_64 //	rasa-antareNa-antaritaH nErantaryeNa yaH rasaH // MKpr-K_64 //
   smaryamāṇo viruddho 'pi sāmyenātha vivakṣitaḥ /	smaryamANaH virudDaH api sAmyena-aTa vivakzitaH /
   aṅginyaṅgatvamāptau yau tau na duṣṭau parasparam // MKpr-K_65 //	aFgini-aFga-tvam-AptO yO tO na duzwO parasparam // MKpr-K_65 //
   ye rasasyāṅgino dharmāḥ śauryādaya ivātmanaḥ /	ye rasasya-aFginaH DarmAH SOrya-AdayaH iva-AtmanaH /
   utkarṣahetavaste syuracalasthitayo guṇāḥ // MKpr-K_66 //	utkarza-hetavaH-te syuH-acala-sTitayaH guNAH // MKpr-K_66 //
   upakurvanti taṃ santaṃ yeṅgadvāreṇa jātucit /	upakurvanti tam santam yA-iFga-dvAreNa jAtucit /
   hārādivadalaṅkārāstenaprāsopamādayaḥ // MKpr-K_67 //	hAra-Adi-vat-alaFkArAstena-prAsa-upama-AdayaH // MKpr-K_67 //
   mādhuryaujaḥprasādākhyāstrayaste na punardaśa /	mADurya-ojaH-prasAda-AKyAH-trayaH-te na punar-daSa /
   āhlādakatvaṃ mādhuryaṃ śṛṅgāre drutikāraṇam // MKpr-K_68 //	AhlAdaka-tvam mADuryam SRFgAre druti-kAraNam // MKpr-K_68 //
   karuṇe vipralambhe tacchānte cātiśayānvitam /	karuNe vipralamBe tat-SAnte ca-atiSaya-anvitam /
   dīptyātmavistṛterheturojo vīrarasasthiti // MKpr-K_69 //	dIpti-Atma-vistRteH-hetuH-ojaH vIra-rasa-sTiti // MKpr-K_69 //
   bībhatsaraudrarasayostasyādhikyaṃ krameṇa ca /	bIBatsa-rOdra-rasayoH-tasya-ADikyam krameNa ca /
   śuṣkendhanāgnivat svacchajalavatsahasaiva yaḥ // MKpr-K_70 //	Suzka-inDana-agni-vat svacCa-jala-vat-sahasA-eva yaH // MKpr-K_70 //
   vyāpnotyanyat prasādo 'sau sarvatra vihitasthitiḥ /	vyApnoti-anyat prasAdaH asO sarvatra vihita-sTitiH /
   guṇavṛttyā punasteṣāṃ vṛttiḥ śabdārthayormatā // MKpr-K_71 //	guNa-vRttyA punar-tezAm vRttiH Sabda-arTayoH-matA // MKpr-K_71 //
   kecidantarbhavabtyeṣu doṣatyāgātpare śritāḥ /	kecid-antar-Bavabtyezu doza-tyAgAt-pare SritAH /
   anye bhajanti doṣatvaṃ kutracinna tato daśa // MKpr-K_72 //	anye Bajanti doza-tvam kutracid-na tatas daSa // MKpr-K_72 //
   tena nārthaguṇā vācyāḥ proktāḥ śabdaguṇāśca ye /	tena na-arTa-guNAH vAcyAH proktAH Sabda-guNAH-ca ye /
   varṇāḥ samāso racanā teṣāṃ vyañjakatāmitāḥ // MKpr-K_73 //	varNAH samAsaH racanA tezAm vyaQjaka-tAmitAH // MKpr-K_73 //
   murdhni vargāntyagāḥ sparśā aṭavargā raṇau laghū /	murDni varga-antya-gAH sparSAH awavargAH raNO laGU /
   āvṛttirmadhyavṛttirvā mādhurye ghaṭanā tathā // MKpr-K_74 //	AvRttiH-maDya-vRttiH-vA mADurye GawanA taTA // MKpr-K_74 //
   yoga ādyatṛtīyāmyāmantyayo reṇa tulyayoḥ /	yogaH Adya-tRtIyAmyAm-antyayaH reNa tulyayoH /
   ṭādiḥ śaṣau vṛttidairghyaṃ gumpha uddhṛta ojasi // MKpr-K_75 //	wAdiH SazO vRtti-dErGyam gumPaH udDRtaH ojasi // MKpr-K_75 //
   śrutimātreṇa śabdāttu yenārthapratyayo bhavet /	Sruti-mAtreNa SabdAt-tu yena-arTa-pratyayaH Bavet /
   sādhāraṇaḥ samagrāṇāṃ sa prasādo guṇo mataḥ // MKpr-K_76 //	sADAraNaH samagrANAm sa prasAdaH guNaH mataH // MKpr-K_76 //
   vaktṛvācyaprabandhānāmaucityena kvacitkvacit /	vaktR-vAcya-prabanDAnAm-Ocityena kvacid-kvacid /
   racanāvṛttivarṇānāmanyathātvamapīṣyate // MKpr-K_77 //	racanA-vRtti-varNAnAm-anyaTAtvam-api-izyate // MKpr-K_77 //
   yaduktamanyathā vākyamanyathānyena yojyate /	yat-uktam-anyaTA vAkyam-anyaTA-anyena yojyate /
   śleṣeṇa kākvā vā jñeyā sā vaktroktistathā dvidhā // MKpr-K_78 //	SlezeNa kA-akvA vA jQeyA sA vaktra-uktiH-taTA dviDA // MKpr-K_78 //
   varṇasāmyamanuprāsaś chekavṛttigato dvidhā /	varNa-sAmyam-anuprAsaH Ceka-vRtti-gataH dviDA /
   so 'nekasya sakṛtpūrva ekasyāpyasakṛtparaḥ // MKpr-K_79 //	saH anekasya sakRt-pUrvaH ekasya-api-asakRt-paraH // MKpr-K_79 //
   mādhuryavyñjakairvarṇairupanāgarikocyate /	mADurya-vyQjakEH-varNEH-upanAgarikA-ucyate /
   ojaḥprakāśakaistaistu paruṣā komalā paraiḥ // MKpr-K_80 //	ojaH-prakASakEH-tEH-tu paruzA komalA parEH // MKpr-K_80 //
   keṣāñcidetā vaidarbhīpramukhā rītayo matāḥ /	kezAQcid-etAH vEdarBI-pramuKAH rItayaH matAH /
   śābdastu lāṭānuprāso bhede tātparyamātrataḥ // MKpr-K_81 //	SAbdaH-tu lAwa-anuprAsaH Bede tAtparya-mAtrataH // MKpr-K_81 //
   padānāṃ saḥ padasyāpi vṛttāvanyatra tatra vā /	padAnAm saH padasya-api vRttO=-anyatra tatra vA /
   nāmnaḥ sa vṛttyavṛttyośca tadevaṃ pañcadhā mataḥ // MKpr-K_82 //	nAmnaH sa vRtti-avRttyoH-ca tat-evam paQcaDA mataH // MKpr-K_82 //
   arthe satyarthabhinnānāṃ varṇānāṃ sā punaḥ śrutiḥ /	arTe satyarTa-BinnAnAm varNAnAm sA punar SrutiH /
   yamakaṃ pādatadbhāgavṛtti tadyātyanekatām // MKpr-K_83 //	yamakam pAda-tad-BAga-vRtti tat-yAti-aneka-tAm // MKpr-K_83 //
   vācyabhedena bhinnā tad yugapadbhāṣaṇaspṛśaḥ /	vAcya-Bedena BinnA tat yugapad-BAzaNa-spRSaH /
   śliṣyanti śabdāḥ śleṣosāvakṣarādibhiraṣṭadhā // MKpr-K_84 //	Slizyanti SabdAH Sleza-usO=-akzara-AdiBiH-azwaDA // MKpr-K_84 //
   bhedābhāvātprakṛtyāderbhedo 'pi navamo bhavet /	Beda-aBAvAt-prakRti-AdeH-BedaH api navamaH Bavet /
   taccitraṃ yatra varṇānāṃ khaḍgādyākṛtihetutā // MKpr-K_85 //	tat-citram yatra varNAnAm Kaxga-Adi-AkRti-hetu-tAH // MKpr-K_85 //
   punarektavadābhāso vibhinnākāraśabdagā /	punar-ekta-vat-ABAsaH viBinna-AkAra-Sabda-gA /
