   Mahāsāhasrapramardanī	MahAsAhasra-pramardanI
   bhavati śūrāṇāṃ vīrāṇāṃ varāṅgarūpiṇāṃ mahānagnabalavegadhārināṃ	Bavati SUrANAm vIrANAm vara-aFga-rUpiNAm mahA-nagna-bala-vega-DArinAm
   parasainyapramardakānāṃ saptaratnasamanvāgatānām / tad yuṣmākam	para-sEnya-pramardakAnAm sapta-ratna-samanvAgatAnAm / tat yuzmAkam
   alpotsukavihāreṇa viharatām evaṃrūpāṇām asmin loke notpattir bhaviṣyati //	alpa-utsuka-vihAreNa viharatAm evaMrUpANAm asmin loke na-utpattiH Bavizyati //
   atha vaiśramaṇo mahārājo 'bhyudgamyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā	aTa vESramaNaH mahA-rAjaH aByudgamya-AsanAt eka-aMsam uttarAsaFgam kRtvA
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ	dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim
   kṛtvā bhagavantam eva namasyamāno bhagavantam etad avocat // santi	kRtvA Bagavantam eva namasyamAnaH Bagavantam etat avocat // santi
   bhadanta bhagavann asmākam udārāṇi gṛhasthānabhavanāni	Badanta Bagavan asmAkam udArANi gRhasTAna-BavanAni
   nagarodyānavimānakūṭāgāraharmyaniryūhatoraṇagavākṣaśubharucitavividhavicitrapaṭṭadāmaghaṇṭācāmaramuktājālaparikṣiptāni	nagara-udyAna-vimAna-kUwa-AgAra-harmya-niryUha-toraNa-gavAkza-SuBa-rucita-viviDa-vicitra-pawwa-dAma-GaNwA-cAmara-muktA-jAla-parikziptAni
   (Mps_4) dhūpaghaṭikāni dhūpitāni puṣpāvakīrṇāni yeṣu vayaṃ	(MpH-_4) DUpa-GawikAni DUpitAni puzpa-avakIrNAni yezu vayam
   nārīśatasahasraparivṛtāḥ saṃpūrṇaiḥ pañcabhiḥ kāmaguṇaiḥ samarpitāḥ	nArI-Sata-sahasra-parivRtAH saMpUrNEH paQcaBiH kAma-guNEH samarpitAH
   samanvaṅgībhūtā viharāmaḥ / teṣām asmākaṃ bhadanta bhagavan pramattānāṃ	samanvaFgIBUtAH viharAmaH / tezAm asmAkam Badanta Bagavan pramattAnAm
   pramādavihāravihāriṇāṃ viharatāṃ pariṣadaḥ samantād daśadiśo	pramAda-vihAra-vihAriNAm viharatAm parizadaH samantAt daSa-diSo
   'nnapānabhojanāni mārgayanti / prapalāyamānāḥ strīpuruṣadārakadārikāṇāṃ	anna-pAna-BojanAni mArgayanti / prapalAyamAnAH strI-puruza-dAraka-dArikANAm
   tiryagjātagarbhānāṃ tiryagyonigatānām api ca prāṇinām ojo haranti	tiryak-jAta-garBAnAm tiryagyoni-gatAnAm api ca prANinAm ojaH haranti
   viheṭhayanti vighnayanti mārayanti / jīvitād vyaparopayanti / te vayaṃ	viheWayanti viGnayanti mArayanti / jIvitAt vyaparopayanti / te vayam
   bhadanta bhagavato 'ntike caturvarṇāṃ pariṣadāṃ purataḥ svakasvakānāṃ	Badanta BagavataH antike catur-varNAm parizadAm puratas sva-ka-svakAnAm
   pariṣadāṃ rūpalakṣaṇaṃ darśayiṣyāmaḥ / yasya pariṣado yo graho bhaviṣyati	parizadAm rUpa-lakzaNam darSayizyAmaH / yasya parizadaH yaH grahaH Bavizyati
   / tatas tasya mahārājasyodāracaityapratimā kartavyā / āturasya ca hastena	/ tatas tasya mahA-rAjasya-udAra-cEtya-pratimA kartavyA / Aturasya ca hastena
   tasya mahārājasya nāmnā nānāgandhadhūpā dhūpayitavyāḥ / puṣpāvakīrṇāṃ	tasya mahA-rAjasya nAmnA nAnA-ganDa-DUpAH DUpayitavyAH / puzpa-avakIrNAm
   dhāraṇīṃ kṛtvā dīpāṃś cādīpya tatra caitye pūjā kartavyā / madīyāyāḥ	DAraNIm kRtvA dIpAn ca-AdIpya tatra cEtye pUjA kartavyA / madIyAyAH
   pariṣado bhadanta bhagavan yakṣagrahagṛhītasya īdṛśaṃ rūpalakṣaṇam /	parizadaH Badanta Bagavan yakza-graha-gRhItasya IdRSam rUpa-lakzaNam /
   hasati trasate 'bhīkṣṇaṃ pralapaṃś ca vikūpyati /	hasati trasate aBIkzNam pralapan ca vikUpyati /
   nidrā cāviśate tasya śūlo vāpy upajāyate //	nidrA ca-AviSate tasya SUlaH vA-api upajAyate //
   ūrdhvaṃ saṃprekṣate nityaṃ nakṣatrāṇy anudhāvati /	UrDvam saMprekzate nityam nakzatrANi anuDAvati /
   rātrau praharṣam āyāti vepate stanate sadā //	rAtrO praharzam AyAti vepate stanate sadA //
   tatra mantrapadāny asti lokanātha śṛṇohi me //	tatra mantra-padAni asti lokanATa SRNohi me //
   syād yathedam //	syAt yaTA-idam //
   siddhe / susiddhe / satve are / araṇe / bale / mahābale / jambhe stambhe	sidDe / su-sidDe / satve are / araNe / bale / mahA-bale / jamBe stamBe
   jaṭile / akhane / makhame / khakhane / kharaṭṭe / kharaṅge / haripiṅgale	jawile / aKane / maKame / Ka-Kane / Karawwe / KaraFge / hari-piFgale
   timiṅgile svāhā //	timiFgile svAhA //
   sidhyantu me mantrapadāḥ svasty astu mama sarvasatvānāṃ ca vaiśramaṇasya	siDyantu me mantra-padAH svasti astu mama sarva-satvAnAm ca vESramaNasya
   mahārājasya nāmnā balenaiśvaryādhipatyena ca svāhā //	mahA-rAjasya nAmnA balena-ESvarya-ADipatyena ca svAhA //
   atha dhṛtarāṣṭro mahārājo 'bhyudgamyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā	aTa DRtarAzwraH mahA-rAjaH aByudgamya-AsanAt eka-aMsam uttarAsaFgam kRtvA
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ	dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim
   kṛtvā bhagavantam eva namasyamāno bhagavantam (Mps_5) etad avocat / asmat	kRtvA Bagavantam eva namasyamAnaH Bagavantam (MpH-_5) etat avocat / asmat-
   pariṣado bhadanta bhagavan gandharvagrahagṛhītasya īdṛśaṃ rūpalakṣaṇam /	parizadaH Badanta Bagavan ganDarva-graha-gRhItasya IdRSam rUpa-lakzaNam /
   nṛtyate gāyate cāpi bhūṣaṇāni priyāyate /	nRtyate gAyate ca-api BUzaNAni priyAyate /
   alubdhaḥ satyavādi ca hasate kupyate punaḥ //	alubDaH satya-vAdi ca hasate kupyate punar //
   tṛṣṇāyate raktanetro jvaro 'syāviśate sadā /	tRzNAyate rakta-netraH jvaraH asya-AviSate sadA /
   unmiṣati na cakṣuś ca śayate ca parāṅmukhaḥ //	unmizati na cakzuH ca Sayate ca parAFmuKaH //
   tatra mantrapadāny asti lokanātha śṛṇohi me //	tatra mantra-padAni asti lokanATa SRNohi me //
   syād yathedam /	syAt yaTA-idam /
   akhe / nakhe / vinakhe / bandhe / varāṇe / capale / vakhe / vakhane /	aKe / naKe / vinaKe / banDe / varANe / capale / vaKe / vaKane /
   vakhiṇe / akhine / nakhine / vahale / bhage / bhagandare / vaśe	vaKiNe / aKine / naKine / vahale / Bage / Bagandare / vaSe
   vaśavartini / svāhā //	vaSa-vartini / svAhA //
   mucyantu sarvasatvāḥ sarvagrahebhyo dhṛtarāṣṭrasya mahārājasya nāmnā	mucyantu sarva-satvAH sarva-graheByaH DRtarAzwrasya mahA-rAjasya nAmnA
   balenaiśvaryādhipatyena ca svāhā //	balena-ESvarya-ADipatyena ca svAhA //
   atha virūḍhako mahārājo 'bhyudgamyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā	aTa virUXakaH mahA-rAjaH aByudgamya-AsanAt eka-aMsam uttarAsaFgam kRtvA
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ	dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim
   kṛtvā bhagavantam eva namasyamāno bhagavantam etad avocat / asmat pariṣado	kRtvA Bagavantam eva namasyamAnaH Bagavantam etat avocat / asmat parizadaH-
   bhadanta bhagavan kumbhāṇḍagrahagṛhītasya īdṛśaṃ rūpalakṣaṇam /	Badanta Bagavan kumBANxa-graha-gRhItasya IdRSam rUpa-lakzaNam /
   balavatī tṛṣā bhonti vibhrāntaś cāpi prekṣate /	balavatI tRzA Bonti viBrAntaH ca-api prekzate /
   mukhaṃ lohitam ābhāti bhūmau svapiti kuñcitaḥ //	muKam lohitam ABAti BUmO svapiti kuQcitaH //
   durvarṇaḥ kṛśagātraś ca dīrghakeśanakhas tathā /	durvarNaH kRSa-gAtraH ca dIrGa-keSa-naKaH taTA /
   durgandho malinaś cāpi mṛśā sambhinnā bhāṣante //	durganDaH malinaH ca-api mRSA samBinnAH BAzante //
   tatra mantrapadāny asti lokanātha śṛṇohi me //	tatra mantra-padAni asti lokanATa SRNohi me //
   syād yathedam /	syAt yaTA-idam /
   khakhakhame / khalane / khalane / khalome / kharalikhe / kharakhe /	Ka-Ka-Kame / Kalane / Kalane / Kalome / Kara-liKe / KaraKe /
   khaṭine / kharali / karakhi / kaśane / karaṭe / kāle kāmini / vidhali /	Kawine / Karali / karaKi / kaSane / karawe / kAle kAmini / viDali /
   vidhiye / vidheye / śayane / samavate / śami śamini svāhā //	viDiye / viDeye / Sayane / samavate / Sami Samini svAhA //
   śāmyantu mama sarvasatvānāṃ ca sarvagrahāḥ sarvabhayopadravā virūḍhakasya	SAmyantu mama sarva-satvAnAm ca sarva-grahAH sarva-Baya-upadravAH virUXakasya
   mahārājasya nāmnā balenaiśvaryādhipatyena ca svāhā //	mahA-rAjasya nAmnA balena-ESvarya-ADipatyena ca svAhA //
   (Msp 6)	(Msp 6)
   atha virūpākṣo mahārājo 'bhyudgamyāsanād ekāṃsam uttarāsaṅgaṃ kṛtvā	aTa virUpAkzaH mahA-rAjaH aByudgamya-AsanAt eka-aMsam uttarAsaFgam kRtvA
   dakṣiṇaṃ jānumaṇḍalaṃ pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃs tenāñjaliṃ	dakziNam jAnu-maNxalam pRTivyAm pratizWApya yena BagavAn tena-aQjalim
   kṛtvā bhagavantam eva namasyamāno bhagavantam etad avocat / asmat pariṣado	kRtvA Bagavantam eva namasyamAnaH Bagavantam etat avocat / asmat parizadaH-
   bhadanta bhagavan nāgasuparṇīgrahagṛhītasya īdṛśaṃ rūpalakṣaṇam /	Badanta Bagavat nAga-suparNI-graha-gRhItasya IdRSam rUpa-lakzaNam /
   hikkate śvasate cāpi śītalaṃ gātram eva ca /	hikkate Svasate ca-api SItalam gAtram eva ca /
   svidyate phenalālāsya svapate ca punaḥ punaḥ //	svidyate Pena-lAlA-asya svapate ca punar punar //
   varṇavān bhavate śūro vepate dhāvate tathā /	varNavAn Bavate SUraH vepate DAvate taTA /
   punar nakhān vidarśayati mahīṃ viśati roditi //	punar naKAn vidarSayati mahIm viSati roditi //
   tatra mantrapadāny asti lokanātha śṛṇohi me //	tatra mantra-padAni asti lokanATa SRNohi me //
   syād yathedam /	syAt yaTA-idam /
   kragame / krakamaṇi / krakase / krakaśase / kruśume / krukeke / krukhume	kragame / krakamaNi / krakase / krakaSase / kruSume / krukeke / kruKume
   krume / agale / nagale / samaṅgale / kuhume / hume / aluke / kalamake /	krume / agale / nagale / sa-maFgale / kuhume / hume / aluke / kalamake /
   kalale / ire mire / dhire dhire agaruvati svāhā //	kalale / ire mire / Dire Dire agaruvati svAhA //
   svasty astu mama sarvasatvānāṃ ca virūpākṣasya mahārājasya nāmnā	svasti astu mama sarva-satvAnAm ca virUpAkzasya mahA-rAjasya nAmnA
   balenaiśvaryādhipatyena ca svāhā //	balena-ESvarya-ADipatyena ca svAhA //
   atha bhagavāṃs tāvad eva sarvāvatyāḥ pariṣadaḥ purataḥ siṃhanādaṃ nadati /	aTa BagavAn tAvat eva sarvAvatyAH parizadaH puratas siMhanAdam nadati /
   daśabalasamanvāgato 'haṃ caturvaiśāradyaviśāradaḥ pariṣady udāram ārṣabhaṃ	daSa-bala-samanvAgataH aham catur-vESAradya-viSAradaH parizadi udAram ArzaBam
   samyaksiṃhanādaṃ nadāmi / brahmacakraṃ pravartayāmi / māro nirjita ekena	samyak-siMhanAdam nadAmi / brahma-cakram pravartayAmi / mAraH nirjitaH ekena
   sasainyabalavāhanaḥ / rakṣāyai sarvasatvānāṃ sarve vidyāṃ śṛṇātha me //	sa-sEnya-bala-vAhanaH / rakzAyE sarva-satvAnAm sarve vidyAm SRNATa me //
   syād yathedam /	syAt yaTA-idam /
   asaṅge / khaṅgavate / balavate / balanirghoṣe / śūre śūravate / vajraṃgame	asaFge / KaFgavate / balavate / bala-nirGoze / SUre SUravate / vajraMgame
   / vajradhare / stambhe jambhe / dṛḍhasāre / viraje / vighase /	/ vajraDare / stamBe jamBe / dRXasAre / viraje / viGase /
   varāgraprāpte / araṇe dharmayukte diśi vighuṣṭe svāhā //	vara-agra-prApte / araNe Darma-yukte diSi viGuzwe svAhA //
   svasty astu mama sarvasatvānāṃ ca tathāgatasya nāmnā	svasti astu mama sarva-satvAnAm ca taTAgatasya nAmnA
   balenaiśvaryādhipatyena ca svāhā //	balena-ESvarya-ADipatyena ca svAhA //
   buddhasya vacanaṃ śrutvā lokapālāś caturdiśam /	budDasya vacanam SrutvA lokapAlAH caturdiSam /
   uttrastā bhītasaṃvighnā asthāsuḥ prāñjalīkṛtāḥ //	uttrastAH BIta-saMviGnAH asTAsuH prAQjalIkRtAH //
   (Msp 7)	(Msp 7)
   śiṣṭā bhūtagaṇās trastā vikṣiptā viralīkṛtāḥ /	SizwAH BUta-gaNAH trastAH vikziptAH viralIkRtAH /
   palāyante daśadiśo mahānādam udīrayan //	palAyante daSa-diSaH mahA-nAdam udIrayan //
   tad viditvā mahārājās triguptiṃ samudāharat /	tat viditvA mahA-rAjAH tri-guptim samudAharat /
   aho vidyā mahāvidyā mahāsāhasrapramardanī //	aho vidyA mahAvidyA mahA-sAhasra-pramardanI //
   yasyāṃ trasanti bhūtāni śrutvā buddhasya bhāṣitam /	yasyAm trasanti BUtAni SrutvA budDasya BAzitam /
   yathā prajvalito vahniraśmir vātair apāyitaḥ //	yaTA prajvalitaH vahni-H-aSmiH vAtEH apAyitaH //
   kṣuradhārāsamā vidyā gautamena prakāśitā /	kzura-DArA-samA vidyA gOtamena prakASitA /
   yo hy etan nābhimanyeta ṛṣivākyaṃ subhāṣitam //	yaH hi etat na-aBimanyeta Rzi-vAkyam su-BAzitam //
   tasyātra brahmaśāpena jyeṣṭhaputro na bheṣyati /	tasya-atra brahma-SApena jyezWa-putraH na Bezyati /
   agniṃ prajvālayitvā tu gṛhītvāsitasarṣapān //	agnim prajvAlayitvA tu gRhItvA-asita-sarzapAn //
   ghṛtamaṇḍena saṃyuktāḥ prakṣeptavyāhutāśane /	GRta-maNxena saMyuktAH prakzepta-vyAhuta-aSane /
   heṣṭham ūrdhvaṃ caturdikṣu kṣiptvā ca varuṇodakam //	hezWam UrDvam catur-dikzu kziptvA ca varuNa-udakam //
   yadi kṣipraṃ na muñceyuḥ śrutvā buddhasya bhāṣitam /	yadi kzipram na muQceyuH SrutvA budDasya BAzitam /
   bhavantu jvalitāḥ sarve yathāgnau ghṛtasarṣapāḥ //	Bavantu jvalitAH sarve yaTA-agnO GRta-sarzapAH //
   kṣemaṃ ca tena lapsyanti yakṣadaṇḍena tarjitāḥ /	kzemam ca tena lapsyanti yakza-daNxena tarjitAH /
   teṣāṃ dakṣiṇapārśveṣu mahāgaṇḍo bhaviṣyati //	tezAm dakziNa-pArSvezu mahA-gaNxaH Bavizyati //
   citrabhūtā bhaviṣyanti yakṣarogena pīḍitāḥ /	citra-BUtAH Bavizyanti yakza-rogena pIxitAH /
   aḍakavatīṃ rājadhānīṃ na gacchanti kadā cana //	axakavatIm rAjaDAnIm na gacCanti kadA canaH //
   niveśanaṃ na paśyanti kuberasya yaśasvinaḥ /	niveSanam na paSyanti kuberasya yaSasvinaH /
   āsanaṃ ca na lapsyanti bhūtasaṃghāḥ samāgame //	Asanam ca na lapsyanti BUta-saMGAH samAgame //
