   akarod bhayajid rājā NCit_1.39c	akarot Baya-jit rAjA NCit-_1.39c
   aṣṭādaśa prabāhośca NCit_3.88e	azwAdaSa prabAhoH-ca NCit-_3.88e
   aṣṭādaśāṅgulā śroṇī NCit_3.49c	azwAdaSa-aFgulA SroNI NCit-_3.49c
   aṣṭāṣṭaguṇavṛddhyā vai NCit_3.4c	azwa-azwaguNa-vRdDyA vE NCit-_3.4c
   aṣṭottaraśataṃ jñeyaṃ NCit_3.9c	azwottaraSatam jQeyam NCit-_3.9c
   asaṃkhyānāṃ ca vāṇānāṃ NCit_1.39a	asaMKyAnAm ca vANAnAm NCit-_1.39a
   astu puṇyaṃ samāśritam NCit_2.12b	astu puNyam samASritam NCit-_2.12b
   astraṃ vavarṣa dharmarāṭ NCit_1.40d	astram vavarza DarmarAj NCit-_1.40d
   asthi cādarśanaṃ gatam NCit_3.68d	asTi ca-adarSanam gatam NCit-_3.68d
   asmai prītyā ca dhīmate NCit_1.29d	asmE prItyA ca DImate NCit-_1.29d
   asya brāhmaṇaputrasya NCit_1.76a	asya brAhmaNa-putrasya NCit-_1.76a
   ahaṅkānarayuta bhūtaṃ NCit_1.62c	ahaFkAnara-yuta BUtam NCit-_1.62c
   ākarādaṣṭacatvāriśat NCit_3.91c	AkarAt-azwacatvAriSat NCit-_3.91c
   ākarṣaṇe sutaṃ tasya NCit_1.25c	AkarzaNe sutam tasya NCit-_1.25c
   ākāreṇedṛśenaiva NCit_1.106a	AkAreNa-IdRSena-eva NCit-_1.106a
   ākuñcitamṛdusnigdha NCit_3.128a	AkuQcita-mRdu-snigDaH NCit-_3.128a
   ākṛtīrlakṣaṇānvitāḥ NCit_1.104b	AkRtIH-lakzaNa-anvitAH NCit-_1.104b
   āgaccha mama dāsa hi NCit_1.26b	AgacCa mama dAsa hi NCit-_1.26b
   āgamadāhavād drutam NCit_1.43d	Agama-dAhavAt drutam NCit-_1.43d
   āgrahasyātiśayyaṃ ca NCit_1.37a	Agrahasya-atiSayyam ca NCit-_1.37a
   āghātaṃ visṛjet sadā NCit_1.66b	AGAtam visRjet sadA NCit-_1.66b
   ācaṣṭe bhūpatiṃ tathā NCit_2.1b	Acazwe BUpatim taTA NCit-_2.1b
   ājagāma svayaṃ tatra NCit_1.47c	AjagAma svayam tatra NCit-_1.47c
   ātithyaṃ vidhivat kṛtvā NCit_1.98c	AtiTyam viDivat kRtvA NCit-_1.98c
   ātmahaste gṛhītavān NCit_1.45d	Atma-haste gRhItavAn NCit-_1.45d
   ādau candramasaṃ vande NCit_1.4a	AdO candramasam vande NCit-_1.4a
   ādau saṃlikhitatvācca NCit_1.91a	AdO saMliKita-tvAt-ca NCit-_1.91a
   ādyutpannañca doṣeṇa NCit_2.23a	Adi-utpannaQca dozeNa NCit-_2.23a
   āpnoti nindukaḥ sadā NCit_1.61d	Apnoti nindukaH sadA NCit-_1.61d
   ābhādṛśyā bhaved dhruvam NCit_3.134d	ABAdRSyA Bavet Druvam NCit-_3.134d
   āyamo dvādaśāṅguliḥ NCit_3.12d	AyamaH dvAdaSa-aFguliH NCit-_3.12d
   āyāmaśca tathārohaḥ NCit_3.80a	AyAmaH-ca taTA-ArohaH NCit-_3.80a
   āyāmaśca tathaivāsya NCit_3.13c	AyAmaH-ca taTA-eva-asya NCit-_3.13c
   āyāmaścaturaṅgulaḥ NCit_3.56d	AyAmaH-caturaFgulaH NCit-_3.56d
   āyāmaśca yathāyathaṃ NCit_3.132c	AyAmaH-ca yaTAyaTam NCit-_3.132c
   āyāmaścaikakāṅguliḥ NCit_3.22b	AyAmaH-ca-ekaka-aFguliH NCit-_3.22b
   āyāmastryaṅgula proktaḥ NCit_3.60c	AyAmaH-trI-aFgula proktaH NCit-_3.60c
   āyāmaḥ saptakāṅguliḥ NCit_3.102d	AyAmaH saptaka-aFguliH NCit-_3.102d
   āyāmaḥ svāṅgulidvayam NCit_3.34b	AyAmaH sva-aFguli-dvayam NCit-_3.34b
   āyāmārohamānaṃ ca NCit_3.139c	AyAma-Aroha-mAnam ca NCit-_3.139c
   āyāmārohaḥ kīrttitaḥ NCit_3.94d	AyAma-ArohaH kIrttitaH NCit-_3.94d
   āyāme cāṅgulīnāṃ hī NCit_3.97c	AyAme ca-aFgulInAm hI NCit-_3.97c
   āyāme tryaṅgulistathā NCit_3.38b	AyAme tri-aFguliH-taTA NCit-_3.38b
   āyāme dvyaṅgulaṃ meḍhraṃ NCit_3.53a	AyAme dvi-aFgulam meXram NCit-_3.53a
   āyāme na tathārohe NCit_3.57b	AyAme na taTA-Arohe NCit-_3.57b
   āyāmena prakāśitaḥ NCit_3.7b	AyAmena prakASitaH NCit-_3.7b
   āyāme yavayugmakāḥ NCit_3.106d	AyAme yava-yugmakAH NCit-_3.106d
   āyāmo jaṅghayoḥ kāryaḥ NCit_3.55a	AyAmaH jaFGayoH kAryaH NCit-_3.55a
   āyāmo dvādaśāṅgulaḥ NCit_3.14b	AyAmaH dvAdaSa-aFgulaH NCit-_3.14b
   āyāmo bāhubhāgasya NCit_3.89c	AyAmaH bAhu-BAgasya NCit-_3.89c
   āyāmo mukhagāgasya NCit_3.42a	AyAmaH muKa-gAgasya NCit-_3.42a
   āyāmo mukhabhāgasya NCit_3.12a	AyAmaH muKa-BAgasya NCit-_3.12a
   āyāmo 'ṣṭayavaḥ kārya NCit_3.77e	AyAmaH azwayavaH kAryaH NCit-_3.77e
   āyuṣā sahitasyaiva NCit_2.4c	AyuzA sahitasya-eva NCit-_2.4c
   ārohaśca tathāyāmaḥ NCit_3.163c	ArohaH-ca taTA-AyAmaH NCit-_3.163c
   ārohaścaturaṃgulam NCit_3.13a	ArohaH-catur-aMgulam NCit-_3.13a
   ārohastasya madhyasya NCit_3.97a	ArohaH-tasya maDyasya NCit-_3.97a
   ārohastu yavā nava NCit_3.77f	ArohaH-tu yavAH nava NCit-_3.77f
   ārohaḥ ṣaḍyavastasya NCit_3.35c	ArohaH zaz-yavaH-tasya NCit-_3.35c
   ārohaḥ syāttu meṭrasya NCit_3.49a	ArohaH syAt-tu mewrasya NCit-_3.49a
   ārohāthāmamānaṃ tu NCit_3.160e	Aroha-aTAma-mAnam tu NCit-_3.160e
   ārohāyāmapīnatve NCit_3.145a	ArohAya-Ama-pIna-tve NCit-_3.145a
   ārohāyāmamānaṃ tu NCit_3.87a	Aroha-AyAma-mAnam tu NCit-_3.87a
   ārohāyāmayoḥ rājan NCit_3.148a	Aroha-AyAmayoH rAjan NCit-_3.148a
   ārohāyāmayoḥ sarvaṃ NCit_3.103a	Aroha-AyAmayoH sarvam NCit-_3.103a
   ārohāyāmaśobhitaḥ NCit_3.98b	Aroha-Aya-Ama-SoBitaH NCit-_3.98b
   ārohe kathitā budhaiḥ NCit_3.49d	Arohe kaTitAH buDEH NCit-_3.49d
   ārohe caturaṅguliḥ NCit_3.65f	Arohe catur-aFguliH NCit-_3.65f
   āroheṇa ṣaḍaṅguliḥ NCit_3.56f	AroheNa zaz-aFguliH NCit-_3.56f
   ārohe triyavā jñeyā NCit_3.106c	Arohe tri-yavAH jQeyA NCit-_3.106c
   ārohe tryaṅgulā matāḥ NCit_3.66d	Arohe tri-aFgulAH matAH NCit-_3.66d
   āroho nāpriyo yāyāt NCit_3.162e	ArohaH na-apriyaH yAyAt NCit-_3.162e
   āroho bhujayoryastu NCit_3.91a	ArohaH BujayoH-yaH-tu NCit-_3.91a
   āroho vadanasyātra NCit_3.12e	ArohaH vadanasya-atra NCit-_3.12e
   ālocyātra pradarśinam NCit_3.160f	Alocya-atra pradarSinam NCit-_3.160f
   āvirbhūtena brahmaṇā NCit_1.54a	AvirBUtena brahmaNA NCit-_1.54a
   iti mānaṃ nigadyate NCit_3.6d	iti mAnam nigadyate NCit-_3.6d
   itthamukte suvuddhimān NCit_1.54b	itTam-ukte su-vudDimAn NCit-_1.54b
   itthaṃ caraṇamānaṃ syān NCit_3.72e	itTam caraNa-mAnam syAt NCit-_3.72e
   itthaṃ pūjābhavad viśva- NCit_2.18e	itTam pUjA-Bavat viSva NCit-_2.18e
   itthaṃ mādhuryamaṇḍitaḥ NCit_3.127d	itTam mADurya-maNxitaH NCit-_3.127d
   indranīlasabhāḥ kṛṣṇā NCit_3.111c	indranIla-saBAH kRzNA NCit-_3.111c
   ime devāḥ prasannāśca NCit_2.11a	ime devAH prasannAH-ca NCit-_2.11a
   īdṛśairlakṣaṇairyuktaṃ NCit_3.44a	IdRSEH-lakzaNEH-yuktam NCit-_3.44a
   īṣadromau manoharau NCit_3.130c	Izat-romO manoharO NCit-_3.130c
   ucchrāyaparimāṇakam NCit_3.10b	ucCrAya-parimANakam NCit-_3.10b
   ucchrāyaścakravartināṃ NCit_3.9a	ucCrAyaH-cakravartinAm NCit-_3.9a
   ucchrāyaśca tathāyāmo NCit_3.8a	ucCrAyaH-ca taTA-AyAmaH NCit-_3.8a
   ucchrāyaśca tathāyāmo NCit_3.26a	ucCrAyaH-ca taTA-AyAmaH NCit-_3.26a
   ucchrāyaśca tathaivāsya NCit_3.34e	ucCrAyaH-ca taTA-eva-asya NCit-_3.34e
   ucchrāye caturaṅgulau NCit_3.53f	ucCrAye catur-aFgulO NCit-_3.53f
   ucchrāyeṇa tu pārṣṇīnāṃ NCit_3.60a	ucCrAyeNa tu pArzNInAm NCit-_3.60a
   ucchrāye dvyaṅgulirhanur NCit_3.38a	ucCrAye dvi-aFguliH-hanuH NCit-_3.38a
   ucchrāyo navarat strīṇā NCit_3.161a	ucCrAyaH navarat strINA NCit-_3.161a
   ucyate citralakṣaṇam NCit_1.3d	ucyate citra-lakzaNam NCit-_1.3d
   ucyate citralakṣaṇaṃ NCit_1.8c	ucyate citra-lakzaNam NCit-_1.8c
   utkṣiptakaṇṭhamānaṃ hi NCit_3.38e	utkzipta-kaNWa-mAnam hi NCit-_3.38e
   utkṣiptaṃ pṛthivīpatiḥ NCit_1.45b	utkziptam pRTivIpatiH NCit-_1.45b
   uttamapuruṣādīnāṃ NCit_3.156e	uttama-puruza-AdInAm NCit-_3.156e
   uttamamadhyamādhama- NCit_3.163a	uttama-maDyama-aDama NCit-_3.163a
   uttamaḥ puruṣo jñeyaḥ NCit_3.120c	uttamaH puruzaH jQeyaH NCit-_3.120c
   uttamādhamamadhyama- NCit_3.160c	uttama-aDama-maDyama NCit-_3.160c
   uttamāpratirodhyā ca NCit_1.16c	uttama-apratiroDyA ca NCit-_1.16c
   utpaladalavannetraṃ NCit_3.29a	utpala-dala-vat-netram NCit-_3.29a
   utpaladalasannibham NCit_3.27d	utpala-dala-sanniBam NCit-_3.27d
   utpalapatranetrasya NCit_3.24a	utpala-patra-netrasya NCit-_3.24a
   utpalābhaḥ sadā rakto NCit_3.86a	utpalABaH sadA raktaH NCit-_3.86a
   utpādanīyametaddhi NCit_1.87c	utpAdanIyam-etat-hi NCit-_1.87c
   utsāhamatiyuktebhyaḥ NCit_1.108f	utsAham-ati-yukteByaH NCit-_1.108f
   udarasya tathāntarā NCit_3.48b	udarasya taTA-antarA NCit-_3.48b
   uditaṃ tatra dṛṣṭavān NCit_1.26d	uditam tatra dRzwavAn NCit-_1.26d
   udyato 'bhūt sadaivāsau NCit_1.84c	udyataH aBUt sadA-eva-asO NCit-_1.84c
   unnataṃ ca bhaved dhruvam NCit_3.85d	unnatam ca Bavet Druvam NCit-_3.85d
   unnataḥ karaśobhakaḥ NCit_3.86d	unnataH kara-SoBakaH NCit-_3.86d
   unnataḥ pṛṣṭhabhāga syāt NCit_3.40c	unnataH pRzWa-BAga syAt NCit-_3.40c
   unnatau kramikau smṛtau NCit_3.19b	unnatO kramikO smRtO NCit-_3.19b
   upadiśatu kārtsnyena NCit_1.100c	upadiSatu kArtsnyena NCit-_1.100c
   upadiśatu me prabho NCit_1.99d	upadiSatu me praBo NCit-_1.99d
   upadiṣṭāśca tā mayā NCit_1.89d	upadizwAH-ca tAH mayA NCit-_1.89d
   upadiṣṭo dvijapriyaḥ NCit_1.68b	upadizwaH dvija-priyaH NCit-_1.68b
   upadeśamanusṛtya NCit_1.97a	upadeSam-anusRtya NCit-_1.97a
   upayukteṣu sarveṣu NCit_3.144a	upayuktezu sarvezu NCit-_3.144a
   ubhayostu tathā bāhvīr NCit_3.88a	uBayoH-tu taTA bAhvIH NCit-_3.88a
   urddhabhāge tvadhībhāge NCit_3.12c	urdDa-BAge tu-aDI-BAge NCit-_3.12c
   urdhve tu viṃśatirmatā NCit_3.98d	urDve tu viMSatiH-matA NCit-_3.98d
   uṣṇīṣasya bhaved dhruvaṃ NCit_3.13b	uzNIzasya Bavet Druvam NCit-_3.13b
   ūrvorgulphayoścaiva NCit_3.55c	UrvoH-gulPayoH-ca-eva NCit-_3.55c
   ṛddhiguṇasamāyuktaṃ NCit_1.13c	RdDi-guNa-samAyuktam NCit-_1.13c
   ekaṃ vālāgramucyate NCit_3.5b	ekam vAlAgram-ucyate NCit-_3.5b
   ekāgramanasā tattu NCit_1.102a	ekAgra-manasA tat-tu NCit-_1.102a
   ekāṅgulistathā madhyaḥ NCit_3.20a	eka-aFguliH-taTA maDyaH NCit-_3.20a
   ekāṅgulistathā rājñā NCit_3.161c	eka-aFguliH-taTA rAjQA NCit-_3.161c
   ekāṅgulo bhaved dhruvam NCit_3.15f	eka-aFgulaH Bavet Druvam NCit-_3.15f
   ekaikāṅgulito nyūnāḥ NCit_3.67a	ekEka-aFgulitaH nyUnAH NCit-_3.67a
   etaddvijasutākṛtim NCit_1.53b	etat-dvija-suta-AkRtim NCit-_1.53b
   etādṛśasya bhūpateḥ NCit_1.18d	etAdRSasya BUpateH NCit-_1.18d
   eteṣāṃ devadehastu NCit_3.117a	etezAm deva-dehaH-tu NCit-_3.117a
   evamuktaḥ punarbhūpaḥ NCit_1.35a	evam-uktaH punar-BUpaH NCit-_1.35a
   evamukte narendreṇa NCit_1.101a	evam-ukte narendreNa NCit-_1.101a
   evambhūte sthite rāṣṭre NCit_1.14a	evamBUte sTite rAzwre NCit-_1.14a
   evaṃ kṛte sati brahmā- NCit_2.5c	evam kRte sati brahmA NCit-_2.5c
   evaṃ cintayatastasya NCit_2.6a	evam cintayataH-tasya NCit-_2.6a
   evaṃ vavatviti prāhur NCit_2.18a	evam vavatu-iti prAhuH NCit-_2.18a
   eśaḥ spaṣṭaśca raktimaḥ NCit_3.109d	eSaH spazwaH-ca raktimaH NCit-_3.109d
   airāvatasamānau hi NCit_3.134a	ErAvata-samAnO hi NCit-_3.134a
   airāvatasya vṛṃhatī NCit_3.110a	ErAvatasya vRMhatI NCit-_3.110a
   omityekākṣaraṃ tasmād NCit_2.3c	om-iti-eka-akzaram tasmAt NCit-_2.3c
   oṣṭha ekāṅguliḥ smṛtaḥ NCit_3.35d	ozWaH eka-aFguliH smRtaH NCit-_3.35d
   oṣṭhāntau vimbavad raktau NCit_3.37a	ozWa-antO vimba-vat raktO NCit-_3.37a
   kaṭideśastathā nābher NCit_3.52e	kawi-deSaH-taTA nABeH NCit-_3.52e
   kaṭideśasya śobhanam NCit_3.52d	kawi-deSasya SoBanam NCit-_3.52d
   kaṭirāvartitā bhavet NCit_3.133b	kawiH-AvartitA Bavet NCit-_3.133b
   kaṇṭhastribalibhiryuktaḥ NCit_3.40a	kaNWaH-tri-baliBiH-yuktaH NCit-_3.40a
   kaṇṭhasya tu samucchāyaś NCit_3.38c	kaNWasya tu samucCAyaH NCit-_3.38c
   kathayāmāsa tau tadā NCit_1.49f	kaTayAmAsa tO tadA NCit-_1.49f
   kathaṃ janāśca jānīyuḥ NCit_2.6c	kaTam janAH-ca jAnIyuH NCit-_2.6c
   kathaṃ rodiṣi bho vipra NCit_1.19c	kaTam rodizi Bo vipra NCit-_1.19c
   kathito nṛpatistadā NCit_1.20b	kaTitaH nRpatiH-tadA NCit-_1.20b
   kadācinna parāṅguleḥ NCit_3.9d	kadAcid-na para-aFguleH NCit-_3.9d
   kaniṣṭikāttayārohaḥ NCit_3.65a	kanizwikAt-tayA-ArohaH NCit-_3.65a
   kaniṣṭhikāpyadīrghā syāt NCit_3.75c	kanizWikA-api-adIrGA syAt NCit-_3.75c
   kaniṣṭhikāsamucchrāya- NCit_3.67c	kanizWikA-samucCrAya NCit-_3.67c
   kamaladalakoṣasya NCit_3.120a	kamala-dala-kozasya NCit-_3.120a
   karaṇīyaḥ sadā nṛpaiḥ NCit_1.65b	karaNIyaH sadA nRpEH NCit-_1.65b
   karaṇīyo mayā kṣitau NCit_1.72b	karaNIyaH mayA kzitO NCit-_1.72b
   karatalasuśobhanam NCit_3.82b	kara-tala-su-SoBanam NCit-_3.82b
   karasyaivaṃ vidhānataḥ NCit_3.82d	karasya-evam viDAnataH NCit-_3.82d
   karṇadeśasya cāyamo NCit_3.15a	karNa-deSasya ca-ayamaH NCit-_3.15a
   karṇayorākṛtiḥ samā NCit_3.130b	karNayoH-AkRtiH samA NCit-_3.130b
   karṇayorluṭike tasya NCit_3.131a	karNayoH-luwike tasya NCit-_3.131a
   karṇarandhrasamānakaḥ NCit_3.16d	karNa-ranDra-samAnakaH NCit-_3.16d
   karṇasya luṭikāmānaṃ NCit_3.17a	karNasya luwikA-mAnam NCit-_3.17a
   karṇārandhrasya cāroha NCit_3.15e	karNa-aranDrasya ca-Aroha NCit-_3.15e
   karttavyaḥ kambuvat sadā NCit_3.40b	karttavyaH kambu-vat sadA NCit-_3.40b
   karmānusāriṇī bhūmir NCit_1.34c	karma-anusAriNI BUmiH NCit-_1.34c
   kalāḥ sarvāḥ samāśritāḥ NCit_1.93f	kalAH sarvAH samASritAH NCit-_1.93f
   kaśo 'ṣṭāṅgulakaṃ mānaṃ NCit_3.39c	kaSaH azwa-aFgulakam mAnam NCit-_3.39c
   kasyāpyākarṣaṇe tyāge NCit_1.31c	kasya-api-AkarzaNe tyAge NCit-_1.31c
   kāmināṃ ca tathā strīṇāṃ NCit_3.27a	kAminAm ca taTA strINAm NCit-_3.27a
   kāyamāna vicārataḥ NCit_3.47b	kAyamAna vicArataH NCit-_3.47b
   kārpāsasparśakomalaṃ NCit_3.84c	kArpAsa-sparSa-komalam NCit-_3.84c
   kāryo bhinno vīcakṣaṇaiḥ NCit_3.149d	kAryaH BinnaH vIcakzaNEH NCit-_3.149d
   kālasya na tu karmaṇaḥ NCit_1.50d	kAlasya na tu karmaNaH NCit-_1.50d
   kālāgnisadṛśaṃ dṛṣṭvā NCit_1.45a	kAlAgni-sadRSam dRzwvA NCit-_1.45a
   kālena mahatākṛṣṭo NCit_1.33c	kAlena mahatA-AkRzwaH NCit-_1.33c
   kiṃ bhavet parimāṇena NCit_3.151c	kim Bavet parimANena NCit-_3.151c
   kīdṛśaṃ vā bhavettathā NCit_1.100b	kIdRSam vA Bavet-taTA NCit-_1.100b
   kukṣipṛṣṭe suśobhite NCit_3.141a	kukzi-pRzwe su-SoBite NCit-_3.141a
   kutaḥ krodhāḥ kuto malāḥ NCit_1.11d	kutas kroDAH kutas malAH NCit-_1.11d
   kutrāpi na sukhaṃ bhavet NCit_1.67b	kutra-api na suKam Bavet NCit-_1.67b
   kuryāt karatalaṃ śubham NCit_3.84f	kuryAt kara-talam SuBam NCit-_3.84f
   'kuśala iha bhāvini NCit_1.71d	akuSalaH iha BAvini NCit-_1.71d
   kuśalaṃ cākuśalaṃ vā NCit_1.34a	kuSalam ca-akuSalam vA NCit-_1.34a
   kūrmapṛṣṭasamākārau NCit_3.64a	kUrma-pRzwa-sama-AkArO NCit-_3.64a
   kūrmavat māṃsalau tathā NCit_3.136b	kUrma-vat mAMsalO taTA NCit-_3.136b
   kṛtavantastathā ime NCit_2.11d	kRtavantaH-taTA ime NCit-_2.11d
   kṛtavān supriyaṃ tathā NCit_1.68d	kRtavAn supriyam taTA NCit-_1.68d
   kṛpayā brūhi me brahman NCit_1.86a	kRpayA brUhi me brahman NCit-_1.86a
   kena mānena śobhanāḥ NCit_1.105a	kena mAnena SoBanAH NCit-_1.105a
   keśacūṛā manoharāḥ NCit_3.113d	keSacURAH manoharAH NCit-_3.113d
   keśariṇaḥ saṭāprabhāḥ NCit_3.113b	keSariNaH sawA-praBAH NCit-_3.113b
   keśā na syurmahātmanām NCit_3.114d	keSAH na syuH-mahAtmanAm NCit-_3.114d
   keśānāṃ parimaṇḍalair NCit_3.115c	keSAnAm parimaNxalEH NCit-_3.115c
   keśānāṃ prāntabhāgāttu NCit_3.96a	keSAnAm prAnta-BAgAt-tu NCit-_3.96a
   kokilābhāḥ śiroruhāḥ NCit_3.112b	kokila-ABAH SiroruhAH NCit-_3.112b
   komalaśca sulakṣaṇaḥ NCit_3.109b	komalaH-ca su-lakzaNaH NCit-_3.109b
