   Tathāgatabimbakārāpaṇasūtra	TaTAgata-bimba-kAra-ApaNa-sUtra
   vā | dārumayī vā | suvarṇamayī vā | kaṃsamayī vā | tra...mayī vā |	vA | dAru-mayI vA | suvarNa-mayI vA | kaMsa-mayI vA | tra...mayI vA |
   rupyamayī (Tbks 3v3) vā sphaṭikamayī vā | maṇiratnakamayī vā | rītamayī vā	rupya-mayI (TbkH 3v3) vA sPawika-mayI vA | maNi-ratnaka-mayI vA | rIta-mayI vA
   | buddhapratimā karaṇīyakā vā | dīrghakā vā | hrasvakāṃ (Tbks 3v4) vā |	| budDa-pratimA karaNIyakAH vA | dIrGakAH vA | hrasvakAm (TbkH 3v4) vA |
   sadhātukaṃ vā | sapratītyasamutpādaṃ vā |	sa-DAtukam vA | sa-pratItyasamutpAdam vA |
        buddhapratimā kārayitvā | sthāpayitvā gandhodakapuṣpodakādibhiḥ (Tbks	budDa-pratimA kArayitvA | sTApayitvA ganDa-udaka-puzpa-udaka-AdiBiH (Tbj-s
   3v5) pūjāviśeṣai| snāpayitvā pūjayitvā yasya kasyacid bhikṣavaḥ	3v5) pUjA-viSezE| snApayitvA pUjayitvA yasya kasyacid BikzavaH
   kulaputrasya vā kuladuhitur vā buddhapratimāpuṇyaphalaniṣyanda : (Tbks	kula-putrasya vA kula-duhituH vA budDa-pratimA-puNya-Pala-nizyanda : (Tbj-s
   3v6) puṇyaskandhaḥ puṇyarāśi aprameya asādharaṇa: anantyupama:	3v6) puNya-skanDaH puNya-rASi aprameya asADaraNa: ananti-upama:
   puṇyaskandheti	puNya-skanDA-iti
        punar aparaṃ bhikṣava: (Tbks 3v7) yaḥ kaścid bhikṣur vā bhikṣuṇī vā	punar aparam Bikzava: (TbkH 3v7) yaH kaScid BikzuH vA BikzuNI vA
   upāsako vā upāsikā vā | kṣatriyo vā brāhmaṇo vā | vaiśyo vā | śūdro vā	upAsakaH vA upAsikAH vA | kzatriyaH vA brAhmaNaH vA | vESyaH vA | SUdraH vA
   evaṃrūpāsu (Tbks 4r1) jātiṣu | śrutidharo bhavati | jātismaro bhavati |	evaMrUpAsu (TbkH 4r1) jAtizu | Sruti-DaraH Bavati | jAtismaraH Bavati |
   svajanaparijanadāsīdāsakarmakarapauruṣeyaprabhṛtiṣu sa ādeyavādyo bhavati	sva-jana-parijana-dAsI-dAsa-karmakara-pOruzeya-praBRtizu saH Adeya-vAdyaH Bavati
   | (Tbks 4r2) sarvasatvapriyadarśanadharo bhavati | sarvaguṇalakṣaṇadharo	| (TbkH 4r2) sarva-satva-priya-darSana-DaraH Bavati | sarva-guNa-lakzaNa-DaraH-
   bhavati sarvasatvādhipatir bhavati |	Bavati sarva-satva-aDipatiH Bavati |
   sarvabuddhapratyekabuddhaśrāvakārhadguṇasamāgato (Tbks 4r3) bhavati |	sarva-budDa-pratyekabudDa-SrAvaka-arhat-guNa-samAgataH (TbkH 4r3) Bavati |
   nityaṃ bodhicittaparāyaṇo bhavati | yasya yatrābhikāṃkṣati | tatra tatra	nityam boDi-citta-parAyaNaH Bavati | yasya yatra-aBikAMkzati | tatra tatra
   etaṃ labhati | rāgadveṣamoherṣyāmātsaryalobhatṛṣṇādikleśādibhi| (Tbks 4r4)	etam laBati | rAga-dveza-moha-IrzyA-mAtsarya-loBa-tRzNA-Adi-kleSa-AdiBi| (TbkH 4r4)
   vivarjito bhavati | buddhatvam anvantaram adhigacchati | kṣipraṃ ca	vivarjitaH Bavati | budDa-tvam anvantaram aDigacCati | kzipram ca
   parinirvāṇaṃ śāntam adhigacchatīti vadāmi bhikṣavaḥ (Tbks 4r5)	parinirvANam SAntam aDigacCati-iti vadAmi BikzavaH (TbkH 4r5)
        tat kasmād dhetor anantaphalasamudayaprabhāva |	tat kasmAt DetoH ananta-Pala-samudaya-praBAva |
   buddhapratimāpuṇyaphalasamudayaprabhāvam* buddhapratimāpuṇyaphalavipāka	budDa-pratimA-puNya-Pala-samudaya-praBAvam* budDa-pratimA-puNya-Pala-vipAka
   (Tbks 4r6)	(TbkH 4r6)
        parinirvṛto 'pi adhigato nāpi buddho bhagavāṃ parinirvṛta iva	parinirvRtaH api aDigataH na-api budDaH BagavAm parinirvRtaH iva
   buddhapratimāyā darśanād iti vadāmi bhikṣava idam avocad bhagavāṃ (Tbks	budDa-pratimAyAH darSanAt iti vadAmi BikzavaH idam avocat BagavAm (Tbj-s
   4r7) tathāparaṃ gāthāṃ bhāṣate |	4r7) taTA-aparam gATAm BAzate |
        kṛtvā purā kāśyapabiṃbam agryaṃ gandhodakai snāpitavāṃ dvijendraḥ |	kRtvA purA kASyapa-biMbam agryam ganDa-udakEH snApitavAm dvijendraH |
   (Tbks 4v1)     puṣpai sugandhais sumanojñagandhai tenaiva puṇyena bhavād	(TbkH 4v1)     puzpE suganDEH su-manojQa-ganDE tena-eva puNyena BavAt-
   vimuktaḥ 1	vimuktaH 1
        yaṃ nirmalaḥ kleśamalair vimukta cittasya citteśvaratāgatiṃ syaḥ	yam nirmalaH kleSa-malEH vimukta cittasya citteSvara-tA-gatim syaH
        rūpaṃ na tṛptāś ca nirīkṣya matvā tadbiṃba saṃsnāpayato jinasya 2	rUpam na tRptAH ca nirIkzya matvA tat-biMba saMsnApayataH jinasya 2
   (Tbks 4v2)	(TbkH 4v2)
        vicitrabhogā vividhaprakārā candrārkasaumyādhikatejaśobhā |	vicitra-BogA viviDa-prakArA candra-arka-sOmya-aDika-teja-SoBA |
        labhanti nāryaḥ puruṣāś ca loke tadbiṃba saṃsnāpayato jinasya 3 (Tbks	laBanti nAryaH puruzAH ca loke tat-biMba saMsnApayataH jinasya 3 (Tbj-s
   4v3)	4v3)
        kleśāndhakārādivimuktacittā mohāndhakārādivipūrṇacandra |	kleSa-anDakAra-Adi-vimukta-cittAH moha-anDakAra-Adi-vipUrNa-candra |
        śāntaṃ padaṃ yānti narā striyo vā tadbiṃba saṃsnāpayato jinasya 4	SAntam padam yAnti narAH striyaH vA tat-biMba saMsnApayataH jinasya 4
   (Tbks 4v4)	(TbkH 4v4)
        tyaktvā kaḍevaram ihaiva narā striyo vā	tyaktvA kaxevaram iha-eva narAH striyaH vA
        svarge prayāti bahukalpaśatai sunirvṛt*	svarge prayAti bahu-kalpa-SatEH su-nirvRt*
        te prāpnuvanty anupamaṃ sukham apsarebhi (Tbks 4v5)	te prApnuvanti anupamam suKam apsareBi (TbkH 4v5)
        viśvasya tat phalam udāram uvāca buddhaḥ 5	viSvasya tat Palam udAram uvAca budDaH 5
        śrīkāntidivyasalilo guṇarūpaśobhā	SrI-kAnti-divya-salilaH guNa-rUpa-SoBA
        saubhāgyabhāgye varasaukhyapaṭutvavākya | (Tbks 4v6)	sOBAgya-BAgye vara-sOKya-pawu-tva-vAkya | (TbkH 4v6)
        ādityacandrakiraṇā iva saumyatejā	Aditya-candra-kiraNAH iva sOmya-tejAH-
        - buddhabiṃbakaraṇā labhate manuṣyaḥ 6	 budDa-biMba-karaNAH laBate manuzyaH 6
        yāvantaḥ paramāṇavo bhagavata stūpeṣu biṃbasya vā | (Tbks 4v7)	yAvantaH paramANavaH Bagavata stUpezu biMbasya vA | (TbkH 4v7)
        tat kartum* divi bhūtale ca niyataṃ tāvanti rājyāni te |	tat kartum* divi BU-tale ca niyatam tAvanti rAjyAni te |
        buddhānāṃ khalu dhātave bhagavatā śarīrā ni ca nirmitā | (Tbks 5r1)	budDAnAm Kalu DAtave BagavatA SarIrAH ni ca nirmitAH | (TbkH 5r1)
        ekaikādbhutapuṇyarāśijanitair ekaikasūkṣmāṇubhi | 7	ekEka-adButa-puNya-rASi-janitEH ekEka-sUkzma-aNuBi | 7
        trailokyayaśasya biṃbaṃ daśabalabalinā dikṣu vikhyātakīrte |	trElokya-yaSasya biMbam daSa-bala-balinA dikzu viKyAta-kIrte |
        ye martyāḥ kārayitvā pramuditamanasā pūjayante yathāvat (Tbks 5r2)	ye martyAH kArayitvA pramudita-manasA pUjayante yaTAvat (TbkH 5r2)
        svarge saktye ca rūpaṃ nayanaratikaraṃ śuddhacāmīkarābham*	svarge saktye ca rUpam nayana-rati-karam SudDa-cAmIkara-ABam*
        te labdhāś śāntikāmā sukham idam atulaṃ prāpnuvanty āvajuṣṭaṃ || 8	te labDAH SAnti-kAmA suKam idam atulam prApnuvanti Avajuzwam || 8
   (Tbks 5r3)	(TbkH 5r3)
        ity evādiprakārāṃ suvarṇaprabhavasuyuktāṃ dharmadeśanāṃ śrutvā	iti eva-Adi-prakArAm suvarNa-praBava-su-yuktAm Darma-deSanAm SrutvA
   paṃcaśatasahasra (Tbks 5r4) antaḥpurastrīkāntaparivārai suvarṇaprabho	paMca-Sata-sahasra (TbkH 5r4) antaHpura-strI-kAnta-parivArEH suvarNa-praBo
   rājakumāra buddhapratimāpuṇyaphalarājaśrīsamudayasaṃmudasaukhyaṃ (Tbks	rAja-kumAra budDa-pratimA-puNya-Pala-rAja-SrI-samudaya-saMmuda-sOKyam (Tbj-s
   5r5) sarvaṃ gārhasthyam apahāya tathaiva śāsane pravrajita	5r5) sarvam gArhasTyam apahAya taTA-eva SAsane pravrajita
        yoniśa sa manaskāraṃ kṛtvā sarvakleśaprahāṇā arhatvaṃ strīparivārās	yoniSa sa manaskAram kRtvA sarva-kleSa-prahANAH arhatvam strI-parivArAH-
   (Tbks 5r6) samaloṣṭakāṃcana samacittāḥ kṛtaṃ karaṇīyā apahṛtabhārāḥ	(TbkH 5r6) sama-lozwa-kAMcana sama-cittAH kRtam karaNIyAH apahRta-BArAH
   parikṣīṇabhavasaṃyojana vimuktās saṃsārabandhanās (Tbks 5r7)	parikzINa-Bava-saMyojana vimuktAH saMsAra-banDanAH (TbkH 5r7)
   sarvadevanamaskṛtacaraṇayugalā suprabuddhā	sarva-deva-namaskRta-caraNa-yugalA suprabudDA
        buddhapratimāpuṇyaphalasamudayavibhūtimahātvaprakāśanam idaṃ sūtram*	budDa-pratimA-puNya-Pala-samudaya-viBUti-mahA-tva-prakASanam idam sUtram*
   (Tbks 5v1)	(TbkH 5v1)
        idam avocad bhagavān āttamanasas te bhikṣavo bhagavato bhāṣitam	idam avocat BagavAn Atta-manasaH te BikzavaH BagavataH BAzitam
   abhyanandam* bhikṣavaś caturdiśasaṃkhyārhatvaṃ babhūvu |	aByanandam* BikzavaH caturdiSa-saMKyA-arha-tvam baBUvu |
        buddhapratimāpuṇyaphalaprakāśitam idaṃ sūtraṃ samāptam* || ||	budDa-pratimA-puNya-Pala-prakASitam idam sUtram samAptam* || ||
        tathāgatabiṃbakārāpaṇaṃ sūtraṃ samāptam* || ||	taTAgata-biMba-kAra-ApaNam sUtram samAptam* || ||
