   śrīḥ	SrIH
   ekatrārthe 'nyadhī-hetur vyañjanā sābhidhāśrayā // VisSd_2.14 //	ekatra-arTe anya-DI-hetuH vyaQjanA sa-aBiDa-ASrayAH // VisSd-_2.14 //
   lakṣaṇopāsyate yasya kṛte tat tu prayojanam /	lakzaNa-upAsyate yasya kRte tat tu prayojanam /
   yayā pratyākhyāyate sā syād vyañjanā lakṣaṇāśrayā // VisSd_2.15 //	yayA pratyAKyAyate sA syAt vyaQjanAH lakzaNa-ASrayAH // VisSd-_2.15 //
   vaktṛ-bodhavya-vākyānām anya-sannidhi-vācyayoḥ /	vaktR-boDa-vya--vAkyAnAm anya--sanniDi-vAcyayoH /
   prastāva-deśa-kālānāṃ kākoś ceṣṭādikasya ca // VisSd_2.16 //	prastAva--deSa--kAlAnAm kAkoH cezwA-Adikasya ca // VisSd-_2.16 //
   vaiśiṣṭyād anyam arthaṃ yā bodhayet sārtha-saṃbhavā /	vESizwyAt anyam arTam yA boDayet sArTa--saMBavAH /
   traividhyād iyam arthānāṃ pratyekaṃ trividhā matā // VisSd_2.17 //	trEviDyAt iyam arTAnAm pratyekam triviDA matA // VisSd-_2.17 //
   śabda-bodhyo vyanakty arthaḥ śabdo 'py arthāntarāśrayaḥ /	Sabda-boDyaH vyanakti arTaH SabdaH api arTa-antara-ASrayaH /
   ekasya vyañjakatve tad anyasya sahakāritā // VisSd_2.18 //	ekasya vyaQjaka-tve tat anyasya saha-kAritAH // VisSd-_2.18 //
   abhidhādi-trayopādhi-vaiśiṣṭyāt trividho mataḥ /	aBiDAdi--traya-upADi--vESizwyAt triviDaH mataH /
   śabdo 'pi vācakas tadval lakṣako vyañjakas tathā // VisSd_2.19 //	SabdaH api vAcakaH tadvat lakzakaH vyaQjakaH taTA // VisSd-_2.19 //
   tātparyākhyāṃ vṛttim āhuḥ padārthānvaya-bodhane /	tAtparyAKyAm vRttim AhuH padArTa-anvaya--boDane /
   tātparyārthaṃ tad-arthaṃ ca vākyaṃ tad-bodhakaṃ pare // VisSd_2.20 //	tAtparya-arTam tat--arTam ca vAkyam tat--boDakam pare // VisSd-_2.20 //
   iti sāhitya-darpaṇe vākya-svarūpa-nirūpaṇo nāma	iti sAhitya-darpaNe vAkya-svarUpa-nirUpaNaH nAma
   dvitīyaḥ paricchedaḥ	dvitIyaH paricCedaH
   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
   vibhāvenānubhāvena vyaktaḥ saṃcāriṇā tathā /	viBAvena-anuBAvena vyaktaH saMcAriNA taTA /
   rasatām eti ratyādiḥ sthāyī bhāvaḥ sa-cetasām // VisSd_3.1 //	rasa-tAm eti rati-AdiH sTAyI BAvaH sa-cetasAm // VisSd-_3.1 //
   sattvodrekād akhaṇḍa-svar-prakāśānanda-cin-mayaḥ /	sattva-udrekAt aKaNxa--svar--prakASa-Ananda-cin-mayaH /
   vedyāntara-sparśa-śūnyo brahmāsvāda-sahodaraḥ // VisSd_3.2 //	vedya-antara--sparSa--SUnyaH brahma-AsvAda--sahodaraH // VisSd-_3.2 //
   lokottara-camatkāra-prāṇaḥ kaiścit pramātṛbhiḥ /	loka-uttara--camatkAra--prANaH kEScid pramAtRBiH /
   svākāravad abhinnatven(a)--āyam āsvādyate rasaḥ // VisSd_3.3 //	su-a-AkAra-vat aBinna-tven(a)--Ayam AsvAdyate rasaH // VisSd-_3.3 //
   karuṇādāv api rase jāyate yatparaṃ sukham /	karuNA-AdO api rase jAyate yat-param suKam /
   sacetasām anubhavaḥ pramāṇaṃ tatra kevalam // VisSd_3.4 //	sacetasAm anuBavaH pramANam tatra kevalam // VisSd-_3.4 //
   kiṃ ca teṣu yadā duḥkhaṃ na ko 'pi syāt tad-unmukhaḥ /	kim ca tezu yadA duHKam na kaH api syAt tat--unmuKaH /
   tathā rāmāyaṇādīnāṃ bhavitā duḥkha-hetutā // VisSd_3.5 //	taTA rAmAyaNa-AdInAm BavitA duHKa--hetutAH // VisSd-_3.5 //
   hetutvaṃ śoka-harṣāder gatebhyo loka-saṃśrayāt /	hetu-tvam Soka-harza-AdeH gateByaH loka--saMSrayAt /
   śoka-harṣādayo loke jāyantāṃ nāma laukikāḥ // VisSd_3.6 //	Soka-harza-AdayaH loke jAyantAm nAma lOkikAH // VisSd-_3.6 //
   alaukika-vibhāvatvaṃ prāptebhyaḥ kāvya-saṃśrayāt /	alOkika-viBAva-tvam prApteByaH kAvya--saMSrayAt /
   sukhaṃ sañjāyate tebhyaḥ sarvebhyo 'pīti kā kṣatiḥ // VisSd_3.7 //	suKam san-jAyate teByaH sarveByaH api-iti kA kzatiH // VisSd-_3.7 //
   aśru-pātādayas tadvad drutatvāc cetaso matāḥ /	aSru-pAta-AdayaH tadvat druta-tvAt cetasaH matAH /
   na jāyate tad-āsvādo vinā raty-ādi-vāsanām // VisSd_3.8 //	na jAyate tad--AsvAdaH vinA rati--Adi--vAsanAm // VisSd-_3.8 //
   vyāpāro 'sti vibhāvāder nāmnā sādhāraṇī-kṛtiḥ /	vyApAraH asti viBAva-AdeH nAmnA sADAraNI-kRtiH /
   tat-prabhāveṇa yasyāsan pāthodhi-plavanādayaḥ // VisSd_3.9 //	tat--praBAveNa yasya-Asan pAToDi-plavana-AdayaH // VisSd-_3.9 //
   pramātā tad-abhedena svātmānaṃ pratipadyate /	pramAtA tad--aBedena sva-AtmAnam pratipadyate /
   utsādādi-samudbodhaḥ sādhāraṇyābhimānataḥ // VisSd_3.10 //	utsAda-Adi-samudboDaH sADAraNya-aBimAnataH // VisSd-_3.10 //
   nṛṇām api samudrādi-laṅghanādau na duṣyati /	nRNAm api samudra-Adi--laFGana-AdO na duzyati /
   sādhāraṇyena raty-ādir api tadvat pratīyate // VisSd_3.11 //	sADAraNyena rati--AdiH api tadvat pratIyate // VisSd-_3.11 //
   parasya na parasyeti mameti na mameti ca /	parasya na parasya-iti mama-iti na mama-iti ca /
   tad-āsvāde vibhāvādeḥ paricchedo na vidyate // VisSd_3.12 //	tad--a-AsvAde viBAva-AdeH paricCedaH na vidyate // VisSd-_3.12 //
   vibhāvanādi-vyāpāram alaukikam upeyuṣām /	viBAvana-Adi--vyApAram alOkikam upeyuzAm /
   alaukikatvam eteṣāṃ bhūṣaṇaṃ na tu dūṣaṇam // VisSd_3.13 //	alOkika-tvam etezAm BUzaNam na tu dUzaNam // VisSd-_3.13 //
   kāraṇa-kārya-sañcāri-rūpā api hi lokataḥ /	kAraNa--kArya--saQcAri--rUpAH api hi lokataH /
   rasodbodhe vibhāvādyāḥ kāraṇāny eva te matāḥ // VisSd_3.14 //	rasa-udboDe viBAva-AdyAH kAraNAni eva te matAH // VisSd-_3.14 //
   pratīyamānaḥ prathamaṃ pratyekaṃ hetur ucyate /	pratIyamAnaH praTamam pratyekam hetuH ucyate /
   tataḥ saṃvalitaḥ sarvo vibhāvādiḥ sa-cetasām // VisSd_3.15 //	tatas saMvalitaH sarvaH viBAva-AdiH sa-cetasAm // VisSd-_3.15 //
   prapāṇaka-rasa-nyāyāc carvyamāṇo raso bhavet /	prapANaka-rasa-nyAyAt carvyamANaH rasaH Bavet /
   sad-bhāvaś ced vibhāvāder dvayor ekasya vā bhavet // VisSd_3.16 //	sad-BAvaH ced viBAva-AdeH dvayoH ekasya vA Bavet // VisSd-_3.16 //
   jhaṭity anyasam ākṣepe tadā doṣo na vidyate /	Jawiti anyasam Akzepe tadA dozaH na vidyate /
   pārimityyāl laukikatvāt sāntarāyatayā tathā // VisSd_3.17 //	pArimityyAt lOkika-tvAt sa-antara-Aya-tayA taTA // VisSd-_3.17 //
   anukāryasya ratyāder udbodho na raso bhavet /	anukAryasya rati-AdeH udboDaH na rasaH Bavet /
   śikṣābhyāsādi-mātreṇa rāghavādeḥ svarūpatām // VisSd_3.18 //	SikzA-aByAsa-Adi--mAtreNa rAGava-AdeH svarUpa-tAm // VisSd-_3.18 //
   darśayan nartako naiva rasasyāsvādako bhavet /	darSayan nartakaH na-eva rasasya-AsvAdakaH Bavet /
   kāvyārtha-bhāvenāyam api sabhya-padāspadam // VisSd_3.19 //	kAvya-arTa-BAvena-ayam api saBya-pada-Aspadam // VisSd-_3.19 //
   nāyaṃ jñāpyaḥ sva-sattāyāṃ pratīty avyabhicārataḥ /	na-ayam jQApyaH sva--sattAyAm prati-iti avyaBicArataH /
   yasmād eṣa vibhāvādi-samūhālambanātmakaḥ // VisSd_3.20 //	yasmAt eza viBAva-Adi-samUha-Alambana-AtmakaH // VisSd-_3.20 //
   tasmān na kāryaḥ no nityaḥ pūrva-saṃvedanojjhitaḥ /	tasmAt na kAryaH naH nityaH pUrva--saMvedana-ujJitaH /
   asaṃvedana-kāle hi na bhāvo 'py asya vidyate // VisSd_3.21 //	asaMvedana--kAle hi na BAvaH api asya vidyate // VisSd-_3.21 //
   nāpi bhaviṣyan sākṣād ānanda-maya-svaprakāśa-rūpatvāt /	na-api Bavizyan sAkzAt Ananda-maya--sva-prakASa---rUpa-tvAt /
   kārya-jñāpya-vilakṣaṇa-bhāvān no vartamāno 'pi // VisSd_3.22 //	kArya--jQApya-vilakzaNa-BAvAt naH vartamAnaH api // VisSd-_3.22 //
   vibhāvādi-parāmarśa-viṣayatvāt sacetasām /	viBAva-Adi--parAmarSa--vizaya-tvAt sa-cetasAm /
   parānandamayatvena saṃvedyatvād api sphuṭam // VisSd_3.23 //	para-Ananda-maya-tvena saMvedya-tvAt api sPuwam // VisSd-_3.23 //
   na nirvikalpakaṃ jñānaṃ tasya grāhakam iṣyate /	na nirvikalpakam jQAnam tasya grAhakam izyate /
   tathābhilāpa-saṃsarga-yogyatva-virahān na ca // VisSd_3.24 //	taTA-aBilApa--saMsarga--yogya-tva--virahAn na ca // VisSd-_3.24 //
   savikalpaka-saṃvedyaḥ sākṣātkāratayā na ca /	sa-vikalpa-ka--saMvedyaH sAkzAtkAratayA na ca /
   parokṣas tat-prakāśo nā-parokṣaḥ śabda-saṃbhavāt // VisSd_3.25 //	parokzaH tat--prakASaH na-a-parokzaH Sabda--saMBavAt // VisSd-_3.25 //
   tasmād alaukikaḥ satyaṃ vedyaḥ sahṛdayair ayam /	tasmAt alOkikaH satyam vedyaH sahRdayEH ayam /
   pramāṇaṃ carvaṇaivātra svābhinne viduṣāṃ matam // VisSd_3.26 //	pramANam carvaNA-eva-atra sva-aBinne viduzAm matam // VisSd-_3.26 //
   niṣpattyā carvaṇasyāsya niṣpattir upacārataḥ /	nizpattyA carvaNasya-asya nizpattiH upacArataH /
   avācyatvādikaṃ tasya vakṣye vyañjana-rūpaṇe // VisSd_3.27 //	avAcya-tva-Adikam tasya vakzye vyaQjana--rUpaNe // VisSd-_3.27 //
   ratyādi-jñāna-tādātmyād eva yasmād raso bhavet /	rati-Adi-jQAna-tAdAtmyAt eva yasmAt rasaH Bavet /
   ato 'sya sva-prakāśatvam akhaṇḍatvaṃ ca sidhyati // VisSd_3.28 //	atas asya sva--prakASa-tvam aKaNxa-tvam ca siDyati // VisSd-_3.28 //
   raty-ādy-udbodhakā loke vibhāvāḥ kāvya-nāṭyayoḥ /	rati--Ady-udboDakAH loke viBAvAH kAvya--nAwyayoH /
   ālambanoddīpanākhyau tasya bhedāv ubhau smṛtau /	Alambana-uddIpana-AKyO tasya BedO uBO smRtO /
   ālambanaṃ nāyakādis tam ālambya rasodgamāt // VisSd_3.29 //	Alambanam nAyaka-AdiH tam Alambya rasa-udgamAt // VisSd-_3.29 //
   tyāgī kṛtī kulīnaḥ su-śrīko rūpa-yauvanotsāhī /	tyAgI kRtI kulInaH su-SrIkaH rUpa-yOvana-utsAhI /
   dakṣo 'nurakta-lokas tejo-vaidagdhya-śīlavān netā // VisSd_3.30 //	dakzaH anurakta-lokaH tejaH---vEdagDya--SIlavAn netA // VisSd-_3.30 //
   dhīrodātto dhīroddhatas tathā dhīra-lalitaś ca /	DIra-udAttaH DIra-udDataH taTA DIra-lalitaH ca /
   dhīra-praśānta ity ayam uktaḥ prathamaś caturbhedaḥ // VisSd_3.31 //	DIra--praSAntaH iti ayam uktaH praTamaH catur-BedaH // VisSd-_3.31 //
   avikatthanaḥ kṣamāvān atigambhīro mahā-sattvaḥ /	avikatTanaH kzamAvAn ati-gamBIraH mahA--sattvaH /
   stheyān nigūḍhamāno dhīrodātto dṛḍha-vrataḥ kathitaḥ // VisSd_3.32 //	sTeyAn nigUXamAnaH DIra-udAttaH dRXa-vrataH kaTitaH // VisSd-_3.32 //
   māyā-paraḥ pracaṇḍaś capalo 'haṅkāra-darpa-bhūyiṣṭhaḥ /	mAyA-paraH pracaNxaH capalaH ahaFkAra--darpa--BUyizWaH /
   ātma-ślāghā-nirato dhīrair dhīroddhataḥ kathitaḥ // VisSd_3.33 //	Atma--SlAGA--nirataH DIrEH DIra-udDataH kaTitaH // VisSd-_3.33 //
   niścinto mṛdur aniśaṃ kalā-paro dhīra-lalitaḥ syāt /	niScintaH mRduH aniSam kalA--paraH DIra-lalitaH syAt /
   sāmānya-guṇair bhūyān divjādiko dhīra-praśāntaḥ syāt // VisSd_3.34 //	sAmAnya--guNEH BUyAn divja-AdikaH DIra--praSAntaH syAt // VisSd-_3.34 //
   ebhir dakṣiṇa-dhṛṣṭānukūla-śaṭha-rūpibhis tu ṣoḍaśadhā /	eBiH dakziNa--DRzwa-anukUla--SaWa--rUpiBiH tu zoxaSaDA /
   eṣu tv aneka-mahilāsu samarāgo dakṣiṇaḥ kathitaḥ // VisSd_3.35 //	ezu tu aneka--mahilAsu sama-rAgaH dakziNaH kaTitaH // VisSd-_3.35 //
   kṛtāgā api niḥśaṅkas tarjito 'pi na lajjitaḥ /	kRta-AgAH api niHSaFkaH tarjitaH api na lajjitaH /
   dṛṣṭa-doṣo 'pi mithyāvā-kvathito dhṛṣṭa-nāyakaḥ // VisSd_3.36 //	dRzwa-dozaH api miTyAvA--kvaTitaH DRzwa-nAyakaH // VisSd-_3.36 //
   anukūla eka-nirataḥ śaṭho 'yam ekatra baddha-bhāvo yaḥ /	anukUlaH eka-nirataH SaWaH ayam ekatra badDa-BAvaH yaH /
   darśita-bahir-anurāgo vipriyam anyatra gūḍham ācarati // VisSd_3.37 //	darSita-bahis--anurAgaH vipriyam anyatra gUXam Acarati // VisSd-_3.37 //
   eṣāṃ ca traividhyād uttama-madhyādhamatvena /	ezAm ca trEviDyAt uttama--maDya-aDama-tvena /
   uktā nāyaka-bhedāś catvāriṃśat tathāṣṭau ca // VisSd_3.38 //	uktAH nAyaka--BedAH catvAriMSat taTA-azwO ca // VisSd-_3.38 //
   dūrānvartini syāt tasya prāsāṅgiketivṛtte tu /	dUrAn-vartini syAt tasya prAsa-aFgikA-iti-vRtte tu /
   kiñcit tad-guṇa-hīnaḥ sahāya evāsya pīṭha-mardākhyaḥ // VisSd_3.39 //	kiQcid tad--guNa--hInaH sahAyaH eva-asya pIWa-marda-AKyaH // VisSd-_3.39 //
   śṛṅgāro 'sya sahāyā viṭa-ceṭa-vidūṣakādyāḥ syuḥ /	SRFgAraH asya sahAyAH viwa--cewa--vidUzaka-AdyAH syuH /
   bhaktā narmasu nipuṇāḥ kupita-vadhū-māna-bhañjanāḥ śuddhāḥ // VisSd_3.40	BaktAH narmasu nipuNAH kupita--vaDU-mAna--BaQjanAH SudDAH // VisSd-_3.40
   saṃbhoga-hīna-sampad viṭas tu dhūrtaḥ kalaika-deśa-jñaḥ /	saMBoga--hIna--sampad viwaH tu DUrtaH kalA-eka-deSa-jQaH /
   veśopacāra-kuśalo vāgmī madhuro 'tha bahu-mato goṣṭhyām // VisSd_3.41 //	veSa-upacAra--kuSalaH vAgmI maDuraH aTa bahu-mataH gozWyAm // VisSd-_3.41 //
   kusuma-vasantādy-abhidhaḥ karma-vapur veṣa-bhāṣādyaiḥ /	kusuma--vasanta-Adi--aBiDaH karma-vapuH veza-BAzA-AdyEH /
   hāsya-karaḥ kalaha-ratir vidūṣakaḥ syāt sva-karma-jñaḥ // VisSd_3.42 //	hAsya-karaH kalaha-ratiH vidUzakaH syAt sva--karma--jQaH // VisSd-_3.42 //
   mantrī syād arthānāṃ cintāyāṃ tadvad avarodhe /	mantrI syAt arTAnAm cintAyAm tadvat avaroDe /
   vāmana-ṣaṇḍa-kirāta-mlecchābhīrāḥ śakāra-kubjādyāḥ // VisSd_3.43 //	vAmana-zaNxa-kirAta--mlecCa-ABIrAH SakAra--kubja-AdyAH // VisSd-_3.43 //
   mada-mūrkhatābhimānī duṣkulataiśvarya-saṃyuktaḥ /	mada-mUrKatA-aBimAnI duzkula-tA-ESvarya--saMyuktaH /
   so 'yam anūḍha-bhrātā rājñaḥ śyālaḥ śakāra ity uktaḥ // VisSd_3.44 //	saH ayam anUXa--BrAtA rAjQaH SyAlaH SakAraH iti uktaH // VisSd-_3.44 //
   daṇḍe suhṛt-kumārāṭavikāḥ sāmanta-sainikādyāś ca /	daNxe suhRt--kumAra-AwavikAH sAmanta--sEnika-AdyAH ca /
   ṛtvik-purodhasaḥ syur brahma-vidas tāpasās tathā dharme // VisSd_3.45 //	Rtvik-puroDasaH syuH brahma--vidaH tApasAH taTA Darme // VisSd-_3.45 //
   uttamāḥ pīṭhamardādyāḥ madhyau viṭa-vidūṣakau /	uttamAH pIWamarda-AdyAH maDyO viwa--vidUzakO /
   tathā śakāra-ceṭādyā adhamā parikīrtitāḥ // VisSd_3.46 //	taTA SakAra--cewA-AdyAH aDamA parikIrtitAH // VisSd-_3.46 //
   nisṛṣṭārtho mitārthaś ca tathā sandeśa-hārakaḥ /	nisRzwa-arTaH mita-arTaH ca taTA sandeSa--hArakaH /
   kārya-preṣyas tridhā dūto dūtyaś cāpi tathāvidhāḥ // VisSd_3.47 //	kArya--prezyaH triDA dUtaH dUtyaH ca-api taTAviDAH // VisSd-_3.47 //
   ubhayor bhāvam unnīya svayaṃ vadati cottaram /	uBayoH BAvam unnIya svayam vadati ca-uttaram /
   suśliṣṭaṃ kurute kāryaṃ nisṛṣṭārthas tu sa smṛtaḥ // VisSd_3.48 //	su-Slizwam kurute kAryam nisRzwa-arTaH tu sa smRtaH // VisSd-_3.48 //
   mitārtha-bhāṣī kāryasya siddha-kārā mitārthakaḥ /	mita-arTa-BAzI kAryasya sidDa--kArAH mita-arTakaH /
   yāvad bhāṣita-sandeśa-hāraḥ sandeśa-hārakaḥ // VisSd_3.49 //	yAvat BAzita--sandeSa--hAraH sandeSa--hArakaH // VisSd-_3.49 //
   śobhā vilāso mādhuryaṃ gāmbhīryaṃ dhairya-tejasī /	SoBA vilAsaH mADuryam gAmBIryam DErya--tejasI /
   lalitaudāryam ity aṣṭau sattvajāḥ pauruṣā guṇāḥ // VisSd_3.50 //	lalita-OdAryam iti azwO sattva-jAH pOruzAH guNAH // VisSd-_3.50 //
   śūratā dakṣatā satyaṃ mahotsāho 'nurāgitā /	SUra-tA dakza-tA satyam mahA-utsAhaH anurAgitA /
   nīce ghūṇādhike spardhā yataḥ śobheti tāṃ viduḥ // VisSd_3.51 //	nIce GUNa-aDike sparDA yatas SoBA-iti tAm viduH // VisSd-_3.51 //
   dhīrā dṛṣṭir gatiś citrā vilāse sasmitaṃ vacaḥ /	DIrA dRzwiH gatiH citrAH vilAse sa-smitam vacaH /
   sāṅkṣobheṣv apy anudvego mādhuryaṃ parikīrtitam // VisSd_3.52 //	sAFkzoBezu api anudvegaH mADuryam parikIrtitam // VisSd-_3.52 //
   bhī-śoka-krodha-harṣādyair gāmbhīryaṃ nirvikāratā /	BI-Soka--kroDa--harza-AdyEH gAmBIryam nirvikAra-tA /
   vyavasāyād acalanaṃ dhairyaṃ vighne mahaty api // VisSd_3.53 //	vyavasAyAt acalanam DEryam viGne mahati api // VisSd-_3.53 //
   adhikṣepāpamānādeḥ prayuktasya pareṇa yat /	aDikzepa-apamAna-AdeH prayuktasya pareNa yat /
   prāṇātyaye 'py asahanaṃ tat-tejaḥ samudāhṛtam // VisSd_3.54 //	prANa-atyaye api asahanam tat-tejaH samudAhRtam // VisSd-_3.54 //
   vāg-veśayor madhuratā, tadvac chṛṅgāra-ceṣṭitaṃ lalitam /	vAc--veSayoH maDura-tA, tadvat SRFgAra--cezwitam lalitam /
   dānaṃ sa-priya-bhāṣaṇam audāryaṃ śatru-mitrayoḥ samatā // VisSd_3.55 //	dAnam sa-priya--BAzaNam OdAryam Satru-mitrayoH sama-tA // VisSd-_3.55 //
   atha nāyikā tri-bhedā svānyā sādhāraṇā strīti /	aTa nAyikA tri-BedA sva-anyA sADAraNA strI-iti /
   nāyaka-sāmānya-guṇair bhavati yathā-saṃbhavair yuktā // VisSd_3.56 //	nAyaka--sAmAnya-guNEH Bavati yaTA--saMBavEH yuktAH // VisSd-_3.56 //
   vinayārjavādi-yuktā gṛha-karma-parā pati-vratā svīyā /	vinaya-Arjava-Adi--yuktA gRha-karma--parA pati-vratA svIyA /
   sāpi kathitā tribhedā mugdhā madhyā pragalbheti // VisSd_3.57 //	sA-api kaTitA tri-BedAH mugDA maDyA pragalBA-iti // VisSd-_3.57 //
   prathamāvatīrṇa-yauvana-madana-vikārā ratau vāmā /	praTama-avatIrNa--yOvana-madana--vikArA ratO vAmA /
   kathitā mṛduś ca māne samadhika-lajjāvatī mugdhā // VisSd_3.58 //	kaTitAH mRduH ca mAne samaDika--lajjAvatI mugDAH // VisSd-_3.58 //
   madhyā vicitra-suratā prarūḍha-smara-yauvanā /	maDyA vicitra--suratA prarUXa-smara--yOvanAH /
   īṣat-pragalbha-vacanā madhyama-vrīḍitā matā // VisSd_3.59 //	Izat--pragalBa--vacanA maDyama-vrIxitA matA // VisSd-_3.59 //
   smarāndhā gāḍhatāruṇyā samasta-rata-kovidā /	smara-anDA gAXa-tAruNyA samasta--rata--kovidA /
   bhāvonnatā dara-vrīḍā pragalbhākrānta-nāyakā // VisSd_3.60 //	BAva-unnatA dara-vrIxA pragalBa-AkrAnta-nAyakAH // VisSd-_3.60 //
   te dhīrā cāpy adhīrā ca dhīrādhīreti ṣaḍ-vidhe /	te DIrA ca-api aDIrA ca DIra-aDIra-iti zaz--viDe /
