   oṃ namo bhāratyai ||	om namaH BAratyE ||
        hasta iva bhūtimalino laṅghayati yathā yathā khalaḥ sujanam /	hastaH iva BUti-malinaH laFGayati yaTA yaTA KalaH su-janam /
        darpaṇam iva taṃ kurute tathā tathā nirmalacchāyam // SuVas_8 //	darpaNam iva tam kurute taTA taTA nirmala=-CAyam // SuVaH-_8 //
        vidhvastaparaguṇānāṃ bhavati khalānām atīva malinatvam /	viDvasta-para-guNAnAm Bavati KalAnAm atIva malina-tvam /
        antaritaśaśirucām api salilamucāṃ malinim ābhyadhikaḥ // SuVas_9 //	antarita-SaSi-rucAm api salila-mucAm malinim AByaDikaH // SuVaH-_9 //
        sā rasavattā nihatā navakā vilasanti carati no kaṅkaḥ /	sA rasavat-tA nihatAH navakAH vilasanti carati no kaFkaH /
        sarasīva kīrtiśeṣaṃ gatavati bhuvi vikramāditye // SuVas_10 //	sarasi-iva kIrti-Sezam gatavati Buvi vikrama-Aditye // SuVaH-_10 //
        aviditaguṇāpi satkavibhaṇitiḥ karṇeṣu vamati madhudhārām /	avidita-guNA-api sat-kaviBaNitiH karNezu vamati maDu-DArAm /
        anadhigataparimalāpi hi harati dṛśaṃ mālatīmālā // SuVas_11 //	anaDigata-parimalA-api hi harati dRSam mAlatI-mAlA // SuVaH-_11 //
        guṇinām api nijarūpapratipattiḥ parata eva saṃbhavati /	guNinAm api nija-rUpa-pratipattiH paratas eva saMBavati /
        svamahimadarśanam akṣṇor mukuratale jāyate yasmāt // SuVas_12 //	sva-mahima-darSanam akzNoH mukura-tale jAyate yasmAt // SuVaH-_12 //
        sarasvatīdattavaraprasādaś cakre subandhuḥ sujanaikabandhuḥ /	sarasvatI-datta-vara-prasAdaH cakre subanDuH su-jana-eka-banDuH /
        pratyakṣaraśleṣamayaprabandhaṃ vinyāsavaidagdhyanidhir nibandham //	pratyakzara-Sleza-maya-prabanDam vinyAsa-vEdagDya-niDiH nibanDam //
   SuVas_13 //	SuVaH-_13 //
   1) abhūd abhūtapūrvaḥ,	1) aBUt aBUta-pUrvaH,
   sarvorvīpaticakracūḍāmaṇiśreṇīśāṇakoṇakaṣaṇanirmalīkṛtacaraṇanakhamaṇiḥ,	sarva-urvI-pati-cakra-cUxAmaNi-SreNI-SANa-koNa-kazaNa-nirmalIkRta-caraNa-naKa-maNiH,
   ṇṛsiṃha iva darśitakaśipukṣetradānavismayaḥ, kṛṣṇa iva	NRsiMhaH iva darSita-kaSipu-kzetra-dAna-vismayaH, kRzNaH iva
   kṛtavasudevatarpaṇaḥ, nārāyaṇa iva saukaryasamāsāditadharaṇīmaṇḍalaḥ,	kRta-vasudeva-tarpaNaH, nArAyaNaH iva sOkarya-samAsAdita-DaraNI-maNxalaH,
   kaṃsārātir iva janitayaśodānandasamṛddhiḥ, ānakadundubhir iva	kaMsArAtiH iva janita-yaSodAnanda-samRdDiH, AnakadunduBiH iva
   kṛtakāvyādaraḥ, sāgaraśāyīvānantabhogīcūḍāmaṇirañjitapādaḥ, varuṇa	kRta-kAvya-AdaraH, sAgara-SAyI-iva-ananta-BogI-cUxAmaNi-raQjita-pAdaH, varuNa
   ivāśāntarakṣaṇaḥ, agastya iva dakṣiṇāśāprasādhakaḥ, jalanidhir iva	iva-ASAnta-rakzaNaH, agastyaH iva dakziNa-ASa-aprasADakaH, jalaniDiH iva
   vāhinīśatanāyakaḥ samakarapracāraś ca, hara iva mahāsenānuyāto	vAhinI-Sata-nAyakaH sa-makara-pracAraH ca, haraH iva mahA-sena-anuyAtaH-
   nirjitamāraś ca, merur iva vibudhālayo viśvakarmāśrayaś ca, ravir iva	nirjita-mAraH ca, meruH iva vibuDa-AlayaH viSvakarma-ASrayaH ca, raviH iva
   kṣaṇadānapriyaś cchāyāsantāpaharaś ca, kusumaketur iva	kzaNa-dAna-priyaH cCAyA-santApa-haraH ca, kusumaketuH iva
   janitāniruddhasaṃpad ratisukhapradaś ca, vidyādharo 'pi sumanāḥ,	janita-anirudDa-saMpad rati-suKa-pradaH ca, vidyADaraH api sumanAH,
   dhṛtarāṣṭro 'pi guṇapriyaḥ, kṣamānugato 'pi sudharmāśritaḥ,	DRtarAzwraH api guNa-priyaH, kzamA-anugataH api suDarma-ASritaH,
   bṛhannalānubhāvo 'py antaḥsaralaḥ, mahiṣīsaṃbhavo 'pi vṛṣotpādī, ataralo	bRhannala-anuBAvaH api antaHsaralaH, mahizI-saMBavaH api vRza-utpAdI, ataralaH-
   'pi mahānāyakaḥ rājā Cintāmaṇir nāma |	api mahAnAyakaH rAjA CintAmaNiH nAma |
   2) yatra ca śāsati dharaṇimaṇḍalaṃ chalanigrahaprayogā vādeṣu, nāstikatā	2) yatra ca SAsati DaraNi-maNxalam Cala-nigraha-prayogA vAdezu, nAstika-tA
   cārvākeṣu, kaṇṭakayogo niyogeṣu, parīvādo vīṇāsu, khalasaṃyogaḥ śāliṣu,	cArvAka-izu, kaNwaka-yogaH niyoga-izu, parIvAdaH vINAsu, Kala-saMyogaH SAlizu,
   dvijihvasaṅgṛhītir āhituṇḍikeṣu, kara[cchedaḥ kḷptakara]grahaṇeṣu,	dvi-jihva-saFgRhItiH AhituNxikezu, kara[=-CedaH k?pta-kara]-grahaNezu,
   netrotpāṭanaṃ munīnāṃ, rājaviruddhatā paṅkajānāṃ, sarvabhaumayogo	netra-utpAwanam munInAM, rAja-virudDa-tA paFkajAnAM, sarva-BOma-yogaH-
   diggajānāṃ, śūlasaṃyogo yuvatiprasave, agnitulāśuddhiḥ suvarṇānāṃ,	diggajAnAM, SUla-saMyogaH yuvati-prasave, agni-tulA-SudDiH suvarNAnAM,
   duḥśāsanadarśanaṃ bhārate, karapatradāraṇaṃ jalajānāṃ, param evaṃ	duHSAsana-darSanam BArate, kara-patra-dAraNam jala-jAnAM, param evam
   vyavasthitam | mahāvarāho gotroddharaṇapravṛtto 'pi gotroddalanam akarot |	vyavasTitam | mahAvarAhaH gotra-udDaraNa-pravRttaH api gotra-uddalanam akarot |
   rāghavaḥ pariharann api janakabhuvaṃ janakabhuvā saha vanaṃ viveśa |	rAGavaH pariharan api janaka-Buvam janaka-BuvA saha vanam viveSa |
   bharato 'pi rāmadarśitabhaktir api rājye virāmam akarot | nalasya	BarataH api rAma-darSita-BaktiH api rAjye virAmam akarot | nalasya
   damayantyā militasyāpi punar bhūparigraho jātaḥ | pṛthur api	damayantyA militasya-api punar BU-parigrahaH jAtaH | pRTuH api
   gotrasamutsāraṇād vistāritabhūmaṇḍalaḥ | itthaṃ nāsti vāgavasaraḥ	gotra-samutsAraNAt vistArita-BU-maNxalaH | itTam na-asti vAc-avasaraH
   pūrvatararājeṣu |	pUrvatara-rAjezu |
   3) sa punar anya eva tyaktasarvapūrvorvīpaticaritaḥ | tathā hi | sarvataḥ	3) sa punar anyaH eva tyakta-sarva-pUrva-urvIpati-caritaH | taTA hi | sarvatas-
   kaṭakasaṃcāriṇo gandharvān darśitaśṛṅgonnatiḥ sukhayan na virarāma | sa	kawaka-saMcAriNaH ganDarvAn darSita-SRFga-unnatiH suKayan na virarAma | sa
   himālayo nāvaśyāyocchalitaḥ no māyājanmane hitaś ca | asau hi mānī giri	himAlayaH na-avaSyAya-ucCalitaH naH mAyA-janmane hitaH ca | asO hi mAnI giri
   sthito vṛṣadhvajaś ca | [asau] sadgatiḥ, avadhūtākhilakāntāraḥ,	sTitaH vRzaDvajaH ca | [asO] sat-gatiH, avaDUta-aKila-kAntAraH,
   pāvakāgresaraḥ, na bhogotsukaḥ sumanoharaḥ[ś ca] | sa ratnākaro	pAvaka-agresaraH, na Boga-utsukaH su-manoharaH[H ca] | sa ratnAkaraH-
   'nahimayaḥ, katham agādhaḥ, samaryādaḥ, nodreko 'py asya vismayaḥ,	anahimayaH, kaTam agADaH, sa-maryAdaH, na-udrekaH api asya vismayaH,
   himakarāśrayo 'mṛtamayaḥ, satpātraḥ, tasyācalo na krodhaḥ, mahānadīnaḥ,	himakara-ASrayaH amRta-mayaH, sat-pAtraH, tasya-acalaH na kroDaH, mahAnadInaH,
   sapotaḥ sa samudraḥ | [sa candra iva] kṣaṇadānandakaraḥ,	sapotaH sa samudraH | [sa candraH iva] kzaNadA-Ananda-karaH,
   kumudavanabandhuḥ, sakalakalākulagṛhaṃ, natārātibalaḥ | [sa samudro]	kumuda-vana-banDuH, sakala-kalA-Akula-gRhan, natAra-atibalaH | [sa samudraH-]
   mitrodayahetuḥ, kāñcana śobhāṃ bibhrat, acalādhikalakṣmīḥ sumerur iva |	mitra-udaya-hetuH, kAQcana SoBAm biBrat, acala-aDika-lakzmIH sumeruH iva |
   yasya ca ripuvargaḥ sadā pārtho 'pi na mahābhārataraṇayogyaḥ, bhīṣmo 'py	yasya ca ripu-vargaH sadA pArTaH api na mahABAra-taraNa-yogyaH, BIzmaH api-
   aśāntanave hitaḥ, sānucaro 'pi na gotrabhūṣitaḥ | api ca sa triśaṅkur iva	aSAntanave hitaH, sa-anucaraH api na gotra-BUzitaH | api ca sa triSaFkuH iva
   nakṣatrapathasthalitaḥ, śaṅkaro 'pi na viṣādī, pāvako 'pi na kṛṣṇavartmā,	nakzatra-paTa-sTalitaH, SaFkaraH api na viza-AdI, pAvakaH api na kRzNavartmA,
   āśrayāśo ['pi] na dahanaḥ, nāntaka ivākasmād apahṛtajīvanaḥ, na rāhur	ASraya-ASaH [-api] na dahanaH, na-antakaH iva-akasmAt apahRta-jIvanaH, na rAhuH-
   mitramaṇḍalagrahaṇavardhitaruciḥ, na nala iva kalivilasitavinaṭitaḥ, na	mitra-maNxala-grahaNa-varDita-ruciH, na nalaH iva kali-vilasita-vinawitaH, na
   cakrīva śṛgālavadhastutisamullasitaḥ, nandagopa iva yaśodayānvitaḥ,	cakrI-iva SRgAla-vaDa-stuti-samullasitaH, nanda-gopaH iva yaSodaya-anvitaH,
   jarāsandha iva ghaṭitasandhivigrahaḥ, bhārgava iva sadānabhogaḥ, daśaratha	jarAsanDaH iva Gawita-sanDi-vigrahaH, BArgavaH iva sadAna-BogaH, daSaraTa
   iva sumitropetaḥ sumantrādhiṣṭhitaś ca, dilīpa iva sudakṣiṇānugato	iva sumitra-upetaH sumantra-aDizWitaH ca, dilIpaH iva su-dakziNa-anugataH-
   rakṣitaguś ca, rāma iva janitakuśalavayo rūpocchrāyaḥ | tasya ca pārijāta	rakzitaguH ca, rAmaH iva janita-kuSala-vayoH rUpa-ucCrAyaH | tasya ca pArijAta
   ivāśritanandanaḥ, himālaya iva janitaśivaḥ, mandara iva bhogibhogāṅkitaḥ,	iva-ASrita-nandanaH, himAlayaH iva janita-SivaH, mandaraH iva Bogi-Boga-aFkitaH,
   kailāsa iva maheśvaropabhuktakoṭiḥ, madhur iva nānārāmānandakaraḥ,	kElAsaH iva maheSvara-upaBukta-kowiH, maDuH iva nAnA-ArAma-Ananda-karaH,
   kṣīrodamathanodyatamandara iva mukharitabhuvanaḥ, rāgarajjur	kzIroda-maTana-udyata-mandaraH iva muKarita-BuvanaH, rAga-rajjuH-
   ivollāsitaratiḥ, īśānabhūtisañcaya iva sandhyocchalitaḥ, śaranmegha	iva-ullAsita-ratiH, ISAna-BUti-saQcayaH iva sanDyA-ucCalitaH, Sarad-meGa
   ivāvadātahṛdayo viṣṇupadāvalambī ca, pārtha iva samarasāhasocitaḥ, kaṃsa	iva-avadAta-hRdayaH vizNu-pada-avalambI ca, pArTaH iva samara-sAhasa-ucitaH, kaMsa
   iva kuvalayāpīḍabhūṣitaḥ, tārkṣya iva [vinatānandakaraḥ] sumukhanandana[ś	iva kuvalaya-ApIxa-BUzitaH, tArkzyaH iva [vinata-Ananda-karaH] sumuKa-nandana[H-
   ca], viṣṇur iva kroḍīkṛtasutanuḥ, śāntanava iva	ca], vizNuH iva kroxIkRta-su-tanuH, SAntanavaH iva
   svavaśasthāpitakāladharmaḥ, kauravavyūha iva suśarmādhiṣṭhitaḥ, subāhur	sva-vaSa-sTApita-kAla-DarmaH, kOrava-vyUhaH iva suSarma-aDizWitaH, subAhuH-
   api rāmānandī, samadṛṣṭir api maheśvaro, muktāmayo 'py ataralamadhyo,	api rAma-AnandI, sama-dRzwiH api maheSvaro, muktA-mayaH api atarala-maDyo,
   jalada iva vimalataravāridhārātrāsitarājahaṃsaḥ, vaṃśapradīpo 'py	jaladaH iva vimalatara-vAriDA-rAtrAsita-rAjahaMsaH, vaMSa-pradIpaH api-
   akṣatadaśaḥ, tanayaḥ Kandarpaketur nāma |	akzatadaSaH, tanayaH KandarpaketuH nAma |
   4) yena ca candreṇeva sakalakalākulagṛheṇa, śarvarītihāriṇā,	4) yena ca candreNa-iva sakala-kalA-Akula-gRheNa, Sarva-rIti-hAriNA,
   kumudavanabandhunā, prasāditāśena, vilokitā jaladhaya ivollasitagotrāḥ,	kumuda-vana-banDunA, prasAdita-ASena, vilokitAH jalaDayaH iva-ullasita-gotrAH,
   sudūravartitajīvanāḥ, prasannasattvāḥ santaḥ parām ṛddhim avāpuḥ	su-dUra-vartita-jIvanAH, prasanna-sattvAH santaH parAm RdDim avApuH
   prajālokāḥ | yasya ca janitāniruddhalīlasya, ratipriyasya,	prajA-lokAH | yasya ca janita-anirudDa-lIlasya, rati-priyasya,
   kusumaśarāsanasya, makaraketor iva darśanena vanitājanasya hṛdayam	kusuma-Sara-Asanasya, makaraketoH iva darSanena vanitA-janasya hRdayam
   ullalāsa | yasmai cānugatadakṣiṇasadāgataye,	ullalAsa | yasmE ca-anugata-dakziNa-sadAgataye,
   netraśrutisukhadakomalakokilarutāya, vikāsitapallavāya,	netra-Sruti-suKa-da-komala-kokila-ruta-aya, vikAsita-pallavAya,
   kṛtakāntārataraṅgāya, surabhisumano'bhirāmāya, sarvajanasulabhapadmāya,	kRta-kAntAra-taraFgAya, suraBi-sumanaH-aBirAmAya, sarva-jana-sulaBa-padmAya,
   vistṛtakarasaṃpade, atikrāntadamanakāya vasantāyeva, vanalatā	vistRta-kara-saMpade, atikrAnta-damanakAya vasantAya-iva, vanalatA
   ivotkalikāsahasrasaṃkulāḥ, bhramarasaṅgatāḥ, pravālahāriṇyaḥ,	iva-utkalikA-sahasra-saMkulAH, Bramara-saFgatAH, pravAla-hAriNyaH,
   vilasadvayasas taruṇyaḥ spṛhayāṃcakruḥ | yasya [ca] samarabhuvi	vilasat-vayasaH taruNyaH spRhayAMcakruH | yasya [ca] samara-Buvi
   bhujadaṇḍena kodaṇḍaṃ, kodaṇḍena bāṇāḥ, bānai ripuśiraḥ, tenāpi	Buja-daNxena kodaNxan, kodaNxena bANAH, bAnEH ripu-SiraH, tena-api
   bhūmaṇḍalaṃ, tena cānanubhūtapūrvo nāyakaḥ, nāyakena ca kīrtiḥ, kīrtyā ca	BU-maNxalaM, tena ca-ananuBUta-pUrvaH nAyakaH, nAyakena ca kIrtiH, kIrtyA ca
   saptasāgarāḥ, sāgaraiḥ kṛtayugādi rājacaritasmaraṇaṃ, anena ca sthairyaṃ,	sapta-sAgarAH, sAgarEH kRta-yuga-Adi rAja-carita-smaraNan, anena ca sTEryaM,
   amunā ca pratikṣaṇam āścaryam āsāditam | yasya ca pratāpānaladagdhānāṃ	amunA ca pratikzaNam AScaryam AsAditam | yasya ca pratApa-anala-dagDAnAm
   ripusundarīṇāṃ karatalatāḍanabhītair iva muktāhāraiḥ payodharaparisaro	ripu-sundarINAm kara-tala-tAxana-BItEH iva muktA-hArEH payoDara-parisaraH-
   muktaḥ | yasya ca	muktaH | yasya ca
   nihitanārācajarjaritamattamātaṅgakumbhasthalavigalitamuktāphaladanturitaparisare,	nihita-nArAca-jarjarita-matta-mAtaFga-kumBa-sTala-vigalita-muktAPala-danturita-parisare,
   taratpatrarathe,	tarat-patraraTe,
   raktavārisaṃcaratkarikacchapotphullapuṇḍarīkaśatasamākule, nṛtyatkabandhe,	rakta-vAri-saMcarat-kari-kacSapa-utPulla-puNxarIka-Sata-samAkule, nRtyat-kabanDe,
   surasundarīsaṃgamotsukacārabhaṭāhaṅkārasaṃbhārabhīṣaṇe, samarasarasi,	sura-sundarI-saMgama-utsuka-cAra-Bawa-ahaFkAra-saMBAra-BIzaNe, samara-sarasi,
   bhinnapadātikarituragarudhirārdro jayalakṣmīpādālaktakarāgarañjita iva	Binna-padAti-karitu-raga-ruDira-ArdraH jaya-lakzmI-pAda-alaktaka-rAga-raQjitaH iva
   khaḍgo rarāja |	KaxgaH rarAja |
   5) atha sa kadācid avasannāyāṃ yāmavatyāṃ dadhidhavale kālakṣapaṇakapiṇḍa	5) aTa sa kadAcid avasannAyAm yAmavatyAm daDi-Davale kAla-kzapaNa-kapiNxa
   iva niśāyamunāphenastabake, menakānakhamarjanaśilāśakala iva	iva niSA-yamunA-Pena-stabake, menakA-naKamarjana-SilA-SakalaH iva
   madhucchatracchāyamaṇḍalodare, paścimācalopadhānasukhanilīnaśirasaḥ,	maDu=-Catra=-CAya-maNxala-udare, paScimAcala-upaDAna-suKa-nilIna-SirasaH,
   tāḍaṅka iva śeṣamadhubhāji, caṣaka iva vibhāvarīvadhvāḥ,	tAxaFkaH iva Seza-maDu-BAji, cazakaH iva viBAvarI-vaDvAH,
   aparajalanidhipayasi śaṅkhakāntikāmuke nimajjati kumudinīnāyake,	apara-jala-niDi-payasi SaFKa-kAnti-kAmuke nimajjati kumudinI-nAyake,
   śiśirakardamitakumudaparāgamadhyabaddhacaraṇeṣu, ṣaṭcaraṇeṣu,	SiSira-kart-amita-kumuda-parAga-maDya-badDa-caraNa-izu, zawcaraNezu,
   kalapralāpabodhitacakitābhisārikāsu sārikāsu, prabuddhādhyāpakakarmaṭheṣu	kala-pralApa-boDita-cakita-aBisArikAsu sArikAsu, prabudDa-aDyApaka-karmaWezu
   maṭheṣu, bhāsarāgamukharakārpaṭikopagīyamānakāvyakathāsu rathyāsu,	maWa-izu, BAsa-rAga-muKara-kArpawikA-upagIyamAna-kAvya-kaTAsu raTyAsu,
   sakalanipītaniśātimirasaṃghātam atitanīyastayā soḍhum asamartheṣv iva	sakala-nipIta-niSA-timira-saMGAtam atitanIyaH-tayA soXum asamarTezu iva
   kajjalavyājād udvamatsu, kāmimithunanidhuvanalīlādarśanārtham	kajjala-vyAjAt udvamatsu, kAmi-miTuna-niDuvana-lIlA-darSana-arTam
   ivodgrīvikāśatadānakhinneṣu,	iva-udgrIvikA-Sata-dAna-Kinna-izu,
   vividhabudhāśrayabhavanavicitrasuratakrīḍāsākṣiṣu, śaraṇāgatam	viviDa-buDa-ASraya-Bavana-vicitra-surata-krIxA-sAkzizu, SaraNa-Agatam
   ivādhonilīnaṃ timiram avatsu, durjanavacaneṣv iva dagdhasnehatayā	iva-aDonilInam timiram avatsu, durjana-vacanezu iva dagDa-sneha-tayA
   mandimānam upagateṣu, ativṛddheṣv iva daśāntam upagateṣu,	mandimAnam upagata-izu, ati-vRdDezu iva daSAntam upagatezu,
   vipannasadīśvareṣv iva pātramātraśeṣeṣu, dānaveṣv iva niśāntapathacāriṣu,	vipanna-sadISvarezu iva pAtra-mAtra-Seza-izu, dAnavezu iva niSAnta-paTa-cArizu,
   astagiriśikhareṣv iva patitapataṅgeṣu, prdīpeṣu,	asta-giri-SiKarezu iva patita-pataFga-izu, prdIpezu,
   anavaratamakarandabindusaṃdohamohamukharamadhukaranikurumbahuṃkāramukhariteṣu,	anavarata-makaranda-bindu-saMdoha-moha-muKara-maDukara-nikurumba-huMkAra-muKarita-izu,
   mlānimānam upagacchatsu vāsāgārakusumopahāreṣu, vigalitakundair alakaiḥ	mlAni-mAnam upagacCatsu vAsa-AgAra-kusuma-upahAra-izu, vigalita-kundEH alakEH
   priyavirahaśokād bāṣpabindūn utsṛjadbhir iva priyatamagamananiṣedham iva	priya-viraha-SokAt bAzpa-bindUn utsRjadBiH iva priyatama-gamana-nizeDam iva
   kurvatīṣu vācālatulākoṭibhiś caraṇapallavair vilasitāsu,	kurvatIzu vAcAla-tulA-kowiBiH caraNa-pallavEH vilasitAsu,
   rajaniśeṣasuratapariśramavigalitakeśapāśadaradalitamālatīmālāparimalalubdhamukharamadhukaranikurumbapakṣānilapītanidāghajalaśīkarakaṇāsu,	raja-ni-Seza-surata-pariSrama-vigalita-keSa-pASa-dara-dalita-mAlatI-mAlA-parimala-lubDa-muKara-maDukara-nikurumba-pakza-anila-pIta-nidAGa-jala-SIkarak
   udvelladbhujavallījhaṇatkārasubhagāsu,	udvellat-Buja-vallI-JaNatkAra-suBagAsu,
   [nava]nakhapadadaṣṭakeśanirmokavedanākṛtasītkāravinirgatadugdhamugdhadaśanakiraṇacchaṭādhavalitabhogavāsāsu,	[nava]naKa-pada-dazwa-keSa-nirmoka-vedanA-kRta-sItkAra-vinirgata-dugDa-mugDa-daSana-kiraNa=-CawA-Davalita-Boga-vAsa-asu,
   punardarśanapṛcchāvidhurasakhījanānukṣaṇavīkṣyamāṇapriyatamāsu,	punar-darSana-pRcCA-viDura-saKI-jana-anukzaNa-vIkzyamANa-priyatamAsu,
   kṣaṇadāgatasuratavaiyātyavacanaśatasaṃsmārakagṛhaśukacāṭuvyāhṛtikṣaṇajanitamandākṣāsu,	kzaNadA-gata-surata-vEyAtya-vacana-Sata-saMsmAraka-gRha-Suka-cAwu-vyAhRti-kzaNa-janita-mandAkzAsu,
   śaradvāsaralakṣmīṣv iva nakhālaṅkṛtapayodharāsu, āsannamaraṇāsv iva	Sarad-vAsara-lakzmIzu iva naKa-alaFkRta-payoDarAsu, Asanna-maraNAsu iva
   jīviteśapurābhimukhīṣu, vasantavanarājiṣv ivotkalikābahulāsu, priyair	jIvita-ISa-pura-aBimuKIzu, vasantavana-rAjizu iva-utkalikA-bahulAsu, priyEH-
   āliṅgyamānāsu kāminīṣu, āndolitakusumakesare,	AliFgyamAnAsu kAminIzu, Andolita-kusuma-kesare,
   keśareṇumuṣiraṇitamadhukaramaṇīnāṃ ramaṇīnāṃ, vikacakumudākare mudākare	keSa-reNu-muzi-raNita-maDukaramaNInAm ramaNInAM, vikaca-kumudAkare mudAkare
   saṅgabhāji, priyavirahitāsu rahitāsu sukhena murmuram iva varṣati samantād	saFga-BAji, priya-virahitAsu rahitAsu suKena murmuram iva varzati samantAt-
   arpake darpakeṣu dahanasya, dūraprasāritakokapriyatamārute mārute vahati,	arpake darpakezu dahanasya, dUra-prasArita-koka-priyata-mArute mArute vahati,
   jaghanamadananagaratoraṇena, manmathamahānidhimandirakanakaprākāreṇa,	jaGana-madana-nagara-toraNena, manmaTa-mahA-niDi-mandira-kanaka-prAkAreNa,
   romalatālavālavalayena, gaganacandramaṇḍalapariveṣeṇa,	romala-tAla-vAla-valayena, gagana-candra-maNxala-parivezeNa,
   tribhuvanavijayapraśastiromāvalīkanakapatreṇa,	triBuvana-vijaya-praSasti-roma-AvalI-kanaka-patreNa,
   sakalajanahṛdayabandīnivāsaparikhāvalayena,	sakala-jana-hRdaya-bandI-nivAsa-pariKA-Avalayena,
   jagallocanavilāsaśalākāguṇeneva mekhalādāmnā parikalitajaghanasthalām,	jagat-locana-vilAsa-SalAkA-guNena-iva meKalA-dAmnA parikalita-jaGana-sTalAm,
   unnatapayodharabhārāntaritamukhadarśanāprāptikhedeneva	unnata-payoDara-BAra-antarita-muKa-darSana-aprApti-Kedena-iva
   gurunitambapayodharakumbhapīḍājanitāyāseneva, payodharakalaśayoḥ kathaṃ	guru-nitamba-payoDara-kumBa-pIxA-janita-AyAsena-iva, payoDara-kalaSayoH kaTam
   mayy eva pāto bhaviṣyatīti cintayeva, gṛhītagurukalatrānuśayeneva,	mayi eva pAtaH Bavizyati-iti cintayA-iva, gRhIta-guru-kalatra-anuSayena-iva,
   vidhātur atipīḍayato hastaparāmarśajanitaparikleśeneva kṣīṇataratām	viDAtuH atipIxayataH hasta-parAmarSa-janita-parikleSena-iva kzINatara-tAm
   upagatena madhyabhāgenālaṅkṛtām, anurāgaratnamayakanakaparuvakābhyāṃ	upagatena maDya-BAgena-alaFkRtAm, anurAga-ratna-maya-kanaka-paruvakAByAm
   cūcuka[mudrā]sanāthābhyām, atigurupariṇāhatayā patanabhayakhillitābhyām	cUcuka[mudrA]sanATAByAm, ati-guru-pariNAha-tayA patana-Baya-KillitAByAm
   iva cūcukacchalena vidhinā iva kīlitābhyāṃ,	iva cUcuka=-Calena viDinA iva kIlitAByAM,
   sakalāvayavaniṣiktaśeṣalāvaṇyayuktābhyāṃ, [hṛdaya]taṭākakamalābhyāṃ [iva]	sakala-avayava-nizikta-Seza-lAvaNya-yuktAByAn, [hRdaya]-tawAka-kamalAByAm [iva]
   hṛcchayacāturikāvibhramābhyāṃ, romāvalīlatāphalābhyāṃ,	hRcCaya-cAturikA-viBramAByAM, romAvalI-latA-PalAByAM,
   kandarpadarpavardhanavaśīkaraṇacūrṇapūrṇasamudrābhyāṃ,	kandarpa-darpa-varDana-vaSIkaraNa-cUrNa-pUrNa-samudrAByAM,
   aśeṣajanahṛdayapatanasañjātagauravābhyāṃ, saṃsāramahātaruphalābhyāṃ,	aSeza-jana-hRdaya-patana-saQjAta-gOravAByAn, saMsAra-mahA-taru-PalAByAM,
   yauvanamahāpādapaprasavābhyāṃ, hāralatāmṛṇālalobhanīyacakracākābhyāṃ,	yOvana-mahA-pAdapa-prasavAByAn, hAra-latA-mRNAla-loBanIya-cakra-cAkAByAM,
   hāralatāromāvalīsaṅgamavyājaprayāgataruphalābhyāṃ,	hAra-latA-roma-AvalI-saFgama-vyAja-prayAga-taru-PalAByAM,
