   caturthaḥ paricchedaḥ	caturTaH paricCedaH
   avivakṣitavācyasya bhedāvāha--	avivakzita-vAcyasya BedOvAha--
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, kha) lakṣaṇāmūlābhidhāmūlayoryathāsaṃkhyaṃ	(vi, Ka) lakzaNA-mUla-aBiDA-mUlayoH-yaTA-saMKyam
   svarūpamāha---avivaśriteti---vyācaṣṭe---tatreti /	sva-rUpa-mAha---a-vivaSrita-iti----vyAcazwe---tatra-iti /
        avivakṣitamiti---vācyāvivakṣāyāṃ	avivakzitam-iti---vAcya-avivakzAyAm
   bījamāha---bādhitasvarūpamiti---vācyatāvacchedakarūpeṇa vivakṣābhāvāt tena	bIjamAha---bADita-svarUpam-iti---vAcya-tAvacCedaka-rUpeNa vivakzA-BAvAt tena
   rūpeṇa bādho viśiṣṭābhāvarūpaḥ /	rUpeNa bADaH viSizwa-aBAva-rUpaH /
        tena ajahatsvārthātmikāyām upādānalakṣaṇāyāṃ vācyasyābādhe 'pi	tena ajahatsva-arTa-AtmikAyAm upAdAna-lakzaNAyAm vAcyasya-AbADe api
   vācyatāvacchedakarūpeṇa tadvādhaḥṣa jahatsvārthāyāṃ tu arthayoreva bādhaḥ	vAcya-tAvacCedaka-rUpeNa tat-vA-aDaHza jahatsva-arTAyAm tu arTayoH-eva bADaH
        vācyaṃ vivakṣitamiti---vācyatāvacchedakarūpeṇa bodhyam /	vAcyam vivakzitam-iti---vAcya-tAvacCedaka-rUpeNa boDyam /
        vyaṅgyaniṣṭhamiti---vyaṅgyaniṣṭhā tātparyaparyāptiryasya tādṛśam /	vyaFgyanizWam-iti---vyaFgi-a-nizWA tAtparyaparyAptiH-yasya tAdRSam /
        Locanā:	LocanA:
        (lo, ī) anyaparamiti kārikāpadārtho vyaṅgyaniṣṭamiti bhāvaḥ, vyaṅgye	(lo, I) anya-param-iti kArikA-padArTaH vyaFgya-nizwam-iti BAvaH, vyaFgye
   niṣṭātātparyaṃ yasya vācyārthasya, etena guṇībhūtavyaṅgyavyavacchedaḥ /	nizwAtAt-paryam yasya vAcya-arTasya, etena guNIBUta-vyaFgya-vyavacCedaH /
        atra hīti---ayamāśayaḥ, avivakṣitavācye lakṣyor'thaḥ svarūpaṃ	atra hi-iti----ayam-ASayaH, avivakzita-vAcye lakzyor-aTaH svarUpam
   prakāśayan vyaṅgyārthaṃ prakāśayati, tatra lakṣaṇāmūlā vyañjanā /	prakASayan vyaFgya-arTam prakASayati, tatra lakzaNA-mUlA vyaQjanAH /
        iha tu vācyor'thaḥ tathā ityabhidhāmūlā /	iha tu vAcyor-aTaH taTA iti-aBiDA-mUlAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   arthantaraṃ saṃkramite vācye 'tyantaṃ tiraskṛte /	arTantaram saMkramite vAcye atyantam tiraskRte /
   avivakṣitavācyo 'pi dhvanirdvaividhyamṛcchati // VisSd_4.3 //	avivakzita-vAcyaH api DvaniH-dvEviDyam-RcCati // VisSd-_4.3 //
   avivakṣitavācyo nāma dhvanirarthāntarasaṅkramitavācyo	avivakzita-vAcyaH nAma DvaniH-arTa-antara-saFkramita-vAcyaH-
   'tyantatiraskṛtavācyaśceti dvividhaḥ /	atyanta-tiraskRta-vAcyaH-ca-iti dviviDaH /
   yatra svayamanupayujyamāno mukhyor'thaḥ svaviśeṣarūper'thāntare	yatra svayam-anupayujyamAnaH muKyor-aTaH sva-viSeza-rUper-aTa-antare
   pariṇamati,	pariNamati,
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, u) saṃkamiti iti --- yogakākvādisāhāyyasūcanaṃ vācye iti	(lo, u) saMkam-iti iti -- yoga-kAkvAdi-sAhAyya-sUcanam vAcye iti
   kākākṣinyāyenobhayatra sambadhyate /	kAkAkzi-nyAyena-uBayatra sambaDyate /
        anupayujyamānatvamarthāt svarūpamātreṇa saṃkamite iti kārikāpadārthaḥ	anupayujyamAna-tvam-arTAt sva-rUpa-mAtreNa saMkamite iti kArikA-padArTaH
        pariṇamatīti---pariṇāmaśca tattvādaparicyutasya dharmiṇo	pariNama-ti-iti----pariNAmaH-ca tattvAt-aparicyutasya DarmiNaH-
   'vasthāntaragamanam /	avasTA-antara-gamanam /
        jāḍyādyatiśayaḥ svaśabdābhidhānālabhyaḥ /	jAxya-Adi-atiSayaH sva-Sabda-aBiDAna-AlaByaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   tatra mukhyārthasya	tatra muKya-arTasya
   svaviśeṣarūpārthāntarasaṃkramitatvādarthāntarasaṅkramitavācyatvam /	sva-viSeza-rUpa-arTa-antara-saMkramita-tvAt-arTa-antara-saFkramita-vAcya-tvam /
   yathā---	yaTA---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ga) bhedāvāheti---vācyer'ther'thāntaramavacchedakāntaraṃ	(vi, ga) Beda-AvAha-iti---vAcyer-aTer-aTa-antaram-avacCedaka-antaram
   saṃkramite prāpite arthādvoddhurjñāne ityarthaḥ /	saMkramite prApite arTAt-vodDuH-jQAne iti-arTaH /
        atyantaṃ tiraskṛta iti---vācyārthasyāvacchedakāntareṇāpi avivakṣaṇāt	atyantam tiraskRtaH iti---vAcya-arTasya-avacCedaka-antareNa-api avivakzaNAt-
   atyantaṃ tiraskāraḥ, tatrārthāntarasaṃkramitavācyaṃ	atyantam tiraskAraH, tatra-arTa-antara-saMkramita-vAcyam
   vyācaṣṭe---mukhyārthasyeti /	vyAcazwe----muKya-arTasya-iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "kadalī kadalī, karabhaḥ karabhaḥ, karirājakaraḥ karirājakaraḥ /	"kadalI kadalI, karaBaH karaBaH, kari-rAja-karaH kari-rAja-karaH /
   bhuvatritaye 'pi bibharti tulāmidamūruyugaṃ na camūrudṛśaḥ" //	Buvatritaye api biBarti tulAm-idam-Uru-yugam na camUrudRSaH" //
   atra dvitīyakadalyādiśabdāḥ paunaruktyabhiyā sāmānyakadalyādirūpe	atra dvitIya-kadalI-Adi-SabdAH pOnarukti-aBiyA sAmAnya-kadalI-Adi-rUpe
   mukhyārthe bādhitā jāḍyādiguṇaviśiṣṭakadalyādirūpamarthaṃ bodhayanti /	muKya-arTe bADitAH jAxya-Adi-guNa-viSizwa-kadalI-Adi-rUpam-arTam boDayanti /
   jāḍyādyatiśayaśca vyaṅgyaḥ /	jAxya-Adi-atiSayaH-ca vyaFgyaH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, gha) kadalī kadalītyādi /	(vi, Ga) kadalI kadalI-ityAdi /
        camūrudṛśaḥ hariṇekṣaṇāyāḥ ūruyugaṃ bhuvanatritaye 'pi kasyāpi tulāṃ	camUru-dRSaH hariNa-IkzaNAyAH Uru-yugam Buvana-tritaye api kasya-api tulAm
   sādṛśyaṃ na bibharttotyarthaḥ /	sAdRSyam na biBarttoti-arTaH /
        tathā ca tena kasyāpi sādṛśyādhāraṇāt ko 'pi tadupamānaṃ na	taTA ca tena kasya-api sAdRSya-ADAraNAt kaH api tad-upamAnam na
   astītyatrāha---kadalīti /	asti-iti-atra-Aha---kadalI-iti /
        kadalī rambhā karabhaḥ ūrvākāraḥ	kadalI ramBA karaBaH UrvAkAraH
   paṇipārśvabhāgaḥ"maṇibandhādākaniṣṭhaṃ karasya karabho bahiḥ "iti koṣāt /	paNi-pArSva-BAgaH"maNi-banDAt-Aka-nizWam karasya karaBaH bahis "iti kozAt /
        karirājasya hastiśreṣṭhasya karaḥ, suṇḍā, eṣu uddeśyeṣu	kari-rAjasya hasti-SrezWasya karaH, suNxA, ezu uddeSyezu
   dvitīyakadalyādipadānāṃ paunaruktyāt tadarthānāṃ vidheyatvāsambhavāt tāni	dvitIya-kadalI-Adi-padAnAm pOnaruktyAt tad-arTAnAm viDeya-tva-asamBavAt tAni
   padāni jāḍyādiviśiṣṭakadalyādiparāṇi /	padAni jAxya-Adi-viSizwa-kadalI-Adi-parANi /
        padebhyaḥ kadalyādyaṃśaprāptau jāḍyādivaiśiṣṭyamātre	padeByaH kadalI-Adi-aMSa-prAptO jAxya-Adi-vESizwya-mAtre
   dvitīyakadalyādiśabdānāṃ lakṣaṇā /	dvitIya-kadalI-Adi-SabdAnAm lakzaNA /
        tataḥ kadalī jāḍyā karabho 'śobhanaḥ karirājakaraḥ karkaśa ityarthaḥ	tatas kadalI jAxyA karaBaH aSoBanaH kari-rAja-karaH karkaSaH iti-arTaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yatra punaḥ svārthaṃ sarvathā parityajannarthāntare pariṇamati, tatra	yatra punar sva-arTam sarvaTA parityajan=-arTa-antare pariNamati, tatra
   mukhyārthasyātyantatiraskṛtatvādatyantatiraskṛtavācyatvam /	muKya-arTasya-atyanta-tiraskRta-tvAt-atyanta-tiraskRta-vAcya-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Locanā:	LocanA:
        (lo, ū) atyantatiraskṛta iti kārikāpadārthaṃ vivṛṇoti---yatra	(lo, U) atyanta-tiraskRtaH iti kArikA-padArTam vivRNoti---yatra
   punariti--atra pariṇamatītyupacārapadaprayogaḥ tena pravartate ityarthaḥ /	punar-iti--atra pariNamati-iti-upacAra-pada-prayogaH tena pravartate iti-arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   niḥśvāsāndha ivādarśaścandramā na prakāśate /	niHSvAsa-anDaH iva-AdarSaH-candramAH na prakASate /
   atrāndhaśabdo mukhyārthe bādhite 'prakāśarūpamarthaṃ bodhayati,	atra-anDa-SabdaH muKya-arTe bADite aprakASa-rUpam-arTam boDayati,
   aprakāśātiśayaśca vyaṅgyaḥ /	aprakASa-atiSayaH-ca vyaFgyaH /
   andhatvāprakāśatvayoḥ	anDatva-aprakASa-tvayoH
   sāmānyaviśeṣabhāvābhāvānnārthāntarasaṃkramitavācyatvam /	sAmAnya-viSeza-BAva-aBAvAt-na-arTa-antara-saMkramita-vAcya-tvam /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ṅa) niḥ śvāsāndha iti /	(vi, Fa) niH SvAsa-anDaH iti /
        niḥ śvāsena andhaḥ ādarśa iva candramā na prakāśate na dīpyate /	niH SvAsena anDaH AdarSe iva candramAH na prakASate na dIpyate /
        atrācetanasya ādarśasyāndhatvabādhāt lakṣyārthamāha--atreti /	atra-acetanasya AdarSasya-anDa-tva-bADAt lakzya-arTam-Aha--atra-iti /
        tathā ca niḥ śvāsena aprakāśa ādarśa ivetyarthaḥ /	taTA ca niH SvAsena aprakASaH AdarSaH iva-iti-arTaH /
        nanu śakyatāvacchedakabhinnena aprakāśatvena rūpeṇa bodhanāt kathaṃ	nanu Sakya-tA-avacCedaka-Binnena aprakASa-tvena rUpeNa boDanAt kaTam
   neyamarthāntarasakramitavācyalakṣaṇā ityata	na-iyam-arTa-antara-sakramita-vAcya-lakzaNAH iti-ata
   āha---andhatvāprakāśatvayoriti---śakyatāvacchedakaṃ sāmānyaṃ	Aha---anDa-tva-aprakASa-tvayoH-iti----Sakya-tA-avacCedakam sAmAnyam
   lakṣyatāvacchedakaṃ yadi tadviśeṣo bhavet tadā eva arthāntarasaṃkramiti	lakzya-tA-avacCedakam yadi tad-viSezaH Bavet tadA eva arTa-antara-saMkram-iti
   vācyalakṣaṇā /	vAcya-lakzaNA /
        yathā ghaṭapadasya nīlaghaṭapadatve atra tu	yaTA Gawa-padasya nIla-Gawa-pada-tve atra tu
   lakṣyatāvacchedakamaprakāśatvameva sāmānyam /	lakzya-tA-avacCeda-kam-aprakASa-tvam-eva sAmAnyam /
        andhatvameva tadviśeṣa iti ato na tathā iti bhāvaḥ /	anDa-tvam-eva tad-viSezaH iti atas na taTA iti BAvaH /
        idaṃ tu prāyikameva na sārvatrikaṃ "rāmo 'smi sarvaṃ sahe "ityatra	idam tu prAyikam-eva na sArvatrikam "rAmaH asmi sarvam sahe "iti-atra
   duḥ khasahiṣṇutvarāmatvayoḥ karabhaḥ karabhaḥ ityatra	duH Ka-sahizNu-tvarAma-tvayoH karaBaH karaBaH iti-atra
   śobhārāhityakarabhatvayośca tathātvābhāvāt /	SoBA-ArAhitya-karaBa-tvayoH-ca taTA-tva-aBAvAt /
        kintu atrāndhatvarūpasvārthaparityāgādeva na tathātvamiti bodhyam /	kintu atra-anDa-tva-rUpa-sva-arTa-parityAgAt-eva na taTAtvam-iti boDyam /
        Locanā:	LocanA:
        (lo, ṛ) andhatveti---ayamāśayaḥ, na hyatrārthasyāprakāśatvaṃ viśeṣaḥ,	(lo, R) anDatvA-iti---ayam-ASayaH, na hi-atra-arTasya-aprakASa-tvam viSezaH,
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yathā---	yaTA---
   bhaṇa dhammia vīsattho, so suṇao ajja mārio deṇa /	BaNa Dammia vIsatTo, saH suNaaH ajja mAriaH deNaH /
   golāṇaikacchakuḍaṅgavāsiṇā dariasīheṇa //	golANa-ekacCa-kuxaFga-vAsiNA dariasIheNa //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ca) bhama dhammia ityatrāpi viparīlakṣaṇābhramaṃ keṣāñcit	(vi, ca) Bama DammiaH iti-atra-api viparIlakzaNa-aBramam kezAQcid-
   nirasayitumāha---bhameti /	nirasayitum-Aha---BamA-iti /
        bhrama dhārmika viśvastaḥ sa śvādya māritastena /	Brama DArmika viSvastaH sa Sva-adya mAritaH-tena /
        godānadīkacchakuñcavāsinā dṛptasiṃhena //	godAnadI-ka=-CakuQca-vAsinA dRpta-siMhena //
        iti saṃskṛtam /	iti saMskRtam /
        godāvarī nadī tattīre kuñje kṛtaṃketāyāḥ tatraiva pratidinaṃ	godAvarI nadI tad-tIre kuQje kRtaMketAyAH tatra-eva pratidinam
   puṣpāvacayanena tatsaṃketabhañjakaṃ svapoṣitakukkuropadraveṇāpi anivṛttaṃ	puzpa-avacayanena tad-saMketa-BaQjakam sva-pozita-kukkura-upadraveNa-api anivRttam
   dhārmikaṃ prati utkirayam /	DArmikam prati utkirayam /
        sa śvā tava upadrāvakaḥ kukkuraḥ /	sa SvA tava upadrAvakaH kukkuraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   atra "bhrama dhārmika--" ityato bhramaṇasya vidhiḥ prakṛte	atra "Brama DArmika--" iti-atas BramaNasya viDiH prakRte
   'nupayujyamānatayā bhramaṇaniṣedhe paryavasyatīti viparītalakṣaṇāśaṅkāna	anupayujyamAna-tayA BramaNa-nizeDe paryavasyati-iti viparIta-lakzaNa-ASaFkAna
   kāryā /	kAryA /
   yatra khalu vidhiniṣaidhāvutpatsyamānāveva niṣadhavidhyoḥ	yatra Kalu viDi-nizEDO=-utpatsyamAnO=-eva nizaDa-viDyoH
   paryavasyatastatraiva tadavasaraḥ /	paryavasyataH-tatra-eva tad-avasaraH /
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, cha) bhramaṇavidhiḥ prakṛte anupapadyamānatayā	(vi, Ca) BramaNa-viDiH prakRte anupapadyamAna-tayA
   iti---siṃhavattvena kathite svasaṃketasthale bhramaṇopadeśasya	iti---siMhavat-tvena kaTite sva-saMketa-sTale BramaNa-upadeSasya
   bādhitārthakatvāt nivṛttīcchayā uktavākyasya pravarttakatvānupapatteśca	bADita-arTaka-tvAt nivRtti-icCayA ukta-vAkyasya pravarttaka-tva-anupapatteH-ca
   niṣedhe paryavasyatīti viparītalakṣaṇayeti śeṣaḥ /	nizeDe paryavasyati-iti viparIta-lakzaNayA-iti SezaH /
        utpadyamānāveveti---vākyārthabodhotpattidaśāyāma eva ityarthaḥ /	utpadyamAnO=-eva-iti----vAkya-arTa-boDa-utpatti-daSa-AyAmaH eva iti-arTaH /
        taddaśāyāṃ kvacit vidhiḥ niṣedhe kvacit niṣedho vidhau	tad-daSAyAm kvacid viDiH nizeDe kvacid nizeDaH viDO
   paryavasyatītyarthaḥ /	paryavasyati-iti-arTaH /
        tatra taddaśāyāṃ vidheḥ niṣedhe paryavasānaṃ yathā--- aunnidṣaṃ	tatra tad-daSAyAm viDeH nizeDe paryavasAnam yaTA-- Onnidzam
   daurbalyaṃ cintālasatvaṃ saniḥ śvasitam /	dOrbalyam cintA-Ala-satvam saniH Svasitam /
        mama mandabhāginyāḥ kṛte sakhi tvāmapi paribhavati //	mama mandaBAginyAH kRte saKi tvAm-api pariBavati //
        ityatra nāyikāyāḥ solluṇṭhavākye mama kṛte iti vidheḥ na mama kṛte	iti-atra nAyikAyAH sa-ulluNWa-vAkye mama kRte iti viDeH na mama kRte
   iti lakṣaṇayā paryavasānam /	iti lakzaNayA paryavasAnam /
        niṣedhasya vidhau paryavasānaṃ yathā---"mā pathika rātryandha	nizeDasya viDO paryavasAnam yaTA---"mA paTika rAtrI-anDa
   śayyāyāmāvayornimaṅkṣāsi "iti svayaṃ dūtikāyā uktau svaśayyāyāṃ	SayyAyAm-AvayoH-nimaFkzA-asi "iti svayam dUtikAyAH uktO sva-SayyAyAm
   gamananiṣedhasya svaśayyāyāmāgamanavidhau lakṣaṇayā paryavasānam /	gamana-nizeDasya sva-SayyAyAm-Agamana-viDO lakzaNayA paryavasAnam /
        yattu niḥ śeṣacyutacandanamityādāvapi tadantikagamananiṣedhasya	yat-tu niH Seza-cyutacandanam-iti-AdO=-api tad-antika-gamana-nizeDasya
   tadantikagamanavidhau lakṣaṇayā paryavasānamiti granthakṛtā pūrvamuktaṃ	tad-antika-gamana-viDO lakzaNayA paryavasAnam-iti granTa-kRtA pUrvam-uktam
   tanna ruciram, tatra bhrama dhārmika ityādāviva prathamaṃ	tat-na ruciram, tatra Brama DArmikaH iti-AdO=-iva praTamam
   vācyaniṣedhasyaiva bodhāt	vAcya-nizeDasya-eva boDAt-
   uttarakālamevādhamatvokteścyutanirmṛṣṭapadagrīṣmakālapulakakathanāt	uttara-kAlam-eva-ADamatva-ukteH-cyuta-nirmRzwa-pada-grIzma-kAla-pulaka-kaTanAt
   tātparyaparyālocanayā eva tadantikagamanavidheḥ vyañjanayaiva	tAtparya-paryAlocanayA eva tad-antika-gamana-viDeH vyaQjanayA-eva
   pratīyamānatvāt /	pratIyamAna-tvAt /
        ata eva kāvyaprakāśakṛtā tatra tadantikagamanavidheḥ	atas eva kAvya-prakASa-kRtA tatra tad-antika-gamana-viDeH
   vyaṅgyatvamevoktam /	vyaFgya-tvam-eva-uktam /
        Locanā:	LocanA:
        (lo, ṝ)	(lo, L)
   utpatsyamānāveveti--anantaramanupapadyamānānvayasiddhyarthamiti śeṣaḥ /	utpatsyamAnO=-eva-iti--anantaram-anupapadyamAna-anvaya-sidDi-arTam-iti SezaH /
        tadavasarastasyā viparītalakṣaṇāyā avasaraḥ /	tad-avasaraH-tasyAH viparIta-lakzaNAyAH avasaraH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   yatra punaḥ prakaraṇādiparyālocanena vidhiniṣadhayorniṣedhavidhī	yatra punar prakaraNa-Adi-paryAlocanena viDi-nizaDayoH-nizeDa-viDI
   avagamyete tatra dhvanitvameva /	avagamyete tatra Dvani-tvam-eva /
   taduktam ---	tat-uktam ---
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, ja) tatra dhvanitvameveti---vyaṅgyatvamevetyarthaḥ, na tu	(vi, ja) tatra Dvani-tvam-eva-iti---vyaFgya-tvam-eva-iti-arTaH, na tu
   lakṣyatvamevetyarthaḥ /	lakzya-tvam-eva-iti-arTaH /
        dhvanikāvyaṃ tu gamanalakṣaṇāyāmapi ramaṇavyañjanayā avihatameva /	Dvani-kAvyam tu gamana-lakzaNAyAm-api ramaNa-vyaQjanayA avihatam-eva /
        tadvat ihāpi prathamaṃ bhramaṇavidhiḥ śaktyaiva pratīyate /	tadvat iha-api praTamam BramaNa-viDiH SaktyA-eva pratIyate /
        paścādeva tasyāḥ kulaṭātvasya prakaraṇādinā pratītau bhramaṇaniṣedho	paScAt-eva tasyAH kulawAtu-asya prakaraNa-AdinA pratItO BramaNa-nizeDaH-
   vyañjanayaiva pratīyate, ityato 'tra viparītalakṣaṇāśaṅkā na kāryā	vyaQjanayA-eva pratIyate, iti-atas atra viparIta-lakzaNa-ASaFkA na kAryA
   ityarthaḥ /	iti-arTaH /
        Locanā:	LocanA:
        (lo, ḷ) vidhiniṣedhayorityatra pūrvamanvayānupapattyā	(lo, ?) viDi-nizeDayoH-iti-atra pUrvam-anvaya-anupapattyA
   paryavasitayoriti pūraṇīyam /	paryavasitayoH-iti pUraNIyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa-aRY **********
   "kvacidvādhyatayā khyātiḥ kvacit khyātasya bādhanam /	"kvacid-vADya-tayA KyAtiH kvacid KyAtasya bADanam /
   pūrvatra lakṣaṇaiva syāduttaratrābhidhaiva tu" //	pUrvatra lakzaNA-eva syAt-uttaratra-aBiDA-eva tu" //
        ************* COMMENTARY *************	************* SOMMENTa-aRY *************
        Vijñapriyā:	VijQa-priyA:
        (vi, jha) kvacit bādhyatayeti---khyātiḥ pratītiḥ /	(vi, Ja) kvacid bADyatayA-iti---KyAtiH pratItiH /
        yathā gaṅgāyāṃ ghoṣa ityādau ghoṣanivāsasya yathā vā "upakṛtaṃ bahu	yaTA gaFgAyAm GozaH ityAdO Goza-nivAsasya yaTA vA "upakRtam bahu
   tatra kimucyate "ityapakāriṇaṃ pratyuktvā upakārasya ca prathamameva	tatra kim-ucyate "iti-apakAriNam pratyuktvA upakArasya ca praTamam-eva
   bādhyatayā khyātiḥ /	bADya-tayA KyAtiH /
        kvacit khyātasyeti---prathamaṃ pratītasya ityarthaḥ /	kvacid KyAtasya-iti----praTamam pratItasya iti-arTaH /
        yathātraiva śloke, niḥ śeṣetyādau ca /	yaTA-atra-eva Sloke, niH Seza-ityAdO ca /
        uttaratra abhidhaiva tu ityuktyā niṣedhavidhyostu vyaṅgyatvameveti	uttaratra aBiDA-eva tu iti-uktyA nizeDa-viDyoH-tu vyaFgya-tvam-eva-iti
   darśitam /	darSitam /
        Locanā:	LocanA:
        (lo, e) kvaciditi---atrottaram abhidheva tvitivacanam /	(lo, e) kvacid-iti---atra-uttaram aBiDA-iva tu-iti-vacanam /
        yatparaḥ śabdaḥ sa śabdārtha iti vyaṅgyārthasyāpyabhidhāne	yat-paraH SabdaH sa Sabda-arTaH iti vyaFgya-arTasya-api-aBiDAne
   yatparatvena khyātasya bādhane 'pyabhidhāvyāpārasvīkārīt /	yat-paratvena KyAtasya bADane api-aBiDAvya-apAra-svIkArIt /
        etattvagre nirākariṣyate /	etat-tu-agre nirAkarizyate /
