   sāṃkhyasaptatiṭīkā jayamaṅgalā //	sAMKya-saptatiwIkA jaya-maFgalAH //
   / yatkāmakrodhaśokādibhiḥ manasi duḥkhaṃ tanmānasam /	/ yad-kAma-kroDa-Soka-AdiBiH manasi duHKam tat-mAnasam /
   yanmānuṣapaśumṛgapakṣisarīsṛpasthāvarānyadhikṛtya bhavati tadādhibhautikam	yat-mAnuza-paSu-mRga-pakzi-sarIsRpa-sTAvarAni-aDikRtya Bavati tad-ADiBOtikam
   / yaccharīre grahāveśādīni daivānyadhikṛtya bhavati tadādhidaivikamiti /	/ yat-SarIre graha-AveSa-AdIni dEvAni-aDikRtya Bavati tadA-aDidEvikam-iti /
   etadduḥkhatrayam / tenābhighātātpīḍanāddhetorjijñāsā jñātumicchā bhavati	etad-duHKa-trayam / tena-aBiGAtAt-pIxanAt-hetoH-jijQAsA jQAtum-icCA Bavati
   kasmin viṣaya ityāha- 'tadavaghātake hetau'; iti /	kasmin vizayaH iti-Aha atadavaGAtake hetO-a; iti /
   avaghātayatyapanayatītyavaghātakaḥ / tasya	avaGAtayati-apanayati-iti-avaGAtakaH / tasya
   duḥkhatrayasyāvaghātakastadavaghātakaḥ / tṛjakābhyāṃ	duHKa-trayasya-avaGAtakaH-tad-avaGAtakaH / tRjakAByAm
   ṣaṣṭhīsamāsapratiṣedhaḥ, 'tatprayojako hetuśca'; iti na bhavati / kena	zazWI-samAsa-pratizeDaH, atad-prayojakaH hetuH-ca-a; iti na Bavati / kena
   khalvimāni duḥkhānyutpadyanta iti tadavaghātako heturjijñāsyo bhavati /	Kalu-imAni duHKAni-utpadyante iti tad-avaGAtakaH hetuH-jijQAsyaH Bavati /
   duḥkhavānahametatpratīkāramanveṣayāmīti prāyovādaḥ / sa ca	duHKavAn-aham-etat-pratIkAram-anvezayAmi-iti prAyovAdaH / sa ca
   pañcaviṃśatitattvajñānānnānya iti manasi vartate //	paQcaviMSati-tattva-jQAnAt-na-anyaH iti manasi vartate //
   'dṛṣṭe sā 'pārthā cet'; iti / syādetat yadi dṛṣṭastadavaghātako heturna	adRzwe sA apArTA ced-a; iti / syAt-etat yadi dRzwaH-tad-avaGAtakaH hetuH-na
   syāt / yāvadādhyātmikasya śārīraduḥkhasyāpanayane cikitsāśāstravihita	syAt / yAvat-ADyAtmikasya SArIra-duHKasya-apanayane cikitsA-SAstra-vihita
   evopāyo 'sti, mānasasyāpi saṃkhyānabalaṃ ramyāśca śabdādayo viṣayāḥ /	eva-upAyaH asti, mAnasasya-api saMKyAna-balam ramyAH-ca Sabda-AdayaH vizayAH /
   ādhibhautikādhidaivikayorapi, avaghātaheturanuṣṭhīyamāno loka eva dṛśyate,	ADiBOtika-ADidEvikayoH-api, avaGAta-hetuH-anuzWIyamAnaH loke eva dRSyate,
   tayoḥ satpratipakṣatvāt / tatrādhidaivikasya	tayoH sat-pratipakza-tvAt / tatra-ADidEvikasya
   sāmadāmabhedadaṇḍopāyaghaṭitārambhāḥ / ādhibhautikasyāpi	sAma-dAma-Beda-daNxa-upAya-Gawita-AramBAH / ADiBOtikasya-api
   nipātapratipātasaṃvṛtapradeśāśrayaṇādayaḥ //	nipAta-pratipAta-saMvRta-pradeSa-ASrayaNa-AdayaH //
   tataśca dṛṣṭe hetau sati jijñāsā 'smin viṣaye nirarthaketyāśaṅkyāha-	tatas-ca dRzwe hetO sati jijQAsA asmin vizaye nirarTaka-iti-ASaFkya-Aha-
   'naikāntātyantato 'bhāvāt'; iti / nā 'pārthā, sārthikaiva / kutaḥ-	anEkAnta-atyantataH aBAvAt-a; iti / nA apArTA, sArTikA-eva / kutas--
   ekāntataḥ ekāntātyantato 'bhāvādapi / ekāntenātyantena ca	ekAntataH ekAnta-atyantataH aBAvAt-api / ekAntena-atyantena ca
   duḥkhābhāvasyābhāvādityarthaḥ / dṛṣṭe hyupāye kriyamāṇe 'pi	duHKa-aBAvasya-aBAvAt-iti-arTaH / dRzwe hi-upAye kriyamANe api
   keṣāṃcidduḥkhatrayaṃ bhavatyeveti naikāntenopaśamaḥ / kathaṃcidupaśame	kezAMcid-duHKa-trayam Bavati-eva-iti na-ekAntena-upaSamaH / kaTaMcid-upaSame
   punarutpādanāt nātyantenopaśamaḥ / tasmādaikāntikātyantikaduḥkhopaśamāya	punar-utpAdanAt na-atyantena-upaSamaH / tasmAt-EkAntika-Atyantika-duHKa-upaSamAya
   jijñāsā yukteti // 1 //	jijQAsA yuktA-iti // 1 //
   kārikā 2	kArikA 2
   yadyevamaikāntikātyantikaduḥkhopaśamaheturvavedavihito 'sti / tathā cāha-	yadi-evam-EkAntika-Atyantika-duHKa-upaSama-hetuH-vaveda-vihitaH asti / taTA ca-Aha-
   aṇama somamamṛtā abhūmāganma jyotiravidāma devān /	aNama somam-amRtAH aBUma-aganma jyotiH-avidAma devAn /
   kimasmān kṛṇavadarātiḥ kimu dhūrttiramṛtamartyasya // iti //	kim-asmAn kRNava-t-arAtiH kimu DUrttiH-amRta-martyasya // iti //
   asyāyamarthaḥ- indro devanāmapaṇḍitānāha 'divyāḥ kimanyatsukhamasti'; iti	asya-ayam-arTaH indraH deva-nAma-paNxitAn-Aha adivyAH kim-anyat-suKam-asti-a; iti
   / te tamāhuḥ 'nāsti'; iti / somamapāma, somaṃ pītavanto vayam / tato 'mṛtā	/ te tam-AhuH anAsti-a; iti / somam-apAma, somam pItavantaH vayam / tatas amRtA
   abhūma, vyapagatamṛtyavo jātāḥ / 'aganma jyotiḥ'; iti / jyotiḥ svargo	aBUma, vyapagata-mRtyavaH jAtAH / aaganma jyotiH-a; iti / jyotiH svargaH-
   'yam, taṃ prāptā vayam / 'avidāma devān'; iti / iyanto devā asmin svarga	ayam, tam prAptAH vayam / aavidAma devAn-a; iti / iyantaH devAH asmin svarga
   iti jñātavantaḥ jñānamasmākamutpannamityarthaḥ / 'kimasmān kṛṇavat'; iti /	iti jQAtavantaH jQAnam-asmAkam-utpannam-iti-arTaH / akim-asmAn kRNavat-a; iti /
   kṛṇavanmṛtyurucyate / asmān somapānān kiṃ mṛtyuḥ kariṣyate / arātiḥ	kRNavat-mRtyuH-ucyate / asmAn soma-pAnAn kim mRtyuH karizyate / arAtiH
   vyādhiḥ so 'pi, dhūratirjarā sāpi cāsmākaṃ kiṃ kariṣyati /	vyADiH saH api, DUratiH-jarA sA-api ca-asmAkam kim karizyati /
   'amṛtamartyasya'; iti / tasmāt somapānādduḥkhopaśamaheturastītyasmin	aamRta-martyasya-a; iti / tasmAt soma-pAnAt-duHKa-upaSama-hetuH-asti-iti-asmin
   pūrvapakṣe -	pUrva-pakze -
   dṛṣṭavadānuśravikaḥ sa hyaviśuddhikṣayātiśayayuktaḥ	dRzwa-vat-AnuSravikaH sa hi-aviSudDi-kzaya-atiSaya-yuktaH
   tadviparītaḥ śreyān vyaktāvyaktajñavijñānāt // ISk_2 //	tad-viparItaH SreyAn vyakta-avyakta-jQa-vijQAnAt // ISc-_2 //
   'dṛṣṭavadānuśravikaḥ'; ityādi / anuśrūyate pāramparyeṇetyanuśravo vedaḥ	adRzwa-vat-AnuSravikaH-a; ityAdi / anuSrUyate pAramparyeNa-iti-anuSravaH vedaH
   śruvaḥ 'ṛdorap'; / tatra bhavo heturānuśravikaḥ / adhyātmādiḥ / dṛṣṭena	SruvaH aRdoH-ap-a; / tatra BavaH hetuH-AnuSravikaH / aDyAtma-AdiH / dRzwena
   tulyo dṛṣṭavat / tasyāpi doṣadarśanāt //	tulyaH dRzwa-vat / tasya-api doza-darSanAt //
   yadāha - 'sa hyaviśuddhikṣayātiśayayuktaḥ'; iti / yasmādānuśraviko	yat-Aha  asa hi-aviSudDi-kzaya-atiSaya-yuktaH-a; iti / yasmAt-AnuSravikaH-
   heturaviśuddhyādibhistribhirdoṣairyuktaḥ / tatrāgnihotrādau paśuvyāpādanāt	hetuH-aviSudDi-AdiBiH-triBiH-dozEH-yuktaH / tatra-agni-hotra-AdO paSu-vyApAdanAt-
   somapānādaviśuddhiyuktaḥ / karmakṣayāt svargacyutiriti kṣayayuktaḥ / tathā	soma-pAnAt-aviSudDi-yuktaH / karma-kzayAt svargacyutiH-iti kzaya-yuktaH / taTA
   cāhuḥ - 'bahūnīndrasahasrāṇi vyatītāni yuge yuge'; iti / 'sa hi deveṣvapi	ca-AhuH  abahUni-indra-sahasrANi vyatItAni yuge yuge-a; iti / asa hi devezu-api
   devo daridrāti'; iti / 'īśvaraṃ dṛṣṭvā mahad duḥkhamutpadyate';	devaH daridra-ati-a; iti / aISvaram dRzwvA mahat duHKam-utpadyate-a;
   ityatiśayayuktaḥ / tathāhi- yaḥ kratuśatena yajate tasya mahadaiśvaryam,	iti-atiSaya-yuktaH / taTA-hi yaH kratu-Satena yajate tasya mahat-ESvaryam,
   yo dvābhyāṃ tribhirvā tasyālpamiti / tasmādānuśraviko 'pi	yaH dvAByAm triBiH-vA tasya-alpam-iti / tasmAt-AnuSravikaH api
   dṛṣṭavatparityājyaḥ //	dRzwa-vat-parityAjyaH //
   kastarhi śreyānityāha- 'tadviparītaḥ śreyān'; iti / dṛṣṭānuśravikadvārā yo	kaH-tarhi SreyA-aniti-Aha atad-viparItaH SreyAn-a; iti / dRzwa-AnuSravika-dvArAH yaH-
   viparītaḥ tattvajñānākhyaḥ sa śreyān / tasya akaivalyaprāpakatvāt /	viparItaH tattva-jQAna-AKyaH sa SreyAn / tasya akEvalya-prApaka-tvAt /
   tatraikāntātyantato 'bhāvāddṛṣṭācchreyān / śarīrahānāddhi śuddhaphalaḥ,	tatra-ekAnta-atyantataH aBAvAt-dRzwAt-SreyAn / SarIra-hAnAt-hi SudDaPalaH,
   prakṛtihānādakṣayaphalaḥ, anuttaratvācca niratiśayaphala	prakRti-hAnAt-akzaya-PalaH, anuttara-tvAt-ca niratiSaya-Pala
   ityānuśravikācchreyān //	iti-AnuSravikAt-SreyAn //
   sa kathaṃ procyata ityatrāha 'vyaktāvyaktajñavijñānāt'; iti / rāśitrayeṇa	sa kaTam procyate iti-atra-Aha avyakta-avyakta-jQa-vijQAnAt-a; iti / rASi-trayeNa
   pañcaviṃśatitattvāni kathyante / tatra mahadādibhūtaparyantaṃ	paQcaviMSati-tattvAni kaTyante / tatra mahat-Adi-BUta-paryantam
   trayoviṃśatiprakāraṃ vyaktamucyate, tena rūpeṇa pradhānasya vyaktatvāt /	trayoviMSati-prakAram vyaktam-ucyate, tena rUpeNa praDAnasya vyakta-tvAt /
   avyaktaṃ pradhānam, kenacidrūpeṇāvyaktatvāt / jānātīti jñaḥ puruṣaḥ / teṣu	avyaktam praDAnam, kenacid-rUpeNa-avyakta-tvAt / jAnAti-iti jQaH puruzaH / tezu
   yadvijñānaṃ svarūpaparicchedaḥ, tasmāt prāpyata ityarthaḥ / tanvādi hi	yat-vijQAnam svarUpa-paricCedaH, tasmAt prApyate iti-arTaH / tanu-Adi hi
   paricchidya tadabhyāsāduttarakālaṃ prakṛtipuruṣāntarajñānamutpadyate,	paricCidya tad-aByAsAt-uttara-kAlam prakRti-puruza-antara-jQAnam-utpadyate,
   tataśca kaivalyamiti / asyā āryāyā vakṣyamāṇā yāḥ, sarvā evārthena	tatas-ca kEvalyam-iti / asyAH AryAyAH vakzyamANAH yAH, sarvAH eva-arTena
   bhāṣyasthānīyā draṣṭavyāḥ // 2 //	BAzya-sTAnIyAH drazwavyAH // 2 //
   kārikā 3	kArikA 3
   tatraiṣāṃ vyaktādīnāmutpādābhyāṃ svarūpamāha-	tatra-ezAm vyakta-AdInAm-utpAdAByAm svarUpam-Aha-
   mūlaprakṛtiravikṛtirmahadādyāḥ prakṛtivikṛtayaḥ sapta /	mUlaprakRtiH-avikRtiH-mahat-AdyAH prakRti-vikRtayaH sapta /
   ṣoḍaśakastu vikāro, na prakṛtirna vikṛtiḥ puruṣaḥ // ISk_3 //	zoxaSakaH-tu vikAro, na prakRtiH-na vikRtiH puruzaH // ISc-_3 //
   'mūlaprakṛtiḥ'; ityādi / prakṛtiḥ pradhānam / prakriyata utpadyate	amUla-prakRtiH-a; ityAdi / prakRtiH praDAnam / prakriyate utpadyate
   pradhānāt asyā iti prakṛtiḥ / mūlaṃ ca tatprakṛtiśceti mūlaprakṛtiḥ /	praDAnAt asyAH iti prakRtiH / mUlam ca tat-prakRtiH-ca-iti mUlaprakRtiH /
   saptānāṃ prakṛtīnāṃ mūlamādyaṃ kāraṇamityarthaḥ //	saptAnAm prakRtInAm mUlam-Adyam kAraNam-iti-arTaH //
   'avikṛtiḥ'; iti / na vikriyata ityavikṛtiḥ / na kutaścidutpādyata	aavikRtiH-a; iti / na vikriyate iti-avikRtiH / na kutaScid-utpAdyata
   ityarthaḥ / etatprathamaṃ tattvam //	iti-arTaH / etat-praTamam tattvam //
   'mahadādyāḥ prakṛtivikṛtayaḥ sapta'; iti / mahān buddhissa ādyo yāsāṃ	amahat-AdyAH prakRti-vikRtayaH sapta-a; iti / mahAn budDiH-saH AdyaH yAsAm
   prakṛtīnāṃ tāstathoktāḥ / prakṛtayaśca vikṛtayaśceti prakṛtivikṛtayaḥ /	prakRtInAm tAH-taTA-uktAH / prakRtayaH-ca vikRtayaH-ca-iti prakRti-vikRtayaH /
   tatra mahānahaṅkāraṃ janayan prakṛtiḥ, mahata utpadyamāno vikṛtiḥ /	tatra mahAn-ahaFkAram janayan prakRtiH, mahataH utpadyamAnaH vikRtiH /
   tanmātrāṇi śabdasparśarūparasagandhāḥ pañca	tanmAtrANi Sabda-sparSa-rUpa-rasa-ganDAH paQca
   yathākramamākāśavāyvagnyudakapṛthivyākhyāni bhūtāni janayantaḥ prakṛtayaḥ,	yaTAkramam-AkASa-vAyu-agni-udaka-pRTivI-AKyAni BUtAni janayantaH prakRtayaH,
   ahaṅkārādutpadyamānā vikṛtayaḥ / ityetāni sapta tattvāni //	ahaFkArAt-utpadyamAnAH vikRtayaH / iti-etAni sapta tattvAni //
   'ṣoḍaśakaśca vikāraḥ'; iti / ṣoḍaśa parimāṇamasyeti ṣoḍaśakaḥ / pañca	azoxaSakaH-ca vikAraH-a; iti / zoxaSa parimANam-asya-iti zoxaSakaH / paQca
   buddhīndriyāṇi, pañca karmendriyāṇi, manaścetyekādaśendriyāṇi, pañca	budDIndriyANi, paQca karmendriyANi, manaH-ca-iti-ekAdaSa-indriyANi, paQca
   mahābhūtānītyayaṃ ṣoḍaśako gaṇaḥ / cakāra evakārārthaḥ / vikāro vikṛtireva	mahABUtAni-iti-ayam zoxaSakaH gaNaH / cakAraH eva-kAra-arTaH / vikAraH vikRtiH-eva
   / (nāsmāt kiñcidutpadyata ityarthaḥ / etāni ṣoḍaśa tattvāni) /	/ (na-asmAt kiQcid-utpadyate iti-arTaH / etAni zoxaSa tattva-ani) /
   'na prakṛtirna vikṛtiḥ puruṣaḥ'; iti / puraṃ śarīraṃ tasmin vasatīti	ana prakRtiH-na vikRtiH puruzaH-a; iti / puram SarIram tasmin vasati-iti
   puruṣaḥ / nairukto 'travidhiḥ / tasmānna kiñcidutpadyata iti na prakṛtiḥ,	puruzaH / nEruktaH atra-viDiH / tasmAt-na kiQcid-utpadyate iti na prakRtiH,
   niṣkriyatvāt / nāpyayaṃ kutaścidutpadyata iti na vikṛtiḥ, anāditvāt // 3	nizkriya-tvAt / na-api-ayam kutaScid-utpadyate iti na vikRtiH, anAdi-tvAt // 3
   kārikā 4	kArikA 4
   eṣāṃ vyaktādīnāṃ siddhau pramāṇānyāha-	ezAm vyakta-AdInAm sidDO pramANAni-Aha-
   dṛṣṭamanumānamāptavacanaṃ ca, sarvapramāṇasiddhatvāt /	dRzwam-anumAnam-Apta-vacanam ca, sarva-pramANa-sidDa-tvAt /
   trividhaṃ pramāṇamiṣṭaṃ, prameyasiddhiḥ pramāṇāddhi // ISk_4 //	triviDam pramANam-izwaM, prameya-sidDiH pramANAt-hi // ISc-_4 //
   'dṛṣṭam'; ityādi / dṛṣṭaṃ pratyakṣam / anumīyate yena tadanumānam / āptaḥ	adRzwam-a; ityAdi / dRzwam pratyakzam / anumIyate yena tad-anumAnam / AptaH
   kṣīṇadoṣastena yaducyate tadāptavacanam / āgamaḥ / etat trividhaṃ	kzINa-dozaH-tena yat-ucyate tad-Apta-vacanam / AgamaH / etat triviDam
   pramāṇamiṣṭam //	pramANam-izwam //
   nanu cānyānyapi pratibhādīni pramāṇāni santi tadyathā-	nanu ca-anyAni-api pratiBA-AdIni pramANAni santi tat-yaTA-
   pratibhaupamyamaitihāsamabhāvassambhavastathā /	pratiBA-Opamyam-EtihAsam-aBAva-ssamBavaH-taTA /
   arthāpattiritīmāni pramāṇānyapare jaguḥ // iti //	arTApattiH-iti-imAni pramANAni-apare jaguH // iti //
   asmin pūrvapakṣa āha- 'sarvapramāṇasiddhatvāt'; iti / sarveṣāṃ	asmin pUrva-pakzaH Aha- asarva-pramANa-sidDa-tvAt-a; iti / sarvezAm
   pratibhādīnāṃ pramāṇānāṃ siddhatvāt, trividha evāntarbhāvādityarthaḥ /	pratiBA-AdInAm pramANAnAm sidDa-tvAt, triviDaH eva-antarBAvAt-iti-arTaH /
   tatra grāme nagare vā vartata iti pratibhotpannā / tatra yadā	tatra grAme nagare vA vartate iti pratiBA-utpannA / tatra yadA
   kṣīṇadoṣasya, tadābhijñaprāptatvāt pratyakṣameva / tasyākṣīṇadoṣasya	kzINa-dozasya, tadA-aBijQa-prApta-tvAt pratyakzam-eva / tasya-akzINa-dozasya
   vitathatvādapramāṇam / yāpyarthāvisaṃvādinī kādācitkā, sāpi kādācitkādeva	vitaTa-tvAt-apramANam / yA-api-arTa-avisaMvAdinI kAdAcid-kA, sA-api kAdAcid-kAt-eva
   nimittādutpadyamānānumānameva na pramāṇāntaram / 'gauriva gavayaḥ';	nimittAt-utpadyamAna-anumAnam-eva na pramANa-antaram / agOH-iva gavayaH-a;
   ityaupamyam / tatra gavayamajānānaḥ kaścidāptaṃ pṛcchati 'kīdṛśo gavayaḥ',	iti-Opamyam / tatra gavayam-ajAnAnaH kaScid-Aptam pRcCati akIdRSaH gavayaH-a,
   iti / sa tamāha- 'yādṛśo gaustādṛśo gavayaḥ'; iti / tadetadāptavacanameva	iti / sa tam-Aha ayAdRSaH gOH-tAdRSaH gavayaH-a; iti / tat-etat-Apta-vacanam-eva
   na pramāṇāntaram / yadāpi labdhopadeśo gavayaṃ paśyati, tadāpi gavi	na pramANa-antaram / yadA-api labDa-upadeSaH gavayam paSyati, tadA-api gavi
   dṛṣṭenaiva viṣāṇādinā liṅgena gavayasya vyavahāraṃ	dRzwena-eva vizANa-AdinA liFgena gavayasya vyavahAram
   pravartayatītyanumānameva na pramāṇāntaram / 'itiha vai vaiśravaṇaḥ';	pravartayati-iti-anumAnam-eva na pramANa-antaram / aitiha vE vESravaNaH-a;
   ityaitihyam / etadāptavacanameva na pramāṇāntaram / 'itiha'; iti	iti-Etihyam / etat-Apta-vacanam-eva na pramANa-antaram / aitiha-a; iti
   nipātasamudāya upadeśapāramparye vartete / itiha evaitihyam / svārthe yañ	nipAta-samudAya upadeSa-pAramparye vartete / itiha eva-Etihyam / sva-arTe yaQ
   / 'nāstīha ghaṭo 'nupalambhāt'; ityabhāvaḥ / tatra ghaṭaśūnyapradeśa eva	/ anAsti-iha GawaH anupalamBAt-a; iti-aBAvaH / tatra Gawa-SUnya-pradeSaH eva
   ghaṭābhāvaḥ, sa ca pratyakṣapramāṇasiddhatvānna pramāṇāntaram / 'māṣaḥ	Gawa-aBAvaH, sa ca pratyakza-pramANa-sidDa-tvAt-na pramANa-antaram / amAzaH
   prastha ityukte catvāraḥ kuḍapā itīdamapi sambhavati'; ityayaṃ sambhavaḥ /	prasTaH iti-ukte catvAraH kuxapAH iti-idam-api samBavati-a; iti-ayam samBavaH /
   tatra samudāyaliṅgāvayavaliṅginaḥ paricchedādanumānameva /	tatra samudAya-liFga-avayava-liFginaH paricCedAt-anumAnam-eva /
   avayavaissamudāyasyārabdhatvāt kāryakāraṇalakṣaṇaḥ sambandhaḥ / 'devadatto	avayavEH-samudAyasya-ArabDa-tvAt kArya-kAraNa-lakzaNaH sambanDaH / adevadattaH-
   divā na bhuṅkte balavāṃścetyukta arthādrātrau bhuṅkte'; ityarthāpattiḥ /	divA na BuFkte balavAn=-ca-iti-ukta arTAt-rAtrO BuFkte-a; iti-arTApattiH /
   tata eva rātrau tasya pratītiranumānānna bhidyate / idameva	tatas eva rAtrO tasya pratItiH-anumAnAt-na Bidyate / idam-eva
   cānyathānupapattirityucyate //	ca-anyaTA-anupapattiH-iti-ucyate //
   kiṃ pramāṇatrayalakṣaṇe prayojanamiti cedāha- 'prameyasiddhiḥ	kim pramANa-traya-lakzaNe prayojanam-iti ced-Aha aprameya-sidDiH
   pramāṇāddhi'; iti / yasmāt prameyasyārthasya siddhiḥ pramāṇāt, anyathā	pramANAt-Di-a; iti / yasmAt prameyasya-arTasya sidDiH pramANAt, anyaTA
   kathaṃ tatprāptiparihārau syātām // 4 //	kaTam tad-prApti-parihArO syAtAm // 4 //
   kārikā 5	kArikA 5
   dṛṣṭādipramāṇānāṃ lakṣaṇamāha-	dRzwa-Adi-pramANAnAm lakzaNam-Aha-
   prativiṣayādhyavasāyo dṛṣṭaṃ, trividhamanumānamākhyātam /	prativizaya-aDyavasAyaH dRzwaM, triviDam-anumAnam-AKyAtam /
   talliṅgaliṅgipūrvakam, āptaśrutirāptavacanaṃ ca // ISk_5 //	tad-liFga-liFgi-pUrva-kam, Apta-SrutiH-Apta-vacanam ca // ISc-_5 //
   'prativiṣayādhyavasāyaḥ'; ityādi / viṣayaṃ viṣayaṃ prativiṣayam,	aprativizaya-aDyavasAyaH-a; ityAdi / vizayam vizayam prativizayam,
   prativiṣayamadhyavasāyaḥ prativiṣayādhyavasāyaḥ / viṣayāḥ śabdādayaḥ,	prativizaya-maDyavasAyaH prativizaya-aDyavasAyaH / vizayAH Sabda-AdayaH,
   adhyavasāyo buddhiḥ / śabdasparśarūparasagandheṣu yathākramaṃ	aDyavasAyaH budDiH / Sabda-sparSa-rUpa-rasa-ganDezu yaTAkramam
   śrotratvakcakṣurjihvāghrāṇendriyadvāreṇa viśeṣāvadhāraṇapradhānā yā	Srotra-tvac-cakzuH-jihvA-GrANa-indriya-dvAreNa viSeza-avaDAraNa-praDAnA yA
   buddhirutpadyate tad dṛṣṭam, śuddhatvātpramāṇamaśuddhatvādapramāṇam /	budDiH-utpadyate tat dRzwam, SudDa-tvAt-pramANam-aSudDa-tvAt-apramANam /
   taccaturvidham- savyapadeśam, savikalpam, arthavyatirekīndriyavyatirekī	tat-caturviDam sa-vyapadeSam, sa-vikalpam, arTa-vyatireki-indriya-vyatirekI
   ceti / tatra dūrāt kvacidāgacchantaṃ dṛṣṭvā devadattasārūpyaṃ vyapadiśati	ca-iti / tatra dUrAt kvacid-AgacCantam dRzwvA devadatta-sArUpyam vyapadiSati
   devadatto 'yamiti yā buddhirutpadyate tatsavikalpam,	devadattaH ayam-iti yA budDiH-utpadyate tat-sa-vikalpam,
   saṃśayitatvādapramāṇam / taimirikasya dvicandradarśanaṃ tadarthavyatireki,	saMSayita-tvAt-apramANam / tEmirikasya dvi-candra-darSanam tad-arTa-vyatireki,
   dvitīyacandrābhāvāt / yatsvapnadarśanaṃ tadindriyavyatireki,	dvitIya-candra-aBAvAt / yat-svapna-darSanam tat-indriya-vyatireki,
   nidropaplutatvādindriyāṇām //	nidrA-upapluta-tvAt-indriyANAm //
   'trividhamanumānamākhyātam'; iti / ṣaṣṭitantre vyākhyātam- pūrvavat,	atriviDam-anumAnam-AKyAtam-a; iti / zazwitantre vyAKyAtam pUrvavat-,
   śeṣavat, sāmānyatodṛṣṭamiti / atītānāgatavarttamānāstrayaḥ padārthāḥ /	Sezavat, sAmAnyatodRzwam-iti / atIta-anAgata-varttamAnAH-trayaH padArTAH /
   tatra bhaviṣyadarthasādhanāya pūrvavadanumānam / pūrvaṃ liṅgamasyāstīti	tatra Bavizyat-arTa-sADanAya pUrvavat-anumAnam / pUrvam liFgam-asya-asti-iti
   pūrvavat / yathonnatajaladharaṃ dṛṣṭvā vṛṣṭirbhaviṣyatītyanumīyate /	pUrvavat / yaTA-unnata-jalaDaram dRzwvA vRzwiH-Bavizyati-iti-anumIyate /
   atītārthasādhanāya śeṣavat- śeṣaṃ liṅgamasyāstīti / yathāsyā nadyā upari	atIta-arTa-sADanAya Sezavat Sezam liFgam-asya-asti-iti / yaTA-asyAH nadyAH upari
   vṛṣṭirbhūtā, yasyāḥ kaluṣodakaṃ śeṣaṃ liṅgamiti / varttamānārthasādhanāya	vRzwiH-BUtA, yasyAH kaluza-udakam Sezam liFgam-iti / varttamAna-arTa-sADanAya
