   caturtha uddyotaḥ	caturTaH uddyotaH
   vāṇī navatvamāyāti pūrvārthānvayavatyapi // 2 //	vANI nava-tvam-AyAti pUrva-arTa-anvayavatI-api // 2 //
   locanam tatra satkāvyakaraṇe kathamasya vyāpāra iti pūrvaṃ vaktavyaṃ	locanam tatra sat-kAvya-karaNe kaTam-asya vyApAraH iti pUrvam vaktavyam
   niṣpāditasya jñeyatvāditi taducyate--	nizpAditasya jQeya-tvAt-iti tat-ucyate--
   dhvanerya iti //1 //	DvaneH-yaH iti //1 //
   nanu dhvanibhedāt pratibhānāmānantyamiti	nanu Dvani-BedAt pratiBAnAm-Anantyam-iti
   vyadhikaraṇametadityabhiprāyeṇāśaṅkate--kathamitīti /	vyaDikaraNam-etat-iti-aBiprAyeNa-ASaFkate--kaTam-iti-iti /
   atrottaram--ato hīti /	atra-uttaram--atas hi-iti /
   āsatāntāvad bahavaḥ prakārāḥ, ekenāpyevaṃ bhavatītyapiśabdārthaḥ /	Asata-antAvat bahavaH prakArAH, ekena-api-evam Bavati-iti-api-Sabda-arTaH /
   etaduktaṃ bhavati--varṇanīyavastuniṣṭhaḥ prajñāviśeṣaḥ pratibhānaṃ, tatra	etat-uktam Bavati---varNanIya-vastu-nizWaH prajQA-viSezaH pratiBAnaM, tatra
   varṇanīyasya pārimityādādyakavinaiva spṛṣṭatvāt sarvasya tadviṣayaṃ	varNanIyasya pArimityAt-Adya-kavinA-eva spRzwa-tvAt sarvasya tad-vizayam
   pratibhānaṃ tajjātīyameva syāt /	pratiBAnam tat-jAtIyam-eva syAt /
   tataśca kāvyamapi tajjātīyameveti bhraṣṭa idānīṃ kaviprayogaḥ,	tatas-ca kAvyam-api tat-jAtIyam-eva-iti BrazwaH idAnIm kavi-prayogaH,
   uktavaicitryeṇa tu ta evārthā niravadhayo bhavantīti tadviṣayāṇāṃ	ukta-vEcitryeNa tu te eva-arTAH niravaDayaH Bavanti-iti tad-vizayANAm
   pratibhānāmānantyamupapannamiti /	pratiBAnAm-Anantyam-upapannam-iti /
   nanu pratibhānantyasya kiṃ phalamiti nirṇetuṃ vāṇī navatvamāyātītyuktaṃ,	nanu pratiBA-Ananti-asya kim Palam-iti nirNetum vANI nava-tvam-AyAti-iti-uktaM,
   tena vāṇīnāṃ kāvyavākyānāṃ tāvannavatvamāyāti /	tena vANInAm kAvya-vAkyAnAm tAvat-nava-tvam-AyAti /
   tacca pratibhānantye satyupadyate, taccārthānantye, tacca	tat-ca pratiBA-Anantye sati-upadyate, tat-ca-arTAn-antye, tat-ca
   dhvaniprabhedāditi /	Dvani-praBedAt-iti /
   bālapriyā kathamasya vyāpāra itīti /	bAla-priyA kaTam-asya vyApAraH iti-iti /
   dhvanipratipādanaṃ kathamupayogītyetadityarthaḥ /	Dvani-pratipAdanam kaTam-upayogI-iti-etat-iti-arTaH /
   ityetaditi sambandhaḥ // 1 // // //	iti-etat-iti sambanDaH // 1 // // //
   vyadhikaraṇamiti /	vyaDikaraNam-iti /
   asaṅgatamityarthaḥ /	asaFgatam-iti-arTaH /
   'anyatamenāpī'tyapiśabdaṃ darśayati--āsatāmiti /	aanyatamena-apI-atyapi-Sabdam darSayati---AsatAm-iti /
   etaduktaṃ bhavatīti /	etat-uktam Bavati-iti /
   prathamakārikottarārdhena dvitīyakārikayā ca vakṣyamāṇo bhāvārthaḥ	praTama-kArikA-uttara-arDena dvitIya-kArikayA ca vakzyamANaH BAva-arTaH
   pradarśito bhavatītyarthaḥ /	pradarSitaH Bavati-iti-arTaH /
   tamevāha--varṇanīyetyādi /	tam-eva-aha--varNanIyA-ityAdi /
   dhvaniprabhedādityantena /	Dvani-praBedAt-ityantena /
   varṇanīyavastuniṣṭhaḥ varṇanīyatattadvastuviṣayakaḥ /	varNanIya-vastu-nizWaH varNanIya-tad-tad-vastu-vizayakaH /
   prajñāviśeṣa iti /	prajQA-viSezaH iti /
   sphurtirūpa ityarthaḥ /	sPurti-rUpaH iti-arTaH /
   kaveriti śeṣaḥ /	kaveH-iti SezaH /
   tajjātīyamiti /	tad-jAtIyam-iti /
   ādyakavipratibhānajātīyamityarthaḥ /	Adyaka-vi-pratiBAna-jAtIyam-iti-arTaH /
   tajjātīyameveti /	tat-jAtIyam-eva-iti /
   ādyakavikāvyajātīyamevetyarthaḥ /	Adya-kavikAvya-jAtIyam-eva-iti-arTaH /
   itīti hetau /	iti-iti hetO /
   bhraṣṭa iti /	BrazwaH iti /
   syādityanuṣaṅgaḥ /	syAt-iti-anuzaFgaH /
   uktavaicitryeṇeti /	ukta-vEcitryeNa-iti /
   dhvaniguṇībhūtavyaṅgyavaicitryeṇetyarthaḥ /	Dvani-guNIBUta-vyaFgya-vEcitryeNa-iti-arTaH /
   vāṇīnāmityasya vivaraṇam--kāvyavākyānāmiti /	vANInAm-iti-asya vivaraNam--kAvya-vAkyAnAm-iti /
   itīti samāptau /	iti-iti samAptO /
   ato dhvaneruktaprabhedamadhyādanyatamenāpi prakāreṇa vibhūṣitā satī vāṇī	atas DvaneH-ukta-praBeda-maDyAt-anyatamena-api prakAreNa viBUzitA satI vANI
   purātanakavinibaddhārthasaṃsparśavatyapi navatvamāyāti /	purAtanaka-vinibadDa-arTa-saMsparSavatI-api nava-tvam-AyAti /
   tathāhyavivakṣitavācyasya dhvaneḥ prakāradvayasamāśrayaṇena navatvaṃ	taTA-hi-avivakzita-vAcyasya DvaneH prakAra-dvaya-samASrayaNena nava-tvam
   pūrvārthānugame 'pi yathā--- smitaṃ kiñcinmugdhaṃ taralamadhuro	pUrva-arTa-anugame api yaTA-- smitam kiQcid-mugDam tarala-maDuraH-
   dṛṣṭivibhavaḥ parispando vācāmabhinavavilāsorbhisarasaḥ /	dRzwi-viBavaH parispandaH vAcAm-aBinava-vilAsorBi-sarasaH /
   gatānāmārambhaḥ kisalayitalīlāparimalaḥ spṛśantyāstāruṇyaṃ kimiva hi na	gatAnAm-AramBaH kisalayita-lIlA-parimalaH spRSantyAH-tAruNyam kim-iva hi na
   ramyaṃ mṛgadṛśaḥ //	ramyam mRga-dRSaH //
   locanam tatra prathamamatyantatiraskṛtavācyānvayamāha--smitamiti /	locanam tatra praTamam-atyanta-tiraskRta-vAcyA-anvayam-Aha---smitam-iti /
   mugdhamadhuravibhavasarasakisalayitaparimalasparśanānyatyantatiraskṛtāni /	mugDa-maDura-viBava-sarasa-kisalayita-parimala-sparSanAni-atyanta-tiraskRtAni /
   tairanāhṛtasaundaryasarvajanavāllabhyākṣīṇaprasaratvasantāpapraśamanatarpakatvasaukumāyrasārvaṅkālikatatsaṃskārānuvṛttitvayatnābhilaṣaṇīyasaṅgatatvāni	tEH-anAhRta-sOndarya-sarva-jana-vAllaByA-kzINa-prasara-tva-santApa-praSamana-tarpaka-tva-sOkumAyra-sAru-aFkAlika-tad-saMskAra-anuvRtti-tva-yatna-aBila
   dhvanyamānāni yāni, taiḥ smitādeḥ prasiddhasyārthasya	DvanyamAnAni yAni, tEH smita-AdeH prasidDasya-arTasya
   sthaviravedhovihitadharmavyatirekeṇa dharmāntarapātrāta yāvat kriyate,	sTavira-veDaH-vihita-Darma-vyatirekeNa Darma-antara-pAtrAta yAvat kriyate,
   tāvattadapūrvameva sampadyata iti sarvatreti mantavyam /	tAvat-tat-apUrvam-eva sampadyate iti sarvatra-iti mantavyam /
   asyeti apūrvatvameva bhāsata iti dūreṇa sambandhaḥ /	asya-iti apUrva-tvam-eva BAsate iti dUreNa sambanDaH /
   sarvatraivāsya bālapriyā 'smitam' iti /	sarvatra-eva-asya bAla-priyA asmitam-a iti /
   kiñcit smitaṃ mandasmitam /	kiQcid smitam manda-smitam /
   mugdhaṃ bhavati iti sarvatra śeṣa- /	mugDam Bavati iti sarvatra Seza /
   taralaśca madhuraśca taralamadhuraḥ /	taralaH-ca maDuraH-ca tarala-maDuraH /
   dṛṣṭivibhavaḥ vibhavaviśiṣṭā dṛṣṭiḥ /	dRzwi-viBavaH viBava-viSizwA dRzwiH /
   parispandaḥ prasaraḥ /	parispandaH prasaraH /
   abhinavā ye vilāsāstātkālikā viśeṣāsteṣāmūrmibhiḥ	aBinavAH ye vilAsAH-tAtkAlikAH viSezAH-tezAm-UrmiBiH
   uttarottaramutpadyamānābhiḥ paramparābhiḥ sarasaḥ /	uttarottaram-utpadyamAnABiH paramparABiH sarasaH /
   kisalayitaḥ kisalayasambandhī līlāyāḥ parimalo yatra tathābhūtaḥ.	kisalayitaH kisalaya-sambanDI lIlAyAH parimalaH yatra taTABUtaH.
   mohayatīti vyutpattyā mohakāritvaṃ "mugdhā navavayaḥkāme"tyādinā lakṣitaṃ	mohayati-iti vyutpattyA moha-kAri-tvam "mugDA nava-vayaH-kAme"tyAdinA lakzitam
   laugdhyaṃ vā yattadvānmugdhaśabdasya mukhyārthaḥ /	lOgDyam vA yat-tadvAn-mugDa-Sabdasya muKya-arTaH /
   evaṃ madhuravibhāvādiśabdānāṃ madhurarasaiśvaryādayo mukhyārthāḥ,	evam maDura-viBAva-Adi-SabdAnAm maDura-rasa-ESvarya-AdayaH muKya-arTAH,
   teṣāmatra bādhāttatsādṛśyena nimittena mugdhādiśabdāḥ smitādīn lakṣayanti,	tezAm-atra bADAt-tad-sAdRSyena nimittena mugDa-Adi-SabdAH smita-AdIn lakzayanti,
   tena ca smitādīnāṃ saundaryaviśeṣādikaṃ dyotyata ityāha--mugdhetyādi /	tena ca smita-AdInAm sOndarya-viSeza-Adikam dyotyate iti-Aha---mugDA-ityAdi /
   mugdhamadhuretyādi /	mugDa-maDura-ityAdi /
   mugdhamadhurādayo mukhyārthā ityarthaḥ /	mugDa-maDura-AdayaH muKya-arTAH iti-arTaH /
   atyantatiraskṛtānīti /	atyanta-tiraskRtAni-iti /
   bādhāditi bhāvaḥ /	bADAt-iti BAvaH /
   tairityasya dhvanyamānānītyanena sambandhaḥ /	tEH-iti-asya DvanyamAnAni-iti-anena sambanDaH /
   atra yathāsaṃkhyaṃ tena smitasya anāhṛtamakṛtrimaṃ saundaryam /	atra yaTAsaMKyam tena smitasya anAhRtam-akRtrimam sOndaryam /
   dṛṣṭeḥ sarvajanavāllabhyamakṣīṇaprasaratvaṃ ca /	dRzweH sarva-janavAllaByam-akzINa-prasara-tvam ca /
   vacasassantāpapraśamanatvaṃ tarpakatvaṃ ca, gamanasya	vacasa-ssantApa-praSamana-tvam tarpaka-tvam ca, gamanasya
   sukumārapādakṛtatvena māndyaṃ sārvakālikalīlānuvṛttitvaṃ ca, tāruṇyasya	sukumAra-pAda-kRta-tvena mAndyam sArvakAlika-lIlA-anuvRtti-tvam ca, tAruNyasya
   yatnābhilaṣayaṇīyasaṅgatatvaṃ ca dhvanyata ityarthaḥ /	yatna-aBilazayaNIya-saFgata-tvam ca Dvanyate iti-arTaH /
   tairdharmāntarapātrateti sambandhaḥ /	tEH-Darma-antara-pAtra-tA-iti sambanDaH /
   anāhṛtasaundaryādirūpadharmāntarapātratvamityarthaḥ /	anAhRta-sOndarya-Adi-rUpa-Darma-antara-pAtra-tvam-iti-arTaH /
   sthaviravedhāḥ brahmā /	sTavira-veDAH brahmA /
   taditi /	tat-iti /
   smitādakamityarthaḥ /	smitAdakam-iti-arTaH /
   itīti hetau /	iti-iti hetO /
   sarvatretyādi /	sarvatra-ityAdi /
   itthaṃ sarvatra mantavyamityarthaḥ /	itTam sarvatra mantavyam-iti-arTaH /
   apūrvatvameva bhāsata iti /	apUrva-tvam-eva BAsate iti /
   bhāvibhrametyādau smitādīnāṃ	BAvi-Brama-ityAdO smita-AdInAm
   ityasya, savibhramasmitodbhedā lolākṣyaḥ praskhaladgiraḥ /	iti-asya, sa-viBrama-smitA-udBedAH lola-akzyaH prasKalat-giraH /
   nitambālasagāminyaḥ kāminyaḥ kasya na priyāḥ // //	nitamba-alasa-gAminyaH kAminyaH kasya na priyAH // //
   ityevamādiṣu ślokeṣu satsvapi tiraskṛtavācyadhvanisamāśrayeṇāpūrvatvameva	iti-evamAdizu Slokezu satsu-api tiraskRta-vAcya-Dvani-samASrayeNa-apUrva-tvam-eva
   pratibhāsate /	pratiBAsate /
   tathā-- yaḥ prathamaḥ prathamaḥ sa tu tathāhi hatahastibahalapalalāśī /	taTA- yaH praTamaH praTamaH sa tu taTA-hi hata-hasti-bahala-pala-lASI /
   śvāpadagaṇeṣu siṃhaḥ siṃhaḥ kenādharīkriyate // //	SvApada-gaNezu siMhaH siMhaH kena-ADarIkriyate // //
   ityasya, svatejaḥkrītamahimā kenānyenātiśayyate /	iti-asya, sva-tejaH-krIta-mahimA kena-anyena-atiSayyate /
   mahadbhirapi mātaṅgaiḥ siṃhaḥ kimabhibhūyate // //	mahadBiH-api mAtaFgEH siMhaH kim-aBiBUyate // //
   ityevamādiṣu ślokeṣu satsvapyarthāntarasaṅkramitavācyadhvanisamāśrayeṇa	iti-evamAdizu Slokezu satsu-api-arTa-antara-saFkramita-vAcya-Dvani-samASrayeNa
   navatvam /	nava-tvam /
   vivakṣitānyaparavācyasyāpyuktaprakārasamāśrayeṇa navatvaṃ yathā--	vivakzitAni-apara-vAcyasya-api-ukta-prakAra-samASrayeNa nava-tvam yaTA--
   nidrākaitavinaḥ priyasya vadane vinyasya vakraṃ vadhūḥ	nidrA-kEtavinaH priyasya vadane vinyasya vakram vaDUH
   bodhatrāsaniruddhacumbanarasāpyābhogalolaṃ sthitā /	boDa-trAsa-nirudDa-cumba-narasA-apyABoga-lolam sTitA /
   locanam navatvamiti saṅgatiḥ /	locanam nava-tvam-iti saFgatiH /
   dvitīyaḥ prathamaśabdo 'rthāntare	dvitIyaH praTama-SabdaH arTa-antare
   'napākaraṇīyapradhānatvāsādhāraṇatvādivyaṅgyadharmāntare saṅkrāntaṃ	anapAkaraNIya-praDAna-tvAsA-DAraNa-tva-Adi-vyaFgya-Darma-antare saFkrAntam
   svārthaṃ vyanakti /	sva-arTam vyanakti /
   evaṃ siṃhaśabdo 'pi vīratvānapekṣatvavismayanīyatvādau vyaṅgyadharmāntare	evam siMha-SabdaH api vIra-tva-anapekza-tva-vismaya-nIya-tva-AdO vyaFgya-Darma-antare
   saṅkrāntaṃ svārthaṃ dhvanati /	saFkrAntam sva-arTam Dvanati /
   evaṃ prathamasya dvau bhedāvudāhṛtya	evam praTamasya dvO BedO=-udAhRtya
   dvitīyasyāpyudāhartumāsūtrayati--vivakṣiteti /	dvitIyasya-api-udAha-rtum-AsUtrayati---vivakzitA-iti /
   nidrāyāṃ kaitavī kṛtakasupta ityarthaḥ /	nidrAyAm kEtavI kRtaka-suptaH iti-arTaH /
   vadane vinyasya vaktramiti /	vadane vinyasya vaktram-iti /
   vadanasparśajameva tāvaddivyaṃ sukhaṃ tyaktunna pārayatīti /	vadana-sparSa-jam-eva tAvat-divyam suKam tyaktunna pArayati-iti /
   ata eva priyasyeti /	atas eva priyasya-iti /
   vadhūḥ navoḍhā /	vaDUH na-va-UXA /
   bodhatrāsena priyatamaprabodhabhayena niruddho haṭhāt pravartamānaḥ	boDa-trAsena priyatama-praboDa-Bayena nirudDaH haWAt pravartamAnaH
   pravartamāno 'pi kathañcitkathañcit bālapriyā caturṇā varṇane 'pi	pravartamAnaH api kaTaQcid-kaTaQcid bAla-priyA caturNA varNane api
   tadapekṣayā smitaṃ kiñcidityādau tadvarṇanasyāpūrvatvameva bhātītyarthaḥ /	tad-apekzayA smitam kiQcid-iti-AdO tad-varNanasya-apUrva-tvam-eva BAti-iti-arTaH /
   evamuttaratrāpi bodhyam /	evam-uttaratra-api boDyam /
   anapeti /	anapeti /
   anapākaraṇīyapradhānatvāsādhāraṇatvādirūpaṃ vyaṅgyaṃ yaddharmāntaraṃ	anapAkaraNIya-praDAna-tvAsA-DAraNa-tva-Adi-rUpam vyaFgyam yat-Darma-antaram
   tasminnityarthaḥ /	tasmin=-iti-arTaH /
   vīratvetyāderapyevamartho bodhyaḥ /	vIra-tvA-ityAdeH-api-evam-arTaH boDyaH /
   kṛtaketi /	kRtaka-iti /
   kaitavetyarthaḥ /	kEtava-iti-arTaH /
   tāvaditi /	tAvat-iti /
   ādāvityarthaḥ /	AdO=-iti-arTaH /
   pārayatīti /	pArayati-iti /
   vadhūriti śeṣaḥ /	vaDUH-iti SezaH /
   itīti /	iti-iti /
   vyajcata iti śeṣaḥ /	vyajcate iti SezaH /
   ata eveti /	atas eva-iti /
   evaṃvidhaprītikāritvādevetyarthaḥ /	evaMviDa-prIti-kAri-tvAt-eva-iti-arTaH /
   itīti /	iti-iti /
   ityuktamityarthaḥ /	iti-uktam-iti-arTaH /
   niruddhatvoktyā gamyamāha--haṭhātpravartamāno 'pīti /	nirudDa-tvA-uktyA gamyam-Aha---haWAt-pravartamAnaH api-iti /
   dhṛtaḥ vailakṣyādvimukhībhavediti punastasyāpyanārambhiṇaḥ	DRtaH vElakzyAt-vimuKIBavet-iti punar-tasya-api-anAramBiNaH
   sākāṅkṣapratipatti nāma hṛdayaṃ yātaṃ tu pāraṃ rateḥ // //	sAkAFkzapratipatti nAma hRdayam yAtam tu pAram rateH // //
   ityādeḥślokasya, śūnyaṃ vāsagṛhaṃ vilokya śayanādutthāya kiñcicchanai-	iti-AdeHSlokasya, SUnyam vAsagRham vilokya SayanAt-utTAya kiQcid-CanE-
   rnidrāvyājamupāgatasya suciraṃ nirvarṇya patyurmukham /	rnidrA-vyAjam-upAgatasya su-ciram nirvarNya patyuH-muKam /
   visrabdhaṃ paricumbya jātapulakāmālokya gaṇḍasthalīṃ lajjānamramukhī	visrabDam paricumbya jAta-pulakAm-Alokya gaNxa-sTalIm lajjA-namra-muKI
   priyeṇa hasatā bālā ciraṃ cumbitā // //	priyeNa hasatA bAlA ciram cumbitAH // //
   ityādiṣu ślokeṣu satsvapi navatvam /	ityAdizu Slokezu satsu-api nava-tvam /
   yathā vā---'taraṅgabhrūbhaṅgā' locanam kṣaṇamātrandhṛtaścumbanābhilāṣo	yaTA vA-a----ataraFga-BrU-BaFgA-a locanam kzaNa-mAtranDRtaH-cumbana-aBilAzaH-
   yayā /	yayA /
   ata eva ābhogena punaḥ punarnidrāvicāranirvarṇanayā vilolaṃ kṛtvā sthitā,	atas eva ABogena punar punar-nidrA-vicAra-nirvarNa-nayA vilolam kRtvA sTitA,
   na tu sarvathaiva cumbanānnivartituṃ śaknotītyarthaḥ /	na tu sarvaTA-eva cumbanAt-nivartitum Saknoti-iti-arTaH /
   evaṃbhūtaiṣā yadi mayā paricumbyate, tadvilakṣā vimukhībhavediti tasyāpi	evaMBUtA-ezA yadi mayA paricumbyate, tad-vilakzA vimuKIBavet-iti tasya-api
   priyasya paricumbanaviṣaye nirārambhasya /	priyasya paricumbana-vizaye nirAramBasya /
   hṛdayaṃ sākāṅkṣapratipatti nāmeti /	hRdayam sAkAFkzapratipatti nAma-iti /
   sākāṅkṣā sābhilāṣā pratipattiḥ sthitiryasya tādṛśaṃ ruhiruhikākadarthitaṃ	sa-AkAFkzA sa-aBilAzA pratipattiH sTitiH-yasya tAdRSam ruhi-ruhi-kAkadarTitam
   na tu manorathasampatticaritārthaṃ, kintu retaḥ	na tu manoraTa-sampatti-carita-arTaM, kintu retaH
   parasparajīvitasarvasvābhimānarūpāyāḥ paranirvṛteḥ kena	paraspara-jIvita-sarva-sva-aBimAna-rUpAyAH para-nirvRteH kena
   cidapyanubhavenālabdhāvagāhanāyāḥ pāraṅgatamiti paripūrṇībhūta eva	cit-api-anuBavena-alabDa-avagAhanAyAH pAraFgatam-iti paripUrNIBUtaH eva
   śṛṅgāraḥ /	SRFgAraH /
   dvitīyaśloke tu paricumbanaṃ sampannaṃ lajjā svaśabdenoktā /	dvitIya-Sloke tu paricumbanam sampannam lajjA sva-Sabdena-uktA /
   tenāpi sā paricumbiteti yadyapi poṣita eva śṛṅgāraḥ, tathāpi prathamaśloke	tena-api sA paricumbitA-iti yadi-api pozitaH eva SRFgAraH, taTA-api praTama-Sloke
   parasparābhilāṣaprasaranirodhaparamparāparyavasānāsambhavena yā bālapriyā	paraspara-aBilAza-prasara-niroDa-paramparA-paryavasAna-asamBavena yA bAlapriyA
   pratibaddhaḥ /	pratibadDaH /
   bhogapadasya sākṣātkārārthakatvamabhipretyāha--ābhāgenetyādi /	Boga-padasya sAkzAtkAra-arTaka-tvam-aBipretya-aha--A-BAgena-ityAdi /
   nidreti /	nidrA-iti /
   nidrāvicāreṇa ayaṃ nidrātīti buddhyā yā nirvarṇanā darśanaṃ tayetyarthaḥ /	nidrA-vicAreNa ayam nidrAti-iti budDyA yA nirvarNanA darSanam tayA-iti-arTaH /
