   prastāvanā /	prastAvanA /
   "mīmāṃsāsārameghātpadajaladhividhostarkamāṇikyakośāt	"mI-mAMsa-AsAra-meGAt-pada-jalaDiviDoH-tarka-mANikya-koSAt-
   sāhityaśrīmurārerbudhakusumamadhoḥ śauripādabjabhṛṅgāt /	sAhitya-SrI-murAreH-buDa-kusuma-m-aDoH SOripAdabja-BRFgAt /
   śrutvā saujanyasindhordvajavaramukulātkīrtivallyālavālāt	SrutvA sOjanya-sinDA-uH-dva-ja-vara-mukulAt-kIrti-vallyAla-vAlAt
   kāvyālaṅkārasāre laghuvavṛtimadhātkauṅkaṇaḥ śrīndurājaḥ //	kAvya-alaFkAra-sAre laGu-vavRtim-aDAt-kOFkaNaH Sri-indurAjaH //
   "iti	"iti
   pratīhārendurājasya jīvitakālastu niścitya vaktuṃ na śakyate /	pratIhAra-indu-rAjasya jIvita-kAlaH-tu niScitya vaktum na Sakyate /
   tathāpyayaṃ bhaṭṭodbhasya paścādbabhūveti vyaktameva /	taTA-api-ayam BawwodBasya paScAt-baBUva-iti vyaktam-eva /
   anena laghuvṛttau bhāmaha--vāmana---udbhaṭa---ityādi	anena laGu-vRttO BAmaha--vAmana---udBawa----ityAdi
   prācīnālaṅkārikāṇāmevollekhaḥ kṛtaḥ natu	prAcIna-alaFkArikANAm-eva-ulleKaH kRtaH na-tu
   mahimabhaṭṭa-ānandavardhana-kāvyaprakāśakārādyabhinavālaṅkārikāṇām /	mahima-Bawwa-a-Ananda-varDana--kAvya-prakASa-kAra-Adi-aBinava-alaFkArikANAm /
   ato 'yaṃ khistavarṣasya navamadaśamaśatakayormadhye babhūveti tarkyate /	atas ayam KiH-ta-varzasya nava-mada-Sama-SatakayoH-maDye baBUva-iti tarkyate /
   asya granthasyādarśapustakamekameva	asya granTasya-AdarSa-pustakam-ekam-eva
   puṇyapattanasthārājakīyapustakālayādhikāribhiḥ prophesara vināyaka	puNya-pattana-sTa-arAjakIya-pusta-kAla-yADi-kAriBiH proPesara vinAyaka
   sakhārāma ghāṭe ityetai saṃskaraṇārthe datvanṛgṛhīto 'smīti kṛtajñatayā	saKA-ArAma GAwe iti-etE saMskaraNa-arTe datu-anRgRhItaH asmi-iti kRtajQa-tayA
   smarāmi teṣāmupakṛtim /	smarAmi tezAm-upakRtim /
   kāravārapure vidvadanucaraḥ	kAravAra-pure vidvat-anucaraH
   śrāvaṇa śu- 12 śake 1837 maṅgeśaśarmā.	SrAvaNa Su 12 Sake 1837 maFgeSa-SarmA.
   śrīḥ /	SrIH /
   śrīmad-udbhaṭa-bhaṭṭapraṇītaḥ kāvyālaṅkārasaṃgrahaḥ /	SrImat--udBawa--Bawwa-praNItaH kAvya-alaFkAra-saMgrahaH /
   prathamo vargaḥ	praTamaH vargaH
   śrīmat-pratīhārendu-rājaviracitayā kāvyālaṅkārasāralaghuvṛttyā sametaḥ /	SrImat--pratIhAra-indu-rAja-viracitayA kAvya-alaFkAra-sAra-laGu-vRttyA sametaH /
   yallakṣmyā hasitaiḥ sitairdhavalitaṃ narmoktilīlājuṣaḥ	yat-lakzmyA hasitEH sitEH-Davalitam narma-ukti-lIlA-juzaH
   śaureḥ sphītagabhastikaustubharucā yacca kvacitpāṭalam /	SOreH sPIta-gaBasti-kOstuBa-rucA yat-ca kvacid-pAwalam /
   anyatra cchuritaṃ yadambararaca hemaprabhādīprayā	anyatra cCuritam yat-ambara-raca hema-praBA-AdI-prayA
   tadvakṣo 'kṣataśakracāpaśabalavyomābhamavyājjagat // 1 //	tat-vakzaH akzata-Sakra-cApa-Sabala-vyoma-aBamavyAt-jagat // 1 //
   mahiṣitavapuṣi suradviṣi darśitabhayamabhayadaṃ dyusadmabhyaḥ /	mahizita-vapuzi suradvizi darSita-Bayam-aBaya-dam dyu-sadmaByaH /
   nanditasurendravanditamaṅghriyugaṃ gauri tava vande // 2 //	nandita-sura-indra-vanditam-aFGri-yugam gOri tava vande // 2 //
   vidvadagryānmukulakādaghigamya vivacyate /	vidvat-agryAt-mukulakAt-aGigamya vivacyate /
   pratīhārendurājena kāvyālaṅkārasaṃgrahaḥ // 3 //	pratIhAra-indu-rAjena kAvya-alaFkAra-saMgrahaH // 3 //
   punaruktavadābhāsaṃ chekānuprāsa eva ca /	punar-ukta-vat-ABAsam Ceka-anuprAse eva ca /
   anuprāsastridhā lāṭānuprāso rūpakaṃ catuḥ // UKss_1.1 //	anuprAsaH-triDA lAwa-anuprAsaH rUpakam catuH // UKsH-_1.1 //
   upamā dīpakaṃ caiva prativastūpamā tathā /	upamA dIpakam ca-eva prativastUpamA taTA /
   ityeta evālaṅkārā vācāṃ kaiścidudāhṛtāḥ // UKss_1.2 //	iti-ete eva-alaFkArAH vAcAm kEScid-udAhRtAH // UKsH-_1.2 //
   atrālaṅkārā aṣṭāvuddiṣṭāḥ /	atra-alaFkArAH azwO=-uddizwAH /
   tatrādau catvāraḥ śabdālaṅkārā nirūpitāḥ /	tatra-AdO catvAraH Sabda-alaFkArAH nirUpitAH /
   rūpakādīnāṃ tu caturṇāmatra arthālaṅkāratā /	rUpaka-AdInAm tu caturNAm-atra arTa-alaFkAra-tA /
   atrānuprāse rūpake yathākramaṃ tridheti caturiti vacanaṃ	atra-anuprAse rUpake yaTAkramam triDA-iti catur-iti vacanam
   vipratipattinirāsārtham /	vipratipatti-nirAsa-arTam /
   bhāmaho hi grāmyopanāgarakāvṛttabhedena dviprakāramevānuprāsaṃ	BAm-ahaH hi grAmya-upanAgaraka-AvRtta-Bedena dvi-prakAram-eva-anuprAsam
   vyākhyātavān /	vyAKyAtavAn /
   tathā rūpakasya ye catvāro bhedā vakṣyante tanmadhyādādyameva	taTA rUpakasya ye catvAraH BedAH vakzyante tad-maDyAt-Adyam-eva
   bhedadvitayaṃ prādarśayat /	Beda-dvitayam prAdarSayat /
   ataḥ svābhimatabhedopadarśanadvāreṇa	atas sva-aBimata-Beda-upadarSana-dvAreNa
   evaṃvidhavipratipattinirāsārthamuddeśāvasthāyāmevānuprāsastridheti rūpakaṃ	evaMviDa-vipratipatti-nirAsa-arTam-uddeSa-avasTAyAm-eva-anuprAsaH-triDA-iti rUpakam
   caturiti coktam /	catur-iti ca-uktam /
   rūpakaṃ caturityatra	rUpakam catur-iti-atra
   rūpakatvena saha ekasminnarthe vartamānā sattā rūpakedeṣvāvartamānā	rUpaka-tvena saha ekasmin=-arTe vartamAnA sattA rUpa-kedezu-AvartamAnA
   pratīyate /	pratIyate /
   ataḥ pratīyamānā yāsau rūpakatvaikārthasamavetā sattātmikā bhavanakriyā	atas pratIyamAnA yA-asO rUpaka-tva-eka-arTa-samavetA sattA-AtmikA Bavana-kriyA
   tadabhyāvṛttāvayaṃ "dvitricaturbhyaḥ suc"(pā. a. 5.4.18) iti sucpratyayaḥ	tad-aByAvRttO=-ayam "dvi-tri-caturByaH suc"(pA. a. 5.4.18) iti sucpratyayaH
   rūpakaṃ caturṣu bhedeṣu caturo vārān bhedātmanā bhavatītyarthaḥ /	rUpakam caturzu Bedezu caturaH vArAn Beda-AtmanA Bavati-iti-arTaH /
   tatra punaruktavadābhāsaṃ procyate------	tatra punar-ukta-vat-ABAsam procyate------
   punaruktābhāsamabhinnavastvivodbhāsi bhinnarūpapadam /	punarukta-ABAsam-aBinnavaH-tu-iva-udBAsi Binna-rUpa-padam /
   abhinnaṃ vastu yasminnudbhāsate tadabhinnavastu /	aBinnam vastu yasmin=-udBAsate tad-aBinnavaH-tu /
   bhinnaṃ rūpaṃ yayoḥ padayoste bhinnarūpe /	Binnam rUpam yayoH padayoH-te Binna-rUpe /
   abhinnavastviva abhīkṣṇamudbhāsete bhinnarūpe pade	aBinnavaH-tu-iva aBIkzNam-udBAsete Binna-rUpe pade
   yasmiṃstadabhinnavastvivodbhāsibhinnarūpapadam /	yasmin=-tad-aBinnavaH-tu-iva-udBAsi-Binna-rUpa-padam /
   evamayaṃ bahuvrīhidvitayagarbhaḥ pañcapadobahuvrīhiḥ /	evam-ayam bahu-vrIhi-dvitaya-garBaH paQca-padaH-bahuvrIhiH /
   tatraiko 'bhinnavastviti bahuvrīhiḥ /	tatra-ekaH aBinnavaH-tu-iti bahuvrIhiH /
   aparastu bhinnarūpa iti /	aparaH-tu Binna-rUpaH iti /
   tadgarbhaścāyaṃ bahuvrīhirabhinnavastvivodbhāsibhinnarūpapadamiti /	tad-garBaH-ca-ayam bahuvrIhiH-aBinnavaH-tu-iva-udBAsi-Binna-rUpa-padam-iti /
   anena ca yatra bhinnarūpe pade ekārthavadābhāsete tatpunaruktābhāsaṃ	anena ca yatra Binna-rUpe pade eka-arTa-vat-ABAsete tad-punarukta-ABAsam
   kāvyamalaṅkāryaṃ nirdiṣṭam /	kAvyam-alaFkAryam nirdizwam /
   yadyapi /	yadi-api /
   punaruktavadābhāsamityuddeśe vatiḥ prayuktastathāpi tasyeha	punar-ukta-vat-ABAsam-iti-uddeSe vatiH prayuktaH-taTA-api tasya-iha
   gamyamānārthatvādaprayogaḥ /	gamyamAna-arTa-tvAt-aprayogaH /
   uddeśe tvevamanabhidhānamabhidhāvaicitryapradarśanārtham /	uddeSe tu-evam-anaBiDAnam-aBiDA-vEcitrya-pradarSana-arTam /
   kācit khalu gamyamānārthanvayena abhidhā	kAcid Kalu gamyamAna-arTa-nvayena aBiDA
   pravartate, kācittvabhidhīyamānārthanvayena /	pravartate, kAcid-tu-aBiDIyamAna-arTa-nvayena /
   tatroddeśe vatyabhidhīyamānasādṛśyānvayena abhidhā upadarśitā /	tatra-uddeSe vati-aBiDIyamAna-sAdRSya-anvayena aBiDA upadarSitA /
   iha tvarthasāmarthyavaseyasādṛśyānvayena /	iha tu-arTa-sAmarTya-vaseya-sAdRSya-anvayena /
   tadevamarthasāmarthyāvaseyena vatyarthenānvitaṃ punaruktābhāsamatra	tat-evam-arTa-sAmarTya-avaseyena vati-arTena-anvitam punar-ukta-ABAsam-atra
   kāvyamalaṅkāryaṃ yatkāvyaṃ taddharmatvena punaruktavadābhāsamānayoḥ	kAvyam-alaFkAryam yat-kAvyam tad-Darma-tvena punar-ukta-vat-ABAsamAnayoH
   padayoralaṅkāratvamuktaṃ na tu svatantratayā /	padayoH-alaFkAra-tvam-uktam na tu svatantra-tayA /
   phalaṃ caivamabhidhānasya punaruktavadābhāsamānapadasamanvayasya	Palam ca-evam-aBiDAnasya punar-ukta-vat-ABAsamAna-pada-samanvayasya
   alaṅkāratākhyāpanam /	alaFkAra-tA-KyApanam /
   alaṅkārasya khalvalaṅkāryaparatantratayā nirūpaṇe kriyamāṇe suṣṭhu	alaFkArasya Kalu-alaFkArya-paratantra-tayA nirUpaNe kriyamANe suzWu
   svarūpaṃ nirūpitaṃ bhavati /	svarUpam nirUpitam Bavati /
   svātmanyavasthitasya tasyānalaṅkāratvāt /	sva-Atmani-avasTitasya tasya-analaFkAra-tvAt /
   samudgakasthitahārakeyūrapārihāryādyalaṅkāravat /	samudgaka-sTita-hAra-keyUra-pArihArya-Adi-alaFkAra-vat /
   ataḥ punaruktavadābhāsatvusyālaṅkaratākhyāpanāya kāvyaparatantratayā	atas punar-ukta-vat-ABAsa-tvusya-alaFkarata-AKyApanAya kAvya-paratantra-tayA
   nirdeśo yukta eva /	nirdeSaH yuktaH eva /
   tasyodāharaṇam------	tasya-udAharaNam-------
   tadāprabhṛti niḥsaṅgī nāgakuñjarakṛttibhṛt /	tadA-praBRti niHsaFgI nAga-kuQjara-kRtti-BRt /
   śitikaṇṭhaḥ kālagalatsatīśokānalavyathaḥ // UKss_1.*1 //	SitikaNWaH kAla-galat-satI-Soka-anala-vyaTaH // UKsH-_1.*1 //
   tadāprabhṛti satīviyogādārabhya sa devaḥ śitikaṇṭho niḥsaṅgaḥ san	tadA-praBRti satI-viyogAt-AraBya sa devaH SitikaNWaH niHsaFgaH san
   divasānatavāhitavāniti vakṣyamāṇe śloke vākyārthaparisamāptiḥ /	divasa-AnatavAhitavAn-iti vakzyamANe Sloke vAkya-arTa-parisamAptiH /
   kṛttiścarma /	kRttiH-carma /
   kālavaśena nivartamānā (yā) satī (tasyāḥ) viyogena janito yaḥ	kAla-vaSena nivartamAnA (yA) satI (tasyAH) viyogena janitaH yaH
   śokavahnistadudbhavā pīḍā yasya sa tathoktaḥ /	Soka-vahniH-tat-udBavA pIxA yasya sa taTA-uktaH /
   atra nāgakuñjaraśabdau śitikaṇṭhakālagalaśabdau ca punaruktavadābhāsete /	atra nAga-kuQjara-SabdO SitikaNWa-kAla-gala-SabdO ca punar-ukta-vat-ABAsete /
   tathāhi /	taTA-hi /
   nāgakuñcaraśabdayorupaktamāvasthāyāṃ gajavācitvena ekārthatvaṃ pratibhāti	nAga-kuQcara-SabdayA-uH-u-paktamAvasTAyAm gaja-vAci-tvena eka-arTa-tvam pratiBAti
   padārthanvayaparyālocanayā tu tadbādhyate /	padArTa-nvaya-paryAlocanayA tu tat-bADyate /
   nāgaśabdaḥ khalvatra hastivācī /	nAga-SabdaH Kalu-atra hasti-vAcI /
   kuñcaraśabdastu tatpraśaṃsāvagatahetuḥ /	kuQcara-SabdaH-tu tad-praSaMsA-avagata-hetuH /
   evaṃ śitikaṇṭhakālagalaśabdayorapi	evam SitikaNWa-kAla-gala-SabdayoH-api
   valīviśeṣāvacchinnaśarīrāvayavabhedopetārthābhidhāyitvātpaunaruktyaṃ	valI-viSeza-avacCinna-SarIra-avayava-Beda-upeta-arTa-aBiDAyi-tvAt-pOnaruktyam
   saṃbhāvyamānaṃ kālagaladiti takārāvadhiparyālocanayā cāpasāryate /	saMBAvyamAnam kAlagalat-iti takAra-avaDi-paryAlocanayA ca-apasAryate /
   tenātra punaruktābhāsatvam /	tena-atra punar-ukta-ABAsa-tvam /
   nanu chekānuprāsalakṣaṇādanantaraṃ punaruktavadābhāsodāharaṇaṃ paṭhyate /	nanu Ceka-anuprAsa-lakzaNAt-anantaram punar-ukta-vat-ABAsA-udAharaNam paWyate /
   tatkathaṃ punaruktavadābhāsalakṣaṇavyākhyānasamaya eva tasyopanyāsaḥ kṛtaḥ	tat-kaTam punar-ukta-vat-ABAsa-lakzaNa-vyAKyAna-samayaH eva tasya-upanyAsaH kRtaH
   ucyate /	ucyate /
   udāharaṇapradarśanamantareṇa lakṣaṇārthasya duradhigamatvādihaiva	udAharaNa-pradarSanam-antareNa lakzaNa-arTasya duraDigama-tvAt-iha-eva
   tadupanyastamityadoṣaḥ /	tad-upanyastam-iti-adozaH /
   evamuttaratrāpi prameyaśabdānusāreṇa granthapāṭhakramaviparyāsena	evam-uttaratra-api prameya-Sabda-anusAreNa granTa-pAWa-krama-viparyAsena
   vyākhyāyāṃ nāsūyitavyam /	vyAKyAyAm na-asUyitavyam /
   pāṭhakramādārthakramasya balīyastvāt /	pAWa-kramAt-ArTa-kramasya balIyaH-tvAt /
   chekānuprāsaḥ----	Ceka-anuprAsaH----
   chekānuprāsastu dvayordvayoḥ susadṛśoktikṛtau // UKss_1.3 //	Ceka-anuprAsaH-tu dvayoH-dvayoH su-sadRSa-ukti-kRtO // UKsH-_1.3 //
   dvayordvayorajjhalsamudāyayoḥ suṣṭhu sadṛśe uccāraṇe kriyamāṇe sati	dvayoH-dvaya-urat-JalsamudAyayoH suzWu sadRSe uccAraNe kriyamANe sati
   chekānuprāso bhavati /	Ceka-anuprAsaH Bavati /
   tathāvidhā samudāyāstatrālaṅkāratāṃ pratipadyante /	taTAviDA samudAyAH-tatra-alaFkAra-tAm pratipadyante /
   dvayordvayoriti svārthe 'vadhāryamāṇe anekasminniti dvirvacanaṃ	dvayoH-dvayoH-iti sva-arTe avaDAryamANe anekasmin=-iti dvis-vacanam
   svārthagrahaṇena vīpsāyā nirastatvāt na yāvanto 'tra dvikāḥ saṃbhavanti	sva-arTa-grahaNena vIpsAyAH nirasta-tvAt na yAvantaH atra dvikAH saMBavanti
   teṣāṃ sarveṣāmeva susadṛśatvaṃ kāryaṃ, kiṃ tarhi katipayānāmeva /	tezAm sarvezAm-eva su-sadRSa-tvam kAryan, kim tarhi katipayAnAm-eva /
   vīpsā hi sākalye sati bhavati /	vIpsA hi sAkalye sati Bavati /
   sā cātra svārthaśabdena nirastā /	sA ca-atra sva-arTa-Sabdena nirastAH /
   avadhāryamāṇagrahaṇācca dvayordvayorevātra samudāyayoḥ sadṛśatvaṃ, natu	avaDAryamANa-grahaNAt-ca dvayoH-dvayoH-eva-atra samudAyayoH sadRSa-tvaM, na-tu
   trayāṇāṃ trayāṇāmiti draṣṭavyam /	trayANAm trayANAm-iti drazwavyam /
   anekasminniti vacanācca asakṛdevaṃvidharūpopanibandhe sati chekānuprāsatā	anekasmin=-iti vacanAt-ca asakRt-evaMviDa-rUpa-upanibanDe sati Ceka-anuprAsa-tA
   na tu sakṛditi mantavyam /	na tu sakRt-iti mantavyam /
   parasparamekarūpānvitā	parasparam-eka-rUpa-anvitA
   rasādyabhivyaktyanuguṇatvena labdhotkarṣā varṇāstatsamudāyā vā	rasa-Adi-aBivyakti-anuguNa-tvena labDa-utkarzAH varNAH-tad-samudAyAH vA
   śobhātiśayahetutvena kāvye kṣiṣyamāṇā anuprāsaśabdenānvarthenābhidhīyante	SoBA-atiSaya-hetu-tvena kAvye kzizyamANAH anuprAsa-Sabdena-anvarTena-aBiDIyante
   chekaśabdena kulāyābhiratānāṃ pakṣiṇāmabhidhānam /	Ceka-Sabdena kulAya-aBiratAnAm pakziNAm-aBiDAnam /
   taduktam---"chekān gṛheṣvabhiratānuśanti mṛgapakṣiṇaḥ"iti /	tat-uktam----"-SekAn gRhezu-aBirata-anuSanti mRga-pakziNaH"-iti /
   teṣāṃ ca kulāyābhiratatvādanyena kenacidanāyāsyamānānāmanenānuprāsena	tezAm ca kulAya-aBirata-tvAt-anyena kenacid-anAya-AsyamAnAnAm-anena-anuprAsena
   sadṛśī madhurā vāguccarati /	sadRSI maDurA vAc-uccarati /
   ato 'yamanuprāsaśchekairvyapadiśyate chekānuprāsa iti /	atas ayam-anuprAsaH-CekEH-vyapadiSyate Ceka-anuprAse iti /
   athavā chekā vidagdhāḥ /	aTavA CekAH vidagDAH /
   tadvallabhatvādasya chekānuprāsatā /	tadvat-laBa-tvAt-asya Ceka-anuprAsa-tA /
   tasyodāharaṇam----	tasya-udAharaNam-----
   sa devo divasānninye tasmiñśailendrakandare /	sa devaH divasAn-ninye tasmin-SEla-indra-kandare /
   gariṣṭhagoṣṭhīprathamaiḥ pramathaiḥ paryupāsitaḥ // UKss_1.*2 //	garizWa-gozWI-praTamEH pramaTEH paryupAsitaH // UKsH-_1.*2 //
   kandaro guhā /	kandaraH guhA /
   gariṣṭhā gurutamāḥ /	garizWAH gurutamAH /
   'priyasthira-'(pā.a.6.4.157) itīṣṭhani guruśabdasya garādeśaḥ /	apriya-sTira--a(pA.a.6.4.157) iti-IzWani guru-Sabdasya gara-AdeSaH /
   goṣṭhī vidagdhānāmāsanabandhaḥ /	gozWI vidagDAnAm-Asana-banDaH /
   prathamaiḥ pradhānaiḥ /	praTamEH praDAnEH /
   pramathairgaṇaiḥ /	pramaTEH-gaNEH /
   paryupāsitaḥ sevitaḥ /	paryupAsitaH sevitaH /
   atra sadevadivasaśabdau indrakandaraśabdau gariṣṭhagoṣṭhīśabdau	atra sa-deva-divasa-SabdO indra-kandara-SabdO garizWa-gozWI-SabdO
   prathamapramathaśabdau pariupāsaśabdau ca dvau dvau ajjhalsamudāyau	praTama-pramaTa-SabdO pariupAsa-SabdO ca dvO dvO ajJalsamudAyO
   susadṛśāvṛccāritau tena chekānuprāsatā /	su-sadRSa-avRccAritO tena Ceka-anuprAsa-tA /
   kvacittu 'ninye tasmin'ityatra 'ninye 'nyasmin'iti pāṭhaḥ /	kvacid-tu aninye tasmin-aiti-atra aninye anyasmin-aiti pAWaH /
   tadā caitadapyudāharaṇe 'ntarbhavatīti /	tadA ca-etat-api-udAharaNe antarBavati-iti /
   anuprāsaḥ /	anuprAsaH /
   sa ca trividho vṛttisaṃśrayāt /	sa ca triviDaH vRtti-saMSrayAt /
   yadvakṣyati-----	yat-vakzyati-----
   "sarūpavyañjananyāsaṃ tisṛṣvetāsu vṛttiṣu /	"sarUpa-vyaQjana-nyAsam tisRzu-etAsu vRttizu /
   pṛthakpṛthaganuprāsamuśanti kavayaḥ sadā"iti /	pRTak-pRTak-anuprAsam-uSanti kavayaH sadA"iti /
   asyārthaḥ----	asya-arTaH----
   triṣveteṣu yathāyogaṃ rasādyabhivyaktyanuguṇeṣu varṇavyavahāreṣuyaḥ	trizu-etezu yaTAyogam rasa-Adi-aBivyakti-anuguNezu varNa-vyavahAra-izuyaH
   sarūpāṇāṃ vyañjanānāṃ pṛthak pṛthagupanibandhastamanuprāsaṃ kavayaḥ	sarUpANAm vyaQjanAnAm pRTak pRTak-upanibanDaH-tam-anuprAsam kavayaH
   sadecchantīti /	sadA-icCanti-iti /
   atastāstāvadvṛttyo rasādyabhivyaktyanuguṇavarṇavyavahārātmikāḥ	atas-tAH-tAvat-vRttyaH rasa-Adi-aBivyakti-anuguNa-varNa-vyavahAra-AtmikAH
   prathamamabhidhīyante /	praTamam-aBiDIyante /
   tāśca tisraḥ, paruṣopanāgarikāgrāmyatvabhedāt /	tAH-ca tisraH, paruza-upanAgarikA-grAmya-tva-BedAt /
   tatra paruṣā----	tatra paruzA----
   śaṣābhyāṃ rephasaṃyogaiṣṭavargeṇa ca yojitā /	SazAByAm rePa-saMyoga-Ezwa-vargeNa ca yojitA /
   paraṣā nāma vṛttiḥ syāt hlahvahyādyaiśca saṃyutā // UKss_1.4 //	parazA nAma vRttiH syAt hlahvahi-AdyEH-ca saMyutA // UKsH-_1.4 //
   śakāraṣakārādiyuktau varṇavyavahāraḥ paruṣākhyā vṛttiḥ /	SakAra-zakAra-Adi-yuktO varNa-vyavahAraH paruza-AKyA vRttiH /
   rephopalakṣitāḥ saṃyogāḥ krarkādayo rephasaṃyogāḥ /	rePa-upalakzitAH saMyogAH krarka-AdayaH rePa-saMyogAH /
   ṭakāropalakṣito vargaṣṭavargaḥ ṭaṭhaḍaḍhaṇeti /	wakAra-upalakzitaH vargazwavargaH waWaxaXaNa-iti /
   asyāṃ vṛttau yo 'nuprāsaḥ sa paruṣānuprāsaḥ /	asyAm vRttO yaH anuprAsaH sa paruza-anuprAsaH /
   tasyodāharaṇam----	tasya-udAharaNam-----
   tatra toyāśayāśeṣavyākośitakuśeśayā /	tatra toya-ASaya-aSeza-vyAkoSita-kuSeSayA /
   cakāśe śālikiṃśārukapiśāśāmukhā śarat // UKss_1.*3 //	cakASe SAli-kiMSAruka-piSASA-muKA Sarad // UKsH-_1.*3 //
   toyāśayeṣu aśeṣaṃ sākalyena vyākośitāni vikāsitāni kuśeśayāni padmāni yayā	toya-ASayezu aSezam sAkalyena vyAkoSitAni vikAsitAni kuSeSayAni padmAni yayA
   iti samāsaḥ /	iti samAsaH /
   tathā śālīnāṃ dhānyānāṃ kiṃśārubhiḥ śūkaiḥ kapiśāni piñjarāṇi āśāmukhāni	taTA SAlInAm DAnyAnAm kiMSAruBiH SUkEH kapiSAni piQjarANi ASA-muKAni
   digavakāśā yasyāmiti samāsaḥ /	diS-avakASA yasyAm-iti samAsaH /
