   akrodhādyāś ca niyamāḥ SUp_7.101c	akroDa-AdyAH ca niyamAH SUp_7.101c
   ayutena vimānānāṃ SUp_6.128a	ayutena vimAnAnAm SUp_6.128a
   arghyapātrādisaṃśrayam SUp_3.4d	arGya-pAtra-Adi-saMSrayam SUp_3.4d
   arcayitvā niveśayet SUp_6.172d	arcayitvA niveSayet SUp_6.172d
   alakṣmīmalanāśanam SUp_5.1b	alakzmI-mala-nASanam SUp_5.1b
   alaṃkṛtaḥ śuklavāsā SUp_6.162c	alaMkRtaH Sukla-vAsAH SUp_6.162c
   alpagranthaṃ mahārthaṃ ca SUp_1.8c	alpa-granTam mahA-arTam ca SUp_1.8c
   alpam apy akṣayaṃ tadvat SUp_6.42a	alpam api akzayam tadvat SUp_6.42a
   alpāgame gurau tadvat SUp_7.3c	alpa-Agame gurO tadvat SUp_7.3c
   avadhārya jagaddhātrī SUp_6.144a	avaDArya jagadDAtrI SUp_6.144a
   avimuktaṃ tu naiṣṭhikam SUp_6.192b	avimuktam tu nEzWikam SUp_6.192b
   aviraktaś ca bhogebhyaḥ SUp_4.30a	aviraktaH ca BogeByaH SUp_4.30a
   aśivāḥ pāśasaṃyuktāḥ SUp_1.10a	aSivAH pASa-saMyuktAH SUp_1.10a
   aśuddhabhāvaḥ snāto 'pi SUp_5.43c	aSudDa-BAvaH snAtaH api SUp_5.43c
   aśeṣakulajair sārdhaṃ SUp_4.53a	aSeza-kula-jEH sArDam SUp_4.53a
   aśeṣakaiḥ sarūpaiś ca SUp_6.121a	aSezakEH sarUpEH ca SUp_6.121a
   aśeṣagaṇasaṃyutaḥ SUp_6.112b	aSeza-gaNa-saMyutaH SUp_6.112b
   aśeṣapāpanirmuktaḥ SUp_6.178a	aSeza-pApa-nirmuktaH SUp_6.178a
   aśeṣapāpanirmuktaḥ SUp_6.182a	aSeza-pApa-nirmuktaH SUp_6.182a
   aśeṣaphaladānena SUp_6.33c	aSeza-Pala-dAnena SUp_6.33c
   aśeṣarasadānasya SUp_6.72c	aSeza-rasa-dAnasya SUp_6.72c
   aśeṣāmarapūjitam SUp_1.1b	aSeza-amara-pUjitam SUp_1.1b
   aśeṣāmarasaṃyutam SUp_6.106d	aSeza-amara-saMyutam SUp_6.106d
   aśeṣārthaprasādhakam SUp_4.5b	aSeza-arTa-prasADakam SUp_4.5b
   aśnanti yāvat tatpiṇḍaṃ SUp_6.198a	aSnanti yAvat tad-piNxam SUp_6.198a
   aśvatthe tadabhāvataḥ SUp_4.64b	aSvatTe tad-aBAvataH SUp_4.64b
   aṣṭabhiḥ śodhayed āpaiḥ SUp_4.23c	azwaBiH SoDayet ApEH SUp_4.23c
   aṣṭalakṣaṃ mahābhogaiḥ SUp_6.13c	azwa-lakzam mahA-BogEH SUp_6.13c
   aṣṭahastapramāṇataḥ SUp_3.3b	azwa-hasta-pramANataH SUp_3.3b
   aṣṭāvaraṇasaṃyuktaṃ SUp_6.105c	azwa-AvaraNa-saMyuktam SUp_6.105c
   aṣṭāśraṃ vedimadhyataḥ SUp_2.4b	azwASram vedi-maDyatas SUp_2.4b
   aṣṭau mūrtīśvarāḥ kāryāḥ SUp_2.25c	azwO mUrti-ISvarAH kAryAH SUp_2.25c
   asamiddhe sadhūme ca SUp_4.48a	asamidDe sa-DUme ca SUp_4.48a
   asaṃśraye ca satataṃ SUp_7.15c	asaMSraye ca satatam SUp_7.15c
   asādhāraṇam evoktaṃ SUp_5.15c	asADAraNam eva-uktam SUp_5.15c
   asteyaṃ ca pradakṣiṇam SUp_1.27d	asteyam ca pradakziNam SUp_1.27d
   ahiṃsā gomayaṃ proktaṃ SUp_1.25c	ahiMsA gomayam proktam SUp_1.25c
   ahiṃsādyā yamāḥ pañca SUp_7.101a	ahiMsA-AdyAH yamAH paQca SUp_7.101a
   ahiṃsā satyam asteyaṃ SUp_7.100a	ahiMsA satyam asteyam SUp_7.100a
   ākāśamūrtimantreṇa SUp_5.35c	AkASa-mUrti-mantreNa SUp_5.35c
   ākruṣṭas tāḍitas tasmād SUp_5.39a	AkruzwaH tAxitaH tasmAt SUp_5.39a
   āgacchet kṛpaṇaṃ punaḥ SUp_6.113b	AgacCet kRpaNam punar SUp_6.113b
   āgneyabhāgāt paritaḥ SUp_4.7a	Agneya-BAgAt paritas SUp_4.7a
   āgneyaṃ paṅkavarjitam SUp_5.13d	Agneyam paFka-varjitam SUp_5.13d
   āgneyaṃ rudramantreṇa SUp_5.32a	Agneyam rudra-mantreNa SUp_5.32a
   āgneyaṃ rogaśamanam SUp_5.16c	Agneyam roga-Samanam SUp_5.16c
   āgneyaṃ vāruṇaṃ māntraṃ SUp_5.31a	Agneyam vAruNam mAntram SUp_5.31a
   āgneyaṃ śivanirmitam SUp_5.29b	Agneyam Siva-nirmitam SUp_5.29b
   āgneyaṃ hiṅgum uttamam SUp_6.73d	Agneyam hiFgum uttamam SUp_6.73d
   āgneyyāṃ vāstukaṃ sthāpya SUp_6.83c	AgneyyAm vAstukam sTApya SUp_6.83c
   ācāryaṃ daivataṃ tīrtham SUp_7.88a	AcAryam dEvatam tIrTam SUp_7.88a
   ājyāktā yāvatī bhavet SUp_4.44b	Ajya-aktA yAvatI Bavet SUp_4.44b
   ājyābhāve prakalpayet SUp_4.60b	Ajya-aBAve prakalpayet SUp_4.60b
   ātmano vā parasya vā SUp_7.55d	AtmanaH vA parasya vA SUp_7.55d
   ādadyāj jantuvarjitam SUp_5.8d	AdadyAt jantu-varjitam SUp_5.8d
   ādyam aṅgābhivardhanam SUp_7.84b	Adyam aFga-aBivarDanam SUp_7.84b
   ādhāraṃ yo nivedayet SUp_6.53d	ADAram yaH nivedayet SUp_6.53d
   ānayet sarvayatnena SUp_7.27c	Anayet sarva-yatnena SUp_7.27c
   āpatkāle 'pi yaḥ kuryāc SUp_4.66a	Apad-kAle api yaH kuryAt SUp_4.66a
   āpādatalamastakāt SUp_5.20d	ApAda-tala-mastakAt SUp_5.20d
   ābaddhya kīlayed yatnād SUp_6.150c	AbadDya kIlayet yatnAt SUp_6.150c
   ābhūtasaṃplavaṃ yāvad SUp_4.53c	ABUtasaMplavam yAvat SUp_4.53c
   ābhūtassaṃplavaṃ yāvac SUp_6.227c	ABUtassaMplavam yAvat SUp_6.227c
   āmalakyāḥ phalāni ca SUp_6.21b	AmalakyAH PalAni ca SUp_6.21b
   āmahāpralayaṃ yāvat SUp_6.93c	AmahA-pralayam yAvat SUp_6.93c
   āmramañjarisaṃyutam SUp_6.88b	Amra-maQjari-saMyutam SUp_6.88b
   āyāmaṃ ca suśobhanam SUp_2.10d	AyAmam ca su-SoBanam SUp_2.10d
   āyāmād vistareṇa ca SUp_3.6d	AyAmAt vistareNa ca SUp_3.6d
   āyāmodvartanakriyāḥ SUp_7.19b	AyAma-udvartana-kriyAH SUp_7.19b
   āyudhānāṃ ca nairṛtam SUp_2.19b	AyuDAnAm ca nErRtam SUp_2.19b
   āyudhe cāpi vai phalam SUp_6.244b	AyuDe ca-api vE Palam SUp_6.244b
   āyuṣmān balavāñ śrīmān SUp_3.11c	AyuzmAn balavAn SrImAn SUp_3.11c
   āyuḥ prajñāṃ tathā śaktiṃ SUp_1.6a	AyuH prajQAm taTA Saktim SUp_1.6a
   ārakūṭamayīṃ vāpi SUp_6.120c	ArakUwa-mayIm vA-api SUp_6.120c
   āraṇyaṃ gomayakṛtaṃ SUp_5.6a	AraNyam gomaya-kRtam SUp_5.6a
   āriṣeṇa nivītinā SUp_5.50d	ArizeNa nivItinA SUp_5.50d
   ārtasya śivayoginaḥ SUp_6.219b	Artasya Siva-yoginaH SUp_6.219b
   ārtānāṃ tasya vijñeyaṃ SUp_6.282a	ArtAnAm tasya vijQeyam SUp_6.282a
   ārtāya śivabhaktāya SUp_6.200a	ArtAya Siva-BaktAya SUp_6.200a
   āvārya padasaṃprāptau SUp_7.11c	AvArya pada-saMprAptO SUp_7.11c
   āśrtitopāśritaiḥ sarvair SUp_6.112a	ASrtita-upASritEH sarvEH SUp_6.112a
   āsanaṃ śayanaṃ pānaṃ SUp_7.90c	Asanam Sayanam pAnam SUp_7.90c
   āsīno gurum āsīnam SUp_7.31c	AsInaH gurum AsInam SUp_7.31c
   āste sadā nirudvignaḥ SUp_1.23c	Aste sadA nirudvignaH SUp_1.23c
   āhāram anuyatnataḥ SUp_6.228b	AhAram anuyatnataH SUp_6.228b
   āhāram ardhabhuktaṃ ca SUp_5.5a	AhAram arDa-Buktam ca SUp_5.5a
   āhārācāradharmāṇāṃ SUp_7.39a	AhAra-AcAra-DarmANAm SUp_7.39a
   ikṣuparṇāni caikaikaṃ SUp_6.26c	ikzu-parNAni ca-ekEkam SUp_6.26c
   icchayā krīḍate tāvad SUp_4.27c	icCayA krIxate tAvat SUp_4.27c
   icchayā krīḍate bhogaiḥ SUp_6.180a	icCayA krIxate BogEH SUp_6.180a
   icchayā vā dvijottamaḥ SUp_4.30d	icCayA vA dvijottamaH SUp_4.30d
   icchayā sārvakāmikān SUp_5.26b	icCayA sArvakAmikAn SUp_5.26b
   itarebhyas tilebhyaś ca SUp_4.45c	itareByaH tileByaH ca SUp_4.45c
   iti divyopacāraiś ca SUp_1.28a	iti divya-upacArEH ca SUp_1.28a
   iti nāmāmṛtaṃ divyaṃ SUp_7.131a	iti nAma-amRtam divyam SUp_7.131a
   iti pāśāḥ prakīrtitāḥ SUp_1.11d	iti pASAH prakIrtitAH SUp_1.11d
   iti yaḥ pūjayen nityaṃ SUp_7.42a	iti yaH pUjayet nityam SUp_7.42a
   iti liṅgaṃ tridhā sthitam SUp_2.3d	iti liFgam triDA sTitam SUp_2.3d
   iti śāntigṛhaṃ kṛtvā SUp_4.24a	iti SAnti-gRham kRtvA SUp_4.24a
   ity ādyān aparān api SUp_6.208d	iti AdyAn aparAn api SUp_6.208d
   ity ādyān na vadec chabdān SUp_7.80c	iti AdyAt na vadet SabdAn SUp_7.80c
   ity etat paramaṃ snānam SUp_5.29a	iti etat paramam snAnam SUp_5.29a
   ity etad akhilaṃ kāryaṃ SUp_4.32a	iti etat aKilam kAryam SUp_4.32a
   ity etāni sugandhīni SUp_6.51a	iti etAni suganDIni SUp_6.51a
   ity evam ādikaṃ tailam SUp_4.60a	iti evam Adikam tElam SUp_4.60a
   ity evamādyān yo dadyāc SUp_6.61a	iti evamAdyAn yaH dadyAt SUp_6.61a
   ity evam upaśobhayā SUp_6.177b	iti evam upaSoBayA SUp_6.177b
   ity evaṃ madhyamāṃ śeṣāṃ SUp_6.170a	iti evam maDyamAm SezAm SUp_6.170a
   indranīlapradānena SUp_6.98a	indranIla-pradAnena SUp_6.98a
   indhanānām abhāvena SUp_4.62c	inDanAnAm aBAvena SUp_4.62c
   ime bālāḥ kathaṃ tyājyā SUp_7.105a	ime bAlAH kaTam tyAjyA SUp_7.105a
   ihāmutra ca siddhidam SUp_6.192d	iha-amutra ca sidDi-dam SUp_6.192d
   īśvarapratimāṃ saumyāṃ SUp_6.116c	ISvara-pratimAm sOmyAm SUp_6.116c
   īśvarapratimāṃ hemni SUp_6.139c	ISvara-pratimAm hemni SUp_6.139c
   īśvaraṃ jñānapāragam SUp_1.1d	ISvaram jQAna-pAragam SUp_1.1d
   īśvarādhiṣṭhitaṃ karma SUp_7.113a	ISvara-aDizWitam karma SUp_7.113a
   īśvarāya nivedayet SUp_6.5b	ISvarAya nivedayet SUp_6.5b
   īśvarāya niveditam SUp_6.46d	ISvarAya niveditam SUp_6.46d
   īṣacchidrapidhānayā SUp_4.7d	Izat-Cidra-piDAnayA SUp_4.7d
   uktāni yāni puṇyāni SUp_6.126a	uktAni yAni puNyAni SUp_6.126a
   uccabhāṣyavijṛmbhaṇam SUp_7.13b	ucca-BAzya-vijRmBaNam SUp_7.13b
   uccārayanti tad bhaktyā SUp_1.9c	uccArayanti tat BaktyA SUp_1.9c
   uccārādikriyāsu ca SUp_5.17d	uccAra-Adi-kriyAsu ca SUp_5.17d
   uccārya jagataḥ kramāt SUp_6.160b	uccArya jagataH kramAt SUp_6.160b
   uccārya narakaṃ vrajet SUp_7.37d	uccArya narakam vrajet SUp_7.37d
   uccāvacāni cānyāni SUp_6.80c	uccAvacAni ca-anyAni SUp_6.80c
   ucchiṣṭaṃ śivayoginām SUp_6.221b	ucCizwam Siva-yoginAm SUp_6.221b
   utkṣiptaṃ kalpayed budhaḥ SUp_4.20d	utkziptam kalpayet buDaH SUp_4.20d
   uttamaṃ bhogam icchatā SUp_6.39b	uttamam Bogam icCatA SUp_6.39b
   uttare vāpi tālikīm SUp_6.84d	uttare vA-api tAlikIm SUp_6.84d
   uttiṣṭhed dūratas tvaram SUp_7.17b	uttizWet dUratas tvaram SUp_7.17b
   utsargaparidhānaṃ ca SUp_7.19c	utsarga-pariDAnam ca SUp_7.19c
   utsave ca punar brūmaḥ SUp_4.32c	utsave ca punar brUmaH SUp_4.32c
   utsṛjya pravicārataḥ SUp_7.116b	utsRjya pravicArataH SUp_7.116b
   udakaṃ pāṇinā gṛhya SUp_5.36a	udakam pANinA gRhya SUp_5.36a
   udagarvāk cchritāṃ kiṃcic SUp_3.5c	udagarvAk cCritAm kiMcid SUp_3.5c
   udagdakṣiṇato na ca SUp_4.5d	udak-dakziNatas na ca SUp_4.5d
   uddhūtodaṃ mṛdaṃ dadhi SUp_7.88b	udDUta-udam mRdam daDi SUp_7.88b
   uddhṛtya dakṣiṇaṃ pāṇim SUp_5.49c	udDRtya dakziNam pANim SUp_5.49c
   upakāraḥ parasparam SUp_7.112b	upakAraH parasparam SUp_7.112b
   upary upari vittena SUp_6.169a	upari upari vittena SUp_6.169a
   upary upari sarvāṇi SUp_6.147c	upari upari sarvANi SUp_6.147c
   upavāsaparaḥ kṣamī SUp_6.181b	upavAsa-paraH kzamI SUp_6.181b
   upavītī sadā budhaḥ SUp_5.49d	upavItI sadA buDaH SUp_5.49d
   upavīty ucyate tadā SUp_5.51b	upavItI ucyate tadA SUp_5.51b
   upaśobhā sahasraśaḥ SUp_6.183d	upaSoBA sahasraSas SUp_6.183d
   upasthāya tataḥ sūryaṃ SUp_5.52c	upasTAya tatas sUryam SUp_5.52c
   upānacchattravastrāṇi SUp_7.90a	upAnat-Cattra-vastrANi SUp_7.90a
   upānacchattraśayanaṃ SUp_7.12a	upAnat-Cattra-Sayanam SUp_7.12a
   upetaṃ yavaparvatam SUp_6.68b	upetam yava-parvatam SUp_6.68b
   uptaṃ bhavati satphalam SUp_6.41d	uptam Bavati sat-Palam SUp_6.41d
   ubhayor viniveditam SUp_6.11b	uBayoH viniveditam SUp_6.11b
   uśīrasya tadardhakam SUp_4.37d	uSIrasya tad-arDakam SUp_4.37d
   ūrdhvastūpikayā yuktā SUp_4.7c	UrDvaH-tUpikayA yuktA SUp_4.7c
   ūrdhvaṃ rudraḥ kramād vāpi SUp_2.5c	UrDvam rudraH kramAt vA-api SUp_2.5c
   ṛṣyātreyasagotreṇa SUp_7.140c	RzyAtreya-sagotreNa SUp_7.140c
   ṛṣyātreyaḥ samuddhṛtya SUp_7.132c	RzyAtreyaH samudDRtya SUp_7.132c
   ṛṣyātreyaḥ suniścitam SUp_7.131d	RzyAtreyaH su-niScitam SUp_7.131d
   ṛṣy ātreyaḥ susaṃyataḥ SUp_1.2b	Rzi AtreyaH su-saMyataH SUp_1.2b
   ṛṣy ātreyeṇa dhīmatā SUp_1.4b	Rzi AtreyeNa DImatA SUp_1.4b
   ṛṣy ātreyo munitrayam SUp_7.135d	Rzi AtreyaH muni-trayam SUp_7.135d
   ekacchattrām avāpnuyāt SUp_6.216d	eka=-CattrAm avApnuyAt SUp_6.216d
   ekapregīvakena vā SUp_4.11d	eka-pregIvakena vA SUp_4.11d
   ekabhāgaikamātrakam SUp_6.100b	eka-BAga-eka-mAtrakam SUp_6.100b
   ekam āmraphalaṃ pakvaṃ SUp_6.6a	ekam Amra-Palam pakvam SUp_6.6a
   ekarātroṣitasyāpi SUp_5.19a	eka-rAtra-uzitasya-api SUp_5.19a
   ekaviṃśakulopetaḥ SUp_5.25a	ekaviMSa-kula-upetaH SUp_5.25a
   ekaṃ vaṭaphalaṃ pakvaṃ SUp_6.7a	ekam vawa-Palam pakvam SUp_6.7a
   ekākṣaraṃ vā satataṃ SUp_1.21c	eka-akzaram vA satatam SUp_1.21c
   ekākṣaraḥ punaś cāyam SUp_1.19c	eka-akzaraH punar ca-ayam SUp_1.19c
   ekāṅgulapramāṇena SUp_4.35a	eka-aFgula-pramANena SUp_4.35a
   ekāṃ pūrṇāhutiṃ hutvā SUp_4.52a	ekAm pUrNAhutim hutvA SUp_4.52a
   ekāṃ saparivārāṃ vā SUp_6.122a	ekAm sa-parivArAm vA SUp_6.122a
   ekaikasmin parijñeyam SUp_6.244a	ekEkasmin parijQeyam SUp_6.244a
   ekaikasmin phale bhogān SUp_6.22c	ekEkasmin Pale BogAn SUp_6.22c
   eta eva trayo guṇāḥ SUp_2.6b	ete eva trayaH guNAH SUp_2.6b
   eta eva trayo lokā SUp_2.6a	ete eva trayaH lokAH SUp_2.6a
   eta eva trayo vedā SUp_2.6c	ete eva trayaH vedAH SUp_2.6c
   etac cānyat sthitaṃ tridhā SUp_2.6d	etat ca-anyat sTitam triDA SUp_2.6d
   etad eva paraṃ jñānaṃ SUp_1.17a	etat eva param jQAnam SUp_1.17a
   etad eva phalaṃ jñeyaṃ SUp_6.96a	etat eva Palam jQeyam SUp_6.96a
   etasmād sārvakāmikam SUp_5.16d	etasmAt sArvakAmikam SUp_5.16d
   etair mahātmabiḥ proktāḥ SUp_7.136a	etEH mahAtmabiH proktAH SUp_7.136a
   evam ājyāhutiṃ hutvā SUp_4.50a	evam Ajya-Ahutim hutvA SUp_4.50a
   evam ādiṣu cānyeṣu SUp_6.191a	evam Adizu ca-anyezu SUp_6.191a
   evam ādīni cānyāni SUp_6.21c	evam AdIni ca-anyAni SUp_6.21c
   evam ādīni cānyāni SUp_6.276c	evam AdIni ca-anyAni SUp_6.276c
   evam ādīni cānyāni SUp_7.53a	evam AdIni ca-anyAni SUp_7.53a
   evam ādīyate bhaktyā SUp_6.174a	evam AdIyate BaktyA SUp_6.174a
   evaṃ kṛte viśeṣeṇa SUp_7.79c	evam kRte viSezeNa SUp_7.79c
   evaṃ pṛṣṭaḥ prasannātmā SUp_1.4a	evam pRzwaH prasanna-AtmA SUp_1.4a
   evaṃ madhye 'vasāne tan SUp_2.25a	evam maDye avasAne tat SUp_2.25a
   evaṃ yaḥ sthāpayel liṅgaṃ SUp_2.30a	evam yaH sTApayet liFgam SUp_2.30a
   evaṃ śivamahāśāntim SUp_6.160a	evam Siva-mahA-SAntim SUp_6.160a
   eṣām ekatamaṃ puṇyaṃ SUp_6.132a	ezAm ekatamam puNyam SUp_6.132a
   eṣām ekatame snātaḥ SUp_5.43a	ezAm ekatame snAtaH SUp_5.43a
   eṣu saṃpūjayec chivam SUp_7.75b	ezu saMpUjayet Sivam SUp_7.75b
   aindraṃ dhanur maṇidhanur SUp_7.82a	Endram DanuH maNi-DanuH SUp_7.82a
   aiśvarīṃ sārvakāmikīm SUp_6.160d	ESvarIm sArvakAmikIm SUp_6.160d
   aiṣṭakaṃ kalpayed yatnāc SUp_4.11a	Ezwakam kalpayet yatnAt SUp_4.11a
   om ity evaṃ vyavasthitaḥ SUp_1.19d	om iti evam vyavasTitaH SUp_1.19d
   aumam nāma prakīrtitam SUp_5.48b	Omam nAma prakIrtitam SUp_5.48b
   kakubhām antarāleṣu SUp_6.76a	kakuBAm antarAlezu SUp_6.76a
   kaṭasya pṛṣṭaṃ sarvatra SUp_6.151a	kawasya pRzwam sarvatra SUp_6.151a
