   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   dharmārthakāmamokṣāṇāmupāyaṃ jñātumicchavaḥ // GarP_3,1.7 //	Darma arTa kAma mokzANAm upAyam jQAtum icCavaH // GarP_3,1.7 //
   ṣadviṃśatisahasrāṇi munīnāmūrdhvaretasām /	zad viMSati sahasrANi munInAm UrDvaretasAm /
   teṣāṃ śiṣyapraśiṣyāṇāṃ saṃkhyā vaktuṃ na śaṅkyate // GarP_3,1.8 //	tezAm Sizya praSizyANAm saMKyA vaktum na SaFkyate // GarP_3,1.8 //
   munayo bhāvitātmāno militāste mahojasaḥ /	munayaH BAvitAtmAnaH militAH te mahojasaH /
   lokānugrahakartāro vītarāgā vimatsarāḥ // GarP_3,1.9 //	loka anugraha kartAraH vIta rAgAH vimatsarAH // GarP_3,1.9 //
   kathaṃ harau manuṣyāṇāṃ bhaktiravyabhicāriṇī /	kaTam harO manuzyANAm BaktiH avyaBicAriNI /
   kena sidhyettu sakalaṃ karma trividhamātmanaḥ // GarP_3,1.10 //	kena siDyet tu sakalam karma triviDam AtmanaH // GarP_3,1.10 //
   ityevaṃ praṣṭumātmānamudyatānprekṣya śaunakaḥ /	iti evam prazwum AtmAnam udyatAn prekzya SOnakaH /
   sāṃja lirvākyamāha sma vinayāvanataḥ sudhīḥ // GarP_3,1.11 //	sAMja liH vAkyam Aha sma vinaya avanataH suDIH // GarP_3,1.11 //
   śaunaka uvāca /	SOnakaH uvAca /
   āste siddhāśrame puṇye sūtaḥ paurāṇikottamaḥ /	Aste sidDASrame puNye sUtaH pOrANika uttamaH /
   sa etadakhilaṃ vetti vyāsaśiṣyo yatīśvaraḥ // GarP_3,1.12 //	saH etat aKilam vetti vyAsa SizyaH yati ISvaraH // GarP_3,1.12 //
   tasmāttameva pṛcchāma ityevaṃ śaunako muniḥ /	tasmAt tam eva pRcCAmaH iti evam SOnakaH muniH /
   atha te ṛṣayo jagmuḥ puṇyaṃ siddhāśramaṃ tataḥ // GarP_3,1.13 //	aTa te RzayaH jagmuH puNyam sidDASramam tatas // GarP_3,1.13 //
   papracchuste sukhāsīnaṃ naimiṣāraṇyavāsinaḥ /	papracCuH te suKa AsInam nEmiza araNya vAsinaH /
   ṛṣaya ūcuḥ /	RzayaH UcuH /
   vayaṃ tvatithayaḥ prāptāstvātitheyosi suvrata // GarP_3,1.14 //	vayam tu atiTayaH prAptAH tu AtiTeyosi suvrata // GarP_3,1.14 //
   snānadānopacāreṇa pūjayitvā yathāvidhi /	snAna dAna upacAreNa pUjayitvA yaTAviDi /
   kena viṣṇuḥ prasannaḥ syātsa kathaṃ pūjyate naraiḥ // GarP_3,1.15 //	kena vizNuH prasannaH syAt sa kaTam pUjyate narEH // GarP_3,1.15 //
   muktisādhanabhūtaṃ ca brūhi tattvavinirṇayam /	mukti sADana BUtam ca brUhi tattva vinirNayam /
   sūta uvāca /	sUtaH uvAca /
   śṛṇudhvamṛṣyaḥ sarve hariṃ tattvavinirṇayam // GarP_3,1.16 //	SRNuDvam RzyaH sarve harim tattva vinirNayam // GarP_3,1.16 //
   natvā viṣṇuṃ śriyaṃ vāyuṃ bhāratīṃ śeṣasaṃjñakam /	natvA vizNum Sriyam vAyum BAratIm Seza saMjQakam /
   dvaipāyanaṃ guruṃ kṛṣṇaṃ pravakṣyāmi yathāmati // GarP_3,1.17 //	dvEpAyanam gurum kRzNam pravakzyAmi yaTAmati // GarP_3,1.17 //
   nāsti nārāyaṇasamaṃ na bhūtaṃ na bhaviṣyati /	na asti nArAyaNa samam na BUtam na Bavizyati /
   etena satyavākyena sarvārthānsādhayāmyaham // GarP_3,1.18 //	etena satya vAkyena sarva arTAn sADayAmi aham // GarP_3,1.18 //
   śaunaka uvāca /	SOnakaH uvAca /
   kimarthaṃ namanaṃ viṣṇorgranthādau munisattama /	kimarTam namanam vizNoH granTa AdO muni sattamaH /
   kartavyaṃ brūhi me brahmankṛpayā mama suvrata // GarP_3,1.19 //	kartavyam brUhi me brahman kRpayA mama suvrata // GarP_3,1.19 //
   tataḥ śriyaṃ tato vāyuṃ bhāratīṃ ca tataḥ param /	tatas Sriyam tatas vAyum BAratIm ca tatas param /
   ante vyāsaṃ kimarthaṃ ca tvaṃ namaskṛtavānasi /	ante vyAsam kim arTam ca tvam namaskRtavAn asi /
   sūtasūta mahābhāga brūhi kāraṇamatra ca // GarP_3,1.20 //	sUtasUta mahABAga brUhi kAraNam atra ca // GarP_3,1.20 //
   sūta uvāca /	sUtaH uvAca /
   ādau vandyaḥ sarvavedaikavedyo vede śāstre setihāse purāṇe /	AdO vandyaH sarva veda eka vedyaH vede SAstre sa itihAse purANe /
   sattāṃ prāyo viṣṇurevaika eva prakāśate 'to namya eko harirhi //	sattAm prAyas vizNuH eva ekaH eva prakASate atas namyaH ekaH hariH hi //
   GarP_3,1.21 //	GarP_3,1.21 //
   sarvatra mukhyastvadhikonyatopi sa eva namyo na ca śaṅkarādyāḥ /	sarvatra muKyaH tu aDikonyatopi saH eva namyaH na ca SaFkara AdyAH /
   namanti ye 'vinayācchaṅkaraṃ tu vināyakaṃ caṇḍikāṃ reṇukāṃ ca //	namanti ye avinayAt SaFkaram tu vinAyakam caNxikAm reNukAm ca //
   GarP_3,1.22 //	GarP_3,1.22 //
   tathā sūryaṃ bhairavaṃ mātāraśva tathā vāṇīṃ girijāṃ vai śriyaṃ ca /	taTA sUryam BEravam mAtAraSva taTA vANIm girijAm vE Sriyam ca /
   sarvepi te vaiṣṇavā naiva loke na tadbhaktā veti cāryā vadanti //	sarvepi te vEzNavAH na eva loke na tad BaktA vA iti ca AryAH vadanti //
   GarP_3,1.23 //	GarP_3,1.23 //
   na pārthikyānnamanaṃ kāryameva prīṇanti naitā devatāḥ pūjanena /	na pArTikyAt namanam kAryam eva prINanti na etAH devatAH pUjanena /
   pūjāṃ gṛhītvā devatāścaiva sarvāḥ kiñciddatvā phaladānena tāṃśca //	pUjAm gRhItvA devatAH ca eva sarvAH kiQcid datvA Pala dAnena tAn= ca //
   GarP_3,1.24 //	GarP_3,1.24 //
   saṃtarpya tuṣṭaiḥ svamanonu sārāttaiḥ kāritāṃ kāmyapūjāṃ tathaiva /	saMtarpya tuzwEH sva manonu sArAttEH kAritAm kAmya pUjAm taTA eva /
   nivedayitvā paradevatāyāṃ viṣṇau harau śrīpuruṣādivandye // GarP_3,1.25 //	nivedayitvA para devatAyAm vizNO harO SrI puruza Adi vandye // GarP_3,1.25 //
   ihāparatrāpi sukhetarāṇi dāsyanti paścādadharaṃ vai tamaśca /	iha aparatra api suKa itarANi dAsyanti paScAt aDaram vE tamaH ca /
   ato hyete naiva pūjyā na namyā mokṣecchubhirbrāhmaṇādyairdvijendra //	atas hi ete na eva pUjyAH na namyAH mokza it SuBiH brAhmaNa AdyEH dvija indra //
   GarP_3,1.26 //	GarP_3,1.26 //
   tathaiva sarvāśramibhiśca nityaṃ mahāvipattāvapi vipravaryāḥ /	taTA eva sarva ASramiBiH ca nityam mahA vipattO= api vipra varyAH /
   śrīkāmya yā ye tu bhajanti nityaṃ śrībrahmarudredrayamādidevān //	SrI kAmya yAH ye tu Bajanti nityam SrI brahma rudredrayam AdidevAn //
   GarP_3,1.27 //	GarP_3,1.27 //
   iheva bhuñjanti mahacca duḥ khaṃ mahāpadaḥ kuṣṭhabhagandarādīn /	iha iva BuQjanti mahat ca duH Kam mahApadaH kuzWa Bagandara AdIn /
   namanti ye 'vaiṣṇavānbrahmarudravāyu pratīkānnaiva te viṣṇubhaktāḥ //	namanti ye avEzNavAn brahma rudra vAyu pratIkAt na eva te vizNu BaktAH //
   GarP_3,1.28 //	GarP_3,1.28 //
   abhiprāyaṃ tvatra vakṣye munīndrāḥ paraṃ gopyaṃ hṛdi dhāryaṃ hi taddhi /	aBiprAyam tu atra vakzye muni indrAH param gopyam hRdi DAryam hi tat hi /
   vāyoḥ pratīkaṃ pūjyameveha viprā na brahmarudrādipratīkameva //	vAyoH pratIkam pUjyam eva iha viprAH na brahmarudra Adi pratIkam eva //
   GarP_3,1.29 //	GarP_3,1.29 //
   pūjākāle devadevasya viṣṇorvāyoḥ pratīkaṃ yogyabhāge nidhāya /	pUjA kAle devadevasya vizNoH vAyoH pratIkam yogya BAge niDAya /
   antargataṃ tasya vāyorhariṃ ca lakṣmīpatiṃ pūjayitvā hi samyak //	antargatam tasya vAyoH harim ca lakzmIpatim pUjayitvA hi samyak //
   GarP_3,1.30 //	GarP_3,1.30 //
   paścādvāyoḥ supratīkaṃ ca samyaṅ nirmālyaśeṣeṇa hareḥ samarcayet /	paScAt vAyoH supratIkam ca samyak nirmAlya SezeNa hareH samarcayet /
   pṛthakca sragdhūpavilepanādipūjāṃ prakurvanti ca ye vimūḍhaḥ //	pRTak ca sraj DUpa vilepana Adi pUjAm prakurvanti ca ye vimUXaH //
   GarP_3,1.31 //	GarP_3,1.31 //
   teṣāṃ duḥ khamiha loke paratra bhaviṣyate nātra vicāryamasti /	tezAm duH Kam iha loke paratra Bavizyate na atra vicAryam asti /
   prāyaścittaṃ svasti viprāḥ kathañcittatkurvantu smaraṇaṃ nāma viṣṇoḥ //	prAyaScittam svasti viprAH kaTaQcid tat kurvantu smaraNam nAma vizNoH //
   GarP_3,1.32 //	GarP_3,1.32 //
   pāṣaṇḍarudrādikasaṃ pratiṣṭhitānharervāyoḥ śaṅkarasya pratīkān /	pAzaNxa rudra Adi kasam pratizWitAn hareH vAyoH SaFkarasya pratIkAn /
   namanti ye phalabuddhyā vibhūḍhāsteṣāṃ phalaṃ śāśvataṃ duḥ khameva //	namanti ye Pala budDyA viBUXAH tezAm Palam SASvatam duH Kam eva //
   GarP_3,1.33 //	GarP_3,1.33 //
   vāyoḥ pratīkaṃ yadi vipravaryaiḥ pratiṣṭhitaṃ cennamanaṃ hi kāryam /	vAyoH pratIkam yadi vipra varyEH pratizWitam ced namanam hi kAryam /
   naivedyaśeṣeṇa hareśca viṣṇoḥ pūjā kṛtā cenna hi doṣaleśaḥ // GarP_3,1.34	nEvedya SezeNa hareH ca vizNoH pUjA kRtA ced na hi doza leSaH // GarP_3,1.34
   gururhi mukhyo hanumajjanirmahānrāmāṅghribhakto hanumānsadaiva /	guruH hi muKyaH hanu majja niH mahAn rAma aFGri BaktaH hanumAn sadA eva /
   evaṃ viditvā paramaṃ hariṃ ca putraṃ punarmukhyadevasya vāyoḥ //	evam viditvA paramam harim ca putram punar muKya devasya vAyoH //
   GarP_3,1.35 //	GarP_3,1.35 //
   namaskāro nānyathā vipravaryā ādhīyatāṃ hṛdi sarvai rahasyamam /	namaskAraH na anyaTA vipra varyAH ADIyatAm hRdi sarvEH rahasyamam /
   ye vaiṣṇavā vaiṣṇa vadāsabhṛtyāḥ sarvepi te sarvadā viṣṇumeva //	ye vEzNavAH vEzNa vadAsa BRtyAH sarva ipi te sarvadA vizNum eva //
   GarP_3,1.36 /	GarP_3,1.36 /
   namanti ye vai pratipādayanti tathaiva puṇyāni ca sāttvikāni /	namanti ye vE pratipAdayanti taTA eva puNyAni ca sAttvikAni /
   namanti ye vāsudevaṃ hariṃ ca samyak svaśaktyā pratipādayanti //	namanti ye vAsudevam harim ca samyak sva SaktyA pratipAdayanti //
   GarP_3,1.37 //	GarP_3,1.37 //
   pravṛttimārgeṇa na pūjayanti hyāpatkāle paradaivaṃ tadanyam /	pravRtti mArgeNa na pUjayanti hi Apad kAle para dEvam tad anyam /
   te vaiṣṇavā vaiṣṇavadāsabhṛtyā anye ca sarve 'vaiṣṇavamātrakāḥ smṛtāḥ //	te vEzNavAH vEzNava dAsa BRtyAH anye ca sarve avEzNava mAtrakAH smRtAH //
   GarP_3,1.38 //	GarP_3,1.38 //
   upakramairupasaṃhārasya liṅgairhariṃ guruṃ hyantareṇaiva yānti /	upakramEH upasaMhArasya liFgEH harim gurum hi antareNa eva yAnti /
   tānevāhuḥ satpurāṇāni viprāḥ kalau yuge nābhyasūyanti sarve // GarP_3,1.39	tAn eva AhuH sat purANAni viprAH kalO yuge na aByasUyanti sarve // GarP_3,1.39
   yato hitānye pratipādayanti pravṛttidharmānsvasvavarṇānurūpān /	yatas hita anye pratipAdayanti pravRtti DarmAn sva sva varNa anurUpAn /
   ato hyasūyanti sadā vimūḍhāḥ kalau hi viprāḥ pracurā hi tepi //	atas hi asUyanti sadA vimUXAH kalO hi viprAH pracurAH hi tepi //
   GarP_3,1.40 //	GarP_3,1.40 //
   na cāsti viṣṇoḥ sadṛśaṃ ca daivataṃ na cāsti vāyoḥ sadṛśo guruśca /	na ca asti vizNoH sadRSam ca dEvatam na ca asti vAyoH sadRSaH guruH ca /
   na cāsti tīrthaṃ sadṛśaṃ viṣṇupadyāḥ na viṣṇubhaktena samosti bhaktaḥ //	na ca asti tIrTam sadRSam vizNupadyAH na vizNu Baktena samosti BaktaH //
   GarP_3,1.41 //	GarP_3,1.41 //
   anyāni viṣṇoḥ pratipādakāni sarvāṇi te sāttvikānīti cāhuḥ /	anyAni vizNoH pratipAdakAni sarvANi te sAttvikAni iti ca AhuH /
   śrāvyāṇi tānyeva manuṣyaloke śrāvyāṇi nānyāni ca duḥ khadāni //	SrAvyANi tAni eva manuzya loke SrAvyANi na anyAni ca duH KadAni //
   GarP_3,1.42 //	GarP_3,1.42 //
   kalau yuge sarva purāṇamadhye trīṇyeva mukhyāni haripriyāṇi /	kalO yuge sarve purANa maDye trINi eva muKyAni hari priyANi /
   mukhyaṃ purāṇaṃ hi kalau nṛṇāṃ ca śreyaskaraṃ bhāgavataṃ purāṇam //	muKyam purANam hi kalO nRNAm ca Sreyaskaram BAgavatam purANam //
   GarP_3,1.43 //	GarP_3,1.43 //
   pūrvaṃ hi sṛṣṭiḥ pratipādyate tra yato hyato bhāgavataṃ paraṃ smṛtam /	pUrvam hi sRzwiH pratipAdyate tra yatas hi atas BAgavatam param smRtam /
   yasminpurāṇe kathayanti sṛṣṭiṃ hyādau viṣṇorbrahmarudrādikānām //	yasmin purANe kaTayanti sRzwim hi AdO vizNoH brahma rudra AdikAnAm //
   GarP_3,1.44 //	GarP_3,1.44 //
   nānārthamevaṃ kathayanti vipra nīcoccarūpaṃ jñānamāhurmahāntaḥ /	nAnA arTam evam kaTayanti vipra nIca ucca rUpam jQAnam AhuH mahAntaH /
   tenaiva siddhaṃ pravadanti sarvaṃ hyataḥ paraṃ bhāgavataṃ purāṇam //	tena eva sidDam pravadanti sarvam hi atas param BAgavatam purANam //
   GarP_3,1.45 //	GarP_3,1.45 //
   tataḥ paraṃ viṣṇupurāṇamāhustataḥ paraṃ gāruḍasaṃjñakaṃ ca /	tatas param vizNupurANam AhuH tatas param gAruxa saMjQakam ca /
   trīṇyeva mukhyā ni kalau nṛṇāṃ tu tathā viśeṣo gāruḍe kiñcidasti //	trINi eva muKyAH ni kalO nRNAm tu taTA viSezaH gAruxe kiQcid asti //
   GarP_3,1.46 //	GarP_3,1.46 //
   śṛṇudhvaṃ vai taṃ viśeṣaṃ ca viprāstryaṃśairyuktaṃ gāruḍākhyaṃ purāṇam /	SRNuDvam vE tam viSezam ca viprAH tri aMSEH yuktam gAruxa AKyam purANam /
   ādyāṃśaṃ vai karmakāṇḍaṃ vadanti dvitīyāṃśaṃ dharmakāṇḍaṃ tamāhuḥ //	Adya aMSam vE karma kANxam vadanti dvitIya aMSam Darma kANxam tam AhuH //
   GarP_3,1.47 //	GarP_3,1.47 //
   tṛtīyāṃśaṃ brahmakāṇḍaṃ vadanti teṣāṃ madhye tvantimoyaṃ variṣṭhaḥ /	tRtIya aMSam brahma kANxam vadanti tezAm maDye tu anti moyam varizWaH /
   tṛtīyāṃśaśravaṇātpuṇyamāhustulyaṃ puṇyaṃ bhāgavatasya viprāḥ //	tRtIya aMSa SravaNAt puNyam AhuH tulyam puNyam BAgavatasya viprAH //
   GarP_3,1.48 //	GarP_3,1.48 //
   tṛtīyāṃśe paṭhite vedatulyaṃ phalaṃ bhavennātra vicāryamasti /	tRtIya aMSe paWite veda tulyam Palam Bavet na atra vicAryam asti /
   tṛtīyāṃśaśravaṇādeva viprāḥ phalaṃ proktaṃ paṭhatopyarthamevam //	tRtIya aMSa SravaNAt eva viprAH Palam proktam paWata upyarTam evam //
   GarP_3,1.49 //	GarP_3,1.49 //
   tṛtīyāṃśaśravaṇādarthataśca puṇyaṃ cāhuḥ paṭhato vai daśāṃśam /	tRtIya aMSa SravaNAt arTataH ca puNyam ca AhuH paWataH vE daSa aMSam /
   tato varaṃ matsyapurāṇamāhustato varaṃ kūrmapūrāṇamāhuḥ // GarP_3,1.50 //	tatas varam matsya purANam AhuH tatas varam kUrma pUrANam AhuH // GarP_3,1.50 //
   tathaiva vai vāyupurāṇamāhustrīṇyeva cāhuḥ sāttvikānīti loke /	taTA eva vE vAyupurANam AhuH trINi eva ca AhuH sAttvikAni iti loke /
   tatrāpi kiñcidveditavyaṃ bhavecca purāṇaṣaṭke sattvarūpe munīndrāḥ //	tatra api kiQcid veditavyam Bavet ca purANa zawke sattva rUpe muni indrAH //
   GarP_3,1.51 //	GarP_3,1.51 //
   sattvādhame mātsyakaurme tathāhurvāyu cāhuḥ sāttvikaṃ madhyamaṃ ca /	sattva aDame mAtsya kOrme taTA AhuH vAyu ca AhuH sAttvikam maDyamam ca /
   viṣṇoḥ purāṇaṃ bhāgavataṃ purāṇaṃ sattvottamaṃ gāruḍaṃ cāhurāryāḥ //	vizNoH purANam BAgavatam purANam sattva uttamam gAruxam ca AhuH AryAH //
   GarP_3,1.52 //	GarP_3,1.52 //
   skāndaṃ pādmaṃ vāmanaṃ vai varāhaṃ tathāgreyaṃ bhaviṣyaṃ parvasṛṣṭau /	skAndam pAdmam vAmanam vE varAham taTA Agreyam Bavizyam parva sRzwO /
   etānyāhū rājasānīti viprāstatraikadeśaḥ sāttvikastāmasaśca // GarP_3,1.53	etAni AhuH rAjasAni iti viprAH tatra eka deSaH sAttvikaH tAmasaH ca // GarP_3,1.53
   rajaḥ prācuryādrājasānīti ca huḥ śrāvyāṇi naitāni mumukṣubhiḥ sadā /	rajaH prAcuryAt rAjasAni iti ca huH SrAvyANi na etAni mumukzuBiH sadA /
   teṣāṃ madhye sāttvikāṃśāśca saṃti teṣāṃ śrutergāruḍīyaṃ phalaṃ ca //	tezAm maDye sAttvika aMSAH ca saMti tezAm SruteH gAruxIyam Palam ca //
   GarP_3,1.54 //	GarP_3,1.54 //
   brahmāṇḍalaiṅgye brahmavaivartakaṃ vai mārkaṃṇḍeyaṃ brāhmamādityakaṃ ca /	brahmANxalEFgye brahmavEvartakam vE mArkaMNxeyam brAhmam Adityakam ca /
   etānyā hustāmasānīti viprāstatraikadeśaḥ sāttviko rājasaśca // GarP_3,1.55	etAnyAH huH tAmasAni iti viprAH tatra eka deSaH sAttvikaH rAjasaH ca // GarP_3,1.55
   śrāvyāṇi naitāni manuṣyaloke tattvecchubhistāmasānītyato hi /	SrAvyANi na etAni manuzya loke tattva icSuBiH tAmasAni iti atas hi /
   teṣu sthitāḥ sāttvikāṃśā munīndrāsteṣāṃ śrutirgāruḍaikāṅghritulyā //	tezu sTitAH sAttvika aMSAH muni indrAH tezAm SrutiH gAruxa eka aFGri tulyA //
   GarP_3,1.56 //	GarP_3,1.56 //
   alpānyupapurāṇāni vadantyaṣṭādaśāni ca /	alpAni upapurANAni vadanti azwAdaSAni ca /
   viṣṇudharmotaraṃ caiva tantraṃ bhāgavataṃ tathā // GarP_3,1.57 //	vizNuDarma utaram ca eva tantram BAgavatam taTA // GarP_3,1.57 //
   tattvasāraṃ nārasiṃhaṃ vāyuproktaṃ tathaiva ca /	tattva sAram nArasiMham vAyu proktam taTA eva ca /
   tathā haṃsapurāṇaṃ ca ṣaḍetāni munīśvarāḥ // GarP_3,1.58 //	taTA haMsapurANam ca zaw etAni muni ISvarAH // GarP_3,1.58 //
   sāttvikānyeva jānīdhvaṃ prāyaśo nātra saṃśayaḥ /	sAttvikAni eva jAnIDvam prAyaSas na atra saMSayaH /
   eteṣāṃ śravaṇādeva gāruḍārdhaphalaṃ śrutam // GarP_3,1.59 //	etezAm SravaNAt eva gAruxa arDa Palam Srutam // GarP_3,1.59 //
   bhaviṣyottaranāmānaṃ bṛhannāradameva ca /	Bavizyottara nAmAnam bRhat nAradam eva ca /
   yamanāradasaṃvādaṃ laghunāradameva ca // GarP_3,1.60 //	yama nArada saMvAdam laGu nAradam eva ca // GarP_3,1.60 //
   vināyakapurāṇaṃ ca bṛhadbrahmāṇḍameva ca /	vinAyaka purANam ca bRhat brahmANxam eva ca /
   etāni rājasānyāhuḥ śravaṇādbhuktaruttamā // GarP_3,1.61 //	etAni rAjasAni AhuH SravaNAt Buktar uttamAH // GarP_3,1.61 //
   gāruḍātpādatulyaṃ ca phalaṃ cāhurmanīṣiṇaḥ /	gAruxAt pAda tulyam ca Palam ca AhuH manIziNaH /
   purāṇaṃ bhāgavataṃ śaivaṃ nandiproktaṃ tathaiva ca // GarP_3,1.62 //	purANam BAgavatam SEvam nandi proktam taTA eva ca // GarP_3,1.62 //
   pāśupatyaṃ raiṇukaṃ ca bhairavaṃ ca tathaiva ca /	pASupatyam rENukam ca BEravam ca taTA eva ca /
   etāni tāmasānyāhurharitattvārthavedinaḥ // GarP_3,1.63 //	etAni tAmasAni AhuH hari tattva arTa vedinaH // GarP_3,1.63 //
   eteṣāṃ śravaṇādviprāgāruḍāṅghyardhmeva ca /	etezAm SravaNAt vipra agAruxa aFGya RDmA iva ca /
   sarveṣvapi purāṇeṣu śreṣṭhaṃ bhāgavataṃ smṛtam // GarP_3,1.64 //	sarvezu api purANezu SrezWam BAgavatam smRtam // GarP_3,1.64 //
   vedaistulya sama pāṭhe śravaṇe ca tadardhakam /	vedEH tulya sama pAWe SravaNe ca tad arDakam /
   arthataḥ śravaṇe cāsya puṇyaṃ daśaguṇaṃ smṛtam // GarP_3,1.65 //	arTataH SravaNe ca asya puNyam daSaguNam smRtam // GarP_3,1.65 //
   vaktuḥ syāddviguṇaṃ puṇyaṃ vyākhyātuśca tathādhikam /	vaktuH syAt dviguNam puNyam vyAKyAtuH ca taTA aDikam /
   anantavedaiḥsāmyamāhurmahāntaḥ bhārānmahattvādbhāratasyāpi viprāḥ //	ananta vedEH sAmyam AhuH mahAntar BArAn mahat tvAt BAratasya api viprAH //
   GarP_3,1.66 //	GarP_3,1.66 //
   vedobhyosya tvarthataścādhikatvaṃ vadanti bai viṣṇurahasyavedinaḥ //	vedoByosya tu arTataH ca aDika tvam vadanti bE vizNu rahasya vedinaH //
   GarP_3,1.67 //	GarP_3,1.67 //
   tatra śreṣṭhāṃ gītikāmāhurāryāstathaiva viṣṇornāmasāhasraka ca /	tatra SrezWAm gItikAm AhuH AryAH taTA eva vizNoH nAma sAhasraka ca /
   tayostatra śravaṇādbhāratasya daśādhikaṃ phalamāhurmahāntaḥ // GarP_3,1.68	tayoH tatra SravaNAt BAratasya daSa aDikam Palam AhuH mahAntaH // GarP_3,1.68
   daityāḥ sarva viprakuleṣu bhūtvā kṛte yuge bhārate ṣaṭsahasryām /	dEtyAH sarva vipra kulezu BUtvA kRte yuge BArate zaz sahasryAm /
   niṣkāsya kāṃścinnavanirmitānāṃ niveśanaṃ tatra kurvanti nityam //	nizkAsya kAMScid nava nirmitAnAm niveSanam tatra kurvanti nityam //
   GarP_3,1.69 //	GarP_3,1.69 //
   matvā hariṃ bhagavānvyāsarūpī cakre tadā bhāgavataṃ purāṇam /	matvA harim BagavAn vyAsa rUpI cakre tadA BAgavatam purANam /
   tathā samākhyāya ca vaiṣṇavaṃ tattataḥ paraṃ gāruḍākhyaṃ sa cakre //	taTA samAKyAya ca vEzNavam tat tatas param gAruxa AKyam sa cakre //
   GarP_3,1.70 //	GarP_3,1.70 //
   ato hi gāruḍaṃ mukhyaṃ purāṇaṃ śāstrasaṃmatam /	atas hi gAruxam muKyam purANam SAstra saMmatam /
   gāruḍena samaṃ nāsti viṣṇudharmapradarśane // GarP_3,1.71 //	gAruxena samam na asti vizNuDarma pradarSane // GarP_3,1.71 //
   yathā surāṇāṃ pravaro janārdano yathāyudhānāṃ pravaraḥ sudarśanam /	yaTA surANAm pravaraH janArdanaH yaTA AyuDAnAm pravaraH sudarSanam /
   yathāśvamedhaḥ pravaraḥ kratūnāṃ chinneṣu bhakteṣu tathaiva rudraḥ //	yaTA aSvameDaH pravaraH kratUnAm Cinnezu Baktezu taTA eva rudraH //
   GarP_3,1.72 //	GarP_3,1.72 //
   nadīṣu gaṅgā jalajeṣu padmamacchinnabhakteṣu tathaiva vāyuḥ /	nadIzu gaFgA jala jezu padmam acCinna Baktezu taTA eva vAyuH /
   tathā purāṇeṣu ca gāruḍaṃ ca mukhyaṃ tadāhurharitattvadarśane //	taTA purANezu ca gAruxam ca muKyam tat AhuH hari tattva darSane //
   GarP_3,1.73 //	GarP_3,1.73 //
