   sāṅkhyasāraḥ /	sAFKya-sAraH /
   ityādyāḥ / smṛtayaśca kaurmādyāḥ / yathā kaurme /	ityAdyAH / smRtayaH-ca kOrma-AdyAH / yaTA kOrme /
   rāgadveṣādayo doṣāḥ sarve bhrāntinibandhanāḥ /	rAga-dveza-AdayaH dozAH sarve BrAnti-nibanDanAH /
   kāryo hyasya bhaveddoṣaḥ puṇyāpuṇyamiti śrutiḥ //	kAryaH hi-asya Bavet-dozaH puNya-apuNyam-iti SrutiH //
   tadvaśādeva sarveṣāṃ sarvadehasamudbhavaḥ /	tad-vaSAt-eva sarvezAm sarva-deha-samudBavaH /
   iti / mokṣadharme ca /	iti / mokza-Darme ca /
   indriyāṇīndriyārthāśca nopasarpantyatarṣulam /	indriyANi-indriya-arTAH-ca na-upasarpanti-atarzulam /
   hīnaśca karaṇairdehī na dehaṃ punararhati //	hInaH-ca karaNEH-dehI na deham punar-arhati //
   tasmāt tarṣātmakād rāgād bījājjāyanti jantavaḥ /	tasmAt tarza-AtmakAt rAgAt bIjAt-jAyanti jantavaH /
   iti / nanu rāgābhāve 'pi kevalakarmavaśānnarakādiprāpteḥ kathaṃ rāgasya	iti / nanu rAga-aBAve api kevala-karma-vaSAt-naraka-Adi-prApteH kaTam rAgasya
   karmasahakāritvaṃ vipākārambha upapannam / narakādau viśeṣato rāgābhāve	karma-sahakAri-tvam vipAka-AramBaH upapannam / naraka-AdO viSezataH rAga-aBAve
   'pi sāmānyato rāgasattvāt / niṣiddhastryādigāmināṃ stryādirāgādeva	api sAmAnyatas rAga-sattvAt / nizidDaH-trI-Adi-gAminAm strI-Adi-rAgAt-eva
   taptalohamayanārīsamāliṅganādirūpanarakotpatteḥ /	tapta-loha-maya-nArI-samAliFgana-Adi-rUpa-naraka-utpatteH /
   yadyapyavidyāsmitārāgadveṣabhayākhyaṃ kleśapañcakameva janmādivipākārambhe	yadi-api-avidyA-smitA-rAga-dveza-Baya-AKyam kleSa-paQcakam-eva janma-Adi-vipAka-AramBe
   karmaṇāṃ sahakāri bhavati /	karmaNAm sahakAri Bavati /
   tadeva saktaḥ saha karmaṇaiti	tat-eva saktaH saha karmaNA-eti
   liṅgaṃ mano yatra niṣiktamasya /	liFgam manaH yatra niziktam-asya /
   iti śrutāvabhimānarāgadveṣādijanyasya viṣayavāsanākhyasaṅgasāmānyasyaiva	iti SrutO=-aBimAna-rAga-dveza-Adi-janyasya vizaya-vAsanA-AKya-saFga-sAmAnyasya-eva
   janmādivipākārambhe karmasahakāritvasiddheḥ /	janma-Adi-vipAka-AramBe karma-sahakAri-tva-sidDeH /
   yatra yatra mano dehī dhārayet sakalaṃ dhiyā /	yatra yatra manaH dehI DArayet sakalam DiyA /
   snehāddveṣādbhayādvā 'pi yāti tattatsarūpatām //	snehAt-dvezAt-BayAt-vA api yAti tad-tad-sarUpa-tAm //
   ityādismṛteśca / tathā ca kleśamūlaḥ karmāśayaḥ / sati mūle tadvipāko	ityAdi-smRteH-ca / taTA ca kleSa-mUlaH karma-ASayaH / sati mUle tad-vipAkaH-
   jātyāyurbhogā iti yogasūtrābhyāmapyadṛṣṭe tadvipākārambhe ca kleśānāṃ	jAti-AyuH-BogAH iti yoga-sUtrAByAm-api-adRzwe tad-vipAka-AramBe ca kleSAnAm
   hetutvavacanācca / tathā 'pyavidyāsmitāsattve	hetu-tva-vacanAt-ca / taTA api-avidyA-smitA-sattve
   rāgasyāvaśyakatvāddveṣabhayayośca rāgamūlakatvādrāga eva mukhyato	rAgasya-AvaSyaka-tvAt-dveza-BayayoH-ca rAga-mUlaka-tvAt-rAgaH eva muKyato
   janmādihetutayā yathoktavākyairnirdiśyata iti / nanu /	janma-Adi-hetu-tayA yaTA-ukta-vAkyEH-nirdiSyate iti / nanu /
   kṣīyante cāsya karmāṇi tasmin dṛṣṭe parāvare /	kzIyante ca-asya karmANi tasmin dRzwe parAvare /
   ityādiśruterjñānasya prācīnakarmanāśakatvamevocitaṃ dāhakatvaṃ	ityAdi-SruteH-jQAnasya prAcIna-karma-nASaka-tvam-eva-ucitam dAhaka-tvam
   kathamiṣyata iti cenna /	kaTam-izyate iti ced-na /
   jñānāgnidagdhakarmāṇaṃ tamāhuḥ paṇḍitaṃ budhāḥ /	jQAna-agni-dagDa-karmANam tam-AhuH paNxitam buDAH /
   ityādivākyairdāhasyāpi śravaṇena lāghavāddāhaparatvasyaiva	ityAdi-vAkyEH-dAhasya-api SravaNena lAGavAt-dAha-paratvasya-eva
   nāśādivākyeṣvapi kalpanaucityāt / karmaṇāṃ dāhaśca	nASa-Adi-vAkyezu-api kalpanA-OcityAt / karmaNAm dAhaH-ca
   kleśākhyasahakāryucchedena naiṣphalyam / karmaṇāṃ nāśastu	kleSa-AKya-saha-kAri-ucCedena nEzPalyam / karmaNAm na-ASaH-tu
   prārabdhabhogānte cittanāśādeva bhaviṣyati / ato	prArabDa-Boga-ante citta-nASAt-eva Bavizyati / atas-
   lokasiddhenāvidyānāśenaiva dvāreṇa karmaphalānutpattisambhavānna jñānasya	loka-sidDena-avidyA-nASena-eva dvAreNa karma-Pala-anutpatti-samBavAn-na jQAnasya
   karmanāśakatvaṃ gauravādityādikaṃ yogavārttike praprañcitamasmābhiriti dik	karma-nASaka-tvam gOravAt-itya-Adikam yogavArttike prapraQcitam-asmABiH-iti diS-
   / tasmādvivekasākṣātkārādavidyāsmitārāgādikleśanivṛttau	/ tasmAt-viveka-sAkzAt-kArAt-avidyA-smita-ArAga-Adi-kleSa-nivRttO
   trividhaduḥkhātyantanivṛttirūpaparamapuruṣārthaḥ siddhyatītyupapannam /	triviDa-duHKa-atyanta-nivRtti-rUpa-parama-puruza-arTaH sidDi-ati-iti-upapannam /
   tathā ca yogasūtradvayam / heyaṃ duḥkhamanāgatam / vivekkhyātiraviplavā	taTA ca yoga-sUtra-dvayam / heyam duHKam-anAgatam / vivekKyAtiH-aviplavA
   hānopāya iti /	hAna-upAyaH iti /
   iti śrīvijñānabhikṣuviracite sāṅkhyasāre 'bhyarhitattvādādau	iti SrI-vijQAna-Bikzu-viracite sAFKya-sAre aByarhi-tattvAt-AdO
   vivekakhyātiphalasya paramapuruṣārthasya paricchedaḥ // * //	viveka-KyAti-Palasya parama-puruza-arTasya paricCedaH // * //
   atha dvitīyaḥ paricchedaḥ	aTa dvitIyaH paricCedaH
   athātmānātmavivekajñānasya kiṃ svarūpaṃ taducyate / ātmā tāvat	aTa-AtmAnAtma-viveka-jQAnasya kim svarUpam tat-ucyate / AtmA tAvat-
   sukhaduḥkhādyanubhaviteti sāmānyato lokaprasiddhiḥ anātmā ca	suKa-duHKa-Adi-anuBavitA-iti sAmAnyatas loka-prasidDiH anAtmA ca
   prakṛtyādirjaḍavargaḥ tayoranyonyavaidharmyeṇa	prakRti-AdiH-jaxa-vargaH tayoH-anyonya-vEDarmyeNa
   pariṇāmitvāpariṇāmitvādirūpeṇa doṣaguṇātmakena heyopādeyatayā pṛthaktvena	pariNAmi-tva-apariNAmi-tva-Adi-rUpeNa doza-guNa-Atmakena heya-upAdeya-tayA pRTaktvena
   jñānaṃ vivekajñānam / tathā ca śrutiḥ / sa eṣa neti netyātmā 'gṛhyo na hi	jQAnam viveka-jQAnam / taTA ca SrutiH / saH eza na-iti na-iti-AtmA agRhyaH na hi
   gṛhyate 'śīryo na hi śīryate 'saṅgo na hi sajyate 'sito na vyathate na	gRhyate aSIryaH na hi SIryate asaFgaH na hi sajyate asitaH na vyaTate na
   riṣyatītyādi / smṛtiśca /	rizyati-ityAdi / smRtiH-ca /
   so 'tha pratinivṛttākṣo gurudarpaṇabodhitaḥ /	saH aTa pratinivRtta-akzaH guru-darpaNa-boDitaH /
   svato 'nyāṃ vikriyāṃ mauḍhyādāsthitāmañjasaikṣata //	svatas anyAm vikriyAm mOXyAt-AsTitAm-aQjasA-Ekzata //
   athāsau prakṛtirnāhamiyaṃ hi kaluṣātmikā /	aTa-asO prakRtiH-na-aham-iyam hi kaluza-AtmikA /
   śuddhabuddhasvabhāvo 'hamiti tyajati tāṃ vidan //	SudDa-budDa-svaBAvaH aham-iti tyajati tAm vidan //
   evaṃ dehendriyādibhyaḥ śuddhatvenātmani smṛte /	evam deha-indriya-AdiByaH SudDa-tvena-Atmani smRte /
   nikhilā savikāreyaṃ tyaktaprāyā 'hicarmavat //	niKilA sa-vikArA-iyam tyakta-prAyAH ahi-carma-vat //
   iti / sūtraṃ ca / evaṃ tattvābhyāsānneti netīti tyāgādvivekasiddhiriti /	iti / sUtram ca / evam tattva-aByAsAt-na-iti na-iti-iti tyAgAt-viveka-sidDiH-iti /
   tattvajñānasya lakṣaṇaṃ ca mātsye kṛtam /	tattva-jQAnasya lakzaNam ca mAtsye kRtam /
   avyaktādye viśeṣānte vikāre 'smiṃśca varṇite /	avyakta-Adye viSeza-ante vikAre asmin=-ca varNite /
   cetanācetanānyatvajñānena jñānamucyate //	cetanA-cetana-anya-tva-jQAnena jQAnam-ucyate //
   iti / yadyapyanyonyabhedajñānameva vivekajñānaṃ tathāpyātmaviśeṣyakameva	iti / yadi-api-anyonya-Beda-jQAnam-eva viveka-jQAnam taTA-api-Atma-viSezyakam-eva
   tanmokṣakāraṇaṃ bhavati / ātmā vā 're draṣṭavya ityādi śrutismṛtibhyaḥ /	tad-mokza-kAraNam Bavati / AtmA vA are drazwavyaH ityAdi Sruti-smRtiByaH /
   nanvanātmanyātmabuddhirūpā yā 'vidyā pātañjalādiṣūktā tasyāḥ	nanu-anAtmani-Atma-budDi-rUpA yA avidyA pAtaQjala-Adizu-uktA tasyAH
   kathamātmaviśeṣyakavivekajñānanāśyatvaṃ prakārādibhedāditi cenna /	kaTam-Atma-viSezya-ka-viveka-jQAna-nASya-tvam prakAra-Adi-BedAt-iti ced-na /
   tādṛśāvidyāyā	tAdRSA-avidyAyA
   anātmaviśeṣyakavivekajñānadvāreṇātmaviśeṣyakavivekajñānanāśyatvāditi /	anAtma-viSezya-kavi-veka-jQAna-dvAreNa-Atma-viSezya-ka-vi-veka-jQAna-nASya-tvAt-iti /
   yacca yogena nirvikalpakamātmajñānaṃ jāyate tadvivekajñānadvāraiva	yat-ca yogena nirvikalpakam-Atma-jQAnam jAyate tad-viveka-jQAna-dvArA-eva
   mokṣakāraṇaṃ bhavati na tu sākṣādavidyānivartakatvābhāvāt / ahaṃ gauraḥ	mokza-kAraNam Bavati na tu sAkzAt-avidyA-nivartaka-tva-aBAvAt / aham gOraH
   kartā sukhī duḥkhītyādi jñānameva hyavidyā saṃsārānarthahetutayā	kartA suKI duHKI-ityAdi jQAnam-eva hi-avidyA saMsAra-an-arTa-hetu-tayA
   śrutismṛtinyāyasiddhā tasyāśca nivartikā nāhaṃ gaura ityādirūpā	Sruti-smRti-nyAya-sidDA tasyAH-ca nivartikA na-aham gOraH ityAdi-rUpA
   vivekakhyātireva bhavati / samāne viṣaye	viveka-KyAtiH-eva Bavati / samAne vizaye
   grāhyābhāvatvaprakārakagrāhyābhāvajñānatvenaiva virodhāt / anyathā	grAhya-aBAva-tva-prakAraka-grAhyA-aBAva-jQAna-tvena-eva viroDAt / anyaTA
   śuktanirvikalpakasyāpi idaṃ rajatamiti jñānavirodhitvāpatteḥ / kiñca	Sukta-nirvikalpakasya-api idam rajatam-iti jQAna-viroDi-tva-ApatteH / kiQca
   yatoktābhāvajñāne grāhyajñānavirodhitvasyāvaśyakatayā nirvikalpakajñānasya	yata-ukta-aBAva-jQAne grAhya-jQAna-viroDi-tvasya-AvaSyaka-tayA nirvikalpaka-jQAnasya
   bhramanivartakatvaṃ na pṛthak kalpyate gauravāt / api cāthā 'ta ādeśo neti	Brama-nivartaka-tvam na pRTak kalpyate gOravAt / api ca-aTAH atas AdeSaH na-iti
   neti na hyetasmāditi netyanyat paramastītyādiśrutyā	na-iti na hi-etasmAt-iti na-iti-anyat param-asti-iti-Adi-SrutyA
   vivekopadeśāpekṣayottamopadeśo nāstītyucyate /	viveka-upadeSa-apekzayA-uttama-upadeSaH na-asti-iti-ucyate /
   kṣetrakṣetrajñayorevamantaraṃ jñānacakṣuṣā /	kzetra-kzetrajQayoH-evam-antaram jQAna-cakzuzA /
   bhūtaprakṛtimokṣaṃ ca ye viduryānti te param //	BUta-prakRti-mokzam ca ye viduH-yAnti te param //
   iti gītādivākyaiśca vivekajñānasyaiva mokṣahetutvamucyate / ato	iti gIta-Adi-vAkyEH-ca viveka-jQAnasya-eva mokza-hetu-tvam-ucyate / atas-
   vivekajñānameva sākṣādavidyānivṛttyā mokṣahetuḥ / yogena	viveka-jQAnam-eva sAkzAt-avidyA-nivRttyA mokza-hetuH / yogena
   kevalātmasākṣātkārastu	kevala-Atma-sAkzAt-kAraH-tu
   yogyānupalabdhividhayopādhyādigatadharmābhāvamupādhyādibhedaṃ ca grāhayati	yogyA-anupalabDi-viDayA-upADi-Adi-gata-Darma-aBAvam-upADi-Adi-Bedam ca grAhayati
   tato 'vidyānivṛttiriti / etena sarvabhūteṣu samatājñānamātmanaḥ	tatas avidyA-nivRttiH-iti / etena sarva-BUtezu samatA-jQAnam-AtmanaH
   sarvātmakatvādijñānaṃ ca śrutismṛtyorgīyamānaṃ vivekajñānasyaiva	sarva-Atmaka-tva-Adi-jQAnam ca Sruti-smRtyoH-gIyamAnam viveka-jQAnasya-eva
   śeṣabhūtaṃ sarvadarśaneṣu mantavyam / jñānāntarāṇāṃ	Seza-BUtam sarva-darSanezu mantavyam / jQAna-antarANAm
   sākṣādabhimānānivartakatvāt / brahmamīmāṃsāyāṃ tvayaṃ viśeṣo yat	sAkzAt-aBimAnA-nivartaka-tvAt / brahmamImAMsAyAm tu-ayam viSezaH yat-
   paramātmavivekaśeṣatvam / sāṅkhyaśāstre tu sāmānyātmavivekaśeṣatvamiti dik	paramAtma-viveka-Seza-tvam / sAFKya-SAstre tu sAmAnya-Atma-viveka-Seza-tvam-iti diS-
   / nanu yathoktavivekakhyātito 'pyatyantamavidyocchedo na ghaṭate /	/ nanu yaTA-ukta-viveka-KyAtitaH api-atyantam-avidyA-ucCedaH na Gawate /
   vivekakhyāteravidyāpratibandhakatvamātratvena vivekakhyātināśottaraṃ	viveka-KyAteH-avidyA-pratibanDaka-tva-mAtra-tvena viveka-KyAti-nASa-uttaram
   punarabhimānasambhavāt / śuktirajatavivekadarśino 'pi kālāntare śuktau	punar-aBimAna-samBavAt / Sukti-rajata-viveka-darSinaH api kAla-antare SuktO
   rajatabhramavaditi / maivam / dṛṣṭāntavaiṣamyāt / śuktyādiṣu jāte 'pi	rajata-Brama-vat-iti / mA-evam / dRzwAnta-vEzamyAt / Sukti-Adizu jAte api
   sākṣātkāre dūratvādirūpaviṣayadoṣāṇāṃ paṭalādirūpakaraṇadoṣāṇāṃ	sAkzAtkAre dUra-tva-Adi-rUpa-vizaya-dozANAm pawala-Adi-rUpa-karaNa-dozANAm
   cotpattisambhavena punarbhramo yuktaḥ / anātmanyātmābhimāne	ca-utpatti-samBavena punar-BramaH yuktaH / anAtmani-Atma-aBimAne
   tvanādivāsanaiva doṣaḥ sarvāstikasammataḥ jātamātrasyābhimāne	tu-anAdi-vAsanA-eva dozaH sarva-Astika-sammataH jAta-mAtrasya-aBimAne
   doṣāntarānupalabdheḥ / sā mithyājñānavāsanā yadā	doza-antara-anupalabDeH / sA miTyAjQAna-vAsanA yadA
   vivekakhyātiparamparājanyadṛḍhavāsanonmūlitā tadaiva	viveka-KyAti-paramparAjanya-dRXa-vAsanA-unmUlitA tadA-eva
   vivekasākṣātkāraniṣṭhocyate / tatpūrvamavaśyaṃ vāsanāleśato mithyāṃśasya	viveka-sAkzAtkAra-nizWA-ucyate / tat-pUrvam-avaSyam vAsanA-leSataH miTyA-aMSasya
   kasyāpyātmani bhāvāt tasyāṃ ca vivekakhyātiniṣṭhāyāṃ jātāyāṃ na	kasya-api-Atmani BAvAt tasyAm ca viveka-KyAti-nizWAyAm jAtAyAm na
   punarabhimānaḥ sambhavati vāsanākhyadoṣābhāvāditi tu mahadvaiṣamyam / yadi	punar-aBimAnaH samBavati vAsanA-AKya-doza-aBAvAt-iti tu mahat-vEzamyam / yadi
   tu buddhipuruṣayoranyonyapratibimbanādikamavivekakāraṇaṃ doṣa iṣyate tadā	tu budDi-puruzayoH-anyonya-pratibimbana-Adikam-aviveka-kAraNam dozaH izyate tadA
   tu taddoṣaṃ bādhitvaiva vivekasākṣātkāra udita iti na tasya	tu tad-dozam bADitvA-eva viveka-sAkzAtkAraH uditaH iti na tasya
   punarbhramahetutvaṃ phalabalena yogajadharmāsahakṛtasyaiva tasya	punar-Brama-hetu-tvam Pala-balena yoga-ja-Darma-asaha-kRtasya-eva tasya
   doṣatvakalpanāsambhavāditi / vivekakhyātiniṣṭhā ca gītādiṣu lakṣitā /	doza-tva-kalpanA-samBa-vAt-iti / viveka-KyAti-nizWA ca gIta-Adizu lakzitA /
   prakāśaṃ ca pravṛttiṃ ca mohameva ca pāṇḍava /	prakASam ca pravRttim ca moham-eva ca pANxavaH /
   na dveṣṭi sampravṛttāni na nivṛttāni kāṅkṣati //	na dvezwi sampravRttAni na nivRttAni kAFkzati //
   udāsīnavadāsīno guṇairyo na vicālyate /	udAsIna-vat-AsInaH guNEH-yaH na vicAlyate /
   sarvārambhaparityāgī guṇātītaḥ sa ucyate //	sarva-AramBa-parityAgI guNa-atItaH saH ucyate //
   iti / guṇātīto nivṛttaguṇābhimānaḥ / adhikaṃ tu jñānilakṣaṇamagre	iti / guNa-atItaH nivRtta-guNa-aBimAnaH / aDikam tu jQAni-lakzaNam-agre
   vakṣyāmaḥ / nanvevamapi vivekapratiyogipadārthānāmānantyena	vakzyAmaH / nanu-evam-api viveka-pratiyogi-padArTAnAm-Anantyena
   prātisvikarūpaiḥ sarvapadārthebhyo vivekagrahāsambhavāt kathaṃ	prAtisvika-rUpEH sarva-padArTeByaH viveka-graha-asamBavAt kaTam
   vivekakhyātermokṣahetutvamiti cenna /	viveka-KyAteH-mokza-hetu-tvam-iti ced-na /
   dṛśyatvapariṇāmitvādisāmānyarūpairvivekagrahasambhavāt / tathā hi / draṣṭā	dRSya-tva-pariNAmi-tva-Adi-sAmAnya-rUpEH-viveka-graha-samBavAt / taTA hi / drazwA
   svasākṣātprakāśebhyo bhinnaḥ prakāśakatvādyo yasya prakāśakaḥ sa	sva-sAkzAt-prakASeByaH BinnaH prakASaka-tvAt-yaH yasya prakASakaH sa
   tasmādbhinnaḥ yathā ghaṭādāloko vṛttiprakāśyācca	tasmAt-BinnaH yaTA GawAt-AlokaH vRtti-prakASyAt-ca
   vṛttirityanumānenādāvantardṛśyebhyo buddhivṛttitadārūḍhārthebhyo vivekato	vRttiH-iti-anumAnena-AdO=-antar-dRSyeByaH budDi-vRtti-tad-ArUXa-arTeByaH vivekataH-
   buddhīsākṣī sidhyati / karmakartṛvirodhaścānukūlastarkaḥ / atra ātmani	budDI-sAkzI siDyati / karma-kartR-viroDaH-ca-anukUlaH-tarkaH / atra Atmani
   vyabhicāravāraṇāya sākṣātpadam / vṛttidvāraivātmanaḥ svaviṣayatvāt /	vyaBicAra-vAraNAya sAkzAt-padam / vRtti-dvArA-eva-AtmanaH sva-vizaya-tvAt /
   nanvatrānumāne buddhivṛttimātrādvivekaḥ sidhyatu / tasyā eva	nanu-atra-anumAne budDi-vRtti-mAtrAt-vivekaH siDyatu / tasyAH eva
   sākṣadātmadṛśyatvāt na prakṛtyādibhya iti cenna /	sAkzadAtma-dRSya-tvAt na prakRti-AdiByaH iti ced-na /
   vṛttīnāmajñātasattvābhāvena hyatrānumāne	vRttInAm-ajQAta-sattva-aBAvena hi-atra-anumAne
   lāghavādvakṣyamāṇatarkagaṇāccākhilavṛttīnāṃ draṣṭā	lAGavAt-vakzyamANa-tarka-gaNAt-ca-aKila-vRttInAm drazwA
   vibhukūṭasthanityaikajñānasvarūpatayaiva sidhyati / yathā naiyāyikānāṃ	viBukUwa-sTa-nitya-eka-jQAna-svarUpa-tayA-eva siDyati / yaTA nEyAyikAnAm
   kṣitiḥ sakartṛkā kāryatvādityanumāne lāghavāt karturekatvanityatvādikaṃ	kzitiH sa-kartRkA kArya-tvAt-iti-anumAne lAGavAt kartuH-eka-tva-nitya-tva-Adikam
   tadvat / tatra vibhutvaṃ paricchinnabhinnatvaṃ kūṭasthatvādikatvaṃ ca	tadvat / tatra viBu-tvam paricCinna-Binna-tvam kUwasTa-tva-Adika-tvam ca
   pariṇāmibhinnatvādikamato buddhyātmanordṛgdṛśyarūpato vivekagrahe sati	pariNAmi-Binna-tva-Adikam-atas budDi-AtmanA-urdRS-dRSya-rUpataH viveka-grahe sati
   taduttarānumānena pariṇāmitvāpariṇāmitvādirūpaiḥ sāmānyato	tad-uttara-anumAnena pariNAmi-tva-apariNAmi-tva-Adi-rUpEH sAmAnyatas-
   'pyātmānātmavivekagraho ghaṭata iti / ataeva pātañjale	api-AtmAnAtma-viveka-grahaH GawataH iti / ataeva pAtaQjale
   sattvapuruṣānyatākhyātireva mokṣahetutayā sthale sthale vyāsabhāṣye proktā	sattva-puruza-anyatA-AKyAtiH-eva mokza-hetu-tayA sTale sTale vyAsa-BAzye proktA
   / sattvapuruṣānyatākhyātirūpadṛgdṛśyavivekagrahottaraṃ yathoktarītyā	/ sattva-puruza-anya-tA-KyAti-rUpa-dRS-dRSya-viveka-graha-uttaram yaTA-ukta-rItyA
   prakṛtyādivivekagrahāt / tatra ca sattvaśabde buddhisthatvena	prakRti-Adi-viveka-grahAt / tatra ca sattva-Sabde budDi-sTa-tvena
   buddhisattvamuktamiti / evaṃ ca prakṛtyādipadārthānāṃ viśiṣyajñānābhāve	budDi-sattvam-uktam-iti / evam ca prakRti-Adi-padArTAnAm viSizya-jQAna-aBAve
   'pi tadvivekajñānaṃ ghaṭate / etena dṛgdṛśyavivekādavidyānivṛttiriti	api tad-viveka-jQAnam Gawate / etena dRS-dRSya-vivekAt-avidyA-nivRttiH-iti
   prācāṃ pravādo 'pyupapāditaḥ / kiñcātmā prakṛtitatkāryebhyo bhinno	prAcAm pravAdaH api-upapAditaH / kiQca-AtmA prakRti-tad-kAryeByaH Binno
   'pariṇāmitvādityādyanumānairapi sāmānyato dṛśyaviveko draṣṭari	apariNAmi-tvAt-itya-Adi-anumAnEH-api sAmAnyatas dRSya-vivekaH drazwari
   sambhavatīti / yattvādhunikā vedāntibruvā dṛśyatvenaiva prakṛtyādīnāṃ	samBavati-iti / yat-tva-aDunikAH vedAntibruvA dRSya-tvena-eva prakRti-AdInAm
   draṣṭṛtvena ca prakṛtyādyakhilajaḍebhya ātmavivekaṃ manyante /	drazwR-tvena ca prakRti-Adi-aKila-jaxeByaH Atma-vivekam manyante /
   ghaṭadraṣṭā ghaṭādbhinnaḥ sarvathā na ghaṭo yathā /	Gawa-drazwA GawAt-BinnaH sarvaTA na GawaH yaTA /
   dehadraṣṭā tathā deho nāhamityādirūpataḥ //	deha-drazwA taTA dehaH na-aham-ityAdi-rUpataH //
   tanna / ātmā vā 're draṣṭavya ityādiśrutibhirātmano 'pi dṛśyatvāt	tat-naH / AtmA vA are drazwavyaH iti-Adi-SrutiBiH-AtmanaH api dRSya-tvAt-
   sākṣāddṛśyatvavivakṣayā ca prakṛtyāderasaṅgrahāt karaṇadvāraiva	sAkzAt-dRSya-tva-vivakzayA ca prakRti-AdeH-asaFgrahAt karaNa-dvArA-eva
   taddarśanāt / athaivaṃ kalpanīyaṃ ātmano vṛttivyāpyatvameva dṛśyatvaṃ	tad-darSanAt / aTa-evam kalpanIyam AtmanaH vRtti-vyApya-tvam-eva dRSya-tvam
   śrutyādibhirvidhīyate na tu prakāśyatvarūpaphalavyāpyatvam /	Sruti-AdiBiH-viDIyate na tu prakASya-tva-rUpa-Pala-vyApya-tvam /
   svayamprakāśasvarūpasya prakāśāpekṣāvirahāt / ato 'tra dṛśyatvaṃ	svayam-prakASa-svarUpasya prakASa-apekzA-virahAt / atas atra dRSya-tvam
   prakāśyatvaṃ taccātmani nāstīti tadapi tuccham / yathā	prakASya-tvam tat-ca-Atmani na-asti-iti tat-api tucCam / yaTA
   hyahamityanubhūyamāno 'pyātmā caitanyākhyaphalavyāpyo na bhavatīti	hi-aham-iti-anuBUyamAnaH api-AtmA cEtanya-AKya-Pala-vyApyaH na Bavati-iti
