   namaḥ sarvajñāya //	namaH sarvajQAya //
   sukhā saṃghasya sāmagrī śramaṇānāṃ tapaḥ sukham* // 9 //	suKA saMGasya sAmagrI SramaNAnAm tapaH suKam* // 9 //
   sukhaṃ darśanam āryāṇāṃ saṃvāso 'pi satā sukhaḥ /	suKam darSanam AryANAm saMvAsaH api satA suKaH /
   adarśanena bālānāṃ nityam eva sukhaṃ bhavet* // 10 //	adarSanena bAlAnAm nityam eva suKam Bavet* // 10 //
   sukhaṃ dṛṣṭāḥ śīlavantaḥ sukhaṃ dṛṣṭā bahuśrutāḥ /	suKam dRzwAH SIlavantaH suKam dRzwAH bahu-SrutAH /
   arhantaś ca sukhaṃ dṛṣṭā vipramuktapunarbhavāḥ // 11 //	arhantaH ca suKam dRzwAH vipramukta-punarBavAH // 11 //
   sukhā nadī sukhaṃ tīrthaṃ sukhaṃ dharmajito jataḥ /	suKA nadI suKam tIrTam suKam Darma-jitaH jataH /
   sukhaṃ prajñāpratilaṃbho hy asmimānakṣayaḥ sukham* // 12 //	suKam prajQA-pratilaMBaH hi asmimAn-akzayaH suKam* // 12 //
   sukho hi vāsaḥ kṛtaniścayānāṃ jitendriyāṇāṃ ca bahuśrutānām* /	suKaH hi vAsaH kRta-niScayAnAm jita-indriyANAm ca bahu-SrutAnAm* /
   śānteṣv araṇyeṣu jarāṃ gatānāṃ vaneṣu nirvāpitayauvanānām* // 13 //	SAntezu araNyezu jarAm gatAnAm vanezu nirvApita-yOvanAnAm* // 13 //
   nirgatam āyuṣmanto grīṣmāṇāṃ yāvat tāvad avaśiṣṭam* / atikrāmati āyuḥ	nirgatam AyuzmantaH grIzmANAm yAvat tAvat avaSizwam* / atikrAmati AyuH
   āgataṃ jarāmaraṇam* / pralaṅghyate śāstuḥ śāsanam (PrMoSū_Mū-Banerjee 6)	Agatam jarA-maraNam* / pralaFGyate SAstuH SAsanam (PrMoSU_MU-BaneH-jee 6)
   apramādena āuṣmadbhir yogaḥ karaṇīyaḥ / apramādādhigatāhi tathāgatānām	apramAdena AuzmadBiH yogaH karaNIyaH / apramAda-aDigatAhi taTAgatAnAm
   arhatāṃ samyaksaṃbuddhānāṃ bodhir iti vā apy evaṃbhāgīyāḥ kuśalā dharmā	arhatAm samyaksaMbudDAnAm boDiH iti vE api evaMBAgIyAH kuSalAH DarmA
   bodhipakṣyāḥ / kiṃ bhagavataḥ śrāvakasaṃghasya pūrvakālakaraṇīyam alpo	boDi-pakzyAH / kim BagavataH SrAvaka-saMGasya pUrva-kAla-karaNIyam alpaH-
   'rtho 'lpakṛtyam* / anāgatānām āyuṣmantaś chandapariśuddhiṃ cārocayata	arTaH alpa-kRtyam* / anAgatAnAm AyuzmantaH Canda-pariSudDim ca-arocayata
   ārocitāṃ ca pravedayata /	ArocitAm ca pravedayata /
   praṇamya śākyasiṃhāya bhūtvā hy asmai kṛtāṃjaliḥ /	praNamya SAkya-siMhAya BUtvA hi asmE kRta-aMjaliH /
   prātimokṣaṃ pravakṣyāmi vinayaṃ tac chṛṇotu naḥ // 14 //	prAtimokzam pravakzyAmi vinayam tat SRNotu naH // 14 //
   śrutvā ca tat karotv atra yathā proktaṃ maharṣiṇā /	SrutvA ca tat karotu atra yaTA proktam mahA-RziNA /
   aṇumātreṣv avadyeṣu bhavatā yatnakāriṇā // 15 //	aNu-mAtrezu avadyezu BavatA yatna-kAriNA // 15 //
   yatnād drutaṃ satataṃ yaś ca cittahayaṃ mukhavacaneṣu anusārayati /	yatnAt drutam satatam yaH ca citta-hayam muKa-vacanezu anusArayati /
   prātimokṣakhalīnam api sadṛśaṃ śatakaṇṭakaṃ tīkṣṇaṃ yenātividhyate // 16	prAtimokza-KalInam api sadRSam Sata-kaNwakam tIkzNam yena-ativiDyate // 16
   mahātmanaḥ ye vacanamātreṇa yathābhāgān na nivartante /	mahAtmanaH ye vacana-mAtreNa yaTABAgAn na nivartante /
   puruṣaturagās te khalu kleśaraṇajayino bhaviṣyanti // 17 //	puruza-turagAH te Kalu kleSa-raNa-jayinaH Bavizyanti // 17 //
   yeṣāṃ tu khalīnam idaṃ na vidyate nāpi antaḥkāmaṃ /	yezAm tu KalInam idam na vidyate na-api antar-kAmam /
   te tu kleśaraṇavimathyatā uddāmā vibhramiṣyanti // 19 //	te tu kleSa-raNa-vimaTya-tAH uddAmAH viBramizyanti // 19 //
   śṛṇotu bhadantaḥ saṃghaḥ adya saṃghasya poṣadhaḥ cāturdaśikaḥ pāṃcadaśiko	SRNotu BadantaH saMGaH adya saMGasya pozaDaH cAturdaSikaH pAMcadaSikaH-
   vā (PrMoSū_Mū-Banerjee 7) sacet saṃghasya prāptakālaṃ kṣametānujānīyāt	vA (PrMoSU_MU-BaneH-jee 7) saced saMGasya prApta-kAlam kzameta-anujAnIyAt-
   saṃgho yat saṃghasya poṣadhaṃ kuryāt prātimokṣasūtroddeśam uddeśayed eṣā	saMGaH yat saMGasya pozaDam kuryAt prAtimokza-sUtra-uddeSam uddeSayet ezA
   jñaptiḥ /	jQaptiH /
   poṣadhaṃ vayam āyuṣman kariṣyāmaḥ prātimokṣasūtroddeśam uddeśāmaḥ / yasya	pozaDam vayam Ayuzman karizyAmaH prAtimokza-sUtra-uddeSam uddeSa-AmaH / yasya
   syāt āpattiḥ tena āviṣkartavyā / āpattyāṃ asatyāṃ tūṣṇīṃ bhavitavyam* /	syAt ApattiH tena AvizkartavyA / ApattyAm asatyAm tUzNIm Bavitavyam* /
   tūṣṇīṃbhāvena ca vayam āyuṣmataḥ pariśuddhān vedayiṣyāmaḥ / yathāpi	tUzNIMBAvena ca vayam AyuzmataH pariSudDAn vedayizyAmaH / yaTA-api
   pratyekaṃ pṛṣṭasya bhikṣor vyākaraṇaṃ bhavati evam evaṃ evaṃrūpāyāṃ	pratyekam pRzwasya BikzoH vyAkaraNam Bavati evam evam evaMrUpAyAm
   bhikṣuparṣadi yāvat trir apy anuśrāvaṇaṃ bhavati / yaḥ punar bhikṣur	Bikzu-parzadi yAvat tris api anuSrAvaNam Bavati / yaH punar BikzuH-
   evaṃrūpāyāṃ bhikṣuparṣadi yāvat trir apy anuśrāvyamāne smaran satīm	evaMrUpAyAm Bikzu-parzadi yAvat tris api anuSrAvyamAne smaran satIm
   āpattiṃ nāviṣkaroti saṃprajānan mṛṣāvādo 'sya bhavati / saṃprajānan	Apattim na-Avizkaroti saMprajAnan mRzAvAdaH asya Bavati / saMprajAnan
   mṛṣāvādaḥ khalv āyuṣmantaḥ antarāyiko dharma ukto bhagavatā / tasmāt	mRzAvAdaH Kalu AyuzmantaH antarAyikaH DarmaH uktaH BagavatA / tasmAt-
   smaratā bhikṣuṇā āpannena viśuddhāpekṣeṇa satī āpattir āviṣkartavyā /	smaratA BikzuNA Apannena viSudDa-apekzeNa satI ApattiH AvizkartavyA /
   āviṣkṛtenāsya phāsu bhavati nāviṣkṛtena na bhavati /	AvizkRtena-asya PAsu Bavati na-AvizkRtena na Bavati /
   uddiṣṭaṃ khalu mayāyuṣmantaḥ prātimokṣasūtroddeśanidānam* / tatrāyuṣmataḥ	uddizwam Kalu mayA-AyuzmantaH prAtimokza-sUtra-uddeSa-nidAnam* / tatra-AyuzmataH
   pṛcchāmi -- kaccit sthātra pariśuddhāḥ	pRcCAmi - kaccit sTA-atra pariSudDAH
   dvir api trir api pṛcchāmi -- kaccit sthātra pariśuddhāḥ	dvis api tris api pRcCAmi - kaccit sTA-atra pariSudDAH
   atrāyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi /	atra-AyuzmantaH yasmAt tUzNIm evam etat DArayAmi /
   catvāraḥ pārājikā dharmāḥ /	catvAraH pArAjikAH DarmAH /
   ime khalu āyuṣmantaś catvāraḥ pārājikā dharmā anvardhamāsaṃ	ime Kalu AyuzmantaH catvAraH pArAjikA DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   Pār.1 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur bhikṣūṇāṃ	PAr.1 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH BikzUNAm
   śikṣāsājīvasamāpannaḥ śikṣām apratyākhyāya śikṣādaurbalyam	SikzA-sAjIva-samApannaH SikzAm apratyAKyAya SikzA-dOrbalyam
   anāviṣkṛtyābrahmacaryaṃ maithunaṃ dharmaṃ pratisevate antatas	anAvizkRtya-abrahmacaryam mETunam Darmam pratisevate antatas
   tiryagyonigatayāpi sārdhaṃ, ayam api bhikṣuḥ pārājiko bhavaty asaṃvāsyaḥ /	tiryagyoni-gatayA-api sArDaM, ayam api BikzuH pArAjikaH Bavati asaMvAsyaH /
   Pār.2 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur grāmagatam araṇyagataṃ vā	PAr.2 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH grAma-gatam araNya-gatam vA
   pareṣāṃ adattaṃ steyasaṃkhyātam ādadīta yadrūpeṇādattādānena rājā vainaṃ	parezAm adattam steya-saMKyAtam AdadIta yat-rUpeNa-Adatta-AdAnena rAjA vA-enam
   gṛhītvā rājamātro vā hanyād vā saṃbadhnīyād vā pravāsayed vā evaṃ cainaṃ	gRhItvA rAjamAtraH vA hanyAt vA saMbaDnIyAt vA pravAsayet vE evam ca-enam
   vadet* -- tvaṃ bhoḥ puruṣa cauro 'si bālo 'si steno 'sīty evaṃrūpaṃ	vadet* - tvam BoH puruza cOraH asi bAlaH asi stenaH asi-iti evaMrUpam
   adattaṃ bhikṣuḥ ādadita, ayam api bhikṣuḥ pārājayiko bhavaty asaṃvāsyaḥ /	adattam BikzuH Adadita, ayam api BikzuH pArAjayikaH Bavati asaMvAsyaH /
   Pār.3 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur manuṣyaṃ vā manuṣyavigrahaṃ	PAr.3 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH manuzyam vA manuzya-vigraham
   vā svahastena saṃcintya jīvitād vyaparopayet* / śastraṃ vainām ādhārayec	vA sva-hastena saMcintya jIvitAt vyaparopayet* / Sastram vA-enAm ADArayet-
   chastradhārakaṃ vāsya paryeṣeta maraṇāya vainaṃ samādāpayen maraṇavarṇaṃ	Castra-DArakam vA-asya paryezeta maraNAya vA-enam samAdApayet maraNa-varNam
   vāsyānusaṃvarṇayet* / evaṃ cainaṃ vadet* -- haṃbho puruṣa kiṃ tava	vA-asya-anusaMvarNayet* / evam ca-enam vadet* - haMBo puruza kim tava
   pāpakenāśucinā durjīvitena mṛtaṃ te bho puruṣa jīvitād varam iti	pApakena-aSucinA durjIvitena mRtam te Bo puruza jIvitAt varam iti
   cintānumataiś cittasaṃkalpair anekaparyāyeṇa maraṇāya vainaṃ samādāpayen	cintA-anumatEH citta-saMkalpEH aneka-paryAyeNa maraNAya vA-enam samAdApayet-
   maraṇavarṇaṃ vāsya anusaṃvarṇayet sa ca tena kālaṃ kuryād ayam api bhikṣuḥ	maraNa-varNam vA-asya anusaMvarNayet sa ca tena kAlam kuryAt ayam api BikzuH
   pārājiko bhavaty asaṃvāsyaḥ /	pArAjikaH Bavati asaMvAsyaH /
   Pār.4 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur anabhijānann aparijānann	PAr.4 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH anaBijAnan aparijAnan=-
   asantam asaṃvidyamānam anuttaramanuṣyadharmam alamārya viśeṣādhigamaṃ	asantam asaMvidyamAnam anuttara-manuzya-Darmam alam-Arya viSeza-aDigamam
   jñānaṃ vā darśanaṃ sparśavihāratāṃ vā pratijānīyād idaṃ jānāmīdaṃ	jQAnam vA darSanam sparSa-vihAra-tAm vA pratijAnIyAt idam jAnAmi-idam
   paśyāmīti sa pareṇa samayena samanuyujyamāno vā asamanuyujyamāno vā āpanno	paSyAmi-iti sa pareNa samayena samanuyujyamAnaH vA asamanuyujyamAnaH vA ApannaH-
   viśuddhiṃ prakṣyaivaṃ vaded ajānann evāham āyuṣmanto 'vocaṃ jānāmīty	viSudDim prakzya-evam vadet ajAnan eva-aham AyuzmantaH avocam jAnAmi-iti-
   apaśyāmīti riktaṃ tucchaṃ mṛṣāvyapalapanam anyatrābhimānāt* ayam api	apaSyAmi-iti riktam tucCam mRzAvyapalapanam anyatra-aBimAnAt* ayam api
   bhikṣuḥ pārājiko bhavaty asaṃvāsyaḥ /	BikzuH pArAjikaH Bavati asaMvAsyaH /
   uddiṣṭā mayāyuṣmantaś catvāraḥ pārājikā dharmā yeṣāṃ bhikṣur	uddizwAH mayA-AyuzmantaH catvAraH pArAjikA DarmAH yezAm BikzuH-
   anyatamānyatamam āpattim adhyāpatya na labhate bhikṣubhiḥ sārdhaṃ saṃvāsaṃ	anyatama-anyatamam Apattim aDyApatya na laBate BikzuBiH sArDam saMvAsam
   bhogaṃ vā yathāpūrvaṃ ca tathāpaścāt pārājiko bhavaty asaṃvāsyaḥ /	Bogam vA yaTApUrvam ca taTA-apaScAt pArAjikaH Bavati asaMvAsyaH /
   tatrāham āyuṣmantaḥ paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	tatra-aham AyuzmantaH paripRcCAmi - kaScid sTA-atra pariSudDAH
   dvir api trir api paripṛcchāmi -- kaścit sthātra pariśuddhāḥ	dvis api tris api paripRcCAmi - kaScid sTA-atra pariSudDAH
   pariśuddhā atrāyuṣmanto yasmāt tūṣṇīm evam etad dhārayāmi /	pariSudDAH atra-AyuzmantaH yasmAt tUzNIm evam etat DArayAmi /
   saṃghāvaśeṣā dharmāḥ	saMGa-avaSezAH DarmAH
   ime khalv āyuṣmantas trayodaśa saṃghāvaśeṣā dharmā anvardhamāsaṃ	ime Kalu AyuzmantaH trayodaSa saMGa-avaSezAH DarmAH anvarDamAsam
   prātimokṣasūtroddeśam āgacchanti /	prAtimokza-sUtra-uddeSam AgacCanti /
   SA.1 (PrMoSū_Mū-Banerjee) saṃcintya śukravisṛṣṭir anyatra svapnāntarāt	SA.1 (PrMoSU_MU-BaneH-jee) saMcintya Sukra-visRzwiH anyatra svapna-antarAt
   saṃghāvaśeṣaḥ /	saMGa-avaSezaH /
   SA.2 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur avalavipariṇatena cittena	SA.2 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH avala-vi-pariNatena cittena
   mātṛgrāmeṇa sārdhaṃ kāyasaṃsargaṃ samāpadyeta hastagrahaṇaṃ vā	mAtR-grAmeNa sArDam kAya-saMsargam samApadyeta hasta-grahaNam vA
   bāhugrahaṇaṃ vā veṇīgrahaṇaṃ vā anyatamānyatamasya vā	bAhu-grahaNam vA veNI-grahaNam vA anyatama-anyatamasya vA
   aṅgapratyaṅgasaṃsparśanaṃ vā aṅgamarśanaṃ svīkuryāt saṃghāvaśeṣaḥ /	aFga-pratyaFga-saMsparSanam vA aFgamarSanam svIkuryAt saMGa-avaSezaH /
   SA.3 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur avadalavipariṇatena cittena	SA.3 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH avadala-vipariNatena cittena
   mātṛgrāmaṃ duṣṭhulayā pāpikayā asabhyayā maithunopasaṃhitayā vācā ābhāṣeta	mAtR-grAmam duzWulayA pApikayA asaByayA mETuna-upasaMhitayA vAcA ABAzeta
   yathāpi tāṃ yuvā yuvatiṃ saṃghāvaśeṣaḥ /	yaTA-api tAm yuvA yuvatim saMGa-avaSezaH /
   SA.4 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur avadalavipariṇatena cittena	SA.4 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH avadala-vipariNatena cittena
   mātṛgrāmasya purastād ātmanaḥ kāyaparicaryāyā saṃvarṇayed etad agraṃ	mAtR-grAmasya purastAt AtmanaH kAya-paricaryAyAH saMvarNayet etat agram
   mātṛsvasaḥ paricaryāṇāṃ yaduta mādṛśaṃ bhikṣuṃ śīlavantaṃ kalyāṇadharmāṇaṃ	mAtR-svasaH paricaryANAm yat-uta mAdRSam Bikzum SIlavantam kalyANa-DarmANam
   brahmacāriṇam anena dharmeṇa paricared yaduta maithunopasaṃhitena	brahmacAriNam anena DarmeNa paricaret yat-uta mETuna-upasaMhitena
   saṃghāvaśeṣaḥ /	saMGa-avaSezaH /
   SA.5 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ saṃcaritraṃ samāpadyeta	SA.5 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH saMcaritram samApadyeta
   striyaṃ vā puruṣamatena puruṣaṃ vā strīmatena jāyātvena vā jāritvena vā	striyam vA puruza-matena puruzam vA strI-matena jAyA-tvena vA jAri-tvena vA
   antatas tatkṣaṇikāyām api saṃghāvaśeṣaḥ /	antatas tad-kzaNikAyAm api saMGa-avaSezaH /
   SA.6 (PrMoSū_Mū-Banerjee) svayaṃ yācitā bhikṣuṇā kuṭiṃ kārayitvā asvāmikām	SA.6 (PrMoSU_MU-BaneH-jee) svayam yAcitA BikzuNA kuwim kArayitvA asvAmikAm
   ātmoddeśikāṃ prāmāṇikā kuṭiḥ kārayitavyā / tatredaṃ kuṭyāḥ pramāṇaṃ	AtmA-uddeSikAm prAmANikA kuwiH kArayitavyAH / tatra-idam kuwyAH pramANam
   dairghyeṇa dvādaśa vitastayaḥ sugatavitastyā tīryak saptāntarataḥ / tena	dErGyeNa dvAdaSa vitastayaH sugata-vitastyA tIryak sapta-antarataH / tena
   bhikṣuṇā bhikṣavo 'bhinetavyāḥ vāstudarśanāya / abhinītair bhikṣubhir	BikzuNA BikzavaH aBinetavyAH vAstu-darSanAya / aBinItEH BikzuBiH-
   vāstu draṣṭavyam anārambhaṃ saparikramam* / sārambhe ced bhikṣur vāstuny	vAstu drazwavyam anAramBam sa-parikramam* / sa-AramBe ced BikzuH vAstuni-
   aparākrame svayaṃ yācitāṃ kuṭiṃ kārayed asvāmikām ātmoddeśakāṃ bhikṣūṃś ca	aparAkrame svayam yAcitAm kuwim kArayet asvAmikAm Atma-uddeSakAm BikzUn ca
   nābhinayed vāstu darśanāya anabhinītair bhikṣubhiḥ adarśitavāstuni	na-aBinayet vA-astu darSanAya anaBinItEH BikzuBiH adarSita-vAstuni
   pramāṇaṃ vātikramet saṃghāvaśeṣaḥ /	pramANam vA-atikramet saMGa-avaSezaH /
   SA.7 (PrMoSū_Mū-Banerjee) mahallakaṃ punar bhikṣuḥ vihāraṃ kārayamānāḥ	SA.7 (PrMoSU_MU-BaneH-jee) mahallakam punar BikzuH vihAram kArayamAnAH
   sasvāmikaṃ saṃghoddeśakaṃ tena bhikṣuṇā bhikṣavo 'bhihitavyā	sa-svAmikam saMGa-uddeSakam tena BikzuNA BikzavaH aBihitavyA
   vāstudarśanāya / ataḥ abhinītair bhikṣubhir vāstu draṣṭavam anāraṃbhaṃ	vAstu-darSanAya / atas aBinItEH BikzuBiH vA-astu drazwavam anAraMBam
   saparikramam* / sāraṃbhe ced bhikṣur vāstuny aparikrame mahantaṃ vihāraṃ	sa-parikramam* / sAraMBe ced BikzuH vA-astuni aparikrame mahantam vihAram
   kārayitvā yat sasvāmikaṃ saṃghoddeśakaṃ bhikṣūṃś ca nābhinayed	kArayitvA yat sa-svAmikam saMGa-uddeSakam BikzUn ca na-aBinayet-
   vāstudarśanāya saṃghāvaśeṣaḥ /	vAstu-darSanAya saMGa-avaSezaH /
   SA.8 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur dviṣṭoddeśād apratītaḥ śuddhaṃ	SA.8 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH dvizwa-uddeSAt apratItaH SudDam
   bhikṣuṃ amūlakena pārājikena dharmeṇānudhvaṃsayed apy evainaṃ brahmacaryāc	Bikzum amUlakena pArAjikena DarmeNa-anuDvaMsayet api eva-enam brahmacarya-At-
   cyāvayeyam iti tasya ca apareṇa samayena samanuyujyamāno vā	cyAvayeyam iti tasya ca apareNa samayena samanuyujyamAnaH vA
   asamanuyujyamāno vā amūlakam eva svādhikaraṇaṃ bhaved bhikṣuś ca dveṣe	asamanuyujyamAnaH vA amUlakam eva sva-aDikaraNam Bavet BikzuH ca dveze
   pratiṣṭhed dveṣeṇāvocam iti saṃghāvaśeṣaḥ /	pratizWet dvezeNa-avocam iti saMGa-avaSezaH /
   SA.9 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣur dviṣṭoddeśād apratītaḥ śuddhaṃ	SA.9 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH dvizwa-uddeSAt apratItaH SudDam
   bhikṣuṃ anyasya vā anyathābhāgīyasya adhikaraṇasya kañcid eva leśamātraṃ	Bikzum anyasya vA anyaTA-BAgIyasya aDikaraNasya kaQcid eva leSa-mAtram
   dharmam upādāya pārājikena dharmeṇa anudhvaṃsayed apy evainaṃ brahmacaryāc	Darmam upAdAya pArAjikena DarmeNa anuDvaMsayet api eva-enam brahmacarya-At-
   cyāvayeyam iti tasya ca apareṇa samayena samanuyujyamānasya vā	cyAvayeyam iti tasya ca apareNa samayena samanuyujyamAnasya vA
   samanuyujyamānasya vā anyabhāgīyaṃ tad adhikaraṇaṃ bhavati kaścid eva	samanuyujyamAnasya vA anya-BAgIyam tat aDikaraNam Bavati kaScid eva
   leśoddeśamātro dharma upātto bhavati bhikṣuś ca dveṣe pratiṣṭhed dveṣād	leSa-uddeSa-mAtraH DarmaH upAttaH Bavati BikzuH ca dveze pratizWet dvezAt-
   avocam iti saṃghāvaśeṣaḥ /	avocam iti saMGa-avaSezaH /
   SA.10 (PrMoSū_Mū-Banerjee) yaḥ punar bhikṣuḥ samagrasya saṃghasya bhedāya	SA.10 (PrMoSU_MU-BaneH-jee) yaH punar BikzuH samagrasya saMGasya BedAya
   parākramed bhedakaraṇasaṃvartanīyaṃ cādhikaraṇaṃ samādhāya pragṛhya	parAkramet Beda-karaNa-saMvartanIyam ca-aDikaraNam samADAya pragRhya
   tiṣṭhet sa bhikṣur bhikṣubhir idaṃ syād vacanīyaḥ -- mā tvam āyuṣman	tizWet sa BikzuH BikzuBiH idam syAt vacanIyaH - mA tvam Ayuzman
   samagrasya saṃghasya bhedāya parākramed bhedakaraṇasaṃvartanīyaṃ	samagrasya saMGasya BedAya parAkramet Beda-karaNa-saMvartanIyam
   cādhikaraṇaṃ samādhāya pragṛhya tiṣṭha / sametv āyuṣman sārdhaṃ saṃghena	ca-aDikaraNam samADAya pragRhya tizWa / sametu Ayuzman sArDam saMGena
   samagro saṃghasahitaḥ saṃmodamāno 'vivadamānaḥ ekāgradharmoddeśaḥ	samagraH saMGa-sahitaH saMmodamAnaH avivadamAnaH ekAgra-Darma-uddeSaH
   ekakṣīrodakībhūtaḥ śāstu darśayamānaḥ sukhaṃ sparśaṃ vihāraṃ tu niśṛja	eka-kzIra-udakIBUtaH SAstu darSayamAnaH suKam sparSam vihAram tu niSRja
   tvam āyuṣman* idam evaṃrūpaṃ saṃghabhedakaraṇaṃ vastu / evaṃ cet sa	tvam Ayuzman* idam evaMrUpam saMGa-Beda-karaNam vastu / evam ced sa
   bhikṣur bhikṣubhir ucyamānas tathaiva vastu samādāya pragṛhya tiṣṭhet*	BikzuH BikzuBiH ucyamAnaH taTA-eva vastu samAdAya pragRhya tizWet*
   śuddhas tu pratiniḥsṛjed ity evaṃ kuśalaṃ na ca pratiniḥsṛjed dvir api	SudDaH tu pratiniHsRjet iti evam kuSalam na ca pratiniHsRjet dvis api
   trir api samanuyoktavyaḥ samanuśāsitavyaḥ tasya vastunaḥ pratiniḥsargāya	tris api samanuyoktavyaH samanuSAsitavyaH tasya vastunaH pratiniHsargAya
   dvir api trir api samanuyujyamānaḥ samanuśiṣyamānas tad vastu	dvis api tris api samanuyujyamAnaH samanuSizyamAnaH tat vastu
   pratiniḥsṛjed ity evaṃ kuśalaṃ no cet pratiniḥsṛjet saṃghāvaśeṣaḥ /	pratiniHsRjet iti evam kuSalam no ced pratiniHsRjet saMGa-avaSezaH /
   SA.11 (PrMoSū_Mū-Banerjee) tasya khalu bhikṣor bhikṣavaḥ syur sahāyakāḥ	SA.11 (PrMoSU_MU-BaneH-jee) tasya Kalu BikzoH BikzavaH syuH sahAyakAH
   vyagravādinaḥ eko vā dvau vā saṃbahulā vā te tān bhikṣūn evaṃ vadeyuḥ --	vyagra-vAdinaH ekaH vA dvO vA saMbahulA vA te tAn BikzUn evam vadeyuH --
