   akarod dharmato rājyaṃ NsP_52.124e	akarot DarmataH rAjyam NsP_52.124e
   atas tvāṃ prārthayiṣyāmi NsP_48.86a	atas tvAm prArTayizyAmi NsP_48.86a
   ataḥ parataraṃ nāsti NsP_34.56c	atas parataram na asti NsP_34.56c
   ataḥ paraṃ tu viprendra NsP_30.46a	atas param tu vipra indra NsP_30.46a
   ataḥ paraṃ pravakṣyāmi NsP_24.1a	atas param pravakzyAmi NsP_24.1a
   ataḥ paraṃ pravakṣyāmi NsP_30.1a	atas param pravakzyAmi NsP_30.1a
   ataḥ paraṃ pravakṣyāmi NsP_46.1a	atas param pravakzyAmi NsP_46.1a
   ataḥ paraṃ pravakṣyāmi NsP_53.1a	atas param pravakzyAmi NsP_53.1a
   ataḥparaṃ pravakṣyāmi NsP_54.1a	atas param pravakzyAmi NsP_54.1a
   ataḥ paraṃ pravakṣyāmi NsP_59.1a	atas param pravakzyAmi NsP_59.1a
   ataḥparaṃ hareḥ puṇyaṃ NsP_39.1a	atas param hareH puNyam NsP_39.1a
   ataḥ pāpaṃ nu necchāmi NsP_12.34c	atas pApam nu na icCAmi NsP_12.34c
   ataḥ svalpāyuṣaḥ sarve NsP_54.14c	atas su alpa AyuzaH sarve NsP_54.14c
   atikāyamahākāyau NsP_52.64c	atikAya mahA kAyO NsP_52.64c
   atithis tvaṃ samāgataḥ NsP_46.6d	atiTiH tvam samAgataH NsP_46.6d
   atithiṃ cāgataṃ bhaktyā NsP_57.26c	atiTim ca Agatam BaktyA NsP_57.26c
   atithīn āgatān gehaṃ NsP_13.5c	atiTIn AgatAn geham NsP_13.5c
   atipāpam ahaṃ manye NsP_12.25a	ati pApam aham manye NsP_12.25a
   atimumūrṣatāṃ gatāḥ NsP_43.26d	ati mumUrzatAm gatAH NsP_43.26d
   atiraudraṃ mahākāyaṃ NsP_44.14a	ati rOdram mahA kAyam NsP_44.14a
   ativṛddhātibālais tu NsP_56.9c	ati vRdDa ati bAlEH tu NsP_56.9c
   ativelaṃ mahārāja NsP_49.114c	ativelam mahA rAja NsP_49.114c
   atīva tṛṣṇā saṃjātā NsP_24.28c	atIva tRzNA saMjAtA NsP_24.28c
   atīva nipuṇā cāhaṃ NsP_49.40a	atIva nipuNA ca aham NsP_49.40a
   atīvarūpasaṃpannāṃ NsP_63.71a	atIva rUpa saMpannAm NsP_63.71a
   atulaṃ sadguṇaṃ dṛḍham NsP_52.99d	atulam sat guNam dRXam NsP_52.99d
   atuṣṭasyaiva tasyeśo NsP_43.86a	atuzwasya eva tasya ISaH NsP_43.86a
   ato gṛhāṇāśramam uttamaṃ dvija NsP_14.8d	atas gRhANa ASramam uttamam dvija NsP_14.8d
   ato 'gnau hṛdaye sūrye NsP_62.6a	atas agnO hRdaye sUrye NsP_62.6a
   ato 'tra kulanandana NsP_11.44d	atas atra kula nandana NsP_11.44d
   ato na yāce varam īśa yuṣmat NsP_31.93a	atas na yAce varam ISa yuzmat NsP_31.93a
   ato nirīkṣya māṃ bhūyo NsP_50.114c	atas nirIkzya mAm BUyas NsP_50.114c
   ato me dehi rāmaṃ ca NsP_47.54c	atas me dehi rAmam ca NsP_47.54c
   ato 'haṃ caturaṅgeṇa NsP_47.57c	atas aham caturaFgeNa NsP_47.57c
   atyantakāminaś caiva NsP_54.44c	atyanta kAminaH ca eva NsP_54.44c
   atyalpaṃ kulaparvatair aviralair badhnāmi vā sāgaraṃ NsP_52.28c	ati alpam kula parvatEH aviralEH baDnAmi vA sAgaram NsP_52.28c
   atyāścaryasamanvitān NsP_38.30b	ati AScarya samanvitAn NsP_38.30b
   atyāhlādaparās tatra NsP_54.42c	atyAhlAda parAH tatra NsP_54.42c
   atra vā tatra vā brahman NsP_13.55c	atra vA tatra vA brahman NsP_13.55c
   atrārthe yat purāvṛttam NsP_33.15a	atra arTe yat purAvRttam NsP_33.15a
   atre te varṇayiṣyāmi NsP_57.10a	atre te varNayizyAmi NsP_57.10a
   atraiva bhagavan nityaṃ NsP_11.59c	atra eva Bagavat nityam NsP_11.59c
   atraivodāharantīmam NsP_64.8c	atra eva udAharanti imam NsP_64.8c
   atraivodāharantīmām NsP_12.6a	atra eva udAharanti imAm NsP_12.6a
   atha kauśaliko vipro NsP_13.9a	aTa kOSalikaH vipraH NsP_13.9a
   atha kṣaṇāt sarvagataś caturbhujaḥ NsP_43.61a	aTa kzaNAt sarva gataH caturBujaH NsP_43.61a
   atha jvaladdaśanakarāladaṃṣṭriṇa NsP_42.30a	aTa jvalat daSana karAla daMzwriNaH NsP_42.30a
   atha tad vada yat kiṃcid NsP_41.38a	aTa tat vada yat kiMcid NsP_41.38a
   atha tasya prasuptasya NsP_37.3a	aTa tasya prasuptasya NsP_37.3a
   atha te vānarā yātāḥ NsP_50.125c	aTa te vAnarAH yAtAH NsP_50.125c
   atha dakṣiṇadigbhāge NsP_52.40a	aTa dakziNa digBAge NsP_52.40a
   atha ditijasutaś ciraṃ prahṛṣṭaḥ NsP_43.89a	aTa ditija sutaH ciram prahRzwaH NsP_43.89a
   atha dṛṣṭvā sa saptarṣīn NsP_31.46a	aTa dRzwvA sa saptarzIn NsP_31.46a
   atha dṛṣṭvā sunītiṃ tu NsP_31.15c	aTa dRzwvA sunItim tu NsP_31.15c
   atha puṣpakam āruhya NsP_49.69c	aTa puzpakam Aruhya NsP_49.69c
   atha puṣpāñjaliṃ dattvā NsP_58.87a	aTa puzpa aQjalim dattvA NsP_58.87a
   atha prabuddho bhagavān NsP_23.41a	aTa prabudDaH BagavAn NsP_23.41a
   atha brahmāmṛtāmbhodhi, NsP_43.36c	aTa brahmA amRta amBoDi, NsP_43.36c
   atha bhaktajanapriyaḥ prabhuḥ NsP_31.76a	aTa Bakta jana priyaH praBuH NsP_31.76a
   atha bhūmyupari sthitvā NsP_39.7a	aTa BUmi upari sTitvA NsP_39.7a
   atha mantrivaraḥ prāha NsP_46.20a	aTa mantri varaH prAha NsP_46.20a
   atha māṃ hṛtasarvasvaṃ NsP_33.29c	aTa mAm hRta sarva svam NsP_33.29c
   atha rāmaś ca taṃ hatvā NsP_49.111a	aTa rAmaH ca tam hatvA NsP_49.111a
   atha lakṣmaṇam āhedaṃ NsP_48.79a	aTa lakzmaNam Aha idam NsP_48.79a
   athavā vāyubhakṣakaḥ NsP_59.6d	aTavA vAyuBakzakaH NsP_59.6d
   atha vedamayaṃ rūpaṃ NsP_39.11a	aTa veda mayam rUpam NsP_39.11a
   atha vyajijñapad viṣṇuṃ NsP_43.73a	aTa vyajijQapat vizNum NsP_43.73a
   atha śūrpaṇakhā ghorā NsP_49.36c	aTa SUrpaNaKA GorA NsP_49.36c
   atha sa gurugṛhe 'pi vartamānaḥ NsP_43.1a	aTa sa guru gRhe api vartamAnaH NsP_43.1a
   atha saṃpūrṇavidyaṃ taṃ NsP_42.3a	aTa saMpUrNa vidyam tam NsP_42.3a
   atha suramunidattajñānacandreṇa samyag NsP_31.89a	aTa sura muni datta jQAna candreNa samyak NsP_31.89a
   atha snātvā tu nadyāṃ vai NsP_13.21a	aTa snAtvA tu nadyAm vE NsP_13.21a
   atha svargād upāgamya NsP_28.16c	aTa svargAt upAgamya NsP_28.16c
   athāgataṃ te prahlādaṃ NsP_44.1a	aTa Agatam te prahlAdam NsP_44.1a
   athāgatā yakṣapateḥ samīpaṃ NsP_63.41a	aTa AgatAH yakza pateH samIpam NsP_63.41a
   athāṅgadaṃ puraskṛtya NsP_50.137a	aTa aFgadam puraskRtya NsP_50.137a
   athāputro daśaratho NsP_47.35a	aTa aputraH daSaraTaH NsP_47.35a
   athābabhāṣe prahlādaṃ NsP_43.40c	aTa AbaBAze prahlAdam NsP_43.40c
   athābhituṣṭo bhagavān NsP_43.82c	aTa aBituzwaH BagavAn NsP_43.82c
   athāyāntaṃ tu taṃ dṛṣṭvā NsP_52.80a	aTa AyAntam tu tam dRzwvA NsP_52.80a
   athālabdhapadāny asya NsP_42.22c	aTa alabDa padAni asya NsP_42.22c
   athāsureśaḥ sacivair vicārya NsP_42.35a	aTa asura ISaH sacivEH vicArya NsP_42.35a
   athāha nāthaḥ prahlādaṃ NsP_43.79c	aTa Aha nATaH prahlAdam NsP_43.79c
   athāha pitaraṃ harṣāt NsP_41.39a	aTa Aha pitaram harzAt NsP_41.39a
   athāha prakaṭakrodhaḥ NsP_41.47a	aTa Aha prakawa kroDaH NsP_41.47a
   athāhākaraṇakrodhaḥ NsP_44.6c	aTa AhAkaraNa kroDaH NsP_44.6c
   athāhūyāha daityendraḥ NsP_43.26a	aTa AhUya Aha dEtya indraH NsP_43.26a
   athainaṃ samupādāya NsP_64.119a	aTa enam samupAdAya NsP_64.119a
   athocur āgatya hi viśvadevāḥ NsP_6.34b	aTa UcuH Agatya hi viSva devAH NsP_6.34b
   athoddhṛtāstrā daiteyas NsP_42.20a	aTa udDRta astrAH dEteyaH NsP_42.20a
   adattam apy ahaṃ dāsye NsP_48.46a	adattam api aham dAsye NsP_48.46a
   aditir ditir danuś caiva NsP_5.48e	aditiH ditiH danuH ca eva NsP_5.48e
   aditir ditir danuḥ kālā NsP_6.6c	aditiH ditiH danuH kAlAH NsP_6.6c
   aditir devamātā yā NsP_45.4a	aditiH devamAtA yA NsP_45.4a
   aditir nāmato dvija NsP_6.8d	aditiH nAmataH dvija NsP_6.8d
   aditiṃ capy anujñāpya NsP_45.9c	aditim capi anujQApya NsP_45.9c
   aditiḥ suṣuve putrān NsP_6.9a	aditiH suzuve putrAn NsP_6.9a
   adityām acyuto 'sura NsP_45.14d	adityAm acyutaH asura NsP_45.14d
   adityāṃ kaśyapāj jātāḥ NsP_5.50a	adityAm kaSyapAt jAtAH NsP_5.50a
   adityai kuṇḍale dattvā NsP_53.61a	adityE kuNxale dattvA NsP_53.61a
   adṛṣṭadevāsurasaṃcarāsu NsP_63.38c	adRzwa deva asura saMcarAsu NsP_63.38c
   adṛṣṭapūrvam atithim NsP_58.94c	adRzwa pUrvam atiTim NsP_58.94c
   adṛṣṭvā janakātmajām NsP_50.142d	adRzwvA janakAtmajAm NsP_50.142d
   adṛṣṭvā punar āgatāḥ NsP_50.131b	adRzwvA punar AgatAH NsP_50.131b
   adṛṣṭvā śramam āpannāḥ NsP_50.138a	adRzwvA Sramam ApannAH NsP_50.138a
   adṛṣṭvainaṃ mariṣyati NsP_47.57b	adRzwvA enam marizyati NsP_47.57b
   adbhiḥ saṃtarpayed budhaḥ NsP_58.88d	adBiH saMtarpayet buDaH NsP_58.88d
   adya kṣapāyāṃ prahlādaṃ NsP_43.29c	adya kzapAyAm prahlAdam NsP_43.29c
   adya te mandire priye NsP_48.32b	adya te mandire priye NsP_48.32b
   adya tvaṃ darśayāsmākaṃ NsP_63.78a	adya tvam darSaya asmAkam NsP_63.78a
   adyaprabhṛti me mātā NsP_31.36c	adya praBRti me mAtA NsP_31.36c
   adyaprabhṛti rāghava NsP_50.19b	adya praBRti rAGava NsP_50.19b
   adyaprabhṛti rājendra NsP_50.18a	adya praBRti rAja indra NsP_50.18a
   adya yāvat pitā mātā NsP_31.36a	adya yAvat pitA mAtA NsP_31.36a
   adya lokā manoharam NsP_48.33b	adya lokAH manoharam NsP_48.33b
   adya śobhānvitā kāryā NsP_48.13c	adya SoBA anvitA kAryA NsP_48.13c
   adyāpi na nivartante NsP_24.42c	adya api na nivartante NsP_24.42c
   adyāpi vṛttasaṃpannā NsP_50.77a	adya api vRtta saMpannA NsP_50.77a
   adyaiva gamyatāṃ vīra NsP_48.58a	adya eva gamyatAm vIra NsP_48.58a
   adyaiva tvaṃ vicakṣaṇe NsP_48.23b	adya eva tvam vicakzaNe NsP_48.23b
   adyaiva sakalārādhyaṃ NsP_31.31c	adya eva sakala ArADyam NsP_31.31c
   adyaivāhaṃ pativrate NsP_13.60b	adya eva aham pativrate NsP_13.60b
   adridvīpasamudrāś ca NsP_1.64a	adri dvIpa samudrAH ca NsP_1.64a
   adharmayuktaṃ sakalaṃ NsP_40.20c	aDarma yuktam sakalam NsP_40.20c
   adharmalolupāḥ sarve NsP_54.14a	aDarma lolupAH sarve NsP_54.14a
   adharmaṃ parivarjayet NsP_58.5b	aDarmam parivarjayet NsP_58.5b
   adharmiṣṭho 'nabhogī ca NsP_44.42c	aDarmizWaH anaBogI ca NsP_44.42c
   adharmo vartate punaḥ NsP_54.15d	aDarmaH vartate punar NsP_54.15d
   adhaś cordhvaṃ ca raśmibhiḥ NsP_31.106b	aDas ca UrDvam ca raSmiBiH NsP_31.106b
   adhijānu dharājaner NsP_31.11aba	aDijAnu DarA janeH NsP_31.11aba
   adhivāsya jale devam NsP_56.26c	aDivAsya jale devam NsP_56.26c
   adhiṣṭhānaṃ tato buddhvā NsP_56.5a	aDizWAnam tatas budDvA NsP_56.5a
   adhītya caturo vedān NsP_58.34a	aDItya caturaH vedAn NsP_58.34a
   adhunā lokasākṣikau NsP_6.40b	aDunA loka sAkzikO NsP_6.40b
   adhunā stambhamadhyagam NsP_44.10d	aDunA stamBa maDya gam NsP_44.10d
   adhokṣajaṃ prapanno 'smi NsP_7.66c	aDokzajam prapannaH asmi NsP_7.66c
   adhogatim ito vipra NsP_30.10e	aDogatim itas vipra NsP_30.10e
   adhogataiś ca bhūrlokaṃ NsP_31.108c	aDas gatEH ca BUrlokam NsP_31.108c
   adhyayanādhyāpanaṃ ca NsP_57.21a	aDyayana aDyApanam ca NsP_57.21a
   adhyāpanam athābhyajya NsP_58.110c	aDyApanam aTa aByajya NsP_58.110c
   adhyāpanaṃ ca trividhaṃ NsP_57.22a	aDyApanam ca triviDam NsP_57.22a
   anadhyāyaṃ vivarjayet NsP_58.108b	anaDyAyam vivarjayet NsP_58.108b
   anantakṛṣṇayos tena NsP_25.53a	ananta kRzNayoH tena NsP_25.53a
   anantabhogaparyaṅke NsP_25.41c	ananta Boga paryaFke NsP_25.41c
   anantabhogaśayane NsP_11.37a	ananta Boga Sayane NsP_11.37a
   anantabhogaśayane NsP_25.39a	ananta Boga Sayane NsP_25.39a
   anantabhogaśayane NsP_37.2c	ananta Boga Sayane NsP_37.2c
   anantabhogaśayane NsP_39.4a	ananta Boga Sayane NsP_39.4a
   anantam ajam avyayam NsP_1.39d	anantam ajam avyayam NsP_1.39d
   anantam ajam avyayam NsP_7.64b	anantam ajam avyayam NsP_7.64b
   anantam aparājitam NsP_52.109b	anantam aparAjitam NsP_52.109b
   anantam avyaktam atīndriyaṃ vibhuṃ NsP_10.14a	anantam avyaktam atIndriyam viBum NsP_10.14a
   anantaṃ kapiladvīpe NsP_65.7c	anantam kapiladvIpe NsP_65.7c
   anantaṃ ca mahāmate NsP_25.43b	anantam ca mahAmate NsP_25.43b
   anantaṃ puruṣottamam NsP_11.34d	anantam puruzottamam NsP_11.34d
   anantaṃ phalam ity āhus NsP_12.36c	anantam Palam iti AhuH NsP_12.36c
   anantaṃ sūnṛtaṃ śivam NsP_11.35d	anantam sUnRtam Sivam NsP_11.35d
   anantāyāprameyāya NsP_8.34a	anantAya aprameyAya NsP_8.34a
   anantāyāprameyāya NsP_40.53aba	anantAya aprameyAya NsP_40.53aba
   ananto jñānadṛk prabhuḥ NsP_52.116b	anantaH jQAna dRS praBuH NsP_52.116b
   ananyacittena nareṇa kiṃtu NsP_43.12c	ananya cittena nareNa kiMtu NsP_43.12c
   ananyacetā dhyāyasva NsP_64.80a	ananya cetAH DyAyasva NsP_64.80a
   ananyanṛpabhuktaṃ yad NsP_31.55a	ananya nRpa Buktam yat NsP_31.55a
   ananyamanasā nityaṃ NsP_64.84a	ananya manasA nityam NsP_64.84a
   ananyaśaraṇaṃ prāptam NsP_11.44c	ananya SaraNam prAptam NsP_11.44c
   anayal lakṣmaṇaḥ ṣaḍbhiḥ NsP_52.67c	anayat lakzmaNaH zaxBiH NsP_52.67c
   anayātha ca tvāṃ naumi NsP_43.82a	anayA aTa ca tvAm nOmi NsP_43.82a
   anayor bhāvam atulaṃ NsP_53.43a	anayoH BAvam atulam NsP_53.43a
   anarghyanayane pathyaṃ NsP_31.50c	anarGya nayane paTyam NsP_31.50c
   anarcitācyutapadaḥ NsP_31.58a	anarcita acyuta padaH NsP_31.58a
   anarcito vighnakaraḥ NsP_25.8c	anarcitaH viGna karaH NsP_25.8c
   anavāptābhilāṣāṇāṃ NsP_31.52a	anavApta aBilAzANAm NsP_31.52a
   anasūyā tathā cātrer NsP_5.31a	anasUyA taTA ca atreH NsP_5.31a
   anāgatam atītaṃ ca NsP_64.56a	anAgatam atItam ca NsP_64.56a
   anāthaṃ kṛpaṇaṃ dīnaṃ NsP_11.47c	anATam kRpaNam dInam NsP_11.47c
   anāthāṃ nātham icchantīṃ NsP_12.11c	anATAm nATam icCantIm NsP_12.11c
   anāthāṃ paripālaya NsP_48.155b	anATAm paripAlaya NsP_48.155b
   anāthāṃ vidhavām atra NsP_13.40c	anATAm viDavAm atra NsP_13.40c
   anādim ajaraṃ nityaṃ NsP_55.6c	anAdim ajaram nityam NsP_55.6c
   anādim avyaktam acintyam avyayaṃ NsP_53.11c	anAdim avyaktam acintyam avyayam NsP_53.11c
   anādiḥ sarvasaṃbhavaḥ NsP_3.12d	anAdiH sarva saMBavaH NsP_3.12d
   anādhivyādhi jīvitam NsP_31.28b	anADivyADi jIvitam NsP_31.28b
   anāmagotram advaitaṃ NsP_16.25a	anAma gotram advEtam NsP_16.25a
   anāvṛṣṭibhayaprāyā NsP_54.46c	anAvRzwi Baya prAyA NsP_54.46c
   anāvṛṣṭir māhāmārī NsP_34.48a	anAvRzwiH mAhAmArI NsP_34.48a
   anāśake tu saṃnyāse NsP_30.31a	anASake tu saMnyAse NsP_30.31a
   anāśramitvaṃ gṛhabhaṅgakāraṇaṃ hy NsP_14.8c	anASrami tvam gRha BaFga kAraNam hi NsP_14.8c
   anāśramīti dvija vedapāragān NsP_14.9a	anASramI iti dvija vedapAragAn NsP_14.9a
   anāsādya ca vallabhām NsP_63.63abb	anAsAdya ca vallaBAm NsP_63.63abb
