   // siddhaṃ namo bhagavatyai āryadhvajāgrakeyūrāyai //	// sidDam namaH BagavatyE Arya-Dvaja-agra-keyUrAyE //
   sarvopadravopasargopāyāsebhyaḥ / he he bhagavati hana hana daha daha paca	sarva-upadrava-upasarga-upAyAseByaH / he he Bagavati hana hana daha daha paca
   paca matha matha pramatha pramatha dhuna dhuna vidhuna vidhuna hūṃ hūṃ	paca maTa maTa pramaTa pramaTa Duna Duna viDuna viDuna hUm hUm
   phaṭ phaṭ* bhañja bhañja parasainyaṃ vidhvaṃsaya āvadhūtaśrīālakhavajrasya	Paw Paw* BaQja BaQja para-sEnyam viDvaMsayaH AvaDUta-SrIAlaKa-vajrasya
   saparivārasya sarvaśatrūn* / dhvajāgrakeyūre tṛṭa tṛṭa tṛṭu tṛṭu	sa-parivArasya sarva-SatrUn* / Dvaja-agra-keyUre tRwa tRwa tRwu tRwu
   ulkādhāriṇi trailokyamathani vidhvaṃsaya parasainyam* / rakṣa rakṣa	ulkA-DAriNi trElokyam-aTani viDvaMsaya para-sEnyam* / rakza rakza
   āvadhūtaśrīālakhavajraṃ saparivāraṃ sarvasatvāṃś ca sarvopadravebhyaḥ /	AvaDUta-SrIAla-Ka-vajram sa-parivAram sarva-satvAn ca sarva-upadraveByaH /
   cala cala cili cili culu culu kala kala kili kili kulu kulu muñca	cala cala cili cili culu culu kala kala kili kili kulu kulu muQca
   aṭṭaṭṭahāsam* / vidhvaṃsaya parasainyaṃ trāsaya 2 bhrāmaya 2 buddhasatyena	awwawwahAsam* / viDvaMsaya para-sEnyam trAsaya 2 BrAmaya 2 budDa-satyena
   dharmasatyena saṃghasatyena satyavādināṃ satyena / buddhasatyaṃ mātikrāma	Darma-satyena saMGa-satyena satya-vAdinAm satyena / budDa-satyam mA-atikrAma
   / dharmasatyaṃ mātikrāma / saṃghasatyaṃ mātikrāma / satyavādināṃ satyaṃ	/ Darma-satyam mA-atikrAma / saMGa-satyam mA-atikrAma / satya-vAdinAm satyam
   mātikrāma / lambodari 2 kuṭa kuṭa kuṭṭa kuṭṭa rudram ānaya / viṣṇum ānaya	mA-atikrAma / lambodari 2 kuwa kuwa kuwwa kuwwa rudram Anaya / vizNum Anaya
   / candrasūryam ānaya / trailokyādhipatim ānaya / sarvadevatādhipatim ānaya	/ candra-sUryam Anaya / trElokya-aDipatim Anaya / sarva-devatA-aDipatim Anaya
   / sarvadevatān ānaya / sarvayakṣarākṣasakumbhāṇḍamahoraganāgān ānaya /	/ sarva-devatAn Anaya / sarva-yakza-rAkzasa-kumBa-aNxa-mahA-uraga-nAgAn Anaya /
   vidhvaṃsaya parasainyam* / raṅga raṅga raṅgāpaya raṅgāpaya jvala jvala	viDvaMsaya para-sEnyam* / raFga raFga raFgApaya raFgApaya jvala jvala
   puṣpamālini rundha rundha riṭi riṭi ciṭi ciṭi bhṛkuṭī mukhi parasainyaṃ	puzpamAlini runDa runDa riwi riwi ciwi ciwi BRkuwI muKi para-sEnyam
   kulomodanakari hala hala hili hili hulu hulu hūṃ hūṃ he he riṇi riṇi	kulomodana-kari hala hala hili hili hulu hulu hUm hUm he he riNi riNi
   riṇamati jambha / dhvaje buddhāvalokite rakṣa rakṣa	riNam-ati jamBa / Dvaje budDa-avalokite rakza rakza
   āvadhūtaśriālakhavajraṃ saparivāraṃ sarvasatvāṃś ca sarvatathāgatāvalokite	AvaDUta-SriAla-Ka-vajram sa-parivAram sarva-satvAn ca sarva-taTAgata-avalokite
   svāhā / guṇarājaprabhāse svāhā / sūryārkavimale svāhā / candrārkavimale	svAhA / guNarAja-praBAse svAhA / sUrya-arka-vimale svAhA / candra-arka-vimale
   svāhā / sarvagrahanakṣatradhyāmīkaraṇe svāhā / hūṃ hūṃ rakṣa rakṣa	svAhA / sarva-graha-nakzatra-DyAmIkaraNe svAhA / hUm hUm rakza rakza
   āvadhūtaśrīālakhavajraṃ saparivāraṃ sarvasatvāṃś ca sarvabhayebhyaḥ svāhā	AvaDUta-SrIAla-Ka-vajram sa-parivAram sarva-satvAn ca sarva-BayeByaH svAhA
   iyaṃ sā devendra dhvajāgrakeyūrā nāma dhāriṇī aparājitā / yatra kvacid	iyam sA devendra Dvaja-agrakeyUrA nAma DAriNI aparAjitA / yatra kvacid-
   gacched yuddhe vā kalahe vā vigrahe vā vivāde vā sarvatra vijayo	gacCet yudDe vA kalahe vA vigrahe vA vivAde vA sarvatra vijayaH-
   bhaviṣyati / dhvajāgre kaṇṭhe vā baddhvā dhārayitavyā manuṣyarājñā	Bavizyati / Dvaja-agre kaNWe vA badDvA DArayitavyA manuzya-rAjQA
   śūrapuruṣāṇāṃ ca sarveṣāṃ rakṣāṃ karoti / strīrūpadhāriṇī bhūtvā puratas	SUra-puruzANAm ca sarvezAm rakzAm karoti / strI-rUpa-DAriNI BUtvA puratas-
   tiṣṭhati / abhayaṃ dadāti rakṣāṃ karoti parasainyaṃ vidrāvayati /	tizWati / aBayam dadAti rakzAm karoti para-sEnyam vidrAvayati /
   māṅgalyaṃ pavitraṃ śrīlakṣmīṃ saṃsthāpikā /	mAFgalyam pavitram SrI-lakzmIm saMsTApikA /
   idam avocad bhagavān* / āttamanāḥ śakradevendras te ca bhikṣavas te ca	idam avocat BagavAn* / Atta-manAH Sakradeva-indraH te ca BikzavaH te ca
   bodhisatvā bhagavato bhāṣitam abhyanandann iti // //	boDisatvAH BagavataH BAzitam aByanandan iti // //
   āryadhvajāgrakeyūrā nāma dhāriṇī samāptā //	AryaDvaja-agrakeyUrA nAma DAriNI samAptAH //
   oṃ bhagavati dhvajāgrakeyūre parasainyavidhvaṃsanakari /	om Bagavati Dvaja-agra-keyUre para-sEnya-viDvaMsana-kari /
   svasainyaparipālanakari / ulkāmukhi / kha kha / khāhi khāhi / parasainyam	sva-sEnya-paripAlana-kari / ulkA-muKi / Ka Ke / KAhi KAhi / para-sEnyam
   anantamukhenānantabhujena prahara prahara / hūṃ hūṃ / phaṭ phaṭ svāhā //	ananta-muKena-ananta-Bujena prahara prahara / hUm hUm / Paw Paw svAhA //
   āryadhvajāgrakeyūrāhṛdayaṃ samāptam* // //	Arya-Dvaja-agra-keyUra-ahRdayam samAptam* // //
