   Vigrahavyāvartanī (Vv)	Vigraha vyAvartanI (Vv)
   yadi ca na bhavet svabhāvo dharmāṇāṃ niḥsvabhāva ityevam /	yadi ca na Bavet svaBAvaH DarmANAm niHsvaBAvaH iti evam /
   nāmāpi bhavennaivaṃ nāmāpi nirvastukaṃ nāsti // Vv_9 //	nAma api Bavet na evam nAma api nirvastukam na asti // Vu _9 //
   atha vidyate svabhāvaḥ sa ca dharmāṇāṃ na vidyate tasmāt /	aTa vidyate svaBAvaH sa ca DarmANAm na vidyate tasmAt /
   dharmairvinā svabhāvaḥ sa yasyāsti tad yuktamupadeṣṭum // Vv_10 //	DarmEH vinA svaBAvaH sa yasya asti tat yuktam upadezwum // Vu _10 //
   sata eva pratiṣedho nāsti ghaṭo geha ityayaṃ yasmāt /	sataH eva pratizeDaH na asti GawaH gehaH iti ayam yasmAt /
   dṛṣṭaḥ pratiṣedho 'yaṃ sataḥ svabhāvasya te tasmāt // Vv_11 //	dRzwaH pratizeDaH ayam sataH svaBAvasya te tasmAt // Vu _11 //
   atha nāsti sa svabhāvaḥ kiṃ nu pratividhyate tvayānena /	aTa na asti sa svaBAvaH kim nu prativiDyate tvayA anena /
   vacanenarte vacanāt pratiṣedhaḥ sidhyate hyasataḥ // Vv_12 //	vacanena Rte vacanAt pratizeDaH siDyate hi asataH // Vu _12 //
   bālānāmiva mithyā mṛgatṛṣṇāyāṃ yathā jalagrāhaḥ /	bAlAnAm iva miTyA mRgatRzNAyAm yaTA jala grAhaH /
   evaṃ mithyāgrāhaḥ syātte pratiṣidhyato hyasataḥ // Vv_13 //	evam miTyA grAhaH syAt te pratiziDyataH hi asataH // Vu _13 //
   nanvevaṃ satyasti grāho grāhyaṃ ca tagdṛhītaṃ ca /	nanu evam sati asti grAhaH grAhyam ca tak dRhItam ca /
   pratiṣedhaḥ pratiṣedhyaṃ pratiṣeddhā ceti ṣaṭkaṃ tat // Vv_14 //	pratizeDaH pratizeDyam pratizedDA ca iti zawkam tat // Vu _14 //
   atha naivāsti grāho na ca grāhyaṃ na ca grahītāraḥ /	aTa na eva asti grAhaH na ca grAhyam na ca grahItAraH /
   pratiṣedhaḥ pratiṣedhyaṃ pratiṣeddhāro 'sya tu na santi // Vv_15 //	pratizeDaH pratizeDyam pratizedDAraH asya tu na santi // Vu _15 //
   pratiṣedhaḥ pratiṣedhyaṃ pratiṣeddhāraśca yadyuta na santi /	pratizeDaH pratizeDyam pratizedDAraH ca yadi uta na santi /
   siddhā hi sarvabhāvā yeṣāmevaṃ svabhāvaśca // Vv_16 //	sidDAH hi sarva BAvAH yezAm evam svaBAvaH ca // Vu _16 //
   hetostato na siddhirnaiḥsvābhāvyāt kuto hi te hetuḥ /	hetoH tatas na sidDiH nEH svABAvyAt kutas hi te hetuH /
   nirhetukasya siddhirna copapannāsya te 'rthasya // Vv_17 //	nirhetukasya sidDiH na ca upapanna asya te arTasya // Vu _17 //
   yadi cāhetoḥ siddhiḥ svabhāvavinivartanasya te bhavati /	yadi ca ahetoH sidDiH svaBAva vinivartanasya te Bavati /
   svābhāvyasyāstitvaṃ mamāpi nirhetukaṃ siddham // Vv_18 //	svABAvyasya astitvam mama api nirhetukam sidDam // Vu _18 //
   atha hetorastitvaṃ bhāvanaiḥsvābhāvyamityanupapannam /	aTa hetoH astitvam BAvanEHsvABAvyam iti anupapannam /
   loke naiḥsvābhāvyānna hi kaścana vidyate bhāvaḥ // Vv_19 //	loke nEHsvABAvyAt na hi kaScana vidyate BAvaH // Vu _19 //
   pūrvaṃ cet pratiṣedhaḥ paścāt pratiṣedhyamiti ca nopapannam /	pUrvam ced pratizeDaH paScAt pratizeDyam iti ca na upapannam /
   paścādanupapanno yugapacca yataḥ svabhāvo 'san // Vv_20 //	paScAt anupapannaH yugapad ca yatas svaBAvaH asan // Vu _20 //
   hetupratyayasāmagryāṃ pṛthagbhāve 'pi madvaco na yadi /	hetu pratyaya sAmagryAm pRTak BAve api mad vacaH na yadi /
   nanu śūnyatvaṃ siddhaṃ bhāvānāmasvabhāvatvāt // Vv_21 //	nanu SUnya tvam sidDam BAvAnAm asvaBAva tvAt // Vu _21 //
   yaśca pratītya bhāvo bhāvānāṃ śūnyateti sā hyuktā /	yaH ca pratItya BAvaH BAvAnAm SUnyatA iti sA hi uktAH /
   yaśca pratītya bhāvo bhavati hi tasyāsvabhāvatvam // Vv_22 //	yaH ca pratItya BAvaH Bavati hi tasya asvaBAva tvam // Vu _22 //
   nirmitako nirmitakaṃ māyāpuruṣaḥ svamāyayā sṛṣṭam /	nirmitakaH nirmitakam mAyA puruzaH sva mAyayA sRzwam /
   pratisedhayase yadvat pratiṣedho 'yaṃ tathaiva syāt // Vv_23 //	pratiseDayase yadvat pratizeDaH ayam taTA eva syAt // Vu _23 //
   na svābhāvikametad vākyaṃ tasmānna vādahānirme /	na svABAvikam etat vAkyam tasmAt na vAda hAniH me /
   nāsti ca vaiṣamikatvaṃ viśeṣahetuśca na nigadyaḥ // Vv_24 //	na asti ca vEzamika tvam viSeza hetuH ca na nigadyaH // Vu _24 //
   mā śabdavaditi nāyaṃ dṛṣṭānto yastvayā mamārabdhaḥ /	mA Sabda vat iti na ayam dRzwAntaH yaH tvayA mama ArabDaH /
   śabdena hi tacca śabdasya vāraṇaṃ naiva me vacaḥ // Vv_25 //	Sabdena hi tat ca Sabdasya vAraNam na eva me vacaH // Vu _25 //
   naiḥsvābhāvyānāṃ cennaiḥsvābhāvyena vāraṇaṃ yadi hi /	nEHsvABAvyAnAm ca id nEH svABAvyena vAraNam yadi hi /
   naiḥsvābhāvyanivṛttau svābhāvyaṃ hi prasiddhaṃ syāt // Vv_26 //	nEHsvABAvya nivRttO svABAvyam hi prasidDam syAt // Vu _26 //
   athavā nirmitakāyāṃ yathā striyāṃ striyamityasaṃgrāham /	aTavA nirmitakAyAm yaTA striyAm striyam iti asaMgrAham /
   nirmitakaḥ pratihanyāt kasyacidevaṃ bhavedetat // Vv_27 //	nirmitakaH pratihanyAt kasyacid evam Bavet etat // Vu _27 //
   athavā sādhyasamo 'yaṃ heturna hi vidyate dhvaneḥ sattā /	aTavA sADya samaH ayam hetuH na hi vidyate DvaneH sattA /
   saṃvyavahāraṃ ca vayaṃ nānabhyupagamya kathayāmaḥ // Vv_28 //	saMvyavahAram ca vayam na anaByupagamya kaTayAmaH // Vu _28 //
   yadi kācana pratijñā tatra syādeṣa me bhaveddoṣaḥ /	yadi kAcana pratijQA tatra syAt eza me Bavet dozaH /
   nāsti ca mama pratijñā tasmānnaivāsti me doṣaḥ // Vv_29 //	na asti ca mama pratijQA tasmAt na eva asti me dozaH // Vu _29 //
   yadi kiṃcidupalabheyaṃ pravartayeyaṃ nivartayeyaṃ vā /	yadi kiMcid upalaBeyam pravartayeyam nivartayeyam vA /
   pratyakṣādibhirarthaistadabhāvānme 'nupālambhaḥ // Vv_30 //	pratyakza AdiBiH arTEH tad aBAvAt me anupAlamBaH // Vu _30 //
   yadi ca pramāṇatasteṣāṃ teṣāṃ prasiddhirarthānām /	yadi ca pramANataH tezAm tezAm prasidDiH arTAnAm /
   teṣāṃ punaḥ prasiddhiṃ brūhi kathaṃ te pramāṇānām // Vv_31 //	tezAm punar prasidDim brUhi kaTam te pramANAnAm // Vu _31 //
   anyairyadi pramāṇaiḥ pramāṇasiddhirbhavatyanavasthā /	anyEH yadi pramANEH pramANa sidDiH Bavati anavasTA /
   nādeḥ siddhistatrāsti naiva madhyasya nāntasya // Vv_32 //	na AdeH sidDiH tatra asti na eva maDyasya na antasya // Vu _32 //
   teṣāmatha pramāṇairvinā prasiddhirvihīyate vādaḥ /	tezAm aTa pramANEH vinA prasidDiH vihIyate vAdaH /
   vaiṣamikatvaṃ tasmin viśeṣahetuśca vaktavyaḥ // Vv_33 //	vEzamika tvam tasmin viSeza hetuH ca vaktavyaH // Vu _33 //
   viṣamopanyāso 'yaṃ na hyātmānaṃ prakāśayatyagniḥ /	vizama upanyAsaH ayam na hi AtmAnam prakASayati agniH /
   na hi tasyānupalabdhirdṛṣṭā tamasīva kumbhasya // Vv_35 //	na hi tasya anupalabDiH dRzwA tamasi iva kumBasya // Vu _35 //
   yadi svātmānamayaṃ tvadvacanena prakāśayatyagniḥ /	yadi sva AtmAnam ayam tvad vacanena prakASayati agniH /
   paramiva na tvātmānaṃ paridhakṣyatyapi hutāśaḥ // Vv_36 //	param iva na tu AtmAnam pariDakzyati api hutASaH // Vu _36 //
   yadi ca svaparātmānau tvadvacanena prakāśayatyagniḥ /	yadi ca sva para AtmAnO tvad vacanena prakASayati agniH /
   pracchādayiṣyati tamaḥ svaparātmānau hutāśa iva // Vv_37 //	pracCAdayizyati tamaH sva para AtmAnO hutASaH iva // Vu _37 //
   nāsti tamaśca jvalane yatra ca tiṣṭhati sadātmani jvalanaḥ /	na asti tamaH ca jvalane yatra ca tizWati sat A Atmani jvalanaH /
   kurute kathaṃ prakāśaṃ sa hi prakāśo 'ndhakāravadhaḥ // Vv_38 //	kurute kaTam prakASam sa hi prakASaH anDakAra vaDaH // Vu _38 //
   utpadyamāna eva prakāśayatyagnirityasadvādaḥ /	utpadyamAnaH eva prakASayati agniH iti asat vAdaH /
   utpadyamāna eva prāpnoti tamo na hi hutāśaḥ // Vv_39 //	utpadyamAnaH eva prApnoti tamaH na hi hutASaH // Vu _39 //
   aprāpto 'pi jvalano yadi vā punarandhakāramupahanyāt /	aprAptaH api jvalanaH yadi vA punar anDakAram upahanyAt /
   sarveṣu lokadhātuṣu tamo 'yamihasaṃsthita upahanyāt // Vv_40 //	sarvezu lokaDAtuzu tamaH ayam ihasaMsTitaH upahanyAt // Vu _40 //
   yadi ca svataḥpramāṇasiddhiranapekṣya te prameyāṇi /	yadi ca svatas pramANa sidDiH anapekzya te prameyANi /
   bhavati pramāṇasiddhirna parāpekṣā hi siddhiriti // Vv_41 //	Bavati pramANa sidDiH na para apekzA hi sidDiH iti // Vu _41 //
   anapekṣya hi prameyānarthān yadi te pramāṇasiddhiḥ /	anapekzya hi prameyAn arTAn yadi te pramANa sidDiH /
   bhavati na bhavati kasyacidevamimāni pramāṇāni // Vv_42 //	Bavati na Bavati kasyacid evam imAni pramANAni // Vu _42 //
   atha matamapekṣya siddhisteṣāmityatra ko doṣaḥ /	aTa matam apekzya sidDiH tezAm iti atra kaH dozaH /
   siddhasya sādhanaṃ syānnāsiddho 'pekṣate hyanyat // Vv_43 //	sidDasya sADanam syAt na asidDaH apekzate hi anyat // Vu _43 //
   sidhyanti hi prameyāṇyapekṣya yadi sarvathā pramāṇāni /	siDyanti hi prameyANi apekzya yadi sarvaTA pramANAni /
   bhavati prameyasiddhiranapekṣyaiva pramāṇāni // Vv_44 //	Bavati prameya sidDiH anapekzya eva pramANAni // Vu _44 //
   yadi ca prameyasiddhiranapekṣyaiva bhavati pramāṇāni /	yadi ca prameya sidDiH anapekzya eva Bavati pramANAni /
   kiṃ te pramāṇasiddhyā tāni yadarthaṃ prasiddhaṃ tat // Vv_45 //	kim te pramANa sidDyA tAni yad arTam prasidDam tat // Vu _45 //
   atha tu pramāṇasiddhirbhavatyapekṣyaiva te prameyāṇi /	aTa tu pramANa sidDiH Bavati apekzya eva te prameyANi /
   vyatyaya evaṃ sati te dhruvaṃ pramāṇaprameyāṇām // Vv_46 //	vyatyayaH evam sati te Druvam pramANa prameyANAm // Vu _46 //
   atha tai pramāṇasiddhyā prameyasiddhiḥ prameyasiddhyā cā	aTa tE pramANa sidDyA prameya sidDiH prameya sidDyA ca a
   bhavati pramāṇasiddhirnāstyubhayasyāpi te siddhiḥ // Vv_47 //	Bavati pramANa sidDiH na asti uBayasya api te sidDiH // Vu _47 //
   sidhyanti hi pramāṇairyadi prameyāṇi tāni taireva /	siDyanti hi pramANEH yadi prameyANi tAni tEH eva /
   sādhyāni ca prameyaistāni kathaṃ sādhayiṣyanti // Vv_48 //	sADyAni ca prameyEH tAni kaTam sADayizyanti // Vu _48 //
   sidhyanti ca prameyairyadi pramāṇāni tāni taireva /	siDyanti ca prameyEH yadi pramANAni tAni tEH eva /
   sādhyāni ca prameyaistāni kathaṃ sādhayiṣyanti // Vv_49 //	sADyAni ca prameyEH tAni kaTam sADayizyanti // Vu _49 //
   pitrā yadyutpādyaḥ putro yadi tena caiva putreṇa /	pitrA yadi utpAdyaH putraH yadi tena ca eva putreNa /
   utpādyaḥ sa yadi pitā vada tatrotpādayati kaḥ kam // Vv_50 //	utpAdyaH sa yadi pitA vada tatra utpAdayati kaH kam // Vu _50 //
   kaśca pitā kaḥ putrastatra tvaṃ brūhi tāvubhāvapi ca /	kaH ca pitA kaH putraH tatra tvam brUhi tO= uBO= api ca /
   pitāputralakṣaṇadharau yato naḥ putrasaṃdehaḥ // Vv_51 //	pitAputra lakzaNa DarO yatas naH putra saMdehaH // Vu _51 //
   naiva svataḥprasiddhirna parasparataḥ pramāṇairvā /	na eva svatas prasidDiH na parasparataH pramANEH vA /
   bhavati na ca prameyairna cāpyakasmāt pramāṇānām // Vv_52 //	Bavati na ca prameyEH na ca api akasmAt pramANAnAm // Vu _52 //
   kuśalānāṃ dharmāṇāṃ dharmāvasthāvidho brūvate yat /	kuSalAnAm DarmANAm Darma avasTAviDaH brUvate yat /
   kuśalasvabhāvamevaṃ pravibhāgenābhidheyaḥ syāt // Vv_53 //	kuSala svaBAvam evam praviBAgena aBiDeyaH syAt // Vu _53 //
   yadi ca pratītya kuśalaḥ svabhāva utpadyate sa kuśalānām /	yadi ca pratItya kuSalaH svaBAvaH utpadyate sa kuSalAnAm /
   dharmāṇāṃ parabhāvaḥ svabhāva evaṃ kathaṃ bhavati // Vv_54 //	DarmANAm para BAvaH svaBAvaH evam kaTam Bavati // Vu _54 //
   atha na pratītya kiṃcit svabhāva utpadyate sa kuśalānām /	aTa na pratItya kiMcid svaBAvaH utpadyate sa kuSalAnAm /
   dharmāṇāmevaṃ syāda vāso na brahmacaryasya // Vv_55 //	DarmANAm evam syAda vAsaH na brahmacaryasya // Vu _55 //
   nādharmo dharmo vā saṃvyavahārāśca laukikā na syuḥ /	na aDarmaH DarmaH vA saMvyavahArAH ca lOkikAH na syuH /
   nityāśca sarvabhāvāḥ syurnityatvādahetumataḥ // Vv_56 //	nityAH ca sarva BAvAH syuH nitya tvAt ahetum ataH // Vu _56 //
   eṣa cākuśaleḥvavyākṛteḥu nairyāṇādiḥu ca doḥaḥ /	eza ca akuSaleHvavyAkRteHu nEryANa AdiHu ca doHaH /
   tasmāt sarvaṃ saṃskṛtamasaṃskṛtaṃ te bhavatyevam // Vv_57 //	tasmAt sarvam saMskRtam asaMskRtam te Bavati evam // Vu _57 //
   yaḥ sadbhūtaṃ nāma brūyāt sa svabhāva ityevam /	yaH sadBUtam nAma brUyAt sa svaBAvaH iti evam /
   bhavatā prativaktavyo nāma brūmaśca na vyaṃ sat // Vv_58 //	BavatA prativaktavyaH nAma brUmaH ca na vyam sat // Vu _58 //
   nāmāsaditi ca yadidaṃ tatkiṃ nu sato bhavatyutāsataḥ /	nAma asat iti ca yat idam tat kim nu sataH Bavati uta asataH /
   yadi hi sato yadyasato dvidhāpi te hīyate vādaḥ // Vv_59 //	yadi hi sataH yadi asataH dviDA api te hIyate vAdaH // Vu _59 //
   sarveṣāṃ bhāvānāṃ śūnyatvaṃ copapāditaṃ pūrvam /	sarvezAm BAvAnAm SUnya tvam ca upapAditam pUrvam /
   sa upālambhastasmād bhavatyayaṃ ca pratijñāyāḥ // Vv_60 //	saH upAlamBaH tasmAt Bavati ayam ca pratijQAyAH // Vu _60 //
   atha vidyate svabhāvaḥ sa ca dharmāṇāṃ na vidyata iti /	aTa vidyate svaBAvaH sa ca DarmANAm na vidyate iti /
   idamāśaṅkitaṃ yaduktaṃ bhavatyanāśaṅkitaṃ tacca // Vv_61 //	idam ASaFkitam yat uktam Bavati anASaFkitam tat ca // Vu _61 //
   sata eva pratiṣedho yadi śūnyatvaṃ nanvapratiṣiddhamidam /	sataH eva pratizeDaH yadi SUnya tvam nanu apratizidDam idam /
   pratiṣedhayate hi bhavān bhāvānāṃ niḥsvabhāvatvam // Vv_62 //	pratizeDayate hi BavAn BAvAnAm niHsvaBAva tvam // Vu _62 //
   pratiṣedhayase 'tha tvaṃ śūnyatvaṃ tacca nāsti śūnyatvam /	pratizeDayase aTa tvam SUnya tvam tat ca na asti SUnya tvam /
   pratiṣedhaḥ sata iti te nanvevaṃ hīyate vādaḥ // Vv_63 //	pratizeDaH sataH iti te nanu evam hIyate vAdaH // Vu _63 //
   pratiṣedhayāmi nāhaṃ kiṃcit pratiṣedhyamasti na ca kiṃcit /	pratizeDayAmi na aham kiMcid pratizeDyam asti na ca kiMcid /
   tasmāt pratiṣedhayasītyadhilaya eva tvayā kriyate // Vv_64 //	tasmAt pratizeDayasi iti aDilayaH eva tvayA kriyate // Vu _64 //
   yaccāhaṃ te vacanādasataḥ pratiṣedhavacanasiddhiriti /	yat ca aham te vacanAt asataH pratizeDa vacana sidDiH iti /
   atra jñāpayate vāgasaditi tanna pratinihanti // Vv_65 //	atra jQApayate vAc asat iti tat na pratinihanti // Vu _65 //
   mṛgatṛṣṇādṛṣṭānte yaḥ punaruktaṃ tvayā mahāṃścaryaḥ /	mRgatRzNA dRzwAnte yaH punar uktam tvayA mahAn= caryaH /
   tatrāpi nirṇayaṃ śṛṇu yathā sa dṛṣṭānta upapannaḥ // Vv_66 //	tatra api nirNayam SRNu yaTA sa dRzwAnte upapannaH // Vu _66 //
   sa yadi svabhāvataḥ syāt bhāvo na syāt pratītyasamudbhūtaḥ /	sa yadi svaBAvataH syAt BAvaH na syAt pratItyasamudBUtaH /
   yaśca pratītya bhavati grāho nanu śūnyatā saiva // Vv_67 //	yaH ca pratItya Bavati grAhaH nanu SUnyatA sA eva // Vu _67 //
   yadi ca svabhāvataḥ syād grāhaḥ kastaṃ nivartayed grāhyam /	yadi ca svaBAvataH syAt grAhaH kaH tam nivartayet grAhyam /
   śeṣeṣvapyeṣa vidhistasmād doṣo 'nupālambhaḥ // Vv_68 //	Sezezu api eza viDiH tasmAt dozaH anupAlamBaH // Vu _68 //
   etena hetvabhāvaḥ pratyuktaḥ pūrvameva sa samatvāt /	etena hetu aBAvaH pratyuktaH pUrvam eva sa sama tvAt /
   mṛgatṛṣṇādṛṣṭāntavyāvṛttividhau ya uktaḥ prāk // Vv_69 //	mRgatRzNA dRzwAnta vyAvRtti viDO yaH uktaH prAk // Vu _69 //
   yastraikālye hetuḥ pratyuktaḥ pūrvameva sa samatvāt /	yaH trEkAlye hetuH pratyuktaH pUrvam eva sa sama tvAt /
   traikālyapratihetuśca śūnyatāvādināṃ prāptaḥ // Vv_70 //	trEkAlya pratihetuH ca SUnyatA vAdinAm prAptaH // Vu _70 //
   prabhavati ca śūnyateyaṃ yasya prabhavanti tasya sarvārthāḥ /	praBavati ca SUnyatA iyam yasya praBavanti tasya sarva arTAH /
   prabhavati na tasya kiṃ na bhavati śūnyatā yasyeti // Vv_71 //	praBavati na tasya kim na Bavati SUnyatA yasya iti // Vu _71 //
   yaḥ śūnyatāṃ pratītyasamutpādaṃ madhyamāṃ pratipadamanekārthām /	yaH SUnyatAm pratItyasamutpAdam maDyamAm pratipadam aneka arTAm /
   nijagāda praṇamāmi tamapratimasaṃbuddham // Vv_72 //	nijagAda praNamAmi tam apratima saMbudDam // Vu _72 //
   iti //	iti //
