   // Saddharmalaṅkāvatārasūtram //	// Sat Darma laFkA avatAra sUtram //
   adrākṣīdrāvaṇo yakṣa ātmabhāvaṃ gṛhe sthitam // Lank_1.37 //	adrAkzIt rAvaNaH yakzaH Atma BAvam gRhe sTitam // Lank _1.37 //
   cinteti kimidaṃ ko 'yaṃ deśitaṃ kena vā śrutam /	cintA iti kim idam kaH ayam deSitam kena vA Srutam /
   kiṃ dṛṣṭaṃ kena vā dṛṣṭaṃ nagaro vā kva saugataḥ // Lank_1.38 //	kim dRzwam kena vA dRzwam nagaraH vA kva sOgataH // Lank _1.38 //
   tāni kṣetrāṇi te buddhā ratnaśobhāḥ kva saugatāḥ /	tAni kzetrANi te budDAH ratna SoBAH kva sOgatAH /
   svapno 'yamatha vā māyā nagaraṃ gandharvaśabditam // Lank_1.39 //	svapnaH ayam aTa vA mAyA nagaram ganDarva Sabditam // Lank _1.39 //
   timiro mṛgatṛṣṇā vā svapno vandhyāprasūyatam /	timiraH mRgatRzNA vA svapnaH vanDyA prasUyatam /
   alātacakradhūmo vā yadahaṃ dṛṣṭavāniha // Lank_1.40 //	alAta cakra DUmaH vA yat aham dRzwavAn iha // Lank _1.40 //
   atha vā dharmatā hyeṣā dharmāṇāṃ cittagocare /	aTa vA DarmatA hi ezA DarmANAm citta gocare /
   na ca bālāvabudhyante mohitā viśvakalpanaiḥ // Lank_1.41 //	na ca bAla avabuDyante mohitAH viSva kalpanEH // Lank _1.41 //
   na draṣṭā na ca draṣṭavyaṃ na vācyo nāpi vācakaḥ /	na drazwA na ca drazwavyam na vAcyaH na api vAcakaH /
   anyatra hi vikalpo 'yaṃ buddhadharmākṛtisthitiḥ /	anyatra hi vikalpaH ayam budDa Darma AkRti sTitiH /
   ye paśyanti yathādṛṣṭaṃ na te paśyanti nāyakam // Lank_1.42 //	ye paSyanti yaTAdRzwam na te paSyanti nAyakam // Lank _1.42 //
   (Vaidya 5)	(VEdyaH 5)
   apravṛttivikalpaśca yadā buddhaṃ na paśyati /	apravRtti vikalpaH ca yadA budDam na paSyati /
   apravṛttibhave buddhaḥ saṃbuddho yadi paśyati // Lank_1.43 //	apravRtti Bave budDaH saMbudDaH yadi paSyati // Lank _1.43 //
   samanantaraprativibuddhe parāvṛttāśraye svacittadṛśyamātrādhigame	samanantara prativibudDe parAvRtta ASraye sva citta dRSya mAtra aDigame
   'vikalpapracārasthitasya laṅkādhipateḥ pūrvakuśalamūlasaṃcoditasya	avikalpa pracAra sTitasya laFkA aDipateH pUrva kuSala mUla saMcoditasya
   sarvaśāstravidagdhabuddheryathātathyadarśanasya aparapraṇeyasya	sarva SAstra vidagDa budDeH yaTA taTyadarSanasya apara praNeyasya
   svabuddhivicālanakuśalasya tarkadṛṣṭivyapetadarśanasya aparapraṇeyasya	sva budDi vicAlana kuSalasya tarka dRzwi vyapeta darSanasya apara praNeyasya
   mahāyogayogino mahāviśvarūpadhāriṇaḥ upāyakauśalyagatiṃgatasya	mahA yoga yoginaH mahA viSva rUpa DAriNaH upAya kOSalya gatiMgatasya
   sarvabhūmyuttarottarasvalakṣaṇādhigamanakuśalasya	sarva BUmi uttarottara sva lakzaNa aDigamana kuSalasya
   cittamagomanovijñānasvabhāvavivekaratasya trisaṃtativyavacchinnadarśanasya	cittam agomanaH vijQAna svaBAva viveka ratasya tri saMtati vyavacCinna darSanasya
   sarvakāraṇatīrthyavyapetabuddheḥ	sarva kAraNa tIrTya vyapeta budDeH
   tathāgatagarbhabuddhabhūmyadhyātmasamāpannasya	taTAgata garBa budDa BUmi aDyAtma samApannasya
   sthitabuddhabuddhergaganādadhyātmavedyaśabdamaśrauṣīt   sādhu sādhu	sTita budDa budDeH gaganAt aDyAtma vedya Sabdam aSrOzIt  sADu sADu
   laṅkādhipate, sādhu khalu punastvaṃ laṅkādhipate / evaṃ śikṣitavyaṃ yoginā	laFkA aDipate, sADu Kalu punar tvam laFkA aDipate / evam Sikzitavyam yoginA
   yathā tvaṃ śikṣase / evaṃ ca tathāgatā draṣṭavyāḥ dharmāśca, yathā tvayā	yaTA tvam Sikzase / evam ca taTAgatAH drazwavyAH DarmAH ca, yaTA tvayA
   dṛṣṭāḥ / anyathā dṛśyamāne ucchedamāśrayaḥ / cittamanomanovijñānavigatena	dRzwAH / anyaTA dRSyamAne ucCedam ASrayaH / citta manaH manaH vijQAna vigatena
   tvayā sarvadharmā vibhāvayitavyāḥ / antaścāriṇā na	tvayA sarva DarmAH viBAvayitavyAH / antar cAriNA na
   bāhyārthadṛṣṭyabhiniviṣṭena / na ca tvayā	bAhya arTa dRzwi aBinivizwena / na ca tvayA
   śrāvakapratyekabuddhatīrthādhigamapadārthagocarapatitadṛṣṭisamādhinā	SrAvaka pratyekabudDa tIrTa aDigama padArTa gocara patita dRzwi samADinA
   bhavitavyam / nākhyāyiketihāsaratena bhavitavyam / na svabhāvadṛṣṭinā, na	Bavitavyam / na AKyAyikA itihAsa ratena Bavitavyam / na svaBAva dRzwinA, na
   rājādhipatyamadapatitena, ṣaḍdhyānādidhyāyinā / eṣa laṅkādhipate	rAja ADipatya mada patitena, zaz DyAna Adi DyAyinA / eza laFkA aDipate
   abhisamayo mahāyogināṃ	aBisamayaH mahA yoginAm
   parapravādamathanānāmakuśaladṛṣṭidālanānāmātmadṛṣṭivyāvartanakuśalānāṃ	para pravAda maTanAnAm akuSala dRzwi dAlanAnAm Atma dRzwi vyAvartana kuSalAnAm
   sūkṣmamabhivijñānaparāvṛttikuśalānāṃ jinaputrāṇāṃ mahāyānacaritānām /	sUkzmam aBivijQAna parAvRtti kuSalAnAm jinaputrANAm mahAyAna caritAnAm /
   tathāgatasvapratyātmabhūmipraveśādhigamāya tvayā yogaḥ karaṇīyaḥ / evaṃ	taTAgata sva pratyAtma BUmi praveSa aDigamAya tvayA yogaH karaNIyaH / evam
   kriyamāṇe bhūyo 'pyuttarottaraviśodhako 'yaṃ laṅkādhipate mārgo yastvayā	kriyamANe BUyas api uttarottara viSoDakaH ayam laFkA aDipate mArgaH yaH tvayA
   parigṛhītaḥ samādhikauśalasamāpattyā / na ca	parigRhItaH samADi kOSala samApattyA / na ca
   śrāvakapratyekabuddhatīrthyānupraveśasukhagocaro yathā	SrAvaka pratyekabudDa tIrTya anupraveSa suKa gocaraH yaTA
   bālatīrthayogayogibhiḥ kalpyate	bAla tIrTa yoga yogiBiH kalpyate
   ātmagrāhadṛśyalakṣaṇābhiniviṣṭairbhūtaguṇadravyānucāribhiravidyāpratyayadṛṣṭyabhiniveśābhiniviṣṭaiḥ	Atma grAha dRSya lakzaNa aBinivizwEH BUta guNa dravya anucAriBiH avidyA pratyaya dRzwi aBiniveSa aBinivizwEH
   śūnyatotpādavikṣiptairvikalpābhiniviṣṭairlakṣyalakṣaṇapatitāśayaiḥ /	SUnya tA utpAda vikziptEH vikalpa aBinivizwEH lakzya lakzaNa patita ASayEH /
   viśvarūpagatiprāpako 'yaṃ laṅkādhipate svapratyātmagatibodhako 'yaṃ	viSvarUpa gati prApakaH ayam laFkA aDipate sva pratyAtma gati boDakaH ayam
   mahāyānādhigamaḥ / viśeṣabhavopapattipratilambhāya ca pravartate /	mahAyAna aDigamaH / viSeza Bava upapatti pratilamBAya ca pravartate /
   paṭalakośavividhavijñānataraṃgavyāvartako 'yaṃ laṅkādhipate	pawala koSa viviDa vijQAna taraMga vyAvartakaH ayam laFkA aDipate
   mahāyānayogapraveśo na tīrthyayogāśrayapatanam / tīrthyayogo hi	mahAyAna yoga praveSaH na tIrTya yoga ASraya patanam / tIrTya yogaH hi
   laṅkādhipate tīrthyānāmātmābhiniveśātpravartate /	laFkA aDipate tIrTyAnAm Atma aBiniveSAt pravartate /
   vijñānasvabhāvadvayārthānāmabhiniveśadarśanādasaumyayogastīrthakarāṇām /	vijQAna svaBAva dvaya arTAnAm aBiniveSa darSanAt asOmya yogaH tIrTakarANAm /
   tatsādhu laṅkādhipate etamevārthamanuvicintayeḥ / yathā	tat sADu laFkA aDipate etam eva arTam anuvicintayeH / yaTA
   vicintitavāṃstathāgatadarśanāt / etadeva tathāgatadarśanam //	vicintitavAn= taTAgata darSanAt / etat eva taTAgata darSanam //
   atha tasminnantare rāvaṇasyaitadabhavat   yannvahaṃ punarapi bhagavantaṃ	aTa tasmin= antare rAvaNasya etat aBavat  yat nu aham punar api Bagavantam
   sarvayogavaśavartinaṃ tīrthyayogavyāvartakaṃ pratyātmagatigocarodbhāvakaṃ	sarva yoga vaSa vartinam tIrTya yoga vyAvartakam pratyAtma gati gocara udBAvakam
   nairmitanairmāṇikavyapetamadhigamabuddhiryadyogināṃ yogābhisamayakāle	nErmitanErmANikavya petam aDigama budDiH yat yoginAm yoga aBisamaya kAle
   samādhimukhe samāptānāmadhigamo bhavati / tasya ca adhigamādyogināṃ	samADi muKe samAptAnAm aDigamaH Bavati / tasya ca aDigamAt yoginAm
   yogaśabdo nipātyate adhigamaneneti / tadahaṃ kāruṇikaṃ	yoga SabdaH nipAtyate aDigamanena iti / tat aham kAruNikam
   kleśendhanavikalpakṣayakaraṃ taṃ jinaputraiḥ parivṛtaṃ	kleSa inDana vikalpa kzaya karam tam jinaputrEH parivRtam
   sarvasattvacittāśayānupraviṣṭaṃ sarvagataṃ sarvajñaṃ	sarva sattva citta ASaya anupravizwam sarva gatam sarvajQam
   kriyālakṣaṇavinivṛttaṃ tayaivamṛddhyā (Vaidya 6) paśyeyam,	kriyA lakzaNa vinivRttam tayA evam RdDyA (VEdyaH 6) paSyeyam,
   taddarśanānnādhigatamadhigaccheyam, adhigataṃ ca me nirvikalpācāraḥ	tad darSanAt na aDigatam aDigacCeyam, aDigatam ca me nirvikalpa AcAraH
   sukhasamādhisamāpattivihārastathāgatagatibhūmiprāpako vivṛddhiṃ yāyāt //	suKa samADi samApatti vihAraH taTAgata gati BUmi prApakaH vivRdDim yAyAt //
   atha bhagavāṃstasyāṃ velāyāṃ laṅkādhipateranutpattikadharmakṣāntyadhigataṃ	aTa BagavAn= tasyAm velAyAm laFkA aDipateH anutpattika Darma kzAnti aDigatam
   viditvā tayaiva śobhayā daśagrīvasyānukampayā punarapyātmānaṃ śikhare	viditvA tayA eva SoBayA daSagrIvasya anukampayA punar api AtmAnam SiKare
