   ātmasiddhiḥ /	Atma sidDiH /
   maṅgalamāśīrūpaṃ vastunirdeśaṃ ca kurvāṇaḥ śiṣyaśikṣāyai nibadhnāti	maFgalam ASI rUpam vastu nirdeSam ca kurvANaH Sizya SikzAyE nibaDnAti
   "prakṛtī' ti / prakṛtirmāyā, tatkāryāṇi samaṣṭivyaṣṭirūpāṇi vyaktāni,	"prakRtI a ti / prakRtiH mAyA, tad kAryANi samazwi vyazwi rUpANi vyaktAni,
   prakṛtiprākṛtapariṇāmahetuḥ kālaḥ, tadbaddho jīvarāśiśreti	prakRti prAkRta pariNAma hetuH kAlaH, tad badDaH jIvarASiSra iti
   līlāvibhūtisthāḥ sarve saṅgṛhītāḥ śabdacatuṣṭayena / muktāḥ	lIlA viBUti sTAH sarve saFgRhItAH Sabda catuzwayena / muktAH
   bhagavadupāsanāprabhāvādbhavabandhanātkarmapāśapragrathitādvinirmuktāḥ /	Bagavat upAsana apraBAvAt Bava banDanAt karma pASa pragraTitAt vinirmuktAH /
   ete prakṛtyādayo yasyaiva paramapuruṣasyecchāṃ saṅkalparūpāṃ sadā	ete prakRti AdayaH yasya eva parama puruzasya icCAm saFkalpa rUpAm sadA
   samanusaranti svarūpasthitipravṛttiṣu, tasmin pūruṣa ityanvayaḥ / imāni ca	samanusaranti sva rUpa sTiti pravRttizu, tasmin pUruzaH iti anvayaH / imAni ca
   sarjanāvanasaṃharaṇasaṃsāravimocanāni saṅkalpaikaniṣpādyāni bhagavato	sarja nAvana saMharaNa saMsAra vimocanAni saFkalpa eka nizpAdyAni BagavataH 
   līlārasāya kalpante / evaṃ līlāvibhūtiyoga uktaḥ / atha	lIlA rasAya kalpante / evam lIlA viBUti yogaH uktaH / aTa
   nityavibhūtiyogamāha 'nityam' iti / nityamiti pūrvottarayoranvitaṃ	nitya viBUti yogam Aha anityam a iti / nityam iti pUrva uttarayoH anvitam
   madhyamaṇinyāyena / sadodbhūtāpahatapāpmatvādisvarūpaiḥ	maDya maNi nyAyena / sadA udBUta apahata pApma tva Adi svarUpEH
   sarvajñairbhagavadanubhavajanitaprītikāritāśeṣaśeṣavṛttyanvayata	sarvajQEH Bagavat anuBava janita prIti kArita aSeza Seza vRtti anvayata
   evādhigatabhogairanantairanantagaruḍaviṣvaksenādibhirnityasūribhiḥ śrīmati	eva aDigata BogEH anantEH ananta garuxa vizvaksena AdiBiH nitya sUriBiH SrImati
   mahāvaikuṇṭhe divye 'kṣare dhāmni sadā niratiśayaprītimanubhavati	mahA vEkuNWe divye akzare DAmni sadA niratiSaya prItim anuBavati
   nārīṇāmuttamāyāḥ śriyo vallabhe puruṣottame parabrahmaṇi mama	nArINAm uttamAyAH SriyaH vallaBe puruzottame para brahmaNi mama
   bhaktipracayo bhūyādityāśaṃsā / ubhayavibhūtināthe ramānāthe bhaktirhi	Bakti pracayaH BUyAt iti ASaMsA / uBaya viBUti nATe ramAnATe BaktiH hi
   sarvaśreyaskarī / tattadbhaktyāśaṃsanamucitataram / bhaktireva bhagavati	sarva SreyaskarI / tad tad Bakti ASaMsanam ucitataram / BaktiH eva Bagavati
   prārthyā cetanaiḥ / sa hi svayameva śreyo vidadhāti / tattasmin	prArTyA cetanEH / sa hi svayam eva SreyaH vidaDAti / tat tasmin
   śvaśreyaḥprārthanā nocitatarā bhaktānāmiti cānena jñāpyate /	Sva SreyaH prArTanA na ucitatarA BaktAnAm iti ca anena jQApyate /
   acetanabhedaścetanabhedaśca paramārthataḥ, śrīmannārāyaṇasyaiva pāramyaṃ,	acetana BedaH cetana BedaH ca paramArTataH, SrImat nArAyaNasya eva pAramyaM,
   sarvacetanācetanānāṃ tadvibhūtitvaṃ,	sarva cetana acetanAnAm tad viBUti tvaM,
   niratiśayapremagarbhatadupāsanasyaivāpavargahetutvamavicchinnapūrṇabhagavadanubhavagarbhasevāyā	niratiSaya prema garBa tad upAsanasya eva apavarga hetu tvam avicCinna pUrNa Bagavat anuBava garBa sevAyAH 
   eva paramapumarthatvaṃ ceti svābhimatāḥ prakaraṇārthā atra saṃsūcitāḥ // 1	eva parama pum arTa tvam ca iti sva aBimatAH prakaraNa arTAH atra saMsUcitAH // 1
   viruddhamatayo 'nekāḥ santyātmaparamātmanoḥ /	virudDa matayaH anekAH santi Atma paramAtmanoH /
   atastatpariśuddhyarthamātmasiddhirvidhīyate // 2 //	atas tad pariSudDi arTam Atma sidDiH viDIyate // 2 //
   saṃmataṃ hi sarvasamayeṣu ātmajñānaṃ niḥśreyasaheturiti / śrūyate ca	saMmatam hi sarva samayezu Atma jQAnam niHSreyasa hetuH iti / SrUyate ca
   'pṛthagātmānaṃ preritāraṃ ca matvā juṣṭustatastenāmṛtatvameti' 'ātmānaṃ	apRTak AtmAnam preritAram ca matvA juzwuH tatas tena amRta tvam eti a aAtmAnam
   cedvijānīyāt' 'taratiśoka  mātmavit' 'brahmavidāpnoti para' mityādiḥ	ced vijAnIyAt a atarati Soka mA Atma vita abrahma vid Apnoti para a mityAdiH
   parāvarātmatattvajñānasyāpavargasādhanatvaṃ pratipādayan vedāntavākyagaṇaḥ	parAvara Atma tattva jQAnasya apavarga sADana tvam pratipAdayan vedAnta vAkya gaNaH
   tatrāsminnātmani parasmiṃścānekavidhā vipratipattayaḥ tīrthakarāṇām /	tatra asmin= Atmani parasmin= ca anekaviDAH vipratipattayaH tIrTakarANAm /
   tadyathā   ātmaviṣaye tāvat dehameva kecidātmānamācakṣate / indriyāṇyanye	tat yaTA  Atma vizaye tAvat deham eva kecid AtmAnam Acakzate / indriyANi anye
   / mana ityanye / prāṇamapare / adhyastajñātṛ bhāvamanahaṅkāraṃ	/ manaH iti anye / prANam apare / aDyasta jQAtR BAvam anahaFkAram
   bodhamātramitare /	boDa mAtram itare /
   dehendriyamanaḥprāṇabodhavilakṣaṇamākāśādivadacitkhabhāvamāgantukabodhasukhaduḥkhādyasādhāraṇaguṇādhāramahaṅkāragocaramapare	deha indriya manaH prANa boDa vilakzaNam AkASa Adi vada citKa BAvam Agantuka boDa suKa duHKa Adi asADAraNa guNa ADAram ahaFkAra gocaram apare
   / apare tu bodhaikasvabhāvameva, svabhāvadhavalamiva	/ apare tu boDa eka svaBAvam eva, svaBAva Davalam iva
   sphuṭikamaṇimupadhānaviśeṣāpāditāruṇimaguṇādinirbhāsamantaḥkaraṇopadhānāpāditarāgadveṣasukhaduḥkhādyaśivaguṇanirbhāsamanuditāvastamitasvarūpaprakāśaṃ	sPuwika maNim upaDAna viSeza ApAdita aruNima guNa Adi nirBAsam antaHkaraNa upaDAna ApAdita rAga dveza suKa duHKa Adi aSiva guNa nirBAsam anuditO= astam ita
   svayañjyotiṣamimamabhidadhati / anye tu jñānānandasvabhāvam /	svayan jyotizam imam aBidaDati / anye tu jQAna Ananda svaBAvam /
   āśrayānukūlyapratilabdhānandasukhādivyapadeśabodhaviśeṣa evāsya svābhāvika	ASraya AnukUlya pratilabDa Ananda suKa Adi vyapadeSa boDa viSezaH eva asya svABAvika
   ityanye / tathā   anumānasamadhigamyaḥ ; āgamaikavedyaḥ ;	iti anye / taTA  anumAna samaDigamyaH ; Agama eka vedyaH ;
   mānasapratyakṣavedyaḥ ; grāhakatayaiva sakalaviṣayavittiṣu pratyakṣaḥ ;	mAnasa pratyakza vedyaH ; grAhaka tayA eva sakala vizaya vittizu pratyakzaH ;
   jñānasvabhāvatayānuditānastamitasvarūpaprakāśaḥ svayañjyotiḥ ; ridṛśo	jQAna svaBAva tayA anuditAn astamita svarUpa prakASaH svayan jyotiH ; ridRSaH 
   'pyugamānumānayogajapratyakṣaiḥ svetarasakalavilakṣaṇasvābhāvyena	api ugama anu mAna yoga ja pratyakzEH svetarasakala vilakzaNa svABAvyena
   viśadaviśadataraviśadatamatayāntato yathāvadaparokṣyata iti /	viSada viSadatara viSadatama tayA antataH yaTAvat aparokzyate iti /
   tathā   paramamahān ; aṇuparimāṇaḥ ; śarīraparimāṇaḥ ; svataḥ	taTA  parama mahAn ; aNu parimANaH ; SarIra parimANaH ; svatas 
   parimāṇarahito 'pi vyāpyavastuparimitikṛtapariccheda iti /	parimANa rahitaH api vyApya vastu parimiti kRta paricCedaH iti /
   vyāptirapicaitanyamātreṇa ; svarūpeṇeti / tathā kṣaṇikaḥ ;	vyAptiH api cEtanya mAtreNa ; svarUpeNa iti / taTA kzaNikaH ;
   yāvaccharīroṣmastāyī ; āprakṛtapralayāvasthīyī ; āmokṣasthāyī ; kūṭastho	yAvat SarIra UzmaH tAyI ; AprakRta pralayO= asTIyI ; Amokza sTAyI ; kUwasTaH 
   nitya iti / sarvaśarīreṣvekaḥ ; pratikṣetraṃ nānābhūta iti ca tathā tathā	nityaH iti / sarva SarIrezu ekaH ; pratikzetram na anA BUtaH iti ca taTA taTA
   pratipadyante /	pratipadyante /
   tathā paramātmaviṣaye 'pi   kecit samastavastusākṣātkāriṇaṃ	taTA paramAtma vizaye api  kecid samasta vastu sAkzAt kAriNam
   sarvaśaktimīśvarameva nābhyupagacchanti / abhyupagacchanto 'pyeke	sarva Saktim ISvaram eva na aByupagacCanti / aByupagacCantaH api eke
   pratyastamitamitimānamātṛmeyeśvareśitavyādibhedavikalpakūṭasthavijñā	pratyasta mita miti mAnam AtRmeya ISvara ISita vyAdi Beda vikalpa kUwa sTa vijQA
   naikarasamanādyavidyopadarśitaviyadādibhedāvacchinnajñānaiśvaryādimahimavika	na ekarasam anAdya vidyA upadarSita viyadA Adi Beda avacCinna jQAna ESvarya Adi mahimavika
   lpatayā kālpanikamācakṣate / apare tu yathoktasvarūpamevāvidyopadhānena	lpatayA kAlpanikam Acakzate / apare tu yaTA ukta svarUpam eva avidyA upaDAnena
   tadguṇasāratayā prakalpitabrahmādisthāvaraparyantavividhajīvabhedaṃ	tad guNa sAra tayA prakalpita brahma Adi sTAvara paryanta viviDa jIva Bedam
   svādhīnavicitravartasvabhāvamāyopahitatayā	svADIna vicitra varta svaBAva mAyA upahita tayA
   samāsāditasārvajñyādisaṃpadamupahitamimamabhidadhati / tathānye	samAsAdita sArvajQi Adi saMpadam upahitam imam aBidaDati / taTA anye
   prakṛṣṭasattavopādānanimittasvatantrapradhānapariṇāmaviśeṣamātrani	prakRzwa sattava upAdAna nimitta svatantra praDAna pariNAma viSeza mAtrani
   yamanirvāhitarvaiśvarya maryādamādriyante / anupahitamapi pariṇāminamapare	yama nirvAhitar vESvarya maryAdam Adriyante / anupahitam api pariNAminam apare
   pratipedire / apariṇāminamapi	pratipedire / apariNAminam api
   svamāyāṃśabhūtavicitrāntaḥkaraṇadarpaṇatalapratibimbitatayā	sva mAyA aMSa BUta vicitra antaHkaraNa darpaNa tala pratibimbita tayA
   pratipannaviśvataijasaprājñabhāvaṃ tamekameva cetanamitare rocayante /	pratipanna viSva tEjasa prAjQa BAvam tam ekam eva cetanam itare rocayante /
   anye tu	anye tu
   svādhīnatrividhacetanācetanasvarūpasthitipravṛttibhedaṃ	svADIna triviDa cetanA cetana svarUpa sTiti pravRtti Bedam
   svābhāvikaniravadhikātiśayajñānabalaiśvaryavīryaśaktitejaḥprabhṛtisakalakalyāṇaguṇagaṇamahārṇavaṃ	svABAvika niravaDika atiSaya jQAna bala ESvarya vIrya Sakti tejaH praBRti sakala kalyANa guNa gaNa mahA arNavam
   puruṣaviśeṣamīśvaramātiṣṭhante /	puruza viSezam ISvaram AtizWante /
   tathā tadviśeṣe 'pi hariharaviriñcabhāskarātmanā anabhimata	taTA tad viSeze api hari hara viriQca BAskara AtmanA anaBimata
   tattanmūrtiparityāgena ca catusridvyekamūrtitayā vivadante /	tad tad mUrti parityAgena ca catusri dvi eka mUrti tayA vivadante /
   mūrtiviśeṣaviṣayāśca	mUrti viSeza vizayAH ca
   nityatvānityatvabhotakatvābhautikatvasvārthaparārthatvādivitarkāḥ	nitya tva anitya tva Botaka tva aBOtika tva sva arTa para arTa tva Adi vitarkAH
   prādurbhavanti ; parijanasthānādigocarāśca / tathā pramāṇato 'pi  	prAdurBavanti ; parijana sTAna Adi gocarAH ca / taTA pramANataH api  
   ānuśrāvika evetyeke / ānumānikaścetyanye /	AnuSrAvikaH eva iti eke / AnumAnikaH ca iti anye /
   viśiṣṭapratyakṣasamadhigamyaścetyapare /	viSizwa pratyakza samaDigamyaH ca iti apare /
   tathā ātmaparamātmanoḥ saṃbandhe 'pi   anādyavidyopādānabhedāspado	taTA Atma paramAtmanoH saMbanDe api  anAdya vidyA upAdAna Beda AspadaH 
   'yamīśvareśitavyatādirūpasaṃbandhaḥ / paramārthatatsvekaṃ tattvamiti kecit	ayam ISvara ISita vyatA Adi rUpa saMbanDaH / paramArTa tatsu ekam tattvam iti kecid 
   / vyatirekābhāve 'pyatirikto jīva ityanye / svatastvaikyam, upādhito bheda	/ vyatireka aBAve api atiriktaH jIvaH iti anye / svatas tvEkyam, upADitaH Beda
   iti viśiṣṭasvarūpabhāvena bhinnābhinnatvamitare / nānātve satyevābhedo	iti viSizwa svarUpa BAvena Binna aBinna tvam itare / nAnAtve sati eva aBedaH 
   nāmānvayaḥ aṃśāśibhāvalakṣaṇaḥ, samavāyaḥ paratantratālakṣaṇaḥ,	nAma anvayaH aMSa aSi BAva lakzaNaH, samavAyaH paratantra tA lakzaNaH,
   śeṣaśeṣitvarūpaḥ, svasvāmibhāvaḥ, bhṛtyasvāmilakṣaṇa iti ca nānāvidyā	Seza Sezi tva rUpaH, sva svAmi BAvaH, BRtya svAmi lakzaNaH iti ca nAnA vidyA
   vādāḥ /	vAdAH /
   tathā paramapuruṣārthabhūte brahmaprāptilakṣaṇamokṣe 'pi  	taTA parama puruza arTa BUte brahma prApti lakzaNa mokze api  
   svarūpocchittilakṣaṇaḥ, avidyāstamayalakṣaṇaḥ,	svarUpa ucCitti lakzaNaH, avidyA astamaya lakzaNaH,
   niśeṣavaiśeṣikātmaguṇocchedalakṣaṇaḥ, kaivalyarūpaḥ,	niSeza vESezika Atma guNa ucCeda lakzaNaH, kEvalya rUpaH,
   tadbhāvasādharmyalakṣaṇaḥ, tadguṇasaṅkāntilakṣaṇaḥ, catthāyāpattilakṣaṇaḥ,	tad BAva sADarmya lakzaNaH, tad guNa saFkAnti lakzaNaH, catTAya Apatti lakzaNaH,
   sāṃsiddhikānandādisvarūpāvirbhāvalakṣaṇaḥ,	sAMsidDika Ananda Adi svarUpa AvirBAva lakzaNaH,
   tadguṇānubhavajanitaniratiśayasukhasamunmeṣopanītātyantikatatkiṅkaratvalakṣaṇa	tad guNa anuBava janita niratiSaya suKa samunmeza upanIta Atyantika tad kiFkara tva lakzaNa
   iti tathā tathā vivadante /	iti taTA taTA vivadante /
   tatsādhanato 'pi   karmayogalabhyaḥ, jñānayogalabhyaḥ,	tad sADanataH api  karma yoga laByaH, jQAna yoga laByaH,
   anyatarānugṛhītānyataralabhyaḥ, ubhayalabhyaḥ,	anyatara anugRhIta anyatara laByaH, uBaya laByaH,
   ubhayaparikarmitakhāntasyaikāntikātyantika bhaktiyogalabhya iti /	uBaya parikarmita KAntasya EkAntika Atyantika Bakti yoga laByaH iti /
   tadevamanavasitaviśeṣavimarśakajanavimatidarśanāt,	tat eva mana vasita viSeza vimarSaka jana vimati darSanAt,
   tatttatpakṣasādhanabalābalānagamācca tatastataḥ sandihānāḥ prekṣāvanto na	tatd tad pakza sADana balA balAn agamAt ca tatas tatas sandihAnAH prekzAvantaH na
   tāvatparamapuruṣārthāya ghaṭeran, yāvadayamātmā paramātmā ca svarūpataḥ	tAvat parama puruza arTAya Gaweran, yAvat ayam AtmA paramAtmA ca svarUpataH
   pramāṇataḥ saṃbandhataḥ prāptitaḥ tatsādhanataśca na nirṇiyeteti	pramANataH saMbanDataH prAptitaH tad sADanataH ca na nirNiyeta iti
   tatpratibodhāyedamārabhyate /	tad pratiboDAya idam AraByate /
   yadyapi bhagavatā bādarāyaṇenedamarthānyeva sūtrāṇi praṇītāni / vivṛtāni	yadi api BagavatA bAdarAyaNena idam arTAni eva sUtrANi praNItAni / vivRtAni
   ca tāni pari	ca tAni pari
   mitagambhīrabhāṣiṇā dramiḍabhāṣyakṛtā / vistṛtāni ca tāni	mita gamBIra BAziNA dramixa BAzya kRtAH / vistRtAni ca tAni
   gambhīranyāyasā(ga)rabhāṣiṇā śrīvatsāṅkamiśreṇāpi / tathāpi	gamBIra nyAya sA(ga)ra BAziNA SrIvatsa aFka miSreNa api / taTA api
   ācāryaṭaṅka bhartṛprapañca bhartṛmitra bhartṛhari brahmadaktaśaṅkara śrīvatsāṅka bhāskarādiviracitasitāsitavividhanibandhana	AcArya waFka  BartR prapaQca  BartR mitra  BartR hari  brahma dakta SaFkara   SrIvatsa aFka  BAskara Adi viracita sita asita viviDa nibanDana
   śraddhāvipralabdhabuddhayo na yathāvat, anyathā ca pratipadyanta iti	SradDA vipralabDa budDayaH na yaTAvat, anyaTA ca pratipadyante iti
   yuktaḥ prakaraṇaprakramaḥ // (ityupoddhātaprakaraṇam)	yuktaH prakaraNa prakramaH // (iti upodDAta prakaraNam)
   prakaraṇārambhaprayojanasabhidhatte 'viruddhe'ti / ātmaparamātmaviṣaye hi	prakaraNa AramBa prayojana saBiDatte avirudDe ati / Atma paramAtma vizaye hi
   nānā vipratipattayaḥ santi / matīnāṃ viruddhatvaṃ viruddhārakārāvagāhitvam	nAnA vipratipattayaH santi / matInAm virudDa tvam virudDAra kAra avagAhi tvam
   / yato mumukṣūṇāmātmaparamātmatattvaṃ jijñāsamānānāṃ tadviṣaye	/ yatas mumukzUNAm Atma parama Atma tattvam jijQAsamAnAnAm tad vizaye
   vādivivādinimittā vipratipattayaḥ santi, atastatpariśuddhyarthaṃ  	vAdi viva Adi nimittAH vipratipattayaH santi, atas tad pariSudDi arTam  
   ātmaparamātmatattvamateḥ	Atma paramAtma tattva mateH
   tattadvādaprayuktāsadviruddhākāraprakārakatvarūpadoṣanirasanena	tad tad vAda prayukta asat virudDa AkAra prakAraka tva rUpa doza nirasanena
   yathāvasthitākārāvagāhitvalakṣaṇaśuddhiyogasaṃpādanārthamātmasiddhināmakaṃ	yaTA avasTita AkAra avagAhi tva lakzaNa SudDi yoga saMpAdana arTam Atma sidDi nAmakam
   prakaraṇaṃ viraccate	prakaraNam viraccate
   satpramāṇatarkairātmaparātmatattvanirṇayaphalamiryarthaḥ /	sat pramANa tarkEH Atma parAtma tattva nirNaya Palam iri arTaH /
   parāvarātmatattvaṃ pradhānaviṣayaḥ / parapakṣapratikṣepo nāntarīyakaḥ /	parAvara Atma tattvam praDAna vizayaH / para pakza pratikzepaH na antarIyakaH /
   ātmatattvanirṇayaśca sākṣātprayojanametatprakaraṇasyeti sūcitam /	Atma tattva nirNayaH ca sAkzAt prayojanam etat prakaraNasya iti sUcitam /
   paramparayā niḥśreyasābhiṣvaṅgaścāsyābhipretaḥ / viṣayaprayojanokteḥ	paramparayA niHSreyasa aBizvaFgaH ca asya aBipretaH / vizaya prayojana ukteH
   saṃbandhādhikāriṇau cākṣepagamyau /	saMbanDa aDikAriNO ca Akzepa gamyO /
   evamanubandhicatuṣṭayasaṃpattiranusaṃhitā /	evam anubanDi catuzwaya saMpattiH anusaMhitAH /
   parāvarātmatattvapratipādakaścutyantānugrāhakanyāyaprapañcanaṃ	parAvara Atma tattva pratipAdakaH cutyanta anugrAhaka nyAya prapaQcanam
   prakaraṇasyāsya mukhyaṃ kṛtyam / tataścātmaparamātmamananopayogīdaṃ	prakaraNasya asya muKyam kRtyam / tatas ca Atma paramAtma manana upayogIdam
   saṃpadyata iti bodhyam // 2 //	saMpadyate iti boDyam // 2 //
   anarthakāyātmatattva na ko 'pi prekṣāpūrvakārī pravarteteti	anarTa kAya Atma tattva na kaH api prekzA pUrva kArI pravarteta iti
   svagranthaphalasyāsya niḥśreyasābhiṣvaṅgamāviṣkaroti 'saṃmatam' iti /	sva granTa Palasya asya niHSreyasa aBizvaFgam Avizkaroti asaMmatam a iti /
   nanvastu nāmā'majñānasya mokṣasādhanatvam, atiriktaparamātmajñānasya	nanu astu nAmA amajQAnasya mokza sADana tvam, atirikta paramAtma jQAnasya
   tatkula ityatrā'ha 'śrūyate' iti / bāhyānāṃ vimatyāmapi	tad kulaH iti atrA aha aSrUyate a iti / bAhyAnAm vimatyAm api
   vaidikavaryāṇāmātmana iva paramātmano 'pi tattvajñānasya mokṣasādhanatve	vEdika varyANAm AtmanaH iva paramAtmanaH api tattva jQAnasya mokza sADana tve
   na vimatiriti bhāvaḥ / parātmā paraṃbrahma puruṣottamaḥ śrīmannārāyaṇaḥ /	na vimatiH iti BAvaH / para AtmA  paraMbrahma puruzottamaH SrImat nArAyaNaH /
   avarātmā jīvātmā / śiṣṭaṃ spaṣṭam /	avara AtmA a jIva AtmA / Sizwam spazwam /
   nanu sandhigdhe hi nyāyapravṛttiḥ / vedāntaireva parāvarātmatattvaṃ	nanu sanDigDe hi nyAya pravRttiH / vedAntEH eva parAvara Atma tattvam
   suniścitamiti kathaṃ tatra śaṅkā, kathantarāṃ ca	su niScitam iti kaTam tatra SaFkA, kaTantarAm ca
   nyāyapravṛttiḥ ? ucyate / śrutibhirarthāvagame 'pi prasiddhamativibhavānāṃ	nyAya pravRttiH ? ucyate / SrutiBiH arTa avagame api prasidDam ati viBavAnAm
   tīrthakarāṇāṃ vividhavādaśravaṇataḥ śrutitātparya eva sandehapravṛtteḥ	tIrTakarANAm viviDa vAda SravaNataH Sruti tAtparyaH eva sandeha pravRtteH
   śrutyarthayāthātmye 'pi śaṅkā saṃbhavadudayā / imamevā'śayaṃ hṛdi	Sruti arTayATAtmye api SaFkA saMBavat udayA / imam evA aSayam hRdi
   nidhāyātmatattve sandehasandohikā vipratipattīrupakṣapati 'tatre' ti /	niDAya Atma tattve sandeha sandohikA vipratipattIH upakzapati atatre a ti /
   tīrthaṃ   darśanaṃ tīrthasāmyāt / darśanaṃ hi	tIrTam  darSanam tIrTa sAmyAt / darSanam hi
   āntarājñānamalanirharaṇapūrvakaṃ tattvajñānarūpāṃ	Antara ajQAna mala nirharaNa pUrvakam tattva jQAna rUpAm
   śuddhimātmanāmupajanayati / tatkurvantīti tīrthakārāḥ   dārśanikāḥ /	SudDim AtmanAm upajanayati / tat kurvanti iti tIrTakArAH  dArSanikAH /
   tadyathā   uktaṃ vipratipaccibāhuvidhyaṃ yathā   yena prakāreṇa,	tat yaTA  uktam vipratipad cibAhu viDyam yaTA  yena prakAreNa,
   tadvarṇyata iti yāvat / 'dehameve'ti / dehādyātmatvavādinaścārvāka	tat varNyate iti yAvat / adeham eve ati / deha Adi Atma tva vAdinaH cArvAka
   bhedāḥ / 'mana ityanye' iti / mana ityaprasiddhaṃ kimapi	BedAH / amanaH iti anye a iti / manaH iti aprasidDam kim api
   kecidātmetyācakṣata ityarthaḥ / 'ātmānamācakṣata' ityuttaratrāpyanveti /	kecid AtmA iti Acakzate iti arTaH / aAtmAnam Acakzata a iti uttaratra api anveti /
   saugatamataṃ śāṅkaramataṃ cāha tantreṇa 'adhyaste' ti /	sOgata matam SAFkara matam ca Aha tantreNa aaDyaH te a ti /
   bodhamātrañcaitanyamātram / anahaṅkāram   ahaṃbuddhiśabdāviṣayam /	boDa mAtraQcEtanya mAtram / anahaFkAram  ahaMbudDi Sabda avizayam /
