   puṣkara uvāca-	puzkaraH uvAca-
   asitasyeti sarvāṇi viṣaghnāni bhṛgūttama /	asitasya-iti sarvANi viza-GnAni BRgu-uttamaH /
   sarasvatīti mantrāṃś ca viṣaghnān nirviśed budhaḥ // Vdho_2,127.13 //	sarasvatI-iti mantrAn ca viza-GnAn nirviSet buDaH // VDas-_2,127.13 //
   śarabhādīni sarvāṇi piśācakṣapaṇāni ca /	SaraBa-AdIni sarvANi piSAca-kzapaNAni ca /
   imā devīti mantraś ca sarvaśāntikaraḥ paraḥ // Vdho_2,127.14 //	imA devI-iti mantraH ca sarva-SAnti-karaH paraH // VDas-_2,127.14 //
   devā maruta ity etat sarvakāmakaraṃ bhavet /	devAH marutaH iti etat sarva-kAma-karam Bavet /
   yamasya lokād ity etad duḥsvapnaśamanaṃ paraṃ // Vdho_2,127.15 //	yamasya lokAt iti etat duHsvapna-Samanam param // VDas-_2,127.15 //
   agner va iti cāpy etat kathitaṃ manyunāśanam /	agneH vaH iti ca-api etat kaTitam manyu-nASanam /
   ūrdhvo bhavati vijñeyaḥ kṛtvā sthānakaraḥ paraḥ // Vdho_2,127.16 //	UrDvaH Bavati vijQeyaH kRtvA sTAna-karaH paraH // VDas-_2,127.16 //
   indraṃ vayaṃ vaṇijam iti paṇyalābhakaraṃ param /	indram vayam vaNijam iti paNya-lABa-karam param /
   [Bhattacharyya: baṇijaṃ]	[Bhatta-Caryya: baNi-jaM]
   kāmo me rājña ity etat strīṇāṃ saubhāgyavardhanam // Vdho_2,127.17 //	kAmaH me rAjQaH iti etat strINAm sOBAgya-varDanam // VDas-_2,127.17 //
   bhadrāya karṇam ity etat karṇaprasyandane japet /	BadrAya karNam iti etat karNa-prasyandane japet /
   bhadrāsy akṣirodhe jātā karṇaprasyandane tathā // Vdho_2,127.18 //	BadrAsi akzi-roDe jAtA karNa-prasyandane taTA // VDas-_2,127.18 //
   tubyam eva jarimann āyuṣyaṃ tu hutaṃ bhavet /	tubyam eva jariman Ayuzyam tu hutam Bavet /
   āyātu mitra ity etan mitralabdhikaraṃ hutam // Vdho_2,127.19 //	AyAtu mitraH iti etat mitra-labDi-karam hutam // VDas-_2,127.19 //
   āśāsānam idaṃ janā miśradhānyena homayet /	ASAsAnam idam janAH miSra-DAnyena homayet /
   ādhipatyam avāpnoti sarvatra manujottama // Vdho_2,127.20 //	ADipatyam avApnoti sarvatra manuja-uttamaH // VDas-_2,127.20 //
   agne gobhir na ity etad gavāṃ vṛddhikaraṃ param /	agne goBiH naH iti etat gavAm vRdDi-karam param /
   dvādaśāhaṃ tu juhuyāt parākeṇa viśeṣataḥ // Vdho_2,127.21 //	dvAdaSa-aham tu juhuyAt parAkeNa viSezataH // VDas-_2,127.21 //
   śānto agnir itīty etad grāmasvāsthyakaraṃ bhavet /	SAntaH agniH iti-iti etat grAma-svAsTya-karam Bavet /
   tasmād grāmān mṛdā kṛtvā vedisāmyaṃ samaśnute // Vdho_2,127.22 //	tasmAt grAmAt mRdA kRtvA vedi-sAmyam samaSnute // VDas-_2,127.22 //
   vidmāsya sarvā cittāni rāṣṭrasvīkaraṇāni tu /	vidmA-asya sarvA cittAni rAzwra-svIkaraNAni tu /
   tribhyo rudrebhya ity etad vāstoṣpatam udāhṛtam // Vdho_2,127.23 //	triByaH rudreByaH iti etat vAstozpatam udAhRtam // VDas-_2,127.23 //
   dhruvaṃ dhruveṇeti hutaṃ sthānalābhakaraṃ bhavet /	Druvam DruveNa-iti hutam sTAna-lABa-karam Bavet /
   acyutā dyaus tathā rāma kathitaṃ sthānalābhadam // Vdho_2,127.24 //	acyutA dyOH taTA rAma kaTitam sTAna-lABa-dam // VDas-_2,127.24 //
   payo deveṣv iti hutaṃ rāyaspoṣakaraṃ param /	payaH devezu iti hutam rAyaspoza-karam param /
   yunakrasīreti śunā kṛṣilābhakaraṃ bhavet // Vdho_2,127.25 //	yunakrasIrA-iti SunA kRzi-lABa-karam Bavet // VDas-_2,127.25 //
   ayaṃ te yonir ity etat putralābhakaraṃ bhavet /	ayam te yoniH iti etat putra-lABa-karam Bavet /
   śunaṃ vatsān tathā hy etad gavāṃ vṛddhikaraṃ hutam // Vdho_2,127.26 //	Sunam vatsAn taTA hi etat gavAm vRdDi-karam hutam // VDas-_2,127.26 //
   ... meti kathitaṃ sarvatśraiṣṭhyakārakam /	... mA-iti kaTitam sarvat-SrEzWya-kArakam /
   ahaṃ te bhaga ity etad bhavet saubhāgyavardhanaṃ // Vdho_2,127.27 //	aham te BagaH iti etat Bavet sOBAgya-varDanam // VDas-_2,127.27 //
   ye te pāśās tathāpy etad bandhanān mokṣakārakam /	ye te pASAH taTA-api etat banDanAt mokza-kArakam /
   yo na sva iti cāpy etac chatrunāśakaraṃ param // Vdho_2,127.28 //	yaH na svaH iti ca-api etat Satru-nASa-karam param // VDas-_2,127.28 //
   sapatnahanam iti tathā nātra kāryā vicāraṇā /	sapatna-hanam iti taTA na-atra kAryA vicAraNA /
   tvam uttamam itīty etad yaśaso vardhanaṃ param // Vdho_2,127.29 //	tvam uttamam iti-iti etat yaSasaH varDanam param // VDas-_2,127.29 //
   yathā mṛgo gopayasi strīṇāṃ saubhāgyavardhanam /	yaTA mRgaH go-payasi strINAm sOBAgya-varDanam /
   ā no agna ity etac ca kathitaṃ patilābhadam // Vdho_2,127.30 //	A naH agne iti etat ca kaTitam pati-lABa-dam // VDas-_2,127.30 //
   yena vehad iṣaṃ caiva garbhalābhakaraṃ bhavet /	yena vehat izam ca-eva garBa-lABa-karam Bavet /
   imaṃ tapasvinn iti tathā bhavet saubhāgyavardhanam // Vdho_2,127.31 //	imam tapasvin iti taTA Bavet sOBAgya-varDanam // VDas-_2,127.31 //
   yat pṛthivyā anāvṛttaṃ hutam etad yathāvidhi /	yat pRTivyAH anAvRttam hutam etat yaTAviDi /
   [Bhattacharyya typo: pṛvivyā]	[Bhatta-Caryya typo: pRvivyA]
   kṛtvā tu śaṃsanaṃ jñeyaṃ nātra kāryā vicāraṇā // Vdho_2,127.32 //	kRtvA tu SaMsanam jQeyam na-atra kAryA vicAraNAH // VDas-_2,127.32 //
   śivaḥ śivābhir ity etad bhavec chreyas^karaṃ param // Vdho_2,127.33 //	SivaH SivABiH iti etat Bavet SreyaH-^karam param // VDas-_2,127.33 //
   kṛtyādūṣaṇa ity etat kṛtyādūṣaṇam ucyate /	kRtyA-dUzaNaH iti etat kRtyA-dUzaNam ucyate /
   bṛhaspatiḥ paripātu pathi svastyayanaṃ bhavet // Vdho_2,127.34 //	bRhaspatiH paripAtu paTi svastyayanam Bavet // VDas-_2,127.34 //
   mano nv edam abhayadaṃ pathi svastyayanaṃ bhavet /	manaH nu edam aBaya-dam paTi svastyayanam Bavet /
   ayaṃ no agnir adhyakṣo bhaved agniprasādataḥ // Vdho_2,127.35 //	ayam naH agniH aDyakzaH Bavet agni-prasAdataH // VDas-_2,127.35 //
   saṃvatsaraṃ tu śirasā dhārayed yo hutāśanam //	saMvatsaram tu SirasA DArayet yaH hutASanam //
   [Bhattacharyya: hūtāśanam]	[Bhatta-Caryya: hUta-aSanam]
   mantram etaj japen nityam āgneyāśāmukhaḥ sthitaḥ //	mantram etat japet nityam AgneyASAmuKaH sTitaH //
   anagnijvalanaṃ kuryād rāma saṃvatsare gate // Vdho_2,127.36 //	anagni-jvalanam kuryAt rAma saMvatsare gate // VDas-_2,127.36 //
   dūṣyā dūṣītty etaj japen mantram anuttamam /	dUzyA dUzItti etat japet mantram anuttamam /
   kuryāt pratisarābandhaṃ sarvadoṣanibarhaṇam // Vdho_2,127.37 //	kuryAt pratisarAbanDam sarva-doza-nibarhaNam // VDas-_2,127.37 //
   prāṇasūktañ ca kathitaṃ tathā prāṇavivardhanam /	prANasUktan ca kaTitam taTA prANa-vivarDanam /
   muñcāmi tveti kathitam apamṛtyuvimokṣaṇam // Vdho_2,127.38 //	muQcAmi tvA-iti kaTitam apamRtyu-vimokzaNam // VDas-_2,127.38 //
   atharvaśiraso 'dhyetā sarvapāpaiḥ pramucyate /	aTarvaSirasaH aDyetA sarva-pApEH pramucyate /
   paramaṃ pāvanaṃ tad dhi sarvakalmaṣanāśanam // Vdho_2,127.39 //	paramam pAvanam tat Di sarva-kalmaza-nASanam // VDas-_2,127.39 //
   evam ete śubhā mantrāḥ prativedaṃ mayā tava /	evam ete SuBAH mantrAH prativedam mayA tava /
   samāsāt kathitā rāma samuddhṛtya pradhānataḥ // Vdho_2,127.40 //	samAsAt kaTitA rAma samudDRtya praDAnataH // VDas-_2,127.40 //
   ekaikasya ca mantrasya viniyogāḥ sahasraśaḥ /	ekEkasya ca mantrasya viniyogAH sahasraSas /
   [Bhattacharyya: viniyogaḥ]	[Bhatta-Caryya: viniyogaH]
   kathitā bhṛguśārdūla purāṇaiḥ sumahātmabhiḥ // Vdho_2,127.41 //	kaTitAH BRgu-SArdUla purANEH su-mahAtmaBiH // VDas-_2,127.41 //
   na te śakyā mahābhāga vaktuṃ varṣaśatair api /	na te SakyAH mahABAga vaktum varza-SatEH api /
   prādhānyena tu mantrāṇāṃ kiñcit karma taveritam // Vdho_2,127.42 //	prADAnyena tu mantrANAm kiQcid karma tava-Iritam // VDas-_2,127.42 //
   home yatra na nirdiṣṭaṃ mayā dravyaṃ purā tava /	home yatra na nirdizwam mayA dravyam purA tava /
   havīṃṣi tatra vakṣyāmi tāni me gadataḥ śṛṇu // Vdho_2,127.43 //	havIMzi tatra vakzyAmi tAni me gadataH SRNu // VDas-_2,127.43 //
   vṛkṣāṇāṃ yajñiyānān tu samidhaḥ prathamaṃ haviḥ /	vRkzANAm yajQiyAnAn tu samiDaH praTamam haviH /
   ājyañ ca vrīhayaś caiva tathā vai gaurasarṣapāḥ // Vdho_2,127.44 //	Ajyan ca vrIhayaH ca-eva taTA vE gOrasarzapAH // VDas-_2,127.44 //
   akṣatāni tilāś caiva dadhi kṣīrañ ca bhārgava /	akzatAni tilAH ca-eva daDi kzIran ca BArgavaH /
   darbhās tathaiva dūrvāś ca bilvāni kamalāni ca // Vdho_2,127.45 //	darBAH taTA-eva dUrvAH ca bilvAni kamalAni ca // VDas-_2,127.45 //
   śāntipuṣṭikarāṇy āhur dravyāṇy etāni bhārgava /	SAnti-puzwi-karANi AhuH dravyANi etAni BArgava /
   tailendhanāni dharmajña rājikāṃ rudhiraṃ viṣam /	tEla-inDanAni Darma-jQa rAjikAm ruDiram vizam /
   samidhaḥ kaṇṭakopetā abhicāreṣu yojayet // Vdho_2,127.46 //	samiDaH kaNwaka-upetAH aBicArezu yojayet // VDas-_2,127.46 //
   ārṣaṃ vai daivataṃ chandas tv avijñāya bhṛgūttama /	Arzam vE dEvatam CandaH tu avijQAya BRgu-uttamaH /
   mantrasya tena mantreṇa japyahomau na kārayet // Vdho_2,127.47 //	mantrasya tena mantreNa japya-homO na kArayet // VDas-_2,127.47 //
   chandasi brāhmaṇe sūkte yad avyaktaṃ pradṛśyate /	Candasi brAhmaNe sUkte yat avyaktam pradRSyate /
   vidvadbhiḥ saha niścitya tad yajñam avatārayet // Vdho_2,127.48 //	vidvadBiH saha niScitya tat yajQam avatArayet // VDas-_2,127.48 //
   sambhārā ye yathā yatra yāni dravyāṇi yo vidhiḥ /	samBArAH ye yaTA yatra yAni dravyANi yaH viDiH /
   śākhāṃ prati tathā tatra tat pramāṇam iti sthitiḥ // Vdho_2,127.49 //	SAKAm prati taTA tatra tat pramANam iti sTitiH // VDas-_2,127.49 //
   yaḥ svasūtram atikramya parasūtreṇa vartate /	yaH sva-sUtram atikramya para-sUtreNa vartate /
   apramāṇam ṛṣiṃ kṛtvā so 'py adharmeṇa yujyate // Vdho_2,127.50 //	apramANam Rzim kRtvA saH api aDarmeNa yujyate // VDas-_2,127.50 //
   tasmāt sarvaprayatnena svasūtraṃ na vilaṅghayet /	tasmAt sarva-prayatnena sva-sUtram na vilaFGayet /
   prāktantrottaratantre dve svaśākhāpratyaye dvija /	prAc-tantra-uttaratantre dve sva-SAKA-pratyaye dvija /
   sarvakarmasu kartavye madhye karma vidhīyate // Vdho_2,127.51 //	sarva-karmasu kartavye maDye karma viDIyate // VDas-_2,127.51 //
   ātharvaṇo 'yaṃ kathito vidhis te saṃkṣepato bhārgavāṃśamukhya /	ATarvaNaH ayam kaTitaH viDiH te saMkzepataH BArgava-aMSa-muKyaH /
   ataḥ paraṃ kiṃ kathayāmi tubhyaṃ tan me vadasvāyatalohitākṣa //	atas param kim kaTayAmi tuByam tat me vadasva-Ayata-lohita-akzaH //
   Vdho_2,127.52 //	VDas-_2,127.52 //
   // iti śriviṣṇudharmottare dvitīyakhaṇḍe mārkaṇḍeyavajrasaṃvāde rāmaṃ	// iti SrivizNuDarmottare dvitIya-KaNxe mArkaNxeya-vajra-saMvAde rAmam
   prati puṣkaropākhyāne 'tharvavidhikathanaṃ nāma saptaviṃśatyuttaraśatatamo	prati puzkara-upAKyAne aTarvaviDikaTanam nAma saptaviMSati-uttaraSatatamaH-
   'dhyāyaḥ //	aDyAyaH //
