   (Khs_11)	(KhH-_11)
   vandanāpūjāpāpadecanātrisaraṇagamanādisaptavidhāṃ pūjām ekadaśadhāṃ vā	vandanA-pUjA-pApa-decanA-tri-saraNa-gamana-Adi-saptaviDAm pUjAm eka-daSaDAm vA
   kṛtvā maitrīkaruṇādicaturbrahmavihārī bhāvanāṃ kuryāt tataḥ	kRtvA mEtrI-karuNA-Adi-catur-brahma-vihArI BAvanAm kuryAt tatas-
   śūnyatājñānavajrasvabhāvātmako 'ham ity uccārya śūnyatābodhim kṛtvā	SUnyatA-jQAna-vajra-svaBAva-AtmakaH aham iti uccArya SUnyatA-boDim kRtvA
   bhagavān avalokiteśvaro yoginātmanā bhūyate / sa ca śaraccandragauraḥ /	BagavAn avalokita-ISvaraH yoginA-AtmanA BUyate / sa ca Sarad-candragOraH /
   jaṭāmakuṭī śirasi amitābhadhārī sarvālaṅkārabūṣitaḥ / ratnasiṃhāsanopari	jawAmakuwI Sirasi amita-ABa-DArI sarva-alaFkAra-bUzitaH / ratna-siMhAsana-upari
   sahasradalapadmasthaḥ / lalitākṣepaḥ dvibhujaikamukhaḥ / vāmena padmadhārī	sahasra-dala-padma-sTaH / lalita-AkzepaH dvi-Buja-eka-muKaH / vAmena padmaDArI
   / dakṣiṇenāmṛtadhārāśravadvaradaḥ / satvaparyaṅkāsīnaḥ / agratas tārā	/ dakziNena-amRta-DArA-Sravadvara-daH / satva-paryaFka-AsInaH / agratas tArA
   kanakaśyāmavarṇā / unnatapīnapayodharā / sarvālaṅkārabhūṣitā /	kanaka-SyAma-varNAH / unnata-pIna-payoDarA / sarva-alaFkAra-BUzitA /
   utpalakalikāsannakaradvayārpitanetrā / tadanu sadhanakumārah /	utpala-kalikA-sanna-kara-dvaya-arpita-netrA / tadanu sa-Dana-kumArah /
   kanakojjvalaḥ / ratnābharaṇo ratnamukuṭī vāmakakṣāvasaktamalikaḥ /	kanaka-ujjvalaH / ratna-ABaraNaH ratnamukuwI vAma-kakzO=-asaktam-alikaH /
   kṛtāñjalipuṭaḥ / tadanu bhṛkuṭī jaṭāmukuṭinī / mūrdhni caityālaṅkṛtā /	kRta-aQjali-puwaH / tadanu BRkuwI jawA-mukuwinI / mUrDni cEtya-alaFkRtAH /
   kanakojjvalā / raktavastraparidhānā / dakṣiṇahastena namaskāraṃ kurvāṇā /	kanaka-ujjvalA / rakta-vastra-pariDAnAH / dakziNa-hastena namaskAram kurvANAH /
   apareṇākṣamālādharā / vāmakarābhyāṃ tridaṇḍīkamaṇḍaluvyagrā / tadanu	apareNa-akza-mAlA-DarA / vAma-karAByAm tridaNxIka-maNxalu-vyagrA / tadanu
   hayagrīvo jvaladbhāsuraḥ piṅgalordhvakeśaḥ / nāgābharaṇo raktavarṇaḥ /	hayagrIvaH jvalat-BAsuraH piFgala-UrDva-keSaH / nAga-ABaraNaH rakta-varNaH /
   lambodaro vyāghracarmāmbaraḥ / daṇḍahastaḥ / evaṃ pañcātmako bhagavān	lambodaraH vyAGra-carma-ambaraH / daNxa-hastaH / evam paQca-AtmakaH BagavAn
   bhāvanīyaḥ / saparivāraḥ / pūjayitavyo 'py evaṃvidhaḥ / tataḥ kṛtamaṇḍale	BAvanIyaH / sa-parivAraH / pUjayitavyaH api evaMviDaH / tatas kRta-maNxale
   / tatrādau maṇḍalaṃ kṛtvā rakṣāṃ kuryāt / (Khs_13) oṃ maṇidhari vajriṇi	/ tatra-AdO maNxalam kRtvA rakzAm kuryAt / (KhH-_13) om maNiDari vajriNi
   rakṣa o māṃ hūṃ phaṭ svāhā // oṃ vajrarekhe hūṃ maṇḍalamantraḥ // oṃ	rakza aH mAm hUm Paw svAhA // om vajra-reKe hUm maNxala-mantraH // om
   āgaccha bhagavan maṇḍalakasiṃhāsane oṃ āḥ iti mantrakṛtādhyeṣāṇāyāṃ	AgacCa Bagavat maNxalaka-siMhAsane om AH iti mantra-kRta-aDyezANAyAm
   kṛtamaṇḍalamadhyasiṃhāsanopari sahasradalapadmasthapañcātmakam pūjayed iti	kRta-maNxala-maDya-siMhAsana-upari sahasra-dala-padma-sTa-paQca-Atmakam pUjayet iti
   / tatra pūjāmantraḥ / oṃ vajrapuṣpe hūṃ / oṃ vajradhūpe hūṃ / oṃ	/ tatra pUjA-mantraH / om vajrapuzpe hUm / om vajra-DUpe hUm / om
   vajragandhe hūṃ / oṃ vajrāloke hūṃ / oṃ vajrāhāre hūṃ / iti saṃpūjya	vajra-ganDe hUm / om vajrAloke hUm / om vajra-AhAre hUm / iti saMpUjya
   saṃstutya mantrajāpam kuryāt / oṃ sarvatathāgatapūjāmeghaprasarasamūhe hūṃ	saMstutya mantra-jApam kuryAt / om sarva-taTAgata-pUjA-meGa-prasara-samUhe hUm
   / pūjādhiṣṭhānamantraḥ // oṃ āṃ tāṃ suṃ bhṛṃ haṃ phaṭ svāhā // oṃ	/ pUjA-aDizWAna-mantraH // om Am tAm sum BRm ham Paw svAhA // om
   sarvatathāgatasulalitanamitair namāmi bhagavantaṃ jaḥ hūṃ vaṃ hoḥ	sarva-taTAgata-su-lalita-namitEH namAmi Bagavantam jaH hUm vam hoH
   pratīccha kusumāñjalir nātha hoḥ / iti vandanāmantraḥ / oṃ muḥ svāhā iti	pratIcCa kusumAQjaliH nATa hoH / iti vandanA-mantraH / om muH svAhA iti
   visarjanamantraḥ / oṃ kha kha kha hi / gṛhṇa gṛhṇa gṛhṇa ntu sarvabhautikā	visarjana-mantraH / om Ka Ka Ka hi / gRhNa gRhNa gRhNa ntu sarva-BOtikA
   imaṃ baliṃ svāhā / iti balimantraḥ / atha pūjārambhakāle evam uccārya	imam balim svAhA / iti bali-mantraH / aTa pUjA-AramBa-kAle evam uccArya
   cittaṃ śodhanīyaṃ / yat sarvaduścaritebhyo viratiṃ	cittam SoDanIyam / yat sarva-duScariteByaH viratim
   karomi / sarvabuddhabodhisatvaśikṣāṃ śikṣiṣye / yāvat pūjāvidhena	karomi / sarva-budDa-boDisatva-SikzAm Sikzizye / yAvat pUjAviDena
   samanvayāmi / yady evaṃ na kriyate / tadā rāgajaṃ dveṣajaṃ mohajaṃ	samanvayAmi / yadi evam na kriyate / tadA rAga-jam dveza-jam moha-jam
   kuśalamūlaṃ syāt / iha sarva eva satvā rāgadveṣamohāśayāḥ // tathā hi	kuSala-mUlam syAt / iha sarve eva satvAH rAga-dveza-moha-ASayAH // taTA hi
   rāgajakuśalamūlena nandopanandau nāgarājānau	rAgaja-kuSala-mUlena nanda-upanandO nAga-rAjAnO
   dveṣajena rāgeṇa mohajena vaiśravaṇo yakṣo bhūtaḥ /	dveza-jena rAgeNa moha-jena vESravaNaH yakzaH BUtaH /
   ity ato rāgadveṣamohādīn parihṛtya cittaśuddhyā karuṇāyamānacittena	iti atas rAga-dveza-moha-AdIn parihRtya citta-SudDyA karuNAyamAna-cittena
   sarvāṇy eva dānādikuśalamūlāni kartavyāni /	sarvANi eva dAna-Adi-kuSala-mUlAni kartavyAni /
   iti khasarpaṇasādhanaṃ samāptaṃ // śubhaṃkareṇa racitaṃ	iti Ka-sarpaNa-sADanam samAptam // SuBaMkareNa racitam
