   śrīḥ	SrIH
   [ku.2.206] pauruṣeyaviṣaye iyamastu vyavasthā /	[ku.2.206] pOruzeya-vizaye iyam-astu vyavasTA /
   apauruṣeye tu doṣanivṛttyaiva prāmāṇyamiti cenna-	apOruzeye tu doza-nivRttya-eva prAmANyam-iti ced-na-
   guṇanivṛttyāprāmāṇyasyāpi sambhavāt /	guNa-nivRttyA-prAmANyasya-api samBavAt /
   tasyā aprāmāṇyaṃ prati sāmarthyaṃ nopalabdhamiti cet- doṣanivṛtteḥ	tasyAH aprAmANyam prati sAmarTyam na-upalabDam-iti cet doza-nivRtteH
   prāmāṇyaṃ prati kva sāmarthyamupalabdham? "lokavacasī'ti cet- tulyam /	prAmANyam prati kva sAmarTyam-upalabDam? "loka-vacasI-ati cet tulyam /
   tadaprāmāṇye doṣā eva kāraṇam; gumanivṛttistvavarjanīyasiddhasannidhiriti	tad-aprAmANye dozAH eva kAraNam; guma-nivRttiH-tu-avarjanIya-sidDa-sanniDiH-iti
   cet- prāmāṇyaṃ prati guṇeṣvapi tulyametat /	cet prAmANyam prati guNezu-api tulyam-etat /
   guṇānāṃ doṣotsāraṇaprayuktaḥ sannidhiriti cet- doṣāṇāmapi	guNAnAm doza-utsAraNa-prayuktaH sanniDiH-iti cet dozANAm-api
   guṇotsāraṇaprayukta ityastu /	guNa-utsAraNa-prayuktaH iti-astu /
   niḥsvabhāvatvamevamapauruṣeyasya vedasya syāditi cet- ātmānamupālabhasva /	niHsvaBAva-tvam-evam-apOruzeyasya vedasya syAt-iti cet AtmAnam-upAlaBasva /
   tasmāt yathā- dveṣarāgābhāvāvinābhāve 'pi rāgadveṣayo	tasmAt yaTA dveza-rAga-aBAvOvinA-aBAve api rAga-dveza-yo
   (76)ranuvidhānaniyamāt pravṛttinivṛttiprayatnayo rāgadveṣakāraṇakatvam; na	(76)ranu-viDAna-niyamAt pravRtti-nivRtti-prayatnayoH rAga-dveza-kAraNaka-tvam; na
   tu nivṛttiprayatno dveṣahetukaḥ, pravṛttiprayatnastu satyapi rāgānuvidhāne	tu nivRtti-prayatnaH dveza-hetukaH, pravRtti-prayatnaH-tu sati-api rAga-anuviDAne
   dveṣābhāvahetuka iti vibhago yujyate; viśeṣābhāvāt- tathā prakṛte 'pi /	dveza-aBAva-hetukaH iti viBagaH yujyate; viSeza-aBAvAt taTA prakRte api /
   [ku.2.207] tathāpi vedānāmapauruṣeyatve siddhe apetavaktṛdoṣatvādeva	[ku.2.207] taTA-api vedAnAm-apOruzeya-tve sidDe apeta-vaktR-doza-tvAt-eva
   prāmāṇyaṃ setsyati /	prAmANyam setsyati /
   tataḥ siddhe prāmāṇye guṇābhāve 'pi taditi doṣābhāva eva hetuḥ; akāraṇaṃ	tatas sidDe prAmANye guNa-aBAve api tat-iti doza-aBAvaH eva hetuH; akAraNam
   guṇā iti cenna- apetavaktṛguṇatvena satpratipakṣatvaprasaṅgāt /	guNAH iti ced-na apeta-vaktR-guNa-tvena sat-pratipakza-tva-prasaFgAt /
   "svata eva prāmāṇyaniścayaḥ /	"svataH eva prAmANya-niScayaH /
   kiṃ tu śaṅkāmātramanenāpanīyate; doṣanibandhanatvāttasya tadabhāve 'bhāvāt	kim tu SaFkA-mAtram-anena-apanIyate; doza-nibanDana-tvAt-tasya tad-aBAve aBAvAt-
   ato nedamanumānavat (anumānaṃ) satpratisādhanīkartumucitamiti	atas na-idam-anumAna-vat (anumAnaM) sat-pratisADanIkartum-ucitam-iti
   cet-na-guṇanivṛttinibandhanāyāḥśaṅkāyāḥsulabhatvāt /	cet-na-guNa-nivRtti-nibanDanAyAH-SaFkAyAH-sulaBa-tvAt /
   tasyāḥ kevalāyā aprāmāṇyaṃ pratyanaṅgatvānna śaṅketi cet- doṣanivṛtterapi	tasyAH kevalAyAH aprAmANyam pratyanaFga-tvAt-na SaFkA-iti cet doza-nivRtteH-api
   kevalāyāḥ prāmāṇyaṃpratyanaṅgatvānna tayā śaṅkānivṛttiriti tulyamiti /	kevalAyAH prAmANyaMprati-anaFga-tvAt-na tayA SaFkA-nivRttiH-iti tulyam-iti /
   [ku.2.208] evaṃ prāmāṇyaṃ parato jñāyate anabhyāsadaśāyāṃ sāṃśayikatvāt	[ku.2.208] evam prAmANyam paratas jQAyate anaByAsa-daSAyAm sAMSayika-tvAt-
   aprāmāṇyavat /	aprAmANya-vat /
   yadi tu svato jñāyeta, kadācidapi prāmāṇyasaṃśayo na syāt	yadi tu svatas jQAya-ita, kadAcid-api prAmANya-saMSayaH na syAt-
   jñānatvasaṃśayavat; niścite tadanavakāśāt /	jQAna-tva-saMSayavat; niScite tad-anavakASAt /
   nahi sādhakabādhakapramā(sādhakapramā)ṇābhāvamavadhūya samānadharmādi	na-hi sADaka-bADaka-pramA(-sADaka-pramA)Na-aBAvam-avaDUya samAna-Darma-Adi
   darśanādevāsau; tathā sati tadanucchedaprasaṅgāt /	darSanAt-eva-asO; taTA sati tad-anucCeda-prasaFgAt /
   [ku.2.209] atha pramāṇavadapramāṇe 'pi tatpratyayadarśanāt viśeṣādarśanāt	[ku.2.209] aTa pramANa-vat-apramANe api tad-pratyaya-darSanAt viSeza-adarSanAt-
   bhavati śaṅketyabhiprāyaḥ- tat kiṃ pramāṇajñānopalambhe 'pi na	Bavati SaFkA-iti-aBiprAyaH tat kim pramANa-jQAna-upalamBe api na
   tatprāmāṇyamupalabdham, pramāṇajñānameva vā nopalabdham? ādye kathaṃ	tad-prAmANyam-upalabDam, pramANa-jQAnam-eva vA na-upalabDam? Adye kaTam
   svataḥ prāmāṇyagrahaḥ; pratyayapratītāvapi tadapratīteḥ /	svatas prAmANya-grahaH; pratyaya-pratItO=-api tad-apratIteH /
   dvitīye kathaṃ tatra śaṅkā; dharmiṇa evānupalabdheriti /	dvitIye kaTam tatra SaFkA; DarmiNaH eva-anupalabDeH-iti /
   [ku.2.210] yadapi jhaṭiti pracuratarasamarthapravṛttyanyathānupapattyā	[ku.2.210] yat-api Jawiti pracuratara-samarTa-pravRtti-anyaTA-anupapattyA
   svataḥ prāmāṇyamucyate- tadapi nāsti; anyathaivopapatteḥ /	svatas prAmANyam-ucyate tat-api nAsti; anyaTA-eva-upapatteH /
   jhaṭiti pravṛttirhi jhaṭiti tatkāraṇopanipātamantareṇānupapadyamānā	Jawiti pravRttiH-hi Jawiti tad-kAraNa-upanipAtam-antareNa-anupapadyamAnA
   tamākṣipet /	tam-Akzipet /
   pracurapravṛttirapi svakāraṇaprācuryam /	pracura-pravRttiH-api sva-kAraNa-prAcuryam /
   icchā ca pravṛtteḥ kāraṇam /	icCA ca pravRtteH kAraNam /
   tatkāraṇamapīṣṭābhyupāyatājñānam /	tad-kAraNam-api-izwa-aByupAya-tA-jQAnam /
   tadapi tajjātīyatvaliṅgānubhavaprabhavam /	tat-api tad-jAtIya-tva-liFga-anuBava-praBavam /
   so 'pīndriyasannikarṣādijanmā /	saH api-indriya-sannikarza-Adi-janmA /
   na tu prāmāṇyagrahasya kvacidapyupayogaḥ /	na tu prAmANya-grahasya kvacid-api-upayogaH /
   upayoge vā svata eveti kuta etat? tataḥ samarthapravṛttiprācuryamapi	upayoge vA svatas eva-iti kutas etat? tatas samarTa-pravRtti-prAcuryam-api
   prāmāṇyaprācuryāttadgrahaṇaprācuryādvā svatastvaṃ tu tasya kvopayujyate /	prAmANya-prAcuryAt-tad-grahaNa-prAcuryAt-vA svatas-tvam tu tasya kva-upayujyate /
   na hi pipāsūnāṃ jhaṭiti pracurā samarthā ca pravṛttirambhasīti	na hi pipAsUnAm Jawiti pracurA samarTA ca pravRttiH-amBasi-iti
   pipāsopaśamanaśaktistasya pratyakṣā syāt /	pipAsA-upaSamana-SaktiH-tasya pratyakzA syAt /
   [ku.2.211] syādetat- prāmāṇyagrahe sati sarvametadupapadyate /	[ku.2.211] syAt-etat prAmANya-grahe sati sarvam-etat-upapadyate /
   sa ca svato yadi na syāt, na syādeva;	sa ca svatas yadi na syAt, na syAt-eva;
   parataḥpakṣasyānavasthāduḥsthatvāditi- cet- na- tadagrahe	paratas-pakzasya-anavasTA-duHsTa-tvAt-iti cet na tad-agrahe
   'pyarthasandehādapi sarvasyopapatteḥ /	api-arTa-sandehAt-api sarvasya-upapatteH /
   na cānavasthāvapi; prāmāṇyasyāvaśyajñeyatvānabhyupagamāt /	na ca-anavasTO=-api; prAmANyasya-avaSya-jQeya-tva-anaByupagamAt /
   anyathā svataḥpakṣe 'pi sā syāt /	anyaTA svatas-pakze api sA syAt /
   [ku.2.212] liṅgaṃ niścitameva niścāyakam /	[ku.2.212] liFgam niScitam-eva niScAyakam /
   tatastanniścayārthamavaśyaṃ liṅgāntarāpekṣāyāmanavastheti cet-	tatas-tad-niScaya-arTam-avaSyam liFga-antara-apekzAyAm-anavasTA-iti ced--
   tatkimanupapadyamānor'thaḥ aniścita eva svopapādakamākṣipati; yenānavasthā	tat-kim-anupapadyamAnor-aTaH aniScitaH eva sva-upapAdakamAkzipati; yena-anavasTA
   na syāt /	na syAt /
   pratyakṣeṇa tasya niścayāttasya ca sattayaiva niścāyakatvānnaivamiti cet-	pratyakzeNa tasya niScayAt-tasya ca sat-tayA-eva niScAyaka-tvAt-na-evam-iti ced--
   mamāpi pratyakṣeṇa liṅganiścayāt tasya ca sattayaiva	mama-api pratyakzeNa liFga-niScayAt tasya ca sat-tayA-eva
   niścāyakatvānnaivamiti tulyam /	niScAyaka-tvAt-na-evam-iti tulyam /
   [ku.2.213] liṅgajñānasya prāmāṇyāniścaye kathaṃ	[ku.2.213] liFga-jQAnasya prAmANya-aniScaye kaTam
   tanniśca(liṅganirṇa)yaḥsyāditi cet- anupapadyamānārthajñānaprāmāṇyāniścaye	tad-niSca(liFga-nirNa)yaH-syAt-iti cet anupapadyamAna-arTa-jQAna-prAmANya-aniScaye
   kathaṃ tanniścaya iti tulyam /	kaTam tat-niScayaH iti tulyam /
   na hi niścayena svaprāmāṇyaniścayena vā viṣayaṃ niścāyayati pratyakṣam;	na hi niScayena sva-prAmANya-niScayena vA vizayam niScAyayati pratyakzam;
   api tu svasattayetyuktamiti cet- tulyam /	api tu sva-sattayA-iti-uktam-iti cet tulyam /
   [ku.2.214] tathāpi yadi tat liṅgābhāsaḥ syāt, tadā kā vārteti cet-	[ku.2.214] taTA-api yadi tat liFga-ABAsaH syAt, tadA kA vArtA-iti ced--
   anupapadyamāno 'pyartho yadyābhāsaḥ syāt, tadā kā vārteti tulyam /	anupapadyamAnaH api-arTaH yadi-ABAsaH syAt, tadA kA vArtA-iti tulyam /
   so 'pi prāmāṇyamākṣipatītyutsargaḥ /	saH api prAmANyam-Akzipati-iti-utsargaH /
   sa ca kvacidvādhakenāpodyata iti cet- liṅge 'pyevamiti tulyam /	sa ca kvacid-vADakena-apodyate iti cet liFge api-evam-iti tulyam /
   tarhi prāmāṇyānumāne'pi śaṅkā tadavasthaiveti niṣphalaḥ prayāsa iti cet-	tarhi prAmANya-anumAne-api SaFkA tad-avasTA-eva-iti nizPalaH prayAsaH iti ced--
   etadapi tādṛgeva /	etat-api tAdRS-eva /
   anupapadyamānor'tha evāsau tathāvidhaḥ kaścit yaḥ svapne 'pi nābhāsaḥ syāt	anupapadyamAnor-aTa eva-asO taTAviDaH kaScid yaH svapne api na-ABAsaH syAt-
   tato nā'śaṅketi cet- liṅge 'pyevamiti samaḥ samādhiḥ /	tatas nA-aSaFkA-iti cet liFge api-evam-iti samaH samADiH /
   [ku.2.215] kaḥ punarasāvarthaḥ, yaḥ svapne 'pi nābhāsaḥ syāt?	[ku.2.215] kaH punar-asO=-arTaH, yaH svapne api na-ABAsaH syAt-?
   yadanupalambhe vibhramāvakāśaḥ, (77)yādṛgupalambhe ca tadbādhavyavasthā /	yad-anupalamBe viBrama-avakASaH, (77)yAdRS-upalamBe ca tad-bADa-vyavasTA /
   anyathā hi tathābhūtasyāpi vyabhicāre sāpi na syāt /	anyaTA hi taTABUtasya-api vyaBicAre sA-api na syAt /
   mā bhūditi cenna- bhavitavyaṃ hi tattvātatvavibhāgena	mA BUt-iti ced-na Bavitavyam hi tattvAta-tva-viBAgena
   (tattvātattvavyavasthā) anyathā vyāghātāt /	(tattva-atattva-vyavasTA) anyaTA vyAGAtAt /
   kathaṃ hi niyāmakaniḥśeṣaviśeṣopalambhe 'pi viparītāropaḥ? tathābhāve vā	kaTam hi niyAmaka-niHSeza-viSeza-upalamBe api viparIta-AropaH? taTA-aBAve vA
   tadatiriktaviśeṣānupalambhe kathaṃ bādhakam? tadabhāve tvabādhasya kathaṃ	tad-atirikta-viSeza-anupalamBe kaTam bADakam? tad-aBAve tu-abADasya kaTam
   bhrāntatvamiti /	BrAnta-tvam-iti /
   [ku.2.216] syādetat- parataḥprāmāṇye 'pi nityatvādvedānāmanapekṣatvam;	[ku.2.216] syAt-etat paratas-prAmANye api nitya-tvAt-vedAnAm-anapekza-tvam;
   mahājanaparigrahācca prāmāṇyamiti ko virodhaḥ? na; ubhayasyāpyasiddheḥ /	mahA-jana-parigrahAt-ca prAmANyam-iti kaH viroDaH? na; uBayasya-api-asidDeH /
   [ku.2.217] na hi varṇā eva tāvānnityaḥ /	[ku.2.217] na hi varNAH eva tAvAn-nityaH /
   tathā hi- "idānīṃ śrutapūrvo gakāro nāsti" (stīti) "nivṛttaḥ kolāhala" iti	taTA hi "idAnIm Sruta-pUrvaH gakAraH na-asti" (sti-iti) "nivRttaH kolAhala" iti
   pratyakṣeṇaiva śabdadhvaṃsaḥ pratīyate /	pratyakzeNa-eva Sabda-DvaMsaH pratIyate /
   na hi śabda evānyatra gataḥ; amūrtatvāt /	na hi SabdaH eva-anyatra gataH; amUrta-tvAt /
   nāpyāvṛtaḥ; tata eva sambandhavicchedānupapatteḥ /	na-api-AvRtaH; tatas eva sambanDa-vicCeda-anupapatteH /
   nāpyanavahitaḥ śrotā; avadhāne 'pyanupalabdheḥ /	na-api-anavahitaH SrotA; avaDAne api-anupalabDeH /
   nāpīndriyaṃ duṣṭam; śabdāntaropalabdheḥ /	na-api-indriyam duzwam; Sabda-antara-upalabDeH /
   nāpisahakāryantarābhāvaḥ; anvayavyatirekavataḥ(kataḥ) tasyāsiddheḥ /	na-api-saha-kArI-antara-aBAvaH; anvaya-vyatirekavataH(-kataH) tasya-asidDeH /
   (78) nāpyatīndriyam; tatkalpanāyāṃ pramāṇābhāvāt /	(78) na-api-atIndriyam; tad-kalpanAyAm pramANa-aBAvAt /
   anyathā ghaṭādāvapi tatkalpanāprasaṅgāt /	anyaTA Gawa-AdO=-api tad-kalpanA-prasaFgAt /
   na ca śabda(sya) nityatvasiddhau tatkalpaneti yuktam; nirākariṣyamāṇatvāt	na ca Sabda(sya) nitya-tva-sidDO tad-kalpanA-iti yuktam; nirAkarizyamANa-tvAt-
   [ku.2.218] yattvekadeśino naivamicchanti tān pratyucyate- vivādādhyāsitaḥ	[ku.2.218] yat-tu-eka-deSinaH na-evam-icCanti tAn pratyucyate vivAda-aDyAsitaH
   śabdapradhvaṃsa indriyagrāhyaḥ aindriyikābhāvatvāt ghaṭābhāvavat /	Sabda-praDvaMsaH indriya-grAhyaH EndriyikA-BAva-tvAt Gawa-aBAva-vat /
   naitadevam; indriyāsannikṛṣṭatvādatīndriyādhāratvādveti cenna- idaṃ	na-etat-evam; indriya-AsannikRzwa-tvAt-atIndriya-ADAra-tvAt-vA-iti ced-na idam
   hyupādhyudbhāvanaṃ vā syāt, vyāpakānupalabdhyā satpratipakṣatvaṃ vā /	hi-upADi-udBAvanam vA syAt, vyApaka-an-upalabDyA sat-pratipakza-tvam vA /
   na prathamaḥ; svarūpayogyatāṃ prati (gyatāyāṃ)sahakāriyogyatāyā	na praTamaH; sva-rUpa-yogya-tAm prati (gyatAyAM)sahakAri-yogya-tAyA
   anupādhitvāt /	anupADi-tvAt /
   tasyāstāmapekṣyaiva sarvadā vyavasthiteḥ /	tasyAH-tAm-apekzya-eva sarvadA vyavasTiteH /
   nāpyaindriyikādhāratvaprayuktamabhāvasya pratyakṣatvam;	na-api-EndriyikA-DAra-tva-prayuktam-aBAvasya pratyakza-tvam;
   dharmādyabhāvasyāpi tathātvaprasaṅgāt /	Darma-Adi-aBAvasya-api taTA-tva-prasaFgAt /
   ata eva nobhayaprayuktam /	atas eva na-uBaya-prayuktam /
   [ku.2.219] nāpi dvitīyaḥ; prathamasyāsiddheḥ /	[ku.2.219] na-api dvitIyaH; praTamasya-asidDeH /
   asti hi śrotraśabdābhāvayoḥ svābhāviko viśeṣaṇaviśeṣyabhāvaḥ /	asti hi Srotra-Sabda-aBAvayoH svABAvikaH viSezaNa-viSezya-BAvaH /
   viśeṣyasyātīndriyatvātkathamaindriyikaviśiṣṭajñānaviṣayatvam? tathā	viSezyasya-atIndriya-tvAt-kaTam-Endriyika-viSizwa-jQAna-vizaya-tvam? taTA
   viśeṣyamavyavasthāpayataśca kathaṃ viśeṣaṇatvamiti cet- na; tathā	viSezyam-avyavasTApayataH-ca kaTam viSezaNa-tvam-iti cet na; taTA
   viśeṣyavyavasthāpanāyāḥ phalatvāt /	viSezya-vyavasTApanAyAH Pala-tvAt /
   na tu tadeva viśeṣaṇatvam; ātmāśrayaprasaṅgāt- viśeṣaṇabhāvena	na tu tat-eva viSezaNa-tvam; Atma-ASraya-prasaFgAt viSezaNa-BAvena
   samavāyābhāvayorgrahaṇam, tathā grahaṇameva ca viśeṣaṇatvamiti /	samavAya-aBAvayoH-grahaNam, taTA grahaNam-eva ca viSezaNa-tvam-iti /
   tasmāt sambandhāntaramantareṇa tadupaśliṣṭasvabhāvatvameva hi tayoḥ /	tasmAt sambanDa-antaram-antareNa tad-upaSlizwa-svaBAva-tvam-eva hi tayoH /
   saiva ca viśiṣṭapratyayajananayogyatā viśeṣaṇatetyucyate /	sA-eva ca viSizwa-pratyaya-janana-yogya-tA viSezaNa-tA-iti-ucyate /
   sā cātra durnivārā /	sA ca-atra durnivArAH /
   pratiyogyadhikaraṇena svabhāvata evābhāvasya	pratiyogi-aDikaraNena svaBAvataH eva-aBAvasya
   militatvāt /	milita-tvAt /
   [ku.2.220] tathāpi tayā tathaiva pratītiḥ kartavyeti cenna-	[ku.2.220] taTA-api tayA taTA-eva pratItiH kartavyA-iti ced-na-
   gṛhyamāṇaviśeṣyatvāva(ṣyāva)cchinnatvādvyāpteḥ /	gRhyamANa-viSezya-tvO=-a(zya-ava)cCinna-tvAt-vyApteH /
   anyathā saṃyuktasamavāyena rūpādau viśiṣṭavikalpadhījananadarśanāt	anyaTA saMyukta-samavAyena rUpa-AdO viSizwa-vikalpa-DI-janana-darSanAt-
   gandhādāvapi tathātvaprasaṅgāt /	ganDa-AdO=-api taTA-tva-prasaFgAt /
   [ku.2.221] tathāpi nendriyaviśeṣaṇatayā kasyacit grahaṇaṃ dṛṣṭam; api	[ku.2.221] taTA-api na-indriya-viSezaNa-tayA kasyacid grahaNam dRzwam; api
   tvindriyasambaddhaviśeṣaṇatayā; sā cāto nivartata iti cenna- asya	tu-indriya-sambadDa-viSezaNa-tayA; sA ca-atas nivartate iti ced-na asya
   pratibandhasyendriyasannikṛṣṭārthapratisambandhiviṣayatvāt /	pratibanDasya-indriya-sannikRzwa-arTa-pratisambanDi-vizaya-tvAt /
   anyathā saṃyuktasamavāyena gandhādāvupalabdhidarśanāt	anyaTA saMyukta-samavAyena ganDa-AdO=-upalabDi-darSanAt
   samavāyenādarśanācchabdasyāgrahaṇaprasaṅgāt /	samavAyena-adarSanAt-Sabdasya-agrahaNa-prasaFgAt /
   [ku.2.222] nāpyabhāvatve sati atīndriyādhāratvātsatpratipakṣatvam;	[ku.2.222] na-api-aBAva-tve sati atIndriya-ADAra-tvAt-sat-pratipakza-tvam;
   yogyatāvirahaprayuktatvādvyāpteḥ /	yogya-tA-viraha-prayukta-tvAt-vyApteH /
   na cātīndriyādhāratvameva tasya yogyatāvirahaḥ; tadviparyayasyaiva	na ca-atIndriya-ADAra-tvam-eva tasya yogya-tA-virahaH; tad-viparyayasya-eva
   yogyatātvāpatteḥ /	yogyatAtva-ApatteH /
   na caivameva; dharmādipradhvaṃsagrahaṇaprasaṅgāt /	na ca-evam-eva; Darma-Adi-praDvaMsa-grahaNa-prasaFgAt /
   dṛśyādhāratvaṃ dṛśyapratiyogitāceti dvayamapyasya yogyateti cenna-	dRSya-ADAra-tvam dRSya-pratiyogitAcA-iti dvayam-api-asya yogyatA-iti ced-na-
   ubhayanirūpaṇīyatvaniyamānabhyupagamāt /	uBaya-nirUpaNIya-tva-niyama-anaByupagamAt /
   pratiyogimātranirūpaṇīyo hyabhāvaḥ /	pratiyogi-mAtra-nirUpaNIyaH hi-aBAvaH /
   [ku.2.223] anyathā "iha bhūtale ghaṭo nāstī'tyeṣāpi pratītiḥ pratyakṣā na	[ku.2.223] anyaTA "iha BU-tale GawaH na-astI-ati-ezA-api pratItiH pratyakzAH na
   syāt /	syAt /
   saṃyogo hyatra niṣidhyate /	saMyogaH hi-atra niziDyate /
   tadabhāvaśca bhūtalavad ghaṭe 'pi vartate /	tad-aBAvaH-ca BU-tala-vat Gawe api vartate /
   tatra yadi pratyakṣatayā bhūtalasyopayogaḥ, ghaṭasyāpi tathaiva syāt /	tatra yadi pratyakza-tayA BU-talasya-upayogaH, Gawasya-api taTA-eva syAt /
   aviśeṣāt /	aviSezAt /
   atha ghaṭasyānyathopayogaḥ; bhūtalasyāpyanyathaiva syāt, aviśeṣāt /	aTa Gawasya-anyaTA-upayogaH; BU-talasya-api-anyaTA-eva syAt, aviSezAt /
   kathamanyatheti cet- pratiyoginirūpaṇārthamabhāvasannikarṣārthaṃ ca /	kaTam-anyaTA-iti cet pratiyogi-nirUpaNa-arTam-aBAva-sannikarza-arTam ca /
   tatra pratiyoginirūpaṇaṃ smaraṇalakṣaṇamanupalabhyamānenāpīti, na	tatra pratiyoginirUpaNam smaraNa-lakzaNam-anupalaByamAnena-api-iti, na
   tadarthamadhyakṣagocaratvamapekṣaṇīyamanyatarasyāpi; kuta ubhayasya /	tad-arTam-aDyakza-gocara-tvam-apekzaNIyam-anyatarasya-api; kutas uBayasya /
   sannikarṣastu bhūtalaghaṭasaṃyogābhāvasyendriyeṇa sākṣānnāsti /	sannikarzaH-tu BU-tala-Gawa-saMyoga-aBAvasya-indriyeNa sAkzAt-na-asti /
   yenāsti, tenāpi yadīndriyaṃ na sannikṛṣyeta, kathamiva taṃ gamayet /	yena-Asti, tena-api yadi-indriyam na sannikRzyeta, kaTam-iva tam gamayet /
   na copalabdhopalabhyamānābhyāmevendriyaṃ sannikṛṣyate;	na ca-upalabDa-upalaByamAnAByAm-eva-indriyam sannikRzyate;
   itaretarāśrayaprasaṅgāt /	itaretara-ASraya-prasaFgAt /
   [ku.2.224] tasmāt sannikarṣe sati yogyatvāt bhūtalamapyupalabhyate; na tu	[ku.2.224] tasmAt sannikarze sati yogya-tvAt BU-talam-api-upalaByate; na tu
   tasyopalabhyamānatvamabhāvopalabdheraṅgamiti yuktamutpaśyāmaḥ /	tasya-upalaByamAna-tvam-aBAva-upalabDeH-aFgam-iti yuktam-utpaSyAmaH /
   prakṛte tu na pratiyoginirūpaṇārthaṃ tadupayogaḥ tasya saṃyogavat	prakRte tu na pratiyogi-nirUpaNa-arTam tad-upayogaH tasya saMyoga-vat-
   ādhārānirūpyatvāt /	ADArA-nirUpya-tvAt /
