   acidaṃśavyapohena Svs_133a	acit-aMSa-vyapohena Svs_133a
   ādau pratītisubhago Svs_202a	AdO pratIti-suBagaH Svs_202a
   ādyantavān prapañco 'taḥ Svs_99a	Adi-antavAn prapaQcaH atas Svs_99a
   ādye tattatpadāmnāna- Svs_345a	Adye tad-tad-padAmnAna Svs_345a
   ānandasatyajñānādi- Svs_401a	Ananda-satya-jQAna-Adi Svs_401a
   ānandasvaprakāśatva- Svs_341a	Ananda-sva-prakASa-tva Svs_341a
   āśrayapratiyogitve Svs_243a	ASraya-pratiyogi-tve Svs_243a
   āśrayāsaṅkaras tatra Svs_330a	ASraya-asaFkaraH tatra Svs_330a
   āsaṃsārasamucchedaṃ Svs_314a	AsaMsAra-samucCedam Svs_314a
   iti tattulyanṛpati- Svs_39a	iti tad-tulya-nRpati Svs_39a
   iti pramīyate brāhmī Svs_67a	iti pramIyate brAhmI Svs_67a
   iti brahmavido viduḥ Svs_183b	iti brahma-vidaH viduH Svs_183b
   iti bruvañ jagat sarvam Svs_52a	iti bruvan jagat sarvam Svs_52a
   iti yat prāgudīritam Svs_411b	iti yat prAc-udIritam Svs_411b
   iti yāvat svasākṣikam Svs_366b	iti yAvat sva-sAkzikam Svs_366b
   iti vṛddhāḥ pracakṣate Svs_418b	iti vRdDAH pracakzate Svs_418b
   iti saṃvidvivartatvaṃ Svs_422a	iti saMvid-vivarta-tvam Svs_422a
   iti sākṣāc cakāsti naḥ Svs_147b	iti sAkzAt cakAsti naH Svs_147b
   iti suvyāhṛtaṃ vacaḥ Svs_213b	iti su-vyAhRtam vacaH Svs_213b
   itthambhāve nyaveśayat Svs_52b	itTam-BAve nyaveSayat Svs_52b
   ity akāṇḍe 'nuyujyate Svs_199b	iti akANxe anuyujyate Svs_199b
   ity ato nedam uttaram Svs_251b	iti atas na-idam uttaram Svs_251b
   ity anyonyaviruddhokti- Svs_275a	iti anyonya-virudDa-ukti Svs_275a
   ityādikāḥ samastasya Svs_57a	iti-AdikAH samastasya Svs_57a
   ityādivedavacana- Svs_65a	iti-Adi-veda-vacana Svs_65a
   ityādiśrutayaḥ parāḥ Svs_55b	iti-Adi-SrutayaH parAH Svs_55b
   ity uktyā na hi sāvitrā Svs_48a	iti uktyA na hi sAvitrA Svs_48a
   idam ākhyāhi bhoḥ kiṃ nu Svs_200a	idam AKyAhi BoH kim nu Svs_200a
   idānīm idam atrāsti Svs_91a	idAnIm idam atra-asti Svs_91a
   idānīṃ nopajāyate Svs_308b	idAnIm na-upajAyate Svs_308b
   iha kiṃ tad yad utpattum Svs_303a	iha kim tat yat utpattum Svs_303a
   īdṛśe 'rthe na tu pramā Svs_383b	IdRSe arTe na tu pramA Svs_383b
   uktau pratyakṣabādhanāt Svs_160b	uktO pratyakza-bADanAt Svs_160b
   uttarasminn api tathā Svs_128a	uttarasmin api taTA Svs_128a
   utpattimaty anityeti Svs_300a	utpattimatI anityA-iti Svs_300a
   utpattiṃ na prapadyate Svs_304b	utpattim na prapadyate Svs_304b
   utpale nīladhīr hi sā Svs_146b	utpale nIla-DIH hi sA Svs_146b
   upakrāntaṃ svahetutaḥ Svs_303b	upakrAntam sva-hetutaH Svs_303b
   ṛte viṣayanānātvān Svs_170a	Rte vizaya-nAnA-tvAn Svs_170a
   ekapradhānavijñānād Svs_64a	eka-praDAna-vijQAnAt Svs_64a
   ekam evādvitīyaṃ tad Svs_1a	ekam eva-advitIyam tat Svs_1a
   ekaśeṣe hi ciddhātoḥ Svs_156a	eka-Seze hi cit-DAtoH Svs_156a
   ekasminn api dharmiṇi Svs_116b	ekasmin api DarmiNi Svs_116b
   ekākārā na hi tathā Svs_368a	eka-AkArA na hi taTA Svs_368a
   etāvān asya mahimā Svs_53a	etAvAn asya mahimA Svs_53a
   etena satyakāmatva- Svs_122a	etena satyakAma-tva Svs_122a
   evaṃ vyavasthitāneka- Svs_381a	evam vyavasTitAn-eka Svs_381a
   aikārthyaṃ dūravāritam Svs_110b	EkArTyam dUra-vAritam Svs_110b
   aikyāyogāc ca bhedo na Svs_375a	Ekya-ayogAt ca BedaH na Svs_375a
   katham aikārthyavibhramaḥ Svs_330b	kaTam EkArTya-viBramaH Svs_330b
   kathaṃ tad bambhramīti te Svs_231b	kaTam tat bamBrami-iti te Svs_231b
   kathaṃ pratyucyate tvayā Svs_272b	kaTam pratyucyate tvayA Svs_272b
   kathaṃ pravartayeyus tāṃ Svs_334a	kaTam pravartayeyuH tAm Svs_334a
   kathaṃ vaikarasaṃ brahma Svs_244a	kaTam vA-eka-rasam brahma Svs_244a
   kathaṃ sā pratibadhyate Svs_307b	kaTam sA pratibaDyate Svs_307b
   kalatrādiniṣedhakam Svs_40b	kalatra-Adi-nizeDakam Svs_40b
   kalāmātram idaṃ jagat Svs_36b	kalA-mAtram idam jagat Svs_36b
   kalpitasvasvadṛśyakaiḥ Svs_331b	kalpita-sva-sva-dRSyakEH Svs_331b
   kalpito madavidyayā Svs_267b	kalpitaH mada-vidyayA Svs_267b
   kalpyatāṃ kāryabhūtayā Svs_372b	kalpyatAm kArya-BUtayA Svs_372b
   kasya mokṣaḥ phalaṃ bhavet Svs_156b	kasya mokzaH Palam Bavet Svs_156b
   kaḥ khalv aṅgulibhaṅgena Svs_45a	kaH Kalu aFguli-BaFgena Svs_45a
   kā nu saṃvid vivartate Svs_157b	kA nu saMvid vivartate Svs_157b
   kārpaṇyaśokaduḥkhārtaś Svs_106a	kArpaNya-Soka-duHKa-ArtaH Svs_106a
   kāryaṃ na jāyate yena Svs_302a	kAryam na jAyate yena Svs_302a
   kiṃca tatra bahuvrīhau Svs_26a	kiMca tatra bahuvrIhO Svs_26a
   kiṃca prapañcanirvāha- Svs_260a	kiMca prapaQca-nirvAha Svs_260a
   kiṃca prapañcarūpeṇa Svs_157a	kiMca prapaQca-rUpeNa Svs_157a
   kiṃca bhedaprapañcasya Svs_388a	kiMca Beda-prapaQcasya Svs_388a
   kiṃca vidyā na ced (vastu Svs_252a	kiMca vidyA na ced (vastu Svs_252a
   kiṃca vedyasya bhedāder Svs_180a	kiMca vedyasya Beda-AdeH Svs_180a
   kiṃca śuddhājaḍā saṃvid Svs_216a	kiMca SudDa-ajaxA saMvid Svs_216a
   kiṃca sā tat tvam asyādi- Svs_299a	kiMca sA tat tvam asya-Adi Svs_299a
   kiṃca svayamprakāśatva- Svs_335a	kiMca svayam-prakASa-tva Svs_335a
   kiṃca svayamprakāśasya Svs_175a	kiMca svayam-prakASasya Svs_175a
   kiṃ ca hetur viruddho 'yaṃ Svs_429a	kim ca hetuH virudDaH ayam Svs_429a
   kiṃ cāpohyajaḍatvādi- Svs_359a	kim ca-apohya-jaxa-tva-Adi Svs_359a
   kiṃcāsau kasya jīvasya Svs_227a	kiMca-asO kasya jIvasya Svs_227a
   kiṃcāsyāḥ svaprakāśāyā Svs_169a	kiMca-asyAH sva-prakASAyAH Svs_169a
   kiṃceyaṃ tadviruddhā vā Svs_223a	kiMca-iyam tad-virudDAH vA Svs_223a
   kiṃcaiko jīva ity etad Svs_310a	kiMca-ekaH jIvaH iti etat Svs_310a
   kiṃ saivoktāthavetarat Svs_167b	kim sA-eva-uktA-aTa-vA-itarat Svs_167b
   kiṃsvit tatpuruṣaḥ kiṃ vā Svs_4a	kiMsvid tatpuruzaH kim vA Svs_4a
   kutaḥ kutastarāṃ tasya Svs_174a	kutas kutastarAm tasya Svs_174a
   kuto mukhyārthasambhavaḥ Svs_105b	kutas muKya-arTa-samBavaH Svs_105b
   kuto 'vasīyate kiṃ nu Svs_364a	kutas avasIyate kim nu Svs_364a
   kurute 'sya bhayaṃ vyaktam Svs_55a	kurute asya Bayam vyaktam Svs_55a
   kḷptaṃ cendriyaliṅgādi Svs_373a	k?ptam ca-indriya-liFga-Adi Svs_373a
   kevalaṃ kaṇṭhaśoṣaṇam Svs_145b	kevalam kaNWa-SozaNam Svs_145b
   kevalaṃ bhramalakṣaṇaḥ Svs_172b	kevalam Brama-lakzaNaH Svs_172b
   ko jīvo yasya seti cet Svs_227b	kaH jIvaH yasya sA-iti ced Svs_227b
   kleśakarmavipākādyair Svs_42a	kleSa-karma-vipAka-AdyEH Svs_42a
   kṣīre madhuradhīr yādṛṅ Svs_369a	kzIre maDura-DIH yAdRS Svs_369a
   kṣudrabrahmavidām etan Svs_125a	kzudra-brahma-vidAm etat Svs_125a
   gaṇayan gaṇayed ūrmi- Svs_46a	gaNayan gaNayet Urmi Svs_46a
   guṇe tattvampadaśrutyor Svs_110a	guNe tattvampada-SrutyoH Svs_110a
   guruśiṣyādibhedaś ca Svs_197a	guru-Sizya-Adi-BedaH ca Svs_197a
   ghaṭadhīḥ paṭasaṃvitti- Svs_164a	Gawa-DIH pawa-saMvitti Svs_164a
   ghaṭavatsadasattvābhyām Svs_400a	Gawa-vat-sat-asattvAByAm Svs_400a
   ghaṭavyāvṛttasaṃvittir Svs_166a	Gawa-vyAvRtta-saMvittiH Svs_166a
   ghaṭasvarūpe nāstitvam Svs_89a	Gawa-svarUpe nAstitvam Svs_89a
   ghaṭādayo hi bhidyante Svs_163a	Gawa-AdayaH hi Bidyante Svs_163a
   ghaṭādivedyabhedo 'pi Svs_172a	Gawa-Adi-vedya-BedaH api Svs_172a
   ghaṭād ṛte 'pi nirbhātaḥ Svs_439a	GawAt Rte api nirBAtaH Svs_439a
   ghaṭāder iti manvānā Svs_86a	Gawa-AdeH iti manvAnA Svs_86a
   cito na parato 'pi ca Svs_179b	citaH na paratas api ca Svs_179b
   citsvarūpaṃ hi nirbhedaṃ Svs_129a	cit-svarUpam hi nirBedam Svs_129a
   citsvarūpe viśiṣṭe vā Svs_126a	cit-svarUpe viSizwe vA Svs_126a
   cidekapariśeṣatā Svs_133b	cit-eka-pariSeza-tA Svs_133b
   cidekavyaktiniṣṭhatā Svs_114b	cit-eka-vyakti-nizWatA Svs_114b
   cirātivṛttāḥ prāgjanma- Svs_328a	cira-ativRttAH prAc-janma Svs_328a
   cetanas tvampadoditaḥ Svs_106b	cetanaH tu-ampada-uditaH Svs_106b
   chāstraṃ nirviṣayaṃ bhavet Svs_121b	CAstram nirvizayam Bavet Svs_121b
   jagajjanmādikāraṇam Svs_346b	jagat-janma-Adi-kAraNam Svs_346b
   jagatkāraṇatādayaḥ Svs_122b	jagat-kAraNa-tA-AdayaH Svs_122b
   jagat sthāvarajaṅgamam Svs_58b	jagat sTAvara-jaFgamam Svs_58b
   jaḍādyātmakatetare Svs_356b	jaxa-Adi-Atmaka-tA-itare Svs_356b
   jananī yeyam āśritā Svs_260b	jananI yA-iyam ASritA Svs_260b
   janmanety atidurghaṭam Svs_98b	janmanA-iti ati-durGawam Svs_98b
   janyayogāt khapuṣpavat Svs_102b	janya-yogAt Ka-puzpa-vat Svs_102b
   jāṭuṣābharaṇāyate Svs_208b	jAwuzA-ABaraNAyate Svs_208b
   jāḍyaduḥkhādyapohena Svs_353a	jAxya-duHKa-Adi-apohena Svs_353a
   jāyamānā ghaṭādiṣu Svs_405b	jAyamAnA Gawa-Adizu Svs_405b
   jīvatvādi mṛṣā hi te Svs_311b	jIvatu-Adi mRzA hi te Svs_311b
   jīvebhyo na pṛthak katham Svs_320b	jIveByaH na pRTak kaTam Svs_320b
   jīvair anekair apy eṣā Svs_332a	jIvEH anekEH api ezA Svs_332a
   jīvotpatter ayogataḥ Svs_230b	jIva-utpatteH ayogataH Svs_230b
   jainās tu pratijānate Svs_79b	jEnAH tu pratijAnate Svs_79b
   jñānādiṣāḍguṇyanidher Svs_43a	jQAna-Adi-zAxguNya-niDeH Svs_43a
   jñānānandādiśabdānāṃ Svs_354a	jQAna-Ananda-Adi-SabdAnAm Svs_354a
   ta eva brahmasaṃjñinaḥ Svs_344b	te eva brahma-saMjQinaH Svs_344b
   tac chaktyāpyāyanād ṛte Svs_63b	tat Sakti-ApyAyanAt Rte Svs_63b
   taṭasthāvasthitā dharmāḥ Svs_131a	tawasTa-avasTitAH DarmAH Svs_131a
   tata evāmṛṣā kasmān Svs_235a	tatas eva-amRzA kasmAn Svs_235a
   tataś ca badhirāndhādeḥ Svs_196a	tatas ca baDira-anDa-AdeH Svs_196a
   tataḥ sarvaṃ sadā bhāyān Svs_191a	tatas sarvam sadA BAyAn Svs_191a
   tato jyāyastaro hi saḥ Svs_53b	tatas jyAyastaraH hi saH Svs_53b
   tato 'nyat tadviruddhaṃ vā Svs_16a	tatas anyat tad-virudDam vA Svs_16a
   tato 'nyat sadṛśaṃ tu vā Svs_6b	tatas anyat sadRSam tu vA Svs_6b
   tat kena hetunā seyam Svs_217a	tat kena hetunA sA-iyam Svs_217a
   tattatpadārthasaṃsthāna- Svs_406a	tad-tad-padArTa-saMsTAna Svs_406a
   tattatsvātmavad anye 'pi Svs_318a	tad-tad-svAtma-vat anye api Svs_318a
   tat tvam ity api yac chrutam Svs_104b	tat tvam iti api yat Srutam Svs_104b
   tattvampadadvayaṃ jīva- Svs_136a	tat-tvampada-dvayam jIva Svs_136a
   tattvāvedakavedānta- Svs_340a	tattva-Avedaka-vedAnta Svs_340a
   tatpadārthas tayor aikyaṃ Svs_108a	tad-padArTaH tayoH Ekyam Svs_108a
   tatrādvaitakathā katham Svs_409b	tatra-advEta-kaTA kaTam Svs_409b
   tatrāpidaṃ vivicyatām Svs_342b	tatra-Api-dam vivicyatAm Svs_342b
   tatsamūho 'thavā brahma Svs_350a	tad-samUhaH aTavA brahma Svs_350a
   tat sarvasya tathā bhavet Svs_404b	tat sarvasya taTA Bavet Svs_404b
   tatsvābhāvikatāśruteḥ Svs_233b	tad-svABAvika-tA-SruteH Svs_233b
   tathātve ca ghaṭādibhyo Svs_358a	taTA-tve ca Gawa-AdiByaH Svs_358a
   tathā sarvatra te bhavet Svs_326b	taTA sarvatra te Bavet Svs_326b
   tathā surāsuranara- Svs_41a	taTA sura-asura-nara Svs_41a
   tathā syād brahmadhīr api Svs_69b	taTA syAt brahma-DIH api Svs_69b
   tathā hi yady avidyeyaṃ Svs_209a	taTA hi yadi avidyA-iyam Svs_209a
   tathā hīdam ahaṃ vedmīty Svs_425a	taTA hi-idam aham vedmi-iti Svs_425a
   tathā hīha ghaṭo 'stīti Svs_394a	taTA hi-iha GawaH asti-iti Svs_394a
   tathaiko naika eva vā Svs_262b	taTA-ekaH na-ekaH eva vA Svs_262b
   tathaiva nityamuktātma- Svs_291a	taTA-eva nitya-mukta-Atma Svs_291a
   tathaiva bhavato 'pīti Svs_278a	taTA-eva BavataH api-iti Svs_278a
   (tadarthasthe vibhedake) Svs_109b	(tad-arTa-sTe viBedake) Svs_109b
   tad avidyāvilāso 'yam Svs_183a	tat avidyA-vilAsaH ayam Svs_183a
   tadānīṃ na hi vedyasya Svs_192a	tadAnIm na hi vedyasya Svs_192a
   tadānīṃ saṃvidadvaita- Svs_226a	tadAnIm saMvid-advEta Svs_226a
   tadāśrayaś ca saṃsārī Svs_262a	tad-ASrayaH ca saMsArI Svs_262a
   taditthambhāvatāparāḥ Svs_57b	tad-itTam-BAvatA-parAH Svs_57b
   tad idaṃ śāntikarmādau Svs_285a	tat idam SAnti-karma-AdO Svs_285a
   tadekatvaparigrahāt Svs_195b	tad-eka-tva-parigrahAt Svs_195b
   tadekārthaiḥ padair iva Svs_360b	tad-eka-arTEH padEH iva Svs_360b
   tad etad aparāmṛṣṭa- Svs_436a	tat etat aparAmRzwa Svs_436a
   tad evaṃ vādisaṃmardāt Svs_87a	tat evam vAdi-saMmardAt Svs_87a
   tad brahmeti vivakṣite Svs_17b	tat brahma-iti vivakzite Svs_17b
   tadbhāvānuvidhānataḥ Svs_373b	tad-BAva-anuviDAnataH Svs_373b
   tadbhāvo 'śakyanihnavaḥ Svs_382b	tad-BAvaH aSakya-nihnavaH Svs_382b
   tadrūpāṇāṃ ca bhedataḥ Svs_338b	tad-rUpANAm ca BedataH Svs_338b
   tadvat tādātmyasambandhe Svs_150a	tadvat tAdAtmya-sambanDe Svs_150a
   tadviruddham atho vā syāt Svs_7a	tad-virudDam aTo vA syAt Svs_7a
   tadvyāvṛttipadenāpi Svs_167a	tad-vyAvRtti-padena-api Svs_167a
   tanniṣedhe samastasya Svs_68a	tad-nizeDe samastasya Svs_68a
   tanmātratvāt pade pade Svs_349b	tanmAtra-tvAt pade pade Svs_349b
   tanmātraṃ kiṃ sukhādayaḥ Svs_343b	tanmAtram kim suKa-AdayaH Svs_343b
   tanmātraṃ ghaṭa ity api Svs_396b	tanmAtram GawaH iti api SvH-_396b
   tanmithyātve prapañcasya Svs_390a	tat-miTyA-tve prapaQcasya Svs_390a
   tan mukhyavṛtti tādātmyam Svs_137a	tat muKya-vRtti tAdAtmyam Svs_137a
   tanmūlāptāgamair api Svs_65b	tad-mUla-Apta-AgamEH api Svs_65b
   tam āhuḥ pratibandhakam Svs_302b	tam AhuH pratibanDakam Svs_302b
   tayor anyatarārthasya Svs_78a	tayoH anyatara-arTasya Svs_78a
   taruvṛndavanādivat Svs_350b	taru-vRnda-vana-Adi-vat Svs_350b
   tavādvaitaṃ vihanyate Svs_391b	tava-advEtam vihanyate Svs_391b
   tavāpi na hi saṃvittiḥ Svs_430a	tava-api na hi saMvittiH Svs_430a
   tasmāt prapañcasadbhāvo Svs_31a	tasmAt prapaQca-sadBAvaH Svs_31a
   tasmād avidyayaiveyam Svs_387a	tasmAt avidyayA-eva-iyam Svs_387a
   tasmād astīti saṃvittir Svs_405a	tasmAt asti-iti saMvittiH Svs_405a
   tasyās te bhrāntikalpitaḥ Svs_214b	tasyAH te BrAnti-kalpitaH Svs_214b
   tāttvikaṃ tu pramāṇatvam Svs_241a	tAttvikam tu pramANa-tvam Svs_241a
   tādātmyaṃ brahmajīvayoḥ Svs_153b	tAdAtmyam brahma-jIvayoH Svs_153b
   tṛṇaṃ majjayituṃ jalam Svs_62b	tRNam majjayitum jalam Svs_62b
   tṛtīyaṃ prathamaṃ tu vā Svs_9b	tRtIyam praTamam tu vA Svs_9b
   tṛtīyaṃ prathamaṃ tu vā Svs_22b	tRtIyam praTamam tu vA Svs_22b
   tṛtīyādyartharāśayaḥ Svs_11b	tRtIya-Adi-arTa-rASayaH Svs_11b
   tṛtīyādyā jagattraye Svs_24b	tRtIya-AdyAH jagattraye Svs_24b
   tṛtīye brahma bhidyeta Svs_349a	tRtIye brahma Bidyeta Svs_349a
   tejasīva tamas tasmān Svs_239a	tejasi-iva tamaH tasmAt Svs_239a
   tejastimiravat katham Svs_108b	tejaH-timira-vat kaTam Svs_108b
   tena na kvāpi vākyārtho Svs_352a	tena na kvApi vAkya-arTaH Svs_352a
   tena yauktikam ekatvam Svs_316a	tena yOktikam eka-tvam Svs_316a
   tena saṃvedanaṃ satyaṃ Svs_435a	tena saMvedanam satyam Svs_435a
   tenādvitīyaṃ brahmeti Svs_33a	tena-advitIyam brahma-iti Svs_33a
   tenāpi sādhitaṃ kiṃcit Svs_412a	tena-api sADitam kiMcid Svs_412a
   teṣāṃ muktir abhūd iti Svs_269b	tezAm muktiH aBUt iti Svs_269b
   trayaṃ sākṣāc cakāstīti Svs_426a	trayam sAkzAt cakAsti-iti Svs_426a
   tripād asyāmṛtaṃ divi Svs_51b	tripAd asya-amRtam divi Svs_51b
   triṣv apy anyan na bādhate Svs_7b	trizu api anyat na bADate Svs_7b
   tvadabhyupetā bādheran Svs_336a	tvad-aByupetAH bADeran Svs_336a
   tvadavidyānimittatve Svs_273a	tvad-avidyA-nimitta-tve Svs_273a
   tvamarthasthe taṭasthe vā Svs_109a	tvam-arTa-sTe tawasTe vA Svs_109a
   tvayā kvedaṃ nirīkṣitam Svs_249b	tvayA kva-idam nirIkzitam Svs_249b
   tvayaivaivaṃ samarthitaḥ Svs_402b	tvayA-eva-evam samarTitaH Svs_402b
   duḥkhitvasukhitādike Svs_111b	duHKi-tva-suKita-Adike Svs_111b
   dṛśyatvān māmakasvapna- Svs_268a	dRSya-tvAt mAmaka-svapna Svs_268a
   dṛśyabhedaprapañcavat Svs_268b	dRSya-Beda-prapaQca-vat Svs_268b
   dṛṣṭabhedās tu saṃvidaḥ Svs_414b	dRzwa-BedAH tu saMvidaH Svs_414b
   dṛṣṭāntavacanāni te Svs_282b	dRzwAnta-vacanAni te Svs_282b
   devadatto na hiṃsitaḥ Svs_132b	devadattaH na hiMsitaH Svs_132b
   deśakāladaśādike Svs_119b	deSa-kAla-daSA-Adike Svs_119b
