   // namaḥ sarvajñāya //	// namaH sarvajQAya //
   buddhakṣetrāṇi jihveṃdriyeṇa saṃcchādayitvā nirveṭhanaṃ kurvaṃti /	budDa-kzetrANi jihveMdriyeNa saMcCAdayitvA nirveWanam kurvaMti /
   pratīyatha	pratIyaTa
   yūyam idam aciṃtyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma	yUyam idam aciMtyaguNa-parikIrtanam sarva-budDa-parigraham nAma
   dharmaparyāyaṃ	Darma-paryAyam
   evaṃ paścimāyāṃ diśy amitāyur nāma tathāgato 'mitaskaṃdho nāma	evam paScimAyAm diSi amitAyuH nAma taTAgataH amitaskaMDaH nAma
   tathāgato 'mitadhvajo nāma tathāgato mahāprabho nāma tathāgato	taTAgataH amitaDvajaH nAma taTAgataH mahApraBaH nAma taTAgataH-
   mahāratnaketur nāma tathāgataḥ śuddharaśmiprabho nāma tathāgata	mahAratnaketuH nAma taTAgataH SudDaraSmipraBaH nAma taTAgata
   evaṃpramukhāḥ	evaMpramuKAH
   śāriputra paścimāyāṃ diśi gaṃgānadīvālukopamā buddhā	SAriputra paScimAyAm diSi gaMgA-nadI-vAlukA-upamA budDA
   bhagavaṃtaḥ svakasvakāni buddhakṣetrāṇi jihveṃdriyeṇa saṃcchādayitvā	BagavaMtaH sva-ka-svakAni budDa-kzetrANi jihveMdriyeNa saMcCAdayitvA
   nirveṭhanaṃ kurvaṃti / pratīyatha yūyam idam aciṃtyaguṇaparikīrtanaṃ	nirveWanam kurvaMti / pratIyaTa yUyam idam aciMti-aguNa-parikIrtanam
   sarvabuddhaparigrahaṃ	sarva-budDa-parigraham
   nāma dharmaparyāyaṃ //13//	nAma Darma-paryAyam //13//
   evam uttarāyāṃ diśi mahārciskaṃdho nāma tathāgato vaiśvānaranirghoṣo	evam uttarAyAm diSi mahA-arciskaMDaH nAma taTAgataH vESvAnara-nirGozaH-
   nāma tathāgato duṃdubhisvaranirghoṣo nāma tathāgato	nAma taTAgataH duMduBisvara-nirGozaH nAma taTAgataH-
   P--O.98:J.206	P--O.98:J.206
   duṣpradharṣo nāma tathāgata ādityasaṃbhavo nāma tathāgato jaleniprabho	duzpraDarzaH nAma taTAgataH AdityasaMBavaH nAma taTAgataH jaleni-praBo
   nāma tathāgataḥ prabhākaro nāma tathāgata evaṃpramukhā(5)	nAma taTAgataH praBAkaraH nAma taTAgataH evaMpramuKA(5)
   śāriputrottarāyāṃ	SAriputra-uttarAyAm
   diśi gaṃgānadīvālukopamā buddhā bhagavaṃtaḥ svakasvakāni	diSi gaMgA-nadI-vAlukA-upamA budDAH BagavaMtaH sva-ka-svakAni
   buddhakṣetrāṇi jihveṃdriyeṇa saṃcchādayitvā nirveṭhanaṃ kurvaṃti /	budDa-kzetrANi jihveMdriyeNa saMcCAdayitvA nirveWanam kurvaMti /
   pratīyatha yūyam idam aciṃtyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma	pratIyaTa yUyam idam aciMtyaguNa-parikIrtanam sarva-budDa-parigraham nAma
   dharmaparyāyaṃ //14//	Darma-paryAyam //14//
   evam adhastāyāṃ diśi siṃho nāma tathāgato yaśo nāma tathāgato	evam aDastAyAm diSi siMhaH nAma taTAgataH yaSaH nAma taTAgataH-
   yaśaḥprabhāso nāma tathāgato dharmo nama tathāgato dharmadharo	yaSaHpraBAsaH nAma taTAgataH DarmaH nama taTAgataH Darma-DaraH-
   nāma tathāgato dharmadhvajo nāma tathāgata evaṃpramukhāḥ	nAma taTAgataH DarmaDvajaH nAma taTAgataH evaMpramuKAH
   śāriputrādhastāyāṃ	SAriputra-aDastAyAm
   diśi gaṃgānadīvālukopamā buddhā bhagavaṃtaḥ svakasvakāni	diSi gaMgA-nadI-vAlukA-upamA budDAH BagavaMtaH sva-ka-svakAni
   buddhakṣetrāṇi jihveṃdriyeṇa saṃcchādayitvā nirveṭhanaṃ kurvaṃti /	budDa-kzetrANi jihveMdriyeNa saMcCAdayitvA nirveWanam kurvaMti /
   pratīyatha yūyam idam aciṃtyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma	pratIyaTa yUyam idam aciMtyaguNa-parikIrtanam sarva-budDa-parigraham nAma
   dharmaparyāyaṃ //15//	Darma-paryAyam //15//
   evam upariṣṭhāyāṃ diśi brahmaghoṣo nāma tathāgato nakṣatrarājo	evam uparizWAyAm diSi brahmaGozaH nAma taTAgataH nakzatra-rAjaH-
   nāma tathāgata iṃdraketudhvajarājo nāma tathāgato gaṃdhottamo nama	nAma taTAgataH iMdraketuDvajarAjaH nAma taTAgataH gaMDa-uttamaH nama
   tathāgato gaṃdhaprabhāso nāma tathāgato mahārciskaṃdho nāma tathāgato	taTAgataH gaMDapraBAsaH nAma taTAgataH mahA-arciskaMDaH nAma taTAgataH-
   ratnakusumasaṃpuṣpitagātro nāma tathāgataḥ sāleṃdrarājo nāma	ratnakusuma-saMpuzpita-gAtraH nAma taTAgataH sAleMdra-rAjaH nAma
   tathāgato ratnotpalaśrīr nāma tathāgataḥ sarvārthadarśo nāma tathāgataḥ	taTAgataH ratnotpalaSrIH nAma taTAgataH sarvArTa-darSaH nAma taTAgataH
   sumerukalpo nāma tathāgata evaṃpramukhāḥ śāriputropariṣṭhāyāṃ diśi	sumeru-kalpaH nAma taTAgataH evaMpramuKAH SAriputra-uparizWAyAm diSi
   gaṃgānadīvālukopamā buddhā bhagavaṃtaḥ svakasvakāni buddhakṣetrāṇi	gaMgA-nadI-vAlukA-upamA budDAH BagavaMtaH sva-ka-svakAni budDa-kzetrANi
   jihveṃdriyeṇa saṃcchādayitvā nirveṭhanaṃ kurvaṃti / pratīyatha yūyam idam	jihveMdriyeNa saMcCAdayitvA nirveWanam kurvaMti / pratIyaTa yUyam idam
   aciṃtyaguṇaparikīrtanaṃ sarvabuddhaparigrahaṃ nāma dharmaparyāyaṃ //16//	aciMtya-guNa-parikIrtanam sarva-budDa-parigraham nAma Darma-paryAyam //16//
   P--O.99:J.208	P--O.99:J.208
   tat kiṃ manyase śāriputra kena kāraṇenāyaṃ dharmaparyāyaḥ	tat kim manyase SAriputra kena kAraNena-ayam Darma-paryAyaH
   sarvabuddhaparigraho	sarva-budDa-parigrahaH-
   nāmocyate / ye kecic chāriputra kulaputrā vā kuladuhitaro	nAma-ucyate / ye kecid SAriputra kula-putrAH vA kula-duhitaraH-
   vāsya dharmaparyāyasya nāmadheyaṃ śroṣyaṃti teṣāṃ ca buddhānāṃ bhagavatāṃ	vA-asya Darma-paryAyasya nAmaDeyam SrozyaMti tezAm ca budDAnAm BagavatAm
   nāmadheyaṃ dhārayiṣyaṃti sarve te buddhaparigṛhītā bhaviṣyaṃty	nAmaDeyam DArayizyaMti sarve te budDa-parigRhItAH BavizyaMti-
   avinivartanīyāś	avinivartanIyAH-
   ca bhaviṣyaṃty anuttarāyāṃ samyaksaṃbodhau(6) / tasmāt tarhi śāriputra	ca BavizyaMti anuttarAyAm samyaksaMboDO(6) / tasmAt tarhi SAriputra
   śraddadhādhvaṃ pratīyatha mākāṃkṣayatha mama ca teṣāṃ ca buddhānāṃ	SraddaDADvam pratIyaTa mA-akAMkzayaTa mama ca tezAm ca budDAnAm
   bhagavatāṃ	BagavatAm
   ye kecic chāriputra kulaputrā vā kuladuhitaro vā tasya	ye kecid SAriputra kula-putrAH vA kula-duhitaraH vA tasya
   bhagavato 'mitāyuṣas tathāgatasya buddhakṣetre cittapraṇidhānaṃ kariṣyaṃti	BagavataH amita-AyuzaH taTAgatasya budDa-kzetre citta-praNiDAnam karizyaMti
