   Pañcaviṃśatisāhasrikā Prajñāpāramitā	PaQcaviMSati-sAhasrikA PrajQApAramitA
   aparimitabuddhādhyeṣaṇakuśalair	aparimita-budDa-aDyezaNa-kuSalEH-
   nānādṛṣṭyanuśayaparyavasthānakleśapraśamanakuśalais	nAnA-dRzwi-anuSaya-paryavasTAna-kleSa-praSamana-kuSalEH-
   samādhivikrīḍitaśatasahasranirhārakuśalaiḥ // tadyathā badhrapālena ca	samADi-vikrIxita-Sata-sahasra-nirhAra-kuSalEH // tat-yaTA baDrapAlena ca
   bodhisatvena mahāsatvena ratnākareṇa ca susārthavāhena ca naradattena ca	boDisatvena mahAsatvena ratna-AkareNa ca su-sArTavAhena ca naradattena ca
   varuṇadattena ca guhaguptena ca indradattena ca uttaramatinā ca	varuNa-dattena ca guhaguptena ca indra-dattena ca uttara-matinA ca
   viśeṣamatinā ca vardhamānamatinā ca amoghadarśinā ca susaṃprasthitena ca	viSeza-matinA ca varDamAna-matinA ca amoGa-darSinA ca su-saMprasTitena ca
   suvikrāntavikrāmiṇa ca nityodyuktena ca nityaprayuktena ca	su-vikrAnta-vikrAmiNa ca nitya-udyuktena ca nitya-prayuktena ca
   anikṣiptadhureṇa ca sūryagarbheṇa ca anupamamatinā ca avalokiteśvareṇa ca	anikzipta-DureNa ca sUrya-garBeNa ca anupama-matinA ca avalokita-ISvareNa ca
   mahāsthāmaprāptena ca mañjuśriyā ca vajramatinā ca ratnamudrāhastena ca	mahA-sTAma-prAptena ca maQjuSriyA ca vajra-matinA ca ratnamudrA-hastena ca
   nityotkṣiptahastena ca maitreyeṇa ca bodhisatvena mahāsatvena //	nitya-utkzipta-hastena ca mEtreyeNa ca boDisatvena mahAsatvena //
   evaṃpramukhair anekair bodhisatvakoṭīnayutaśatasahasraiḥ // atha khalu	evaMpramuKEH anekEH boDisatva-kowIn-ayuta-Sata-sahasrEH // aTa Kalu
   bhagavān svayam eva siṃhāsanaṃ prajñapya nyaṣīdat paryaṅkam ābhujya	BagavAn svayam eva siMhAsanam prajQapya nyazIdat paryaFkam ABujya
   ṛjukāyaṃ praṇidhānyā (PvSPL kā_a) abhūvan* sarvakṣaṇāś cāstamitā abhūvan*	Rju-kAyam praNiDAnyA (Pu-SPL kA_a) aBUvan* sarva-kzaNAH ca-astamitAH aBUvan*
   ye ca satvās tābhyo nirayatiryagyoniyamalokagatibhyaś cyutās te sarve	ye ca satvAH tAByaH niraya-tiryagyoni-yama-loka-gatiByaH cyutAH te sarve
   devamanuṣyeṣūpapadyante sma te devamanuṣyeṣūpapannā bhagavata evānubhāvena	deva-manuzyezu-upapadyante sma te deva-manuzyezu-upapannA BagavataH eva-anuBAvena
   pūrvajanmāny anusmaranti sma anusmṛtya tenaiva prītiprāmodyena	pUrva-janmAni anusmaranti sma anusmRtya tena-eva prIti-prAmodyena
   svakasvakeṣu buddhakṣetreṣu ye buddhā bhagavantas teṣām antikam	sva-ka-svakezu budDa-kzetrezu ye budDAH BagavantaH tezAm antikam
   upasaṃkrāntā upasaṃkramya teṣāṃ buddhānāṃ bhagavatāṃ pādavandanāṅ kṛtvā	upasaMkrAntAH upasaMkramya tezAm budDAnAm BagavatAm pAda-vandanAF kRtvA
   sarve prāñjalayo bhūtvā tān buddhān bhagavato namasyanti sma // atha khalu	sarve prAQjalayaH BUtvA tAn budDAn BagavataH namasyanti sma // aTa Kalu
   tenaiva kṣaṇalavamuhūrtena ye 'smiṃs trisāhasramahāsāhasre lokadhātau	tena-eva kzaNa-lava-muhUrtena ye asmin tri-sAhasra-mahA-sAhasre lokaDAtO
   andhās satvās te cakṣuṣā rūpāṇi paśyanti sma vadhirāḥ śrotreṇa śabdāñ	anDAH satvAH te cakzuzA rUpANi paSyanti sma vaDirAH SrotreNa SabdAn-
   cchṛṇvanti sma unmattāḥ smṛtiṃ pratilabhante sma vikṣiptacittā ekāgracittā	cCRNvanti smaH unmattAH smRtim pratilaBante sma vikzipta-cittA ekAgra-cittA
   bhavanti sma nagnāś cīvaraprāvṛtā bhavanti sma jighatsitāḥ pūrṇagātrā	Bavanti sma nagnAH cIvara-prAvRtAH Bavanti sma jiGatsitAH pUrNa-gAtrA
   bhavanti sma tṛṣitāḥ vigatapipāsā bhavanti sma rogaspṛṣṭāḥ vigatarogā	Bavanti sma tRzitAH vigata-pipAsA Bavanti sma roga-spRzwAH vigata-rogA
   bhavanti sma hīnendriyāḥ paripūrṇendriyā bhavanti sma	Bavanti sma hIna-indriyAH paripUrNa-indriyAH Bavanti sma
   aviratākuśalakāyavāṅmanaskarmāntājīvāḥ satvā	avirata-akuSalakAya-vAc-manaskarma-antA-jIvAH satvA
   viratākuśalakāyāvāṅmanaskarmāntājīvā bhavanti sma sarvasatvāś ca	virata-akuSala-kAya-avAk-manaskarmAntA-jIvAH Bavanti sma sarva-satvAH ca
   mātāpitṛsamacittā bhavanti sma bhrātṛbhaginī samacittā	mAtA-pitR-sama-cittAH Bavanti sma BrAtR-BaginI sama-cittA
   mitrāmātyajñātisālohitasamacittā daśakuśalakarmapathasevinaś ca bhavanti	mitra-amAtya-jQAti-sAlohita-sama-cittAH daSa-kuSala-karma-paTa-sevinaH ca Bavanti
   sma brahmacāriṇaḥ śucayo nirāmagandhāḥ sarvasukhasamarpitā īdṛśasukhaṃ	sma brahmacAriNaH SucayaH nirAma-ganDAH sarva-suKa-samarpitA IdRSa-suKam
   pratilabhante sma tadyathāpi nāma tṛtīyadhyānasamāpannasya tasminn eva ca	pratilaBante sma tat-yaTA-api nAma tRtIya-DyAna-samApannasya tasmin eva ca
   samaye evaṃrūpayā prajñāya samanvāgatā bhavanti sma yad	samaye evaMrUpayA prajQAya samanvAgatAH Bavanti sma yat-
   anyabuddhakṣetrasthā buddhā bhagavanta evam udānam udānayanti sma sādhu	anya-budDa-kzetra-sTAH budDAH BagavantaH evam udAnam udAnayanti sma sADu
   damaḥ sādhu śamaḥ sādhu saṃyamaḥ sādhu cīrṇo brahmacaryavāsaḥ sādhu	damaH sADu SamaH sADu saMyamaH sADu cIrNaH brahmacarya-vAsaH sADu
   praṇibhūteṣv avihiṃseti // atha khalu bhagavāṃs tasminn eva sihāsane	praNiBUtezu avihiMsa-iti // aTa Kalu BagavAn tasmin eva sihA-Asane
   niṣaṇṇaḥ iman trisāhasramahāsāhasraṃ lokadhātum abhibhūya tiṣṭhati bhāsate	nizaNNaH iman tri-sAhasra-mahA-sAhasram lokaDAtum aBiBUya tizWati BAsate
   tapati virocate sma ābhayā varṇena śriyā tejasā ca pūrvasyān diśi	tapati virocate smaH ABayA varNena SriyA tejasA ca pUrvasyAn diSi
   dakṣiṇasyāṃ paścimāyām uttarasyām adha-ūrdhvavidikṣu gaṅgānadīvālikopamāl	dakziNasyAm paScimAyAm uttarasyAm aDa-u-UrDva-vidikzu gaFgA-nadI-vAlikA-upamAl
   lokadhātūn abhibhūya tathāgatas tiṣṭhati bhāsate tapati virocate sma	lokaDAtUn aBiBUya taTAgataH tizWati BAsate tapati virocate sma
   ābhayā varṇena śriyā tejasā ca // tadyathāpi nāma sumeruḥ parvatarājaḥ	ABayA varNena SriyA tejasA ca // tat-yaTA-api nAma sumeruH parvata-rAjaH
   sarvvaparvatān abhibhūya tiṣṭhati bhāsate tapati virocate ābhayā varṇena	sarvu-aparvatAn aBiBUya tizWati BAsate tapati virocate ABayA varNena
   śriyā tejasā ca evam eva bhagavān sarvalokadhātūn abhibhūya tiṣṭhati	SriyA tejasA ca evam eva BagavAn sarva-loka-DAtUn aBiBUya tizWati
   bhāsate tapati virocate sma ābhayā varṇena śriyā tejasā ca // atha khalu	BAsate tapati virocate smaH ABayA varNena SriyA tejasA ca // aTa Kalu
   bhagavān punar eva yādṛk trisāhsaramahāsāhsre lokadhātau satvānām	BagavAn punar eva yAdRS tri-sAhsara-mahAsAhsre lokaDAtO satvAnAm
   ātmabhāvas tatsamānam ātmabhāvaṃ prākṛtam upadarśayāmāsa // atha khalu	Atma-BAvaH tad-samAnam Atma-BAvam prAkRtam upadarSayAmAsa // aTa Kalu
   yāvanto smiṃs trisāhasramahāsāhasre lokadhātau śuddhāvāsikāyikā (PvSPL	yAvantaH smin tri-sAhasra-mahA-sAhasre lokaDAtO SudDAvAsi-kAyikA (PvSPL
   kā_b) devā brahmakāyikāś ca paranirmitavaśavartinaś ca nirmāṇaratayaś ca	kA_b) devAH brahmakAyikAH ca paranirmitavaSavartinaH ca nirmANaratayaH ca
   tuṣitāś ca yāmāś ca trāyastriṃśāś ca cāturmahārājakāyikāś ca devās te tan	tuzitAH ca yAmAH ca trAyastriMSAH ca cAturmahArAja-kAyikAH ca devAH te tan
   tathāgatasyāsecanakam ātmabhāvaṃ dṛṣṭvā divyāni puṣpāṇi gṛhītvā	taTAgatasya-Asecanakam Atma-BAvam dRzwvA divyAni puzpANi gRhItvA
   divyagandhamālyavilepanacūrṇacīvaracchatraddhvajapatākāś ca gṛhītvā	divya-ganDa-mAlya-vilepana-cUrNa-cIvara=-Catrat-Dvaja-patAkAH ca gRhItvA
   divyāni cotpalakumudasaugandhikapundarīkapadmāni gṛhītvā divyāni ca	divyAni ca-utpala-kumuda-sOganDika-pundarIka-padmAni gRhItvA divyAni ca
   kesaratamālapatrāṇi gṛhītvā yena sa tathāgatasyāsecanaka ātmabhāvas	kesara-tamAla-patrANi gRhItvA yena sa taTAgatasya-AsecanakaH Atma-BAvaH-
   tenopasaṃkrāntā ye ceha trisāhasramahāsāhasre lokadhātau manuṣyās te pi	tena-upasaMkrAntAH ye ca-iha tri-sAhasra-mahA-sAhasre lokaDAtO manuzyAH te pi
   tan tathāgatasyāsecanakam ātmabhāvan dṛṣṭvā sthalajajalajāni puṣpāṇi	tat taTAgatasya-Asecanakam Atma-BAvan dRzwvA sTala-ja-jala-jAni puzpANi
   gṛhītvā yena sa tathāgatasyāsecanaka ātmabhāvas tenopasaṃkrāntāḥ // atha	gRhItvA yena sa taTAgatasya-AsecanakaH Atma-BAvaH tena-upasaMkrAntAH // aTa
   khalu te devās te ca manuṣyās tābhir divyābhiḥ	Kalu te devAH te ca manuzyAH tABiH divyABiH
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatraddhvajapatākābhis te	puzpa-DUpa-ganDa-mAlya-vilepana-cUrNa-cIvara=-Catrat-Dvaja-patAkABiH te
   sthalajajalajaiḥ puṣpais tan tathāgatakāyam avakiranti smābhyavakiranti	sTala-ja-jala-jEH puzpEH tat taTAgata-kAyam avakiranti sma-aByavakiranti
   sma abhiprakiranti sma // atha khalu yais taiḥ	sma aBiprakiranti sma // aTa Kalu yEH tEH
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatraddhvajapatākāvarṣaiḥ	puzpa-DUpa-ganDa-mAlya-vilepana-cUrNa-cIvara=-Catrat-Dvaja-patAkA-varzEH
   sthajajalajaiś ca puṣpair bhagavān avakīrṇas tāni sarvāny uparyantarīkṣe	sTaja-jala-jEH ca puzpEH BagavAn avakIrNaH tAni sarvAni upari-antarIkze
   bhagavato 'dhiṣṭhānena trisāhasramahāsāhasralokadhātupramāṇa ekaḥ	BagavataH aDizWAnena tri-sAhasra-mahA-sAhasra-loka-DAtu-pramANaH ekaH
   kūṭāgāraḥ saṃsthito bhūt* tataś ca kūṭāgārād divyāni puṣpapaṭṭadāmāni	kUwAgAraH saMsTitaH BUt* tatas ca kUwAgArAt divyAni puzpa-pawwa-dAmAni
   lambante sma pralambante sma abhipralambante sma taiś ca puṣpadāmabhiḥ	lambante sma pralambante sma aBipralambante sma tEH ca puzpa-dAmaBiH
   paṭṭadāmabhiś cāyan trisāhasramahāsāhasro lokadhātur atīva śobhate sma	pawwa-dAmaBiH ca-Ayan tri-sAhasra-mahA-sAhasraH lokaDAtuH atIva SoBate sma
   tena ca suvarṇavarṇena bhagavataḥ prabhāvabhāsena daśasu dikṣu pravisṛtena	tena ca suvarNa-varNena BagavataH praBAva-BAsena daSasu dikzu pravisRtena
   ekaikasyān diśi gaṅgānadīvālikopamā lokadhātavaḥ sphuṭā avabhāsitāś	ekEkasyAn diSi gaFgA-nadI-vAlikA-upamAH lokaDAtavaH sPuwAH avaBAsitAH-
   cābhūvan* asmiṃś ca trisāhasramahāsāhasre lokadhātau sarvacāturdvīpikeṣu	ca-aBUvan* asmin ca tri-sAhasra-mahA-sAhasre lokaDAtO sarva-cAturdvIpikezu
   lokadhātuṣu devamanuṣyānām* ekaikasyaitad abhūt* mama puratas tathāgato	lokaDAtuzu deva-manuzyAnAm* ekEkasya-etat aBUt* mama puratas taTAgataH-
   niṣiṇṇo dharman deśayati mama puratas tathāgato niṣiṇṇo dharman deśayatīti	niziNNaH Darman deSayati mama puratas taTAgataH niziNNaH Darman deSayati-iti
   // atha khalu bhagavāṃs tasminn eva siṃhāsane niṣaṇṇaḥ punar api smitam	// aTa Kalu BagavAn tasmin eva siMhAsane nizaNNaH punar api smitam
   akarot* yena smitāvabhāsenāyan trisāhasramahāsāhasro lokadhātuḥ sphuṭo	akarot* yena smita-avaBAsena-Ayan tri-sAhasra-mahA-sAhasraH lokaDAtuH sPuwaH-
   bhūt* yāvad daśasu dikṣu gaṅgānadīvālikopamā lokadhātavaḥ sphuṭā abhūvan*	BUt* yAvat daSasu dikzu gaFgA-nadI-vAlikA-upamAH lokaDAtavaH sPuwAH aBUvan*
   ye ceha trisāhasramahāsāhasre lokadhātau satvāḥ te pūrvasyān diśi	ye ca-iha tri-sAhasra-mahA-sAhasre lokaDAtO satvAH te pUrvasyAn diSi
   gaṅgānadīvālikopameṣu lokadhātuṣu buddhān bhagavataḥ paśyanti sma	gaFgA-nadI-vAlikA-upamezu lokaDAtuzu budDAn BagavataH paSyanti sma
   saśrāvakasaṃghāṃs tatra ca pūrvasyān diśi	sa-SrAvaka-saMGAn tatra ca pUrvasyAn diSi
   (PvSPL ki_a) gaṅgānadīvālikopameṣu lokadhātuṣu ye satvās te pīmāṃ sahāṃ	(PvSPL ki_a) gaFgA-nadI-vAlikA-upamezu lokaDAtuzu ye satvAH te pImAm sahAm
   lokadhātuṃ paśyanti sma śākyamuniñ ca tathāgataṃ sārdhaṃ bhikṣusaṃghena	lokaDAtum paSyanti sma SAkyamunin ca taTAgatam sArDam Bikzu-saMGena
   evan dakṣiṇasyān diśi paścimāyām uttarasyāṃ vidikṣv adha-ūrdhvandigbhāge	evan dakziNasyAn diSi paScimAyAm uttarasyAm vidikzu aDa-u-UrDvan-digBAge
   gaṅgānadīvālikopameṣu lokadhātuṣu buddhān bhagavantaḥ paśyanti sma	gaFgA-nadI-vAlikA-upamezu lokaDAtuzu budDAn BagavantaH paSyanti sma
   saśrāvakasaṃghāṃs teṣu ca lokadhātuṣu ye satvās te pīmāṃ sahāṃ lokadhātuṃ	sa-SrAvaka-saMGAn tezu ca lokaDAtuzu ye satvAH te pImAm sahAm lokaDAtum
   paśyanti sma śākyamuniñ ca tathāgataṃ sārdhaṃ bhikṣusaṃghena // atha khalu	paSyanti sma SAkyamunin ca taTAgatam sArDam Bikzu-saMGena // aTa Kalu
   pūrvasyān diśi gaṅgānadīvālikopamāl lokadhātūn atikramya tebhyo yā	pUrvasyAn diSi gaFgA-nadI-vAlikA-upamAt lokaDAtUn atikramya teByaH yA
   sarvapaścimā lokadhātū ratnāvatī nāma tatra ratnākaro nāma tathāgato 'rhan	sarva-paScimA lokaDAtuH ratnAvatI nAma tatra ratnAkaraH nAma taTAgataH arhan
   samyaksambuddhas tiṣṭhati dhriyate yāpayati sa imām eva prajñāpāramitāṃ	samyaksambudDaH tizWati Driyate yApayati saH imAm eva prajQApAramitAm
   bodhisatvānān deśayati atha tatra lokadhātau samantaraśmir nāma bodhisatvo	boDisatvAnAn deSayati aTa tatra lokaDAtO samantaraSmiH nAma boDisatvaH-
   mahāsatvas taṃ mahāntam avabhāsan dṛṣṭvā tañ ca mahāntaṃ pṛthivīcālan tañ	mahAsatvaH tam mahAntam avaBAsan dRzwvA taQ ca mahAntam pRTivI-cAlan taQ
   ca bhagavato secanakam atmabhāvan dṛṣṭvā yena sa bhagavān ratnākaras	ca BagavataH secanakam atma-BAvan dRzwvA yena sa BagavAn ratna-Akaras
   tathāgato 'rhan samyaksambuddhas tenopasaṃkrānta upasaṃkramya tasya	taTAgataH arhan samyaksambudDaH tena-upasaMkrAntaH upasaMkramya tasya
   bhagavataḥ pādāv abhivandya taṃ bhagavantaṃ ratnākaran tathāgatam etad	BagavataH pAdO aBivandya tam Bagavantam ratna-Akaran taTAgatam etat-
   avocat* ko bhagavan hetuḥ kaḥ pratyayo 'sya mahato 'vabhāsasya loke	avocat* kaH Bagavan hetuH kaH pratyayaH asya mahataH avaBAsasya loke
   prādurbhāvāyāsya ca mahataḥ pṛthivīcālasyāsya cāsecanakasya	prAdurBAvAya-asya ca mahataH pRTivI-cAlasya-asya ca-Asecanakasya
   tathāgatasyātmabhāvasya sandarśanāya // evam ukte sa bhagavān ratnākaras	taTAgatasya-Atma-BAvasya san-darSanAya // evam ukte sa BagavAn ratna-Akaras
   tathāgataḥ samantaraśmiṃ bodhisatvam etad avocat* asti kulaputretaḥ	taTAgataH samantaraSmim boDisatvam etat avocat* asti kula-putra-itas-
   paścime digbhāge gaṅgānadīvālikopamāl lokadhātūn atikramya sahā nāma	paScime digBAge gaFgA-nadI-vAlikA-upamAt lokaDAtUn atikramya sahA nAma
   lokadhātus tatra śākyamunir nāma tathāgato rhan samyaksambuddhas tiṣṭhati	lokaDAtuH tatra SAkyamuniH nAma taTAgataH rhan samyaksambudDaH tizWati
   dhriyate yāpayate sa bodhisatvānāṃ prajñāpāramitā saṃprakāśayati tasyām	Driyate yApayate sa boDisatvAnAm prajQApAramitA saMprakASayati tasyAm
   īdṛśo 'nubhāvaḥ // atha khalu samantaraśmir bodhisatvo ratnākaran	IdRSaH anuBAvaH // aTa Kalu samantaraSmiH boDisatvaH ratnAkaran
   tathāgatam etad avocat* gamiṣyāmy ahaṃ bhagavaṃs tāṃ sahāṃ lokadhātun taṃ	taTAgatam etat avocat* gamizyAmi aham Bagavan tAm sahAm lokaDAtun tam
   bhagavantaṃ śākyamunin tathāgatam arhantaṃ samyaksambuddhan darśanāya	Bagavantam SAkyamunin taTAgatam arhantam samyaksambudDan darSanAya
   vandanāya paryupāsanāya tāṃś ca bodhisatvān mahāsatvāṇ bhūyastvena	vandanAya paryupAsanAya tAn ca boDisatvAt mahAsatvAN BUyastvena
   kumārabhūtān dhāraṇīpratilabdhān samādhinirhārakuśalān	kumAra-BUtAn DAraNI-pratilabDAn samADi-nirhAra-kuSalAn
   sarvasamādhivaśipāraṅgatān darśanāya sa bhagavān āha gaccha tvaṃ kulaputra	sarva-samADi-vaSi-pAraFga-tAn darSanAya sa BagavAn Aha gacCa tvam kula-putra
   yasedānīṅ kālaṃ manyase // atha khalu ratnākaras tathāgato nānāratnamayāni	yasA-idAnIF kAlam manyase // aTa Kalu ratna-AkaraH taTAgataH nAnA-ratna-mayAni
   suvarṇanirbhāsāni sahasrapatrāṇi padmāni samantaraśmaye bodhisatvāya	suvarNa-nirBAsAni sahasra-patrANi padmAni samantaraSmaye boDisatvAya
   prādād evañ cāvādīd etais tvaṃ kulaputra padmais saparivāras taṃ	prAdAt evan ca-avAdIt etEH tvam kula-putra padmEH sa-parivAraH tam
   śākyamunin tathāgatam abhyavakireḥ evañ ca vadeḥ ratnākaro bhagavān*	SAkyamunin taTAgatam aByavakireH evan ca vadeH ratna-AkaraH BagavAn-*
   bhagavantam alpābādhatāṃ paripṛcchaty alpātaṃkatāṃ laghusamutthānatāṃ	Bagavantam alpa-AbADa-tAm paripRcCati alpAtaMka-tAm laGu-samutTAna-tAm
   (PvSPL ki_b) yātrāṃ balaṃ sukhasparśavihāratāṃ paripṛcchatīmāni ca tena	(PvSPL ki_b) yAtrAm balam suKa-sparSa-vihAra-tAm paripRcCati-imAni ca tena
   bhagavatā ratnākareṇa tathāgatenārhatā samyaksambuddhena nānāratnāmayāni	BagavatA ratna-AkareNa taTAgatena-arhatA samyaksambudDena nAnA-ratna-AmayAni
   suvarṇāvabhāsāni sahasrapatrāṇi padmāni prahitāni bhagavata iti	suvarNa-avaBAsAni sahasra-patrANi padmAni prahitAni BagavataH iti
   saṃprajānaṅkārī ca tvaṃ kulaputra tatra buddhakṣetre bhaves taṅ kasya	saMprajA-anaFkArI ca tvam kula-putra tatra budDa-kzetre BaveH taF kasya
   hetor durāsadā hi te kulaputra bodhisatvā ye tatra sahāyāṃ lokadhātāv	hetoH durAsadAH hi te kula-putra boDisatvAH ye tatra sahAyAm lokaDAtO=-
   upapannāḥ // atha khalu samantaraśmir bodhisatvas tasya ratnākarasya	upapannAH // aTa Kalu samantaraSmiH boDisatvaH tasya ratna-Akarasya
   tathāgatasya sakāśāt tāni nānāratnamayāni padmāni gṛhītvā suvarṇāvabhāsāni	taTAgatasya sakASAt tAni nAnA-ratna-mayAni padmAni gRhItvA suvarNa-avaBAsAni
   sahasrapatrāṇy anekair bodhisatvakoṭīnayutaśatasahasrair gṛhasthaiḥ	sahasra-patrANi anekEH boDisatva-kowIn-ayuta-Sata-sahasrEH gRhasTEH
   pravrajitair dārakair dārikābhiś ca parivṛtaḥ puraskṛtaḥ pūrvasyān diśi	pravrajitEH dArakEH dArikABiH ca parivRtaH puraskRtaH pUrvasyAn diSi
   teṣu gaṅgānadīvālikopameṣu buddhān bhagavatas satkurvan gurukurvan mānayan	tezu gaFgA-nadI-vAlikA-upamezu budDAn BagavataH satkurvan gurukurvan mAnayan
   pūjayan	pUjayan
   puṣpadhūpagandhamālyavilepanacūrṇacīvaracchatradhvajapatākāvaijayantībhir	puzpa-DUpa-ganDa-mAlya-vilepana-cUrNa-cIvara=-Catra-Dvaja-patAkA-vEjayantIBiH-
   yeneyaṃ sahā lokadhātus tena saṃprāptaḥ yena ca śākyamunis tathāgato 'rhan	yena-iyam sahA lokaDAtuH tena saMprAptaH yena ca SAkya-muniH taTAgataH arhan
   samyaksambuddhas tenopasaṃkrāmat upasaṃkramya bhagavataḥ pādau	samyaksambudDaH tena-upasaMkrAmat upasaMkramya BagavataH pAdO
   śirasābhivandyaikānte 'sthād ekānte sthitaś ca samantaraśmir bodhisatvo	SirasA-aBivandya-ekAnte asTAt ekAnte sTitaH ca samantaraSmiH boDisatvaH-
   bhagavantaṃ śākyamunin tathāgatam etad avocat* ratnākaro bhagavān	Bagavantam SAkyamunin taTAgatam etat avocat* ratna-AkaraH BagavAn
   bhagavantam alpābādhatāṃ paripṛcchaty alpātaṃkatāṃ laghūtthānatāṃ yātrāṃ	Bagavantam alpa-AbADa-tAm paripRcCati alpAtaMka-tAm laGu-utTAna-tAm yAtrAm
   balaṃ sukhasparśavihāratāñ ca paripṛcchatīmāni ca tena bhagavatā	balam suKa-sparSa-vihAra-tAn ca paripRcCati-imAni ca tena BagavatA
   ratnākareṇa tathāgatena nānāratnamayāni suvarṇanirbhāsāni sahasrapatrāṇi	ratna-AkareNa taTAgatena nAnA-ratna-mayAni suvarNa-nirBAsAni sahasra-patrANi
   padmāni prahitāni bhagavataḥ // atha khalu bhagavāñ cchākyamunis	padmAni prahitAni BagavataH // aTa Kalu BagavAn cSAkya-muni-s
   tathāgatas tāni padmāni gṛhītvā yena te pūrvasyān diśi gaṅgānadīvālikopamā	taTAgataH tAni padmAni gRhItvA yena te pUrvasyAn diSi gaFgA-nadI-vAlikA-upamA
