   akatra prativāsinaḥ (?) K_892b	akatra prativAsinaH (?) K_892b
   akruddho 'parituṣṭaś ca Yj_3.53c	akrudDaH aparituzwaH ca Yt _3.53c
   akrūro madhuraḥ snigdhaḥ K_065a	akrUraH maDuraH snigDaH K_065a
   akrodhanaśca sumukho Ang_1.773c	akroDanaH ca sumuKaH Ank _1.773c
   akrodhanān suprasādān Mn_3.213[203M]a	akroDanAn su prasAdAn M= _3.213[203M]a
   akrodhanāḥ śaucaparāḥ Mn_3.192[182M]a	akroDanAH SOca parAH M= _3.192[182M]a
   akleśena śarīrasya Mn_4.3c	akleSena SarIrasya M= _4.3c
   akleśenārthine yas tu K_022a	akleSena arTine yaH tu K_022a
   akṣatā ca kṣatā caiva Yj_1.67a	akzatA ca kzatA ca eva Yt _1.67a
   akṣatābhiḥ sapuṣpābhir Nar_5.41a	akzatABiH sa puzpABiH Nar_5.41a
   akṣatāyāṃ kṣatāyāṃ vā Yj_2.130a	akzatAyAm kzatAyAm vE Yt _2.130a
   akṣatālūṣake śroṇī  Yj_3.87c	akza tAlu Uzake SroNI Yt _3.87c
   akṣato brāhmaṇo vrajet Mn_8.124d	akzataH brAhmaNaH vrajet M= _8.124d
   akṣabhaṅge ca yānasya Mn_8.291c	akza BaFge ca yAnasya M= _8.291c
   akṣamālā vasiṣṭhena Mn_9.23a	akza mAlA vasizWena M= _9.23a
   akṣayāyopakalpate Mn_3.202[192M]d	akzayAya upakalpate M= _3.202[192M]d
   akṣayāṃl labhate lokān Par_3.31c	akzayAn laBate lokAn Par_3.31c
   akṣayodakamityapi Ang_1.887d	akzaya udakam iti api Ank _1.887d
   akṣayo 'yaṃ nidhī rājñāṃ Yj_1.315c	akzayaH ayam niDiH rAjQAm Yt _1.315c
   akṣayyā nātra saṃśayaḥ Yj_3.331d	akzayyA na atra saMSayaH Yt _3.331d
   akṣayyā vṛddhir eteṣāṃ Nar_1.94c	akzayyA vRdDiH etezAm Nar_1.94c
   akṣayyodakam eva ca Yj_1.243d	akzayya udakam eva ca Yt _1.243d
   akṣaraṃ duṣkaraṃ jñeyaṃ Mn_2.84c	akzaram duzkaram jQeyam M= _2.84c
   akṣavardhraśalākādyair Nar_17.1a	akza varDra SalAkA AdyEH Nar_17.1a
   akṣāralavaṇaṃ mitam Mn_11.109[108M]b	akzAra lavaNam mitam M= _11.109[108M]b
   akṣāralavaṇaṃ rūkṣaṃ Ang_2,11.1c	akzAra lavaNam rUkzam Ank _2,11.1c
   akṣāralavaṇānnāḥ syur Mn_5.73[72M]a	akzAra lavaNa annAH syuH M= _5.73[72M]a
   akṣikarṇacatuṣkaṃ ca Yj_3.99a	akzi karNa catuzkam ca Yt _3.99a
   akṣiṇvan nyāsadhāriṇam Mn_8.196d	akziNvan nyAsa DAriNam M= _8.196d
   akṣiṇvan yogatas tanum Mn_2.100d	akziNvan yogataH tanum M= _2.100d
   akṣudro 'paruṣas tathā Yj_1.310b	akzudraH aparuzaH taTA Yt _1.310b
   akṣeṇa śaṣpairmantrairvā Ang_1.630c	akzeNa SazpEH mantrEH vA Ank _1.630c
   akṣetre bījam utsṛṣṭam Mn_10.71a	akzetre bIjam utsRzwam M= _10.71a
   aksāralavaṇaṃ caiva Mn_3.257[247M]c	aksAralavaNam ca eva M= _3.257[247M]c
   agamyāgamanīyaṃ tu Mn_11.169[168M]c	agamyA AgamanIyam tu M= _11.169[168M]c
   agamyā gamane caiva Par_10.1c	agamyA gamane ca eva Par_10.1c
   agamyāgamane vipro YS99v_30a	agamyA gamane vipraH YS99u _30a
   agamyāgāminaḥ śāsti Nar_12.76a	agamyA gAminaH SAsti Nar_12.76a
   agarīyasi vā punaḥ Nar_19.42b	agarIyasi vA punar Nar_19.42b
   agastyo hy ācarat purā Mn_5.22d	agastyaH hi Acarat purA M= _5.22d
   agāradāhī garadaḥ Mn_3.158[148M]a	agAra dAhI garadaH M= _3.158[148M]a
   agāram upasaṃvrajet Mn_6.51d	agAram upasaMvrajet M= _6.51d
   agārād abhiniṣkrāntaḥ Mn_6.41a	agArAt aBinizkrAntaH M= _6.41a
   aguptam aṅgasarvasvair Mn_8.374c	aguptam aFga sarva svEH M= _8.374c
   agupte kṣatriyāvaiśye Mn_8.385a	agupte kzatriyA vESye M= _8.385a
   aguruḥ kṣatriyāṇāṃ tu Ang_2,5.9a	aguruH kzatriyANAm tu Ank _2,5.9a
   agṛhītaṃ pradāsyati K_184b	agRhItam pradAsyati K_184b
   agṛhīte samaṃ dāpyaḥ Yj_2.292c	agRhIte samam dApyaH Yj_2.292c
   agṛhīte samaṃ dāpyo Yj_2.193c	agRhIte samam dApyaH Yt _2.193c
   agnayeti ca tatparam Ang_1.810d	agnayA iti ca tad param Ank _1.810d
   agnikāryaṃ tataḥ kuryāt Yj_1.25c	agni kAryam tatas kuryAt Yt _1.25c
   agnikāryāt paribhraṣṭāḥ Par_12.32(31)a	agni kAryAt pariBrazwAH Par_12.32(31)a
   agnicit kapilā satrī Par_12.47(46)a	agni cit kapilA satrI Par_12.47(46)a
   agnidagdhānagnidagdhān Mn_3.199[189M]a	agni dagDa an agni dagDAn M= _3.199[189M]a
   agnidānāṃ ca ye lokā Yj_2.74a	agni dAnAm ca ye lokAH Yt _2.74a
   agnidān bhaktadāṃś caiva Mn_9.278a	agnidAn Bakta dAn ca eva M= _9.278a
   agnidhāmā dharānātho Ang_1.518a	agni DAmA DarA nATaH Ank _1.518a
   agninā copacūlanam Par_5.6d	agninA ca upacUlanam Par_5.6d
   agninā dagdham eva vā Mn_8.189b	agninA dagDam eva vA M= _8.189b
   agnipakvāśano vā syāt Mn_6.17a	agni pakva aSanaH vA syAt M= _6.17a
   agnir āpaś ca vedāś ca Par_12.21(20)a	agniH ApaH ca vedAH ca Par_12.21(20)a
   agnir āpas tathaiva ca Mn_7.209Mb	agniH ApaH taTA eva ca M= _7.209Mb
   agnir jalaṃ vā śūdrasya Yj_2.98c	agniH jalam vA SUdrasya Yt _2.98c
   agnir mūrdhā divaḥ kakut Yj_1.300b	agniH mUrDA divaH kakud Yt _1.300b
   agnivarṇaṃ nyaset piṇḍaṃ Yj_2.105c	agni varNam nyaset piNxam Yt _2.105c
   agnivarṇaṃ surāṃ pibet Par_12.76(75)d	agni varNam surAm pibet Par_12.76(75)d
   agnivarṇāṃ surāṃ pibet Mn_11.90[89M]b	agni varNAm surAm pibet M= _11.90[89M]b
   agnivāyuravibhyas tu Mn_1.23a	agni vAyu raviByaH tu M= _1.23a
   agnividyudvipannānāṃ Par_9.42c	agni vidyut vipannAnAm Par_9.42c
   agniṣṭomaphalaṃ hi tat Par_6.52b	agnizwoma Palam hi tat Par_6.52b
   agniṣṭomādikān makhān Mn_2.143b	agnizwoma AdikAn maKAn M= _2.143b
   agniṣvāttāś ca devānāṃ Mn_3.195[185M]c	agnizvAttAH ca devAnAm M= _3.195[185M]c
   agniṣvāttāṃś ca saumyāṃś ca Mn_3.199[189M]c	agnizvAttAn ca sOmyAn ca M= _3.199[189M]c
   agnisaṃskaraṇe teṣāṃ Par_3.16/1c	agni saMskaraNe tezAm Par_3.16/1c
   agnihotraparāyaṇaḥ Mn_4.10b	agnihotra parAyaNaH M= _4.10b
   agnihotram upāsate Mn_11.42[41M]b	agnihotram upAsate M= _11.42[41M]b
   agnihotrasvarūpiṇaḥ Ang_1.301b	agnihotra svarUpiNaH Ank _1.301b
   agnihotraṃ ca juhuyād Mn_4.25a	agnihotram ca juhuyAt M= _4.25a
   agnihotraṃ yathāvidhi Mn_6.9b	agnihotram yaTAviDi M= _6.9b
   agnihotraṃ samādāya Mn_6.4a	agnihotram samAdAya M= _6.4a
   agnihotrī sa eva syād Ang_1.625a	agnihotrI saH eva syAt Ank _1.625a
   agnihotropakaraṇam Par_5.22a	agnihotra upakaraNam Par_5.22a
   agnihotry apavidhyāgnīn Mn_11.41[40M]a	agnihotri apaviDya agnIn M= _11.41[40M]a
   agniṃ praviśya śudhyanti YS99v_31c	agnim praviSya SuDyanti YS99u _31c
   agniṃ praviśya śudhyanti YSS_1.25c	agnim praviSya SuDyanti YSH _1.25c
   agniṃ vāhārayed enam Mn_8.114a	agnim vA AhArayet enam M= _8.114a
   agnīn ātmani vaitānān Mn_6.25a	agnIn Atmani vEtAnAn M= _6.25a
   agnīn āropya cātmani Yj_3.56d	agnIn Aropya ca Atmani Yt _3.56d
   agnīndhanaṃ bhaikṣacaryām Mn_2.108a	agni inDanam BEkza caryAm M= _2.108a
   agnīn vāpy ātmasātkṛtvā Yj_3.54a	agnIn vA api AtmasAt kRtvA Yt _3.54a
   agnīṃś caivāvilambayan Yj_1.89d	agnIn ca eva avilambayan Yt _1.89d
   agner indrasya somasya Nar_18.24c	agneH indrasya somasya Nar_18.24c
   agnermanve 'nuvākasya Ang_1.767c	agneH manve anuvAkasya Ang_1.767c
   agneś ca varuṇasya ca Mn_7.4b	agneH ca varuNasya ca M= _7.4b
   agneḥ sakāśād viprāgnau Yj_1.316c	agneH sakASAt vipra agnO Yd _1.316c
   agneḥ somayamābhyāṃ ca Mn_3.211[201M]a	agneH soma yamAByAm ca M= _3.211[201M]a
   agneḥ somasya caivādau Mn_3.85[75M]a	agneH somasya ca eva AdO M= _3.85[75M]a
   agnaukaraṇahome 'piṃ Ang_1.1075c	agnOkaraNa home apim Ank _1.1075c
   agnau kariṣyann ādāya Yj_1.236a	agnO karizyan AdAya Yt _1.236a
   agnau kuryād anujñāto Mn_3.210[200M]c	agnO kuryAt anujQAtaH M= _3.210[200M]c
   agnau kuryānna laukike Ang_1.399b	agnO kuryAt na lOkike Ank _1.399b
   agnau prāstāhutiḥ samyag Mn_3.76[66M]a	agnO prAsta AhutiH samyak M= _3.76[66M]a
   agnau suvarṇam akṣīṇaṃ Yj_2.178a	agnO suvarNam akzINam Yt _2.178a
   agnyagāre gavāṃ goṣṭhe Mn_4.58a	agni agAre gavAm gozWe M= _4.58a
   agnyagāre gavāṃ goṣṭhe Ang_2,8.15c	agni agAre gavAm gozWe Ank _2,8.15c
   agnyabhāve tu viprasya Mn_3.212[202M]a	agni aBAve tu viprasya M= _3.212[202M]a
   agnyambusukṛtādibhiḥ K_237d	agni ambu sukRta AdiBiH K_237d
   agnyambusukṛtādibhiḥ Nar_1.218d	agni ambu sukRta AdiBiH Nar_1.218d
   agnyādibhirbhojanena Ang_1.962c	agni AdiBiH Bojanena Ank _1.962c
   agnyādheyasya dakṣiṇām Mn_11.38[37M]b	agnyADeyasya dakziNAm M= _11.38[37M]b
   agnyādheyaṃ pākayajñān Mn_2.143a	agnyADeyam pAkayajQAn M= _2.143a
   agrato vikiran bhuvi Mn_3.244[234M]d	agratas vikiran Buvi M= _3.244[234M]d
   agraṃ navebhyaḥ sasyebhyo Nar_18.34a	agram naveByaH sasyeByaH Nar_18.34a
   agraṃ rājanya ucyate Mn_11.83[82M]b	agram rAjanyaH ucyate M= _11.83[82M]b
   agrānīkeṣu yojayet Mn_7.193[194M]d	agra anIkezu yojayet M= _7.193[194M]d
   agrāhyābhedyamūrtīnāṃ Ang_1.228a	agrAhya aBedya mUrtInAm Ank _1.228a
   agrāhyābhedyamūrtīnāṃ Ang_1.231c	agrAhya aBedya mUrtInAm Ang_1.231c
   agre māhiṣakaṃ dṛṣṭvā YS182v_3.16a	agre mAhizakam dRzwvA YS182u _3.16a
   agre māhiṣikaṃ dṛṣṭvā YS78v_35a	agre mAhizikam dRzwvA YS78u _35a
   agryaḥ sarveṣu vedeṣu Yj_1.219a	agryaH sarvezu vedezu Yj_1.219a
   agryāḥ sarveṣu vedeṣu Mn_3.184[174M]a	agryAH sarvezu vedezu M= _3.184[174M]a
   agryo madhyo jaghanyaś ca Mn_12.30c	agryaH maDyaH jaGanyaH ca M= _12.30c
   aghamarṣaṇasūktaṃ vā YS99v_32c	aGa marzaNa sUktam vA YS99u _32c
   aghamarṣavidhānataḥ Ang_1.176d	aGamarza viDAnataH Ank _1.176d
   aghaśaṃsyātmavikretṛ  Nar_1.165c	aGa SaMsi Atma vikretR Nar_1.165c
   aghaṃ sa kevalaṃ bhuṅkte Mn_3.118[108M]a	aGam sa kevalam BuFkte M= _3.118[108M]a
   aṅgacchedī viyojyaḥ syāt K_968c	aFga= CedI viyojyaH syAt K_968c
   aṅgacchede tad ardhaṃ tu K_964c	aFga= Cede tat arDam tu K_964c
   aṅgapratyaṅgasaṃpūrṇe YS99v_44a	aFga pratyaFga saMpUrNe YS99u _44a
   aṅgapratyaṅgasaṃpūrṇo Par_9.16c	aFga pratyaFga saMpUrNaH Par_9.16c
   aṅgam abrāhmaṇasya tu Yj_2.215b	aFgam abrAhmaNasya tu Yt _2.215b
   aṅgavid dharmapāṭhakaḥ Par_8.27b	aFga vid Darma pAWakaH Par_8.27b
   aṅgaviddharmapāṭhakaḥ Ang_2,5.1b	aFga vid Darma pAWakaH Ank _2,5.1b
   aṅgaśuddhiś ca jāyate Par_3.3b	aFga SudDiH ca jAyate Par_3.3b
   aṅgahīnādi janmanaḥ Yj_3.163d	aFga hIna Adi janmanaH Yt _3.163d
   aṅgāni tattatkāleṣu Ang_1.103a	aFgAni tad tad kAlezu Ank _1.103a
   aṅgāpakarṣaṇaṃ naiva Ang_1.102a	aFga apakarzaNam na eva Ank _1.102a
   aṅgāvapīḍanāyāṃ ca Mn_8.287a	aFga avapIxanAyAm ca M= _8.287a
   aṅgirā idamabravīt Ang_2,1.1d	aFgirAH idam abravIt Ank _2,1.1d
   aṅgīkurmaśca sāṃpratam Ang_1.578b	aFgIkurmaH ca sAMpratam Ank _1.578b
   aṅgulānāṃ śatadvayam Nar_20.16b	aFgulAnAm Sata dvayam Nar_20.16b
   aṅgulīr granthibhedasya Mn_9.277a	aFgulIH granTi Bedasya M= _9.277a
   aṅgulīṣu daśaiva tu Par_5.16d	aFgulIzu daSa eva tu Par_5.16d
   aṅgulyaṅguṣṭhayor vadhaḥ Nar_19.39b	aFgulI aFguzWayoH vaDaH Nar_19.39b
   aṅgulyāṃ yaḥ pavitrāṇi YS182v_3.32a	aFgulyAm yaH pavitrANi YS182u _3.32a
   aṅgulyor eva vā chedaṃ Mn_8.370c	aFgulyoH eva vA Cedam M= _8.370c
   aṅguṣṭhamātrasthūlas tu Par_9.10a	aFguzWa mAtra sTUlaH tu Par_9.10a
   aṅguṣṭhamātrasthūlas tu YS99v_41a	aFguzWa mAtra sTUlaH tu YS99u _41a
   aṅguṣṭhamātraṃ sthūlaḥ syād Ang_2,10.2a	aFguzWa mAtram sTUlaH syAt Ank _2,10.2a
   aṅguṣṭhamūlasya tale Mn_2.59a	aFguzWa mUlasya tale M= _2.59a
   aṅguṣṭhārdhaṃ tu gomayam Par_11.30d	aFguzWa arDam tu gomayam Par_11.30d
   aṅgeṣu vyaktadeśeṣu YSS_2.55a	aFgezu vyakta deSezu YSH _2.55a
   aṅgair unmīlyate śanaiḥ Par_8.19b	aFgEH unmIlyate SanEs Par_8.19b
   aṅgairunmīlyate śanaiḥ Ang_2,4.10b	aFgEH unmIlyate SanEs Ank _2,4.10b
   acakṣurviṣayaṃ durgaṃ Mn_4.77a	acakzuH vizayam durgam M= _4.77a
   acañcalaṃ sthiraṃ tuṣṭaṃ Ang_1.386c	acaQcalam sTiram tuzwam Ang_1.386c
   acintyasyāprameyasya Mn_1.3c	acintyasya aprameyasya M= _1.3c
   acirāt taṃ durātmānaṃ Mn_8.174c	acirAt tam durAtmAnam M= _8.174c
   acirenaiva sīdati Mn_7.134[135M]d	acirena eva sIdati M= _7.134[135M]d
   acūḍān naiśikī smṛtā Yj_3.23b	acUxAt nESikI smRtA Yt _3.23b
   acodito hanti narastriyaṃ vā YSS_1.50c	acoditaH hanti nara striyam vA YSH _1.50c
   acorād dāpitaṃ dravyaṃ K_821a	acorAt dApitam dravyam K_821a
   acauraś cauratāṃ prāpto Nar_M1.36c	acOraH cOra tAm prAptaH Nar_M1.36c
   acaure dāpite moṣaṃ Nar_19.27a	acOre dApite mozam Nar_19.27a
   acchalenaiva cānvicchet Mn_8.187a	acCalena eva ca anvicCet M= _8.187a
   acchidram iti yad vākyaṃ Par_6.51c	acCidram iti yat vAkyam Par_6.51c
   acchidraṃ sadguṇaṃ sāṅgaṃ Ang_1.904a	acCidram sat guNam sa aFgam Ank _1.904a
   achinnāgrāḥ śukatviṣaḥ Par_11.34d	aCinna agrAH Suka tvizaH Par_11.34d
   ajaḍaś ced apogaṇḍo Mn_8.148a	ajaxaH ced apogaNxaH M= _8.148a
   ajaḍaś ced apogaṇḍo Nar_1.72a	ajaxaH ced apogaNxaH Nar_1.72a
   ajadantaṃ suśobhanaṃ YSS_2.66b	ajadantam su SoBanam YSH _2.66b
   ajaptvāgnim ahūya ca Par_12.44(43)b	ajaptvA agnim ahUya ca Par_12.44(43)b
   ajameṣāv anaḍvāhaṃ Mn_11.136[135M]c	aja mezO anaxvAham M= _11.136[135M]c
   ajaśrīrajacarmākhyo Ang_1.511c	ajaSrIrajacarma AKyaH Ank _1.511c
   ajaḥ śarīragrahaṇāt Yj_3.69c	ajaH SarIra grahaNAt Yt _3.69c
   ajātadantā ye bālā Par_3.14a	ajAta dantA ye bAlA Par_3.14a
   ajātaś cāsmi tatkāla K_169c	ajAtaH ca asmi tad kAla K_169c
   ajātaś cāsmi tatkāla Nar_M2.5c	ajAtaH ca asmi tad kAla Nar_M2.5c
   ajāteṣv eva sasyeṣu K_666a	ajAtezu eva sasyezu K_666a
   ajātau jātikaraṇe Yj_2.246c	ajAtO jAti karaNe Yt _2.246c
   ajānan yastu vibrūyāj Ang_2,6.13a	ajAnan yaH tu vibrUyAt Ank _2,6.13a
   ajānānas tu lekhayet Nar_1.149d	ajAnAnaH tu leKayet Nar_1.149d
   ajānānāṃ ca dātḥṇām Ang_2,6.14a	ajAnAnAm ca dAtHNAm Ank _2,6.14a
   ajāvikavadhas tathā Mn_11.68[67M]b	ajAvika vaDaH taTA M= _11.68[67M]b
   ajāvikaṃ tu viṣamaṃ Mn_9.119c	ajAvikam tu vizamam M= _9.119c
   ajāvikaṃ saikaśaphaṃ Mn_9.119a	ajAvikam sa ekaSaPam M= _9.119a
   ajāvike tathāruddhe Nar_6.16a	ajAvike taTA arudDe Nar_6.16a
   ajāvike tu saṃruddhe Mn_8.235a	ajAvike tu saMrudDe M= _8.235a
   ajāvike savatse tu Nar_11.28c	ajAvike sa vatse tu Nar_11.28c
   ajāviko māhiṣaś ca YS182v_3.26a	ajAvikaH mAhizaH ca YS182u _3.26a
   ajāśṛṅganibhaṃ śyāmaṃ K_446a	ajA SRFga niBam SyAmam K_446a
   ajāśvayor mukhaṃ medhyaṃ Yj_1.194a	aja aSvayoH muKam meDyam Yt _1.194a
   ajinaṃ mekhalā daṇḍo Par_12.3a	ajinam meKalA daNxaH Par_12.3a
   ajihmasyāśaṭhasya ca Mn_3.246[236M]b	ajihmasya aSaWasya ca M= _3.246[236M]b
   ajihmaḥ krodhano 'riṣu Yj_1.334b	ajihmaH kroDanaH arizu Yt _1.334b
   ajihmām aśaṭhāṃ tathā Yj_1.123d	ajihmAm aSaWAm taTA Yt _1.123d
   ajihmām aśathāṃ śuddhāṃ Mn_4.11c	ajihmAm aSaTAm SudDAm M= _4.11c
   ajīgartaḥ sutaṃ hantum Mn_10.105a	ajIgartaH sutam hantum M= _10.105a
   ajīrṇavamane snānam Ang_1.173a	ajIrNa vamane snAnam Ank _1.173a
   ajīrṇaḥ syāttadā doṣaḥ Ang_1.291a	ajIrNaH syAt tadA dozaH Ank _1.291a
   ajīvan hartum arhati Mn_11.18[17M]d	ajIvan hartum arhati M= _11.18[17M]d
   ajīvaṃs tu yathoktena Mn_10.81a	ajIvan tu yaTA uktena M= _10.81a
   ajñaṃ hi bālam ity āhuḥ Mn_2.153c	ajQam hi bAlam iti AhuH M= _2.153c
   ajñātagrāmatātādir Ang_1.1050a	ajQAta grAma tAta AdiH Ank _1.1050a
   ajñātagrāmasaṃbhavaḥ Ang_1.1051d	ajQAta grAma saMBavaH Ank _1.1051d
   ajñātadoṣeṇoḍhā yā Nar_12.96a	ajQAta dozeNa UXA yA Nar_12.96a
   ajñātapitṛko yaś ca Nar_13.17a	ajQAta pitRkaH yaH ca Nar_13.17a
   ajñātabhuktaśuddhyarthaṃ Mn_5.21c	ajQAta Bukta SudDi arTam M= _5.21c
   ajñātaṃ ca sadā śuci Yj_1.191d	ajQAtam ca sadA Suci Yt _1.191d
   ajñātaṃ caiva sūnāstham Mn_11.155[154M]c	ajQAtam ca eva sUnA sTam M= _11.155[154M]c
   ajñātaṃ vidyate tvayā Nar_20.22d	ajQAtam vidyate tvayA Nar_20.22d
   ajñātārthe ca vastuni K_157b	ajQAta arTe ca vastuni K_157b
   ajñātāṃś ca mṛgadvijān Mn_5.17b	ajQAtAn ca mRga dvijAn M= _5.17b
   ajñātāṃś ca mṛgadvijān Yj_1.174d	ajQAtAn ca mRga dvijAn Yt _1.174d
   ajñātena kṛtaṃ yadā YS182v_5.10b	ajQAtena kRtam yadA YS182u _5.10b
   ajñātvā dharmaśāstrāṇi Par_8.6a	ajQAtvA Darma SAstrANi Par_8.6a
   ajñātvā dharmaśāstrāṇi YS182v_4.29a	ajQAtvA Darma SAstrANi YS182u _4.29a
   ajñātvā pūrvavṛttāntaṃ Ang_1.354c	ajQAtvA pUrva vRttAntam Ank _1.354c
   ajñānanāśitaṃ caiva K_596c	ajQAna nASitam ca eva K_596c
   ajñānabhuktaṃ tūttāryaṃ Mn_11.160[159M]c	ajQAna Buktam tu uttAryam M= _11.160[159M]c
