   PADA MARKERS	PADAH MARKERS
   yadā tadā samudre taṃ % prākṣipanmedinīpatiḥ // MatsP_1.24 //	yadA tadA samudre tam % prAkzipat medinI patiH // Mat sP_1.24 //
   yadā samudramakhilaṃ $ vyāpyāsau samupasthitaḥ &	yadA samudram aKilam $ vyApya asO samupasTitaH &
   tadā prāha manurbhītaḥ % ko 'pi tvamasureśvaraḥ // MatsP_1.25 //	tadA prAha manuH BItaH % kaH api tvam asura ISvaraH // Mat sP_1.25 //
   athavā vāsudevastvam $ anya īdṛkkathaṃ bhavet &	aTavA vAsudevaH tvam $ anyaH IdRS kaTam Bavet &
   yojanāyutaviṃśatyā % kasya tulyaṃ bhavedvapuḥ // MatsP_1.26 //	yojana ayuta viMSatyA % kasya tulyam Bavet vapuH // Mat sP_1.26 //
   jñātastvaṃ matsyarūpeṇa $ māṃ khedayasi keśava &	jQAtaH tvam matsya rUpeNa $ mAm Kedayasi keSavaH &
   hṛṣīkeśa jagannātha % jagaddhāma namo 'stu te // MatsP_1.27 //	hRzIkeSa jagannATa % jagat DAma namaH astu te // Mat sP_1.27 //
   evamuktaḥ sa bhagavān $ matsyarūpī janārdanaḥ &	evam uktaH sa BagavAn $ matsya rUpI janArdanaH &
   sādhu sādhviti covāca % samyagjñātas tvayānagha // MatsP_1.28 //	sADu sADu iti ca uvAca % samyak jQAtaH tvayA anaGa // Mat sP_1.28 //
   acireṇaiva kālena $ medinī medinīpate &	acireNa eva kAlena $ medinI medinIpate &
   bhaviṣyati jale magnā % saśailavanakānanā // MatsP_1.29 //	Bavizyati jale magnA % sa SEla vana kAnanAH // Mat sP_1.29 //
   naur iyaṃ sarvadevānāṃ $ nikāyena vinirmitā &	nOH iyam sarva devAnAm $ nikAyena vinirmitA &
   mahājīvanikāyasya % rakṣaṇārthaṃ mahīpate // MatsP_1.30 //	mahAjIva nikAyasya % rakzaNa arTam mahIpate // Mat sP_1.30 //
   svedāṇḍajodbhido ye vai $ ye ca jīvā jarāyujāḥ &	sveda aNxaja udBidaH ye vE $ ye ca jIvAH jarAyu jAH &
   asyāṃ nidhāya sarvāṃs tān % anāthān pāhi suvrata // MatsP_1.31 //	asyAm niDAya sarvAn tAn % anATAn pAhi suvrata // Mat sP_1.31 //
   yugāntavātābhihatā $ yadā bhavati naur nṛpa &	yuga anta vAta aBihatA $ yadA Bavati nOH nRpa &
   śṛṅge 'sminmama rājendra % tademāṃ saṃyamiṣyasi // MatsP_1.32 //	SRFge asmin mama rAja indra % tadA imAm saMyamizyasi // Mat sP_1.32 //
   tato layānte sarvasya $ sthāvarasya carasya ca &	tatas laya ante sarvasya $ sTAvarasya carasya ca &
   prajāpatistvaṃ bhavitā % jagataḥ pṛthivīpate // MatsP_1.33 //	prajApatiH tvam BavitA % jagataH pRTivIpate // Mat sP_1.33 //
   evaṃ kṛtayugasyādau $ sarvajño dhṛtimānnṛpaḥ &	evam kRta yugasya AdO $ sarvajQaH DRtimAn nRpaH &
   manvantarādhipaścāpi % devapūjyo bhaviṣyasi // MatsP_1.34 //	manvantara aDipaH ca api % deva pUjyaH Bavizyasi // Mat sP_1.34 //
   Matsya Purāṇa 2	Matsya PurANaH 2
   *sūta uvāca	*sUtaH uvAca
   evamukto manustena $ papraccha madhusūdanam &	evam uktaH manuH tena $ papracCa maDusUdanam &
   bhagavankiyadbhirvarṣair % bhaviṣyatyantarakṣayaḥ // MatsP_2.1 //	Bagavan kiyadBiH varzEH % Bavizyati antara kzayaH // Mat sP_2.1 //
   sattvāni ca kathaṃ nātha $ rakṣiṣye madhusūdana &	sattvAni ca kaTam nATa $ rakzizye maDusUdana &
   tvayā saha punaryogaḥ % kathaṃ vā bhavitā mama // MatsP_2.2 //	tvayA saha punar yogaH % kaTam vA BavitA mama // Mat sP_2.2 //
   *matsya uvāca	*matsyaH uvAca
   adyaprabhṛtyanāvṛṣṭir $ bhaviṣyati mahītale &	adya praBRti anAvRzwiH $ Bavizyati mahI tale &
   yāvadvarṣaśataṃ sāgraṃ % durbhikṣam aśubhāvaham // MatsP_2.3 //	yAvat varza Satam sAgram % durBikzam aSuBa Avaham // Mat sP_2.3 //
   tato 'lpasattvakṣayadā $ raśmayaḥ sapta dāruṇāḥ &	tatas alpa sattva kzaya dA $ raSmayaH sapta dAruNAH &
   saptasapterbhaviṣyanti % prataptāṅgāravarṣiṇaḥ // MatsP_2.4 //	sapta sapteH Bavizyanti % pratapta aFgAra varziNaH // Mat sP_2.4 //
   aurvānalo 'pi vikṛtiṃ $ gamiṣyati yugakṣaye &	Orva analaH api vikRtim $ gamizyati yuga kzaye &
   viṣāgniścāpi pātālāt % saṃkarṣaṇamukhacyutaḥ \	viza agniH ca api pAtAlAt % saMkarzaNa muKa cyutaH \
   bhavasyāpi lalāṭotthas # tṛtīyanayanānalaḥ // MatsP_2.5 //	Bavasya api lalAwa utTaH # tRtIya nayana analaH // Mat sP_2.5 //
   trijagannirdahan kṣobhaṃ $ sameṣyati mahāmune &	trijagat nirdahan kzoBam $ samezyati mahA mune &
   evaṃ dagdhā mahī sarvā % yadā syādbhasmasaṃnibhā // MatsP_2.6 //	evam dagDA mahI sarvAH % yadA syAt Basma saMniBAH // Mat sP_2.6 //
   ākāśamūṣmaṇā taptaṃ $ bhaviṣyati paraṃtapa &	AkASam UzmaNA taptam $ Bavizyati paraMtapa &
   tataḥ sadevanakṣatraṃ % jagadyāsyati saṃkṣayam // MatsP_2.7 //	tatas sa deva nakzatram % jagat yAsyati saMkzayam // Mat sP_2.7 //
   saṃvarto bhīmanādaśca $ droṇaścaṇḍo balāhakaḥ &	saMvartaH BImanAdaH ca $ droNaH caNxaH balAhakaH &
   vidyutpatākaḥ śoṇastu % saptaite layavāridāḥ // MatsP_2.8 //	vidyutpatAkaH SoNaH tu % saptA ete laya vAri dAH // Mat sP_2.8 //
   agniprasvedasambhūtāḥ $ plāvayiṣyanti medinīm &	agni prasveda samBUtAH $ plAvayizyanti medinIm &
   samudrāḥ kṣobhamāgatya % caikatvena vyavasthitāḥ // MatsP_2.9 //	samudrAH kzoBam Agatya % ca ekatvena vyavasTitAH // Mat sP_2.9 //
   etadekārṇavaṃ sarvaṃ $ kariṣyanti jagattrayam &	etat ekArNavam sarvam $ karizyanti jagattrayam &
   vedanāvamimāṃ gṛhya % sattvabījāni sarvaśaḥ // MatsP_2.10 //	veda nAvam imAm gRhya % sattva bIjAni sarvaSas // Mat sP_2.10 //
   āropya rajjuyogena $ matpradattena suvrata &	Aropya rajju yogena $ mad pradattena suvrata &
   saṃyamya nāvaṃ macchṛṅge % matsyabhāvābhirakṣitaḥ // MatsP_2.11 //	saMyamya nAvam mad SRFge % matsya BAva aBirakzitaH // Mat sP_2.11 //
   ekaḥ sthāsyasi deveṣu $ dagdheṣvapi paraṃtapa &	ekaH sTAsyasi devezu $ dagDezu api paraMtapa &
   somasūryāvahaṃ brahmā % caturlokasamanvitaḥ // MatsP_2.12 //	soma sUrya Avaham brahmA % catur loka samanvitaH // Mat sP_2.12 //
   narmadā ca nadī puṇyā $ mārkaṇḍeyo mahānṛṣiḥ &	narmadA ca nadI puNyA $ mArkaNxeyaH mahAn RziH &
   bhavo vedāḥ purāṇāni % vidyābhiḥ sarvatovṛtam // MatsP_2.13 //	BavaH vedAH purANAni % vidyABiH sarvatas vRtam // Mat sP_2.13 //
   tvayā sārdhamidaṃ viśvaṃ $ sthāsyatyantarasaṃkṣaye &	tvayA sArDam idam viSvam $ sTAsyati antara saMkzaye &
   evamekārṇave jāte % cākṣuṣāntarasaṃkṣaye // MatsP_2.14 //	evam ekArNave jAte % cAkzuza antara saMkzaye // Mat sP_2.14 //
   vedānpravartayiṣyāmi $ tvatsargādau mahīpate &	vedAn pravartayizyAmi $ tvad sarga AdO mahIpate &
   evamuktvā sa bhagavāṃs % tatraivāntaradhīyata // MatsP_2.15 //	evam uktvA sa BagavAn % tatra eva antaraDIyata // Mat sP_2.15 //
   manur apyāsthito yogaṃ $ vāsudevaprasādajam &	manuH api AsTitaH yogam $ vAsudeva prasAda jam &
   abhyasan yāvad ābhūta  % samplavaṃ pūrvasūcitam // MatsP_2.16 //	aByasan yAvat ABUta % samplavam pUrva sUcitam // Mat sP_2.16 //
   kāle yathokte saṃjāte $ vāsudevamukhodgate &	kAle yaTA ukte saMjAte $ vAsudeva muKa udgate &
   śṛṅgī prādurbabhūvātha % matsyarūpī janārdanaḥ // MatsP_2.17 //	SRFgI prAdurbaBUva aTa % matsya rUpI janArdanaH // Mat sP_2.17 //
   bhujaṃgo rajjurūpeṇa $ manoḥ pārśvamupāgamat &	BujaMgaH rajju rUpeNa $ manoH pArSvam upAgamat &
   bhūtānsarvānsamākṛṣya % yogenāropya dharmavit // MatsP_2.18 //	BUtAn sarvAn samAkRzya % yogena Aropya Darma vid // Mat sP_2.18 //
   bhujaṃgarajjvā matsyasya $ śṛṅge nāvamayojayat &	BujaMga rajjvA matsyasya $ SRFge nAvam ayojayat &
   uparyupasthitastasyāḥ % praṇipatya janārdanam // MatsP_2.19 //	upari upasTitaH tasyAH % praNipatya janArdanam // Mat sP_2.19 //
   ābhūtasamplave tasminn $ atīte yogaśāyinā &	ABUta samplave tasmin $ atIte yoga SAyinA &
   pṛṣṭena manunā proktaṃ % purāṇaṃ matsyarūpiṇā \	pRzwena manunA proktam % purANam matsya rUpiNA \
   tadidānīṃ pravakṣyāmi # śṛṇudhvamṛṣisattamāḥ // MatsP_2.20 //	tat idAnIm pravakzyAmi # SRNuDvam Rzi sattamAH // Mat sP_2.20 //
   yadbhavadbhiḥ purā pṛṣṭaḥ $ sṛṣṭyādikamahaṃ dvijāḥ &	yat BavadBiH purA pRzwaH $ sRzwi Adikam aham dvijAH &
   tad evaikārṇave tasmin % manuḥ papraccha keśavam // MatsP_2.21 //	tat eva eka arNave tasmin % manuH papracCa keSavam // Mat sP_2.21 //
   *manuruvāca	*manuH uvAca
   utpattiṃ pralayaṃ caiva $ vaṃśānmanvantarāṇi ca &	utpattim pralayam ca eva $ vaMSAn manvantarANi ca &
   vaṃśyānucaritaṃ caiva % bhuvanasya ca vistaram // MatsP_2.22 //	vaMSya anucaritam ca eva % Buvanasya ca vistaram // Mat sP_2.22 //
   dānadharmavidhiṃ caiva $ śrāddhakalpaṃ ca śāśvatam &	dAna Darma viDim ca eva $ SrAdDa kalpam ca SASvatam &
   varṇāśramavibhāgaṃ ca % tatheṣṭāpūrtasaṃjñitam // MatsP_2.23 //	varNa ASrama viBAgam ca % taTA izwApUrta saMjQitam // Mat sP_2.23 //
   devatānāṃ pratiṣṭhādi $ yaccānyadvidyate bhuvi &	devatAnAm pratizWA Adi $ yat ca anyat vidyate Buvi &
   tatsarvaṃ vistareṇa tvaṃ % dharmaṃ vyākhyātumarhasi // MatsP_2.24 //	tat sarvam vistareNa tvam % Darmam vyAKyAtum arhasi // Mat sP_2.24 //
   *matsya uvāca	*matsyaH uvAca
   mahāpralayakālānta $ etadāsīttamomayam &	mahApralaya kAla ante $ etat AsIt tamaH mayam &
   prasuptamiva cātarkyam % aprajñātamalakṣaṇam // MatsP_2.25 //	prasuptam iva cAtarkyam % aprajQAtam alakzaNam // Mat sP_2.25 //
   avijñeyamavijñātaṃ $ jagat sthāsnu cariṣṇu ca &	avijQeyam avijQAtam $ jagat sTAsnu carizNu ca &
   tataḥ svayambhūr avyaktaḥ % prabhavaḥ puṇyakarmaṇām // MatsP_2.26 //	tatas svayamBUH avyaktaH % praBavaH puNya karmaNAm // Mat sP_2.26 //
   vyañjayannetadakhilaṃ $ prādurāsīt tamonudaḥ &	vyaQjayan= etat aKilam $ prAdurAsIt tamonudaH &
   yo 'tīndriyaḥ paro vyaktād % aṇur jyāyān sanātanaḥ \	yaH atIndriyaH paraH vyaktAt % aNuH jyAyAn sanAtanaH \
   nārāyaṇa iti khyātaḥ # sa ekaḥ svayam udbabhau // MatsP_2.27 //	nArAyaNaH iti KyAtaH # saH ekaH svayam udbaBO // Mat sP_2.27 //
   yaḥ śarīrād abhidhyāya $ sisṛkṣurvividhaṃ jagat &	yaH SarIrAt aBiDyAya $ sisRkzuH viviDam jagat &
   apa eva sasarjādau % tāsu vīryam avāsṛjat // MatsP_2.28 //	apaH eva sasarja AdO % tAsu vIryam avAsRjat // Mat sP_2.28 //
   tadevāṇḍaṃ samabhavad $ dhemarūpyamayaṃ mahat &	tat eva aNxam samaBavat $ Dema rUpya mayam mahat &
   saṃvatsarasahasreṇa % sūryāyutasamaprabham // MatsP_2.29 //	saMvatsara sahasreNa % sUrya ayuta sama praBam // Mat sP_2.29 //
   praviśyāntarmahātejāḥ $ svayam evātmasambhavaḥ &	praviSya antar mahA tejAH $ svayam eva Atma samBavaH &
   prabhāvād api tadvyāptyā % viṣṇutvam agamat punaḥ // MatsP_2.30 //	praBAvAt api tad vyAptyA % vizNu tvam agamat punar // Mat sP_2.30 //
   tadantarbhagavāneṣa $ sūryaḥ samabhavatpurā &	tad antar BagavAn eza $ sUryaH samaBavat purA &
   ādityaścādibhūtatvād % brahmā brahma paṭhann abhūt // MatsP_2.31 //	AdityaH ca Adi BUta tvAt % brahmA brahma paWan aBUt // Mat sP_2.31 //
   divaṃ bhūmiṃ samakarot $ tadaṇḍaśakaladvayam &	divam BUmim samakarot $ tad aNxa Sakala dvayam &
   sa cākaroddiśaḥ sarvā % madhye vyoma ca śāśvatam // MatsP_2.32 //	sa ca akarot diSaH sarvAH % maDye vyoma ca SASvatam // Mat sP_2.32 //
   jarāyurmerumukhyāś ca śailās tasyābhavaṃs tadā /*	jarAyuH meru muKyAH ca SElAH tasya aBavan tadA /*
   yad aulbaṃ tad abhūn meghas taḍitsaṅghātamaṇḍalam // MatsP_2.33 //*	yat Olbam tat aBUt meGaH taxit saFGAta maNxalam // Mat sP_2.33 //*
   nadyo 'ṇḍanāmnaḥ saṃbhūtāḥ $ pitaro manavas tathā &	nadyaH aNxa nAmnaH saMBUtAH $ pitaraH manavaH taTA &
   sapta ye 'mī samudrāś ca % te 'pi cāntarjalodbhavāḥ \	sapta ye amI samudrAH ca % te api ca antar jala udBavAH \
   lavaṇekṣusurādyāś ca # nānāratnasamanvitāḥ // MatsP_2.34 //	lavaNa ikzu surA AdyAH ca # nAnA ratna samanvitAH // Mat sP_2.34 //
   sa sisṛkṣur abhūd devaḥ $ prajāpatir arindama &	sa sisRkzuH aBUt devaH $ prajApatiH arindamaH &
   tattejasaś ca tatraiṣa % mārtaṇḍaḥ samajāyata // MatsP_2.35 //	tad tejasaH ca tatra eza % mArtaNxaH samajAyata // Mat sP_2.35 //
   mṛte 'ṇḍe jāyate yasmān $ mārtaṇḍas tena saṃsmṛtaḥ &	mRte aNxe jAyate yasmAt $ mArtaNxaH tena saMsmRtaH &
   rajoguṇamayaṃ yattad % rūpaṃ tasya mahātmanaḥ \	rajaH guNa mayam yat tat % rUpam tasya mahAtmanaH \
   caturmukhaḥ sa bhagavān # abhūl lokapitāmahaḥ // MatsP_2.36 //	caturmuKaH sa BagavAn # aBUt lokapitAmahaH // Mat sP_2.36 //
   yena sṛṣṭaṃ jagat sarvaṃ $ sadevāsuramānuṣam &	yena sRzwam jagat sarvam $ sa deva asura mAnuzam &
   tamavehi rajorūpaṃ % mahat sattvam udāhṛtam // MatsP_2.37 //	tam avehi rajaH rUpam % mahat sattvam udAhRtam // Mat sP_2.37 //
   Matsya Purāṇa 3	Matsya PurANaH 3
   *manur uvāca	*manuH uvAca
   caturmukhatvam agamat $ kasmāl lokapitāmahaḥ &	caturmuKa tvam agamat $ kasmAt lokapitAmahaH &
   kathaṃ tu lokān asṛjad % brahmā brahmavidāṃ varaḥ // MatsP_3.1 //	kaTam tu lokAn asRjat % brahmA brahma vidAm varaH // Mat sP_3.1 //
   *matsya uvāca	*matsyaH uvAca
   tapaś cacāra prathamam $ amarāṇāṃ pitāmahaḥ &	tapaH cacAra praTamam $ amarANAm pitAmahaH &
   āvibhūtās tathā vedāḥ % sāṅgopāṅgapadakramāḥ // MatsP_3.2 //	AviBUtAH taTA vedAH % sa aFga upAFga pada kramAH // Mat sP_3.2 //
   purāṇasarvaśāstrāṇāṃ $ prathamaṃ brahmaṇā smṛtam &	purANa sarva SAstrANAm $ praTamam brahmaNA smRtam &
   nityaṃ śabdamayaṃ puṇyaṃ % śatakoṭipravistaram // MatsP_3.3 //	nityam Sabda mayam puNyam % Sata kowi pravistaram // Mat sP_3.3 //
   anantaraṃ ca vaktrebhyo $ vedās tasya viniḥsṛtāḥ &	anantaram ca vaktreByaH $ vedAH tasya viniHsRtAH &
   mīmāṃsānyāyavidyāś ca % pramāṇāṣṭakasaṃyutāḥ // MatsP_3.4 //	mImAMsA nyAya vidyAH ca % pramANa azwaka saMyutAH // Mat sP_3.4 //
   vedābhyāsaratasyāsya $ prajākāmasya mānasāḥ &	veda aByAsa ratasya asya $ prajA kAmasya mAnasAH &
   manasaḥ pūrvasṛṣṭā vai % jātā yat tena mānasāḥ // MatsP_3.5 //	manasaH pUrva sRzwA vE % jAtAH yat tena mAnasAH // Mat sP_3.5 //
   marīcir abhavat pūrvaṃ $ tato 'trir bhagavān ṛṣiḥ &	marIciH aBavat pUrvam $ tatas atriH BagavAn RziH &
   aṅgiraś cābhavat paścāt % pulastyas tadanantaram // MatsP_3.6 //	aFgiraH ca aBavat paScAt % pulastyaH tad anantaram // Mat sP_3.6 //
   tataḥ pulahanāmā vai $ tataḥ kratur ajāyata &	tatas pulaha nAmA vE $ tatas kratuH ajAyata &
   pracetāś ca tataḥ putro % vasiṣṭhaś cābhavat punaḥ // MatsP_3.7 //	pracetAH ca tatas putraH % vasizWaH ca aBavat punar // Mat sP_3.7 //
   putro bhṛgur abhūt tadvan $ nārado 'py acirād abhūt &	putraH BRguH aBUt tadvat $ nAradaH api acirAt aBUt &
   daśemān mānasān brahmā % munīn putrān ajijanat // MatsP_3.8 //	daSa imAn mAnasAn brahmA % munIn putrAn ajijanat // Mat sP_3.8 //
   śārīrān atha vakṣyāmi $ mātṛhīnān prajāpateḥ &	SArIrAn aTa vakzyAmi $ mAtR hInAn prajApateH &
   aṅguṣṭhād dakṣiṇād dakṣaḥ % prajāpatir ajāyata // MatsP_3.9 //	aFguzWAt dakziNAt dakzaH % prajApatiH ajAyata // Mat sP_3.9 //
   dharmaḥ stanāntād abhavad $ dhṛdayāt kusumāyudhaḥ &	DarmaH stana antAt aBavat $ DRdayAt kusumAyuDaH &
   bhrūmadhyād abhavat krodho % lobhaś cādharasaṃbhavaḥ // MatsP_3.10 //	BrU maDyAt aBavat kroDaH % loBaH ca aDara saMBavaH // Mat sP_3.10 //
   buddher mohaḥ samabhavad $ ahaṃkārād abhūn madaḥ &	budDeH mohaH samaBavat $ ahaMkArAt aBUt madaH &
   pramodaś cābhavat kaṇṭhān % mṛtyur locanato ṇrpa \	pramodaH ca aBavat kaNWAn % mRtyuH locanataH Nrpa \
   bharataḥ karamadhyāt tu # brahmasūnur abhūt tataḥ // MatsP_3.11 //	BarataH kara maDyAt tu # brahma sUnuH aBUt tatas // Mat sP_3.11 //
   ete nava sutā rājan $ kanyā ca daśamī punaḥ &	ete nava sutA rAjan $ kanyA ca daSamI punar &
   aṅgajā iti vikhyātā % daśamī brahmaṇaḥ sutā // MatsP_3.12 //	aFga jAH iti viKyAtA % daSamI brahmaNaH sutAH // Mat sP_3.12 //
   *manur uvāca	*manuH uvAca
   buddher mohaḥ samabhavad $ iti yat parikīrtitam &	budDeH mohaH samaBavat $ iti yat parikIrtitam &
   ahaṃkāraḥ smṛtaḥ krodho % buddhir nāma kim ucyate // MatsP_3.13 //	ahaMkAraH smRtaH kroDaH % budDiH nAma kim ucyate // Mat sP_3.13 //
   *matsya uvāca	*matsyaH uvAca
   sattvaṃ rajas tamaś caiva $ guṇatrayam udāhṛtam &	sattvam rajaH tamaH ca eva $ guNatrayam udAhRtam &
