   Tattvasamāsasūtravṛttiḥ /	Tattva-samAsa-sUtra-vRttiH /
   navadhā tuṣṭiḥ || Tats_14 ||	navaDA tuzwiH || Tats_14 ||
   aṣṭadhā siddhiḥ || Tats_15 ||	azwaDA sidDiH || Tats_15 ||
   daśadhā mūlikārthāḥ || Tats_16 ||	daSaDA mUlika-arTAH || Tats_16 ||
   anugrahasargaḥ || Tats_17 ||	anugraha-sargaH || Tats_17 ||
   caturdaśavidho bhūtasargaḥ || Tats_18 ||	caturdaSaviDaH BUta-sargaH || Tats_18 ||
   trividho dhātusargaḥ || Tats_19 ||	triviDaH DAtu-sargaH || Tats_19 ||
   trividho bandhaḥ || Tats_20 ||	triviDaH banDaH || Tats_20 ||
   trividho mokṣaḥ || Tats_21 ||	triviDaH mokzaH || Tats_21 ||
   trividhaṃ pramāṇam || Tats_22 ||	triviDam pramANam || Tats_22 ||
   trividhaṃ duḥkham || Tats_23 ||	triviDam duHKam || Tats_23 ||
   etat paramparayā yāthātathyametat samyag jñātvā kṛtakṛtyaḥ syānna	etat paramparayA yATAtaTyam-etat samyak jQAtvA kRtakRtyaH syAt-na
   punastrividhena duḥkhenābhibhūyate |	punar-triviDena duHKena-aBiBUyate |
   iti tattvasamāsākhyasāṅkhyasūtrāṇi ||	iti tattva-samAsa-AKya-sAFKya-sUtrANi ||
   [aṣṭau prakṛtayaḥ || Tats_1 ||]	[azwO prakRtayaH || Tats_1 ||]
   atha kā aṣṭau prakṛtaya ityatrocyate |	aTa kA azwO prakRtayaH iti-atra-ucyate |
   avyaktaṃ buddhirahaṅkāraḥ pañca tanmātrāṇītyetā aṣṭau prakṛtayaḥ |	avyaktam budDiH-ahaFkAraH paQca tanmAtrANi-iti-etAH azwO prakRtayaH |
   tatrāvyaktaṃ tāvaducyate yathā loke vyajyante ghaṭapaṭakuḍyaśayanakādyā na	tatra-avyaktam tAvat-ucyate yaTA loke vyajyante Gawa-pawa-kuxya-Sayanaka-AdyAH na
   tathā vyajata ityavyaktam | śrotrādibhirindriyairna gṛhyata ityarthaḥ |	taTA vyajate iti-avyaktam | Srotra-AdiBiH-indriyEH-na gRhyate iti-arTaH |
   kasmāt anādimadhyāntatvānniravayavatvācca ||	kasmAt anAdi-maDya-anta-tvAt-niravayava-tvAt-ca ||
        aśabdamasparśamarūpamavyayaṃ tathā ca nityaṃ rasagandhavarjitam /	aSabdam-asparSam-arUpam-avyayam taTA ca nityam rasa-ganDa-varjitam /
        anādimadhyaṃ mahataḥ paraṃ dhruvaṃ pradhānametat pravadanti sūrayaḥ	anAdi-maDyam mahataH param Druvam praDAnam-etat pravadanti sUrayaH
   sūkṣmamaliṅgamacetanamanādinidhanaṃ tathāprasavadharmi niravayavamekameva	sUkzmam-aliFgam-acetanam-anAdiniDanam taTA-aprasava-Darmi niravayavam-ekam-eva
   hi sādhāraṇametadavyaktam |	hi sADAraNam-etat-avyaktam |
   avyaktasyāmī paryāyaśabdā bhavanti |	avyaktasya-amI paryAya-SabdAH Bavanti |
   avyaktaṃ pradhānaṃ brahma paraṃ dhruvaṃ bahudhānakamakṣaraṃ kṣetraṃ	avyaktam praDAnam brahma param Druvam bahu-DAnakam-akzaram kzetram
   tamaḥprasūtamiti |	tamaH-prasUtam-iti |
   kā buddhiratrocyate |	kA budDiH-atra-ucyate |
   adhyavasāyo buddhiḥ |	aDyavasAyaH budDiH |
   soyamadhyavasāyo gavādiṣu dravyeṣu yasmāt pratipattiḥ |	soya-maDyavasAyaH gavA-Adizu dravyezu yasmAt pratipattiH |
   evametannānyathā |	evam-etat-na-anyaTA |
   gaurevāyaṃ nāśvaḥ |	gOH-eva-ayam na-aSvaH |
   sthāṇurevāyaṃ na puruṣaḥ |	sTANuH-eva-ayam na puruzaH |
   ityeṣā buddhiḥ |	iti-ezA budDiH |
   asyāstu buddheraṣṭau rūpāṇi bhavanti dharmo jñānaṃ vairāgyamaiśvaryamiti |	asyAH-tu budDeH-azwO rUpANi Bavanti DarmaH jQAnam vErAgyam-ESvaryam-iti |
   tatra dharmo nāmādharmaviparyayaḥ śrutismṛtivihitaḥ śiṣṭācārāviruddhaḥ	tatra DarmaH nAma-aDarma-viparyayaH Sruti-smRti-vihitaH Sizwa-AcAra-avirudDaH
   śubhalakṣaṇaḥ |	SuBa-lakzaNaH |
   jñānaṃ nāmājñānaviparyayastattvabhāvabhūtānāṃ sambodhaḥ |	jQAnam nAma-ajQAna-viparyayaH-tattva-BAva-BUtAnAm samboDaH |
   vairāgyaṃ nāmāvairāgyaviparyayaḥ śabdādiviṣayeṣvaprasaktiḥ |	vErAgyam nAma-avErAgya-viparyayaH Sabda-Adi-vizayezu-aprasaktiH |
   aiśvaryaṃ nāmānaiśvaryaviparyayo 'ṇimādayo 'ṣṭaguṇāḥ |	ESvaryam nAma-anESvarya-viparyayaH aNima-AdayaH azwaguNAH |
   etāni sāttvikāni catvāri |	etAni sAttvikAni catvAri |
   adharmo 'jñānamavairāgyamanaiśvaryamiti adharmo nāma dharmaviparyayaḥ	aDarmaH ajQAnam-avErAgyam-anESvaryam-iti aDarmaH nAma Darma-viparyayaH
   śrutismṛtiviruddhaḥ śiṣṭācāraviruddho 'śubhalakṣaṇaḥ |	Sruti-smRti-virudDaH Sizwa-AcAra-virudDaH aSuBa-lakzaNaH |
   ajñānaṃ nāma jñānaviparyayastattvabhāvabhūtānāmanavabodhaḥ |	ajQAnam nAma jQAna-viparyayaH-tattva-BAva-BUtAnAm-anavaboDaH |
   avairāgyaṃ nāma vairāgyaviparyaḥ śabdādiviṣayeṣvabhiṣaṅgaḥ |	avErAgyam nAma vErAgya-viparyaH Sabda-Adi-vizayezu-aBizaFgaH |
   anaiśvaryaṃ nāmaiśvaryaviparyayo 'ṇimādirahitatvam |	anESvaryam nAma-ESvarya-viparyayaH aNima-Adi-rahita-tvam |
   etāni tāmasāni catvāri |	etAni tAmasAni catvAri |
   tatra dharmeṇa nimittenordhvagamanam |	tatra DarmeNa nimittena-UrDva-gamanam |
   jñānena nimittena mokṣaḥ |	jQAnena nimittena mokzaH |
   vairāgyeṇa nimittena prakṛtilayaḥ |	vErAgyeNa nimittena prakRti-layaH |
   aiśvaryanimittenā 'pratihatagatirbhavati |	ESvarya-nimittenA apratihata-gatiH-Bavati |
   evameṣāṣṭarūpā buddhirvyākhyātā |	evam-eza-azwa-rUpA budDiH-vyAKyAtAH |
   buddheramī paryāyaśabdā bhavanti |	budDeH-amI paryAya-SabdAH Bavanti |
        mano matirmahān brahmā khyātiḥ prajñā śrutirdhṛtiḥ /	manaH matiH-mahAn brahmA KyAtiH prajQA SrutiH-DRtiH /
        prajñānaṃ santatiḥ smṛtirdhīrbuddhiḥ parikathyate //	prajQAnam santatiH smRtiH-DIH-budDiH parikaTyate //
   atrāha ko 'haṅkāra ityucyate |	atra-Aha kaH ahaFkAraH iti-ucyate |
   abhimāno 'haṅkāraḥ |	aBimAnaH ahaFkAraH |
        ahaṃ śabde ahaṃ sparśe ahaṃ rūpe ahaṃ rase /	aham Sabde aham sparSe aham rUpe aham rase /
        ahaṃ gandhe ahaṃ svāmī dhanavānahamīśvaraḥ // 1 //	aham ganDe aham svAmI DanavAn-aham-ISvaraH // 1 //
        ahaṃ bhogī ahaṃ dharme 'bhiṣikto 'sau mayā hataḥ /	aham BogI aham Darme aBiziktaH asO mayA hataH /
        ahaṃ haniṣye balibhiḥ parairityevamādikaḥ // 2 //	aham hanizye baliBiH parEH-iti-evam-AdikaH // 2 //
   yo 'yamabhimānapratyayo so 'haṅkāraḥ |	yaH ayam-aBimAna-pratyayaH saH ahaFkAraH |
   ahaṅkārasyā 'mī paryāyaśabdāḥ |	ahaFkArasyAH amI paryAya-SabdAH |
   ahaṅkāro vaikārikastaijaso bhūtādiḥ sānumāno niranumānaśceti ||	ahaFkAraH vEkArikaH-tEjasaH BUtAdiH sa-anumAnaH niranumAnaH-ca-iti ||
   atrāha kāni pañcatanmātrāṇītyucyate |	atra-Aha kAni paQca-tanmAtrANi-iti-ucyate |
   ahaṅkārānvitāni pañcatanmātrāṇi śabdatanmātraṃ sparśatanmātraṃ	ahaFkAra-anvitAni paQca-tanmAtrANi Sabda-tanmAtram sparSa-tanmAtram
   rūpatanmātraṃ rasatanmātraṃ gandhatanmātraṃ ceti pañcatanmātrāṇi |	rUpa-tanmAtram rasa-tanmAtram ganDa-tanmAtram ca-iti paQca-tanmAtrANi |
   tatra tāvacchabdatanmātrāṇi śabdeṣvevopalabhyante	tatra tAvat-Sabda-tanmAtrANi Sabdezu-eva-upalaByante
   udāttānudāttasvaritakampitaṣaḍjarṣabhagāndhāramadhyamapañcamadhaivataniṣādādayaḥ	udAtta-anudAtta-svarita-kampita-zaxja-RzaBa-gAnDAra-maDyama-paQcama-DEvata-nizAda-AdayaH
   śabdaviśeṣādupalabhyante |	Sabda-viSezAt-upalaByante |
   tasmācchabdatanmātre 'viśeṣaḥ |	tasmAt-Sabda-tanmAtre aviSezaH |
   atha sparśatanmātrāṇi sparśeṣvevopalabhyante tatra	aTa sparSa-tanmAtrANi sparSezu-eva-upalaByante tatra
   mṛdukaṭhinakarkaśapicchilaśītoṣṇādayaḥ sparśaviśeṣā upalabhyante |	mRdu-kaWina-karkaSa-pit-Cila-SIta-uzNa-AdayaH sparSa-viSezAH upalaByante |
   tasmāt sparśatanmātre 'viśeṣaḥ |	tasmAt sparSa-tanmAtre aviSezaH |
   rūpatanmātrāṇi rūpeṣvevopalabhyante |	rUpa-tanmAtrANi rUpezu-eva-upalaByante |
   tatra śuklaraktakṛṣṇaharitapītahāridramāñjiṣṭhādayo rūpaviśeṣā	tatra Sukla-rakta-kRzNa-harita-pIta-hAridra-mAQjizWa-AdayaH rUpa-viSezA
   upalabhyante |	upalaByante |
   tasmādrūpatanmātre 'viśeṣaḥ |	tasmAt-rUpa-tanmAtre aviSezaH |
   tathā rasatanmātrāṇi raseṣvevopalabhyante |	taTA rasa-tanmAtrANi rasezu-eva-upalaByante |
   tatra kaṭutiktakaṣāyakṣāramadhurāmlalavaṇādayo rasaviśeṣā upalabhyante |	tatra kawu-tikta-kazAya-kzAra-maDura-amla-lavaNa-AdayaH rasa-viSezAH upalaByante |
   tasmādrasatanmātre 'viśeṣaḥ |	tasmAt-rasa-tanmAtre aviSezaH |
   atha gandhatanmātrāṇi gandha evopalabhyante |	aTa ganDa-tanmAtrANi ganDaH eva-upalaByante |
   tatra surabhirasurabhiśca gandhaviśeṣā upalabhyante |	tatra suraBiH-asuraBiH-ca ganDa-viSezAH upalaByante |
   tasmād gandhatanmātre 'viśeṣaḥ |	tasmAt ganDa-tanmAtre aviSezaH |
   evametatpañcatanmātrāṇi sūcitāni |	evam-etat-paQca-tanmAtrANi sUcitAni |
   athaiṣāṃ paryāyaśabdāḥ |	aTa-ezAm paryAya-SabdAH |
   tanmātrāṇyaviśeṣāṇi mahābhūtaprakṛtayo bhogyānyaṇavaḥ śāntaghoramūḍhānīti	tanmAtrANi-aviSezANi mahABUta-prakRtayaH BogyAni-aNavaH SAnta-Gora-mUXAni-iti
   evametā avyaktabuddhyahaṃkāratanmātrasañjñitā aṣṭau prakṛtayo vyākhyātāḥ |	evam-etAH avyakta-budDi-ahaMkAra-tanmAtra-saQjQitAH azwO prakRtayaH vyAKyAtAH |
   atha kasmāt prakṛtayaḥ |	aTa kasmAt prakRtayaH |
   prakurvantīti prakṛtayaḥ |	prakurvanti-iti prakRtayaH |
   [ṣoḍaśa vikārāḥ || Tats_2 ||]	[zoxaSa vikArAH || Tats_2 ||]
   atha te ke ṣoḍaśavikārā ityatrocyate |	aTa te ke zoxaSa-vikArAH iti-atra-ucyate |
   ekādaśendriyāṇi pañcamahābhūtānyete ṣoḍaśavikārāḥ |	ekAdaSa-indriyANi paQca-mahABUtAni-ete zoxaSa-vikArAH |
   tatrendriyāṇi tāvaducyante |	tatra-indriyANi tAvat-ucyante |
   śrotraṃ tvak cakṣuṣī jihvā ghrāṇamiti pañca buddhīndriyāṇi |	Srotram tvac cakzuzI jihvA GrANam-iti paQca budDIndriyANi |
   śrotraṃ svaviṣayaṃ śabdaṃ gṛhṇāti tvaksparśaviṣayaṃ cakṣū rūpaviṣayaṃ	Srotram sva-vizayam Sabdam gRhNAti tvac-sparSa-vizayam cakzuH rUpa-vizayam
   rasanā rasaviṣayaṃ ghrāṇaṃ gandhaviṣayamiti |	rasanA rasa-vizayam GrANam ganDa-vizayam-iti |
   vākpāṇipādapāyūpasthākhyāni pañca karmendriyāṇi svaṃ svaṃ karma kurvanti |	vAc-pANi-pAda-pAyu-upasTa-AKyAni paQca karmendriyANi svam svam karma kurvanti |
   tatra vāgvacanamuccarati |	tatra vAc-vacanam-uccarati |
   hastau karma kurutaḥ |	hastO karma kurutaH |
   pādau viharaṇam |	pAdO viharaNam |
   pāyurvisargam |	pAyuH-visargam |
   upasthamānandam |	upasTam-Anandam |
   ubhayātmakaṃ manaḥ |	uBaya-Atmakam manaH |
   svasaṃkalpavikalpavṛttī kurute |	sva-saMkalpa-vikalpa-vRttI kurute |
   evanekādaśendriyāṇi vyākhyātāni |	evanekAdaSa-indriyANi vyAKyAtAni |
   athaiṣāṃ paryāyāḥ |	aTa-ezAm paryAyAH |
   indriyāṇi karaṇāni vaikārikāṇi khāni niyatāni padāni avadhṛtāni aṇūni	indriyANi karaNAni vEkArikANi KAni niyatAni padAni avaDRtAni aNUni
   akṣāṇīti |	akzANi-iti |
   atha kāni pañcamahābhūtānītyatrocyate |	aTa kAni paQca-mahABUtAni-iti-atra-ucyate |
   pṛthivyaptejovāyvākāśānīti mahābhūtāni |	pRTivI-ap-tejaH-vAyu-AkASAni-iti mahABUtAni |
   tatra pṛthivī dhāraṇabhāvena pravartamānā caturṇāmupakāraṃ karoti |	tatra pRTivI DAraNa-BAvena pravartamAnA caturNAm-upakAram karoti |
   āpo jalāni saṃgrahabhāvena pravarttamānāścaturṇāmupakāraṃ kurvanti |	ApaH jalAni saMgraha-BAvena pravarttamAnAH-caturNAm-upakAram kurvanti |
   tejaḥ pācakabhāvena pravartamānaṃ caturṇāmupakāraṃ karoti |	tejaH pAcaka-BAvena pravartamAnam caturNAm-upakAram karoti |
   vāyurvāhanabhāvena pravartamānaścaturṇāmupakāraṃ karoti |	vAyuH-vAhana-BAvena pravartamAnaH-caturNAm-upakAram karoti |
   ākāśamavakāśadānena pravartamānaṃ caturṇāmupakāraṃ karoti |	AkASam-avakASa-dAnena pravartamAnam caturNAm-upakAram karoti |
   śabdasparśarūparasagandhavatī pañcaguṇā pṛthivī |	Sabda-sparSa-rUpa-rasa-ganDavatI paQcaguNA pRTivI |
   śabdasparśarūparasavatyaścaturguṇā āpaḥ |	Sabda-sparSa-rUpa-rasavatyaH-caturguNAH ApaH |
   śabdasparśarūpavat triguṇaṃ tejaḥ |	Sabda-sparSa-rUpavat triguNam tejaH |
   śabdasparśavān dviguṇo vāyuḥ |	Sabda-sparSavAn dviguNaH vAyuH |
   śabdavadekaguṇamākāśam |	Sabda-vat-eka-guNam-AkASam |
   evamākhyātāni pañca mahābhūtāni |	evam-AKyAtAni paQca mahABUtAni |
   athaiṣāṃ paryāyāḥ |	aTa-ezAm paryAyAH |
   bhūtāni bhūtaviśeṣāḥ vikārāḥ ākṛtayaḥ tanavaḥ vigrahāḥ śāntāḥ ghorāḥ	BUtAni BUta-viSezAH vikArAH AkRtayaH tanavaH vigrahAH SAntAH GorAH
   mūḍhāḥ ityete ṣoḍaśavikārā vyākhyātāḥ |	mUXAH iti-ete zoxaSa-vikArAH vyAKyAtAH |
   [puruṣaḥ || Tats_3 ||]	[puruzaH || Tats_3 ||]
   athāha kaḥ puruṣa ityucyate |	aTa-Aha kaH puruzaH iti-ucyate |
   puruṣo 'nādiḥ sūkṣmaḥ sarvagataścetano 'guṇo nityo draṣṭā bhoktā 'karttā	puruzaH anAdiH sUkzmaH sarva-gataH-cetanaH aguNaH nityaH drazwA BoktA akarttA
   kṣetravidamalo 'prasavadharmī ceti |	kzetra-vid-amalaH aprasava-DarmI ca-iti |
   athāha kasmāt puruṣaḥ purāṇāt puriśayanāt purohitavṛttitvācca puruṣaḥ |	aTa-Aha kasmAt puruzaH purANAt puriSayanAt purohita-vRtti-tvAt-ca puruzaH |
   atha kasmādanādiḥ |	aTa kasmAt-anAdiH |
   nāsyādiranto madhyo vā vidyata ityanādiḥ |	na-asya-AdiH-antaH maDyaH vA vidyate iti-anAdiH |
   kasmāt sūkṣmaḥ |	kasmAt sUkzmaH |
   niravayavatvādatīndriyatvāt sūkṣmaḥ |	niravayava-tvAt-atIndriya-tvAt sUkzmaH |
   kasmāt sarvagataḥ |	kasmAt sarva-gataH |
   sarvaṃ prāptamanena nāsya gaganamastīti sarvagataḥ |	sarvam prAptam-anena na-asya gaganam-asti-iti sarva-gataH |
   kasmāccetanaḥ |	kasmAt-cetanaH |
   sukhaduḥkamohopalabdhimattvāt |	suKa-duHka-moha-upalabDimat-tvAt |
   kasmādaguṇaḥ |	kasmAt-aguNaH |
   sattvarajastamāṃsyasminna santyato 'guṇaḥ |	sattva-rajaH-tamAMsi-asmin-na santi-atas aguNaH |
   kasmānnityaḥ akṛtakatvādanutpādakatvācca |	kasmAt-nityaH akRtaka-tvAt-anutpAdaka-tvAt-ca |
   kasmād draṣṭā |	kasmAt drazwA |
   prakṛtivikārānupalambhena iti |	prakRti-vikArAnupalamBena iti |
   kasmādbhoktā |	kasmAt-BoktA |
   cetanabhāvāt sukhaduḥkhaparijñānācca |	cetana-BAvAt suKa-duHKa-parijQAnAt-ca |
   kasmādakartā |	kasmAt-akartA |
   udāsīnatvādaguṇatvācca |	udAsIna-tvAt-aguNa-tvAt-ca |
   kasmāt kṣetravid |	kasmAt kzetra-vid |
   kṣetrebhyo guṇān vettīti kṣetravid |	kzetreByaH guNAn vetti-iti kzetra-vid |
   atha kasmādamalaḥ |	aTa kasmAt-amalaH |
   śubhāśubhakarmāṇyasmin puruṣe na santītyamalaḥ |	SuBa-aSuBa-karmANi-asmin puruze na santi-iti-amalaH |
   kasmādaprasavadharmī |	kasmAt-aprasava-DarmI |
   nirbījatvāt |	nirbIja-tvAt |
   na kiñcidutpādayatītyarthaḥ |	na kiQcid-utpAdayati-iti-arTaH |
   evameṣa sāṃkhyapuruṣo vyākhyātaḥ |	evam-eza sAMKya-puruzaH vyAKyAtaH |
   athāsya puruṣasya paryāyāḥ |	aTa-asya puruzasya paryAyAH |
   puruṣaḥ ātmā pumān puṃguṇaḥ bahulaḥ jantuḥ jīvaḥ kṣetrajñaḥ naraḥ kaviḥ	puruzaH AtmA pumAn puMguNaH bahulaH jantuH jIvaH kzetrajQaH naraH kaviH
   brahma akṣaraḥ prāṇaḥ ajaḥ yaḥ kaḥ saḥ eṣaḥ |	brahma akzaraH prANaH ajaH yaH kaH saH ezaH |
   evametāni pañcaviṃśatitattvāni vyākhyātāni |	evam-etAni paQcaviMSati-tattvAni vyAKyAtAni |
   aṣṭau prakṛtayaḥ ṣoḍaśavikārāḥ puruṣaśceti ||	azwO prakRtayaH zoxaSa-vikArAH puruzaH-ca-iti ||
        pañcaviṃśatitattvajño yatra kutrāśrame rataḥ /	paQcaviMSati-tattva-jQaH yatra kutra-ASrame rataH /
        jaṭī muṇḍī śikhī vāpi mucyate nātra saṃśayaḥ //	jawI muNxI SiKI vA-api mucyate na-atra saMSayaH //
   atrāha puruṣaḥ kiṃ kartā akarttā veti |	atra-Aha puruzaH kim kartA akarttA vA-iti |
   yadi karttā puruṣaḥ syāt tadā śubhāni kuryāt |	yadi karttA puruzaH syAt tadA SuBAni kuryAt |
   nanu vṛttitrayaṃ loke dṛṣṭaṃ puruṣasya tataḥ kiṃ guṇānāṃ kartṛtā 'siddhā ?	nanu vRtti-trayam loke dRzwam puruzasya tatas kim guNAnAm kartR-tA asidDAH ?
        dharmākhyaṃ sauhityaṃ yamaniyamaniṣevaṇaṃ prakhyānam /	Darma-AKyam sOhityam yama-niyama-nizevaNam praKyAnam /
        jñānaiśvaryavirāgāḥ prakāśanamiti sāttvikī vṛttiḥ //	jQAna-ESvarya-virAgAH prakASanam-iti sAttvikI vRttiH //
        rāgaḥ krodho lobhaḥ paraparivādo 'tiraudratā 'tuṣṭiḥ /	rAgaH kroDaH loBaH para-parivAdaH ati-rOdra-tA atuzwiH /
        vikṛtākṛtipāruṣyaṃ prakhyātaiṣā tu rājasī vṛttiḥ //	vikRta-AkRti-pAruzyam praKyAtA-ezA tu rAjasI vRttiH //
        pramādamadaviṣādā nāstikyaṃ strīprasaṅgitā nidrā /	pramAda-mada-vizAdAH nAstikyam strI-prasaFgitA nidrA /
        ālasyaṃ nairghṛṇyamaśaucamiti tāmasī vṛttiḥ //	Alasyam nErGRNyam-aSOcam-iti tAmasI vRttiH //
   etadvṛttitrayaṃ dṛṣṭvā loke guṇānāṃ kartṛtvaṃ siddhamiti cākarttā puruṣaḥ	etat-vRtti-trayam dRzwvA loke guNAnAm kartR-tvam sidDam-iti ca-akarttA puruzaH
   siddho bhavati ||	sidDaH Bavati ||
        pravarttamānān prakṛterimān guṇān rajastamobhyāṃ viparītadarśanāt /	pravarttamAnAn prakRteH-imAn guNAn rajaH-tamoByAm viparIta-darSanAt /
        ahaṃ karomītyabudho 'bhimanyate tṛṇasya kubjīkaraṇe 'pyanīśvaraḥ //	aham karomi-iti-abuDaH aBimanyate tRNasya kubjIkaraNe api-anISvaraH //
   sarvamidaṃ mayā kṛtaṃ mamedamiti vadannabhimānādabudha unmattaḥ	sarvam-idam mayA kRtam mama-idam-iti vadan=-aBimAnAt-abuDaH unmattaH
   kartṛvadbhavati atrāha |	kartR-vat-Bavati atra-Aha |
        prakṛteḥ kriyamāṇāni guṇaiḥ karmāṇi sarvaśaḥ /	prakRteH kriyamANAni guNEH karmANi sarvaSas /
        ahaṅkāravimūḍhātmā kartāhamiti manyate //	ahaFkAra-vimUXa-AtmA kartAham-iti manyate //
        anāditvānnirguṇatvāt paramātmā 'yamavyayaḥ /	anAdi-tvAt-nirguNa-tvAt paramAtmA ayam-avyayaH /
        śarīrastho 'pi kauntaya na karoti na lipyate //	SarIra-sTaH api kOntaya na karoti na lipyate //
   evam |	evam |
        prakṛtyaiva ca karmāṇi kriyamāṇāni sarvaśaḥ /	prakRtyA-eva ca karmANi kriyamANAni sarvaSas /
        yaḥ paśyati tathātmānamakartāraṃ sa paśyati //	yaH paSyati taTA-AtmAnam-akartAram sa paSyati //
        tatrāha kimayamekaḥ puruṣo bahavo vetyucyate /	tatra-Aha kim-ayam-ekaH puruzaH bahavaH vA-iti-ucyate /
   sukhaduḥkhamohasaṅkaraviśuddhakaraṇapāṭavajanmamaraṇakaraṇānāṃ nānātvāt	suKa-duHKa-moha-saFkara-viSudDa-karaNa-pAwava-janma-maraNa-karaNAnAm nAnAtvAt-
   puruṣabahutvaṃ siddhaṃ lokāśramavarṇabhedācca |	puruza-bahu-tvam sidDam loka-ASrama-varNa-BedAt-ca |
   yadyekaḥ puruṣaḥ syādekasmin sukhini sarva eva sukhinaḥ syuḥ |	yadi-ekaH puruzaH syAt-ekasmin suKini sarve eva suKinaH syuH |
   ekasmin duḥkhini sarva eva duḥkhinaḥ syuḥ |	ekasmin duHKini sarve eva duHKinaH syuH |
   ekasmin karaṇapāṭave sarveṣāmeva karaṇapāṭavaṃ syāt |	ekasmin karaNa-pAwave sarvezAm-eva karaNa-pAwavam syAt |
   ekasmiñjāte sarva eva jāyeran |	ekasmin-jAte sarve eva jAyeran |
   ekasmin mṛte sarva eva mriyeranniti |	ekasmin mRte sarve eva mriyeran=-iti |
   na caivam itaśca bahavaḥ puruṣāḥ siddhāḥ |	na ca-evam itas-ca bahavaH puruzAH sidDAH |
   ākṛtigarbhāśayabhāvasaṅgatiśarīravibhāge liṅgabahutvāt |	AkRti-garBASaya-BAva-saFgati-SarIra-viBAge liFga-bahu-tvAt |
   evaṃ tāvat sāṃkhyācāryāḥ kapilāsuripañcaśikhapatañjaliprabhṛtayo bahūn	evam tAvat sAMKya-AcAryAH kapilA-suri-paQca-SiKa-pataQjali-praBRtayaH bahUn
   puruṣān varṇayanti |	puruzAn varNayanti |
   vedāntavādina ācāryā hariharahiraṇyagarbhavyāsādaya ekamevātmānaṃ	vedAnta-vAdinaH AcAryAH hari-hara-hiraNyagarBa-vyAsa-AdayaH ekam-eva-AtmAnam
   varṇayanti |	varNayanti |
   kasmādevaṃ tadāha |	kasmAt-evam tat-Aha |
        puruṣa evedaṃ sarvaṃ bhūtaṃ yacca bhāvyam /	puruzaH eva-idam sarvam BUtam yat-ca BAvyam /
        utāmṛtatvasyeśāno yadanyenātirohati //	uta-amRta-tvasya-ISAnaH yat-anyena-atirohati //
        tadevāgnistadādityastadvāyustaddhi candramāḥ /	tat-eva-agniH-tad-AdityaH-tat-vA-AyuH-tat-hi candramAH /
        tadeva śukraṃ tadbrahma tadāpaḥ saḥ prajāpatiḥ //	tat-eva Sukram tat-brahma tadA-apaH saH prajApatiH //
        tadeva satyamamṛtaṃ sa mokṣaḥ sā parā gatiḥ //	tat-eva satyam-amRtam sa mokzaH sA parA gatiH //
        tadakṣaraṃ tat saviturvareṇyaṃ	tat-akzaram tat savituH-vareNyam
        yasmātparaṃ nāparamasti kiñcit //	yasmAt-param na-aparam-asti kiQcid //
