   ||śrīḥ||	||SrIH||
   kaścit kṣitisuro brāhmaṇaḥ | nṛpaḥ kṣatriyaḥ | viṭ vaiśyaḥ | turīyaḥ	kaScid kziti suraH brAhmaNaH | nRpaH kzatriyaH | viS vESyaH | turIyaH
   śūdraḥ | munir yatiḥ | vanavāsī vānaprasthaḥ | gṛhasthaḥ	SUdraH | muniH yatiH | vana vAsI vAnaprasTaH | gRhasTaH
   kṛta dāra parigrahaḥ | varṇī brahmacārī || KrdC_1.3 ||	kRta dAra  parigrahaH | varNI brahmacArI || Krdu _1.3 ||
   adhunā gopāla mantrasya sarveṣu siddhatvam āha 	aDunA gopAla mantrasya sarvezu sidDa tvam Aha 
   sarveṣu varṇeṣu tathāśrameṣu	sarvezu varNezu taTA ASramezu
   nārīṣu nānāhvaya janmabheṣu |	nArIzu nAnA Ahva ya  janma Bezu |
   dātā phalānām abhivāñchitānāṃ	dAtA PalAnAm aBivAQCitAnAm
   drāg eva gopālaka mantra eṣaḥ // Krd_1.4 //	drAk eva gopAlaka mantraH ezaH // KrD _1.4 //
   siddhādi gaṇanānirapekṣa evaiṣa prathopasthito	sidDa Adi gaNanA nirapekzaH eva eza praTA upasTitaH 
   vakṣyamāṇa daśākṣara gopāla mantro na tu gopāla viṣayako mantra gaṇo	vakzyamANa daSa akzara  gopAla mantraH na tu gopAla vizayakaH mantra  gaNaH 
   'tiprasaṅgāt |	ati prasaFgAt |
   svāhā praṇava saṃyuktaṃ mantraṃ śūdre dadad dvijaḥ |	svAhA  praNava  saMyuktam mantram SUdre dadat dvijaH |
   śūdro niraya gāmī syād dvijaḥ śūdro 'bhijāyate ||	SUdraH niraya  gAmI syAt dvijaH SUdraH aBijAyate ||
   ity āgama virodhāt | lakṣaṇāpatteś ca | vāñchitānāṃ svābhimatānāṃ phalānāṃ	iti Agama  viroDAt | lakzaNa ApatteH ca | vAQCitAnAm sva aBimatAnAm PalAnAm
   drāg eva jhaṭity eva dātā keṣu sarveṣu varṇeṣu brāhmaṇādiṣu sarvāśrameṣu	drAk eva Jawiti eva dAtA kezu sarvezu varNezu brAhmaNa Adizu sarva ASramezu
   brahmacāri prabhṛtiṣu nārīṣu nānāhvaya janmabheṣu nānā prakāra nāmasu	brahmacAri  praBRtizu nArIzu nAnA Ahva ya  janma Bezu nAnA  prakAra  nAmasu
   tahtā nānā prakāra janma nakṣatreṣu stasv apīty arthaḥ || KrdC_1.4 ||	tahtAH nAnA  prakAra  janma  nakzatrezu stasu api iti arTaH || Krdu _1.4 ||
   evaṃ saty api guru caraṇa śuśrūṣā paropasthitāya mantro deya iti vyanakti 	evam sati api guru caraNa  SuSrUzA  para upasTitAya mantraH deyaH iti vyanakti 
   nūnam acyuta kaṭākṣa pātena	nUnam acyuta  kawAkza  pAtena
   kāraṇaṃ bhavati bhaktir añjasā |	kAraNam Bavati BaktiH aQjasA |
   tac catuṣṭaya phalāptaye tato	tac catuzwaya  Pala Aptaye tatas 
   bhaktimān adhikṛto harau gurau // Krd_1.5 //	BaktimAn aDikRtaH harO gurO // KrD _1.5 //
   yasmān nūnaṃ niścitam acyuta kaṭākṣa pātena śrī kṛṣṇa kṛpāvalokane bhaktir	yasmAt nUnam niScitam acyuta  kawAkza  pAtena SrI kRzNa kRpA avalokane BaktiH 
   añjasā tattvataḥ kāraṇaṃ tatas tasmāt kāraṇāt tac catuṣṭaya phalāptaye	aQjasA tattvataH kAraNam tatas tasmAt kAraNAt tat catuzwaya  Pala Aptaye
   prasiddha dharmādi puruṣārtha catuṣṭaya rūpa phala prāpty arthaṃ harau	prasidDa  Darma Adi puruza arTa  catuzwaya  rUpa  Pala  prApti  arTam harO
   viṣṇau gurau mantra dātari ca bhakti yukta puruṣo dīkṣādāv adhikṛto	vizNO gurO mantra  dAtari ca Bakti yukta puruzaH dIkzA AdO aDikRtaH 
   'dhikārī bhavatīty arthaḥ | etena guru devatayor abhedena dhyānaṃ	aDikArI Bavati iti arTaH | etena guru  devatayoH aBedena DyAnam
   kartavyam iti sūcitam || KrdC_1.5 ||	kartavyam iti sUcitam || Krdu _1.5 ||
   adhunā pūjā kramam āha 	aDunA pUjA a kramam Aha 
   snāto nirmala śuddha sūksma vasano dhautāṅghri pāṇyānanaḥ	snAtaH nirmala  SudDa  sUksma vasanaH DOta aFGri pANi AnanaH
   svācāntaḥ sapavitra mudrita karaḥ śvetordhva puṇḍrojjvalaḥ |	su AcAntaH sa pavitra  mudrita  karaH Sveta UrDva  puNxra ujjvalaH |
   prācī dig vadano nibaddhya sudṛḍhaṃ padmāsanaṃ svastikaṃ	prAcI diS  vadanaH nibadDi a su dRXam padmAsanam svastikam
   vāsīnaḥ sva gurūn gaṇādhipam atho vandeta baddhāñjaliḥ // Krd_1.6 //	vA AsInaH sva  gurUn gaNADipam aTo vandeta badDAQjaliH // KrD _1.6 //
   snātaḥ sva gṛhyokta vidhinā āgamokta vidhināpīti kecit | nirmale viśade	snAtaH sva  gRhya ukta  viDinA Agama ukta  viDinA api iti kecid | nirmale viSade
   prakṣālite sūkṣme vastre yasya sa tathoktaḥ | dhauteti	prakzAlite sUkzme vastre yasya sa taTA uktaH | DOta iti
   prakṣālita pāṇi pāda vadanaḥ | svācāntaḥ smṛty ukta vidhinā kṛtācamanaḥ |	prakzAlita pANi  pAda  vadanaH | su AcAntaH smRti  ukta  viDinA kRta AcamanaH |
   sa pavitreti pavitra sahitaḥ mudrā yukta hastaḥ supavitreti pāṭhe	sa pavitrA iti pavitra  sahitaH mudrA  yukta hastaH su pavitra iti  pAWe
   atiśobhana pavitreṇa mudritaḥ mudrā sambaddho tilakenojjvalaḥ |	ati SoBana  pavitreNa mudritaH mudrA  sambadDaH tilakena ujjvalaH |
   prācī dig vadanaḥ pūrvābhimukhaḥ |	prAcI diS  vadanaH pUrva aBimuKaH |
   atra prāg vadanasya kaṇṭhoktatvāt prāg vadanaṃ mukhyaṃ tad asambhave	atra prAc  vadanasya kaNWa ukta tvAt prAc  vadanam muKyam tat  asamBave
   tūdaṅmukhatvaṃ rātrau tu sarva pūjāsvedodaṅmukhatvaṃ purāṇe ca	tu udaFmuKa tvam rAtrO tu sarva pUjA sveda udaFmuKa tvam purANe ca
   tathaivābhidhānāt | anantaraṃ sudṛḍhaṃ yathā syāt tathā padmāsanaṃ	taTA eva aBiDAnAt | anantaram su dRXam yaTA syAt taTA padmAsanam
   svastikaṃ vā kṛtvā | tatra padmāsanaṃ prasiddhaṃ, svastikaṃ lakṣaṇaṃ tu  	svastikam vA kRtvA | tatra padmAsanam prasidDaM, svastikam lakzaNam tu  
   jānūrvor antare samyak kṛtvā pāda tale ubhe |	jAnu UrvoH antare samyak kRtvA pAda tale uBe |
   ṛju kāya samāsīnaṃ svastikaṃ tat pracakṣate ||	Rju kAya samAsInam svastikam tat pracakzate ||
   āsīna upaviṣṭaḥ sva gurūn gaṇeśaṃ ca vandeta | atho śabdaś cārthe	AsInaH upavizwaH sva gurUn gaNeSam ca vandeta | aTo SabdaH ca arTe
   'nukta samuccayena tenāgre durgāṃ pṛṣṭhe kṣetra pālaṃ vandeta tad uktaṃ	anukta  samuccayena tena agre durgAm pRzWe kzetra pAlam vandeta tat uktam
   gautamīye vāme guruṃ dakṣiṇato gaṇeśaṃ durgāṃ puraḥ kṣetrapatiṃ ca paścāt	gOtamIye vAme gurum dakziNatas gaNeSam durgAm puras kzetra patim ca paScAt 
   | iti |	| iti |
   prayogaś ca guṃ gurbhyo namaḥ, gaṃ gaṇapataye namaḥ, duṃ durgāyai namaḥ,	prayogaH ca gum gurByaH namaH, gam gaNapataye namaH, dum durgAyE namaH,
   kṣeṃ kṣetrapālāya namaḥ | baddhāñjaliḥ kṛtāñjali puṭaḥ sann ity arthaḥ |	kzem kzetrapAlAya namaH | badDAQjaliH kRta aQjali puwaH san iti arTaH |
   atra śāradā tilakokta krameṇaitad boddhavyaṃ dakṣiṇe pūjā dravya sthāpanaṃ	atra SAradA tilaka ukta  krameNa etat bodDavyam dakziNe pUjA dravya  sTApanam
   vāme jala kumbha sthāpanaṃ pṛṣṭhe kara prakṣālana pātra sthāpanaṃ purato	vAme jala kumBa  sTApanam pRzWe kara  prakzAlana  pAtra  sTApanam puratas 
   dīpa cāmarādy upakaraṇa sthāpanam iti || KrdC_1.6 ||	dIpa  cAmara Adi  upakaraNa  sTApanam iti || KrdC_1.6 ||
   bhūta śuddheḥ pūrvaṃ kṛtyam āha 	BUta  SudDeH pUrvam kRtyam Aha 
   tato 'stra mantreṇa viśodhya pāṇī	tatas astra mantreNa viSoDya pANI
   tritāla dig bandha hutāśa śālān |	tritAla diS  banDa  hutASa  SAlAn |
   vidhāya bhūtātmakam etad aṅgaṃ	viDAya BUta Atmakam etat  aFgam
   viśodhayec chuddha matiḥ krameṇa // Krd_1.7 //	viSoDayet SudDa matiH krameNa // KrD _1.7 //
   tatas tad anantaraṃ bhūtātmakaṃ pṛthivyādi pañca mahābhūtamayam etad aṅgaṃ	tatas tad  anantaram BUta Atmakam pRTivI Adi  paQca  mahABUta mayam etat aFgam
   śarīraṃ śuddha matiḥ viśada matiḥ viśodhayed devatātmakaṃ kuryād ity	SarIram SudDa matiH viSada matiH viSoDayet devatA Atmakam kuryAt iti 
   arthaḥ | nādevo devam arcayed iti vacanāt | krameṇa vakṣyamāṇa prakāreṇa |	arTaH | na adevaH devam arcayet iti vacanAt | krameNa vakzyamANa  prakAreNa |
   kiṃ kṛtvā ? astra mantreṇaiva astrāya phaḍ ity anena	kim kRtvA ? astra mantreNa eva astrAya Paw iti anena
   tan mantrāṅgāstra mantreṇaiva vā, gandha puṣpābhyāṃ hastau saṃśodhya	tan  mantra aFga astra mantreNa eva vA, ganDa puzpAByAm hastO saMSoDya
   kara nyāsaṃ kṛtvāstra mantreṇaivordhvordhvaṃ tāla trayaṃ kuryāt | tad	kara nyAsam kRtvA astra mantreNa eva UrDva UrDvam tAla trayam kuryAt | tat 
   uktaṃ śāradāyām kara nyāsaṃ samāsādya kuryāt tāla trayaṃ tataḥ iti |	uktam SAradAyAm kara nyAsam samAsAdya kuryAt tAla  trayam tatas iti |
   anantaram astra mantreṇaiva choṭikayā daśa dig bandhanaṃ astra mantreṇaiva	anantaram astra mantreNa eva CowikayA daSa diS   banDanam astra mantreNa eva
   vahni prākāraṃ jalenātmanaḥ pariveṣṭana rūpaṃ vidhāya kṛtvā | atra	vahni  prAkAram jalena AtmanaH parivezwana  rUpam viDAya kRtvA | atra
   sampradāyaḥ hṛt padma karṇikā sthaṃ dīpa śikhā nibhaṃ jīvātmānaṃ haṃsa iti	sampradAyaH hRt  padma karNikA  sTam dIpa  SiKA  niBam jIva AtmAnam haMsaH iti
   mantreṇa suṣumṇā vartmanā mastakopari	mantreNa suzumNA a vartmanA mastaka upari
   sahasra dala kamalāvasthita paramātmani saṃyojya	sahasra dala  kamala avasTita parama Atmani saMyojya
   pṛthavy ādi pañca viṃśati tattvāni tatra vilīnāni vibhāvya bhūta śuddhiṃ	pRTavI  a Adi paQca viMSati  tattvAni tatra vilInAni viBAvya BUta  SudDim
   kuryāt || KrdC_1.7 ||	kuryAt || Krdu _1.7 ||
   bhūta śuddhim āha 	BUta  SudDim Aha 
   iḍā vaktre dhūmraṃ satata gati bījaṃ salavakaṃ	ixA vaktre DUmram satata gati  bIjam sa lavakam
   smaret pūrvaṃ mantro sakala bhuvanocchoṣaṇa karam |	smaret pUrvam mantraH sakala  Buvana ucCozaNa karam |
   svakaṃ dehaṃ tena pratata vapuṣāpūrya sakalaṃ	svakam deham tena pratata vapuzA pUrya sakalam
   viśoṣya vyāmuñcet pavanam atha mārgaṇa khamaṇeḥ // Krd_1.8 //	viSozya vyAmuQcet pavanam aTa mArgaNa  Ka maNeH // KrD _1.8 //
   iḍā vaktre vāma nāsā puṭe salavakaṃ bindu sahitaṃ satata gati bījaṃ	ixA vaktre vAma nAsA  puwe sa lavakam bindu  sahitam satata gati  bIjam
   vāyu bījaṃ yam iti rūpaṃ pūrvaṃ prathamaṃ mantrī sādhakaḥ smaret | kim	vAyu bIjam yam iti rUpam pUrvam praTamam mantrI sADakaH smaret | kim
   bhūtam ? dhūmraṃ kṛṣṇa varṇaṃ | punaḥ kimbhūtam ? sakaleti |	BUtam ? DUmram kRzNa  varNam | punar kimBUtam ? sakala iti |
   pañca bhūta maya deha śoṣakaṃ tathā ca vāma nāsā puṭena vāyum ākarṣan	paQca BUta  maya  deha  Sozakam taTA ca vAma nAsA  puwena vAyum Akarzan
   ṣoḍaś vāraṃ vāyu bījaṃ japed iti bhāvaḥ | anantaraṃ sakalaṃ sarvaṃ	zoxaS  vAram vAyu bIjam japet iti BAvaH | anantaram sakalam sarvam
   svakīyaṃ śarīraṃ tena bīja mayena vāyunā pratata vapuṣā	svakIyam SarIram tena bIja mayena vAyunA pratata vapuzA
   vistīrṇa śarīreṇāpūrya pūrayitvā deha stha vāyor bāhyenaikyaṃ vicintya	vistIrNa  SarIreNa ApUrya pUrayitvA deha sTa vAyoH bAhyena Ekyam vicintya
   viśoṣaṃ nītvā catuḥ ṣaṣṭhi vāraṃ vāyu bījaṃ kumbhakena japtvā khamaṇeḥ	viSozam nItvA catur  zazWi  vAram vAyu bIjam kumBakena japtvA KamaNeH
   sūryasya mārgeṇa piṅgalayā dakṣiṇa nāsā puṭena recanenaiva vāyu bījaṃ	sUryasya mArgeNa piFgalayA dakziNa nAsA  puwena recanena eva vAyu bIjam
   dvātriṃśad vāraṃ japan vāyuṃ vyāmuñcet tyajed ity arthaḥ || KrdC_1.8 ||	dvAtriMSat  vAram japan vAyum vyAmuQcet tyajet iti arTaH || Krdu _1.8 ||
   tenaiva mārgeṇa vilīna mārutaṃ	tena eva mArgeNa vilIna  mArutam
   bījaṃ vicintyāruṇam āśuśukṣaṇe |	bIjam vicintya aruNam ASu SukzaNe |
   āpūrya dehaṃ paridahya vāmato	ApUrya deham paridahya vAmatas 
   muñcet samīraṃ saha bhasmanā bahiḥ // Krd_1.9 //	muQcet samIram saha BasmanA bahis // KrD _1.9 //
   tenaiva kha maṇeḥ sūryasya mārgeṇa dakṣiṇa nāsā puṭena vilīnaḥ sambaddho	tena eva Ka maNeH sUryasya mArgeNa dakziNa nAsA  puwena vilInaH sambadDaH 
   māruto vāyur yatra tad āśuśukṣaṇer vahner bījaṃ ram iti aruṇam	mArutaH vAyuH yatra tat ASu SukzaNeH vahneH bIjam ram iti aruNam
   aruṇa varṇaṃ vicintya vāyunāpūrya tad bījasya ṣoḍaśa vāra japena pūrakaṃ	aruNa  varNam vicintya vAyunA ApUrya tad  bIjasya zoxaSa  vAra  japena pUrakam
   kṛtvānantaraṃ kumbhakena caturguṇaṃ raṃ bījaṃ japan dehaṃ paridahya	kRtvA anantaram kumBakena caturguNam raM bIjam japan deham paridahya
   tad ūrdhvaṃ ram iti dvātriṃśad vāraṃ japan vāmata iḍā mārgeṇa	tad  UrDvam ram iti dvAtriMSat  vAram japan vAmatas ixA  mArgeNa
   vāma nāsā puṭena bhasmanā saha bahiḥ samīraṃ vāyuṃ muñced ity arthaḥ ||	vAma nAsA  puwena BasmanA saha bahis samIram vAyum muQcet iti arTaH ||
   KrdC_1.9 ||	Krdu _1.9 ||
   utpattiṃ darśayati 	utpattim darSayati 
   ṭa param atīva śuddham amṛtāṃśu pathena vidhuṃ	wa param atIva SudDam amRta aMSu  paTena viDum
   nayatu lalāṭa candram amutaḥ sakalārṇa mayīm |	nayatu lalAwa candram amutas sakala arNa  mayIm |
   la para japān nipātya racayec ca tayā sakalaṃ	la para  japAn nipAtya racayet ca tayA sakalam
   vapur amṛtaugha vṛṣṭim atha vaktra karāṅgam idam // Krd_1.10 //	vapuH amRta oGa  vRzwim aTa vaktra kara aFgam idam // KrD _1.10 //
   ṭasya paraṣ ṭa paraḥ ṭha kāras tam atīva śuddhaṃ śvetaṃ vidhuṃ	wasya paraH wa paraH Wa kAraH tam atIva SudDam Svetam viDum
   candra bīja rūpam amṛtāṃśu pathena vāma nāsā puṭena ṣoḍaśa vāra japena	candra  bIja  rUpam amRta aMSu  paTena vAma nAsA  puwena zoxaSa  vAra  japena
   lalāṭa candraṃ brahma randhra stha candraṃ nayatu prāpayatu | nanu,	lalAwa candram brahma ranDra  sTa  candram nayatu prApayatu | nanu,
   sarva śarīrasya dagdhatvāt katham amṛtāṃśu pathena candra bīja nayanam iti	sarva  SarIrasya dagDa tvAt kaTam amRta aMSu  paTena candra bIja nayanam iti
   cen, na | pūrvoktasya bhāvanātmakatvāt | athānantaram amutaḥ amṛtāṃśor	cen, na | pUrva uktasya BAvanA Atmaka tvAt | aTa anantaram amutas amRtAMSoH 
   lalāṭa candrād brahma randhra stha śaśaṅkāt sakalārṇa mayīm mātṛkā mayīm	lalAwa candrAt brahma ranDra  sTa SaSaFkAt sakala arNa  mayIm mAtRkA  mayIm
   amṛta samūha vṛṣṭiṃ la paro va kāraḥ varuṇa bījam iti yāvat taj japena	amRta  samUha  vRzwim la paraH va kAraH varuNa bIjam iti yAvat taj  japena
   kumbhakena catuḥ ṣaṣṭhi vāra japena nipātya utpādya tathā mātṛkā mayyā	kumBakena catur  zazWi  vAra  japena nipAtya utpAdya taTA mAtRkA  mayyA
   vṛṣṭyā idaṃ sakalaṃ śarīraṃ racayed āracayet | kīdṛśam ? vapur	vRzwyA idam sakalam SarIram racayet Aracayet | kIdRSam ? vapuH 
