   bhogapuṇyarakṣā saptamaḥ paricchedaḥ	Boga-puNya-rakzA saptamaH paricCedaH
   yas tu khalu punaḥ śāriputrâbhiniṣkrāntagṛhâvāso bodhisatvas tena	yaH tu Kalu punar SAriputrâ-BinizkrAnta-gRhâvAsaH boDisatvaH tena
   dharmâsevitavyaḥ |	DarmâsevitavyaH |
   tan na tenâbhiyuktena bhavitavyam iti ||	tat na tenâBiyuktena Bavitavyam iti ||
   anyathā hy ekasaṃgrahârthaṃ mahataḥ satvarāśes tasya ca satvasya	anyaTA hi eka-saMgrahârTam mahataH satva-rASeH tasya ca satvasya
   bodhisatvâśayaparikarmântarāyān mahato 'rthasya hāniḥ kṛtā syād |	boDisatvâSaya-parikarmântarAyAt mahataH arTasya hAniH kRtA syAt |
   atâivôdārakuśalapakṣavivarjanatâpakṣālêty ucyate |	atâivô-dAra-kuSala-pakza-vivarjana-tâpakzAlêti ucyate |
   evaṃ tāvat tyāgapratiṣedhaḥ |	evam tAvat tyAga-pratizeDaH |
   atyāgapratiṣedho 'pi ||	atyAga-pratizeDaH api ||
   yathâryasāgaramatisūtre mahāyānântarāyeṣu bahulābhatā paṭhyate |	yaTârI-a-sAgaram-atisUtre mahAyAn-ântarAyezu bahu-lABatA paWyate |
   yo 'yaṃ vidhir ātmany uktaḥ so 'nyasminn api bodhisatve pratipādyêti kuto	yaH ayam viDiH Atmani uktaH saH anyasmin api boDisatve pratipAdyêti kuto
   gamyate |	gamyate |
   āryôgraparipṛcchāyāṃ deśitatvāt |	Ari-ôgra-paripRcCAyAm deSita-tvAt |
   parakṛtyakāritaḥ svakāryaparityāgêti ||	para-kRtya-kAritaH sva-kArya-parityAgêti ||
   tathâryavimalakīrtinirdeśe 'py uktaṃ |	taTârya-vimala-kIrti-nirdeSe api uktam |
   saṃsārabhayabhītena kiṃ pratisartavyam |	saMsAra-Baya-BItena kim pratisartavyam |
   āha |	Aha |
   saṃsārabhayabhītena mañjuśrīr bodhisatvena buddhamāhātmyaṃ pratisartavyaṃ	saMsAra-Baya-BItena maQjuSrIH boDisatvena budDa-mAhAtmyam pratisartavyam
   āha |	Aha |
   buddhamāhātmyasthātukāmena kutra sthātavyaṃ |	budDa-mAhAtmya-sTAtu-kAmena kutra sTAtavyam |
   āha |	Aha |
   buddhamāhātmye sthātukāmena sarvasatvasamatāyāṃ sthātavyaṃ |	budDa-mAhAtmye sTAtu-kAmena sarva-satva-samatAyAm sTAtavyam |
   āha |	Aha |
   sarva-	sarva-
   [ Cambridge MS f72a ---> ]	[ Cambridge M f72aH ---> ]
   satvasamatāyāṃ sthātukāmena kutra sthātavyaṃ |	satva-samatAyAm sTAtu-kAmena kutra sTAtavyam |
   āha |sarvasatvasamatāyāṃ sthātukāmena sarvasatvapramokṣāya sthātavyam iti	Aha |sarva-satva-samatAyAm sTAtu-kAmena sarva-satva-pramokzAya sTAtavyam iti
   tathā ca dharmasaṅgītau sārthavāho bodhisatvâha |	taTA ca Darma-saFgItO sArTavAhaH boDisatvâha |
   yo bhagavan bodhisatvaḥ sarvasatvānāṃ prathamataraṃ bodhim icchati	yaH Bagavan boDisatvaH sarva-satvAnAm praTamataram boDim icCati
   nâtmanaḥ |	nâtmanaH |
   yāvad iyaṃ bhagavan dharmasaṅgītir iti ||	yAvat iyam Bagavan Darma-saFgItiH iti ||
   utsargād eva câsya svârthâbhāvaḥ siddhaḥ |	utsargAt eva ca-asya svârTâBAvaH sidDaH |
   kiṃ tu satvârthahānibhayād ayogye satve subharaṃ nâropayati |	kim tu satvârTa-hAni-BayAt ayogye satve su-Baram nâropayati |
   yatra tu satvârthahāniṃ na paśyati tatra svayaṃ kṛtam anyena vā jagad	yatra tu satu-ârTa-hAnim na paSyati tatra svayam kRtam anyena vA jagad
   dhitam ācaritam iti	Ditam Acaritam iti
   [ Bendall ed p146 ---> ]	[ Bet-dalt ed p146 ---> ]
   ko viśeṣo |	kaH viSezaH |
   yad ayam aparabodhisatvakuśalasiddhaye na svakuśalam utsṛjati |	yat ayam apara-boDisatva-kuSala-sidDaye na sva-kuSalam utsRjati |
   atha svadurgatiduṣkha-d bibheti |	aTa sva-durgati-duzKa-t biBeti |
   dvitīyasyâpi tad eva duṣkhaṃ |	dvitIyasi-âpi tat eva duzKam |
   atha tadduṣkhena me bādhā nâstîty upekṣate |	aTa tad-duzKena me bADAH nâstîti upekzate |
   yathôktaiḥ sūtraiḥ sâpattiko bhavati ||	yaTôktEH sUtrEH sâpattikaH Bavati ||
   yathā ca ratnakūṭasūtre |	yaTA ca ratnakUwa-sUtre |
   catvārême kāśyapa bodhisatvapratirūpakêty ārabhyôktaṃ |	catvArême kASyapa boDisatva-pratirUpakêti AraByôktam |
   ātmasukhârthiko bhavati na sarvasatvaduṣkha apanayanârthikêti ||	Atma-suKârTikaH Bavati na sarva-satva-duzKa apanayanârTikêti ||
   tasmād ugraparipṛcchāvidhinā pūrvavad ātmā garhaṇīyaḥ eṣā tu	tasmAt ugra-paripRcCA-viDinA pUrvavat AtmA garhaNIyaH ezA tu
   bodhisatvaśikṣā yathâryanirārambheṇa dharmasaṅgītisūtre nirdiṣṭā |	boDisatva-SikzA yaTârI-a-nirAramBeNa Darma-saFgI-iti-sUtre nirdizwA |
   kathaṃ kulaputrāḥ pratipattisthīta veditavyāḥ |	kaTam kula-putrAH pratipatti-sTIta veditavyAH |
   āha |	Aha |
   yadā satveṣu na vipratipadyante |	yadA satvezu na vipratipadyante |
   āha |	Aha |
   kathaṃ satveṣu na vipratipadyante |	kaTam satvezu na vipratipadyante |
   āha |	Aha |
   yan maitrīṃ ca mahākaruṇāṃ ca na tyajanti |	yat mEtrIm ca mahA-karuNAm ca na tyajanti |
   subhūtir āha |	suBUtiH Aha |
   katamā bodhisatvānāṃ mahāmaitrī |	katamA boDisatvAnAm mahA-mEtrI |
   āha |	Aha |
   yat kāyajīvitaṃ ca sarvakuśalamūlaṃ ca sarvasatvānāṃ niryātayanti na ca	yat kAya-jIvitam ca sarva-kuSala-mUlam ca sarva-satvAnAm niryAtayanti na ca
   pratikāraṃ kāṅkṣanti |	pratikAram kAFkzanti |
   āha |	Aha |
   katamā bodhisatvānāṃ mahākaruṇā |	katamA boDisatvAnAm mahA-karuNA |
   yat pūrvataraṃ satvānāṃ bodhim icchanti nâtmanêti ||	yat pUrvataram satvAnAm boDim icCanti nâtmanêti ||
   atrâiva câha |	atrâiva câha |
   mahākaruṇāmūlāḥ sarvabodhisatvaśikṣêti |	mahA-karuNA-mUlAH sarva-boDisatva-Sikzêti |
   avaśyaṃ ca bhagavatêdaṃ na nivāraṇīyaṃ |	avaSyam ca Bagavatêdam na nivAraNIyam |
   anyatarabodhisatvârthe na	anyatara-boDisatvârTe na
   [ Cambridge MS f72b ---> ]	[ Cambridge M f72B ---> ]
   arthitvād avaśyaṃ tûpadiśatîti niścīyate |	arTi-tvAt avaSyam tûpadiSatîti niScIyate |
   yena dātur mahādakṣiṇīye mahârthadānān mahāpuṇyasāgaravistaro dṛśyate |	yena dAtuH mahA-dakziNIye mahârTa-dAnAt mahA-puNya-sAgara-vistaraH dRSyate |
   anyathā tu kevalam eva vighātino maraṇaṃ syāt ||	anyaTA tu kevalam eva viGAtinaH maraNam syAt ||
   yat tu praśāntaviniścayaprātihāryasūtre deśitam |	yat tu praSAnta-viniScaya-prAtihArya-sUtre deSitam |
   yâiṣa te mahārāja varṣaśatasahasreṇa parivyayo 'tra praviṣṭaḥ sa sarvaḥ	yâiza te mahA-rAja varza-Sata-sahasreNa parivyayaH atra pravizwaH sa sarvaH
   piṇḍīkṛtyâikasya bhikṣor yātrā bhaved evaṃ pratyekaṃ sarvabhikṣūṇāṃ |	piNxIkRtyâikasya BikzoH yAtrA Bavet evam pratyekam sarva-BikzUNAm |
   yaś côddeśasvâdhyāyâbhiyukto bodhisatvaḥ sagauravo dharmaka-maḥ	yaH côt-deSa-su-âDyAyâBiyuktaH boDisatvaH sa-gOravaH Darmaka-maH
   śraddhādeyam āhāraṃ parigṛhyâivaṃ cittam utpādayet |	SradDA-deyam AhAram parigRhyâivam cittam utpAdayet |
   anenâhaṃ dharmaparyeṣṭim āpatsyae iti |	anenâham Darma-paryezwim Apatsyae iti |
   asya kuśalasyâiṣa deyadharmaparityāgaḥ śatatamīm api kalāṃ nôpaitîti ||	asya kuSalasyâiza deya-Darma-parityAgaH SatatamIm api kalAm nôpEtîti ||
   tad gṛhasukhapaliśuddham adhikṛtyôktaṃ |	tat gRha-suKa-pali-SudDam aDikRti-ôktam |
   na tu pūrvôktavidhinā kaścid doṣaḥ ||	na tu pUrvôkta-viDinA kaScid dozaH ||
   ukto samāsatā bhogarakṣā |	uktaH samAsa-tA Boga-rakzA |
   puṇyarakṣā vācyā |	puNya-rakzA vAcyAH |
   tatra svârthavipākavaitṛṣṇyāc chubhaṃ saṃrakṣitaṃ bhavet ||	tatra svârTa-vipAka-vEtRzNyAt SuBam saMrakzitam Bavet ||
   [ Bendall ed p147 ---> ]	[ Bet-dalt ed p147 ---> ]
   yathôktaṃ nārāyaṇaparipṛcchāyāṃ |	yaTôktam nArAyaNa-paripRcCAyAm |
   sa nâtmahetoḥ śīlaṃ rakṣati |	sa nâtma-hetoH SIlam rakzati |
   na svargahetoḥ |	na svarga-hetoH |
   na śakratvahetoḥ |	na Sakra-tva-hetoH |
   na bhogahetoḥ |	na Boga-hetoH |
   nâiśvaryahetoḥ |	nâiSvarya-hetoH |
   na rūpahetor na varṇahetor na yaśohetoḥ |	na rUpa-hetoH na varNa-hetoH na yaSaH-hetoH |
   pe ||	pe ||
   na nirayabhayabhi-taḥ śīlaṃ rakṣati |	na niraya-Baya-Bi-taH SIlam rakzati |
   pe ||	pe ||
   evaṃ na tiryagyonibhayabhītaḥ śīlaṃ rakṣati |	evam na tiryagyoni-Baya-BItaH SIlam rakzati |
   anyatra buddhanetrīpratiṣṭhāpanāya śīlaṃ rakṣati |	anyatra budDa-netrI-pratizWApanAya SIlam rakzati |
   yāvat sarvasatvahitasukhayogakṣemârthikaḥ śīlaṃ rakṣati ||	yAvat sarva-satva-hita-suKa-yogakzemârTikaH SIlam rakzati ||
   sâivaṃrūpeṇa śīlaskandhena samanvāgato bodhisatvo daśabhir dharmair na	sâivaMrUpeNa SIla-skanDena samanvAgataH boDisatvaH daSaBiH DarmEH na
   hīyate |	hIyate |
   katamair daśabhiḥ |	katamEH daSaBiH |
   yad uta na cakravartirājyāt parihīyate |	yat uta na cakravarti-rAjyAt parihIyate |
   tatra ca bhavaty apramatto bodhipratikāṅkṣī buddhadarśanam abhikāṅkṣate |	tatra ca Bavati apramattaH boDi-pratikAFkzI budDa-darSanam aBikAFkzate |
   evaṃ brahmatvād buddhadarśanâbhedyapratilambhād dharmaśravaṇān na	evam brahma-tvAt budDa-darSanâ-Bedya-pratilamBAt Darma-SravaNAt na
   parihīyate |	parihIyate |
   yāvad yathāśrutapratipattisaṃpādanāya bodhisatvasaṃvarasamādānān na	yAvat yaTA-Sruta-pratipatti-saMpAdanAya boDisatva-saMvara-samAdAnAt na
   parihīyate |	parihIyate |
   anāchedyaprati-	anACedya-prati-
   [ Cambridge MS f73a ---> ]	[ Cambridge M f73aH ---> ]
   bhānāt sarvakuśaladharmaprārthanadhyānān na parihīyate ||evaṃ	BAnAt sarva-kuSala-Darma-prArTana-DyAnAt na parihIyate ||evam
   śīlaskandhapratiṣṭhito bodhisatvo mahāsatvaḥ sadā namaskṛto bhavati devaiḥ	SIla-skanDa-pratizWitaH boDisatvaH mahAsatvaH sadA namaskRtaH Bavati devEH
   sadā praśaṃsito bhavati nāgaiḥ |	sadA praSaMsitaH Bavati nAgEH |
   sadā namaskṛto bhavati yakṣaiḥ |	sadA namaskRtaH Bavati yakzEH |
   sadā pūjito bhavati gandharvaiḥ sadâpacāyitaś ca bhavati	sadA pUjitaH Bavati ganDarvEH sat-âpacAyitaH ca Bavati
   nāgêndrâsurêndraiḥ |	nAgêndrâ-surêndrEH |
   sadā sumānitaś ca bhavati brāhmaṇakṣatriya śreṣṭhigṛhapatibhiḥ |	sadA sumAnitaH ca Bavati brAhmaNa-kzatriya SrezWi-gRhapatiBiH |
   sadâbhigamanīyaś ca bhavati paṇḍitaiḥ |	sadâBi-gamanIyaH ca Bavati paNxitEH |
   sadā samanvāhṛtaś ca bhavati buddhaiḥ |	sadA samanvAhRtaH ca Bavati budDEH |
   śāstṛsaṃmataś ca bhavati sadevakasya lokasyânukampakaś ca bhavati	SAstR-saMmataH ca Bavati sa-devakasya lokasyânukampakaH ca Bavati
   sarvasatvānāṃ ||	sarva-satvAnAm ||
   pe ||	pe ||
   catasro gatīr na gacchati |	catasraH gatIH na gacCati |
   katamāś catasro |	katamAH catasraH |
   yad utâkṣaṇagatiṃ na gacchaty anyatra satvaparipākāt |	yat utâkzaNa-gatim na gacCati anyatra satva-paripAkAt |
   buddhaśūnyabuddhakṣetraṃ na gacchati |	budDa-SUnya-budDa-kzetram na gacCati |
   mithyādṛṣṭikulôpapattiṃ na gacchati |	miTyA-dRzwi-kulôpa-pattim na gacCati |
   sarvadurgatigatiṃ na gacchati ||	sarva-durgati-gatim na gacCati ||
   evaṃ pūrvôtsṛṣṭasyâpi puṇyasya kleśavaśāt punar*upādīyamānasya rakṣā kāryā	evam pUrvôt-sRzwasi-âpi puNyasya kleSa-vaSAt punar-*upAdIyamAnasya rakzA kAryA
   puṇyadānād api yat puṇyaṃ tato 'pi na vipākaḥ prārthanīyo 'nyatra	puNya-dAnAt api yat puNyam tatas api na vipAkaH prArTanIyaH anyatra
   parârthāt |	parârTAt |
   kiṃ ca puṇyaṃ rakṣitukāmaḥ |	kim ca puNyam rakzitu-kAmaH |
   paścāt tāpaṃ na kurvīta ||	paScAt tApam na kurvIta ||
   yathôktam ugraparipṛcchāyāṃ |	yaTôktam ugra-paripRcCAyAm |
   dattvā ca na vipratisāracittam utpādayitavyam iti ||	dattvA ca na vipratisAra-cittam utpAdayitavyam iti ||
   [ Bendall ed p148 ---> ]	[ Bet-dalt ed p148 ---> ]
   pṛṣṭhadaurbalyād daurbalyaṃ |	pRzWa-dOrbalyAt dOrbalyam |
   vipratisārāt pāpavat puṇyasyâpi kṣayaḥ syād ity abhiprāyaḥ |	vipratisArAt pApa-vat puNyasi-âpi kzayaH syAt iti aBiprAyaH |
   na ca kṛtvā prakāśayed |	na ca kRtvA prakASayet |
   anekaparyāyeṇa hi bhagavatā prachannakalyāṇatā |	aneka-paryAyeNa hi BagavatA praCanna-kalyANa-tA |
   vivṛtapāpatā varṇitā |	vivRta-pApa-tA varNitA |
   tatra vivṛtasay kṣayo gamyate |	tatra vivRta-say kzayaH gamyate |
   pāpasya daurmanasyenâiva puṇyasya saumanasyenâpattiḥ satvârthaṃ	pApasya dOrmanasyenâiva puNyasya sOmanasya-inâpattiH satu-ârTam
   nirāmiṣacittasya prakāśayataḥ ||	nirAmiza-cittasya prakASayataH ||
   yathā ratnameghe vaidyadṛṣṭântenâtmôtkarṣo nirdoṣôktaḥ |	yaTA ratna-meGe vEdya-dRzwântenâtmôtkarzaH nirdozôktaH |
   punaḥ puṇyarakṣā kāmo lābhasatkārabhītaḥ syād unnatiṃ varjayet sadā |	punar puNya-rakzA kAmaH lABa-satkAra-BItaH syAt unnatim varjayet sadA |
   bodhisatvo prasannaḥ syād dharme vimatim utsṛjet ||	boDisatvaH prasannaH syAt Darme vimatim utsRjet ||
   idaṃ ca ratnakūṭe 'bhihitaṃ |	idam ca ratnakUwe aBihitam |
   caturbhiḥ kāśyapa dharmaiḥ samanvāgatasya bodhisatvasyôtpannôtpannāḥ	caturBiH kASyapa DarmEH samanvAgatasya boDisatvasyôt-pannôt-pannAH
   [ Cambridge MS f73b ---> ]	[ Cambridge M f73B ---> ]
   kuśalā dharmāḥ parihīyante |	kuSalAH DarmAH parihIyante |
   yaiḥ caturbhir muktāḥ na vardhante kuśaladharmaiḥ |	yEH caturBiH muktAH na varDante kuSala-DarmEH |
   katamaiś caturbhiḥ |	katamEH caturBiH |
   yad utâbhimānikasya lokâyatamantraparyeṣṭyā |	yat utâBimAnikasya lokâyata-mantra-paryezwyA |
   lābhasatkārâdhyavasitasya kulapratyavalokanena |	lABa-satkArâDyavasitasya kula-pratyavalokanena |
   bodhisatvavidveṣâbhyākhyānena |	boDisatva-vidvezâBi-a-AKyAnena |
   aśrutānām anirdiṣṭānāṃ ca sūtrântānāṃ pratikṣepeṇêti ||	aSrutAnAm anirdizwAnAm ca sUtrântAnAm pratikzepeNêti ||
   āryasarvâstivādānāṃ ca paṭhyate |	Arya-sarvâstivAdAnAm ca paWyate |
   paśyadhvaṃ bhikṣavâitaṃ bhikṣuṃ keśanakhastūpe sarvâṅgena praṇipatya	paSyaDvam Bikzavâitam Bikzum keSa-naKa-stUpe sarvâFgena praNipatya
   cittam abhiprasādayantam |evaṃ bhadanta |	cittam aBiprasAdayantam |evam Badanta |
   anena bhikṣavo bhikṣuṇā yāvatī bhūmir ākrāntâdharaśītiyojanasahasrāṇi	anena BikzavaH BikzuNA yAvatI BUmiH AkrAntâ-Dara-SIti-yojana-sahasrANi
   yāvat kāñcanacakraṃ |	yAvat kAQcana-cakram |
   atrântare yāvantyā vālikās tāvanty- anena bhikṣuṇā	atrântare yAvantyAH vAlikAH tAvanty anena BikzuNA
   cakravartirājyasahasrāṇi paribhoktavyāni |	cakravarti-rAjya-sahasrANi pariBoktavyAni |
   yāvad athâyuṣmān upālir yena bhagavān tenâñjaliṃ praṇamya bhagavantam idam	yAvat aTâ-yuzmAn upAliH yena BagavAn tenâQjalim praNamya Bagavantam idam
   avocat |	avocat |
   yad uktaṃ bhagavatâsya bhikṣor evaṃ mahānti kuśalamūlāni |	yat uktam Bagavatâsya BikzoH evam mahAnti kuSala-mUlAni |
   kutrêmāni bhagavan kuśalamūlāni tanutvaṃ parikṣayaṃ paryādānaṃ gacchanti |	kutrêmAni Bagavan kuSala-mUlAni tanu-tvam parikzayam paryAdAnam gacCanti |
   nâham upāle evaṃ	nâham upAle evam
   [ Bendall ed p149 ---> ]	[ Bet-dalt ed p149 ---> ]
   kṣatiṃ côpahatiṃ ca samanupaśyāmi |	kzatim côpahatim ca samanupaSyAmi |
   yathā sabrahmacārī sabrahmacāriṇo 'ntike duṣṭacittam utpādayati |	yaTA sa-brahmacArI sabrahmacAriNaH antike duzwa-cittam utpAdayati |
   atrôpāle imāni mahānti kuśalamūlāni tanutvaṃ parikṣayaṃ paryādānaṃ	atrôpAle imAni mahAnti kuSala-mUlAni tanu-tvam parikzayam paryAdAnam
   gacchanti |	gacCanti |
   tasmāt tarhy upāle evaṃ śikṣitavyaṃ yad dagdhasthūṇāyām api cittaṃ na	tasmAt tarhi upAle evam Sikzitavyam yat dagDa-sTUNAyAm api cittam na
   pradūṣayiṣyāmaḥ |	pradUzayizyAmaH |
   prāg eva savijñānake kāyêti ||	prAk eva sa-vijQAnake kAyêti ||
   āryamañjuśrīvikrīḍitasūtre 'py āha |	Arya-maQju-SrI-vikrIxita-sUtre api Aha |
   pratighaḥ pratighêti kalpaśatôpacitaṃ kuśalamūlaṃ pratihanti tenôcyate	pratiGaH pratiGêti kalpa-Satôpacitam kuSala-mUlam pratihanti tet-ôcyate
   pratighêti ||	pratiGêti ||
   āryagaṇḍavyūhasūtre ca samantasatvaparitrāṇy ojasaḥ striyā rātridevatayā	Arya-gaNxa-vyUha-sUtre ca samantasatva-paritrANi ojasaH striyAH rAtri-devatayA
   pūrvâvadānaṃ kathayantyâbhihitaṃ |	pUrvâvadAnam kaTayanti-âBihitam |
   te tenânyonyâvamanyanâsamuditenâkuśalamūlenâyuḥpramāṇād api parihīyante	te tenânyonyâ-vamanI-anâ-samuditenâ-kuSala-mUlenâyuH-pramANAt api parihIyante
   sma |	sma |
   varṇād api balād api parihīyante smêti |	varNAt api balAt api parihIyante smêti |
   atra ca na kadācid unnatiḥ kāryêti pradarśanârthaṃ sadêty u-	atra ca na kadAcid unnatiH kAryêti pradarSanârTam sat-êti u-
   [ Cambridge MS f74a ---> ]	[ Cambridge M f74aH ---> ]
   cyate ||	cyate ||
   lābhasatkāras tu kadācid abhyupagamyate 'pi |	lABa-satkAraH tu kadAcid aByupagamyate api |
   yathôktaṃ āryaratnameghe |	yaTôktam Arya-ratna-meGe |
   iha kulaputra bodhisatvaḥ sumerumātram api ratnarāśiṃ labhamānaḥ	iha kula-putra boDisatvaH sumeru-mAtram api ratna-rASim laBamAnaH
   pratigṛhṇāti |	pratigRhNAti |
   pratyavaram api vastu pratilabhamānaḥ |	pratyavaram api vastu pratilaBamAnaH |
   tat kasya hetoḥ |	tat kasya hetoH |
   tasyâivaṃ bhavati |	tasyâivam Bavati |
   ete satvā matsariṇo lubdhā lobhâbhibhūtāḥ |	ete satvAH matsariNaH lubDAH loBâBiBUtAH |
   taddhetoḥ tatpratyayaṃ tannidānaṃ mahāvāriskandhâvaṣṭabdêva saṃsārasāgare	tad-hetoH tad-pratyayam tat-nidAnam mahA-vAri-skanDâvazwabdêva saMsAra-sAgare
   unmajjanimajjanaṃ ku-	unmajja-nimajjanam ku-
   [ Bendall ed p150 ---> ]	[ Bet-dalt ed p150 ---> ]
   rvanti |	rvanti |
   tad eṣāṃ bhaviṣyati dīrgharātram arthāya hitāya sukhāya |	tat ezAm Bavizyati dIrGarAtram arTAya hitAya suKAya |
   sarvaṃ pratigṛhya na svīkaroti |	sarvam pratigRhya na svIkaroti |
   na lobhacittam utpādayati |	na loBa-cittam utpAdayati |
   anyatra sarvasatvasādhāraṇāṃ buddhadharmasaṃgheṣu kārāṃ karoti |	anyatra sarva-satva-sADAraNAm budDa-Darma-saMGezu kArAm karoti |
   yathā duṣkhitānāṃ ca sarvasatvānām upajīvyaṃ karoti |taṃ ca dānapatiṃ	yaTA duzKitAnAm ca sarva-satvAnAm upajIvyam karoti |tam ca dAnapatim
   samuttejayati saṃpraharṣayatîti ||	samuttejayati saMpraharzayatîti ||
   tathâtrâivôktaṃ |	taTâtrâivôktam |
