   Udīcya Śyāmilaka: Pāḍatāḍitaka	UdIcya ŚyAmilaka: PAxa-tAxitaka
   3 (a) idam iha padaṃ mā bhūd evaṃ bhavatv idam anyathā	3 (a) idam iha padam mA BUt evam Bavatu idam anyaTA
   (b) kṛtam idam ayaṃ granthenārtho mahān upapāditaḥ	(b) kRtam idam ayam granTena-arTaH mahAn upapAditaH
   (c) iti manasi yaḥ kāvyārambhe kaver bhavati śramaḥ	(c) iti manasi yaH kAvya-AramBe kaveH Bavati SramaH
   (d) sanayanajalo romodbhedaḥ satāṃ tam apohati	(d) sa-nayana-jalaH romodBedaH satAm tam apohati
   kutaḥ	kutas-
   4 (a) nirgamyatāṃ bakabiḍālasamapracārair	4 (a) nirgamyatAm baka-bixAla-sama-pracArEH-
   (b) āryaiś ca rājasacivaiḥ śamavṛttibhiś ca	(b) AryEH ca rAja-sacivEH Sama-vRttiBiH ca
   (c) tiṣṭhantu ḍiṇḍikavinarmakalāvidagdhā	(c) tizWantu xiNxika-vinarma-kalA-vidagDA
   (d) nirmakṣikaṃ madhu pipāsati dhūrtagoṣṭhī	(d) nirmakzikam maDu pipAsati DUrta-gozWI
   kutaḥ	kutas-
   5 (a) na prāpnuvanti yatayo ruditena mokṣaṃ	5 (a) na prApnuvanti yatayoH ruditena mokzam
   (b) svargāyatiṃ na parihāsakathā ruṇaddhi	(b) svarga-Ayatim na parihAsa-kaTA ruNadDi
   (c) tasmāt pratītamanasā hasitavyam eva	(c) tasmAt pratIta-manasA hasitavyam eva
   (d) vṛttiṃ budhena khalu kaurukucīṃ vihāya	(d) vRttim buDena Kalu kOrukucIm vihAya
   ko nu khalu mayi vijñāpanāvyagre śabda iva śrūyate (karṇaṃ dattvā) hanta	kaH nu Kalu mayi vijQApana-avyagre SabdaH iva SrUyate (karNam dattvA) hanta
   vijñātam eṣa hi sa viṭamaṇḍapaṃ praviśya dhūrtacākrikaḥ khalatiśyāmilako	vijQAtam eza hi sa viwa-maNxapam praviSya DUrta-cAkrikaH KalatiSyAmilakaH-
   ghaṇṭām āhatya ghoṣayati ya eṣaḥ	GaNwAm Ahatya Gozayati yaH ezaH
   [p.67] 6 (a) vyatikarasukhabhedaḥ kāminīkāmukānāṃ	[p.67] 6 (a) vyatikara-suKa-BedaH kAminI-kAmukAnAm
   (b) divasasamayadūto dundubhīnāṃ purodhāḥ	(b) divasa-samaya-dUtaH dunduBInAm puroDAH
   (c) kalam uṣasi kharatvād yasya kaṇṭhīravāṇāṃ	(c) kalam uzasi Kara-tvAt yasya kaNWIravANAm
   (d) balavad abhinadanto gardabhā nānuyānti	(d) balavat aBinadantaH gardaBAH na-anuyAnti
   kiṃ ca tāvad anena ghuṣyate (karṇaṃ dattvā) (naipathye)	kim ca tAvat anena Guzyate (karNam dattvA) (nEpaTye)
   7 (a) jayati madanasya ketuḥ	7 (a) jayati madanasya ketuH
   kāntaṃ praty udyato vilāsinyāḥ	kAntam prati udyataH vilAsinyAH
   (b) śirasā prārthayitavyaḥ	(b) SirasA prArTayitavyaH
   sālaktakanūpuraḥ pādaḥ	sa-alaktaka-nUpuraH pAdaH
   (niṣkrāntaḥ)	(nizkrAntaH)
   (sthāpanā)	(sTApanA)
   (tataḥ praviśati viṭaḥ)	(tatas praviSati viwaH)
   vi -- mā tāvad bhoḥ -- kim atra ghoṣayitavyam yad evam	vi - mA tAvat BoH - kim atra Gozayitavyam yat evam
   8 (a) praṇayakalahodyatena	8 (a) praNaya-kalaha-udyatena
   srastāṃśukadarśitorumūlena	srasta-aMSuka-darSita-Uru-mUlena
   (b) jitam eva madakalāyā	(b) jitam eva mada-kalAyA
   nūpuramukhareṇa pādena	nUpura-muKareNa pAdena
   aye kenaitad dhasitam (vilokya) dadruṇamādhavo 'py atraiva aṃgho	aye kena-etat Dasitam (vilokya) dadruNa-mADavaH api atra-eva aMGaH-
   dadruṇamādhava kim atra hāsyasthānam kiṃ bravīṣi - pratyakṣaṃ hi me tad	dadruNa-mADava kim atra hAsya-sTAnam kim bravIzi  pratyakzam hi me tat-
   yad atīte 'hani tatrabhavatyā surāṣṭrāṇāṃ vāramukhyayā samadanayā	yat atIte ahani tatraBavatyA surAzwrANAm vAramuKyayA sa-madanayA
   madanasenikayā tatrabhavāṃs tauṇḍikokir viṣṇunāgaś caraṇakamalena śirasy	madana-senikayA tatraBavAn tONxikokiH vizNu-nAgaH caraNa-kamalena Sirasi-
   anugṛhīta iti suṣṭhu khalv idam ucyate - eti jīvantam ānando naraṃ	anugRhItaH iti suzWu Kalu idam ucyate  eti jIvantam AnandaH naram
   varṣaśatād	varza-SatAd
   [p.68] apīti viṣṇunāgo 'pi nāmaivaṃ sarvakāmijanasādhāraṇaṃ	[p.68] api-iti vizNu-nAgaH api nAma-evam sarva-kAmi-jana-sADAraNam
   caraṇatāḍanasaṃjñakaṃ śirasy abhiṣekaṃ prāptavān kiṃ bravīṣikuto 'sya tāni	caraNa-tAxana-saMjQakam Sirasi aBizekam prAptavAn kim bravIzikutaH asya tAni
   bhāgadheyāni yaḥ sa īdṛśānāṃ praṇayakalahotsavānāṃ pātraṃ bhaviṣyati sa hi	BAgaDeyAni yaH saH IdRSAnAm praNaya-kalaha-utsavAnAm pAtram Bavizyati sa hi
   tasyā veśadevatāyās taṃ saṃmānaviśeṣam avamānaṃ manyamānaḥ	tasyAH veSa-devatAyAH tam saMmAna-viSezam avamAnam manyamAnaH
   krodhaparivyaktanayanarāgaḥ prasphuritabhrukuṭīvakraṃ lalāṭaṃ kṛtvā śiro	kroDa-parivyakta-nayana-rAgaH prasPurita-BrukuwI-vakram lalAwam kRtvA SiraH-
   vinirdhūya daśanair oṣṭham abhidaśya pāṇinā pāṇim abhihatya dīrghaṃ	vinirDUya daSanEH ozWam aBidaSya pANinA pANim aBihatya dIrGam
   niḥśvasyoktavān hā dhik puṃścali, anātmajñe, yayā tvayā mamāsmin	niHSvasya-uktavAn hA Dik puMScali, anAtma-jQe, yayA tvayA mama-asmin
   9 (a) prayatakarayā mātrā yatnāt prabaddhaśikhaṇḍake	9 (a) prayata-karayA mAtrA yatnAt prabadDa-SiKaNxake
   (b) caraṇavinate pitrāghrāte śiśur guṇavān iti	(b) caraNa-vinate pitR-AGrAte SiSuH guNavAn iti
   (c) sakusumalavaiḥ śāntyambhobhir dvijātibhir ukṣite	(c) sa-kusuma-lavEH SAnti-amBoBiH dvijAtiBiH ukzite
   (d) śirasi caraṇo nyasto garvān na gauravam īkṣitam	(d) Sirasi caraNaH nyastaH garvAn na gOravam Ikzitam
   evaṃ cānenoktā virajyamānasaṃdhyārāgeva rajani varṇāntaram upagatā	evam ca-anena-uktA virajyamAna-saMDyA-rAgA-iva rajani varNa-antaram upagatA
   atiprabhātacandraniṣprabhaṃ vadanam udvahantī 10 (a) vyapagatamadarāgā	ati-praBAta-candra-nizpraBam vadanam udvahantI 10 (a) vyapagata-mada-rAgA
   bhraśyamānopacārā	BraSyamAna-upacArA
   (b) kim idam iti viṣādāt svinnasarvāṅgayaṣṭiḥ	(b) kim idam iti vizAdAt svinna-sarva-aFga-yazwiH
   (c) bhayavigalitaśobhā vāntapuṣpeṇa mūrdhnā	(c) Baya-vigalita-SoBA vAnta-puzpeNa mUrDnA
   (d) na punar iti vadantī pādayos tasya lagnā	(d) na punar iti vadantI pAdayoH tasya lagnA
   praṇipātāvanatā cānena nirdhūyoktā carṣaṇi, mā sprākṣīḥ, kardanena na māṃ	praNipAta-avanatA ca-anena nirDUya-uktA ca-rzaNi, mA sprAkzIH, kardanena na mAm
   ḍhaukitum arhasīti kaṣṭaṃ bhoḥ, kokilā khalu kauśikam anuvartate	XOkitum arhasi-iti kazwam BoH, kokilA Kalu kOSikam anuvartate
   madanasenikāpi taṃ puruṣavetālaṃ	madana-senikA-api tam puruza-vetAlam
   [p.69] kadaryam apavīryam anuvartata iti bhavati me vismayaḥ bhavati ca	[p.69] kadaryam apavIryam anuvartate iti Bavati me vismayaH Bavati ca
   punar mahāmātraputro rājñaḥ śāsanādhikṛta iti dānakāmāv upekṣate	punar mahAmAtra-putraH rAjQaH SAsana-aDikRtaH iti dAna-kAmO upekzate
   śabdakāmāḥ khalv etā bhavanti kāme hi prayojanam anekavidham ity	Sabda-kAmAH Kalu etAH Bavanti kAme hi prayojanam anekaviDam iti-
   upadiśyate kiṃ bravīṣi - labdhaṃ khalu śabdakāmayā śabdapradhānārjanāc	upadiSyate kim bravIzi  labDam Kalu Sabda-kAmayA Sabda-praDAna-arjana-At-
   chabdasya vyasanam iti sā hi tapasvinī	Cabdasya vyasanam iti sA hi tapasvinI
   11 (a) tiryaktrapāvanatapakṣmapuṭapravāntair	11 (a) tiryaktra-pa-avanata-pakzma-puwa-pravAntEH-
   (b) dhautādharastanamukhī nayanāmbupātaiḥ	(b) DOta-aDara-stana-muKI nayana-ambu-pAtEH
   (c) svāṅgeṣv alīyata navaiḥ sahasā stanadbhir	(c) sva-aFgezu alIyata navEH sahasA stanadBiH-
   (d) udvejitā jaladharair iva rājahaṃsī iti	(d) udvejitA jalaDarEH iva rAjahaMsI iti
   na ca bhoḥ citram idaṃ śrotavyaṃ śrutam na ca khalv asmābhir viditārthair	na ca BoH citram idam Srotavyam Srutam na ca Kalu asmABiH vidita-arTEH-
   apy atītaṃ pṛṣṭam tatas tataḥ kiṃ bravīṣi-- tataḥ sa mayā nirbhartsyoktaḥ:	api atItam pRzwam tatas tatas kim bravIzi- tatas sa mayA nirBartsya-uktaH:
   aye vaiyākaraṇakhasūcin, sumanaso musalena mā kṣautsīr vallakīm ulmukena	aye vEyAkaraNa-Ka-sUcin, sumanasaH musalena mA kzOtsIH vallakIm ulmukena
   mā vādīr, vākkṣureṇa kisalayaklībāṃ mā cchetsīr mattakāśinīm iti evam ukto	mA vAdIr, vAkkzureNa kisalaya-klIbAm mA cCetsIH mattakASinIm iti evam uktaH-
   mām anādṛtya viṭamahattarabhaṭṭijīmūtagṛhaṃ gataḥ tataḥ sā	mAm anAdRtya viwa-mahattara-Bawwi-jImUta-gRham gataH tatas sA
   [p.70] tapasvinī karakisalayaparyastakapolam ānanaṃ kṛtvā praruditā tata	[p.70] tapasvinI kara-kisalaya-paryasta-kapolam Ananam kRtvA praruditA tata
   utthāpya mayoktā: sundari, na vānaro veṣṭanam arhati, gardabho vā	utTApya mayA-uktA: sundari, na vAnaraH vezwanam arhati, gardaBaH vA
   varapravahaṇaṃ voḍhum alam alaṃ ruditena hāsyaḥ khalv eṣa tapasvī naivaṃ	vara-pravahaNam voXum alam alam ruditena hAsyaH Kalu eza tapasvI na-evam
   mahāntaṃ śiraḥsatkāram arhati	mahAntam SiraH-satkAram arhati
   12 (a) kiṃ kāmī na kacagrahair yam abalāḥ kliśyanti mattā balād	12 (a) kim kAmI na kaca-grahEH yam abalAH kliSyanti mattAH balAt-
   (b) yaṃ badhnanti na mekhalābhir athavā na ghnanti karṇotpalaiḥ	(b) yam baDnanti na meKalABiH aTavA na Gnanti karNa-utpalEH
   (c) pakṣe tasya tu manmathaḥ sukṛtinas tasyotsavo yauvanaṃ	(c) pakze tasya tu manmaTaH sukRtinaH tasya-utsavaH yOvanam
   (d) dāseneva rahasy apetavinayāḥ krīḍanti yenāṅganāḥ	(d) dAsena-iva rahasi apeta-vinayAH krIxanti yena-aFganAH
   evaṃ coktā smitapuraḥsaram apāṅgena me vacaḥ pratigṛhya saśiraḥpādam	evam ca-uktA smita-puraHsaram apAFgena me vacaH pratigRhya sa-SiraH-pAdam
   avakuṇṭhya vāsasā śayanatalam alaṃkṛtavatī aham api kāmipratyavarasya	avakuNWya vAsasA Sayana-talam alaMkRtavatI aham api kAmi-pratyavarasya
   duścaritam anucintayan prabhātam - iti rajñaḥ prabhātanāndīsvanair	duScaritam anucintayan praBAtam  iti rajQaH praBAta-nAndI-svanEH-
   utthāpitaḥ kṛtakartavyas tad eva duḥsvapnadarśanam ivāpanetuṃ	utTApitaH kRta-kartavyaH tat eva duHsvapna-darSanam iva-apanetum
   brāhmaṇapīṭhikāṃ gataḥ tasyāṃ ca brāhmaṇapīṭhikāyāṃ pūrvagataṃ kīrṇakeśaṃ	brAhmaNa-pIWikAm gataH tasyAm ca brAhmaNa-pIWikAyAm pUrva-gatam kIrNa-keSam
   viṣṇunā-	vizNunA-
   [p.71] gam evārtarūpam ātmakarmācakṣamāṇam asāv ahaṃ bhoḥ evaṃkarmā taṃ mā	[p.71] gam eva-Arta-rUpam Atma-karma-AcakzamANam asO aham BoH evaMkarmA tam mA
   vṛṣalyāḥ pādāvadhūtaśiraskaṃ trātum arhanti traividyavṛddhā ity uktavantam	vRzalyAH pAda-avaDUta-Siraskam trAtum arhanti trEvidya-vRdDAH iti uktavantam
   apaśyam evaṃ coktā brāhmaṇāś calakapolasūcitahāsam anyonyam avalokya	apaSyam evam ca-uktAH brAhmaNAH cala-kapola-sUcita-hAsam anyonyam avalokya
   muhūrtam iva dhyātvoktavantaḥ bhoḥ sādho, avalokitāny asmābhir	muhUrtam iva DyAtvA-uktavantaH BoH sADo, avalokitAni asmABiH-
   manuyamavasiṣṭhagautamabharadvājaśaṅkhalikhitāpastambahārītapraceto	manuyama-vasizWa-gOtama-BaradvAja-SaFKa-liKita-apastamba-hArIta-pracetaH-
   devalavṛddhagārgyaprabhṛtīnāṃ maharṣīṇāṃ dharmaśāstrāṇi nāsyaivaṃvidhasya	devala-vRdDa-gArgya-praBRtInAm mahA-RzINAm Darma-SAstrANi na-asya-evaMviDasya
   mahataḥ pātakasya prāyaścittam avagacchāma iti evaṃ cokto	mahataH pAtakasya prAyaScittam avagacCAmaH iti evam ca-uktaH-
   viṣaṇṇataravaktra ucchritya hastāv upākrośat bho bhoḥ, caturtho varṇa iti	vizaNNatara-vaktraH ucCritya hastO upAkroSat Bo BoH, caturTaH varNaH iti
   na mām arhatha bhūmidevāḥ parityaktum kutaḥ	na mAm arhaTa BUmidevAH parityaktum kutas-
   13 (a) āryo 'smi śuddhacarito 'smi kulodgato 'smi	13 (a) AryaH asmi SudDa-caritaH asmi kula-udgataH asmi
   (b) śabde ca hetusamaye ca kṛtaśramo 'smi	(b) Sabde ca hetu-samaye ca kRta-SramaH asmi
   (c) rājño 'smi śāsanakaro na pṛthagjano 'smi	(c) rAjQaH asmi SAsana-karaH na pRTagjanaH asmi
   (d) trāyadhvam ārtam agatiṃ śaraṇāgato 'smi	(d) trAyaDvam Artam agatim SaraNa-AgataH asmi
   evaṃ coktāyāṃ tasyāṃ pariṣadi	evam ca-uktAyAm tasyAm parizadi
   [p.72] 14 (a) kaiścid gaur ayam ity aratnicalanair anyonyam āghaṭṭitaṃ	[p.72] 14 (a) kEScid gOH ayam iti aratni-calanEH anyonyam AGawwitam
   (b) syād unmatta iti sthitaṃ smitamukhaiḥ kaiścic ciraṃ vīkṣitam	(b) syAt unmattaH iti sTitam smita-muKEH kEScid ciram vIkzitam
   (c) kaiścit kāmapiśāca ity api tṛṇaṃ dattvāntare dhikkṛtaḥ	(c) kEScid kAma-piSAcaH iti api tRNam dattvA-antare DikkRtaH
   (d) kaiścid duṣkṛtakāriṇīti ca punaḥ saivāṅganā śocitā	(d) kEScid duzkRta-kAriNI-iti ca punar sA-eva-aFganA SocitA
   evamavasthāyāṃ ca saṃsadi tasyāṃ pratipattimūḍheṣu brāhmaṇeṣu	evam-avasTAyAm ca saMsadi tasyAm pratipatti-mUXezu brAhmaNezu
   prāyaścittavipralambhavihvale krośati viṣṇunāge teṣām ekatama ācāryaputraḥ	prAyaScitta-vipralamBa-vihvale kroSati vizNu-nAge tezAm ekatamaH AcArya-putraH
   svayaṃ cācāryo daṇḍanītyānvīkṣikyor anyāsu ca vidyāsv abhivinītaḥ kalāsv	svayam ca-AcAryaH daNxanIti-AnvIkzikyoH anyAsu ca vidyAsu aBivinItaH kalAsu-
   api ca sarvāsu paraṃ kauśalam anuprāpto vāgmī cāntevāsigaṇaparivṛtaḥ	api ca sarvAsu param kOSalam anuprAptaH vAgmI ca-antevAsi-gaNa-parivRtaH
   parihāsaprakṛtiḥ śāṇḍilyo bhavasvāmī nāma brāhmaṇaḥ savyetaraṃ hastam	parihAsa-prakRtiH SANxilyaH BavasvAmI nAma brAhmaNaH savyetaram hastam
   udyamya smitodagrayā vācā pariṣadam āmantryoktavān aye bho viṣṇunāga, na	udyamya smita-udagrayAH vAcA parizadam Amantrya-uktavAn aye Bo vizNu-nAga, na
   bhetavyam alam alaṃ viṣādena astīdaṃ dharmavacanaṃ yathā	Betavyam alam alam vizAdena asti-idam Darma-vacanam yaTA
   deśajātikulatīrthasamayadharmāś cāmnāyair aviruddhāḥ pramāṇam iti ato	deSa-jAti-kula-tIrTa-samaya-DarmAH ca-AmnAyEH avirudDAH pramANam iti atas-
   viṭajātiṃ saṃnipātya viṭamukhyebhyaḥ prāyaścittaṃ mṛgyatām te hi tvām	viwa-jAtim saMnipAtya viwa-muKyeByaH prAyaScittam mRgyatAm te hi tvAm
   asmāt kilbiṣān mocayiṣyanti ity ukte sādhuvādānuyātram	asmAt kilbizAn mocayizyanti iti ukte sADu-vAda-anuyAtram
   ūrdhvāṅgulipranṛttam avartata	UrDva-aFguli-pranRttam avartata
   [p.73] tasyāṃ pariṣadi tac chrutvā viṣṇunāgo 'py anugṛhīta iti prasthitaḥ	[p.73] tasyAm parizadi tat SrutvA vizNu-nAgaH api anugRhItaH iti prasTitaH
   tvaṃ cāpi viṭasaṃnipātakarmaṇi niyukta iti bāḍham. kiṃ bravīṣi - ke punar	tvam ca-api viwa-saMnipAta-karmaNi niyuktaH iti bAXam. kim bravIzi  ke punar-
   iha bhavato viṭāḥ saṃmatā iti nanu bhavān eva tāvad agre viṭaḥ kiṃ bravīṣi	iha BavataH viwAH saMmatAH iti nanu BavAn eva tAvat agre viwaH kim bravIzi
   - katham aham api nāma viṭaśabdenānugṛhīta iti kaḥ saṃśayaḥ? śrūyatām	 kaTam aham api nAma viwa-Sabdena-anugRhItaH iti kaH saMSayaH? SrUyatAm
   15 (a) divasam akhilaṃ kṛtvā vādaṃ saha vyavahāribhir	15 (a) divasam aKilam kRtvA vAdam saha vyavahAriBiH-
   (b) divasavigame bhuktvā bhojyaṃ suhṛdbhavane kvacit	(b) divasa-vigame BuktvA Bojyam suhRd-Bavane kvacid-
   (c) nisi ca ramase veśastrībhiḥ kṣipasy api cāyudhaṃ	(c) nisi ca ramase veSa-strIBiH kzipasi api ca-AyuDam
   (d) jalam api ca te nāsty āvāse tathāpi ca katthase	(d) jalam api ca te na-asti AvAse taTA-api ca katTase
   tat kathaṃ tvam aviṭaḥ kiṃ bravīṣi - yady evam anugṛhītaḥ saṃnipātayiṣyasi	tat kaTam tvam aviwaH kim bravIzi  yadi evam anugRhItaH saMnipAtayizyasi
   viṭān viṭalakṣaṇaṃ tāvac chrotum icchāma iti prathamaḥ kalpaḥ śrūyatām	viwAn viwa-lakzaNam tAvat Srotum icCAmaH iti praTamaH kalpaH SrUyatAm
   16 (a) svaiḥ prāṇair api vidviṣaḥ praṇayiṇām āpatsu yo rakṣitā	16 (a) svEH prANEH api vidvizaH praNayiNAm Apatsu yaH rakzitA
   (b) yasyārtau bhavati sva eva śaraṇaṃ khaḍgadvitīyo bhujaḥ	(b) yasya-ArtO Bavati sve eva SaraNam Kaxga-dvitIyaH BujaH
   (c) saṃgharṣān madanāturo mṛgayate yaṃ vāramukhyājanaḥ	(c) saMGarzAt madana-AturaH mRgayate yam vAramuKyA-janaH
   (d) sa jñeyo viṭa ity apāvṛtadhano yo nityam evārthiṣu	(d) sa jQeyaH viwaH iti apAvRta-DanaH yaH nityam eva-arTizu
   api ca	api ca
   17 (a) caraṇakamalayugmair arcitaṃ sundarīṇāṃ	17 (a) caraNa-kamala-yugmEH arcitam sundarINAm
   [p.74] (b) samakuṭam iva tuṣṭyā yo bibharty uttamāṅgam	[p.74] (b) sama-kuwam iva tuzwyA yaH biBarti uttamAFgam
   (c) sa viṭa iti viṭajñaiḥ kīrtyate yasya cārthān	(c) sa viwaH iti viwa-jQEH kIrtyate yasya ca-arTAn
   (d) salilam iva tṛṣārtāḥ pāṇiyugmair haranti	(d) salilam iva tRzA-ArtAH pANi-yugmEH haranti
   kiṃ bravīṣi - uktaṃ viṭalakṣaṇaṃ, viṭān idānīm upadeṣṭum arhasīti	kim bravIzi  uktam viwa-lakzaNaM, viwAn idAnIm upadezwum arhasi-iti
   śrūyatāṃ: tatrabhavān kāmacāro bhāṇur, lomaśo gupto 'mātyo viṣṇudāsaḥ,	SrUyatAM: tatraBavAn kAmacAraH BANur, lomaSaH guptaH amAtyaH vizNudAsaH,
   śaibya āryarakṣito, dāśerako rudravarmāvantikaḥ skandasvāmī, hariścandro	SEbyaH Arya-rakzito, dASerakaH rudravarmAvantikaH skanda-svAmI, hariScandraH-
   bhiṣag, ābhīrakaḥ kumāro mayūradatto, mārdaṅgikaḥ sthāṇur gāndharvasenaka,	Bizag, ABIrakaH kumAraH mayUradatto, mArdaFgikaH sTANuH gAnDarvasenaka,
   upāyanirantakathaḥ, pārvatīyaḥ prathamo 'parāntādhipatir	upAya-nirantakaTaH, pArvatIyaH praTamaH aparAnta-aDipatiH-
   indravarmānandapurakaḥ kumāro makhavarmā, saurāṣṭriko jayanandako,	indravarma-AnandapurakaH kumAraH maKa-varmA, sOrAzwrikaH jaya-nanda-ko,
   maudgalyo dayitaviṣṇur ity evamādayo yathāsaṃbhavaṃ saṃnipātyāḥ kiṃ	mOdgalyaH dayita-vizNuH iti evamAdayaH yaTAsaMBavam saMnipAtyAH kim
   [p.75] bravīṣi - sarvaṃ tāvat tiṣṭhatu dayitaviṣṇur api bhavato viṭaḥ	[p.75] bravIzi  sarvam tAvat tizWatu dayita-vizNuH api BavataH viwaH
   saṃmata iti kaḥ saṃdehaḥ kiṃ bravīṣi - eṣa yo 'yaṃ rājño baleṣvadhikṛtaḥ	saMmataH iti kaH saMdehaH kim bravIzi  eza yaH ayam rAjQaH balezu-aDikRtaH
   pāraśavaḥ kavir iti bāḍham evam evaitat kiṃ bravīṣi - mā tāvad bhoḥ	pAraSavaH kaviH iti bAXam evam eva-etat kim bravIzi  mA tAvat BoH
   18 (a) yaḥ saṃkucaty upahitapraṇayo 'pi rājño	18 (a) yaH saMkucati upahita-praNayaH api rAjQaH-
   (b) yo maṅgalaiḥ svapiti ca pratibudhyate ca	(b) yaH maFgalEH svapiti ca pratibuDyate ca
   (c) devārcanād api ca gulgulugandhavāsā	(c) deva-arcanAt api ca gulgulu-ganDa-vAsA
   (d) yo 'sau kiṇatrayakaṭhoralalāṭajānuḥ	(d) yaH asO kiNatraya-kaWora-lalAwa-jAnuH
   api ca	api ca
   19 (a) devakulād rājakulaṃ rājakulād yāti devakulam eva	19 (a) devakulAt rAja-kulam rAja-kulAt yAti devakulam eva
   (b) iti yasya yānti divasāḥ kuladvaye saṃprasaktasya	(b) iti yasya yAnti divasAH kula-dvaye saMprasaktasya
   katham asāv api viṭa iti ā evam etat astīdam asya	kaTam asO api viwaH iti A evam etat asti-idam asya
   viṭabhāvapratyanīkabhūtaṃ purāṇaghṛtagandha iva kiṃ tu	viwa-BAva-pratyanIka-BUtam purANa-GRta-ganDaH iva kim tu
   20 (a) pūrvāvantiṣu yasya veśakalahe hastāgraśākhā hṛtā	20 (a) pUrva-avantizu yasya veSa-kalahe hasta-agra-SAKA hRtA
   [p.76] (b) sakthnoḥ saṃyati yasya padmanagare dviḍbhir nikhātāv iṣū	[p.76] (b) sakTnoH saMyati yasya padma-nagare dvixBiH niKAtO izU
   (c) bāhū yasya vibhidya bhūr adhigatā yantreṣuṇā vaidiśe	(c) bAhU yasya viBidya BUH aDigatAH yantra-izuNA vEdiSe
   (d) yo vājīkaraṇārtham ujjhati vasūny adyāpi vaidyādiṣu	(d) yaH vAjIkaraNa-arTam ujJati vasUni adya-api vEdya-Adizu
   21 (a) yasmād dadāti sa vasūni vilāsinībhyaḥ	21 (a) yasmAt dadAti sa vasUni vilAsinIByaH
   (b) kṣīṇendriyo 'pi ramate ratisaṃkathābhiḥ	(b) kzINa-indriyaH api ramate rati-saMkaTABiH
   (c) tasmāl likhāmi dhuri taṃ viṭapuṃgavānāṃ	(c) tasmAt liKAmi Duri tam viwa-puMgavAnAm
   (d) rāgo hi rañjayati vittavatāṃ na śaktiḥ katham asāv aviṭaḥ	(d) rAgaH hi raQjayati vittavatAm na SaktiH kaTam asO aviwaH
   kiṃ bravīṣi - evaṃ ced agraṇīr viṭānām iti tasmād evāyaṃ dhuri likhitaḥ	kim bravIzi  evam ced agraNIH viwAnAm iti tasmAt eva-ayam Duri liKitaH
   gacchatu bhavān svasti bhavate sādhayāmas tāvat (parikramya) eṣo 'smi	gacCatu BavAn svasti Bavate sADayAmaH tAvat (parikramya) ezaH asmi
   nagararathyām avatīrṇaḥ aho nu khalu jambūdvīpatilakabhūtasya	nagara-raTyAm avatIrNaH aho nu Kalu jambUdvIpa-tilaka-BUtasya
   sarvaratnāviṣkṛtavibhūteḥ sārvabhaumanarendrādhiṣṭhitasya	sarva-ratna-AvizkRta-viBUteH sArvaBOma-narendra-aDizWitasya
   sārvabhaumanagarasya parā sriḥ iha hi	sArvaBOma-nagarasya parA sriH iha hi
