   (Tvbh_38)	(TvB_38)
   tadākāreṇotpannatvān na kiñcit kartavyam astīti manovijñānam apy	tad AkAreNa utpanna tvAt na kiQcid kartavyam asti iti manaH vijQAnam api 
   anālambanam evotpadyate |	anAlambanam eva utpadyate |
   anyas tv āha | asaty ātmani mukhye dharmeṣu copacāro na yujyate | upacāro	anyaH tu Aha | asati Atmani muKye Darmezu ca upacAraH na yujyate | upacAraH 
   hi triṣu satsu bhavati nānyatamābhāve mukhyapadārthe tatsadṛśe 'nyasmin	hi trizu satsu Bavati na anyatama aBAve muKya padArTe tad sadRSe anyasmin
   viṣaye tayoś ca sādṛśye | tad yathā mukhye 'gnau tatsadṛśe ca māṇavake	vizaye tayoH ca sAdRSye | tat yaTA muKye agnO tad sadRSe ca mANavake
   tayoś ca sādhāraṇe dharme kapilatve tīkṣṇatve vā saty agnir māṇavaka ity	tayoH ca sADAraNe Darme kapila tve tIkzNa tve vA sati agniH mANavakaH iti 
   upacāraḥ kriyate | atra hy agnir māṇavaka iti jātir dravyaṃ vopacaryate |	upacAraH kriyate | atra hi agniH mANavakaH iti jAtiH dravyam vA upacaryate |
   ubhayathāpy upacārābhāvaḥ |	uBayaTA api upacAra aBAvaH |
   tatra tāvan na jāteḥ sādhāraṇaṃ kapilatvaṃ tīkṣṇatvaṃ vā | na ca	tatra tAvat na jAteH sADAraNam kapila tvam tIkzNa tvam vA | na ca
   sādhāraṇadharmābhāve māṇavake jāter upacāro yujyate 'tiprasaṅgāt |	sADAraNa Darma aBAve mANavake jAteH upacAraH yujyate ati prasaFgAt |
   ataddharmatve 'pi jātes tīkṣṇatvakapilatvayor	atad Darma tve api jAteH tIkzNa tva kapila tvayoH 
   jātyavinābhāvitvān māṇavake jātyupacāro bhaviṣyati | jātyabhāve 'pi	jAtya vinABOvi tvAt mANavake jAti upacAraH Bavizyati | jAti aBAve api
   tīkṣṇatvakapilatvayor māṇavake darśanād avinābhāvitvam ayuktam |	tIkzNa tva kapila tvayoH mANavake darSanAt avinA aBAvi tvam ayuktam |
   avinābhāvitve copacārābhāvo 'gnāv iva māṇavake 'pi jātisadbhāvāt | tasmān	avinA aBAvi tve ca upacAra aBAvaH agnO iva mANavake api jAti sadBAvAt | tasmAt 
   na māṇavake jātyupacāraḥ saṃbhavati |	na mANavake jAti upacAraH saMBavati |
   nāpi dravyopacāraḥ sāmānyadharmābhāvāt | na hi yo 'gnes tīkṣṇo guṇaḥ	na api dravya upacAraH sAmAnya Darma aBAvAt | na hi yaH agneH tIkzNaH guNaH
   kapilo vā sa eva māṇavake | kiṃ tarhi tato 'nyaḥ | viśeṣasya	kapilaH vA saH eva mANavake | kim tarhi tatas anyaH | viSezasya
   svāśrayapratibaddhatvān na vināgniguṇenāgner māṇavake upacāro yuktaḥ |	sva ASraya pratibadDa tvAt na vinA agni guNena agneH mANavake upacAraH yuktaH |
   agniguṇasādṛśyād yukta iti cet | evam apy agniguṇasyaiva tīkṣṇasya	agni guNa sAdRSyAt yuktaH iti ced | evam api agni guNasya eva tIkzNasya
   kapilasya vā māṇavakaguṇe tīkṣṇe kapile vā sādṛśyād upacāro yukto na tu	kapilasya vA mANavaka guNe tIkzNe kapile vA sAdRSyAt upacAraH yuktaH na tu
   māṇavake 'gner guṇasādṛśyenāsaṃbandhāt | tasmād dravyopacāro 'pi naiva	mANavake agneH guNa sAdRSyena asaMbanDAt | tasmAt dravya upacAraH api na eva
   yujyate |	yujyate |
   (Tvbh_48)	(TvB_48)
   mukhyo 'pi padārtho naivāsti tatsvarūpasya	muKyaH api padArTaH na eva asti tad svarUpasya
   sarvajñānābhidhānaviṣayātikrāntatvāt | pradhāne hi guṇarūpeṇaiva	sarva jQAna aBiDAna vizaya atikrAnta tvAt | praDAne hi guNa rUpeNa eva
   jñānābhidhāne pravartete tatsvarūpāsaṃsparśāt | anyathā ca	jQAna aBiDAne pravartete tad svarUpa asaMsparSAt | anyaTA ca
   guṇavaiyarthyaprasaṅgaḥ | na hi jñānābhidhānavyatirikto 'nyaḥ	guNa vEyarTya prasaFgaH | na hi jQAna aBiDAna vyatiriktaH anyaH
   padārthasvarūpaparicchittyupāyo 'stīty ataḥ	padArTa svarUpa paricCitti upAyaH asti iti atas 
   pradhānasvarūpaviṣayajñānābhidhānābhāvān naiva mukhyaḥ padārtho 'stīty	praDAna svarUpa vizaya jQAna aBiDAna aBAvAt na eva muKyaH padArTaH asti iti 
   avagantavyam | evaṃ yāvac chabde saṃbandhābhāvāj jñānābhidhānābhāva evañ	avagantavyam | evam yAvat Sabde saMbanDa aBAvAt jQAna aBiDAna aBAvaH evan 
   cābhidhānābhidheyābhāvān naiva mukhyaḥ padārtho 'sti | api ca sarva evāyaṃ	ca aBiDAna aBiDeya aBAvAt na eva muKyaH padArTaH asti | api ca sarve eva ayam
   gauṇa eva na mukhyo 'sti | gauṇo hi nāma yo yatrāvidyamānena rūpeṇa	gONaH eva na muKyaH asti | gONaH hi nAma yaH yatra avidyamAnena rUpeNa
   pravartate | sarvaś ca śabdaḥ pradhāne 'vidyamānenaiva guṇarūpeṇa	pravartate | sarvaH ca SabdaH praDAne avidyamAnena eva guNa rUpeNa
   pravartate ato mukhyo nāsty eva | tatra yad uktaṃ asaty ātmani mukhye	pravartate atas muKyaH na asti eva | tatra yat uktam asati Atmani muKye
   dharmeṣu copacāro na yukta iti tad ayuktam |	Darmezu ca upacAraH na yuktaH iti tat ayuktam |
   vijñānapariṇāmaḥ kati prabheda iti na jñāyate | atas	vijQAna pariNAmaH kati praBedaH iti na jQAyate | atas 
   tatprabhedopadarśanārtham āha |	tad praBeda upadarSana arTam Aha |
   pariṇāmaḥ sa ca tridhā || 1d	pariNAmaH sa ca triDA || 1d
   yatrātmādyupacāro dharmopacāraś ca sa punar hetubhāvena phalabhāvena ca	yatra Atma Adi upacAraH Darma upacAraH ca sa punar hetu BAvena Pala BAvena ca
   bhidyate | tatra hetupariṇāmo yālayavijñāne vipākaniṣyandavāsanāparipuṣṭiḥ	Bidyate | tatra hetu pariNAmaH yAlaya vijQAne vipAka nizyanda vAsanA paripuzwiH
   | phalapariṇāmaḥ punar vipākavāsanāvṛttilābhād ālayavijñānasya	| Pala pariNAmaH punar vipAka vAsanA vRtti lABAt Alaya vijQAnasya
   pūrvakarmākṣepaparisamāptau yā nikāyasabhāgāntareṣv abhinirvṛttiḥ |	pUrva karma Akzepa parisamAptO yA nikAya sa BAga antarezu aBinirvRttiH |
   niṣyandavāsanāvṛttilābhāc ca yā pravṛttivijñānānāṃ kliṣṭasya ca manasa	nizyanda vAsanA vRtti lABAt ca yA pravRtti vijQAnAnAm klizwasya ca manasa
   ālayavijñānād abhinirvṛttiḥ | tatra pravṛttivijñānaṃ kuśalākuśalam	Alaya vijQAnAt aBinirvRttiH | tatra pravRtti vijQAnam kuSala akuSalam
   ālayavijñāne vipākavāsanāṃ niṣyandavāsanāñ cādhatte | avyākṛtaṃ kliṣṭañ ca	AlayavijQAne vipAka vAsanAm nizyanda vAsanAn ca ADatte | avyAkRtam klizwan ca
   mano niṣyandavāsanām eva |	manaH nizyanda vAsanAm eva |
   (Tvbh_50)	(TvB_50)
   yo 'sau trividhaḥ pariṇāma ukto 'sāv api na jñāyate | atas	yaH asO triviDaH pariNAmaH uktaH asO api na jQAyate | atas 
   tadbhedapradarśanārtham āha |	tad Beda pradarSana arTam Aha |
   vipāko mananākhyaś ca vijñaptir viṣayasya ca | 2ab	vipAkaH mananA AKyaH ca vijQaptiH vizayasya ca | 2ab
   iti | sa eṣa trividhaḥ pariṇāmo vipākākhyo mananākhyo viṣayavijñaptyākhyaś	iti | saH eza triviDaH pariNAmaH vipAka AKyaH manana AKyaH vizaya vijQapti AKya H 
   ca | tatra kuśalākuśalakarmavāsanāparipākavaśād yathākṣepaṃ	ca | tatra kuSala akuSala karma vAsanA paripAka vaSAt yaTAkzepam
   phalābhinirvṛttir vipākaḥ | kliṣṭaṃ mano nityaṃ mananātmakatvān	Pala aBinirvRttiH vipAkaH | klizwam manaH nityam mananA Atmaka tvAn
   mananākhyam | rūpādiviṣayapratyavabhāsatvāc cakṣurādivijñānaṃ ṣaṭprakāram	manana AKyam | rUpa Adi vizaya pratyavaBAsa tvAt cakzuH Adi vijQAnam zaz prakAram
   api viṣayavijñaptiḥ |	api vizaya vijQaptiH |
   tatsvarūpanirdeśam antareṇa na tat pratīyate ity ato yasya yat svarūpaṃ	tad svarUpa nirdeSam antareNa na tat pratIyate iti atas yasya yat svarUpam
   tad yathākramaṃ pradarśayann āha |	tat yaTAkramam pradarSayan Aha |
   tatrālayākhyaṃ vijñānaṃ vipākaḥ sarvabījakam 2cd	tatra Alaya AKyam vijQAnam vipAkaH sarva bIjakam 2cd
   iti | tatreti yo 'yam anantaroktas trividhaḥ pariṇāmaḥ | ālayākhyam ity	iti | tatra iti yaH ayam anantara uktaH triviDaH pariNAmaH | Alaya AKyam iti 
   ālayavijñānasaṃjñakaṃ yad vijñānaṃ sa vipākapariṇāmaḥ | tac ca	AlayavijQAna saMjQakam yat vijQAnam sa vipAka pariNAmaH | tat ca
   sarvasāṃkleśikadharmabījasthānatvād ālayaḥ | ālayaḥ sthānam iti paryāyau |	sarva sAMkleSika Darma bIja sTAna tvAt AlayaH | AlayaH sTAnam iti paryAyO |
   atha vālīyante upanibadhyante 'smin sarvadharmāḥ kāryabhāvena tad vālīyate	aTa vAlIyante upanibaDyante asmin sarva DarmAH kArya BAvena tat vAlIyate
   upanibadhyate kāraṇabhāvena sarvadharmeṣv ity ālayaḥ | vijānātīti vijñānam	upanibaDyate kAraNa BAvena sarva Darmezu iti AlayaH | vijAnAti iti vijQAnam
   | sarvadhātugatiyonijātiṣu kuśalākuśalakarmavipākatvād vipākaḥ |	| sarva DAtu gati yoni jAtizu kuSala akuSala karma vipAka tvAt vipAkaH |
   sarvadharmabījāśrayatvāt sarvabījakam | yadi pravṛttivijñānavyatiriktam	sarva Darma bIja ASraya tvAt sarva bIjakam | yadi pravRtti vijQAna vyatiriktam
   ālayavijñānam asti tato 'syālambanam ākāro vā vaktavyaḥ | na hi	Alaya vijQAnam asti tatas asya Alambanam AkAraH vA vaktavyaH | na hi
   nirālambanaṃ nirākāraṃ vā vijñānaṃ yujyate | naiva tan nirālambanaṃ	nirAlambanam nirAkAram vA vijQAnam yujyate | na eva tat nirAlambanam
   nirākāraṃ veṣyate | kiṃ tarhy (Tvbh_52) aparicchinnālambanākāram | kiṃ	nirAkAram vezyate | kim tarhi (TvB_52) aparicCinna Alambana AkAram | kim
   kāraṇam | yasmād ālayavijñānaṃ dvidhā pravartate | adhyātmam	kAraNam | yasmAt AlayavijQAnam dviDA pravartate | aDyAtmam
   upādānavijñaptito bahirdhāparicchinnākārabhājanavijñaptitaś ca |	upAdAna vijQaptitaH bahirDA paricCinna AkAra BAjana vijQaptitaH ca |
   tatrādhyātmam upādānaṃ parikalpitasvabhāvābhiniveśavāsanā sādhiṣṭhānam	tatra aDyAtmam upAdAnam parikalpita svaBAva aBiniveSa vAsanA sa aDizWAnam
   indriyarūpaṃ nāma ca | asyālambanasyātisūkṣmatvād	indriya rUpam nAma ca | asya Alambanasya ati sUkzma tvAt 
   asaṃviditakopādisthānavijñaptikañ ca tat | 3ab	asaMvidita kopa Adi sTAna vijQaptikan ca tat | 3ab
   asaṃviditaka upādir yasmin asaṃviditakā ca sthānavijñaptir yasmin tad	asaMviditakaH upAdiH yasmin asaMviditakA ca sTAna vijQaptiH yasmin tat 
   ālayavijñānam asaṃviditakopādisthānavijñaptikam |	Alaya vijQAnam asaMvidita kopa Adi sTAna vijQaptikam |
   upādānam upādiḥ | sa punar ātmādivikalpavāsanā rūpādidharmavikalpavāsanā	upAdAnam upAdiH | sa punar Atma Adi vikalpa vAsanA rUpa Adi Darma vikalpa vAsanA
   ca | tatsadbhāvād ālayavijñānenātmādivikalpo rūpādivikalpaś ca	ca | tad sadBAvAt Alaya vijQAnena Atma Adi vikalpaH rUpa Adi vikalpaH ca
   kāryatvenopātta iti tad vāsanātmādivikalpānāṃ rūpādivikalpānāñ copādir ity	kAryatvena upAttaH iti tat vAsanA Atma Adi vikalpAnAm rUpa Adi vikalpAnAn ca upAdiH iti 
   ucyate | so 'sminn idaṃ tad iti pratisaṃvedanākāreṇāsaṃvidita ity atas tad	ucyate | saH asmin idam tat iti pratisaMvedana AkAreNa asaMviditaH iti atas tat 
   asaṃviditakopādir ity ucyate |	asaMvidita kopa AdiH iti ucyate |
   āśrayopādānañ copādiḥ | āśraya ātmabhāvaḥ sādhiṣṭhānam indriyarūpaṃ nāma	ASraya upAdAnan ca upAdiH | ASraya Atma BAvaH sa aDizWAnam indriya rUpam nAma
   ca | tasya punar yad upādānam upagamanam ekayogakṣematvena tad upādiḥ |	ca | tasya punar yat upAdAnam upagamanam eka yogakzema tvena tat upAdiH |
   tatra kāmarūpadhātvor dvayor nāmarūpayor upādānam | ārūpyadhātau tu	tatra kAmarUpa DAtvoH dvayoH nAma rUpayoH upAdAnam | ArUpya DAtO tu
   rūpavītarāgatvād rūpavipākānabhinirvṛtter nāmopādānam eva | kin tu	rUpa vIta rAga tvAt rUpa vipAka an aBinirvRtteH nAma upAdAnam eva | kin tu
   vāsanāvastham eva tatra rūpaṃ na vipākāvastham | tat punar upādānam	vAsanA avasTam eva tatra rUpam na vipAka avasTam | tat punar upAdAnam
   idantayā pratisaṃvedayitum aśakyam ity ato 'saṃvidita ity ucyate |	idantayA pratisaMvedayitum aSakyam iti atas asaMviditaH iti ucyate |
   (Tvbh_54)	(TvB_54)
   sthānavijñaptir bhājanalokasaṃniveśavijñaptiḥ | sāpy	sTAna vijQaptiH BAjana loka saMniveSa vijQaptiH | sA api 
   aparicchinnālambanākārapravṛttatvād asaṃviditety ucyate |	aparicCinna Alambana AkAra pravRtta tvAt asaMvidita iti ucyate |
   kathaṃ vijñānam aparicchinnālambanākāraṃ bhaviṣyatīti | anyavijñānavādinām	kaTam vijQAnam aparicCinna Alambana AkAram Bavizyati iti | anya vijQAna vAdinAm
   api nirodhasamāpattyādyavasthāsu tulyam etat | na ca	api niroDa samApatti Adi avasTAsu tulyam etat | na ca
   nirodhasamāpattyādyavasthāsu vijñānaṃ naivāstīti śakyate pratipattum |	niroDa samApatti Adi avasTAsu vijQAnam na eva asti iti Sakyate pratipattum |
   yuktivirodhāt sūtravirodhāc ceti |	yukti viroDAt sUtra viroDAt ca iti |
   tatrālayākhyaṃ vijñānam (2c)	tatra Alaya AKyam vijQAnam (2c)
   ity uktaṃ vijñānañ cāvaśyaṃ caittaiḥ saṃprayuktam ity ato vaktavyaṃ	iti uktam vijQAnan ca avaSyam cEttEH saMprayuktam iti atas vaktavyam
   katamaiḥ katibhiś ca tebhyaḥ saṃprayujyate | tathā kiṃ taiḥ sarvadā	katamEH katiBiH ca teByaH saMprayujyate | taTA kim tEH sarvadA
   saṃprayujyate | uta nety ata āha |	saMprayujyate | uta na iti atas Aha |
   sadā sparśamanaskāravitsaṃjñācetanānvitam 3cd	sadA sparSa manaskAra vid saMjQA cetana anvitam 3cd
   iti | sadeti yāvad ālayavijñānaṃ tāvad ebhiḥ	iti | sadA iti yAvat AlayavijQAnam tAvat eBiH
   sparśamanaskāravedanāsaṃjñācetanākhyaiḥ pañcabhiḥ sarvatragair dharmair	sparSamanaskAra vedanA saMjQA cetanA AKyEH paQcaBiH sarvatragEH DarmEH 
   anvitam | vedanā vit |	anvitam | vedanA vid |
   tatra sparśas trikasaṃnipāte indriyavikāraparicchedaḥ |	tatra sparSaH trika saMnipAte indriya vikAra paricCedaH |
   vedanāsaṃniśrayadānakarmakaḥ | indriyaviṣayavijñānāni trīṇy eva trikam |	vedanA saMniSraya dAna karmakaH | indriya vizaya vijQAnAni trINi eva trikam |
