   sāṃkhyaparibhāṣā /	sAMKya-pariBAzA /
   nāma svargabhogādianicchā / śamo nāma manonigrahaḥ / dama indriyanigrahaḥ	nAma svarga-Boga-Adi-anicCA / SamaH nAma manaH-nigrahaH / damaH indriya-nigrahaH
   / titikṣā śītoṣṇādiparotkarṣasahanam / samādhānaṃ sṛṣṭyādimāyāvilakṣaṇam /	/ titikzA SIta-uzNa-Adi-para-utkarza-sahanam / samADAnam sRzwi-Adi-mAyA-vilakzaNam /
   śraddhā gurāvadhyātmaśāstre ratiḥ / uparamaḥ kāryakāraṇātītam / nitya ātmā	SradDA gurO=-aDyAtma-SAstre ratiH / uparamaH kArya-kAraNa-atItam / nityaH AtmA
   / anityā dṛśyapadārthāḥ / ataḥ paraṃ mokṣecchā //	/ anityAH dRSya-padArTAH / atas param mokza-icCA //
        iti sādhanacatuṣṭayam /	iti sADana-catuzwayam /
   kambalo kharparī veṇurbuddhestrividhalakṣaṇam /	kambalaH KarparI veNuH-budDeH-triviDa-lakzaNam /
   cittakṣiptagatāyatālīnatābhūmikātrayam // 1 //	citta-kzipta-gata-Ayata-AlI-natA-BUmikA-trayam // 1 //
        atha bhūmikā / vikṣeptā viṣayapadārthe ratiḥ / gatāyātā saṃśayātmikā	aTa BUmikA / vikzeptA vizaya-padArTe ratiH / gata-AyAtA saMSaya-AtmikA
   / sulīnatā prītirūpā turīyā /	/ sulInatA prIti-rUpA turIyAH /
        atha buddhayaḥ / guruḥ śāstrādiyuktyā bodhayati tathāpi śūnyaṃ	aTa budDayaH / guruH SAstra-Adi-yuktyA boDayati taTA-api SUnyam
   kambalapeśīvat / sā adhikaprakāśo na bhavati kharparacchidravat /	kambala-peSIvat / sA aDika-prakASaH na Bavati Karpara=-Cidra-vat /
   anekayu.ktyā vistārayati bhagnaveṇuvat jale tailavat / tatrādau vairāgyam	aneka-yu.ktyA vistArayati Bagna-veNu-vat jale tEla-vat / tatra-AdO vErAgyam
   / tatra pramāṇaṃ śrutiḥ- na vā 're sarvasya kāmāya sarvaṃ priyaṃ	/ tatra pramANam SrutiH na vA are sarvasya kAmAya sarvam priyam
   bhavatyātmanastu kāmāya sarvaṃ priyaṃ bhavati iti /	Bavati-AtmanaH-tu kAmAya sarvam priyam Bavati iti /
        bṛhadāraṇyake 'tyāgenaikena amṛtatvamānaśuḥ'; / tatrādau śabalatyāgaḥ	bRhadAraNyake atyAgena-ekena amRta-tva-mAnaSuH-a; / tatra-AdO Sabala-tyAgaH
   viṣṭhāmūtraṃ ca durgandhi kṛmyagāraṃ ca naśvaram /	vizWA-mUtram ca durganDi kRmya-gAram ca naSvaram /
   tatsaukhyamānino mūḍhā ahaṃmametigarvitāḥ // 1 //	tad-sOKya-mAninaH mUXAH ahaMmameti-garvitAH // 1 //
   kasya mātā pitā kasya kasya bhrātā sahodaraḥ /	kasya mAtA pitA kasya kasya BrAtA sahodaraH /
   kasya strī kasya putrastu narāṇāṃ karmabandhanam // 2 //	kasya strI kasya putraH-tu narANAm karma-banDanam // 2 //
   jāyāpatyagṛjakṣetrasvajanadraviṇādiṣu /	jAyA-apatya-gRja-kzetra-sva-jana-draviNa-Adizu /
   udāsīnasamaṃ paśyetsarvaṃ vyarthamivātmani // 3 //	udAsIna-samam paSyet-sarvam vyarTam-iva-Atmani // 3 //
   strīṇāṃ strīsaṅgināṃ saṅgaṃ tyaktvā dūrata ātmavān /	strINAm strI-saFginAm saFgam tyaktvA dUratas AtmavAn /
   kṣamī vivikta āsīnaścintayenmāmatandritaḥ // 4 //	kzamI vivikte AsInaH-cintayet-mAm-atandritaH // 4 //
   kāyāraṇyasamāviṣṭo manavyāghro mahābalī /	kAya-araNya-samAvizwaH mana-vyAGraH mahA-balI /
   bhakṣate sakalāṃllokāndevānuragamānavān // 5 //	Bakzate sakalAn=-lokAn-deva-an-uraga-mAnavAn // 5 //
   jñānakhaḍgaṃ dṛḍhaṃ kṛtvā vairāgyaṃ bhūmiśodhanam /	jQAna-Kaxgam dRXam kRtvA vErAgyam BUmi-SoDanam /
   durlabho yasya saṃgrāmo ko 'sau śūraśca ātmavān // 6 //	durlaBaH yasya saMgrAmaH kaH asO SUraH-ca AtmavAn // 6 //
        atha śuddhatyāgaḥ /	aTa SudDa-tyAgaH /
   granthamabhyasya medhāvī jñānavijñānatatparaḥ /	granTam-aByasya meDAvI jQAna-vijQAna-tatparaH /
   palālamiva dhānyārthī tyajedgranthamaśeṣataḥ // 7 //	palAlam-iva DAnya-arTI tyajet-granTam-aSezatas // 7 //
   padamicchasi brahmatvaṃ tadā vijñānataḥ śṛṇu /	padam-icCasi brahma-tvam tadA vijQAnataH SRNu /
   sarvārtheṣu ca vairāgyaṃ sarvabhūteṣu cātmatā // 8 //	sarva-arTezu ca vErAgyam sarva-BUtezu ca-Atma-tA // 8 //
   muktimicchasi cettvantu viṣayānviṣavattyaja /	muktim-icCasi ced-tvantu vizayAn-viza-vat-tyaja /
   kṣamārjavadayātoṣasatyaṃ pīyūṣavadbhaja // 9 //	kzamA-Arjava-dayA-toza-satyam pIyUza-vat-Baja // 9 //
   manasā dhyāyate yogī kṛpaṇastu dhanaṃ yathā /	manasA DyAyate yogI kRpaNaH-tu Danam yaTA /
   manasā yena pītvā ca tena jitvā jagattrayam // 10 //	manasA yena pItvA ca tena jitvA jagattrayam // 10 //
   vihāya kāmānyaḥ sarvānpumāṃścarati nispṛhaḥ /	vihAya kAmAn-yaH sarvAn-pumAn=-carati nispRhaH /
   nirmamo nirahaṅkāraḥ sa śāntimadhigacchati // 11 //	nirmamaH nirahaFkAraH sa SAntim-aDigacCati // 11 //
   akiñcanaśca dāntaśca śāntaśca samamānasaḥ /	akiQcanaH-ca dAntaH-ca SAntaH-ca sama-mAnasaH /
   sa liṅgānāśramaṃ tyaktvā caredavidhigocaraḥ // 12 //	sa liFgAn-ASramam tyaktvA caret-aviDi-gocaraH // 12 //
   dehe ca śṛṇu taṃ tāta guptaprakaṭalakṣaṇam /	dehe ca SRNu tam tAta gupta-prakawa-lakzaNam /
   daśaguptakaraṃ mokṣadvādaśaṃ sahajasthitiḥ // 13 //	daSagupta-karam mokza-dvAdaSam sahaja-sTitiH // 13 //
   nirapekṣaṃ muniṃ śāntaṃ nirvairaṃ samadarśanam /	nirapekzam munim SAntam nirvEram sama-darSanam /
   anuvrajyāmahaṃ nityaṃ pūyayedaṅghrireṇubhiḥ // 14 //	anuvrajyAm-aham nityam pUyayet-aFGri-reNuBiH // 14 //
   kadā śambho bhaviṣyāmi karmanirmūlanakṣamaḥ /	kadA SamBo BavizyAmi karma-nirmUlana-kzamaH /
   ekākī nispṛhaḥ śānto pāṇipātro digambaraḥ // 15 //	ekAkI nispRhaH SAntaH pANi-pAtraH digambaraH // 15 //
   sarvadharmānparityajya māmekaṃ śaraṇaṃ vraja /	sarva-DarmAn-parityajya mAm-ekam SaraNam vraja /
   ahaṃ tvāṃ sarvapāpebhyo mokṣayiṣyāmi mā śucaḥ // 16 //	aham tvAm sarva-pApeByaH mokzayizyAmi mA SucaH // 16 //
   nirālambapadaṃ prāpya citte tatra layaṃ gate /	nirAlamba-padam prApya citte tatra layam gate /
   nivartante kriyāḥ sarvāḥ sa yogī nirguṇaḥ paraḥ // 17 //	nivartante kriyAH sarvAH sa yogI nirguNaH paraH // 17 //
   viṣayendriyakāraṇamākarṣacittavibhramaḥ /	vizaya-indriya-kAraNam-Akarza-citta-viBramaH /
   yathā bahusapatnīnāṃ luṭhanti patimekataḥ // 18 //	yaTA bahu-sapatnInAm luWanti patim-ekatas // 18 //
   sādhu sādhu śṛṇu svārthamasthiyantrācca dūrataḥ /	sADu sADu SRNu sva-arTam-asTi-yantrAt-ca dUratas /
   asya bhāgakṛtā loke mamatvaṃ śvānavatkṛtam // 19 //	asya BAga-kRtA loke mamatvam SvAnavat-kRtam // 19 //
   śṛṇu tāta dvayaṃ tyājyamāśā bhedastathaiva ca /	SRNu tAta dvayam tyAjyam-ASAH BedaH-taTA-eva ca /
   āśayā dīnatāṃ kṛtvā bhedaśca bhedavardhanam // 20 //	ASayA dIna-tAm kRtvA BedaH-ca Beda-varDanam // 20 //
   rodanahāsyakā '; 'nena piśācasthitimāśrayet /	rodanahAsyakAH a; anena piSAca-sTitim-ASrayet /
   asya saṅgaṃ sadā tyajya bhava cinmātra sarvadā // 21 //	asya saFgam sadA tyajya Bava cit-mA-atra sarvadA // 21 //
   chāyākāryaṃ yathā nāsti tathaivāyaṃ hi dehakaḥ /	CAyA-kAryam yaTA na-asti taTA-eva-ayam hi dehakaH /
   tattvaṃ gṛharasaṃ tyajya paramāṃ sthitimāśraya // 22 //	tattvam gRha-rasam tyajya paramAm sTitim-ASrayaH // 22 //
   goṣpadaṃ pṛthivī meruḥ sthāṇurākāśamudrikā /	gozpadam pRTivI meruH sTANuH-AkASa-mudrikA /
   tṛṇaṃ tribhuvanaṃ rāma vairāgyālaṃkṛtā kṛtiḥ /	tRNam triBuvanam rAma vErAgya-alaMkRtA kRtiH /
   manuṣyāṇāṃ sahasreṣu kaścidyatati siddhaye // 23 //	manuzyANAm sahasrezu kaScid-yatati sidDaye // 23 //
        iti vairāgyam //	iti vErAgyam //
        atha bhaktidvārā caturvidhā muktiḥ /	aTa Bakti-dvArA caturviDA muktiH /
   vedākṣarāṇāṃ sāyujyaṃ sarūpatāṃ salokatāmaśnute //	veda-akzarANAm sAyujyam sarUpa-tAm salokatAm-aSnute //
   prathamaṃ cittaśuddhiṃ ca mānasaṃ pūjanadvayam /	praTamam citta-SudDim ca mAnasam pUjana-dvayam /
   tṛtīyaṃ ca sadā dhyānaṃ vyāpakaṃ ca caturthakam // 1 //	tRtIyam ca sadA DyAnam vyApakam ca caturTakam // 1 //
   pañcamaṃ tu nirālambaṃ mokṣabhūmiryathākramam /	paQcamam tu nirAlambam mokza-BUmiH-yaTAkramam /
   yatnena sādhayenmartyo tasya muktirna saṃśayaḥ // 2 //	yatnena sADayet-martyaH tasya muktiH-na saMSayaH // 2 //
   japānuṣṭhānayordvārā cittaśuddhirvidhīyate /	japa-anuzWAnayoH-dvArA citta-SudDiH-viDIyate /
   paścāccaturvidhā muktiḥ śṛṇu sādhu dvijottama // 3 //	paScAt-caturviDA muktiH SRNu sADu dvijottamaH // 3 //
   mānase lokasamprāptistatsadā ca samīpatā /	mAnase loka-samprAptiH-tad-sadA ca samIpa-tA /
   tathā tasya svarūpaṃ ca nirālambena śāśvatam // 4 //	taTA tasya svarUpam ca nirAlambena SASvatam // 4 //
   ye ye yān yān yajandevāṃste catvāramokṣagāḥ /	ye ye yAn yAn yajan-devAn=-te catvAra-mokza-gAH /
   ātmajñānaṃ vinā mokṣo na bhavetsaccidātmani // 5 //	Atma-jQAnam vinA mokzaH na Bavet-saccit-Atmani // 5 //
   kintu -	kintu -
        mānasaṃ nāma āsanasthāṃ sāvayavamūrttiṃ dhyāyet /	mAnasam nAma Asana-sTAm sa-avayava-mUrttim DyAyet /
   nivātadīpavatsvasthaṃ yathābuddhyā ṣoḍaśopacāraiḥ pūjayet / tasya	nivAta-dIpa-vat-svasTam yaTAbudDyA zoxaSa-upacArEH pUjayet / tasya
   gacchatastiṣṭhataśca na samīpāvabhāsaḥ / sa eva sarvabhūtasthaṃ svarūpaṃ	gacCataH-tizWataH-ca na samIpa-avaBAsaH / saH eva sarva-BUta-sTam svarUpam
   paśyati / tataḥ sāvakāśamiva bhāsate sā sāyujyatā /	paSyati / tatas sa-avakASam-iva BAsate sA sAyujyatA /
        iti caturvidhā upāsanā muktiḥ /	iti caturviDAH upAsanA muktiH /
        athādvaitabhaktiḥ /	aTa-advEta-BaktiH /
   sarveśvaramayaṃ bhaktirjñānaṃ cābhedadarśanam /	sarveSvara-mayam BaktiH-jQAnam ca-aBeda-darSanam /
   nirapekṣaṃ ca vairāgyaṃ muktaṃ nirviṣayaṃ manaḥ // 1 //	nirapekzam ca vErAgyam muktam nirvizayam manaH // 1 //
   kintu cāṇḍālādibrahmaparyantaṃ sarvabhūteṣu īśvararūpaṃ bhāvayet /	kintu cANxAla-Adi-brahma-paryantam sarva-BUtezu ISvara-rUpam BAvayet /
   yathārhaṃ ṣoḍaśopacāreṇa pūjayet / sā bhaktiḥ na tu pratimā /	yaTArham zoxaSa-upacAreNa pUjayet / sA BaktiH na tu pratimA /
   brahmādipipīlikāparyantaṃ svaśarīravadabhedaṃ jñātvā tajjñānaṃ	brahma-Adi-pipIlikA-paryantam sva-SarIra-vat-aBedam jQAtvA tat-jQAnam
   paradehāhisvadehāvayamekīkṛtya sarvatra ekameva piṇḍamavadhārayet	para-deha-ahi-sva-dehO=-ayam-ekIkRtya sarvatra ekam-eva piNxam-avaDArayet-
   brahmādisthāvaraparyantamihāmutra nirāśā / mukti nāma vṛttiśūnyam / tatra	brahma-Adi-sTAvara-paryantam-iha-amutra nirASA / mukti nAma vRtti-SUnyam / tatra
   pramāṇam -	pramANam -
   sarvabhūteṣu yaḥ paśyedbhagavadbhāvamātmanaḥ /	sarva-BUtezu yaH paSyet-Bagavat-BAvam-AtmanaH /
   bhūtāni ca bhavatyātmaleṣabhāgavatottamaḥ // 2 //	BUtAni ca Bavati-Atma-leza-BAgavata-uttamaH // 2 //
   yadā bhūtapṛthakbhāvamekasthamanupaśyati /	yadA BUta-pRTakBAvam-ekasTam-anupaSyati /
   tata eva ca vistāraṃ brahma sampadyate tadā // 3 //	tatas eva ca vistAram brahma sampadyate tadA // 3 //
   prajahāti yadā kāmān sarvānpārtha manogatān /	prajahAti yadA kAmAn sarvAn-pArTa manaH-gatAn /
   ātmanyevātmanastuṣṭaḥ svapataḥ sa na khidyate // 4 //	Atmani-eva-AtmanaH-tuzwaH svapataH sa na Kidyate // 4 //
   gītāsu /	gItAsu /
   brahmādisthāvarānteṣu vairāgyaṃ yaddhi jāyate /	brahma-Adi-sTAvara-antezu vErAgyam yat-hi jAyate /
   yathaiva kākaviṣṭhāyāṃ vairāgyaṃ taddhi nirmalam // 5 //	yaTA-eva kAka-vizWAyAm vErAgyam tat-hi nirmalam // 5 //
        iti advaitabhaktiḥ /	iti advEta-BaktiH /
        atha vivekajñānanirṇayaḥ /	aTa viveka-jQAna-nirNayaH /
   akrodhavairāgyajitendriyatvaṃ kṣamādayāśāntijanapriyatvam /	akroDa-vErAgya-jita-indriya-tvam kzamA-AdayA-SAnti-jana-priya-tvam /
   nirlobhadātā bhavamuktiheturjñānasya cihnaṃ daśalakṣaṇāni // 1 //	nirloBa-dAtA Bava-mukti-hetuH-jQAnasya cihnam daSa-lakzaNAni // 1 //
   karma adhyātmatattvaṃ ca brahmajñānamataḥ param /	karma aDyAtma-tattvam ca brahma-jQAnam-atas param /
   indraṃ catvāri vācyārthamātmalakṣaṃ sukhāvaham // 2 //	indram catvAri vAcya-arTam-Atma-lakzam suKa-Avaham // 2 //
   karmajñānī bhavejjīvaḥ puruṣo 'dhyātmasaṃjñakaḥ /	karma-jQAnI Bavet-jIvaH puruzaH aDyAtma-saMjQakaH /
   īśvarastattvavettā ca sarvaṃ brahmeti brahmatā // 3 //	ISvaraH-tattva-vettA ca sarvam brahma-iti brahma-tA // 3 //
   varṇāśramaṃ ca dharmaṃ ca hotrādikarmatatparāḥ /	varNa-ASramam ca Darmam ca hotrAdi-karma-tatparAH /
   bhajanaṃ sarvabhūteṣu jñānaṃ ca karmasajñitam // 4 //	Bajanam sarva-BUtezu jQAnam ca karma-sajQitam // 4 //
   vairāgyādhyātmaśāstraṃ ca yasya māyā vinirgatā /	vErAgya-aDyAtma-SAstram ca yasya mAyA vinirgatAH /
   jijñāsā mananādhyāsaṃ jñānamadhyātmasaṃjñitam // 5 //	jijQAsA mananA-aDyAsam jQAnam-aDyAtma-saMjQitam // 5 //
   ālokya dharmasāṃkhyādidharmakarmakriyāvidhīḥ /	Alokya Darma-sAMKya-Adi-Darma-karma-kriyA-viDIH /
   tadarthavyatirekeṇa tattvajñānaṃ tadocyate // 6 //	tad-arTa-vyatirekeNa tattva-jQAnam tadA-ucyate // 6 //
   samādhiśabdavākyārthaṃ brahmākāratayā vṛtiḥ /	samADi-Sabda-vAkya-arTam brahma-AkAra-tayA vRtiH /
   ekākī nispṛhaḥ śānto brahmajñānaṃ tadocyate // 7 //	ekAkI nispRhaH SAntaH brahma-jQAnam tadA-ucyate // 7 //
   vāco yasminnivartante liṅgaṃ galitasarvadhīḥ /	vAcaH yasmin-nivartante liFgam galita-sarva-DIH /
   svayameva svarūpasthaṃ svamiva svaṃ virājate // 8 //	svayam-eva svarUpa-sTam svam-iva svam virAjate // 8 //
   uktācāravihīnasya svabuddhirvartate 'khilam /	ukta-AcAra-vihInasya sva-budDiH-vartate aKilam /
   dravyādiviṣayasvārthānsa jīvo nīcaśabditaḥ // 9 //	dravya-Adi-vizaya-sva-arTAn-sa jIvaH nIca-SabditaH // 9 //
   sadācārarato nityaṃ dvandvātītaśca nispṛhaḥ /	sat-AcAra-rataH nityam dvandva-atItaH-ca nispRhaH /
   śuṣkañcāpyaśanaṃ caiva puruṣastasya ucyate // 10 //	SuzkaQcA-api-aSanam ca-eva puruzaH-tasya ucyate // 10 //
   daṇḍakāśāyamātraṃ ca kāmakrodhavivarjitaḥ /	daNxakASAya-mAtram ca kAma-kroDa-vivarjitaH /
   bhramarībhuktasantoṣamīśvarastasya ucyate // 11 //	BramarI-Bukta-santozam-ISvaraH-tasya ucyate // 11 //
   digvāsaṃ ca svasaṃvedyamānandaṃ svaparaṃ na hi /	digvAsam ca sva-saMvedyam-Anandam sva-param na hi /
   pāṇipātre ca yadbhuṃkte sa brahma rājate mahīm // 12 //	pANi-pAtre ca yat-BuMkte sa brahma rAjate mahIm // 12 //
   dehāntitaṃ sadākālaṃ varṇāśramavivarjitam /	deha-antitam sadA-kAlam varNa-ASrama-vivarjitam /
   yatkṛtaṃ tatsadācāramātmārāmo virājate // 13 //	yat-kRtam tat-sat-AcAram-Atma-ArAmaH virAjate // 13 //
   iti	iti
        atha dharmaśāstre-	aTa Darma-SAstre-
   aniṣṭamiṣṭamiśraṃ ca trividhaṃ karmaṇaḥ phalam //	anizwam-izwa-miSram ca triviDam karmaNaH Palam //
   paśumiśrastathā jñānī siddhajñeyaṃ ca pañcakam /	paSumiSraH-taTA jQAnI sidDa-jQeyam ca paQcakam /
   etairlakṣaṇasaṃyuktaṃ vṛttibhedena kathyate // 14 //	etEH-lakzaNa-saMyuktam vRtti-Bedena kaTyate // 14 //
   uktvā uktvā ca kāryeṇa dravyaṃ ca sādhayettataḥ /	uktvA uktvA ca kAryeNa dravyam ca sADayet-tatas /
   śiśnodararatāḥ svārthaṃ satpaśorlakṣaṇaṃ smṛtam // 15 //	SiSna-udara-ratAH sva-arTam sat-paSoH-lakzaNam smRtam // 15 //
   yugācāreṇa vartante saṃmataṃ varṇamāśramam /	yuga-AcAreNa vartante saMmatam varNam-ASramam /
   ātmasvārthaṃ na jānāti sa miśraṃ lakṣaṇaṃ smṛtam // 16 //	Atma-sva-arTam na jAnAti sa miSram lakzaNam smRtam // 16 //
   vedaśāstrārthasarvajño uktācāraśca tatparaḥ /	veda-SAstra-arTa-sarvajQaH ukta-AcAraH-ca tad-paraH /
   yathoktvā ca vadedvākyaṃ sa jñānī lakṣaṇocyate // 17 //	yaTA-uktvA ca vadet-vAkyam sa jQAnI lakzaNa-ucyate // 17 //
   kāryaṃ ca anyathākartuṃ yadvaktuṃ tattu sādhayet /	kAryam ca anyaTAkartum yat-vaktum tat-tu sADayet /
   sañcitārthānvadetprājñaḥ sa siddhirlakṣaṇocyate // 18 //	saQcita-arTAn-vadet-prAjQaH sa sidDiH-lakzaNa-ucyate // 18 //
   kāryakāraṇakartṛtvaṃ vihāya vicarenmahīm /	kArya-kAraNa-kartR-tvam vihAya vicaret-mahIm /
   stunādapī nikāmī ca ānandaṃ jñeyalakṣaṇam // 19 //	stunAdapI nikAmI ca Anandam jQeya-lakzaNam // 19 //
        iti nirvedajñānanirṇayaḥ /	iti nirveda-jQAna-nirNayaH /
   dehavarṇāśrayā dharmā kalpanāvedanirmitāḥ /	deha-varNa-ASrayAH DarmAH kalpanA-veda-nirmitAH /
   tā hi nirmokavattyājyāḥ so 'hameko nirañjanaḥ // 20 //	tAH hi nirmoka-vat-ti-AjyAH saH aham-ekaH niraQjanaH // 20 //
   tasmājjñānāttu kaivalyamityādiśruteḥ jñānāgnidagdhakarmāṇīti gītā /	tasmAt-jQAnAt-tu kEvalyam-ityAdi-SruteH jQAna-agni-dagDa-karmANi-iti gItAH /
   parokṣaṃ śāstriyajñānamaparokṣaṃ ca śāśvatam /	parokzam SAstriya-jQAnam-aparokzam ca SASvatam /
   prathamaṃ janmakarmāṇi dvitīyaṃ saccidātmakam // 21 //	praTamam janma-karmANi dvitIyam saccit-Atmakam // 21 //
   utpattisthitisaṃhārabhūtaṃ bhūteṣu yujyate /	utpatti-sTiti-saMhAra-BUtam BUtezu yujyate /
   ātmā ca tatra sākṣī ca jagaddraṣṭā ca sūryavat // 22 //	AtmA ca tatra sAkzI ca jagat-drazwA ca sUrya-vat // 22 //
   bhūtādivyaktirūpaṃ ca acaraṃ carameva ca /	BUta-Adi-vyakti-rUpam ca acaram caram-eva ca /
   tadindrajālavatpaśyedyathā nu vīcivajjagat // 23 //	tad-indrajAla-vat-paSyet-yaTA nu vIci-vat-jagat // 23 //
   kalpanābaddhajantuśca sadā jalpati doṣavat /	kalpanA-badDa-jantuH-ca sadA jalpati dozavat /
   vapurnṛtyati rathyāyāṃ yāvatpatati bhūtale // 24 //	vapuH-nRtyati raTyAyAm yAvat-patati BU-tale // 24 //
   jano bālapiśācatvaṃ kiṃ lajjāyogivṛndinām /	janaH bAla-piSAca-tvam kim lajjA-yogi-vRndinAm /
