   śrīmadarcaṭaviracitā	SrImat arcawa viracitA
   strīpratyayanimittaṃ yathābhūtam iyaṃ brāhmaṇī, āvapanam iyam uṣṭriketi |	strI pratyaya nimittam yaTABUtam iyam brAhmaNI, Avapanam iyam uzwrikA iti |
   __________NOTES__________	__________NOTEH __________
   [3] prayojanābhidhānam	[3] prayojana aBiDAnam
   [4] śrotṛjanapravṛttyarthatvam	[4] SrotR jana pravRtti arTa tvam
   [5] prayojanārthitayā	[5] prayojana arTi tayA
   [6] prayojanābhidhānasya	[6] prayojana aBiDAnasya
   [7] ādivākyasya niścāyakatvasaṃvarṇanam	[7] Adi vAkyasya niScAyaka tva saMvarNanam
   [8] prayojana 	[8] prayojana 
   [9] upāya 	[9] upAya 
   [10] saṃśayāt	[10] saMSayAt 
   [11] prayojanaviśeṣopāyatvasya	[11] prayojana viSeza upAya tvasya
   [12] saṃśayasya	[12] saMSayasya
   [13] tadvyutpatti 	[13] tat vyutpatti 
   [14] śābdanyāyena	[14] SAbda nyAyena
   [15] prakaraṇavyāpāra 	[15] prakaraNa vyApAra 
   [16] prakaraṇa 	[16] prakaraNa 
   [17] prayojanam    T.	[17] prayojanam   T.
   [18] strītvam	[18] strI tvam
   [sarvaparokṣapratīter liṅgajatvād evānumānatvasūcanam |]	[sarva parokza pratIteH liFga ja tvAt eva anumAna tva sUcanam |]
       anena ca sarvā parokṣā[rtha]pratipattiḥ pramāṇabhūtā, anyasmāt	anena ca sarvA parokza a[rTa] pratipattiH pramANa BUtA, anyasmAt 
   tatpratipatty ayogāt, trirūpaliṅgāśrayaivety uktaṃ bhavati [S. 4b.]	tat pratipatti ayogAt, triru upa liFga ASrayA eva iti uktam Bavati [S. 4b.]
   anumānāśrayatvād eveti avadhāraṇāt | [tataś ca śabdādī]nāṃ sati prāmāṇye	anumAna ASraya tvAt eva iti avaDAraNAt | [tatas ca Sabda AdI]nAm sati prAmANye
   'numānatā, anyathā[19]teṣām api vyutpādyatāprasaṅgo	anumAna tA, anyaTA[19]tezAm api vyutpAdyatA prasaFgaH 
   nimittasya[20]samānatvāt |	nimittasya[20]samAna tvAt |
       tathā hi    sarvā parokṣārthapratipattiḥ pra[māṇabhūtā], na svatantrā	taTA hi   sarvA parokza arTa pratipattiH pra[mANa BUtA], na svatantrA
   bhavati | tasyāḥ[21]svārthapratibandhābhāvena niyamena	Bavati | tasyAH[21]sva arTa pratibanDa aBAvena niyamena
   tatsaṃvādāyogāt[22]| avisaṃvādalakṣaṇatvāc ca pramāṇasya | anyato 'pi	tad saMvAda ayogAt[22]| avisaMvAda lakzaNa tvAt ca pramANasya | anyatas api
   [asambaddhād  yadi syā]t [T. 208a.] sarvataḥ sarvapratipattiprasaṅgāt	[a sambadDAt  yadi syA]t [T. 208a.] sarvatas sarva pratipatti prasaFgAt 
   dharmyasambandhe 'pi sarvatra pratītiṃ janayet,	Darmya sambanDe api sarvatra pratItim janayet ,
   pratyāsattiviprakarṣābhāvāt | ^6evambhūtaś ca[23]trirūpa[liṅgam evārtho	pratyAsatti vipra karza aBAvAt | ^6evamBUtaH ca[23]trirUpa[liFgam eva arTaH 
   bhava]tīti sarvā parokṣārthapratipattis trirūpaliṅgajatvenānumānāt na	Bava]ti iti sarvA parokza arTa pratipattiH trirUpa liFga ja tvena anumAnAt na
   bhidyata iti | eṣa cārthaḥ pakṣadharmas tadaṃśena vyāpto hetuḥ, kasya?,	Bidyate iti | eza ca arTaH pakza DarmaH tad aMSena vyAptaH hetuH, kasya?,
   parokṣā[rthapratipatte]r iti [S. 5.a] prakṛtena saṃbandhād darśitaḥ,	parokza a[rTa pratipatte]H iti [S. 5.a] prakRtena saMbanDAt darSitaH,
   pakṣadharma eva tadaṃśena vyāpta eva ca parokṣārthapratipatter hetur ity	pakza DarmaH eva tad aMSena vyAptaH eva ca parokza arTa pratipatteH hetuH iti 
   avadhāraṇāt |	avaDAraNAt |
   __________NOTES__________	__________NOTEH __________
   [19] avadhāraṇābhāve	[19] avaDAraNa aBAve
   [20] parokṣārthapratipattikāraṇatvasya	[20] parokza arTa pratipatti kAraNa tvasya
   [21] svatantrapratipatteḥ	[21] svatantra pratipatteH
   [22] svārtha 	[22] sva arTa 
   [23] pratibaddhaṃ pakṣasaṃbaddhaṃ ca	[23] pratibadDam pakza saMbadDam ca
   [svalakṣaṇasyaiva vastutvaṃ na sāmānyasyeti sthāpanam |]	[sva lakzaNasya eva vastu tvam na sAmAnyasya iti sTApanam |]
       arthagrahaṇaṃ tu parokṣārthapratipatter ity a[numā]nasyāpi	arTa grahaNam tu parokza arTa pratipatteH iti a[numA]nasya api
   svalakṣaṇaviṣayaṃ prāmāṇyaṃ darśayitum | arthakriyāsamartho hy arthaḥ,	sva lakzaNa vizayam prAmANyam darSayitum | arTa kriyA samarTaH hi arTaH,
   svalakṣaṇaṃ caivamātmakam | ata eva    vastv adhiṣṭhānatvāt	sva lakzaNam ca evam Atmakam | atas eva   vastu aDizWAna tvAt 
   pramāṇavyavasthāyāḥ    [iti va]kṣyati | anyathā'numānāt tatra pravṛttir na	pramANa vyavasTAyAH   [iti va]kzyati | anyaTA anumAnAt tatra pravRttiH na
   syād arthakriyārthinaḥ |	syAt arTa kriyA arTinaH |
   {p. 5.1} sāmānyasyāvastutve 'pi jñānamātralakṣaṇatvāt tadarthakriyāyāḥ	{p. 5.1} sAmAnyasya avastu tve api jQAna mAtra lakzaNa tvAt tad arTa kriyAyAH
   tasyāś ca tadu[tpādya]tvena siddhatvāt | na hi jātir dāhapākādāv	tasyAH ca tad u[tpAdya] tvena sidDa tvAt | na hi jAtiH dAha pAka AdO= 
   upayujyate, svalakṣaṇasyaiva tatropayogāt[24]| tatsambandhāt tatra	upayujyate, sva lakzaNasya eva tatra upayoga at[24]| tad sambanDAt tatra
   pravṛttir iti cet; na, nityasyānupakāra[katvena] kenacit sambhandhābhāvāt	pravRttiH iti cet; na, nityasya anupakAra[ka tvena] kenacid samBanDa aBAvAt 
   | saty api ca sambandhe katham anyapratipattāv anyatra pravṛttiḥ,	| sati api ca sambanDe kaTam anya pratipattO anyatra pravRttiH,
   atiprasaṅgāt | [S. 5b.] samavāyasya sūkṣmatvenānavasitavivekasyāvasāyād	atiprasaFgAt | [S. 5b.] samavAyasya sUkzma tvena anavasita vivekasya avasAyAt 
   bhrāntyā tatra pravṛttir iti cet; [T. 208b.] evaṃ tarhi bhrāntimātram	BrAntyA tatra pravRttiH iti cet; [T. 208b.] evam tarhi BrAnti mAtram
   evāstu, kim antargaḍunā sāmānyena? | nirbbījabhrāntyayogād iti cet; tā eva	eva astu, kim antar gaxunA sAmAnyena? | nirbbIja BrAnti ayogAt iti cet; tAH eva
   vyaktayas tadekakā[ryakāriṇyo bhrānter bījam] | varṇākṛtisamānākāraṃ hi	vyaktayaH tad eka kA[rya kAriNyaH BrAnteH bIjam] | varNa AkRti samAna AkAram hi
   sāmānyajñānam | na ca sāmānyaṃ tadrūpam, tat kathaṃ tad bhrānter bbījam |	sAmAnya jQAnam | na ca sAmAnyam tat rUpam, tat kaTam tat BrAnteH bbIjam |
   sādṛśyanibandhanā hi bhrāntir iṣyate paraiḥ | vyaktya eva	sAdRSya nibanDanA hi BrAntiH izyate parEH | vyaktyaH eva
   cā[samānajā]tīyavyāvṛttāḥ sāmānyākārajñānasvarūpās tatas tā eva	ca a[samAna jA]tIya vyAvRttAH sAmAnya AkAra jQAna svarUpAH tatas tAH eva
   bhrāntibījam, atadrūpavyāvṛttes tāsu bhāvāt | vastubhūtasya tu sāmānyasya	BrAnti bIjam, atadrUpa vyAvRtteH tAsu BAvAt | vastu BUtasya tu sAmAnyasya
   sambhandh[āsaṃbhave]na tāsu bhāvāyogāc ca |	samBanD[A saMBave] na tAsu BAva ayogAt ca |
       yais[25]tu vyaktyātmakam eva sāmānyaṃ kalpitaṃ taiḥ svalakṣaṇaviṣayam	yEs[25]tu vyakti Atmakam eva sAmAnyam kalpitam tEH sva lakzaNa vizayam
   anumānasya prāmāṇyam abhyupagatam eva bhavati | svalakṣaṇātmakaṃ tu	anumAnasya prAmANyam aByupagatam eva Bavati | sva lakzaNa Atmakam tu
   sāmānyaṃ katham anumāne[26]pratibhāsate, vaiśeṣikadarśanopagamaprasaṅgāt |	sAmAnyam kaTam anumAne[26] pratiBAsate, vESezika darSana upagama prasaFgAt |
   ................................................................................................................................[S.6a	...............................................................................................................................
   and  S.	and  S.
   6b.]...................................................................................................	6b.]...................................................................................................
   {p. 6.1} [ 1. hetoḥ sāmānyanirūpaṇam |]	{p. 6.1} [ 1. hetoH sAmAnya nirUpaNam |]
   [§ 1. hetos tritvena vyāptiḥ kathaṃ phaliteti carcā |]	[§ 1. hetoH tri tvena vyAptiH kaTam PalitA iti carcA |]
   __________NOTES__________	__________NOTEH __________
   [24] varṇākṛtyayogāc ca	[24] varNa akRtya yogAt ca
   [25] sāṃkhyaiḥ	[25] sAMKyEH
   [26] svalakṣaṇāpratibhāse	[26] sva lakzaNa apratiBAse
       [S. 7a.] ............ hi kathitam | tatra kāryasvabhāvayor	[S. 7a.] ............ hi kaTitam | tatra kArya svaBAvayoH 
   vidhisādhanatvān na pratiṣedhe sādhye vyāpāraḥ | anupalabdhito 'pi na	viDi sADana tvAt na pratizeDe sADye vyApAraH | anupalabDitaH api na
   hetvantarābhāvaniścayo yataḥ sā caturddhā'vasthitā	hetu antara aBAva niScayaH yatas sA caturdDA avasTitA
   svabhāva[kāraṇa]vyāpakānupalabdhayo viruddha[T. 209b.]viddhiś ceti[27]|	svaBAva[ kAraNa] vyApaka anupalabDayaH virudDa[T. 209b.]vidDiH ca iti[27]|
   tulyayogyatārūpasyaikajñānasaṃsargiṇaḥ svabhāvānupalabdhir	tulya yogya tArUpasya eka jQAna saMsargiNaH svaBAva anupalabDiH 
   anyopalabdhirūpā abhāvavyavahārahetur iṣyate | na [ca hetvan]taram	anya upalabDi rUpAH aBAva vyavahAra hetuH izyate | na [ca hetu an]taram
   atyantābhāvatayopagatam anukrāntarūpam[28], yadi hi syāddeśādiniṣedha	atyanta aBAva tayA upagatam anukrAnta rUpam [28], yadi hi syAt deSa Adi nizeDa
   evāsya syāt nātyantābhāvaḥ | kāraṇavyāpakānupalabdhī tu siddhe	eva asya syAt na atyanta aBAvaH | kAraNa vyApaka anupalabDI tu sidDe
   kārya[kāraṇa]vyāpyavyāpakabhāve bhavataḥ | na ca hetvantare	kArya[ kAraNa] vyApya vyApaka BAve BavataH | na ca hetu antare
   'tyantāsattayāṅgīkṛte prakāro 'yaṃ sambhavati | tat kathaṃ te tadabhāvaṃ	atyantA sattayA aFgIkRte prakAraH ayam samBavati | tat kaTam te tad aBAvam
   gamayiṣyataḥ | virodho 'py avikala[kāraṇasya] bhavato 'nyabhāve 'bhāvād	gamayizyataH | viroDaH api avikala[ kAraNasya] BavataH anya BAve aBAvAt 
   avagamyata iti viruddhopalabdhir apy asambhavinī | sambhave vā	avagamyate iti virudDa upalabDiH api asamBavinI | samBave vA
   kāraṇānupalabdhy ādīnāṃ katham atyantaniṣedhaḥ? ity āśaṅkyāha   	kAraNa anupalabDi AdInAm kaTam atyanta nizeDaH? iti ASaFkya Aha   
   hetvābhāsās tato 'para iti | tataḥ trividdhād dhetoḥ apare anye	hetvABAsAH tatas aparaH iti | tatas trividDAt DetoH apare anye
   hetvābhāsāḥ yatas tatas tridhaiva sa iti |	hetvABAsAH yatas tatas triDA eva saH iti |
       evaṃ manyate    iha yad[29]yatra niyamyate [tadvi]paryayeṇa [S. 7b.]	evam manyate   iha yat [29]yatra niyamyate [tad vi]paryayeNa [S. 7b.]
   tadvipakṣasya vyāptau sa niyamaḥ siddhyati | yathā yat sat tat kṣaṇikam	tad vipakzasya vyAptO sa niyamaH sidDyati | yaTA yat sat tat kzaNikam
   eveti sattvasya kṣaṇikeṣu niyama ucyamānaḥ sattvaviparyayeṇā[sa]ttvena	eva iti sattvasya kzaNikezu niyamaH ucyamAnaH sattva viparyayeNa a[sa]ttvena
   kṣaṇikavipakṣasyākṣaṇikasya vyāptau siddhyati | evam ihāpi tritve hetur	kzaNika vipakzasya akzaNikasya vyAptO sidDyati | evam iha api tri tve hetuH 
   niyamyamāno hetuviparyayeṇa hetvābhāsatvena trisaṃkhyābā[hyasyārtha]sya	niyamyamAnaH hetu viparyayeNa hetvABAsa tvena tri saMKyA bA[hi asya arTa]sya
   vyāptau trisāṃkhyāyām eva niyato bhavati | tatas trividhahetuvyatiriktānām	vyAptO tri sAMKyAyAm eva niyataH Bavati | tatas triviDa hetu vyatiriktAnAm
   arthānāṃ hetvābhāsatāṃ darśayati | tena svabhāvaviruddhopalabdhyā	arTAnAm hetvABAsa tAm darSayati | tena svaBAva virudDa upalabDyA
   [kārya sva]bhāvānupalambhavyatiriktānām arthānāṃ hetutvābhāva[T.	[kArya  sva]BAva anupalamBa vyatiriktAnAm arTAnAm hetu tva aBAva[T.
   210a.]niścaya iti | hetutadābhāsayoś ca	210a.] niScayaH iti | hetu tad ABAsayoH ca
   parasparaparihārasthitalakṣaṇatayaiva virodho	paraspara parihAra sTita lakzaNa tayA eva viroDaH 
   {p. 7.1} [hetula]kṣaṇapratītikāla eva pratipannaḥ |	{p. 7.1} [hetu la]kzaNa pratIti kAle eva pratipannaH |
   tadātmaniyatapratibhāsajñānād[30]eva tadviparītasyānyatayā	tad Atma niyata pratiBAsa jQAnAt [30]A iva tad viparItasya anyatayA
   tadābhāsatāpratīteḥ, parasparam itaretararūpābhāva[niśca]yāt | tatra	tad ABAsatA pratIteH, parasparam itaretara rUpa aBAva[ niSca]yAt | tatra
   trividhahetuvyatirikteṣv artheṣu hetvābhāsatvam upalabhyamānaṃ	triviDa hetu vyatiriktezu arTezu hetvABAsa tvam upalaByamAnam
   svaviruddhaṃ hetutvaṃ nirākaroti | te ca hetutrayabāhyā arthā	sva virudDam hetu tvam nirAkaroti | te ca hetu traya bAhyA arTA
   nātyantāsatta[yopa][S. 8a.]gatā nāpi hetutvaṃ teṣu niṣidhyamānaṃ, kevalaṃ	na atyanta asatta[yA upa][S. 8a.] gatA na api hetu tvam tezu niziDyamAnan, kevalam
   vyāmohāt hetutvam anyatra prasiddham eva tatrā ''ropitam āśaṅkitaṃ vā	vyAmohAt hetu tvam anyatra prasidDam eva tatrA aaropitam ASaFkitam vA
