   Vārāhagṛhyasūtra, 1	VArAha-gRhya-sUtra, 1
   samāv apracchinnaprāntau darbhau prādeśamātrau pavitre stho vaiṣṇavye	samO apracCinna-prAntO darBO prAdeSa-mAtrO pavitre sTaH vEzNavye
   ityoṣadhyā chittvā viṣṇormanasā pūte stha ity adbhis trir unmṛjya	iti-ozaDyA CittvA vizNoH-manasA pUte sTaH iti adBiH tris unmRjya
   prokṣaṇīr dharmaiḥ saṃskṛtya praṇītāṃ praṇīya nirvapaṇaprokṣaṇasaṃvapanam	prokzaNIH DarmEH saMskRtya praNItAm praNIya nirvapaNa-prokzaNa-saMvapanam
   iti yathādevataṃ carum adhiśritya sruksruvaṃ pramṛjyābhyukṣyāgnau	iti yaTAdevatam carum aDiSritya sruc-sruvam pramRjya-aByukzya-agnO
   pratāpyāditir asi nācchinnapattrety ājyam agnāv adhiśrayati // VGrs_1.12	pratApya-aditiH asi na-AcCinna-pattra-iti Ajyam agnO aDiSrayati // VGrH-_1.12
   pṛśneḥ payo 'sīty ājyaṃ nirvapati // VGrs_1.13	pRSneH payaH asi-iti Ajyam nirvapati // VGrH-_1.13
   pari vājapatir ityājyahaviś ca triḥ paryagnikaroti // VGrs_1.14	pari vAja-patiH iti-Ajya-haviH ca tris paryagnikaroti // VGrH-_1.14
   devas tvā savitotpunātv ityājyaṃ śrapayati // VGrs_1.15	devaH tvA savitA-utpunAtu iti-Ajyam Srapayati // VGrH-_1.15
   tūṣṇīm idhmābarhir viprokṣya yathā mnātam abhiparistṛṇāti // VGrs_1.16	tUzNIm iDmA-barhiH viprokzya yaTA mnAtam aBiparistRNAti // VGrH-_1.16
   paridhīn paridadhāti // VGrs_1.17	pariDIn paridaDAti // VGrH-_1.17
   tejo 'sītyājyamavekṣya paścādagnerdarbheṣvāsādayati // VGrs_1.18	tejaH asi-iti-Ajyam-avekzya paScAt-agneH-darBezu-AsAdayati // VGrH-_1.18
   abhighārya sthālīpākamuttarata udvāsayati // VGrs_1.19	aBiGArya sTAlIpAkam-uttaratas udvAsayati // VGrH-_1.19
   sakṛdevedhmamādhāya vairūpākṣaḥ prathamo homānām // VGrs_1.20	sakRt-eva-iDmam-ADAya vErUpAkzaH praTamaH homAnAm // VGrH-_1.20
   brahmāṇam āmantrya samidham ādhāyāghārāv āghāryājyabhāgau hutvā yunajmi	brahmANam Amantrya samiDam ADAya-AGArO AGArya-Ajya-BAgO hutvA yunajmi
   tveti ca yojayitvā // VGrs_1.21	tvA-iti ca yojayitvA // VGrH-_1.21
   nahy ayukto havyaṃ vahata iti ha vijñāyate // VGrs_1.22	nahi ayuktaH havyam vahate iti ha vijQAyate // VGrH-_1.22
   kāmaṃ purastāddhuro juhoti /	kAmam purastAt-DuraH juhoti /
   yukto vaha jātavedaḥ purastādidaṃ viddhi kriyamāṇaṃ yatheha /	yuktaH vaha jAtavedaH purastAt-idam vidDi kriyamANam yaTA-iha /
   tvaṃ bhiṣagbheṣajasyāsi goptā tvayā prasūtā gāmaśvaṃ pūruṣaṃ sanema /	tvam Bizaj-Bezajasya-asi goptA tvayA prasUtA gAm-aSvam pUruzam sanema /
   svāhā /	svAhA /
   iti // VGrs_1.23	iti // VGrH-_1.23
   viśvā agne tvayā vayaṃ dhārā udanyā iva /	viSvAH agne tvayA vayam DArAH udanyAH iva /
   atigāhemahi dviṣam // VGrs_1.24	ati-gAhemahi dvizam // VGrH-_1.24
   iti /	iti /
   nakṣatramiṣṭvā devatāṃ yajeta /	nakzatram-izwvA devatAm yajeta /
   ahorātramṛtuṃ tithiṃ ca // VGrs_1.25	ahorAtram-Rtum tiTim ca // VGrH-_1.25
   abhighārya yaddevataṃ haviḥ syāttac ca juhuyād yathādevataṃ yathādevatayā	aBiGArya yat-devatam haviH syAt-tat ca juhuyAt yaTAdevatam yaTAdevatayA
   carcā // VGrs_1.26	carcAH // VGrH-_1.26
   ākūtāya svāhā /	AkUtAya svAhA /
   ākūtaye svāheti jayān juhuyāt // VGrs_1.27	AkUtaye svAhA-iti jayAn juhuyAt // VGrH-_1.27
   prajāpatiḥ prāyacchat /	prajApatiH prAyacCat /
   iḍām agna iti sviṣṭakṛtam uttarārdhapūrvārdhe juhuyāt // VGrs_1.28	ixAm agne iti svizwakRtam uttara-arDa-pUrva-arDe juhuyAt // VGrH-_1.28
   mekṣaṇam upayāmaṃ pavitre cānvādadhyāt // VGrs_1.29	mekzaNam upayAmam pavitre ca-anvAdaDyAt // VGrH-_1.29
   anv adya no 'numatiḥ /	anu adya naH anumatiH /
   anv id anumate tvam iti /	anu id anumate tvam iti /
   bhūḥ svāheti prāyaścittāhutīśca // VGrs_1.30	BUH svAhA-iti prAyaScitta-AhutIH-ca // VGrH-_1.30
   tvan no 'gne /	tvat naH agne /
   sa tvan no 'gne /	sa tvat naH agne /
   mano jyotiḥ /	manaH jyotiH /
   trayastriṃśattantavaḥ /	trayastriMSat-tantavaH /
   ayāścāgne 'sīti ca // VGrs_1.31	ayAH-ca-agne asi-iti ca // VGrH-_1.31
   imaṃ stanaṃ madhumantaṃ dhayāpāṃ prapīnamagne salilasya madhye /	imam stanam maDumantam DayA-apAm prapInam-agne salilasya maDye /
   utsaṃ juṣasva madhumantam ūrmiṃ samudryaṃ sadanam āviśasva /	utsam juzasva maDumantam Urmim samudryam sadanam AviSasva /
   svāhā /	svAhA /
   iti paridhivimokam abhijuhoti // VGrs_1.32	iti pariDi-vimokam aBijuhoti // VGrH-_1.32
   annapata ityannasya juhuyāt // VGrs_1.33	annapate iti-annasya juhuyAt // VGrH-_1.33
   edho 'syedhīṣīmahi svāheti samidham ādadhāti /	eDaH asya-iDIzImahi svAhA-iti samiDam AdaDAti /
   samidasi samedhiṣīmahīti dvitīyām // VGrs_1.34	samiD-asi sameDizImahi-iti dvitIyAm // VGrH-_1.34
   barhiṣi pūrṇapātraṃ ninayet // VGrs_1.35	barhizi pUrNa-pAtram ninayet // VGrH-_1.35
   eṣo 'vabhṛthaḥ // VGrs_1.36	ezaH avaBRTaH // VGrH-_1.36
   pākayajñānām etattantram // VGrs_1.37	pAkayajQAnAm etat-tantram // VGrH-_1.37
   āpohiṣṭhīyābhir mārjayitvā paryukṣeta // VGrs_1.38	ApohizWIyABiH mArjayitvA paryukzeta // VGrH-_1.38
   varo dakṣiṇā /	varaH dakziNA /
   aśvaṃ varaṃ vidyāt /	aSvam varam vidyAt /
   gāmityeke // VGrs_1.39	gAm-iti-eke // VGrH-_1.39
   Vārāhagṛhyasūtra, 2	VArAha-gRhya-sUtra, 2
   prāṅmukham udaṅmukhaṃ vā sūtikālayaṃ kalpayitvā dhruvaṃ prapadye śubhaṃ	prAFmuKam udaFmuKam vA sUtikA-Alayam kalpayitvA Druvam prapadye SuBam
   prapadya āśāṃ prapadya iti kāle prapādayet // VGrs_2.1	prapadye ASAm prapadye iti kAle prapAdayet // VGrH-_2.1
   reto mūtramiti cyāvanībhyāṃ dakṣiṇaṃ kukṣim abhimṛśet /	retaH mUtram-iti cyAvanIByAm dakziNam kukzim aBimRSet /
   śrāvayedvā // VGrs_2.2	SrAvayet-vA // VGrH-_2.2
   putraṃ jātam anvakṣaṃ snātaṃ na mātopahanyād ā mantraprayogāt // VGrs_2.3	putram jAtam anvakzam snAtam na mAtA-upahanyAt A mantra-prayogAt // VGrH-_2.3
   agner abhyāhitasya parisamūḍhasya paristīrṇasya paścād ahate vāsasi	agneH aByAhitasya parisamUXasya paristIrNasya paScAt ahate vAsasi
   kumāraṃ prākśirasam uttānaṃ saṃveśya palāśasya madhyamaṃ parṇaṃ praveṣṭya	kumAram prAc-Sirasam uttAnam saMveSya palASasya maDyamam parNam pravezwya
   tenāsya karṇāv ājapet bhūs tvayi dadhānīti dakṣiṇe /	tena-asya karNO Ajapet BUH tvayi daDAni-iti dakziNe /
   bhuvas tvayi dadhānīti savye /	BuvaH tvayi daDAni-iti savye /
   svas tvayi dadhānīti dakṣiṇe /	svar tvayi daDAni-iti dakziNe /
   bhūr bhuvaḥ svas tvayi dadhānīti savye // VGrs_2.4	BUH BuvaH svar tvayi daDAni-iti savye // VGrH-_2.4
   athainam abhimantrayete /	aTa-enam aBimantrayete /
   aśmā bhava paraśur bhava hiraṇyam astṛtaṃ bhava /	aSmA Bava paraSuH Bava hiraNyam astRtam Bava /
   aṅgād aṅgāt sambhavasi hṛdayād adhijāyase /	aFgAt aFgAt samBavasi hRdayAt aDijAyase /
   ātmā vai putranāmāsi sa jīva śaradaḥ śatam /	AtmA vE putra-nAmA-asi sa jIva SaradaH Satam /
   iti // VGrs_2.5	iti // VGrH-_2.5
   yatra śete tadabhimṛśet veda te bhūmi hṛdayaṃ divi candramasi śritam /	yatra Sete tad-aBimRSet veda te BUmi hRdayam divi candramasi Sritam /
   vedāmṛtasya devā māhaṃ putryam aghaṃ rudam /	veda-amRtasya devAH mA-aham putryam aGam rudam /
   iti // VGrs_2.6	iti // VGrH-_2.6
   ājyaṃ saṃskṛtya brahmāṇam āmantrya samidham ādhāyāghārāv āghāryājyabhāgau	Ajyam saMskRtya brahmANam Amantrya samiDam ADAya-AGArO AGArya-Ajya-BAgO
   hutvā vyāhṛtibhiś catasra ājyāhutīr juhuyāt /	hutvA vyAhRtiBiH catasraH Ajya-AhutIH juhuyAt /
   jayābhyātānānāṃ rāṣṭrabhṛtaś caike // VGrs_2.7	jaya-aByAtAnAnAm rAzwraBRtaH ca-eke // VGrH-_2.7
   kāṃsye camase vāhūtisampātān avanīya tasmin suvarṇaṃ saṃnighṛṣya	kAMsye camase vA-AhUti-sampAtAn avanIya tasmin suvarNam saMniGRzya
   vyāhṛtibhiḥ kumāraṃ catuḥ prāśayet /	vyAhRtiBiH kumAram catuH prASayet /
   atyantam eke suvarṇaprāśanam udake nighṛṣyā dvādaśavarṣatāyāḥ // VGrs_2.8	atyantam eke suvarNa-prASanam udake niGRzyAH dvAdaSa-varzatAyAH // VGrH-_2.8
   iṣaṃ pinva /	izam pinva /
   ūrjaṃ pinveti stanau prakṣālya pradhāpayet /	Urjam pinveti stanO prakzAlya praDApayet /
   dakṣiṇaṃ pūrvaṃ savyaṃ paścāt // VGrs_2.9	dakziNam pUrvam savyam paScAt // VGrH-_2.9
   sviṣṭakṛte hutvā prāyaścittāhutīśca samidhamādhāya paryukṣati // VGrs_2.10	svizwakRte hutvA prAyaScitta-AhutIH-ca samiDam-ADAya paryukzati // VGrH-_2.10
   eṣa karmānto bahirdvāre 'gnir nityaḥ /	eza karmAntaH bahirdvAre agniH nityaH /
   kaṇasarṣapayavānāṃ homaḥ /	kaNa-sarzapa-yavAnAm homaH /
   vyāhṛtibhir juhuyāt // VGrs_2.11	vyAhRtiBiH juhuyAt // VGrH-_2.11
   apratirathaṃ japet /	apratiraTam japet /
   indro bhūtasyeti ṣaḍarcaṃ ca // VGrs_2.12	indraH BUtasya-iti zaxarcam ca // VGrH-_2.12
   sūtikālayaṃ yathākālaṃ samantād udakena pariṣiñcet // VGrs_2.13	sUtikA-Alayam yaTAkAlam samantAt udakena pariziQcet // VGrH-_2.13
   Vārāhagṛhyasūtra, 3	VArAha-gRhya-sUtra, 3
   evam eva daśamyāṃ kṛtvā pitā mātā ca putrasya nāma dadhyatām	evam eva daSamyAm kRtvA pitA mAtA ca putrasya nAma daDyatAm
   ghoṣavadādyantarantasthaṃ dīrghābhiniṣṭānāntaṃ kṛtaṃ na taddhitaṃ	Gozavat-Adi-antar-anta-sTam dIrGa-aBinizwAna-antam kRtam na tat-hitam
   dvyakṣaraṃ caturakṣaraṃ vā tyaktvā pitur nāmadheyāt	dvi-akzaram catur-akzaram vA tyaktvA pituH nAmaDeyAt-
   nakṣatradevateṣṭanāmāno vā // VGrs_3.1	nakzatra-devatA-izwa-nAmAnaH vA // VGrH-_3.1
   dvināmā tu brāhmaṇaḥ // VGrs_3.2	dvi-nAmA tu brAhmaNaH // VGrH-_3.2
   nāmaiva kanyāyāḥ akāravyavadhānam ākārāntam ayugmākṣaraṃ	nAma-eva kanyAyAH akAra-vyavaDAnam AkAra-antam ayugma-akzaram
   nadīnakṣatracandrasūryapūṣadevadattarakṣitāvarjam // VGrs_3.3	nadI-nakzatra-candra-sUrya-pUza-devadatta-rakzitA-varjam // VGrH-_3.3
   navanītena pāṇī pralipya somasya tvā dyumnenety enamabhimṛśet // VGrs_3.4	navanItena pANI pralipya somasya tvA dyumnena-iti enam-aBimRSet // VGrH-_3.4
   sarveṣu kumārakarmasv āgneyaḥ sthālīpākaḥ prājāpatyo vā // VGrs_3.5	sarvezu kumAra-karmasu AgneyaH sTAlIpAkaH prAjApatyaH vA // VGrH-_3.5
   sarvatrānādeśe 'gniḥ puṃsām aryamā strīṇām // VGrs_3.6	sarva-trAnAdeSe agniH puMsAm aryamA strINAm // VGrH-_3.6
   saṃvatsaraṃ mātāpitarau na māṃsam aśnīyātām // VGrs_3.7	saMvatsaram mAtA-pitarO na mAMsam aSnIyAtAm // VGrH-_3.7
   putrasya jātadante yajetāgniṃ gavā paśunā vā // VGrs_3.8	putrasya jAta-dante yajeta-agnim gavA paSunA vA // VGrH-_3.8
   viproṣitaḥ pratyetya putrasya mūrdhānaṃ trir ājighret paśūnāṃ tvā	viprozitaH pratyetya putrasya mUrDAnam tris AjiGret paSUnAm tvA
   hiṃkāreṇābhijighrāmīti // VGrs_3.9	hiMkAreNa-aBijiGrAmi-iti // VGrH-_3.9
   jātakarmavaddhastāṅguliṃ praveṣṭya tenāsya karṇāv ājapet // VGrs_3.10	jAtakarma-vat-hasta-aFgulim pravezwya tena-asya karNO Ajapet // VGrH-_3.10
   athainamabhimantrayate aśmā bhaveti // VGrs_3.11	aTa-enam-aBimantrayate aSmA Bava-iti // VGrH-_3.11
   agnidhanvantarī putravratī chāgameṣābhyām iṣṭvā dīrghāṇāṃ vyāhṛtibhiḥ	agni-DanvantarI putra-vratI CAga-mezAByAm izwvA dIrGANAm vyAhRtiBiH
   kumāraṃ catuḥ prāśayet /	kumAram catuH prASayet /
   āyurdā deveti ca // VGrs_3.12	AyuH-dA deva-iti ca // VGrH-_3.12
   kumārakarmāṇi śukla udagayane puṇye nakṣatre navamīvarjam /	kumAra-karmANi SuklaH udagayane puNye nakzatre navamI-varjam /
   sarva ṛtavo vivāhe 'māghacaitrau māsau parihāpyottaraṃ ca naidāgham //	sarve RtavaH vivAhe amAGa-cEtrO mAsO parihApya-uttaram ca nEdAGam //
   VGrs_3.13	VGrH-_3.13
   anvārambhayitvā havanam // VGrs_3.14	anvAramBayitvA havanam // VGrH-_3.14
   Vārāhagṛhyasūtra, 4	VArAha-gRhya-sUtra, 4
   tṛtīyavarṣasya jaṭāḥ kurvanti /	tRtIya-varzasya jawAH kurvanti /
   yathā vā kulakalpaḥ // VGrs_4.1	yaTA vA kula-kalpaH // VGrH-_4.1
   agnim upasamādhāya parisamuhya paristīrya paryukṣya dakṣiṇato 'gner	agnim upasamADAya parisamuhya paristIrya paryukzya dakziNatas agneH-
   brahmāṇam upaveśyottarata udapātraṃ śamīśamakavat // VGrs_4.2	brahmANam upaveSya-uttaratas uda-pAtram SamI-Samaka-vat // VGrH-_4.2
   athainam abhimantrayate hiraṇyavarṇāḥ śucaya iti catasṛbhiḥ /	aTa-enam aBimantrayate hiraNya-varNAH SucayaH iti catasRBiH /
   yā oṣadhaya ityanuvākena /	yAH ozaDayaH iti-anuvAkena /
   śaṃ no devīr abhiṣṭaya āpo bhavantu pītaye /	Sam naH devIH aBizwaye ApaH Bavantu pItaye /
   śaṃ yor abhisravantu naḥ /	Sam yoH aBisravantu naH /
   priyāḥ śaṃ na āpo dhanvanyāḥ śaṃ naḥ santu nūpyāḥ /	priyAH Sam naH ApaH DanvanyAH Sam naH santu nUpyAH /
   śaṃ naḥ samudryā āpaḥ śam u naḥ santu kūpyāḥ /	Sam naH samudryAH ApaH Sam u naH santu kUpyAH /
   śaṃ no mitraḥ śaṃ varuṇaḥ śaṃ no bhavatv aryamā /	Sam naH mitraH Sam varuNaH Sam naH Bavatu aryamA /
   śaṃ na indraś cāgniś ca śaṃ no viṣṇur urukramaḥ /	Sam naH indraH ca-agniH ca Sam naH vizNuH urukramaH /
   iti /	iti /
   tāsām udakārthān kurvīta paryukṣaṇe 'bhyundane snāpane ca // VGrs_4.3	tAsAm udaka-arTAn kurvIta paryukzaNe aByundane snApane ca // VGrH-_4.3
   ājyaṃ saṃskṛtya brahmāṇam āmantrya samidham ādhāyāghārāv āghāryājyabhāgau	Ajyam saMskRtya brahmANam Amantrya samiDam ADAya-AGArO AGArya-Ajya-BAgO
   hutvā agnā āyūṃṣi pavasa iti saptabhiḥ sapta hutvā // VGrs_4.4	hutvA agnO AyUMzi pavase iti saptaBiH sapta hutvA // VGrH-_4.4
   āyurdā deveti ca /	AyuH-dA deva-iti ca /
   ye keśinaḥ prathame sattram āsata yebhir āvṛtaṃ yadidaṃ virājati /	ye keSinaH praTame sattram Asata yeBiH AvRtam yat-idam virAjati /
   tebhyo juhomy āyuṣe dīrghāyutvāya svastaye /	teByaH juhomi Ayuze dIrGa-Ayu-tvAya svastaye /
   iti // VGrs_4.5	iti // VGrH-_4.5
   vyāhṛtibhiśca // VGrs_4.6	vyAhRtiBiH-ca // VGrH-_4.6
   uktaḥ karmāntaḥ pūrveṇa // VGrs_4.7	uktaH karmAntaH pUrveNa // VGrH-_4.7
   śītena vāya udakenedhi /	SItena vAyo udakena-iDi /
   uṣṇena vāya udakenedhīti taptā itarābhiḥ saṃsṛjya ārdradānava stha jīvadān	uzNena vAyo udakena-iDi-iti taptAH itarABiH saMsRjya Ardra-dAnava sTa jIvadAn
   avasthondatīriṣamāvadety apo 'bhimantrya dakṣiṇaṃ keśāntam abhyundyāt /	avasTA-unda-ti-Irizam-Avada-iti apaH aBimantrya dakziNam keSAntam aByundyAt /
   aditiḥ keśān vapatvāpa undantu jīvase /	aditiH keSAn vapa-tvA-apaH undantu jIvase /
   dīrghāyutvāya svastaye /	dIrGa-Ayu-tvAya svastaye /
   iti // VGrs_4.8	iti // VGrH-_4.8
   dakṣiṇasmin keśānte darbham ūrdhvāgraṃ nidadhāti // VGrs_4.9	dakziNasmin keSAnte darBam UrDva-agram nidaDAti // VGrH-_4.9
   oṣadhe trāyasvainam iti darbhamantardadhāti // VGrs_4.10	ozaDe trAyasva-enam iti darBam-antardaDAti // VGrH-_4.10
   svadhite mainaṃ hiṃsīr iti kṣureṇābhinidadhāti // VGrs_4.11	svaDite mA-enam hiMsIH iti kzureNa-aBinidaDAti // VGrH-_4.11
   yenāvapatsavitā kṣureṇa somasya rājño varuṇasya vidvān /	yena-avapat-savitA kzureNa somasya rAjQaH varuNasya vidvAn /
   tena brahmāṇo vapatedam asyāyuṣmān ayaṃ jaradaṣṭir yathāsat /	tena brahmANaH vapata-idam asya-AyuzmAn ayam jara-dazwiH yaTAsat /
   ahamasau /	aham-asO /
   iti pravapati // VGrs_4.12	iti pravapati // VGrH-_4.12
   dakṣiṇato mātānyā vāvidhavānaḍuhena gomayenābhūmigatān keśān parigṛhṇīyāt	dakziNatas mAtA-anyAH vA-aviDava-Anaxuhena gomayena-aBUmi-gatAn keSAn parigRhNIyAt-
   // VGrs_4.13	// VGrH-_4.13
   mā te keśān anugād varca etattathā dhātā dadhātu te /	mA te keSAn anugAt varcaH etat-taTA DAtA daDAtu te /
   tubhyamindro varuṇo bṛhaspatiḥ savitā varca ādadhuḥ /	tuByam-indraH varuNaH bRhaspatiH savitA varcaH AdaDuH /
   iti prapatato 'numantrayate // VGrs_4.14	iti prapatataH anumantrayate // VGrH-_4.14
   tena dharmeṇa punar apo 'bhimantryāparaṃ keśāntam abhyundyād uttaraṃ ca //	tena DarmeNa punar apaH aBimantrya-aparam keSAntam aByundyAt uttaram ca //
   VGrs_4.15	VGrH-_4.15
   anyau tu pravapanau yena pūṣā bṛhaspater agner indrasya cāyuṣe 'vapat /	anyO tu pravapanO yena pUzA bRhaspateH agneH indrasya ca-Ayuze avapat /
   tena te vapāmyāyuṣe dīrghāyutvāya svastaye /	tena te vapAmi-Ayuze dIrGa-Ayu-tvAya svastaye /
   iti paścāt /	iti paScAt /
   yena bhūyaś caratyayaṃ jyok ca paśyasi sūryam /	yena BUyas carati-ayam jyok ca paSyasi sUryam /
   tena te vapāmy āyuṣe dīrghāyutvāya suślokyāya suvarcase /	tena te vapAmi Ayuze dIrGa-Ayu-tvAya suSlokyAya suvarcase /
   ityuttarataḥ // VGrs_4.16	iti-uttaratas // VGrH-_4.16
   yat kṣureṇa parcayatā supeśasā vaptar vapasi keśān /	yat kzureNa parcayatA supeSasA vaptar vapasi keSAn /
   śundha śiro māsyāyuḥ pramoṣīḥ /	SunDa SiraH mAsi-AyuH pramozIH /
   iti lohāyasaṃ kṣuraṃ keśavāpāya prayacchati // VGrs_4.17	iti lohAyasam kzuram keSa-vApAya prayacCati // VGrH-_4.17
   yathārthaṃ keśayatnān kurvanti dakṣiṇataḥ kapardā vasiṣṭhānām ubhayato	yaTArTam keSa-yatnAn kurvanti dakziNatas kapardA vasizWAnAm uBayatas-
   'tribhārgavakāśyapānāṃ pañcacūḍā āṅgirasaḥ śikhino 'nye // VGrs_4.18	atri-BArgava-kASyapAnAm paQcacUxAH AFgirasaH SiKinaH anye // VGrH-_4.18
   vājim eke maṅgalārtham // VGrs_4.19	vAjim eke maFgala-arTam // VGrH-_4.19
   tryāyuṣaṃ kaśyapasya jamadagnes tryāyuṣam agastyasya tryāyuṣam /	tri-Ayuzam kaSyapasya jamadagneH tri-Ayuzam agastyasya tri-Ayuzam /
   yad devānāṃ tryāyuṣaṃ tan me astu śatāyuṣam /	yat devAnAm tri-Ayuzam tat me astu Sata-Ayuzam /
   iti śiraḥ saṃmṛśati // VGrs_4.20	iti SiraH saMmRSati // VGrH-_4.20
   parigṛhya gomayena keśān uttarapūrvasyāṃ gṛhasya mūṣyām antarā gehāt	parigRhya gomayena keSAn uttara-pUrvasyAm gRhasya mUzyAm antarA gehAt-
   paladaṃ ca nidadhyāt /	paladam ca nidaDyAt /
   arikte vā vapane /	arikte vA vapane /
   uptvāya keśāntān varuṇāya rājño bṛhaspatiḥ savitā viṣṇurindraḥ /	uptvAya keSAntAn varuNAya rAjQaH bRhaspatiH savitA vizNuH-indraH /
   tebhyo nidhānaṃ mahad anvavindann antarā dyāvāpṛthivī apa svaḥ //	teByaH niDAnam mahat anvavindan antarA dyAvApRTivI apa svar //
   VGrs_4.21	VGrH-_4.21
   iti /	iti /
   kartre varaṃ dadāti // VGrs_4.22	kartre varam dadAti // VGrH-_4.22
   pakṣmaguṇaṃ tilapiśitaṃ ca keśavāpāya prayacchati // VGrs_4.23	pakzma-guNam tila-piSitam ca keSa-vApAya prayacCati // VGrH-_4.23
   saṃvatsaraṃ mātā nāmlāya dhārayet /	saMvatsaram mAtA na-amlAya DArayet /
   roṣāya nāśnīyāt /	rozAya na-aSnIyAt /
   lavaṇavarjaṃ tūṣṇīm // VGrs_4.24	lavaNa-varjam tUzNIm // VGrH-_4.24
   kanyāyā āhutivarjam // VGrs_4.25	kanyAyAH Ahuti-varjam // VGrH-_4.25
   viduṣo brāhmaṇān arthasiddhiṃ vācayet // VGrs_4.26	viduzaH brAhmaNAn arTa-sidDim vAcayet // VGrH-_4.26
   evam uttareṣu // VGrs_4.27	evam uttarezu // VGrH-_4.27
   Vārāhagṛhyasūtra, 5	VArAha-gRhya-sUtra, 5
   garbhāṣṭameṣu brāhmaṇamupanayet /	garBa-azwamezu brAhmaNam-upanayet /
   ṣaṣṭhe saptame pañcame vā // VGrs_5.1	zazWe saptame paQcame vA // VGrH-_5.1
   tato garbhaikādaśeṣu kṣatriyaṃ garbhadvādaśeṣu vaiśyam // VGrs_5.2	tatas garBa-ekAdaSezu kzatriyam garBadvAdaSezu vESyam // VGrH-_5.2
   prākṣoḍaśād varṣād brāhmaṇasyāpatitā sāvitrī dvāviṃśāt kṣatriyasya	prAc-zoxaSAt varzAt brAhmaNasya-ApatitA sAvitrI dvAviMSAt kzatriyasya
   caturviṃśād vaiśyasya /	caturviMSAt vESyasya /
