   akartṛtvam abhoktṛtvaṃ Avg_18.51a	akartR-tvam aBoktR-tvam Avc-_18.51a
   aho cin-mātram evāham Avg_7.5a	aho cin--mAtram eva-aham Avc-_7.5a
   aho jana-samūhe 'pi Avg_2.21a	aho jana--samUhe api Avk-_2.21a
   aho tatra sthito yogī Avg_4.2c	aho tatra sTitaH yogI Avk-_4.2c
   aho nirañjanaḥ śānto Avg_2.1a	aho niraQjanaH SAntaH Avk-_2.1a
   aho para-daśā kvāpi Avg_17.10c	aho para-daSA kvApi Avc-_17.10c
   aho bhuvana-kallolair Avg_2.23a	aho Buvana--kallolEH Avc-_2.23a
   aho mayi sthitaṃ viśvaṃ Avg_2.18c	aho mayi sTitam viSvam Avk-_2.18c
   aho vikalpitaṃ viśvam Avg_2.9a	aho vikalpitam viSvam Avk-_2.9a
   ākāśavad ananto 'haṃ Avg_6.1a	AkASa-vat anantaH aham Avc-_6.1a
   ākāśasyeva dhīrasya Avg_18.66c	AkASasya-iva DIrasya Avc-_18.66c
   ācakṣva śṛṇu vā tāta Avg_16.1a	Acakzva SRNu vA tAta Avc-_16.1a
   ājīvam api jijñāsuḥ Avg_15.1c	AjIvam api jijQAsuH Avk-_15.1c
   ātma-jñānān na bhāsate Avg_2.7b	Atma--jQAnAt na BAsate Avc-_2.7b
   ātma-tanmatram evedaṃ Avg_2.5c	Atma-tanmatram eva-idam Avc-_2.5c
   ātmano na tathā bhinnaṃ Avg_2.4c	AtmanaH na taTA Binnam Avc-_2.4c
   ātma-viśrānti-tṛptena Avg_18.93a	Atma-viSrAnti--tRptena Avc-_18.93a
   ātmājñānāj jagad bhāti Avg_2.7a	Atma-ajQAnAt jagat BAti Avk-_2.7a
   ātmājñānād aho prītir Avg_3.2a	Atma-ajQAnAt aho prItiH Avk-_3.2a
   ātmā tvaṃ prakṛteḥ paraḥ Avg_15.8d	AtmA tvam prakRteH paraH Avk-_15.8d
   ātmā tvaṃ mukta evāsi Avg_15.20c	AtmA tvam muktaH eva-asi Avc-_15.20c
   ātmā na gantā nāgantā Avg_15.9c	AtmA na gantA na-AgantA Avc-_15.9c
   ātmānam atisundaram Avg_3.4b	AtmAnam ati-sundaram Avk-_3.4b
   ātmānam advayaṃ kaścij Avg_4.6a	AtmAnam advayam kaScid Avc-_4.6a
   ātmānaṃ kevalaṃ paśyan Avg_3.9c	AtmAnam kevalam paSyan Avk-_3.9c
   ātmānaṃ taṃ na jānanti Avg_18.35c	AtmAnam tam na jAnanti Avk-_18.35c
   ātmānaṃ na didṛkṣati Avg_18.83b	AtmAnam na didRkzati Avc-_18.83b
   ātmānaṃ paribhāvaya Avg_1.13b	AtmAnam pariBAvaya Avc-_1.13b
   ātmānaṃ paśyato muneḥ Avg_18.74b	AtmAnam paSyataH muneH Avc-_18.74b
   ātmā brahmeti niścitya Avg_18.8a	AtmA brahma-iti niScitya Avc-_18.8a
   ātmā muktaḥ sanātanaḥ Avg_18.7b	AtmA muktaH sanAtanaH Avc-_18.7b
   ātmārāmasya dhīrasya Avg_18.23c	Atma-ArAmasya DIrasya Avc-_18.23c
   ātmā sākṣī vibhuḥ pūrṇa Avg_1.12a	AtmA sAkzI viBuH pUrNaH Avk-_1.12a
   ātmaivedaṃ jagat sarvaṃ Avg_4.4a	AtmA-eva-idam jagat sarvam Avk-_4.4a
   ādāya hṛdayodarāt Avg_19.1b	AdAya hRdaya-udarAt Avc-_19.1b
   ānanda-paramānandaḥ Avg_1.10c	Ananda-parama-AnandaH Avc-_1.10c
   āpadaḥ sampadaḥ kāle Avg_11.3a	ApadaH sampadaH kAle Avc-_11.3a
   ā-brahma-stamba-paryantam Avg_11.7a	A--brahma--stamba--paryantam Avc-_11.7a
   ā-brahma-stamba-paryante Avg_4.5a	A--brahma-stamba--paryante Avc-_4.5a
   ābhāso 'haṃ bhramaṃ muktvā Avg_1.13c	ABAsaH aham Bramam muktvA Avk-_1.13c
   āyāsāt sakalo duḥkhī Avg_16.3a	AyAsAt sakalaH duHKI Avk-_16.3a
   āśā-nairāśyayoḥ samaḥ Avg_5.4b	ASA-nErASyayoH samaH Avk-_5.4b
   āścaryaṃ kāmam ākāṅkṣet Avg_3.7c	AScaryam kAmam AkAFkzet Avc-_3.7c
   āścaryaṃ kāma-vaśago Avg_3.6c	AScaryam kAma--vaSa-gaH Avc-_3.6c
   āścaryaṃ jīva-vīcayaḥ Avg_2.25b	AScaryam jIva-vIcayaH Avc-_2.25b
   āścaryaṃ mokṣa-kāmasya Avg_3.8c	AScaryam mokza-kAmasya Avc-_3.8c
   āśramānāśramaṃ dhyānaṃ Avg_12.5a	ASramAn-ASramam DyAnam Avc-_12.5a
   āsīt yā jīvite spṛhā Avg_2.22d	AsIt yA jIvite spRhA Avc-_2.22d
   āsīd asti bhaviṣyati Avg_15.18b	AsIt asti Bavizyati Avc-_15.18b
   āsthitaḥ paramādvaitaṃ Avg_3.6a	AsTitaH parama-advEtam Avc-_3.6a
   icchānicchā-vivarjane Avg_4.5d	icCA-nicCA--vivarjane Avc-_4.5d
   iti kṣīṇā vikalpanāḥ Avg_18.9b	iti kzINAH vikalpanAH Avc-_18.9b
   iti cintānurodhī yaḥ Avg_18.25c	iti cintA-anuroDI yaH Avk-_18.25c
   iti jñatvaikam ātmānam Avg_5.2c	iti jQa-tva-ekam AtmAnam Avc-_5.2c
   iti jñānaṃ tathaitasya Avg_6.1c	iti jQAnam taTA-etasya Avc-_6.1c
   iti jñānaṃ tathaitasya Avg_6.2c	iti jQAnam taTA-etasya Avc-_6.2c
   iti jñānaṃ tathaitasya Avg_6.3c	iti jQAnam taTA-etasya Avc-_6.3c
   iti jñānaṃ tathaitasya Avg_6.4c	iti jQAnam taTA-etasya Avc-_6.4c
   iti niścaya-vahninā Avg_1.9b	iti niScaya--vahninA Avc-_1.9b
   iti niścitya śāmyati Avg_9.3d	iti niScitya SAmyati Avc-_9.3d
   iti vijñāya dhīro hi Avg_18.7c	iti vijQAya DIraH hi Avc-_18.7c
   iti sañcintya tattvataḥ Avg_13.3b	iti saQcintya tattvataH Avc-_13.3b
   iti sarvā vimuñca tāḥ Avg_9.8b	iti sarvAH vimuQca tAH Avc-_9.8b
   ity asakto 'spṛhaḥ śānta Avg_7.4c	iti asaktaH aspRhaH SAntaH Avc-_7.4c
   idaṃ kṛtam idaṃ neti Avg_16.5a	idam kRtam idam na-iti Avc-_16.5a
   idaṃ kṛtam idaṃ neti Avg_18.12c	idam kRtam idam na-iti Avc-_18.12c
   idaṃ grāhyam idaṃ tyājyaṃ Avg_3.13c	idam grAhyam idam tyAjyam Avc-_3.13c
   indra-jālopamaṃ jagat Avg_7.5b	indra-jAla-upamam jagat Avc-_7.5b
   ivebhaṃ nimba-pallavāḥ Avg_17.3d	iva-iBam nimba--pallavAH Avk-_17.3d
   ihāmutra viraktasya Avg_3.8a	iha-amutra viraktasya Avc-_3.8a
   īśvaraḥ sarva-nirmātā Avg_11.2a	ISvaraH sarva-nirmAtA Avc-_11.2a
   īhitānīhitair mukto Avg_17.12c	Ihita-anIhitEH muktaH Avc-_17.12c
   ucchṛṅkhalāpy akṛtikā Avg_18.52a	ucCRFKalA-api akRtikAH Avk-_18.52a
   udāras tu na vikṣiptaḥ Avg_18.17c	udAraH tu na vikziptaH Avk-_18.17c
   udeti bhavato viśvaṃ Avg_5.2a	udeti BavataH viSvam Avc-_5.2a
   udetu vastam āyātu Avg_7.2c	udetu vastam AyAtu Avc-_7.2c
   udetu vāstam āyātu Avg_15.11c	udetu vA-astam AyAtu Avk-_15.11c
   udbhūtaṃ jñāna-durmitram Avg_3.7a	udBUtam jQAna-durmitram Avc-_3.7a
   udyanti ghnanti khelanti Avg_2.25c	udyanti Gnanti Kelanti Avc-_2.25c
   upadhiḥ kalpito mayā Avg_2.17b	upaDiH kalpitaH mayA Avc-_2.17b
   upaśāntasya yoginaḥ Avg_18.10d	upaSAntasya yoginaH Avk-_18.10d
   upaśāmya sukhaṃ tiṣṭha Avg_15.19c	upaSAmya suKam tizWaH Avc-_15.19c
   upasthetyanta-saṃsakto Avg_3.4c	upasTa-iti-anta--saMsaktaH Avc-_3.4c
   ubhayābhāvakaḥ kaścid Avg_18.42c	uBaya-aBAvakaH kaScid Avc-_18.42c
   eka eva bhavāmbhodhāv Avg_15.18a	ekaH eva Bava-amBoDO Avk-_15.18a
   ekasminn avyaye śānte Avg_15.13a	ekasmin avyaye SAnte Avc-_15.13a
   ekaṃ vijñāya tattvataḥ Avg_3.1b	ekam vijQAya tattvataH Avc-_3.1b
   ekaṃ sarva-gataṃ vyoma Avg_1.20a	ekam sarva--gatam vyomaH Avk-_1.20a
   ekākī ramate tu yaḥ Avg_17.1d	ekAkI ramate tu yaH Avc-_17.1d
   ekāgratā nirodho vā Avg_18.33a	ekAgra-tA niroDaH vA Avk-_18.33a
   eko draṣṭāsi sarvasya Avg_1.7a	ekaH drazwAsi sarvasya Avc-_1.7a
   eko muktaś cid akriyaḥ Avg_1.12b	ekaH muktaH cit akriyaH Avc-_1.12b
   eko viśuddha-bodho 'ham Avg_1.9a	ekaH viSudDa--boDaH aham Avk-_1.9a
   eko 'haṃ cid-raso 'malaḥ Avg_2.16d	ekaH aham cit--rasaH amalaH Avk-_2.16d
   eko 'haṃ dehavān api Avg_2.12b	ekaH aham dehavAn api Avc-_2.12b
   etat-tattvopadeśena Avg_1.18c	etat--tattva-upadeSena Avc-_1.18c
   etad evāham āstitaḥ Avg_7.4d	etat eva-aham AstitaH Avc-_7.4d
   etad evāham āsthitaḥ Avg_7.3d	etat eva-aham AsTitaH Avc-_7.3d
   etad brūhi mama prabho Avg_1.1d	etat brUhi mama praBo Avk-_1.1d
   etasyānartha-mūlasya Avg_18.38c	etasya-anarTa--mUlasya Avc-_18.38c
   etāvad eva vijñānaṃ Avg_15.2c	etAvat eva vijQAnam Avk-_15.2c
   etāvantam ahaṃ kālaṃ Avg_2.1c	etAvantam aham kAlam Avk-_2.1c
   ebhyaḥ saṃsāra-kāntāre Avg_10.7c	eByaH saMsAra--kAntAre Avk-_10.7c
   evam eva kṛtaṃ yena Avg_12.8a	evam eva kRtam yena Avc-_12.8a
   evam eva nirākulaḥ Avg_18.42d	evam eva nirAkulaH Avc-_18.42d
   evam eva layaṃ vraja Avg_5.1d	evam eva layam vrajaH Avc-_5.1d
   evam eva layaṃ vraja Avg_5.2d	evam eva layam vrajaH Avc-_5.2d
   evam eva layaṃ vraja Avg_5.3d	evam eva layam vrajaH Avc-_5.3d
   evam eva layaṃ vraja Avg_5.4d	evam eva layam vrajaH Avc-_5.4d
   evam eva vyava-sthitaḥ Avg_16.8d	evam eva vyava-sTitaH Avc-_16.8d
   evam eva svabhāvo yaḥ Avg_12.8c	evam eva svaBAvaH yaH Avk-_12.8c
   evam evāham āsthitaḥ Avg_12.1d	evam eva-aham AsTitaH Avk-_12.1d
   evam evāham āsthitaḥ Avg_12.3 ???d	evam eva-aham AsTitaH Avk-_12.3 ???d
   evam evāham āsthitaḥ Avg_12.4d	evam eva-aham AsTitaH Avk-_12.4d
   evam evāham āsthitaḥ Avg_12.5d	evam eva-aham AsTitaH Avk-_12.5d
   evam evāham āsthitaḥ Avg_12.6d	evam eva-aham AsTitaH Avk-_12.6d
   evam evāham āsthitaḥ Avg_12.7d	evam eva-aham AsTitaH Avk-_12.7d
   evam evāhaṃ āsthitaḥ Avg_12.2d	evam eva-aham AsTitaH Avk-_12.2d
   evaṃ galita-dhīḥ kṛtī Avg_17.8b	evam galita-DIH kRtI Avc-_17.8b
   evaṃ jñātveha nirvedād Avg_9.1c	evam jQAtvA-iha nirvedAt Avc-_9.1c
   evaṃ vimṛśato nityaṃ Avg_2.17c	evam vimRSataH nityam Avc-_2.17c
   evaṃ vilokya niyamam Avg_12.3 ???c	evam vilokya niyamam Avk-_12.3 ???c
   evaṃ harṣa-viṣādayoḥ Avg_12.4b	evam harza--vizAdayoH Avc-_12.4b
   eṣāṃ sākṣiṇam ātmānaṃ Avg_1.3c	ezAm sAkziNam AtmAnam Avc-_1.3c
   audāsyaṃ vā prapaśyati Avg_18.48d	OdAsyam vA prapaSyati Avc-_18.48d
   kaṭakāṅgada-nūpuram Avg_15.14d	kawaka-aFgada-nUpuram Avc-_15.14d
   katham arthārjane ratiḥ Avg_3.1d	kaTam arTa-arjane ratiH Avc-_3.1d
   kathaṃ kṣubhyet mahāśayaḥ Avg_3.10d	kaTam kzuByet mahA-ASayaH Avc-_3.10d
   kathaṃ jñānam avāpto 'ti Avg_1.1a	kaTam jQAnam avAptaH ati Avc-_1.1a
   kathaṃ trasyati dhīradhīḥ Avg_3.11d	kaTam trasyati DIra-DIH Avc-_3.11d
   kathaṃ muktir bhaviṣyati Avg_1.1b	kaTam muktiH Bavizyati Avc-_1.1b
   kadā śāntāni kasya vā Avg_9.1b	kadA SAntAni kasya vA Avk-_9.1b
   kanake kaṭakaṃ yathā Avg_2.10d	kanake kawakam yaTA Avc-_2.10d
   karoti tattva-bodho 'yam Avg_15.3c	karoti tattva-boDaH ayam Avk-_15.3c
   kartavyataiva saṃsāro Avg_18.57a	kartavya-tA-eva saMsAraH Avc-_18.57a
   kartavya-duḥkha-mārtaṇḍa- Avg_18.3a	kartavya--duHKa-mArtaNxa Avc-_18.3a
   kartum āpnoty atatkṣaṇāt Avg_18.75d	kartum Apnoti atad-kzaNAt Avc-_18.75d
   karma-naiṣkarmya-nirbandha- Avg_13.4a	karma--nEzkarmya--nirbanDa Avc-_13.4a
   karmānuṣṭhānam ajñānād Avg_12.6a	karma-anuzWAnam ajQAnAt Avc-_12.6a
   kalpanā-mātram evaitat Avg_2.20c	kalpanA--mAtram eva-etat Avc-_2.20c
   kalpitaṃ rajju-sarpavat Avg_1.10b	kalpitam rajju--sarpa-vat Avc-_1.10b
   kasyāpi tāta dhanyasya Avg_9.2a	kasya-api tAta Danyasya Avc-_9.2a
   kasyāpy udāra-cittasya Avg_17.6c	kasya-api udAra-cittasya Avc-_17.6c
   kā bubhutsā tathāpi te Avg_10.5d	kA buButsA taTA-api te Avc-_10.5d
   kāya-kṛty-āsahaḥ pūrvaṃ Avg_12.1a	kAya-kRty-AsahaH pUrvam Avk-_12.1a
   kāyena manasā girā Avg_10.8b	kAyena manasA girA Avc-_10.8b
   kālam antam anuśritaḥ Avg_3.7d	kAlam antam anuSritaH Avc-_3.7d
   kim abhyasyati bālavat Avg_18.7d	kim aByasyati bAla-vat Avk-_18.7d
   kim enam anuśocasi Avg_15.9d	kim enam anuSocasi Avc-_15.9d
   kiṃ kṛtyam avaśiṣyate Avg_18.69d	kim kRtyam avaSizyate Avc-_18.69d
   kiṃcit kṛtyaṃ na paśyati Avg_18.82d	kiMcid kRtyam na paSyati Avc-_18.82d
   kiṃcid dhṛṣyati kupyati Avg_8.1d	kiMcid DRzyati kupyati Avc-_8.1d
   kiṃcid vāñchati ṣocati Avg_8.1b	kiMcid vAQCati zocati Avc-_8.1b
   kiṃ cintayati niścinto Avg_18.16c	kim cintayati niScintaH Avc-_18.16c
   kiṃcin nāstīti niścayī Avg_18.70b	kiMcid na-asti-iti niScayI Avc-_18.70b
   kiṃcin nottiṣṭhate mama Avg_20.14d	kiMcid na-uttizWate mama Avc-_20.14d
   kiṃcin muñcati gṛhṇāti Avg_8.1c	kiMcid muQcati gRhNAti Avc-_8.1c
   kiṃ dīna iva dhāvasi Avg_3.3d	kim dInaH iva DAvasi Avc-_3.3d
   kiṃ pṛthak bhāsate svarṇāt Avg_15.14c	kim pRTak BAsate svarNAt Avk-_15.14c
   kiṃ brūte ca karoti kiṃ Avg_18.8d	kim brUte ca karoti kim Avc-_18.8d
   kiṃ me kāryaṃ cidātmanaḥ Avg_2.20d	kim me kAryam cit-AtmanaH Avc-_2.20d
   kiṃ vadantīha satye 'yaṃ Avg_1.11c	kim vadanti-iha satye ayam Avk-_1.11c
   kiṃ vimṛśya kariṣyasi Avg_15.20d	kim vimRSya karizyasi Avc-_15.20d
   kiṃ śuddhas tyaktum icchasi Avg_5.1b	kim SudDaH tyaktum icCasi Avc-_5.1b
   kutaścit kauśalād eva Avg_2.3c	kutaScid kOSalAt eva Avc-_2.3c
   kutaḥ praśama-pīyūṣa- Avg_18.3c	kutas praSama--pIyUza Avc-_18.3c
   kuto janma kutaḥ karma Avg_15.13c	kutas janma kutas karma Avk-_15.13c
   kuto 'haṃkāra eva ca Avg_15.13d	kutas ahaMkAraH eva ca Avc-_15.13d
   kutrāpi khedaḥ kāyasya, Avg_13.2a	kutra-api KedaH kAyasya, Avc-_13.2a
   kutrāpi na jihāsāsti Avg_18.23a	kutra-api na jihAsA-asti Avc-_18.23a
   kuru vijña tathāpi te Avg_16.2b	kuru vijQa taTA-api te Avc-_16.2b
   kurvato 'sya yad-ṛcchayā Avg_18.24b	kurvataH asya yat--RcCayA Avc-_18.24b
   kurvann api karoti na Avg_17.19d	kurvan api karoti naH Avc-_17.19d
   kurvann api karoti na Avg_18.25d	kurvan api karoti naH Avc-_18.25d
   kurvann api tu kṛtyāni Avg_18.58c	kurvan api tu kRtyAni Avk-_18.58c
   kurvann api na lipyate Avg_11.4d	kurvan api na lipyate Avc-_11.4d
   kuśalo hi nirākulaḥ Avg_18.58d	kuSalaH hi nirAkulaH Avc-_18.58d
   kūṭastha-nirvibhāgasya Avg_20.12c	kUwasTa--nirviBAgasya Avc-_20.12c
   kūṭasthaṃ bodham advaitam Avg_1.13a	kUwasTam boDam advEtam Avc-_1.13a
   kṛta-kartavya-nirvṛtaḥ Avg_18.98b	kRta-kartavya--nirvRtaH Avc-_18.98b
   kṛta-kṛtyaḥ sukhaṃ cara Avg_15.18d	kRta-kRtyaH suKam caraH Avc-_15.18d
   kṛtaṃ kim api naiva syād Avg_13.3a	kRtam kim api na-eva syAt Avc-_13.3a
   kṛtaṃ dehena karmedaṃ Avg_18.25a	kRtam dehena karma-idam Avc-_18.25a
   kṛtaṃ na kati janmāni Avg_10.8a	kRtam na kati janmAni Avc-_10.8a
   kṛtākṛte ca dvandvāni Avg_9.1a	kRta-akRte ca dvandvAni Avc-_9.1a
   kṛtārthaḥ sattva-buddhimān Avg_15.1b	kRtArTaH sattva-budDimAn Avk-_15.1b
   kṛtārtho 'nena jñānenety Avg_17.8a	kRtArTaH anena jQAnena-iti Avc-_17.8a
   kṛtyaṃ kim api naivāsti Avg_18.13a	kRtyam kim api na-eva-asti Avc-_18.13a
   kṛtvā mūrti-parijñānaṃ Avg_9.6a	kRtvA mUrti-parijQAnam Avc-_9.6a
   kevalaṃ duḥkhabhāg asau Avg_16.10d	kevalam duHKa-BAj asO Avk-_16.10d
   kevalo ramate budhaḥ Avg_18.87d	kevalaH ramate buDaH Avc-_18.87d
   kaivalyam iva saṃprāpto Avg_11.6c	kEvalyam iva saMprAptaH Avc-_11.6c
   kaivalyam iva saṃsthitaḥ Avg_17.18d	kEvalyam iva saMsTitaH Avc-_17.18d
   ko na śāmyati mānavaḥ Avg_9.5d	kaH na SAmyati mAnavaH Avc-_9.5d
   ko 'nyo nirvāsanād ṛte Avg_18.90d	kaH anyaH nirvAsanAt Rte Avc-_18.90d
   ko 'sau kālo vayaḥ kiṃ vā Avg_9.4a	kaH asO kAlaH vayaH kim vA Avk-_9.4a
   kaupīnatve 'pi durlabham Avg_13.1b	kOpIna-tve api durlaBam Avk-_13.1b
