   akramānantacidrūpaḥ Ipk_1,7.1c	akrama-ananta-cit-rUpaH IpS-_1,7.1c
   ahaṃkāraparāmarśa- Ipk_4.2c	ahaMkAra-parAmarSa IpS-_4.2c
   ahaṃpratītir apy eṣā Ipk_1,2.2c	ahaMpratItiH api ezA IpS-_1,2.2c
   ahaṃpratyavamarśo yaḥ Ipk_1,6.1a	ahaMpratyavamarSaH yaH IpS-_1,6.1a
   ahaṃmṛśyatayāivāsya Ipk_1,5.17c	ahaMmRSya-tayA-aiva-AsyaH IpS-_1,5.17c
   -(ā)calayā prāṇarūpayā Ipk_4.10b	-(A)calayA prANa-rUpayA IpS-_4.10b
   ātmāta eva caitanyaṃ Ipk_1,5.12a	AtmAtaH eva cEtanyam Ipk-_1,5.12a
   ātmānam ata evāyaṃ Ipk_1,5.15a	AtmAnam atas eva-ayam IpS-_1,5.15a
   ātmā yady anubhāvakaḥ Ipk_1,2.3d	AtmA yadi anuBAvakaH IpS-_1,2.3d
   ātmārohaṇabhāsanāt Ipk_1,4.4d	Atma-ArohaNa-BAsanAt Ipk-_1,4.4d
   ātmārthasya prakāśatā Ipk_1,5.2d	Atma-arTasya prakASatA IpS-_1,5.2d
   -(ā)dikapañcakaveṣṭitaḥ Ipk_3,1.9d	-(A)dika-paQcaka-vezwitaH Ipk-_3,1.9d
   ādisiddhe maheśvare Ipk_1,1.2b	Adi-sidDe maheSvare IpS-_1,1.2b
   -(ā)dyābhāsajagadātmanā Ipk_2,4.21b	-(A)dya-ABAsa-jagat-AtmanA IpS-_2,4.21b
   āntaratvāt pramātraikye Ipk_1,8.6a	Antara-tvAt pramAtra-Ekye IpS-_1,8.6a
   āntarāṇāṃ satāṃ sadā Ipk_1,8.5d	AntarANAm satAm sadA Ipk-_1,8.5d
   ābhātam eva bījāder Ipk_1,5.8c	ABAtam eva bIja-AdeH Ipk-_1,5.8c
   -(ā)bhāsanād buddhigocare Ipk_1,6.10d	-(A)BAsanAt budDi-gocare IpS-_1,6.10d
   ābhāsabhedād ekatra Ipk_2,4.19c	ABAsa-BedAt ekatra IpS-_2,4.19c
   ābhāsabhedād vastūnāṃ Ipk_2,3.6a	ABAsa-BedAt vastUnAm IpS-_2,3.6a
   ābhāsabhedā bhinnārtha- Ipk_2,3.5c	ABAsa-BedAH Binna-arTa IpS-_2,3.5c
   ābhāsasadasattvataḥ Ipk_2,1.4b	ABAsa-sada-sattvataH IpS-_2,1.4b
   ābhāsasadasattve tu Ipk_2,1.4c	ABAsasada-sattve tu Ipk-_2,1.4c
   ābhāsaḥ punarābhāsad Ipk_1,5.9a	ABAsaH punar-ABAsat Ipk-_1,5.9a
   ābhāsā anyathānyatra tv Ipk_1,8.1c	ABAsA anyaTA-anyatra tu IpS-_1,8.1c
   ābhāsād dhetuvastunaḥ Ipk_1,5.8d	ABAsAt Detu-vastunaH IpS-_1,5.8d
   ābhāso 'py artha ekasminn Ipk_2,3.3c	ABAsaH api arTaH ekasmin IpS-_2,3.3c
   ālambante vikalpanāḥ Ipk_2,2.5d	Alambante vikalpanAH IpS-_2,2.5d
   -(ā)lābhenārtho 'tha cocyate Ipk_2,4.3d	-(a-a)lABena-arTaH aTa ca-ucyate IpS-_2,4.3d
   ālokābhyantare yathā Ipk_1,7.11b	Aloka-aByantare yaTA IpS-_1,7.11b
   icchayā bhāsayed bahiḥ Ipk_1,6.7d	icCayA BAsayet bahis IpS-_1,6.7d
   icchāto bhartur adhyakṣa- Ipk_1,8.9c	icCAtaH BartuH aDyakza Ipk-_1,8.9c
   icchāmarśaḥ pravartate Ipk_1,5.10d	icCA-marSaH pravartate IpS-_1,5.10d
   iti prakaṭito mayā sughaṭa eṣa mārgo navo Ipk_4.16a	iti prakawitaH mayA suGawaH eza mArgaH navaH IpS-_4.16a
   ittham atyarthabhinnārthā- Ipk_1,7.14a	itTam atyarTa-Binna-arTA Ipk-_1,7.14a
   itthaṃ tathā ghaṭapaṭā- Ipk_2,4.21a	itTam taTA Gawa-pawA Ipk-_2,4.21a
   ityevaṃ parijānataḥ Ipk_4.12b	iti-evam parijAnataH IpS-_4.12b
   idam etādṛgityevaṃ Ipk_2,3.1a	idam etAdRS-iti-evam IpS-_2,3.1a
   idaṃbhāvopapannānāṃ Ipk_3,1.4a	idaMBAva-upapannAnAm IpS-_3,1.4a
   īśasṛṣṭyupajīvinī Ipk_4.9b	ISa-sRzwi-upajIvinI IpS-_4.9b
   īśvarapratyabhijñeyam Ipk_4.18c	ISvara-pratyaBijQeyam IpS-_4.18c
   īśvaro bahir unmeṣo Ipk_3,1.3a	ISvaraH bahis unmezaH IpS-_3,1.3a
   utpalenopapāditā Ipk_4.18d	utpalena-upapAditAH Ipk-_4.18d
   udayākarasūnunā Ipk_4.18b	udaya-Akara-sUnunA IpS-_4.18b
   -(u)palabdhā parato 'pi san Ipk_1,4.1b	-(u)palabDA paratas api san IpS-_1,4.1b
   upādhideśāsaṃvādād Ipk_2,3.13c	upADi-deSA-saMvAdAt Ipk-_2,3.13c
   ubhayendriyavedyatvaṃ Ipk_2,4.4c	uBaya-indriya-vedya-tvam IpS-_2,4.4c
   ullekhasya sukhādeś ca Ipk_1,8.9a	ulleKasya suKa-AdeH ca IpS-_1,8.9a
   eka eva maheśvaraḥ Ipk_4.1b	ekaH eva maheSvaraH IpS-_4.1b
   ekakāryā tathaikyadhīḥ Ipk_2,3.7d	eka-kAryA taTA-Ekya-DIH IpS-_2,3.7d
   ekatvam anivāritam Ipk_2,3.11d	eka-tvam anivAritam IpS-_2,3.11d
   ekatvam eva bhede hi Ipk_2,4.17c	eka-tvam eva Bede hi IpS-_2,4.17c
   ekapratyavamarśākhyād Ipk_2,3.11c	eka-pratyavamarSa-AKyAt IpS-_2,3.11c
   ekasyaivobhayākāra- Ipk_2,4.5c	ekasya-eva-uBaya-AkAra IpS-_2,4.5c
   ekātmano vibhedaś ca Ipk_2,4.18a	eka-AtmanaH viBedaH ca Ipk-_2,4.18a
   ekānekāśrayā matāḥ Ipk_2,2.1d	eka-aneka-ASrayAH matAH IpS-_2,2.1d
   ekābhidhānaviṣaye Ipk_2,3.2c	eka-aBiDAna-vizaye IpS-_2,3.2c
   eketyādi pratikṣiptaṃ Ipk_2,1.1c	eka-ityAdi pratikziptam IpS-_2,1.1c
   eva tv adhipateḥ paraḥ Ipk_2,4.13d	eva tu aDipateH paraH IpS-_2,4.13d
   evam antarbahirvṛttiḥ Ipk_3,1.1a	evam antar-bahis-vRttiH IpS-_3,1.1a
   evam anyonyabhinnānām Ipk_1,3.6a	evam anyonya-BinnAnAm Ipk-_1,3.6a
   evam ātmānam etasya Ipk_4.15a	evam AtmAnam etasya Ipk-_4.15a
   evam ābhāsayaty amūn Ipk_2,4.1b	evam ABAsayati amUn IpS-_2,4.1b
   evam ekā kriyā saiṣā Ipk_2,4.5a	evam ekA kriyA sA-ezA IpS-_2,4.5a
   evam evarthasiddhiḥ syān Ipk_2,2.7a	evam evarTa-sidDiH syAt Ipk-_2,2.7a
   evaṃ rūpyavidābhāva- Ipk_1,7.12a	evam rUpya-vidA-BAva Ipk-_1,7.12a
   evaṃ viduṣa īśituḥ Ipk_2,1.8b	evam viduzaH ISituH IpS-_2,1.8b
   evaṃ smṛtau vikalpe vāpy Ipk_1,6.8a	evam smRtO vikalpe vA-api IpS-_1,6.8a
   -(e)veśaśāktyā tadātmanaḥ Ipk_4.9d	-(e)veSa-SAktyA tad-AtmanaH IpS-_4.9d
   eṣa cānantaśaktitvād Ipk_2,4.1a	eza ca-ananta-Sakti-tvAt IpS-_2,4.1a
   eṣa pramātā māyāndhaḥ Ipk_3,2.2a	eza pramAtA mAyA-anDaH Ipk-_3,2.2a
   eṣāṃ guṇānāṃ karaṇa- Ipk_4.5c	ezAm guNAnAm karaNa IpS-_4.5c
   aiśvaryaiva vyavasthayā Ipk_2,4.9b	ESvaryA-eva vyavasTayA IpS-_2,4.9b
   katham arthaprakāśatā Ipk_1,2.7d	kaTam arTa-prakASa-tA IpS-_1,2.7d
   kathaṃ cid āsādya maheśvarasya Ipk_1,1.1a	kaTam cit AsAdya maheSvarasya Ipk-_1,1.1a
   kathaṃ bhaven na nityaḥ syād Ipk_1,2.3c	kaTam Bavet na nityaH syAt IpS-_1,2.3c
   kathitā jñānasaṃkalpā- Ipk_1,5.18c	kaTitAH jQAna-saMkalpA Ipk-_1,5.18c
   karī māyābhidhā punaḥ Ipk_3,1.7d	karI mAyA-aBiDA punar IpS-_3,1.7d
   karoti mātṛvyāpāra- Ipk_2,2.3c	karoti mAtR-vyApAra IpS-_2,2.3c
   kartari jñātari svātmany Ipk_1,1.2a	kartari jQAtari sva-Atmani IpS-_1,1.2a
   kartary abodhe kārmaṃ tu Ipk_3,2.5c	kartari aboDe kArmam tu Ipk-_3,2.5c
   kartāraḥ pralayākalāḥ Ipk_3,2.8b	kartAraH pralayAkalAH IpS-_3,2.8b
   kartur bodhātmano 'pi yā Ipk_3,1.6b	kartuH boDa-AtmanaH api yA IpS-_3,1.6b
   kartṛkarmatvatattvaiva Ipk_2,4.2c	kartR-karma-tva-tattva-eva IpS-_2,4.2c
   karmādikaluṣaḥ paśuḥ Ipk_3,2.3d	karma-Adi-kaluzaH paSuH IpS-_3,2.3d
   kalodbalitam etac ca Ipk_3,2.11a	kalA-udbalitam etat ca IpS-_3,2.11a
   kalpite nabhasīva vā Ipk_1,6.4d	kalpite naBasi-iva vE IpS-_1,6.4d
   kāñcanojjvalatādayaḥ Ipk_2,3.5b	kAQcana-ujjvalatA-AdayaH IpS-_2,3.5b
   kādācitkāvabhāse yā Ipk_1,6.6a	kAdAcid-ka-avaBAse yAH IpS-_1,6.6a
   kānto lokasamāna evam aparijñāto na rantuṃ yathā Ipk_4.17b	kAntaH loka-samAnaH evam aparijQAtaH na rantum yaTA IpS-_4.17b
   kārakāṇāṃ samanvayaḥ Ipk_2,2.6b	kArakANAm samanvayaH IpS-_2,2.6b
   kāriṇas te padaṃ dhvaneḥ Ipk_2,3.5d	kAriNaH te padam DvaneH IpS-_2,3.5d
   kāryakāraṇatā tataḥ Ipk_2,4.2d	kArya-kAraNa-tA tatas IpS-_2,4.2d
   kāryakāraṇatāpi yā Ipk_2,4.14b	kArya-kAraNa-tA-api yA IpS-_2,4.14b
   kāryakāraṇatā loke Ipk_2,4.4a	kArya-kAraNa-tA loke IpS-_2,4.4a
   kāryakāraṇatāsiddhi- Ipk_1,7.4c	kArya-kAraNa-tA-sidDi IpS-_1,7.4c
   kāryakāraṇatoṣṇatā Ipk_2,3.8b	kArya-kAraNa-tozNa-tA IpS-_2,3.8b
   kāryakāraṇabhāvataḥ Ipk_1,2.10d	kArya-kAraNa-BAvataH Ipk-_1,2.10d
   kāryakāraṇayor api Ipk_2,4.17b	kArya-kAraNayoH api IpS-_2,4.17b
   kāryatvapariṇāminām Ipk_4.5d	kAryatva-pariNAminAm IpS-_4.5d
   kāryam avyabhicāryasya Ipk_2,4.13a	kAryam avyaBicAryasya IpS-_2,4.13a
   kāryavargaś ca daśadhā Ipk_3,1.11c	kArya-vargaH ca daSaDA IpS-_3,1.11c
   kāryasya sthita evaikas Ipk_2,4.7c	kAryasya sTitaH eva-ekaH IpS-_2,4.7c
   kāryaṃ hetuḥ svabhāvo vā- Ipk_2,4.11c	kAryam hetuH svaBAvaH vA Ipk-_2,4.11c
   kālakramam apīśvaraḥ Ipk_2,1.5d	kAla-kramam api-ISvaraH IpS-_2,1.5d
   kālaḥ sūryādisaṃcāras Ipk_2,1.3a	kAlaH sUrya-Adi-saMcAraH IpS-_2,1.3a
   kim tv ālokacayo 'ndhasya Ipk_1,7.10a	kim tu Aloka-cayaH anDasya IpS-_1,7.10a
   kiṃ tu nirmāṇaśaktiḥ sāpy Ipk_2,1.8a	kim tu nirmANa-SaktiH sA-api IpS-_2,1.8a
   kiṃ tu naisargiko jñāne Ipk_1,6.9a	kim tu nEsargikaH jQAne Ipk-_1,6.9a
   kiṃ tu mohavaśād asmin Ipk_1,1.3a	kim tu moha-vaSAt asmin Ipk-_1,1.3a
   kiṃ tv āntaradaśodrekāt Ipk_3,1.2a	kim tu Antara-daSa-udrekAt Ipk-_3,1.2a
   kiṃ pramāṇaṃ navābhāsaḥ Ipk_2,3.16c	kim pramANam nava-ABAsaH IpS-_2,3.16c
   kevalaṃ bhinnasamvedya- Ipk_1,5.21a	kevalam Binna-samvedya Ipk-_1,5.21a
   kevalaṃ mūḍhatāvaśāt Ipk_2,3.17b	kevalam mUXa-tA-vaSAt IpS-_2,3.17b
   ko 'rthaḥ syāt sthāyinātmanā Ipk_1,2.5d	kaH arTaH syAt sTAyina-AtmanA Ipk-_1,2.5d
   krama eva sa tattvataḥ Ipk_2,1.3d	kramaH eva sa tattvataH IpS-_2,1.3d
   kramam ābhāsayaty asau Ipk_2,1.5b	kramam ABAsayati asO IpS-_2,1.5b
   kramikaikasya cocitā Ipk_1,2.9d	kramikA-ekasya ca-ucitAH Ipk-_1,2.9d
   krameṇa janayed ghaṭam Ipk_2,4.9d	krameNa janayet Gawam IpS-_2,4.9d
   krameṇeśvaratāpadam Ipk_4.11d	krameNa-ISvara-tApadam IpS-_4.11d
   kramo bhedāśrayo bhedo 'py Ipk_2,1.4a	kramaH Beda-ASrayaH BedaH api IpS-_2,1.4a
   kriyā kāyāśritā satī Ipk_1,1.5b	kriyA kAya-ASritA satI IpS-_1,1.5b
   kriyākārakabhāvākhyo Ipk_2,4.16c	kriyA-kAraka-BAva-AKyaH Ipk-_2,4.16c
   kriyā kālakramānugā Ipk_2,4.18b	kriyA kAla-krama-anugAH IpS-_2,4.18b
   kriyā kālakramānugā Ipk_3,1.1b	kriyA kAla-krama-anugAH IpS-_3,1.1b
   kriyā nirmātṛtāsya sā Ipk_2,4.1d	kriyA nirmAtRtA-asya sA IpS-_2,4.1d
   kriyā naikasya sakramā Ipk_2,1.1b	kriyA na-ekasya sa-kramAH IpS-_2,1.1b
   kriyāpy arthasya kāyādes Ipk_1,2.9a	kriyA-api arTasya kAya-AdeH IpS-_1,2.9a
   kriyāyāḥ kālaśaktitaḥ Ipk_2,1.2b	kriyAyAH kAla-SaktitaH IpS-_2,1.2b
   kriyāvimarśaviṣayaḥ Ipk_2,2.6a	kriyA-vimarSa-vizayaH IpS-_2,2.6a
   kriyāvaicitryanirbhāsāt Ipk_2,1.5c	kriyA-vEcitrya-nirBAsAt Ipk-_2,1.5c
   kriyāsaṃbandhasāmānya- Ipk_2,2.1a	kriyA-saMbanDa-sAmAnya Ipk-_2,2.1a
   khaṇḍyetāsya svatantratā Ipk_1,5.15d	KaNxi-eta-asya svatantra-tA IpS-_1,5.15d
   gāḍham ullikhyamāne tu Ipk_1,8.4a	gAXam ulliKyamAne tu Ipk-_1,8.4a
   guṇaiḥ śabdādibhir bhedo Ipk_2,3.14a	guNEH Sabda-AdiBiH BedaH Ipk-_2,3.14a
   grāhyagrāhakatābhinnāv Ipk_1,4.8c	grAhya-grAhaka-tA-BinnO Ipk-_1,4.8c
   ghaṭate na tu śāśvatyāḥ Ipk_2,1.2c	Gawate na tu SASvatyAH IpS-_2,1.2c
   ghaṭate bahir ātmanā Ipk_1,5.1d	Gawate bahis AtmanA IpS-_1,5.1d
   ghaṭādi jāyate tattat- Ipk_2,4.10c	Gawa-Adi jAyate tat-tat IpS-_2,4.10c
   ghaṭābhāvamatir yathā Ipk_1,7.7b	Gawa-aBAva-matiH yaTA IpS-_1,7.7b
   ghaṭo 'yam iti vāvasā Ipk_1,4.7b	GawaH ayam iti vA-avasA IpS-_1,4.7b
   ghaṭo 'yam ity adhyavasā Ipk_1,5.20a	GawaH ayam iti aDyavasAH Ipk-_1,5.20a
   cikīrṣālakṣaṇaikatva- Ipk_2,4.20c	cikIrzA-lakzaNa-eka-tva IpS-_2,4.20c
   citiḥ pratyavamarśātmā Ipk_1,5.13a	citiH pratyavamarSa-AtmA IpS-_1,5.13a
   citkriyā citikartṛtā Ipk_1,5.12b	cit-kriyA citi-kartR-tA IpS-_1,5.12b
   cittattvaṃ kartṛtāmayam Ipk_3,2.11b	cit-tattvam kartR-tAmayam IpS-_3,2.11b
   cittattvaṃ māyayā hitvā Ipk_1,6.4a	cit-tattvam mAyayA hitvA Ipk-_1,6.4a
   citrābhāsakṛtaḥ prabhoḥ Ipk_2,1.4d	citra-ABAsa-kRtaH praBoH IpS-_2,1.4d
   cidātmani tu yujyate Ipk_2,4.19d	cit-Atmani tu yujyate IpS-_2,4.19d
   cidātmaiva hi devo 'ntaḥ- Ipk_1,5.7a	cit-AtmA-eva hi devaH antaH Ipk-_1,5.7a
   cidghano mukta ucyate Ipk_3,2.2d	cidGanaH muktaH ucyate Ipk-_3,2.2d
   cinmayatve 'vabhāsānām Ipk_1,8.7a	cit-maya-tve avaBAsAnAm Ipk-_1,8.7a
   caitanyam ajaḍā saivaṃ Ipk_1,2.8c	cEtanyam ajaxA sA-evam IpS-_1,2.8c
   jaḍasya tu na sā śaktiḥ Ipk_2,4.2a	jaxasya tu na sA SaktiH IpS-_2,4.2a
   jaḍāt sa hi vilakṣaṇaḥ Ipk_1,5.12d	jaxAt sa hi vilakzaNaH IpS-_1,5.12d
   janasyāyatnasiddhyartham Ipk_4.18a	janasya-ayatna-sidDi-arTam IpS-_4.18a
   janmā naśyej janasthitiḥ Ipk_1,3.6d	janmA naSyet jana-sTitiH IpS-_1,3.6d
   jāḍānāṃ nopapadyate Ipk_2,4.14d	jAxAnAm na-upapadyate Ipk-_2,4.14d
   jāḍye nārthaprakāsatā Ipk_1,2.8d	jAxye na-arTa-prakAsa-tA IpS-_1,2.8d
   jātam apy ātmaniṣṭhaṃ tan Ipk_1,3.1c	jAtam api Atma-nizWam tat IpS-_1,3.1c
   jātidravyāvabhāsānām Ipk_2,2.5a	jAti-dravya-avaBAsAnAm Ipk-_2,2.5a
   jātyādibhir abhinnatā Ipk_2,3.14b	jAti-AdiBiH aBinnatA IpS-_2,3.14b
   jānan yathepsitān paśyañ Ipk_4.15c	jAnan yaTA-IpsitAn paSyan IpS-_4.15c
   jānāti ca karoti ca Ipk_4.15d	jAnAti ca karoti ca IpS-_4.15d
   jīvatāṃ jīvanaṃ matam Ipk_1,1.4d	jIvatAm jIvanam matam IpS-_1,1.4d
   jīvanākhyāthavā prāṇe Ipk_3,2.14c	jIvana-AKyA-aTavA prANe IpS-_3,2.14c
   juṣāṃ kārmamalakṣatau Ipk_3,2.9b	juzAm kArma-mala-kzatO IpS-_3,2.9b
   jñāteyam upapadyate Ipk_1,7.2d	jQAtA-iyam upapadyate IpS-_1,7.2d
   jñānakriye sphuṭe eva Ipk_1,6.11c	jQAna-kriye sPuwe eva IpS-_1,6.11c
   jñānam ekaṃ paraṃ punaḥ Ipk_1,2.1b	jQAnam ekam param punar IpS-_1,2.1b
   jñānasmṛtyavasāyādi Ipk_1,5.21c	jQAna-smRti-avasAya-Adi IpS-_1,5.21c
   jñānaṃ kriyā ca bhūtānāṃ Ipk_1,1.4c	jQAnam kriyA ca BUtAnAm IpS-_1,1.4c
   jñānaṃ ca citsvarūpaṃ cet Ipk_1,2.7a	jQAnam ca cit-svarUpam ced IpS-_1,2.7a
   jñānānām anusaṃdhāna- Ipk_1,3.6c	jQAnAnAm anusaMDAna IpS-_1,3.6c
   jñānānām udiyād eka- Ipk_1,7.6c	jQAnAnAm udiyAt eka IpS-_1,7.6c
   jñāne vāpy antarābhāsaḥ Ipk_1,6.8c	jQAne vA-api antarABAsaH IpS-_1,6.8c
   jñeyaṃ na tu tadaunmukhyāt Ipk_1,5.15c	jQeyam na tu tad-OnmuKyAt IpS-_1,5.15c
   jñeyīkuryāt pṛthaksthiti Ipk_1,5.15b	jQeyIkuryAt pRTak-sTiti IpS-_1,5.15b
   tacchedātmā samānākhyaḥ Ipk_3,2.19c	tad-Ceda-AtmA samAna-AKyaH IpS-_3,2.19c
   tato 'jāḍye nijollekha- Ipk_1,3.5c	tatas ajAxye nija-ulleKa Ipk-_1,3.5c
   tato bhinneṣu dharmeṣu Ipk_1,2.6a	tatas Binnezu Darmezu IpS-_1,2.6a
   tato bhedo hi bāhyatā Ipk_1,8.8d	tatas BedaH hi bAhya-tA IpS-_1,8.8d
   tat kathaṃ jātu tajjñānaṃ Ipk_1,7.9c	tat kaTam jAtu tat-jQAnam IpS-_1,7.9c
   tattacchabdārthatādyātmā Ipk_2,3.8c	tad-tad-Sabda-arTa-tA-Adi-AtmA IpS-_2,3.8c
   tattatpuṣpādijanma vā Ipk_2,1.3b	tad-tad-puzpa-Adi-janma vA IpS-_2,1.3b
   tattadākasmikābhāso Ipk_1,5.4a	tad-tad-Akasmika-ABAsaH Ipk-_1,5.4a
   tattaddeśādijātatā Ipk_1,2.9b	tad-tad-deSa-Adi-jAta-tA IpS-_1,2.9b
   tattadbhinnāṃśapātinām Ipk_1,7.4b	tad-tad-Binna-aMSa-pAtinAm IpS-_1,7.4b
   tattadvibhinnasaṃjñābhiḥ Ipk_4.8c	tad-tad-viBinna-saMjQABiH IpS-_4.8c
   tattadvibhinnasaṃvitti- Ipk_1,7.2a	tad-tad-viBinna-saMvitti Ipk-_1,7.2a
   tattanmṛdādisaṃskāra- Ipk_2,4.9c	tad-tad-mRda-Adi-saMskAra Ipk-_2,4.9c
   tattulyatvaṃ na tadgatiḥ Ipk_1,3.2d	tad-tulya-tvam na tad-gatiH IpS-_1,3.2d
   tatpratyabhijñām upapādayāmi Ipk_1,1.1d	tad-pratyaBijQAm upapAdayAmi IpS-_1,1.1d
   tatra jñānaṃ svataḥsiddhaṃ Ipk_1,1.5a	tatra jQAnam svatas-sidDam Ipk-_1,1.5a
   tatra tatra sthite tat tad Ipk_1,2.10a	tatra tatra sTite tat tat Ipk-_1,2.10a
