   Bhartrhari: Vakyapadiya	BhartH-hari: Vakya-pad-iya
   ajanmani tathā nitye Vp_3,2.18a	ajanmani taTA nitye Vp_3,2.18a
   ajasravṛttir yaḥ śabdaḥ Vp_1.120a	ajasra-vRttiH yaH SabdaH Vp_1.120a
   ajihmā rājapaddhatiḥ Vp_1.16d	ajihmA rAja-padDatiH Vp_1.16d
   aṭkupvāṅādibhis tathā Vp_2.387b	awkupvAFa-AdiBiH taTA Vp_2.387b
   aḍādīnāṃ vyavasthārthaṃ Vp_2.180a	axa-AdInAm vyavasTA-arTam Vp_2.180a
   aṇavaḥ sarvaśaktitvād Vp_1.113a	aNavaH sarva-Sakti-tvAt Vp_1.113a
   atattvam iti manyante Vp_3,2.7c	atattvam iti manyante Vp_3,2.7c
   atadguṇo 'taś chāgaḥ syān Vp_3,1.80c	atad-guNaH atas CAgaH syAt Vp_3,1.80c
   ataddharmasu bhāveṣu Vp_3,6.12c	atad-Darmasu BAvezu Vp_3,6.12c
   atas taṃ pratijānate Vp_2.46d	atas tam pratijAnate Vp_2.46d
   atas te jātivācinaḥ Vp_3,1.12d	atas te jAti-vAcinaH Vp_3,1.12d
   atas taiḥ karmabhir dhātur Vp_3,7.69a	atas tEH karmaBiH DAtuH Vp_3,7.69a
   ataḥ sarvasya nirdeśe Vp_3,1.51c	atas sarvasya nirdeSe Vp_3,1.51c
   ataḥ sarvo 'rtha iṣyate Vp_3,1.13d	atas sarvaH arTaH izyate Vp_3,1.13d
   ataḥ saṃyogideśānāṃ Vp_3,1.18a	atas saMyogi-deSAnAm Vp_3,1.18a
   atītaḥ sarvalakṣaṇaḥ Vp_3,3.11b	atItaH sarva-lakzaNaH VB-_3,3.11b
   atītānāgatajñānaṃ Vp_1.37c	atIta-anAgata-jQAnam Vp_1.37c
   atīndriyān asaṃvedyān Vp_1.38a	atIndriyAn asaMvedyAn Vp_1.38a
   ato jātyabhidhāne 'pi Vp_3,1.4c	atas jAti-aBiDAne api Vp_3,1.4c
   ato 'nirjñātarūpatvāt Vp_1.58a	atas anirjQAta-rUpa-tvAt Vp_1.58a
   ato bhāṣitapuṃskatvāt Vp_3,6.10a	atas BAzita-puMska-tvAt Vp_3,6.10a
   ato 'yuktataraṃ viduḥ Vp_3,6.16d	atas ayuktataram viduH Vp_3,6.16d
   ato 'rthāntaravācitvaṃ Vp_2.169c	atas arTa-antara-vAci-tvam Vp_2.169c
   ato vākyaṃ prayujyate Vp_2.427d	atas vAkyam prayujyate Vp_2.427d
   atyadbhutā tv iyaṃ vṛttir Vp_3,3.81a	ati-adButA tu iyam vRttiH Vp_3,3.81a
   atyantaparatantratvād Vp_3,3.4c	atyanta-paratantra-tvAt Vp_3,3.4c
   atyantabhinnayor vā syāt Vp_2.474a	atyanta-BinnayoH vA syAt Vp_2.474a
   atyantabhedaḥ sarveṣāṃ Vp_2.260c	atyanta-BedaH sarvezAm Vp_2.260c
   atyantabhede tattvasya Vp_2.21c	atyanta-Bede tattvasya Vp_2.21c
   atyantam atathābhūte Vp_1.142a	atyantam ataTABUte Vp_1.142a
   atyantam atadātmakam Vp_3,2.9d	atyantam atada-Atmakam Vp_3,2.9d
   atyantam atadātmakam Vp_3,2.10d	atyantam atada-Atmakam Vp_3,2.10d
   atyantam anavasthitāḥ Vp_3,6.1d	atyantam anavasTitAH Vp_3,6.1d
   atyantayataśaktitvāc Vp_2.437c	atyantayata-Sakti-tvAt Vp_2.437c
   atyantaviparīto 'pi Vp_2.285a	atyanta-viparItaH api Vp_2.285a
   atyantaṃ bhinnadharmaṇām Vp_2.94d	atyantam Binna-DarmaNAm Vp_2.94d
   atra bādhasamuccayau Vp_2.77d	atra bADasamuccayO Vp_2.77d
   atrātītaviparyāsaḥ Vp_1.17a	atra-atIta-viparyAsaH Vp_1.17a
   atrādhikaraṇe vādāḥ Vp_2.116c	atra-aDikaraNe vAdAH Vp_2.116c
   atredaṃ nāntarīyakam Vp_2.81d	atra-idam na-antarIyakam Vp_2.81d
   atvaṃ saṃpadyate yas tvaṃ Vp_3,7.117a	atvam saMpadyate yaH tvam Vp_3,7.117a
   atha ca prāgasadbhāvaḥ Vp_3,3.78c	aTa ca prAc-asadBAvaH Vp_3,3.78c
   atha tair eva janitaḥ Vp_2.396a	aTa tEH eva janitaH Vp_2.396a
   atha yaj jñānam utpannaṃ Vp_2.243a	aTa yat jQAnam utpannam Vp_2.243a
   atharvaṇām aṅgirasāṃ Vp_1.21a	aTarvaNAm aFgirasAm Vp_1.21a
   athādhāraḥ sa evāsya Vp_2.244c	aTa-ADAraH saH eva-asya Vp_2.244c
   athāpy avācyam ity evaṃ Vp_3,3.21a	aTa-api avAcyam iti evam Vp_3,3.21a
   athāyam āntaro jñātā Vp_1.115a	aTa-ayam AntaraH jQAtA Vp_1.115a
   athāsaj jāyate katham Vp_3,3.43d	aTa-asat jAyate kaTam Vp_3,3.43d
   athāsaṃsṛṣṭa evārthaḥ Vp_2.248a	aTa-asaMsRzwaH eva-arTaH Vp_2.248a
   athāsau samudīryate Vp_1.116d	aTa-asO samudIryate Vp_1.116d
   athopacārasattaivaṃ Vp_3,3.46a	aTa-upacAra-sattA-evam Vp_3,3.46a
   adāni vākye tāny eva Vp_2.28a	adAni vAkye tAni eva Vp_2.28a
   adṛṣṭatvāt pratinidheḥ Vp_3,7.102a	adRzwa-tvAt pratiniDeH Vp_3,7.102a
   adṛṣṭam anupaśyati Vp_2.91b	adRzwam anupaSyati Vp_2.91b
   adṛṣṭaviprayogārthaḥ Vp_2.163c	adRzwa-viprayoga-arTaH Vp_2.163c
   adṛṣṭavṛttilābhena Vp_3,3.18a	adRzwa-vRtti-lABena Vp_3,3.18a
   adṛṣṭoparatiṃ bhedam Vp_3,6.16c	adRzwa-uparatim Bedam Vp_3,6.16c
   adeśānāṃ ghaṭādīnāṃ Vp_3,1.16a	adeSAnAm Gawa-AdInAm Vp_3,1.16a
   adeśāś cāpy abhāgāś ca Vp_3,6.14a	adeSAH ca-api aBAgAH ca Vp_3,6.14a
   advaye caiva sarvasmin Vp_3,3.65a	advaye ca-eva sarvasmin Vp_3,3.65a
   adhikaṃ vartate teṣu Vp_1.126c	aDikam vartate tezu Vp_1.126c
   adhikāro nivartate Vp_1.169b	aDikAraH nivartate Vp_1.169b
   adhigacchata ity eke Vp_2.207c	aDigacCate iti eke Vp_2.207c
   adhidaivam adhikratu Vp_2.254b	aDidEvam aDikratu Vp_2.254b
   adhividyaṃ prakāśate Vp_1.14d	aDividyam prakASate Vp_1.14d
   adhyādīn parikalpayet Vp_2.219b	aDi-AdIn parikalpayet Vp_2.219b
   adhyāhitakalāṃ yasya Vp_1.3a	aDyAhita-kalAm yasya Vp_1.3a
   adhruveṇa nimittena Vp_3,2.3a	aDruveNa nimittena Vp_3,2.3a
   anantaram idaṃ kāryam Vp_2.118c	anantaram idam kAryam Vp_2.118c
   ananyat pravibhajyate Vp_2.97d	ananyat praviBajyate Vp_2.97d
   anarthakānāṃ pāṭho vā Vp_2.259c	anarTakAnAm pAWaH vA Vp_2.259c
   anarthakānāṃ saṃghātaḥ Vp_2.205a	anarTakAnAm saMGAtaH Vp_2.205a
   anarthakāny apāyatvāt Vp_2.55a	anarTakAni apAya-tvAt Vp_2.55a
   anarthakena saṃsṛṣṭāḥ Vp_2.191c	anarTakena saMsRzwAH Vp_2.191c
   anavasthitakampe 'pi Vp_1.109a	anavasTita-kampe api Vp_1.109a
   anākhyeyā kathaṃ ca na Vp_2.144b	anAKyeyA kaTam ca na Vp_2.144b
   anāgamavikalpā tu Vp_2.233c	anAgama-vikalpA tu Vp_2.233c
   anāgamaś ca so 'bhyāsaḥ Vp_2.118a	anAgamaH ca saH aByAsaH Vp_2.118a
   anādinidhanaṃ brahma Vp_1.1a	anAdiniDanam brahma Vp_1.1a
   anādim avyavacchinnāṃ Vp_1.172a	anAdim avyavacCinnAm Vp_1.172a
   anādir arthaiḥ śabdānāṃ Vp_3,3.29c	anAdiH arTEH SabdAnAm Vp_3,3.29c
   anādir yogyatā yathā Vp_3,3.29b	anAdiH yogyatA yaTA Vp_3,3.29b
   anāvṛttāpi yā kriyā Vp_2.456b	anAvRttA-api yA kriyA Vp_2.456b
   anāśrite tu vyāpāre Vp_3,7.24a	anASrite tu vyApAre Vp_3,7.24a
   anityatvaṃ svaśaktir vā Vp_3,3.34c	anitya-tvam sva-SaktiH vA Vp_3,3.34c
   anityadarśināṃ tv asmin Vp_1.182c	anitya-darSinAm tu asmin Vp_1.182c
   anitye 'py āśraye sthitā Vp_3,1.41d	anitye api ASraye sTitAH Vp_3,1.41d
   anityeṣv api nityatvam Vp_3,3.34a	anityezu api nitya-tvam Vp_3,3.34a
   anibaddhaṃ nimitteṣu Vp_2.234a	anibadDam nimittezu Vp_2.234a
   anirākaraṇāt kartus Vp_3,7.129a	anirAkaraNAt kartuH Vp_3,7.129a
   anirvṛtteś ca tasya vā Vp_3,7.99b	anirvRtteH ca tasya vA Vp_3,7.99b
   anuktam api rūpeṇa Vp_2.313c	anuktam api rUpeNa Vp_2.313c
   anuktāpi prakāśate Vp_3,7.82d	anuktA-api prakASate Vp_3,7.82d
   anugṛhṇāti saṃbandha Vp_3,3.11c	anugRhNAti saMbanDaH Vp_3,3.11c
   anugrahārthā bhoktṝṇāṃ Vp_2.388a	anugraha-arTAH BoktLNAm Vp_2.388a
   anucchinnāśrayāj jātir Vp_3,1.41c	anucCinna-ASrayAt jAtiH Vp_3,1.41c
   anucchedyāśrayām eke Vp_3,1.42a	anucCedya-ASrayAm eke Vp_3,1.42a
   anuniṣpadyate paraḥ Vp_2.476b	anunizpadyate paraH Vp_2.476b
   anuniṣpādinaḥ kāṃś cic Vp_2.121c	anunizpAdinaH kAn cit Vp_2.121c
   anuniṣpādinaḥ śabdāḥ Vp_2.361c	anunizpAdinaH SabdAH Vp_2.361c
   anupaplutacetasām Vp_1.37b	anupapluta-cetasAm Vp_1.37b
   anupāttaṃ pratīyate Vp_2.307d	anupAttam pratIyate Vp_2.307d
   anupāsitavṛddhānāṃ Vp_2.490c	anupAsita-vRdDAnAm Vp_2.490c
   anupravṛttidharmo vā Vp_3,1.14a	anupravRtti-DarmaH vA Vp_3,1.14a
   anupravṛttirūpā yā Vp_3,1.19a	anupravRtti-rUpA yA Vp_3,1.19a
   anupravṛtteti yathā- Vp_3,1.101a	anupravRttA-iti yaTA Vp_3,1.101a
   anubhūya svatantratām Vp_3,7.54b	anuBUya svatantra-tAm Vp_3,7.54b
   anumānapradhānena Vp_1.42c	anumAna-praDAnena Vp_1.42c
   anumānaṃ tadarthasya Vp_2.328c	anumAnam tad-arTasya Vp_2.328c
   anumānaṃ nimittasya Vp_2.371c	anumAnam nimittasya Vp_2.371c
   anumānāt pratīyate Vp_3,7.85d	anumAnAt pratIyate Vp_3,7.85d
   anuvādo yathā bhavet Vp_2.245b	anuvAdaH yaTA Bavet Vp_2.245b
   anuviddham iva jñānaṃ Vp_1.131c	anuvidDam iva jQAnam Vp_1.131c
   anekatīrthabhedāyās Vp_1.159c	aneka-tIrTa-BedAyAH Vp_1.159c
   anekapadasaṃśrayam Vp_2.42d	aneka-pada-saMSrayam Vp_2.42d
   anekavyaktyabhivyaṅgyā Vp_1.96a	aneka-vyakti-aBivyaFgyAH Vp_1.96a
   anekaśakter ekasya Vp_2.444a	aneka-SakteH ekasya Vp_2.444a
   anekaśakter ekasya Vp_2.473c	aneka-SakteH ekasya Vp_2.473c
   anekākhyātayoge 'pi Vp_2.350a	aneka-AKyAta-yoge api Vp_2.350a
   anekārthatvam ekasya Vp_2.263a	aneka-arTa-tvam ekasya Vp_2.263a
   anekā śaktir ekasya Vp_2.477a	anekA SaktiH ekasya Vp_2.477a
   antareṇa kathaṃ bhavet Vp_3,3.35d	antareNa kaTam Bavet Vp_3,3.35d
   antareṇa kriyāśabdaṃ Vp_2.326c	antareNa kriyA-Sabdam Vp_2.326c
   antareṇa na gamyate Vp_2.429d	antareNa na gamyate Vp_2.429d
   antareṇa vyavasthitam Vp_2.329d	antareNa vyavasTitam Vp_2.329d
   antarṇīya prayujyate Vp_2.161b	antarNIya prayujyate Vp_2.161b
   antarbhāvāc ca tenāsau Vp_3,3.47c	antarBAvAt ca tena-asO Vp_3,3.47c
   antarbhūtakriyāntaraiḥ Vp_3,7.67b	antarBUta-kriyA-antarEH Vp_3,7.67b
   antarbhūtaṇijarthānāṃ Vp_3,7.73a	antarBU-taNijarTAnAm Vp_3,7.73a
   antarmātrātmanas tasya Vp_2.32c	antar-mAtra-AtmanaH tasya Vp_2.32c
   antaḥkaraṇatattvasya Vp_1.117a	antaHkaraNa-tattvasya Vp_1.117a
   antaḥkaraṇatattvasya Vp_3,7.41c	antaHkaraNa-tattvasya Vp_3,7.41c
   antaḥkaraṇadharmo vā Vp_3,6.23a	antaHkaraNa-DarmaH vA Vp_3,6.23a
   antyā kaleva somasya Vp_1.168c	antyA kalA-iva somasya Vp_1.168c
   antyena dhvaninā saha Vp_1.86b	antyena DvaninA saha Vp_1.86b
   antreṇoccāraṇe teṣāṃ Vp_2.108c	antreNa-uccAraNe tezAm Vp_2.108c
   annādānādirūpāṃ ca Vp_2.377a	anna-AdAna-Adi-rUpAm ca Vp_2.377a
   anyat tasmād vivicyate Vp_1.66d	anyat tasmAt vivicyate Vp_1.66d
   anyat tv akathitaṃ smṛtam Vp_3,7.71d	anyat tu akaTitam smRtam Vp_3,7.71d
   anyatra ca tato rūpaṃ Vp_2.446c	anyatra ca tatas rUpam Vp_2.446c
   anyatra vihite grahe Vp_3,1.70b	anyatra vihite grahe Vp_3,1.70b
   anyatra śrūyamāṇaiś ca Vp_2.347a	anyatra SrUyamANEH ca Vp_2.347a
   anyatrāvihitasyaiva Vp_3,1.57a	anyatra-avihitasya-eva Vp_3,1.57a
   anyathākṛtya viṣayam Vp_1.92c	anyaTA-AkRtya vizayam Vp_1.92c
   anyathā ca samākhyānam Vp_2.173a	anyaTA ca samAKyAnam Vp_2.173a
   anyathā te na sādhavaḥ Vp_2.109d	anyaTA te na sADavaH Vp_2.109d
   anyathā dāhaśabdena Vp_2.422c	anyaTA dAha-Sabdena Vp_2.422c
   anyathā pratipadyate Vp_2.239d	anyaTA pratipadyate Vp_2.239d
   anyathā pratipadyate Vp_2.246d	anyaTA pratipadyate Vp_2.246d
   anyathā pratipadyārthaṃ Vp_2.239a	anyaTA pratipadya-arTam Vp_2.239a
   anyathā hi vyavasthāne Vp_2.376c	anyaTA hi vyavasTAne Vp_2.376c
   anyathaiva vyavasthitām Vp_3,3.10d	anyaTA-eva vyavasTitAm Vp_3,3.10d
   anyathaivāgnisaṃbandhād Vp_2.422a	anyaTA-eva-agni-saMbanDAt Vp_2.422a
   anyathaivādhyavasyati Vp_1.92d	anyaTA-eva-aDyavasyati Vp_1.92d
   anyathaivopapādyate Vp_1.34d	anyaTA-eva-upapAdyate Vp_1.34d
   anyad eṣu na vidyate Vp_2.410b	anyat ezu na vidyate Vp_2.410b
   anyad rūpaṃ na gṛhyate Vp_2.458b	anyat rUpam na gRhyate Vp_2.458b
   anyad rūpaṃ pratīyate Vp_2.458d	anyat rUpam pratIyate Vp_2.458d
   anyapratyāyane śaktir Vp_1.62c	anya-pratyAyane SaktiH Vp_1.62c
   anyaśabdavivakṣayā Vp_1.183b	anya-Sabda-vivakzayA Vp_1.183b
   anya sattaupacārikī Vp_3,3.39b	anya satta-OpacArikI Vp_3,3.39b
   anyasminn anuṣajyate Vp_2.177d	anyasmin anuzajyate Vp_2.177d
   anyaḥ kaś cin na vidyate Vp_2.346d	anyaH kaH cit na vidyate Vp_2.346d
   anyaḥ kāyavatāṃ vidhiḥ Vp_3,6.17d	anyaH kAyavatAm viDiH Vp_3,6.17d
   anyā japaprabandheṣu Vp_2.261c	anyAH japa-prabanDezu Vp_2.261c
   anyā tv apreryamāṇaiva Vp_1.162a	anyA tu apreryamANA-eva Vp_1.162a
   anyārthānāṃ kathaṃ ca na Vp_2.411d	anya-arTAnAm kaTam ca na Vp_2.411d
   anyā saṃskārasāvitrī Vp_2.261a	anyA saMskAra-sAvitrI Vp_2.261a
   anyūnas tena gamyate Vp_2.214d	anyUnaH tena gamyate Vp_2.214d
   anyena vyapadiṣṭasya Vp_3,7.161a	anyena vyapadizwasya Vp_3,7.161a
   anyair avayavaiḥ punaḥ Vp_2.236d	anyEH avayavEH punar Vp_2.236d
   anyo dravyād vibhaktyarthaḥ Vp_3,7.165c	anyaH dravyAt viBakti-arTaH Vp_3,7.165c
   anyonyāpekṣayā śaktyā Vp_2.213c	anyonya-apekzayA SaktyA Vp_2.213c
   anvayavyatirekābhyāṃ Vp_2.166c	anvaya-vyatirekAByAm Vp_2.166c
   anvayavyatirekābhyāṃ Vp_2.209c	anvaya-vyatirekAByAm Vp_2.209c
   anvayavyatirekābhyāṃ Vp_2.340c	anvaya-vyatirekAByAm Vp_2.340c
   anvayavyatirekābhyāṃ Vp_3,1.67a	anvaya-vyatirekAByAm Vp_3,1.67a
   anvayavyatirekau tu Vp_2.12c	anvaya-vyatirekO tu Vp_2.12c
   anvayo 'rthasya dṛśyate Vp_2.169b	anvayaH arTasya dRSyate Vp_2.169b
   anvākhyānasmṛter ye ca Vp_2.231a	anvAKyAna-smRteH ye ca Vp_2.231a
   anvākhyānāni bhidyante Vp_2.170a	anvAKyAnAni Bidyante Vp_2.170a
   anvākhyānāya yo bhedaḥ Vp_2.443a	anvAKyAnAya yaH BedaH Vp_2.443a
   anvākhyeyāś ca ye śabdā Vp_1.24c	anvAKyeyAH ca ye SabdAH Vp_1.24c
   apadārthasya darśanāt Vp_2.425d	apadArTasya darSanAt Vp_2.425d
   apade 'rthe padanyāsaḥ Vp_3,3.78a	apade arTe pada-nyAsaH Vp_3,3.78a
   apare tu padasyaiva Vp_2.329a	apare tu padasya-eva Vp_2.329a
   aparair anugamyate Vp_2.125d	aparEH anugamyate Vp_2.125d
   aparo 'rthe prayujyate Vp_1.44d	aparaH arTe prayujyate Vp_1.44d
   apāyaviṣayaṃ dhrauvyaṃ Vp_3,7.138c	apAya-vizayam DrOvyam Vp_3,7.138c
   api pratyāyayaty asau Vp_2.299d	api pratyAyayati asO Vp_2.299d
   api prayoktur ātmānaṃ Vp_1.143a	api prayoktuH AtmAnam Vp_1.143a
   apūrvadevatāsvargaiḥ Vp_2.119c	apUrva-devatA-svargEH Vp_2.119c
   apūrvasya vidheyatvāt Vp_3,1.69a	apUrvasya viDeya-tvAt Vp_3,1.69a
   apūrvaṃ kālaśaktiṃ vā Vp_3,7.34a	apUrvam kAla-Saktim vA Vp_3,7.34a
   apṛthaktve ca saṃbandhas Vp_3,2.16c	apRTaktve ca saMbanDaH Vp_3,2.16c
   apṛthaktve 'pi śaktibhyaḥ Vp_1.2c	apRTaktve api SaktiByaH Vp_1.2c
   apekṣitakriyaṃ ceti Vp_3,7.136c	apekzita-kriyam ca-iti Vp_3,7.136c
   apoddhārapadārthā ye Vp_1.24a	apa-udDAra-padArTAH ye Vp_1.24a
   apoddhāras tathā vākye Vp_2.10c	apa-udDAraH taTA vAkye Vp_2.10c
   apoddhāre prakalpite Vp_2.269b	apa-udDAre prakalpite Vp_2.269b
   apoddhṛtyaiva vākyebhyaḥ Vp_3,1.1c	apa-udDRtya-eva vAkyeByaH Vp_3,1.1c
   apy ato vyapadiśyate Vp_3,3.3d	api atas vyapadiSyate Vp_3,3.3d
   aprakarṣaṃ prakarṣeṇa Vp_3,5.9c	aprakarzam prakarzeNa Vp_3,5.9c
   aprayuktapadaś cārtho Vp_2.219c	aprayukta-padaH ca-arTaH Vp_2.219c
   aprayuktapadāśrayā Vp_2.328b	aprayukta-pada-ASrayA Vp_2.328b
   aprayuktaṃ trirātrādi Vp_3,7.155c	aprayuktam tri-rAtra-Adi Vp_3,7.155c
   aprayoge 'dhiparyoś ca Vp_2.190a	aprayoge aDiparyoH ca Vp_2.190a
   aprasiddhaṃ tu yaṃ bhāgam Vp_2.91a	aprasidDam tu yam BAgam Vp_2.91a
   aprāptā cottaraṃ padam Vp_3,1.39b	aprAptA ca-uttaram padam Vp_3,1.39b
   aprāpto yas tu śuklādiḥ Vp_2.74a	aprAptaH yaH tu Sukla-AdiH Vp_2.74a
   abudhān vākyapūrvikām Vp_2.226b	abuDAn vAkya-pUrvikAm Vp_2.226b
   abhāvavādino vāpi Vp_3,3.64c	aBAva-vAdinaH vA-api Vp_3,3.64c
   abhāvasyānupākhyatvāt Vp_3,3.62a	aBAvasya-anupAKya-tvAt Vp_3,3.62a
   abhāvān na prakalpate Vp_3,7.152b	aBAvAt na prakalpate Vp_3,7.152b
   abhāvāvagatiḥ katham Vp_2.243d	aBAva-avagatiH kaTam Vp_2.243d
   abhāve kīdṛśaḥ kramaḥ Vp_2.24d	aBAve kIdRSaH kramaH Vp_2.24d
   abhāve triṣu kāleṣu Vp_3,3.69a	aBAve trizu kAlezu Vp_3,3.69a
   abhāvo yadi vastu syāt Vp_3,3.76a	aBAvaH yadi vastu syAt Vp_3,3.76a
   abhikhyā svapnavac chrutau Vp_1.173b	aBiKyA svapna-vat SrutO Vp_1.173b
   abhijalpaṃ pracakṣate Vp_2.128d	aBijalpam pracakzate Vp_2.128d
   abhidhānakriyābhedāc Vp_2.106a	aBiDAna-kriyA-BedAt Vp_2.106a
   abhidhānakriyāyogād Vp_2.408a	aBiDAna-kriyA-yogAt Vp_2.408a
   abhidhānapravṛttaye Vp_3,3.45b	aBiDAna-pravRttaye Vp_3,3.45b
   abhidhānaṃ prayujyate Vp_2.160b	aBiDAnam prayujyate Vp_2.160b
   abhidhānābhidheyayoḥ Vp_2.405d	aBiDAna-aBiDeyayoH Vp_2.405d
   abhidhāniyamas tasmād Vp_2.405c	aBiDA-niyamaH tasmAt Vp_2.405c
   abhidheyaḥ padasyārtho Vp_2.113a	aBiDeyaH padasya-arTaH Vp_2.113a
   abhidheyātmanā sthitam Vp_3,3.34b	aBiDeya-AtmanA sTitam Vp_3,3.34b
   abhidheyeṣu keṣu cit Vp_1.55b	aBiDeyezu kezu cit Vp_1.55b
   abhinnakālām artheṣu Vp_3,3.50a	aBinna-kAlAm arTezu Vp_3,3.50a
   abhinnam eva vākyaṃ tu Vp_2.75a	aBinnam eva vAkyam tu Vp_2.75a
   abhinnā iti vā punaḥ Vp_3,1.20b	aBinnAH iti vA punar Vp_3,1.20b
   abhinno rūpabhedena Vp_2.470a	aBinnaH rUpa-Bedena Vp_2.470a
   abhiprāyānurodho 'pi Vp_3,7.124c	aBiprAya-anuroDaH api Vp_3,7.124c
   abhiyuktatarair anyair Vp_1.34c	aBiyuktatarEH anyEH Vp_1.34c
   abhivyaktataro yo 'rthaḥ Vp_2.212a	aBivyaktataraH yaH arTaH Vp_2.212a
   abhivyaktāḥ svakāryāṇāṃ Vp_3,1.44c	aBivyaktAH sva-kAryANAm Vp_3,1.44c
   abhivyaktir yadāśrayā Vp_3,6.3b	aBivyaktiH yad-ASrayA Vp_3,6.3b
   abhedagrahaṇād eṣa Vp_3,7.113c	aBeda-grahaNAt eza Vp_3,7.113c
   abhedapūrvakā bhedāḥ Vp_2.57a	aBeda-pUrvakAH BedAH Vp_2.57a
   abhedarūpaṃ sādṛśyam Vp_3,1.92a	aBeda-rUpam sAdRSyam Vp_3,1.92a
   abhedāc ca viśiṣyate Vp_3,7.100b	aBedAt ca viSizyate Vp_3,7.100b
   abhedād abhidheyasya Vp_2.227a	aBedAt aBiDeyasya Vp_2.227a
   abhedena kriyaikā tu Vp_3,7.142a	aBedena kriyA-ekA tu Vp_3,7.142a
   abhedopanibandhanaḥ Vp_3,7.153d	aBeda-upanibanDanaH Vp_3,7.153d
   abhyantarīkṛtād bhedaḥ Vp_2.186c	aByantarIkRtAt BedaH Vp_2.186c
   abhyasya svaṃ ca darśanam Vp_2.487b	aByasya svam ca darSanam Vp_2.487b
   abhyāsāt prakramo 'nyas tu Vp_2.402c	aByAsAt prakramaH anyaH tu Vp_2.402c
   abhyāsāt pratibhāhetuḥ Vp_2.117a	aByAsAt pratiBA-hetuH Vp_2.117a
   abhyāsād eva jāyate Vp_1.35b	aByAsAt eva jAyate Vp_1.35b
   abhyāsān maṇirūpyādi- Vp_3,1.46c	aByAsAt maNi-rUpyAdi Vp_3,1.46c
   abhrāṇīva pracīyante Vp_1.114c	aBrANi-iva pracIyante Vp_1.114c
   ayathārthāṃ samīhate Vp_2.319d	ayaTArTAm samIhate Vp_2.319d
   ayam asyām iyaṃ tv asmād Vp_3,7.19c	ayam asyAm iyam tu asmAt Vp_3,7.19c
   ayam āgamasaṃgrahaḥ Vp_2.487d	ayam Agama-saMgrahaH Vp_2.487d
   ayaṃ śabdair apoddhṛtya Vp_2.86c	ayam SabdEH apa-udDRtya Vp_2.86c
   ayaugapadye jñānānām Vp_3,1.108a	ayOgapadye jQAnAnAm Vp_3,1.108a
   araṇisthaṃ yathā jyotiḥ Vp_1.47a	araNi-sTam yaTA jyotiH Vp_1.47a
   arūpaṃ pararūpeṇa Vp_3,5.9a	arUpam para-rUpeNa Vp_3,5.9a
