   Śatagāthā	Śata gATA
   dūre 'pi satāṃ vasatāṃ prītiḥ kumudenduvadbhavati // 11 //	dUre api satAm vasatAm prItiH kumuda indu vat Bavati // 11 //
   prapañcā yatnaoto heyāḥ saṃsargaḥ kriyatāṃ satām /	prapaQcAH yatnaotaH heyAH saMsargaH kriyatAm satAm /
   dinaṃ rogabhayānmuktaṃ śatābdāccāpi tad varam // 12 //	dinam roga BayAt muktam Sata abdAt ca api tat varam // 12 //
   sarvathehāḥ parityājyāścedaśakyaṃ tadā punaḥ /	sarvaTA ihAH parityAjyAH ced aSakyam tadA punar /
   nirvāṇāptyunmukho bhūyāt tadiyaṃ tasya bheṣajam // 13 //	nirvANApti unmuKaH BUyAt tat iyam tasya Bezajam // 13 //
   udayantvamūni subahūni mahāmahāṃsi cando cando 'pyalaṃ	udayantu amUni su bahUni mahA mahAMsi candaH candaH api alam
   bhuvanamaṇḍalamaṇḍanāya / sūryādūte na tadudeti na cāstameti yenoditena	Buvana maNxala maNxanAya / sUryAdUte na tat udeti na ca astam eti yena uditena
   dinamastamitena rātriḥ // 14 //	dinam asta mitena rAtriH // 14 //
   yadudeti vinā sūrya tejasvi tanna jāyate /	yat udeti vinA sUrya tejasvi tat na jAyate /
   sūryodayo varaṃ cāsti hyanyeṣāmudayena kim // 15 //	sUrya udayaH varam ca asti hi anyezAm udayena kim // 15 //
   kusumastabakasyeva dve gatī tu mahātmanām /	kusuma stabakasya iva dve gatI tu mahAtmanAm /
   mūdhni vā sarvalokasya śīryate vana eva vā // 16 /	mUDni vA sarva lokasya SIryate vanaH eva vA // 16 /
   vāṇi kaṭhorā bhaṇitā hi duṣṭairyā sarparūpā sujanān hinasti /	vANi kaWorA BaNitA hi duzwEH yA sarpa rUpA su janAn hinasti /
   te bheṣajaṃ kṣāntimayaṃ ca prajñāṃ saṃsevya cintārahitā bhavanti // 17 //	te Bezajam kzAnti mayam ca prajQAm saMsevya cintA rahitAH Bavanti // 17 //
   dhīrāḥ kaṣṭamanuprāptā na bhavanti viṣādinaḥ /	DIrAH kazwam anuprAptAH na Bavanti vizAdinaH /
   praviśya vadanaṃ rāhoḥ kiṃ nodeti punaḥ śaśī // 18 //	praviSya vadanam rAhoH kim na udeti punar SaSI // 18 //
   yasya cittaṃ dravībhūtaṃ kṛpayā sarvajantuṣu /	yasya cittam dravIBUtam kRpayA sarva jantuzu /
   tasya jñānena mokṣeṇa kiṃ jaṭābhasmacivaraiḥ // 19 //	tasya jQAnena mokzeNa kim jawA Basma civarEH // 19 //
   vanāni dahato vahneḥ sakhā bhavati mārutaḥ /	vanAni dahataH vahneH saKA Bavati mArutaH /
   sa eva dīpanāśāya kṛśe kasyāsti sauhṛdam // 20 //	saH eva dIpa nASAya kRSe kasya asti sOhRdam // 20 //
   parastutaguṇairyastu nirguṇo 'pi guṇī bhavet /	para stuta guNEH yaH tu nirguNaH api guNI Bavet /
   indro 'pi laghutāṃ yāti svayaṃ prakhyāpitairguṇaiḥ // 21 //	indraH api laGu tAm yAti svayam praKyApitEH guNEH // 21 //
   kulīno 'pi bhaved garvī kārpāṇyasahito dhanī /	kulInaH api Bavet garvI kArpANi asahitaH DanI /
   devatāstāṃśca nindanti sargo 'yaṃ jalavahnivat // 22 //	devatAH tAn= ca nindanti sargaH ayam jala vahni vat // 22 //
   dūrastho 'pi samīpastho yo yasya manasi sthitaḥ /	dUra sTaH api samIpa sTaH yaH yasya manasi sTitaH /
   yo yasya hṛdaye nāsti samīpastho 'pidūrataḥ // 23 //	yaH yasya hRdaye na asti samIpa sTaH api dUrataH // 23 //
   pareṣāṃ vaibhavaṃ dṛṣṭvā mano yasya prakupyati /	parezAm vEBavam dRzwvA manaH yasya prakupyati /
   na tasyārthopalabdhistu citaṃ puṇyaṃ ca naśyati // 24 //	na tasya arTa upalabDiH tu citam puNyam ca naSyati // 24 //
   rāgopamaṃ nāsti malaṃ hi loke īrṣyopamā nāsti ca kāpi hāniḥ /	rAga upamam na asti malam hi loke IrzyA upamA na asti ca kA api hAniH /
   yāñcāsamo nāsti ca ko 'pi bandhurdānopamo nāsti ca mitravargaḥ // 25 //	yAQcA samaH na asti ca kaH api banDuH dAna upamaH na asti ca mitra vargaH // 25 //
   kṣudhāsamā nāsti śarīravedanā cintāsamā nāsti śarīraśoṣaṇā /	kzuDA samA na asti SarIra vedanA cintA samA na asti SarIra SozaNAH /
   guṇaiḥ samā nāsti śarīrabhūṣaṇā kṣāntyā samaṃ nāsti śarīravarmaṃ vai // 26	guNEH samA na asti SarIra BUzaNA kzAntyA samam na asti SarIra varmam vE // 26
   dhanena kiṃ kṣudrajanasya mitraiḥ kiṃ vañcakasyāpi ca matsarasya /	Danena kim kzudra janasya mitrEH kim vaQcakasya api ca matsarasya /
   kiṃ hānidasyātiguṇagrahaiśca kiṃ vā vipattau vimukhātmajena // 27 //	kim hAnidasya ati guNa grahEH ca kim vA vipattO vimuKa Atmajena // 27 //
   sarvathā svahitamācaraṇīyaṃ kiṃ kariṣyati jano bahujalpaḥ /	sarvaTA sva hitam AcaraNIyam kim karizyati janaH bahu jalpaH /
   bidyate hi na sa kaścidupāyaḥ sarvalokaparitoṣakaro yaḥ // 28 //	bidyate hi na sa kaScid upAyaH sarva loka paritoza karaH yaH // 28 //
   prasaṅgasyānukūlo yaḥ prajña eva sa pālayet /	prasaFgasya anukUlaH yaH prajQaH eva sa pAlayet /
   satyāsatye ca maitridveṣau kuryāt svaparaiḥ saha // 29 //	satya asatye ca mEtri dvezO kuryAt sva parEH saha // 29 //
   na dviṣantaḥ kṣayaṃ yānti yāvajjīvamapi ghnataḥ /	na dvizantaH kzayam yAnti yAvat jIvam api GnataH /
   krodhameva tu yo hanti tena sarve dviṣo hatāḥ // 30 //	kroDam eva tu yaH hanti tena sarve dvizaH hatAH // 30 //
   satkāro guṇināṃ śreyān durjanasya vinītatā /	satkAraH guNinAm SreyAn durjanasya vinIta tA /
   kośapūrtiḥ sadācāraiḥ śreyo deśaparīkṣaṇam // 31 //	koSa pUrtiH sat AcArEH SreyaH deSa parIkzaNam // 31 //
   yāvanmārgo bhavet dṛṣṭo yāvaccaraṇapuṣṭatā /	yAvat mArgaH Bavet dRzwaH yAvat caraNa puzwa tA /
   prajñā hrāso na yāvaddhi tāvatkuryāt svayaṃ hitam // 32 //	prajQA hrAsaH na yAvat hi tAvat kuryAt svayam hitam // 32 //
   vyabhicāreṣvāsattaḥ rājā tasya hi nirakṣaro mantri /	vyaBicArezu AsattaH rAjA tasya hi nirakzaraH mantri /
   tadā dhanāśā kutra rakṣyā asavaḥ prayatnena // 33 //	tadA Dana ASA kutra rakzyAH asavaH prayatnena // 33 //
   sarva yatra vinetāraḥ sarve paṇḍitamāninaḥ /	sarva yatra vinetAraH sarve paNxita mAninaH /
   sarve prabhutvamicchanti tad vṛndamavasīdati // 34 //	sarve praBu tvam icCanti tat vRndam avasIdati // 34 //
   mūṣako rakṣayedannaṃ mārjārī navanītakam /	mUzakaH rakzayet annam mArjArI navanItakam /
   kākaścālayet pākaṃ vastūnāṃ tatra kā kathā // 35 //	kAkaH cAlayet pAkam vastUnAm tatra kA kaTA // 35 //
   mālākāra ivārāme na yathāṅgārakārakaḥ /	mAlAkAraH iva ArAme na yaTA aFgAra kArakaH /
   puṣpaṃ puṣpaṃ vicinvīta mūlocchedaṃ na kārayet // 36 //	puzpam puzpam vicinvIta mUla ucCedam na kArayet // 36 //
   valmīkaṃ madhujātaṃ ca śuklapakṣe ca candramāḥ /	valmIkam maDu jAtam ca Sukla pakze ca candramAH /
   bhikṣādravyaṃ nṛpadravyaṃ stokaṃ stokena vardhate // 37 //	BikzA dravyam nRpa dravyam stokam stokena varDate // 37 //
   hīnatā yācane yatra syāttatra na ca yācyatām /	hIna tA yAcane yatra syAt tatra na ca yAcyatAm /
   kāmaṃ hi na bhavedindro himājjīvati tittariḥ // 38 //	kAmam hi na Bavet indraH himAt jIvati tittariH // 38 //
   mayūra ! grīṣmasya tu tāpayukta āśāyutaḥ khasya jale bhavestvam /	mayUra ! grIzmasya tu tApa yuktaH ASA yutaH Kasya jale BaveH tvam /
   kaṇṭhantu no nāmaya gauraveṇa nīre taḍāgasya tu dūṣitasya // 39 //	kaNWantu naH nAmaya gOraveNa nIre taxAgasya tu dUzitasya // 39 //
   siṃho balī hariṇaraktapāmāṃsabhojī saṃvatsareṇa kurute ratimekavāram /	siMhaH balI hariNa rakta pAmAMsa BojI saMvatsareNa kurute ratim eka vAram /
   yo gardabhaḥ khalu rajaḥkaṇamātrabhojī kāmī bhavedanudinaṃ vada ko 'tra	yaH gardaBaH Kalu rajaH kaNa mAtra BojI kAmI Bavet anudinam vada kaH atra
   hetuḥ // 40 // sarpāḥ pibanti pavanaṃ na ca durbalāste	hetuH // 40 // sarpAH pibanti pavanam na ca durbalAH te
   śuṣkaistṛṇairvanagajā balino bhavanti / kandaiḥ phalairmunivarā gamayanti	SuzkEH tRNEH vanagajAH balinaH Bavanti / kandEH PalEH muni varAH gamayanti
   kālam saṃtoṣa eva puruṣasya paraṃ nidhānam // 41 //	kAlam saMtozaH eva puruzasya param niDAnam // 41 //
   sa śobhate puṣpitapuṣpavacca sumaṇḍitaṃ yasya mukhaṃ suvarṇaiḥ /	sa SoBate puzpita puzpa vat ca su maNxitam yasya muKam suvarNEH /
   anakṣaraṃ yasya mukhaṃ bhavecvet tannetravaktre bhubi chidravacca // 42 //	anakzaram yasya muKam Bavet ved tad netra vaktre Bubi Cidra vat ca // 42 //
   muktāmaṇibhyāṃ ca hi gardabhasya kiṃ śūkarasya priyabhojanena /	muktAmaNiByAm ca hi gardaBasya kim SUkarasya priya Bojanena /
   andhasyadīptyā badhirasya gītaimūrkhasya dharmeṇa kimasti kṛtyam // 43 //	anDasya dIptyA baDirasya gItEmUrKasya DarmeNa kim asti kRtyam // 43 //
   kātantraśābdavettā hi vaidyaśca siddhasāravit /	kAtantra SAbda vettA hi vEdyaH ca sidDa sAra vid /
   kāṣṭhakhaṅgadharaścopahāsaṃ yānti trayo 'pi te // 44 //	kAzWa KaFga DaraH ca upahAsam yAnti trayaH api te // 44 //
   dehīdaṃ vacanaṃ nimnaṃ na dāsyāmyatinimnakam /	dehi idam vacanam nimnam na dAsyAmi ati nimnakam /
   gṛhāṇetyuttamaṃ vākyaṃ na gṛhṇāmyatiśobhanam // 45 //	gRhANa iti uttamam vAkyam na gRhNAmi ati SoBanam // 45 //
   kṣatiṃ bihāya yenāpi prayogeṇa hitasya kim /	kzatim bihAya yena api prayogeNa hitasya kim /
   svakāyarakṣaṇenāpi kiñcaiva dhanatṛṣṇayā // 46 //	sva kAya rakzaNena api kiQca eva Dana tRzNayA // 46 //
   kiṃśukasya phalaprāptiryathā vyartha bubhukṣave /	kiMSukasya Pala prAptiH yaTA vyarTa buBukzave /
   dhaninaśca tathādāturjīvanaṃ niṣprayojanam // 47 //	DaninaH ca taTA adAtuH jIvanam nizprayojanam // 47 //
   kāmāturāṇāṃ na bhayaṃ na lajjā kṣudhāturāṇāṃ na balaṃ na tejaḥ /	kAma AturANAm na Bayam na lajjA kzuDA AturANAm na balam na tejaH /
   rogāturāṇāṃ na sukhaṃ na nidrā mārgāturāṇāṃ na bhayaṃ na vīryam // 48 //	roga AturANAm na suKam na nidrA mArga AturANAm na Bayam na vIryam // 48 //
   dhanalipsuḥ suhrit tyājyā bhāryā ca vyabhicāriṇī /	Dana lipsuH suhrit tyAjyA BAryA ca vyaBicAriNI /
   adharmī ca nṛpaḥ krūro mantrī piśuna eva ca // 49 //	aDarmI ca nRpaH krUraH mantrI piSunaH eva ca // 49 //
   kupradeśo hi durvyavasāyo duṣṭo 'tha vai suhṛt /	kupradeSaH hi durvyavasAyaH duzwaH aTa vE suhRd /
   baidyo 'dakṣo 'pi duḥsevyam vastu heyā ime 'pi ca // 50 //	bEdyaH adakzaH api duHsevyam vastu heyAH ime api ca // 50 //
   ahitaṃ hitamācāraśūnyabuddheḥ śrutisamayairbahubhirvahiṣkṛtasya /	ahitam hitam AcAra SUnya budDeH Sruti samayEH bahuBiH vahizkRtasya /
   udarabharaṇamātne kevalecchormanujapaśośca ko viśeṣaḥ // 51 //	udara BaraNa mAtne kevalet CoH manuja paSoH ca kaH viSezaH // 51 //
   ardhajalabharaḥ kumbho mūrdhni yatnena dhāryate /	arDa jala BaraH kumBaH mUrDni yatnena DAryate /
   krudhyanti durjanā nūnaṃ satkāreṇātisevayā // 52 //	kruDyanti durjanAH nUnam satkAreNa ati sevayA // 52 //
   stokenonnatimāyāti stoke nāyātyadhogatim /	stokena unnatim AyAti stoke na AyAti aDogatim /
   aho ! susadṛśī ceṣṭā tulāyaṣṭeḥ khalasya ca // 53 //	aho ! su sadRSI cezwA tulA yazweH Kalasya ca // 53 //
   yathā bāryo na laśunasya gandhaḥ kastūrikācandanacandrasaṃjñaiḥ /	yaTA bAryaH na laSunasya ganDaH kastUrikA candana candra saMjQEH /
   tathā na vāryā varaśāstraśikṣābhyāsena duṣṭasya ca duṣṭatāpi // 54 //	taTA na vAryA vara SAstra SikzA aByAsena duzwasya ca duzwa tA api // 54 //
   durjanaḥ parihartavyo vidyayālaṅkṛto 'pi san /	durjanaH parihartavyaH vidyayA alaFkRtaH api san /
   maṇinā bhūṣitaḥ sarpaḥ kimasau na bhayaṅkaraḥ // 55 //	maNinA BUzitaH sarpaH kim asO na BayaFkaraH // 55 //
   durjanā durbalā yāvat tāvat sādhusvabhāvakāḥ /	durjanAH durbalAH yAvat tAvat sADu svaBAvakAH /
   nyūne śaradi nīre hi nadīṃ sarve taranti ca // 56 //	nyUne Saradi nIre hi nadIm sarve taranti ca // 56 //
   jvarādatyuṣṇatā raukṣāt kaphaśca vardhate yathā /	jvarAt ati uzNa tA rOkzAt kaPaH ca varDate yaTA /
   guṇācārasvabhāvaiḥ syurduṣṭā na parivartitāḥ // 57 //	guNa AcAra svaBAvEH syuH duzwAH na parivartitAH // 57 //
   duṣṭā narā bhṛtyagaṇo 'vamānī praśikṣitā naiva hayāḥ kubhāryā /	duzwA narAH BRtya gaNaH avamAnI praSikzitAH na eva hayAH ku BAryA /
   pratāḍanenaiva bhavanti namrāḥ sukarmayogyā na kadāpi caite // 58 //	pratAxanena eva Bavanti namrAH su karma yogyA na kadApi ca ete // 58 //
   vṛthā vṛṣṭiḥ samudrasya vṛthā tṛptasya bhojanam /	vRTA vRzwiH samudrasya vRTA tRptasya Bojanam /
   vṛthā dānaṃ samarthasya vṛthā hīnasya satkṛtiḥ // 59 //	vRTA dAnam samarTasya vRTA hInasya satkRtiH // 59 //
   padmāni satputramukhe lasanti rohanti nūnaṃ kulaṭāsutasya /	padmAni sat putra muKe lasanti rohanti nUnam kulawA sutasya /
   viṣasya patrāṇi yathā karoti duṣkarma yo vai labhate phalantat // 60 //	vizasya patrANi yaTA karoti duzkarma yaH vE laBate Palantat // 60 //
   abhracchāyā khale prītiḥ siddhamannaṃ ca yoṣitaḥ /	aBra= CAyA Kale prItiH sidDam annam ca yozitaH /
   tṛṇāgnirhimabinduśca ṣaḍete budbudopamāḥ // 61 //	tRNa agniH himabinduH ca zaw ete budbuda upamAH // 61 //
   śuṣkaṃ māṃsaṃ striyo vṛddhā madyaṃ ca taruṇaṃ dadhi /	Suzkam mAMsam striyaH vRdDAH madyam ca taruNam daDi /
   nakte bhojo divā svāpaḥ ṣaḍete prāṇahāriṇaḥ // 62 //	nakte BojaH divA svApaH zaw ete prANa hAriNaH // 62 //
   sadyo māsaṃ navaṃ sarpirbālāstrī payasaudanam /	sadyas mAsam navam sarpiH bAla astrI payasA odanam /
   uṣṇodakaṃ tarucchāyā ṣaḍete prāṇakāriṇaḥ // 63 //	uzNa udakam taru= CAyA zaw ete prANa kAriNaH // 63 //
   kāntāviyogaḥ svajanāpamāno ṛṇasya śeṣaḥ kunarasya sevā /	kAntA viyogaH sva jana apamAnaH RNasya SezaH kunarasya sevA /
   dāridrabhātpravimukta mitraṃ vināgninaiete pradahanti pañca // 64 //	dAridra BAt pravimukta mitram vinA agninEete pradahanti paQca // 64 //
   karmī hyalābhī balino 'pakartā darpī ca bhikṣurhyadhanaḥ sukhārthī /	karmI hi alABI balinaH apakartA darpI ca BikzuH hi aDanaH suKa arTI /
   kaṭūktibhāṣī priyasundarīṇāmete mṛṣācārijanāśca pañca // 65 //	kawu ukti BAzI priya sundarINAm ete mRzA cAri janAH ca paQca // 65 //
   dharmadātānnatrdātā ca bhayatrātopadeśakaḥ /	Darma dAtA annatrdAtA ca Baya trAtA upadeSakaH /
   śarīrotpādakaśceti pañcaite hitakāriṇaḥ // 66 //	SarIra utpAdakaH ca iti paQca ete hita kAriNaH // 66 //
   prārāvṛto hi sanyāsāt srī patitrayadarśikā /	prArAvRtaH hi sa nyAsAt srI pati traya darSikAH /
   jambūko jālamuktaśca trayo 'mī vañcakā matāḥ // 67 //	jambUkaH jAla muktaH ca trayaH amI vaQcakAH matAH // 67 //
   bhojanāpācakā vaiddyā nṛpāścāsatyavādinaḥ /	Bojana ApAcakAH vEddyAH nRpAH ca asatya vAdinaH /
   pāpina uccavaṃśīyā ayogyāḥ syustrayo janāḥ // 68 //	pApinaH ucca vaMSIyAH ayogyAH syuH trayaH janAH // 68 //
   yācakaḥ svādubhoji ca darpī bhikṣāparo bhavet /	yAcakaH svAdu Boji ca darpI BikzA paraH Bavet /
   śāstrārthī bhavatādajñastrayo hāsaṃ bhajanti ca // 69 //	SAstra arTI BavatAdajQaH trayaH hAsam Bajanti ca // 69 //
   sakṛjjalpanti rājānaḥ āryo hi dṛśyate sakṛt /	sakRt jalpanti rAjAnaH AryaH hi dRSyate sakRt /
   sakṛtkanyāḥ pradīyante trīṇyetāni sakṛtsakṛt // 70 //	sakRt kanyAH pradIyante trINi etAni sakRt sakRt // 70 //
   sthūlavapustapasvī ca śūraścāpyakṛtavraṇaḥ /	sTUla vapuH tapasvI ca SUraH ca api akRtavraNaH /
   śayānaikākinī ca strī trayametanna viśavaset // 71 //	SayAnEkAkinI ca strI trayam etat na viSavaset // 71 //
   anyeṣāṃ hiṃsako vipro mithyācārinṛpo 'pi ca /	anyezAm hiMsakaH vipraH miTyA cAri nRpaH api ca /
   bhogī kāmarato bhikṣurnindābhājastrayo bhuvi // 72 //	BogI kAma rataH BikzuH nindA BAjaH trayaH Buvi // 72 //
   vidvān vinayasampanno vīro 'tiśānta eva ca /	vidvAn vinaya sampannaH vIraH atiSAntaH eva ca /
   tyāgārambhaṃ dhanī kuryāt kīrtanīyāstrayo 'pi ca // 73 //	tyAga AramBam DanI kuryAt kIrtanIyAH trayaH api ca // 73 //
   dayī parahite līno duṣṭaśca paranāśakaḥ /	dayI para hite lInaH duzwaH ca para nASakaH /
   icchābhirbālaka nūnaṃ trayo 'tṛptā ime bhuvi // 74 //	icCABiH bAlaka nUnam trayaH atRptAH ime Buvi // 74 //
   arthanāśānmanastāpaṃ duścaritāṃ gṛhe striyam /	arTa nASAt manaH tApam duScaritAm gRhe striyam /
   vañcanaṃ cāpamānaṃ ca matimānna prakāśayet // 75 //	vaQcanam ca apamAnam ca matimAn na prakASayet // 75 //
   vijñāyate 'dhvā śaśitārakāṇāṃ jyotirvidādhvā gaṇitena khasya /	vijQAyate aDvA SaSi tArakANAm jyotiH vidADvA gaNitena Kasya /
   na dṛśyate tena gṛhe tu patnyāḥ kāmādimithyācaraṇaṃ kukṛtam // 76 //	na dRSyate tena gRhe tu patnyAH kAma Adi miTyA AcaraNam kukRtam // 76 //
   garuṇā tattvavettuḥ kiṃ vaidyenārogiṇaśca kim /	garuNA tattva vettuH kim vEdyena ArogiNaH ca kim /
   pāre gatasya kiṃ nāvā kāntayā kiṃ virāgiṇaḥ // 77 //	pAre gatasya kim nAvA kAntayA kim virAgiNaH // 77 //
   devasujanaviprāṇāṃ satye vidvadgaṇasya hi /	deva sujana viprANAm satye vidvat gaNasya hi /
   gūḍhe vacasi bhojye 'sti prīti pṛthagjanasya ca // 78 //	gUXe vacasi Bojye asti prIti pRTagjanasya ca // 78 //
   śaile śaile na māṇikyaṃ mīne mīne na mauktim /	SEle SEle na mANikyam mIne mIne na mOktim /
   sādhavo he na sarvatra candanaṃ na vane vane // 79 //	sADavaH he na sarvatra candanam na vane vane // 79 //
   haṃso na bhāti caturo bakayūthamadhye gomāyumaṇḍalagato na vibhāti siṃhaḥ	haMsaH na BAti caturaH baka yUTa maDye gomAyu maNxala gataH na viBAti siMhaH
   jātyo na bhāti turagaḥ kharayūthamadhye vidvān na bhāti puruṣeṣu	jAtyaH na BAti turagaH Kara yUTa maDye vidvAn na BAti puruzezu
   nirakṣareṣu // 80 //	nirakzarezu // 80 //
   kokilānāṃ svaro rūpaṃ nārīrupamapatrapā ca /	kokilAnAm svaraH rUpam nArI rupamapatrapA ca /
   vidyārūpaṃ vidagdhānāṃ kṣamārūpaṃ tapasvinām // 81 //	vidyA rUpam vidagDAnAm kzamA rUpam tapasvinAm // 81 //
   prabhāvaśāline puṃse kā kṣamāpratikāriṇe /	praBAva SAline puMse kA kzamA pratikAriNe /
   vinītāya ca śāntāya janāya kā sahiṣṇutā // 82 //	vinItAya ca SAntAya janAya kA sahizNu tA // 82 //
   paro 'pi hitavān bandhurbandhurapyahitaḥ paraḥ /	paraH api hitavAn banDuH banDuH api ahitaH paraH /
   ahito dehajo vyādhiḥ hitamāraṇyamauṣadham // 83 //	ahitaH deha jaH vyADiH hitam AraNyam OzaDam // 83 //
   mahājanasya saṃsargaḥ kasya nonnatikārakaḥ /	mahAjanasya saMsargaH kasya na unnati kArakaH /
   puṣpamālānuṣaṅgeṇa sūtraṃ śirasi dhāryate // 84 //	puzpa mAlA anuzaFgeNa sUtram Sirasi DAryate // 84 //
   viśvāsapratipannānāṃ vañcane kā vidagdhatā /	viSvAsa pratipannAnAm vaQcane kA vidagDa tA /
   aṅkamāruhya suptasya hantuḥ kiṃ nāma pauruṣam // 85 //	aFkam Aruhya suptasya hantuH kim nAma pOruzam // 85 //
   kaumāre pitarau pātaḥ bhartrī rakṣati yauvane /	kOmAre pitarO pAtaH BartrI rakzati yOvane /
   rakṣanti vārddhake putrā nājñaḥ svātantryamarhati // 86 //	rakzanti vArdDake putrAH na ajQaH svAtantryam arhati // 86 //
   āsaktirna bhaveddyāvat tāvattu guṇa eva saḥ /	AsaktiH na Bavet dyAvat tAvat tu guNaH eva saH /
   praviṣṭe 'syāṃ mahāsaktau guṇādānaṃ kuto bhavet // 87 //	pravizwe asyAm mahA saktO guNa AdAnam kutas Bavet // 87 //
   nijarītyā janāḥ prāyo 'parānākalayanti hi /	nija rItyAH janAH prAyas aparAn Akalayanti hi /
   ṛṣayaḥ pretamālokya bruvanti taṃ tapasvinam // 88 //	RzayaH pretam Alokya bruvanti tam tapasvinam // 88 //
   durjanadūṣitamanasāṃ puṃsāṃ sujane 'pi nāsti viśvāsaḥ /	durjana dUzita manasAm puMsAm su jane api na asti viSvAsaH /
   bālaḥ payasā dagdho dadhyapi phūtkṛtya bhakṣayati // 89 //	bAlaH payasA dagDaH daDi api PUtkRtya Bakzayati // 89 //
   araghaṭṭaghaṭī yuktā vaśībhavati yoṣitaḥ /	ara Gawwa GawI yuktA vaSIBavati yozitaH /
   bhavatyārambhiko yo 'pi bhavatyeva tadadbhutaḥ // 90 //	Bavati AramBikaH yaH api Bavati eva tat adButaH // 90 //
   satkṛto mahatāṃ yo 'sti vetti tamadhamastṛṇam /	satkRtaH mahatAm yaH asti vetti tam aDamaH tRNam /
   paṇḍitaiḥ pūjitastūpe kākaḥ karoti cāsanam // 91 //	paNxitEH pUjita stu upe kAkaH karoti ca Asanam // 91 //
   phalaṃ ketakavṛkṣasya yadyapyambu prasādakam /	Palam ketaka vRkzasya yadi api ambu prasAdakam /
   na nāmagrahaṇādeva tasya vāri prasīdati // 92 //	na nAma grahaNAt eva tasya vAri prasIdati // 92 //
   śiṣṭā na gṛhṇanti purā pratijñāṃ gṛhṇanti cet te kaṭhinapratijñām /	SizwAH na gRhNanti purA pratijQAm gRhNanti ced te kaWina pratijQAm /
   aṅgikṛtāṃ tāṃ paripālayanti pāṣāṇarekhāmiva te tadānīm // 93 //	aFgikRtAm tAm paripAlayanti pAzANa reKAm iva te tadAnIm // 93 //
   prāpnoti vittaṃ hyadhamo ti kiñcid garvī pareṣāmavamānanāyām /	prApnoti vittam hi aDamaH ti kiQcid garvI parezAm avamAnanAyAm /
