   prathamo niḥṣyandaḥ	praTamaH niHzyandaH
   tadāsyākṛtrimo dharmo jñatvakartṛtvalakṣaṇah |	tadA-asya-akRtrimaH DarmaH jQa-tva-kartR-tva-lakzaNah |
   yatas tadepsitaṃ sarvaṃ jānāti ca karoti ca || 10 ||	yatas tadA-Ipsitam sarvam jAnAti ca karoti ca || 10 ||
   tam adhiṣṭhātṛbhāvena svabhāvam avalokayan |	tam aDizWAtR-BAvena svaBAvam avalokayan |
   smayamāna ivāste yas tasyeyaṃ kusṛtiḥ kutaḥ || 11 ||	smayamAnaH iva-Aste yaH tasya-iyam kusRtiH kutas || 11 ||
   nābhāvo bhāvyatām eti na ca tatrāsty amūḍhatā |	na-aBAvaH BAvyatAm eti na ca tatra-asti amUXa-tA |
   yato 'bhiyogasaṃsparśāt tadāsid iti niścayah || 12 ||	yatas aBiyoga-saMsparSAt tadA-asit iti niScayah || 12 ||
   atas tatkṛtrimaṃ jñeyaṃ sauṣuptapadavat sadā |	atas tad-kRtrimam jQeyam sOzupta-pada-vat sadA |
   na tv evaṃ smaryamāṇatvaṃ tat tattvam pratipadyate || 13 ||	na tu evam smaryamANa-tvam tat tattvam pratipadyate || 13 ||
   avasthāyugalaṃ cātra kāryakartṛtvaśabditam |	avasTA-yugalam ca-atra kArya-kartR-tva-Sabditam |
   kāryatā kṣayiṇī tatra kartṛtvam punar akṣayam || 14 ||	kArya-tA kzayiNI tatra kartR-tvam punar akzayam || 14 ||
   kāryonmukhaḥ prayatno yaḥ kevalaṃ so 'tra lupyate |	kArya-unmuKaH prayatnaH yaH kevalam saH atra lupyate |
   tasmin lupte vilupto 'smīty abudhaḥ pratipadyate || 15 ||	tasmin lupte viluptaH asmi-iti abuDaH pratipadyate || 15 ||
   na tu yo 'ntarmukho bhāvah sarvajñātvaguṇāspadam |	na tu yaH antarmuKaH BAvam sarva-jQAtu-a-guNa-Aspadam |
   tasya lopaḥ kadācit syād anyasyānupalambhanāt || 16 ||	tasya lopaH kadAcid syAt anyasya-anupalamBanAt || 16 ||
   tasyopalabdhiḥ satataṃ tripadāvyabhicāriṇī |	tasya-upalabDiH satatam tripada-avyaBicAriNI |
   nityaṃ syāt suprabuddhasya tadādyante parasya tu || 17 ||	nityam syAt suprabudDasya tad-Adi-ante parasya tu || 17 ||
   jñānajñeyasvarūpiṇyā śaktyā paramayā yutaḥ |	jQAna-jQeya-svarUpiNyA SaktyA paramayA yutaH |
   padadvaye vibhur bhāti tadanyatra tu cinmayaḥ || 18 ||	pada-dvaye viBuH BAti tat-anyatra tu cit-mayaH || 18 ||
   guṇādispandaniḥṣyandāḥ sāmānyaspandasaṃśrayāt |	guNa-Adi-spanda-niHzyandAH sAmAnya-spanda-saMSrayAt |
   labdhātmalābhaḥ satataṃ syur jñasyāparipanthinaḥ || 19 ||	labDa-Atma-lABaH satatam syuH jQasya-aparipanTinaH || 19 ||
   aprabudhadhiyas tv ete svasthitisthaganodyatāḥ |	aprabuDa-DiyaH tu ete sva-sTiti-sTagana-udyatAH |
   pātayanti duruttāre ghore saṃsāravartmani || 20 ||	pAtayanti duruttAre Gore saMsAra-vartmani || 20 ||
   ataḥ satatam udyuktaḥ spandatattvaviviktaye |	atas satatam udyuktaH spanda-tattva-viviktaye |
   jāgrad eva nijam bhāvam acireṇādhigacchati || 21 ||	jAgrat eva nijam BAvam acireNa-aDigacCati || 21 ||
   atikruddhaḥ prahṛṣṭo vā kiṃ karomīti vā mṛśan |	ati-krudDaH prahRzwaH vA kim karomi-iti vA mRSan |
   dhāvan va yat padaṃ gacchet tatra spandaḥ pratiṣṭhitaḥ || 22 ||	DAvan va yat padam gacCet tatra spandaH pratizWitaH || 22 ||
   yām avasthāṃ samālambya yad ayam mama vakṣyati |	yAm avasTAm samAlambya yat ayam mama vakzyati |
   tadavaśyaṃ kariṣye 'ham iti saṃkalpya tiṣṭhati || 23 ||	tat-avaSyam karizye aham iti saMkalpya tizWati || 23 ||
   tām aśrityordhvamārgeṇa candrasūryāv ubhāv api |	tAm aSritya-UrDva-mArgeNa candra-sUryO uBO api |
   sauṣumne 'dhvanyastamito hitvā brahmā.ṅdagocaram || 24 ||	sOzumne aDvani-astamitaH hitvA brahma-a.Fda-gocaram || 24 ||
   tadā tasmin mahāvyomni pralīnaśaśibhāskare |	tadA tasmin mahA-vyomni pralIna-SaSi-BAskare |
   sauṣuptapadavan mūḍhaḥ prabuddhaḥ syād anāvṛtaḥ || 25 ||	sOzupta-pada-vat mUXaH prabudDaH syAt anAvRtaH || 25 ||
   dvitīyo niḥṣyandaḥ	dvitIyaH niHzyandaH
   tadākramya balam mantrāḥ sarvajñābalaśālinaḥ |	tat-Akramya balam mantrAH sarvajQa-abala-SAlinaH |
   pravartante 'dhikārāya karaṇānīva dehinām || 1 ||	pravartante aDikArAya karaNAni-iva dehinAm || 1 ||
   tatraiva sampralīyante śāntarūpā nirañjanāḥ |	tatra-eva sampralIyante SAnta-rUpAH niraQjanAH |
   sahārādhakacittena tenaite śivadharmiṇaḥ || 2 ||	saha-ArADaka-cittena tena-ete Siva-DarmiNaH || 2 ||
   yasmāt sarvamayo jīvaḥ sarvabhāvasamudbhavāt |	yasmAt sarva-mayaH jIvaH sarva-BAva-samudBavAt |
   tatsaṃvedanarūpeṇa tādātmyapratipattitaḥ || 3 ||	tad-saMvedana-rUpeNa tAdAtmya-pratipattitaH || 3 ||
   tasmāc chabdārthacintāsu na sāvasthā na yā śivaḥ |	tasmAt Sabda-arTa-cintAsu na sA-avasTA na yA SivaH |
   bhoktaiva bhogyabhāvena sadā sarvatra saṃsthitaḥ || 4 ||	BoktA-eva Bogya-BAvena sadA sarvatra saMsTitaH || 4 ||
   iti vā yasya saṃvittiḥ krīḍātvenākhilaṃ jagat |	iti vA yasya saMvittiH krIxA-tvena-aKilam jagat |
   sa paśyan satataṃ yukto jīvanmukto na saṃśayaḥ || 5 ||	sa paSyan satatam yuktaH jIvanmuktaH na saMSayaH || 5 ||
   ayam evodayas tasya dhyeyasya dhyāyicetasi |	ayam eva-udayaH tasya Dyeyasya DyAyi-cetasi |
   tadātmatāsamāpattir icchataḥ sādhakasya yā || 6 ||	tad-AtmatA-samApattiH icCataH sADakasya yA || 6 ||
   iyam evāmṛtaprāptir ayam evātmano grahaḥ |	iyam eva-amRta-prAptiH ayam eva-AtmanaH grahaH |
   iyaṃ nirvāṇa-dīkṣā ca śivasadbhāvadāyini || 7 ||	iyam nirvANa--dIkzA ca Siva-sadBAva-dAyini || 7 ||
   tṛtīyo niḥṣyandaḥ	tRtIyaH niHzyandaH
   yathecchābhyarthito dhātā jāgrato 'rthān hṛdi sthitān	yaTA-icCa-aByarTitaH DAtA jAgrataH arTAn hRdi sTitAn
   somasūryodayaṃ kṛtvā sampādayati dehinaḥ || 1 |	soma-sUrya-udayam kRtvA sampAdayati dehinaH || 1 |
   tathā svapne 'py abhīṣṭārthān praṇayasyānatikramāt |	taTA svapne api aBIzwa-arTAn praNayasya-anatikramAt |
   nityaṃ sphuṭataraṃ madhye sthito 'vaśyaṃ prakāśayet || 2 ||	nityam sPuwataram maDye sTitaH avaSyam prakASayet || 2 ||
   anyathā tu svatantrā syāt sṛṣṭis taddharmakatvataḥ |	anyaTA tu svatantrA syAt sRzwiH tad-Darmaka-tvataH |
   satataṃ laukikasyeva jāgratsvapnapadadvaye || 3 ||	satatam lOkikasya-iva jAgrat-svapna-pada-dvaye || 3 ||
   yathā hi artho 'sphuṭo dṛṣṭaḥ sāvadhāne 'pi cetasi |	yaTA hi arTaH asPuwaH dRzwaH sa-avaDAne api cetasi |
   bhūyaḥ sphuṭataro bhāti svabalodyogabhāvitaḥ || 4 ||	BUyas sPuwataraH BAti sva-bala-udyoga-BAvitaH || 4 ||
   tathā yat paramārthena yena yatra yathā sthitam |	taTA yat parama-arTena yena yatra yaTA sTitam |
   tat tathā balam ākramya na cirāt sampravartate || 5 ||	tat taTA balam Akramya na cirAt sampravartate || 5 ||
   durbalo 'pi tadākramya yataḥ kārye pravartate |	durbalaH api tat-Akramya yatas kArye pravartate |
   ācchādayed bubhukṣāṃ ca tathā yo 'ti bubhukṣitaḥ || 6 ||	AcCAdayet buBukzAm ca taTA yaH ati buBukzitaH || 6 ||
   anenādhiṣṭhite dehe yathā sarvajñatādayaḥ |	anena-aDizWite dehe yaTA sarvajQa-tA-AdayaH |
   tathā svātmany adhiṣṭhānāt sarvatraivam bhaviṣyati || 7 ||	taTA sva-Atmani aDizWAnAt sarvatra-evam Bavizyati || 7 ||
   glānir vilu.ṅthikā dehe tasyāścājñānataḥ sṛtiḥ |	glAniH vilu.FTikAH dehe tasyAH-ca-ajQAnataH sRtiH |
   tad unmeṣaviluptaṃ cet kutaḥ sā syād ahetukā || 8 ||	tat unmeza-viluptam ced kutas sA syAt ahetukAH || 8 ||
   ekacintāprasaktasya yataḥ syād aparodayaḥ |	eka-cintA-prasaktasya yatas syAt apara-udayaH |
   unmeṣaḥ sa tu vijñeyaḥ svayaṃ tam upalakṣayet || 9 ||	unmezaH sa tu vijQeyaH svayam tam upalakzayet || 9 ||
   ato bindur ato nādo rūpam asmād ato rasaḥ |	atas binduH atas nAdaH rUpam asmAt atas rasaH |
   pravartante 'cireṇaiva kṣobhakatvena dehinaḥ || 10 ||	pravartante acireNa-eva kzoBaka-tvena dehinaH || 10 ||
   didṛkṣayeva sarvārthān yadā vyāpyāvatiṣṭhate |	didRkzayA-iva sarva-arTAn yadA vyApya-avatizWate |
   tadā kiṃ bahunoktena svayam eva avabhotsyate || 11 ||	tadA kim bahunA-uktena svayam eva avaBotsyate || 11 ||
   prabuddhaḥ sarvadā tiṣṭhej jñānenālokya gocaram |	prabudDaH sarvadA tizWet jQAnena-Alokya gocaram |
   ekatrāropayet sarvaṃ tato 'nyena na pīḍyate || 12 ||	ekatra-Aropayet sarvam tatas anyena na pIxyate || 12 ||
   śabdarāśisamutthasya śaktivargasya bhogyatām |	Sabda-rASi-samutTasya Sakti-vargasya Bogya-tAm |
   kalāviluptavibhavo gataḥ san sa paśuḥ smṛtaḥ || 13 ||	kalA-vilupta-viBavaH gataH san sa paSuH smRtaH || 13 ||
   parāmṛtarasāpāyas tasya yaḥ pratyayodbhavaḥ |	para-amRta-rasa-apAyaH tasya yaH pratyaya-udBavaH |
   tenāsvatantratām eti sa ca tanmātragocaraḥ || 14 ||	tena-asvatantra-tAm eti sa ca tanmAtra-gocaraH || 14 ||
   svarūpāvaraṇe cāsya śaktayaḥ satatotthitāḥ |	sva-rUpa-AvaraNe ca-asya SaktayaH satata-utTitAH |
   yataḥ śabdānuvedhena na vinā pratyayodbhavaḥ || 15 ||	yatas Sabda-anuveDena na vinA pratyaya-udBavaH || 15 ||
   seyaṃ kriyātmikā śaktiḥ śivasya paśuvartinī |	sA-iyam kriyA-AtmikA SaktiH Sivasya paSu-vartinI |
   bandhayitrī svamārgasthā jñāta siddhyupapādikā || 16 ||	banDayitrI sva-mArga-sTA jQAta sidDi-upapAdikA || 16 ||
   tanmātrodayarūpena mano 'haṃbuddhivartinā |	tanmAtra-udaya-rUpena manaH ahaMbudDi-vartinA |
   puryaṣṭakena saṃruddhas taduttham pratyayodbhavam || 17 ||	puryazwakena saMrudDaH tad-utTam pratyaya-udBavam || 17 ||
   bhuṅkte paravaśo bhogaṃ tadbhāvāt saṃsared ataḥ |	BuFkte para-vaSaH Bogam tad-BAvAt saMsaret atas |
   saṃsṛtipralayasyāsya kāraṇaṃ sampracakṣmahe || 18 ||	saMsRti-pralayasya-asya kAraNam sampracakzmahe || 18 ||
   yadā tv ekatra saṃrūḍhas tadā tasya layodayau |	yadA tu ekatra saMrUXaH tadA tasya laya-udayO |
   niyacchan bhoktṛtām eti tataś cakreśvaro bhavet || 19 ||	niyacCan BoktRtAm eti tatas cakreSvaraH Bavet || 19 ||
   caturtho niḥṣyandaḥ	caturTaH niHzyandaH
   agādhasaṃśayāmbhodhisamuttaraṇatārinīm |	agADa-saMSaya-amBoDi-samuttaraNa-tArinIm |
   vande vicitrārthapadāṃ citrāṃ tāṃ gurubhāratīm || 1 ||	vande vicitra-arTa-padAm citrAm tAm guru-BAratIm || 1 ||
   labdhvāpy alabhyam etaj jñānadhanaṃ hṛdguhāntakṛtanihiteḥ |	labDvA-api alaByam etat jQAna-Danam hRd-guhA-anta-kRta-nihiteH |
   vasuguptavac chivāya hi bhavati sadā sarvalokasya || 2 ||	vasugupta-vat SivAya hi Bavati sadA sarva-lokasya || 2 ||
   Gandharva-nagaram / DSO Sanskrit Archive	GanDarva--nagaram / DSO Sanskrit ArCive
