   Kādambarīsvīkaraṇasūtramañjarī	KAt-ambarI-svIkaraNa-sUtramaQjarI
   pratipadyate nyubjaghaṭopari jalapūraṇanyāyena tasmāt ratitantravilāse	pratipadyate nyubja-Gawa-upari jala-pUraNa-nyAyena tasmAt rati-tantra-vilAse
   udañjidhārṣṭye manīṣāvatā puruṣeṇa galitayauvanayā saha madhuvāro naiva	udaQji-DArzwye manIzA-avatA puruzeNa galita-yOvanayA saha maDuvAraH na-eva
   kartavya ity arthaḥ || 8.3	kartavyaH iti arTaH || 8.3
   * nirarthakaprayāse kasyāpi matir naivotpadyata iti nyāyāt || 8.4	* nirarTaka-prayAse kasya-api matiH na-eva-utpadyate iti nyAyAt || 8.4
   * dhanvantaryādīnāṃ matam anusṛtya kāpiśāyanasvīkaraṇe	* Danvantari-AdInAm matam anusRtya kApiSAyana-svIkaraNe
   'nirvacanīyāhlādadyotakam upakārāntaram anudarśayati || 8.5]	anirvacanIya-AhlAda-dyotakam upakAra-antaram anudarSayati || 8.5]
   śyāmayā saha nirveśanaṃ yāmadvayasopalakṣitadiṣṭāvadhiretaḥstambhane	SyAmayA saha nirveSanam yAma-dvayasa-upalakzita-dizwO=-aDiretaH-stamBane
   paramakāraṇam // 9	parama-kAraNam // 9
   * śyāmayā saheti || 9.1	* SyAmayA saha-iti || 9.1
   * ṣoḍaśavārṣikī śyāmeti vātsyāyanasūtre prasiddhiḥ tādṛgavasthayā yoṣayā	* zoxaSa-vArzikI SyAmA-iti vAtsyAyana-sUtre prasidDiH tAdRS-avasTayA yozayA
   saha niveśanaṃ pānaṃ patiṣu nirviviśur madam aṅganā ity atra	saha niveSanam pAnam patizu nirviviSuH madam aFganA iti atra
   nirveśanaśabde pānaṃ lakṣyate yāmapramāṇaṃ yāmadvayasaṃ pramāṇe dvayasaj	nirveSana-Sabde pAnam lakzyate yAma-pramANam yAma-dvayasam pramANe dvayasa-j
   iti sūtreṇa pramāṇārthe dvayasacpratyayaḥ tādṛkpramāṇopalakṣite diṣṭe kāle	iti sUtreNa pramANa-arTe dvayasat-pratyayaH tAdRS-pramANa-upalakzite dizwe kAle
   kālo diṣṭopyanehāpīti kośasmaraṇāt tāvat kālam abhivyāpyeti yāvat	kAlaH dizwopyanA-iha-api-iti koSa-smaraNAt tAvat kAlam aBivyApya-iti yAvat-
   retaḥstambhane paramakāraṇam iti tayā saha kāpiśāyanasya svīkaraṇe	retaH-stamBane parama-kAraNam iti tayA saha kApiSAyanasya svIkaraNe
   kriyamāṇe ekayāmaparyantaṃ varāṅgopari vrīhikaṇḍanavat āghātaṃ karotīty	kriyamANe ekayA-Ama-paryantam varAFga-upari vrIhi-kaNxana-vat AGAtam karoti-iti-
   arthaḥ || 9.2	arTaH || 9.2
   * idānīṃ narmavyāpāravistāre 'paricitanarmasukhānandāya nidhuvanāt pūrvaṃ	* idAnIm narma-vyApAra-vistAre aparicita-narma-suKa-AnandAya niDuvanAt pUrvam
   kāpiśāyanaprāśanaṃ narmakhedāpanuttaye 'tyāvaśyakatvenānudarśayati || 9.3]	kApiSAyana-prASanam narma-Keda-apanuttaye ati-AvaSyaka-tvena-anudarSayati || 9.3]
   nistanūruhavarāṅgasambhede yoṣāyā anuprāśanasyātyāvaśyakatvāt // 10	nistanUruha-vara-aFga-samBede yozAyAH anuprASanasya-ati-AvaSyaka-tvAt // 10
   * nistanūruhavarāṅga iti || 10.1	* nistanUruha-vara-aFgaH iti || 10.1
   * nirgataṃ tanūruhaṃ yasmāt tat nistanūruhaṃ tanūruhāṇāṃ prādurbhāveṇa	* nirgatam tanUruham yasmAt tat nistanUruham tanUruhANAm prAdurBAveNa
   rahitaṃ tac ca tat varāṅgaṃ ca tasya sambhedanaṃ svakīyenodañjinā	rahitam tat ca tat varAFgam ca tasya samBedanam svakIyena-udaQjinA
   mukhavidāraṇaṃ tādṛkkarmaṇi kriyamāṇe ajñātanarmavyāpārāyai reyaprāśanaṃ	muKa-vidAraNam tAdRk-karmaNi kriyamANe ajQAta-narma-vyApArAyE reya-prASanam
   kārayitavyam kṛte aireyaprāśane manasijasadmavidīrṇavyathā sambhedakāle	kArayitavyam kRte Ereya-prASane manasija-sadma-vidIrNa-vyaTA samBeda-kAle
   nānubhūyate itarathā sadmavidīrṇajanyavyathayā sadmani sthitānāṃ nāḍīnāṃ	na-anuBUyate itaraTA sadma-vidIrNa-janya-vyaTayA sadmani sTitAnAm nAxInAm
   viparyāsena vyānavāyau saṃkaṭavyathā atitarām anubhūyate	viparyAsena vyAna-vAyO saMkawa-vyaTA atitarAm anuBUyate
   tadvyathānivāraṇārthaṃ nidhuvanāt pūrvaṃ dvipalapramāṇaṃ kāpiśāyanaṃ	tad-vyaTA-nivAraNa-arTam niDuvanAt pUrvam dvi-pala-pramANam kApiSAyanam
   pāyayitavyam ity arthaḥ || 10.2	pAyayitavyam iti arTaH || 10.2
   * tayā yoṣayā kāpiśāyane pīte sati uttarasūtreṇa pānajanyaṃ yat sukhaṃ tad	* tayA yozayA kApiSAyane pIte sati uttara-sUtreNa pAna-janyam yat suKam tat-
   darśayati || 10.3]	darSayati || 10.3]
   kriyamāṇe 'nuprāśane nirbhedavyathā nānubhūyate // 11	kriyamANe anuprASane nirBeda-vyaTA na-anuBUyate // 11
   * kriyamāṇe 'nuprāśana iti || 11.1	* kriyamANe anuprASanaH iti || 11.1
   * priyasakhīdvārā kriyamāṇe 'nuprāśane satīti jñeyam madāvirbhāveṇa	* priya-saKI-dvArA kriyamANe anuprASane sati-iti jQeyam mad-AvirBAveNa
   anusaṃdhānābhāvāt nirbhedajanyā vyathā nānubhūyate ity arthaḥ || 11.2	anusaMDAna-aBAvAt nirBeda-janyA vyaTA na-anuBUyate iti arTaH || 11.2
   * uttarasmin ghasre upakārakāntaram anudarśayati || 11.3]	* uttarasmin Gasre upakAraka-antaram anudarSayati || 11.3]
   uttarasmin ghasre asaṃbheditam iva varāṅgaṃ paridṛśyate // 12	uttarasmin Gasre asaMBeditam iva varAFgam paridRSyate // 12
   * uttarasmin ghasre iti || 12.1	* uttarasmin Gasre iti || 12.1
   * varāṅgavidīrṇād anantaram uttarasmin ghasre dine asaṃbheditam iva	* varAFga-vidIrNAt anantaram uttarasmin Gasre dine asaMBeditam iva
   avidīrṇam iva paridṛśyate varāṅgam idam eva upakārakāntaram || 12.2	avidIrNam iva paridRSyate varAFgam idam eva upakAraka-antaram || 12.2
   * yoṣāyā anuprāśanena taddvārā uttararūpe phalavaiśiṣṭyaṃ saṃpradarśayati	* yozAyAH anuprASanena tad-dvArA uttara-rUpe Pala-vESizwyam saMpradarSayati
   kriyamāṇe narmavyāpāre udañjer dhārṣṭyasya phalegrahiḥ paridṛśyate // 13	kriyamANe narma-vyApAre udaQjeH DArzwyasya PalegrahiH paridRSyate // 13
   * kriyamāṇe narmavyāpāra iti || 13.1	* kriyamANe narma-vyApAraH iti || 13.1
   * uttararūpeṇa kriyamāṇe narmavyāpāre nidhuvanavyāpāre udañjer dhārṣṭyasya	* uttara-rUpeNa kriyamANe narma-vyApAre niDuvana-vyApAre udaQjeH DArzwyasya
   yaṣṭikāṇḍam iva atikaṭhinatāṃ samprāptasya meḍhrasya phalegrahir	yazwi-kANxam iva ati-kaWina-tAm samprAptasya meXrasya Palegrahir
   avandhyasāmarthyaṃ paridṛśyate || 13.2	avanDya-sAmarTyam paridRSyate || 13.2
   * etad uktaṃ bhavati kāpiśāyanasya anuprāśanamātreṇātisaṃkucitatvaṃ	* etat uktam Bavati kApiSAyanasya anuprASana-mAtreNa-ati-saMkucita-tvam
   prāptasya yoṣāyāḥ varāṅgasya atidṛḍhatamasyāpy udañjeḥ	prAptasya yozAyAH varAFgasya ati-dRXatamasya-api udaQjeH
   varāṅgamukhavidīrṇane sāmarthyābhāvāt parābhavaṃ prāpta evety arthaḥ ||	vara-aFga-muKa-vidIrNane sAmarTya-aBAvAt parABavam prAptaH eva-iti arTaH ||
   * saṃbhedite 'pi varāṅge kāpiśāyanaprāśanena atisaṃkocaṃ prāptasya yoṣāyāḥ	* saMBedite api varAFge kApiSAyana-prASanena ati-saMkocam prAptasya yozAyAH
   varāṅgasya vivarakaraṇe udañjau mahatī vyathā prādurbhūyate iti bhāvaḥ ||	varAFgasya vivara-karaNe udaQjO mahatI vyaTA prAdurBUyate iti BAvaH ||
   * anena vākyena dvitīyavṛttāv api punaḥ yo 'nividīrṇasukhaṃ puruṣo	* anena vAkyena dvitIya-vRttO api punar yaH anividIrNa-suKam puruzaH-
   'nubhūyate iti tātparyārthaḥ || 13.5	anuBUyate iti tAtparya-arTaH || 13.5
   * śyāmayā saha nirveśane ratisukhodbodhanaṃ vīryastambhanaṃ kālāvadhiṃ ca	* SyAmayA saha nirveSane rati-suKa-udboDanam vIrya-stamBanam kAla-avaDim ca
   proktam upaśyāmayā saha krīḍane samupasthitau tatrāpi aireyasvīkaraṇasya	proktam upaSyAmayA saha krIxane samupasTitO tatra-api Ereya-svIkaraNasya
   atyāvaśyakatvenānuvidhānaṃ vidadhāti || 13.6]	ati-AvaSyaka-tvena-anuviDAnam vidaDAti || 13.6]
   upaśyāmayā saha vyānatādibandhe samupasthitau pāśina ātmajāyāḥ svīkaraṇe	upaSyAmayA saha vyAnata-Adi-banDe samupasTitO pASinaH AtmajAyAH svIkaraNe
   anirvacanīyasukhānubhave hetuḥ kāraṇatvam // 14	anirvacanIya-suKa-anuBave hetuH kAraNa-tvam // 14
   * upaśyāmayā saheti || 14.1	* upaSyAmayA saha-iti || 14.1
   * aprāptayauvanābhiḥ saha bāhyatantre manīṣāyāḥ samupasthitau aṇumātraṃ	* aprApta-yOvanABiH saha bAhyatantre manIzAyAH samupasTitO aNu-mAtram
   tasyai prāśayitavyaṃ tāvanmātreṇaiva ubhayoḥ ānandasukhānulabdheḥ	tasyE prASayitavyam tAvat-mAtreNa-eva uBayoH Ananda-suKa-anulabDeH
   cumbanādivyāpāre anuvidhīyamāne alpasvīkāramātreṇa ānandānubhavadarśanāt	cumbana-Adi-vya-apAre anuviDIyamAne alpa-svIkAra-mAtreNa Ananda-anuBava-darSanAt-
   na tatra ādhikyena pāśinaḥ || 14.2	na tatra ADikyena pASinaH || 14.2
   * ātmajāyāḥ svīkaraṇam iti hetuvādaṃ manasi nidhāya auttarīyaṃ sūtram	* AtmajAyAH svIkaraNam iti hetuvAdam manasi niDAya OttarIyam sUtram
   anuśāsti || 14.3]	anuSAsti || 14.3]
   aprāptayauvanābhiḥ saha samprayoge aṇumātraprāśanena caritārthatvāt // 15	aprApta-yOvanABiH saha samprayoge aNu-mAtra-prASanena caritArTa-tvAt // 15
   aprāptayauvanābhiḥ saheti // 16	aprApta-yOvanABiH saha-iti // 16
   * idānīm utkaṭayauvanāvasthāyām aireyaprāśanaṃ ratitantravilāse upadiśyate	* idAnIm utkawa-yOvana-avasTAyAm Ereya-prASanam rati-tantra-vilAse upadiSyate
   netarāvasthāyām upayogābhāvād anadhikāritvād ity ālocya dvitīyāvasthāyām	na-itara-avasTAyAm upayoga-aBAvAt anaDikAri-tvAt iti Alocya dvitIya-avasTAyAm
   atyāvaśyakatvam iti paurastyasūtreṇānudarśayati || 16.1]	ati-AvaSyaka-tvam iti pOrastya-sUtreNa-anudarSayati || 16.1]
   tīyapratyayasya prakṛtibhūtāyām avasthāyāṃ kaśyasvīkaraṇasyātyāvaśyakatvaṃ	tIya-pratyayasya prakRti-BUtAyAm avasTAyAm kaSya-svIkaraNasya-ati-AvaSyaka-tvam
   sati pūrvarūpasaṃyoge // 17	sati pUrvarUpa-saMyoge // 17
   * tīyapratyayasya prakṛtibhūtāyām iti || 17.1	* tIya-pratyayasya prakRti-BUtAyAm iti || 17.1
   * tīyapratyayasya prakṛtibhūtāyām avasthāyāṃ dvitīyāyām avasthāyāṃ dves	* tIya-pratyayasya prakRti-BUtAyAm avasTAyAm dvitIyAyAm avasTAyAm dves
   tīya ity anena dviśabdāt tīyapratyaye sati dvitīyaśabdo niṣpadyate tasyām	tIyaH iti anena dvi-SabdAt tIya-pratyaye sati dvitIya-SabdaH nizpadyate tasyAm
