   pāpaśodhanaṃ aṣṭamaḥ paricchedaḥ |	pApa-SoDanam azwamaH paricCedaH |
   mātāpitṛṣv agauravaṃ tat sarvaṃ deśayāmy aham ||	mAtA-pitRzu agOravam tat sarvam deSayAmi aham ||
   mūrkhatvena bālatvena mānadarpâvṛtena ca |	mUrKa-tvena bAla-tvena mAna-darpâvRtena ca |
   rāgadveṣeṇa mohena tat sarvaṃ deśayāmy aham ||	rAga-dvezeNa mohena tat sarvam deSayAmi aham ||
   vyavalokayantu māṃ buddhāḥ samanvāhṛtacetasaḥ |	vyavalokayantu mAm budDAH samanvAhRta-cetasaH |
   atyayaṃ pratigṛhṇantu kāruṇyârpitacetasaḥ ||	atyayam pratigRhNantu kAruNI-ârpita-cetasaH ||
   [ Bendall ed p163 ---> ]	[ Bet-dalt ed p163 ---> ]
   yat tu pāpaṃ kṛtaṃ pūrvaṃ mayā kalpaśateṣu ca |	yat tu pApam kRtam pUrvam mayA kalpa-Satezu ca |
   tasyârthaṃ śokacitto 'haṃ krpaṇīyo bhayârditaḥ ||	tasyârTam Soka-cittaH aham krpaNIyaH BayârditaH ||
   bhavāmi pāpakarmāṇāṃ satataṃ dīnamānasaḥ |	BavAmi pApa-karmANAm satatam dIna-mAnasaH |
   yatra yatra cariṣyāmi na câsti me balaṃ kvacit ||	yatra yatra carizyAmi na câsti me balam kvacid ||
   sarve kāruṇikā buddhāḥ sarve bhayaharā jage |	sarve kAruNikAH budDAH sarve Baya-harAH jage |
   atyayaṃ pratigṛhṇantu mocayantu ca māṃ bhayāt ||	atyayam pratigRhNantu mocayantu ca mAm BayAt ||
   kleśakarmaphalaṃ mahyaṃ pravāhayantu tathāgatāḥ |	kleSa-karma-Palam mahyam pravAhayantu taTAgatAH |
   snāpayantu ca māṃ buddhāḥ kāruṇyasaritôdakaiḥ ||	snApayantu ca mAm budDAH kAruNya-saritôdakEH ||
   sarvaṃ pāpaṃ deśayāmi yat tu pūrvaṃ kṛtaṃ mayā |	sarvam pApam deSayAmi yat tu pUrvam kRtam mayA |
   yac câitarhi me pāpaṃ tat sarvaṃ deśayāmy aham ||	yat câitarhi me pApam tat sarvam deSayAmi aham ||
   āyatyāṃ saṃvaram āpadye sarvaduṣkṛtakarmaṇām |	AyatyAm saMvaram Apadye sarva-duzkRta-karmaNAm |
   na chādayāmi tat pāpaṃ yad bhaven mama duṣkṛtam ||	na CAdayAmi tat pApam yat Bavet mama duzkRtam ||
   trividhaṃ kāyikaṃ karma vacasā ca caturvidham |	triviDam kAyikam karma vacasA ca caturviDam |
   manasā triprakāreṇa tat sarvaṃ deśayāmy aham ||	manasA tri-prakAreNa tat sarvam deSayAmi aham ||
   kāyakṛtaṃ vācakṛtaṃ manasā ca vicintitaṃ |	kAya-kRtam vAca-kRtam manasA ca vicintitam |
   kṛtaṃ daśavidhaṃ karma tat sarvaṃ deśayāmy aham ||	kRtam daSaviDam karma tat sarvam deSayAmi aham ||
   [ Bendall ed p164 ---> ]	[ Bet-dalt ed p164 ---> ]
   yac ca me pāpakaṃ karmâniṣṭaphaladāyakaṃ |	yat ca me pApakam karmânizwa-Pala-dAyakam |
   tat sarvaṃ deśayiṣyāmi buddhānāṃ purataḥ sthitaḥ ||	tat sarvam deSayizyAmi budDAnAm puratas sTitaH ||
   bhavagatisaṃkaṭe bālabuddhinā pāpaṃ yan me kṛtaṃ sudāruṇam |	Bava-gati-saMkawe bAla-budDinA pApam yat me kRtam su-dAruNam |
   daśabalam agrataḥ sthitaḥ tat sarvaṃ pāpaṃ pratideśayāmi |	daSa-balam agratas sTitaH tat sarvam pApam pratideSayAmi |
   deśayāmi ca tat pāpaṃ yan mayā saṃcitaṃ janmasaṃkaṭe vividhaiḥ	deSayAmi ca tat pApam yat mayA saMcitam janma-saMkawe viviDEH
   kāyapracārasaṃkaṭair bhavasaṃkaṭalokasaṃkaṭe cāpalacalacittasaṃkaṭe	kAya-pracAra-saMkawEH Bava-saMkawa-loka-saMkawe cApala-cala-citta-saMkawe
   mūrkhabālakṛtakleśasaṃkaṭe |	mUrKa-bAla-kRta-kleSa-saMkawe |
   pāpamitrâgamasaṃkaṭe ca |	pApa-mitrâ-gama-saMkawe ca |
   bhayasaṃkaṭarāgasaṃkaṭe doṣamohatamasaṃkaṭair api kṣaṇasaṃkaṭe kālasaṃkaṭe	Baya-saMkawa-rAga-saMkawe doza-mohatama-saMkawEH api kzaNa-saMkawe kAla-saMkawe
   puṇyôpārjanasaṃkaṭair api |	puNyô-pArjana-saMkawEH api |
   jinasaṃkaṭasaṃmukhasthitaḥ |	jina-saMkawa-saMmuKa-sTitaH |
   tat sarvapāpaṃ pratideśayāmi ||	tat sarva-pApam pratideSayAmi ||
   viśeṣatas tu bodhisatvâpattīnāṃ gurvīṇāṃ laghvīnāṃ	viSezataH tu boDisatvâpattInAm gurvINAm laGvInAm
   deśanâryôpāliparipṛcchāyām uktā	deSa-nâryô-pAli-paripRcCAyAm uktA
   [ Cambridge MS f79b ---> ]	[ Cambridge M f79B ---> ]
   kā punar gurvī mūlâpattiḥ ||	kA punar gurvI mUlâpattiH ||
   sāmānyatas tu tatrôktaṃ |	sAmAnyatas tu tatrôktam |
   saced upāle mahāyānasaṃprasthito bodhisatvo mahāsatvo gaṅgānadīvālikôpamā	saced upAle mahAyAna-saMprasTitaH boDisatvaH mahAsatvaH gaFgA-nadI-vAlikôpamA
   rāgapratisaṃyuktâpattīr āpadyeta |	rAga-pratisaMyuktâ-pattIH Apadyeta |
   yāṃ câikato dveṣasaṃprayuktām āpattim āpadyeta bodhisatvayānaṃ	yAm câikataH dveza-saMprayuktAm Apattim Apadyeta boDisatva-yAnam
   pramāṇīkṛtya ||	pramANIkRtya ||
   pe ||	pe ||
   iyaṃ tābhyo gurutarâpattir yêyaṃ dveṣasaṃyuktā |	iyam tAByaH gurutarâpattiH yêyam dveza-saMyuktAH |
   tat kasya hetoḥ |	tat kasya hetoH |
   yo 'yaṃ dveṣôpāle satvaparityāgāya saṃvartate |	yaH ayam dvezôpAle satva-parityAgAya saMvartate |
   rāgaḥ satvasaṃgrahāya saṃvartate |	rAgaH satva-saMgrahAya saMvartate |
   tatrôpāle yaḥ kleśaḥ satvasaṃgrahāya saṃvartate |	tatrôpAle yaH kleSaH satva-saMgrahAya saMvartate |
   na tatra bodhisatvasya chalaṃ na bhayaṃ ||	na tatra boDisatvasya Calam na Bayam ||
   pe ||	pe ||
   tasmāt tarhi tvām upāle yāḥ kāścana rāgapratisaṃyuktâpattayaḥ sarva-s	tasmAt tarhi tvAm upAle yAH kAScana rAga-pratisaMyuktâ-pattayaH sarva-s
   tânāpattayêti vadāmi |	tânApattayêti vadAmi |
   ko 'trâbhiprāyaḥ |	kaH atrâBiprAyaH |
   satvasaṃgrahasyâiva pūrvam eva viśeṣitatvād |	satva-saMgrahasyâiva pUrvam eva viSezita-tvAt |
   adhyāśayakṛpāvato hy ayam upadeśaḥ ||	aDyASaya-kRpAvataH hi ayam upadeSaH ||
   yasmād anantaram āha |	yasmAt anantaram Aha |
   tatrôpāle ye 'nupāyakuśalā bodhisatvās te rāgapratisaṃyuktābhyâpattibhyo	tatrôpAle ye anupAya-kuSalAH boDisatvAH te rAga-pratisaMyukta-aByâpattiByaH-
   bibhyati |	biByati |
   ye punar upāyakuśalā-	ye punar upAya-kuSalA-
   [ Bendall ed p165 ---> ]	[ Bet-dalt ed p165 ---> ]
   bodhisatvās te dveṣasaṃprayuktābhyâpattibhyo bibhyati na	boDisatvAH te dveza-saMprayukta-aByâpattiByaH biByati na
   rāgapratisaṃyuktābhyêti ||	rAga-pratisaMyukta-aByêti ||
   ke punar upāyakuśalāḥ |	ke punar upAya-kuSalAH |
   ye prajñākṛpābhyāṃ satvatyāgān nivāryante |	ye prajQA-kRpAByAm satva-tyAgAn nivAryante |
   ubhayathā hi satvatyāgo bhavati |	uBayaTA hi satva-tyAgaH Bavati |
   kevalaprajñayā duṣkhaśūnyatâvabodhāt |	kevala-prajQayA duzKa-SUnyatâva-boDAt |
   kevalayā ca kṛpayā kleśabalād acireṇa kṛpāhāniḥ ||	kevalayA ca kRpayA kleSa-balAt acireNa kRpA-hAniH ||
   yad uktam upāyakauśalyasūtre |	yat uktam upAya-kOSalya-sUtre |
   tad yathā kulaputra maṃtravidyādharaḥ puruṣo rājñā pañcapāśakena	tat yaTA kula-putra maMtra-vidyADaraH puruzaH rAjQA paQca-pASakena
   bandhanena baddhaḥ syāt |	banDanena badDaH syAt |
   sa yadā kāṅkṣeta prakramaṇāya tadâikamantravidyābalena sarvabandhanāni	sa yadA kAFkzeta prakramaNAya tad-âika-mantra-vidyA-balena sarva-banDanAni
   chittvā prakramet |	CittvA prakramet |
   evam eva kulaputrôpāyakuśalo bodhisatvaḥ pañcabhiḥ kāmaguṇai ratiṃ vindati	evam eva kula-putrô-pAya-kuSalaH boDisatvaH paQcaBiH kAma-guNEH ratim vindati
   taiś câkīrṇo viharati |	tEH câkIrNaH viharati |
   yadā ca punar ākāṅkṣate tadā prajñābalâdhīnenâikena ca sarvajñatācittena	yadA ca punar AkAFkzate tadA prajQA-balâDI-nenâikena ca sarvajQa-tA-cittena
   sarvakāmaguṇān prabhujya cyuto brahmalokae upapadyatae iti ||dveṣe 'pi kiṃ	sarva-kAma-guNAn praBujya cyutaH brahma-lokae upapadyatae iti ||-dveze api kim
   nâivam iṣyate |	nâivam izyate |
   prakṛtimahāsâvadyatvāt |	prakRti-mahA-sâvadya-tvAt |
   kṛpāvaikalye côpāyasyâivâsaṃbhavāt ||	kRpA-vEkalye cô-pAyasi-âivâsaMBavAt ||
   parârthasiddhiṃ vā svârthād gurutarām adhimucyamānaḥ kopaparavattayâpi	parârTa-sidDim vA svârTAt gurutarAm aDimucyamAnaH kopa-para-vat-tayâpi
   param anuśāsyânutāpapūrvakam āyatyāṃ saṃvaram utpadyate |	param anuSAsyânutApa-pUrvakam AyatyAm saMvaram utpadyate |
   ahitanivārake krodhe ko doṣaḥ |	ahita-nivArake kroDe kaH dozaH |
   avakāśa-	avakASa-
   [ Cambridge MS f80a ---> ]	[ Cambridge M f80aH ---> ]
   dānena tadvāsanādoṣāt kṛpāhānidoṣaḥ |	dAnena tad-vAsanA-dozAt kRpA-hAni-dozaH |
   tacchedena mūlacchedadoṣêti paścād darśayiṣyāmaḥ |	tad-Cedena mUla=-Ceda-dozêti paScAt darSayizyAmaH |
   yady api tasya satvasya taddhitaṃ tathâpi bodhisatvakṛpāhānyā mahataḥ	yadi api tasya satvasya tat-hitam taTâpi boDisatva-kRpA-hAnyAH mahataH
   satvârthânubandhasya hāniḥ syāt ||	satvârTânubanDasya hAniH syAt ||
   āryasatyake parivartte 'pi putradṛṣṭântaḥ karuṇâdhiṣṭhitâiva veditavyaḥ |	Arya-satyake parivartte api putra-dRzwântaH karuNâDizWitâ-iva veditavyaH |
   yaś ca tatrâpi kṛpāpratiṣedhaḥ sa lokârthapāṇḍityena lokâvarjanârthaṃ |	yaH ca tatrâpi kRpA-pratizeDaH sa lokârTa-pANxityena lokâvarjanârTam |
   nivāryamāṇaś ca yadi hitakāme bo-	nivAryamANaH ca yadi hita-kAme bo-
   [ Bendall ed p166 ---> ]	[ Bet-dalt ed p166 ---> ]
   dhisatve pratighaṃ labheta sa bodhisatvaḥ syād ubhayor anarthaḥ ||	Disatve pratiGam laBeta sa boDisatvaH syAt uBayoH anarTaH ||
   rāge 'pi tarhi doṣaḥ paṭhyate |	rAge api tarhi dozaH paWyate |
   kāmânuṣevaṇi bhoti andha manujo |	kAmânuzevaNi Boti anDa manujaH |
   mātāpitṛghātayī |	mAtA-pitR-GAtayI |
   kāmān sevatu śīlavantu vadhayī |	kAmAn sevatu SIlavantu vaDayI |
   tasmād vivarjet sadêti ||	tasmAt vivarjet sadêti ||
   svasaukhyasaṃgena ca paraduṣkhôpekṣā dṛṣṭā ||	sva-sOKya-saMgena ca para-duzKôpekzA dRzwAH ||
   satyaṃ dṛṣṭā |	satyam dRzwAH |
   yena paraduṣkhaṃ svaduṣkhatayā nâbhyastaṃ |	yena para-duzKam sva-duzKa-tayA nâByaH-tam |
   yena tv abhyastaṃ |	yena tu aByastam |
   tasyôbhayadoṣâsaṃbhavaḥ ||	tasyôBaya-dozâ-saMBavaH ||
   yathôktaṃ candrapradīpasūtre |	yaTôktam candra-pradIpa-sUtre |
   tad yathâpi nāmânanda kaścid eva puruṣo 'dhastāt pādatalam ādāya yāvan	tat yaTâpi nAmânanda kaScid eva puruzaH aDastAt pAda-talam AdAya yAvat-
   murddhany ādīpto bhavet |	murdDani AdIptaH Bavet |
   saṃprajvalitâikajvalībhu-tas taṃ ka?scid eva puruṣôpasaṃkramyâivaṃ vaded |	saMprajvalitâika-jvalIBu-taH tam ka?scid eva puruzôpa-saMkramyâivam vadet |
   ehi tvāṃ bhoḥ puruṣa nirvāpitenâtmabhāvena pañcabhiḥ kāmaguṇaiḥ samarpitaḥ	ehi tvAm BoH puruza nirvApitenâtma-BAvena paQcaBiH kAma-guNEH samarpitaH
   samanvaṅgībhūtaḥ krīḍasva ramasva paricārayasvêti |	samanvaFgIBUtaH krIxasva ramasva paricArayasvêti |
   tat kiṃ manyase ānanda |	tat kim manyase Ananda |
   api tu sa puruṣo 'nirvāpitenâtmabhāvena pañcabhiḥ kāmaguṇaiḥ krīḍeta ramet	api tu sa puruzaH anirvApitenâtma-BAvena paQcaBiH kAma-guNEH krIxeta ramet-
   paricaret ||	paricaret ||
   ānandâha ||	Anandâha ||
   nô hîdaṃ bhagavan ||	nô hîdam Bagavan ||
   bhagavān āha |	BagavAn Aha |
   krīḍetânanda sa puruṣo ramet paricaret parikalpam	krIxetânanda sa puruzaH ramet paricaret parikalpam
   upādāyâparinirvāpitenâtmabhāvena pañcabhiḥ kāmaguṇaiḥ samarpitaḥ	upAdAyâ-parinirvApitenâtma-BAvena paQcaBiH kAma-guNEH samarpitaH
   samanvaṅgībhūto |	samanvaFgIBUtaH |
   na tv evaṃ tathāgatasya pūrvaṃ bodhisatvacaryāṃ caramāṇasya satvān tribhir	na tu evam taTAgatasya pUrvam boDisatva-caryAm caramANasya satvAn triBiH-
   apāyair duṣkhitān dṛṣṭvā daridrān abhūt saumanasyaṃ vā cittaprasādo vêti	apAyEH duzKitAn dRzwvA daridrAn aBUt sOmanasyam vA citta-prasAdaH vêti
   vistaraḥ ||	vistaraH ||
   loke 'pi putre śūlam āropyamāṇe |	loke api putre SUlam AropyamANe |
