   caturtha ucchvāsaḥ	caturTaH ucCvAsaH
   lakṣmīḥ /	lakzmIH /
   tathā ca yasya pratāpāgninā bhūtiḥ, śauryoṣmaṇā siddhiḥ, asidhārājalena	taTA ca yasya pratApa-agninA BUtiH, SOrya-UzmaNA sidDiH, asi-DArA-jalena
   vaṃśavṛddhiḥ, sastravraṇamukhaiḥ puruṣakāroktiḥ, dhanurguṇakiṇena	vaMSa-vRdDiH, sa-stra-vraNa-muKEH puruzakAra-uktiH, DanuH-guNa-kiNena
   karagṛhītirabhavat /	kara-gRhItiH-aBavat /
   yaśca vairamupāyanaṃ vigrahamanugrahaṃ samarāgamaṃ mahotsavaṃ śatruṃ	yaH-ca vEram-upAyanam vigraham-anugraham samara-Agamam mahA-utsavam Satrum
   nidhidarśanamaribāhulyamabhyudayamāhavāhvānaṃ varapradānabhavaskandapātaṃ	niDi-darSanam-ari-bAhulyam-aByudayam-Ahava-AhvAnam vara-pradAna-Bava-skanda-pAtam
   diṣṭavṛddhiṃ śastraprahārapatanaṃ vasudhārārasamamanyata /	dizwa-vRdDim Sastra-prahAra-patanam vasu-DArA-rasam-amanyatas /
   yasmiṃśca rājani nirantarairyūpanikarairaṅkuritamiva kṛtayugena,	yasmin=-ca rAjani nirantarEH-yUpa-nikarEH-aFkuritam-iva kRta-yugena,
   diṅmukhavisarpibhiradhvaradhūmaiḥ palāyitamiva kalinā, sasudheḥ	diFmuKa-visarpiBiH-aDvara-DUmEH palAyitam-iva kalinA, sa-suDeH
   surālayairavatīrṇāmiva svargeṇa,	surAlayEH-avatIrNAm-iva svargeNa,
   surālayaśikharoddhūyamānairdhavaladhvajaiḥ pallavitamiva dharmeṇa,	surAlaya-SiKara-udDUyamAnEH-Davala-DvajEH pallavitam-iva DarmeNa,
   bahiruparacitavikaṭasabhāsatraprapāprāgvaṃśamaṇḍapaiḥ prasūtamiva grāmaiḥ,	bahis-uparacita-vikawa-saBA-satra-prapA-prAk-vaMSa-maNxapEH prasUtam-iva grAmEH,
   kāñcanamayasarvopakaraṇairvibhavaiviśīrṇamiva meruṇā,	kAQcana-maya-sarva-upakaraNEH-viBavEviSIrNam-iva meruNA,
   dvijadīyamānairārthakalaśaiḥ phalitamiva bhāgyasaṃpadā /	dvija-dIyamAnEH-ArTa-kalaSEH Palitam-iva BAgya-saMpadA /
   tasya ca janmāntare 'pi satī pārvatīva śaṅkarasya, gṛhītaparahṛdayā	tasya ca janma-antare api satI pArvatI-iva SaFkarasya, gRhIta-para-hRdayA
   lakṣmīriva lokaguroḥ, sphurattaralatārakā rohiṇīva kalāvataḥ,	lakzmIH-iva lokaguroH, sPurat-tarala-tArakAH rohiNI-iva kalAvataH,
   sarvajanajananī buddhiriva prajāpateḥ, mahābhūbhṛtkulodgatā gaṅgeva	sarva-jana-jananI budDiH-iva prajApateH, mahABUBRt-kula-udgatA gaFgA-iva
   vāhinīnāyakasya, mānasānuvartanacaturā haṃsīva rājahaṃsasya,	vAhinI-nAyakasya, mAnasa-anuvartana-caturA haMsI-iva rAjahaMsasya,
   sakalalokācitacaraṇā trayīva dharmasya,	sakala-loka-Acita-caraNA trayI-iva Darmasya,
   divāniśamamuktapārśvasthitirarundhatīva mahāmune haṃsamayīva gatiṣu,	divAniSama-mukta-pArSva-sTitiH-arunDati-iva mahA-mune haMsa-mayI-iva gatizu,
   parapuṣṭamayīvālāpaṣu, cakravākamayīva patipremṇi, prāvṛṇmayīva	parapuzwa-mayIvAla-apazu, cakravAka-mayI-iva pati-premNi, prAvRz-mayI-iva
   payodharonnatau, madirāmayīva vilāseṣu, nidhimayīvārthasaṃcayeṣu,	payoDara-unnatO, madirA-mayI-iva vilAsa-izu, niDi-mayI-iva-arTa-saMcayezu,
   vasudhārāmayīva prasādeṣu, kamalamayīva kośasaṃgraheṣu, kusumamayīva	vasu-DArA-mayI-iva prasAda-izu, kamala-mayI-iva koSa-saMgraha-izu, kusuma-mayI-iva
   phaladāneṣu, saṃdhyāmayīva vandyatve, candramayīva nirūṣmatve,	Pala-dAna-izu, saMDyA-mayI-iva vandya-tve, candra-mayI-iva nirUzma-tve,
   darpaṇamayīva pratiprāṇigrahaṇeṣu, sāmudramayīva paracittajñāneṣu,	darpaNa-mayI-iva pratiprANi-grahaNezu, sAmudra-mayI-iva para-citta-jQAna-izu,
   paramātmamayīva vyāptiṣu, smṛtimayīva puṇyavṛttiṣu, madhumayīva	paramAtma-mayI-iva vyAptizu, smRti-mayI-iva puNya-vRttizu, maDu-mayI-iva
   saṃbhāṣaṇeṣu, amṛtamayīva tṛṣyatsu, vṛṣṭimayīva bhṛtyeṣu, nirvṛtimayīva	saMBAzaNa-izu, amRta-mayI-iva tRzyatsu, vRzwi-mayI-iva BRtya-izu, nirvRti-mayI-iva
   sakhīṣu, vetasamayīva guruṣu, gotravṛddhiriva vilāsānām,	saKI-izu, vetasamayI-iva guruzu, gotra-vRdDiH-iva vilAsAnAm-,
   prāyaścittaśuddhiriva strītvasya, ājñāsiddhiriva makaradhvajasya,	prAyaScitta-SudDiH-iva strI-tvasya, AjQA-sidDiH-iva makaraDvajasya,
   vyutthānabuddhiriva rūpasya, diṣṭavṛddhiriva rateḥ, manorathasiddhiriva	vyutTAna-budDiH-iva rUpasya, dizwa-vRdDiH-iva rateH, manoraTa-sidDiH-iva
   rāmaṇīyakasya, daivasaṃpattiriva lāvaṇyasya, vaṃśotpattirivānurāgasya,	rAmaNIyakasya, dEva-saMpattiH-iva lAvaNyasya, vaMSa-utpattiH-iva-anurAgasya,
   varaprāptiriva saubhāgyasya, utpattibhūmiriva kānteḥ, sargasamāptiriva	vara-prAptiH-iva sOBAgyasya, utpatti-BUmiH-iva kAnteH, sarga-samAptiH-iva
   saundaryasya, āyatiriva yauvanasya, anabhravṛṣṭiriva vaidagdhyasya,	sOndaryasya, AyatiH-iva yOvanasya, anaBra-vRzwiH-iva vEdagDyasya,
   ayaśa-pramṛṣṭiriva lakṣmyāḥ, yaśaḥpuṣṭiriva caritrasya, hṛdayatuṣṭiriva	ayaSa--pramRzwiH-iva lakzmyAH, yaSaH-puzwiH-iva caritrasya, hRdaya-tuzwiH-iva
   dharmasya, saubhāgyaparamāṇusṛṣṭiriva prajāpateḥ, śamasyāpi śāntiriva,	Darmasya, sOBAgya-paramANu-sRzwiH-iva prajApateH, Samasya-api SAntiH-iva,
   vinayasyāpi vinītiriva, ābhijātyasyāpyabhijātiriva, saṃyamasyāpi	vinayasya-api vinItiH-iva, ABijAtyasya-api-aBijAtiH-iva, saMyamasya-api
   saṃyatiriva, dhairyasyāpi dhṛtiriva, vibhramasyāpi vibrāntiriha, yaśomatī	saMyatiH-iva, DEryasya-api DRtiH-iva, viBramasya-api vibrAntiH-iha, yaSomatI
   nāma mahādevī prāṇānāṃ praṇayasya visrambhasya dhramasya sukhasya ca	nAma mahAdevI prANAnAm praNayasya visramBasya Dramasya suKasya ca
   bhūmirabhūt /	BUmiH-aBUt /
   yāsya vakṣasi narakajito lakṣmīriva lalāsa /	yA-asya vakzasi naraka-jitaH lakzmIH-iva lalAsa /
   nisargata eva ca sa nṛpatirādityabhakto babhūva /	nisargataH eva ca sa nRpatiH-Aditya-BaktaH baBUva /
   pratidinamudaye dinakṛtaḥ snātaḥ sitadukūladhārī	pratidinam-udaye dinakRtaH snAtaH sita-dukUla-DArI
   dhavalakarpaṭaprāvṛtaśirāḥ prāṅmukhaḥ kṣitau jānubyāṃ sthitvā	Davala-karpawa-prAvRta-SirAH prAFmuKaH kzitO jAnubyAm sTitvA
   kuṅkumapaṅkānulipte maṇḍalake pavitrapajharāgapātrīnihitena svahṛdayeneva	kuFkuma-paFka-anulipte maNxalake pavitra-paJa-rAga-pAtrI-nihitena sva-hRdayena-iva
   sūryānuraktena raktakamalaṣaṇḍenārghaṃ dadau /	sUrya-anuraktena rakta-kamala-zaNxena-arGam dadO /
   ajapacca japyaṃ sucaritaḥ pratyuṣasi madhyandine dinānte cāpatyahetoḥ	ajapat-ca japyam su-caritaH prati-uzasi maDyandine dina-ante ca-apatya-hetoH
   prādhvaṃ prayatena manasā jañjapūko mantramādityahṛdayam /	prADvam prayatena manasA jaQjapUkaH mantram-Aditya-hRdayam /
   bhaktajanānurodhavidheyāni tu bhavanti devatānāṃ manāṃsi /	Bakta-jana-anuroDa-viDeyAni tu Bavanti devatAnAm manAMsi /
   yataḥ sarājā kadācid grīṣmasamaye yadṛcchayā	yatas sa-rAjA kadAcid grIzma-samaye yadRcCayA
   sitakarakarasitasudhādhavalasya harmyasya pṛṣṭe suṣvāpa /	sita-karaka-rasita-suDA-Davalasya harmyasya pRzwe suzvApa /
   vāmapārśve cāsya dvitīyaśayane devī yaśomatī śiśye /	vAma-pArSve ca-asya dvitIya-Sayane devI yaSomatI SiSye /
   piraṇataprāyāyāṃ tu śyāmāyām, āsannaprabhātavelāvilupyamānalāvaṇye	piraNata-prAyAyAm tu SyAma-AyAm, Asanna-praBAta-velA-vilupyamAna-lAvaNye
   lilambiṣamāṇe sīdattejasi tārakeśvare, karāgraspṛṣṭakumudinīpramodajanmani	lilambizamANe sIdat-tejasi tArakeSvare, kara-agra-spRzwa-kumudinI-pramoda-janmani
   śaśadharasveda iva galatyatiśītale 'vaśyāyapayasi,	SaSaDara-svedaH iva galati-ati-SItale avaSyAya-payasi,
   madhumadamattaprasuptasīmantinīniḥśvāsāhateṣu saṃkrāntamadeṣviva	maDu-mada-matta-prasupta-sImantinI-niHSvAsa-Ahatezu saMkrAnta-madezu-iva
   ghūrṇamāneṣvantaḥpurapradīpeṣu, rājani ca vimalanavapratibimbitābhiḥ	GUrNamAnezu-antaHpura-pradIpezu, rAjani ca vimala-nava-pratibimbitABiH
   saṃvāhyamānacaraṇa iva tārakābhiḥ	saMvAhyamAna-caraNaH iva tArakABiH
   visrabdhaprasāritairdigaṅganānāmivārpitairaṅgairmadhusugandhibhiḥ	visrabDa-prasAritEH-diS-aFganAnAm-iva-arpitEH-aFgEH-maDu-suganDiBiH
   svahastakamalatālavṛntavātairiva śvasitairmukhaśriyā vījyamāne	sva-hasta-kamala-tAlavRnta-vAtEH-iva SvasitEH-muKa-SriyA vIjyamAne
   vimalakapolasthalasthitena sitakusumaśekhareṇeva	vimala-kapola-sTala-sTitena sita-kusuma-SeKareNa-iva
   ratikelikacagrahalambitena pratimāśaśibimbena virājite svapati devī	rati-keli-kaca-graha-lambitena pratimASa-Sibimbena virAjite svapati devI
   yaśomatī sahasaiva "āryaputra! paritrāyasva paritrāyasva' iti bhāṣamāṇā	yaSomatI sahasA-eva "Arya-putra! paritrAyasva paritrAya-sva-a iti BAzamANA
   bhūṣaṇaraveṇa vyāharantīva parijanamutkampamānāṅgayaṣṭirudatiṣṭhat /	BUzaNa-raveNa vyAharantI-iva parijanam-utkampamAna-aFga-yazwiH-udatizWat /
   atha tena sarvasyāmapi pṛthivyāmaśrutapūrveṇa kimuta devīmukhe	aTa tena sarvasyAm-api pRTivyAm-aSruta-pUrveNa kim-uta devI-muKe
   paritrāyasveti dhvaninā dagdha iva śravaṇayorekapada eva nidrāṃ tatyāja	paritrAyasva-iti DvaninA dagDaH iva SravaNayoH-eka-padaH eva nidrAm tatyAja
   rājā /	rAjA /
   śirobhāgācca kopakampamānadakṣiṇakarākṛṣṭena karṇotpaleneva	SiraH-BAgAt-ca kopa-kampa-mAna-dakziNa-kara-AkRzwena karNa-utpalena-iva
   nirgacchatācchadhāreṇa dhautāsinā sīmantayanniva niśām,	nirgacCata-acCa-DAreNa DOta-asinA sImantayan=-iva niSAm,
   antarālavyavadhāyakamākāśamivottarīyāṃśukaṃ vikṣipan vāmakarapallavena,	antarAla-vyavaDAyakam-AkASam-iva-uttarIya-aMSukam vikzipan vAma-kara-pallavena,
   karavikṣepavegagalitena hṛdayeneva bhayanimittānveṣiṇā bhramatā dikṣu	kara-vikzepa-vega-galitena hRdayena-iva Baya-nimitta-anveziNA BramatA dikzu
   kanakavalayena virājamānaḥ,	kanaka-valayena virAjamAnaH,
   satvarāvatāritavāmacaraṇākrāntikampitaprāsādaḥ, puraḥ	satvarAvatArita-vAma-caraNa-AkrAnti-kampita-prAsAdaH, puras-
   patitenāsidhārāgocaragatena śaśimayūkhakhaṇḍeneva khaṇḍitena hāreṇa	patitena-asi-DArA-gocara-gatena SaSi-mayUKa-KaNxena-iva KaNxitena hAreNa
   rājamānaḥ, lakṣmīcumbanalagnatāmbūlarasarañjitābhyāmiva nidrayā kopena	rAjamAnaH, lakzmI-cumbana-lagna-tAmbUla-rasa-raQjitAByAm-iva nidrayA kopena
   cātilohitābhyāṃ locanābhyāṃ pāṭalayanparyantānāśānām, baddhāndhakārayā	ca-ati-lohitAByAm locanAByAm pAwalayan-paryantAnASA-nAm, badDa-anDakArayA
   tripatākayā bhrukuṭyā punariva triyāmāṃ parivartayan "devi! na bhetavyaṃ	tri-patAkayA BrukuwyA punar-iva triyAmAm parivartayan "devi! na Betavyam
   na bhetavyam' ityabhidadhāno vegenotpapāta /	na Betavyam-a iti-aBidaDAnaH vegena-utpapAta /
   sarvāsu ca dikṣu vikṣiptacakṣuryadā nādrākṣītkiñcidapi tadā papraccha tāṃ	sarvAsu ca dikzu vikzipta-cakzuH-yadA na-adrAkzIt-kiQcid-api tadA papracCa tAm
   bhayakāraṇam /	Baya-kAraNam /
   atha gṛhadevatāsviva pradhāvitāsu yāmikinīṣu, prabuddhe ca samīpaśāyini	aTa gRha-devatAsu-iva praDAvitAsu yAmikinIzu, prabudDe ca samIpa-SAyini
   parijane, śānte ca hṛdayotkampakāriṇi sādhvase sā samabhāṣata--"āryaputra!	parijane, SAnte ca hRdaya-utkampa-kAriNi sADvase sA sama-BAzata---"Arya-putra!
   jānāmi svapne bhagavataḥ saviturmaṇḍalānnirgatya dvau kumārakau,	jAnAmi svapne BagavataH savituH-maNxalAn-nirgatya dvO kumArakO,
   tejomayau, bālātapenevāpūrayantau digbhāgān, vaidyutamiva jīvalokaṃ	tejaH-mayO, bAla-Atapena-iva-ApUrayantO diS-BAgAn, vEdyutam-iva jIva-lokam
   kurvāṇau, mukuṭinau, kuṇḍalinau, aṅgadinau, kavacinau, gṛhotaśastrau,	kurvANO, mukuwinO, kuNxalinO, aFgadinO, kavacinO, gRhota-SastrO,
   indragopakarucā rudhireṇa snātau, unmukhenottamāṅgaghaṭamānāñjalinā jagatā	indragopa-karucA ruDireNa snAtO, unmuKena-uttamAFga-GawamAna-aQjalinA jagatA
   nikhilena praṇamyamānau, kanyayaikayā ca candramūrtyeva	niKilena praNamyamAnO, kanyayA-ekayA ca candra-mUrti-eva
   suṣumṇāraśminirgatayānugamyamānau, kṣititalamavatīrṇau /	suzumNA-raSmi-nirgatayA-anugamyamAnO, kziti-talam-avatIrNO /
   tau ca me vilapantyāḥ śastreṇodaraṃ vidārya praveṣṭumārabdhau /	tO ca me vilapantyAH SastreNa-udaram vidArya pravezwum-ArabDO /
   pratibuddhāsmi cārṃyaputra /	pratibudDA-asmi ca-arMya-putra /
   vikośayantī vepamānahṛdayā' iti /	vikoSayantI vepamAna-hRdayAa iti /
   etasminneva ca kālakrame rājalakṣmyāḥ prathamālāpaḥ prathayanniva	etasmin=-eva ca kAla-krame rAja-lakzmyAH praTama-AlApaH praTayan=-iva
   svapnaphalamupatoraṇaṃ rarāṇa prabhātaśaṅkhaḥ /	svapna-Palam-upatoraNam rarANa praBAta-SaFKaH /
   bhāvananīṃ bhūtimivābhidadhānā dadhvanuramandaṃ dundubhayaḥ /	BAvananIm BUtim-iva-aBidaDAnAH daDu-anuramandam dunduBayaH /
   cakāṇa koṇāhatānandādiva pratyūṣanāndī /	cakANa koNa-Ahata-AnandAt-iva pratyUzanAndI /
   jayajayeti prabodhamaṅgalaparipāṭhakānāmuccairvoco 'śrūyanta /	jaya-jayA-iti praboDa-maFgala-paripAWa-kAnAm-uccEs-vocaH aSrUyanta /
   puruṣaśca vallabhaturaṅgamandurāmandire mandamandaṃ suptotthitaḥ saptīnāṃ	puruzaH-ca vallaBa-turaFga-mandurA-mandire manda-mandam supta-utTitaH saptInAm
   kṛtamadhuraheṣāravāṇāṃ puraścyotattuṣārasalilaśīkaraṃ kiranmarakataharitaṃ	kRta-maDura-hezAravANAm puraScyotat-tuzAra-salila-SIkaram kirat-marakata-haritam
   yavasaṃ vaktrāparavaktre papāṭha--	yavasam vaktra-apara-vaktre papAWa--
   "nidhistaruvikāreṇa sanmaṇiḥ sphuratā dhāmnā /	"niDiH-taru-vikAreNa sat-maNiH sPuratA DAmnA /
   śubhāgamo nimittena spaṣṭamākhyāyate loke // 4.3 //	SuBa-AgamaH nimittena spazwam-AKyAyate loke // 4.3 //
   aruṇa iva puraḥsaroraviṃpavana ivātijavo jalāgamam /	aruNaH iva puraHsaroraviMpavanaH iva-ati-javaH jala-Agamam /
   śubhamaśubhamathāpi vā nṛṇāṃ kathayati pūrvanidarśanodayaḥ' // 4.4 //	SuBam-aSuBam-aTa-api vA nRNAm kaTayati pUrva-nidarSana-udayaH-a // 4.4 //
   narapatistu tacchrutvā prīyamāṇenāntaḥkaraṇena tāmavādīt--"devi /	narapatiH-tu tat-SrutvA prIyamANena-antaHkaraNena tAm-avAdIt--"devi /
   mudo 'vasare viṣīdasi /	mudaH avasare vizIdasi /
   samṛddhāste gurujanāśiṣaḥ /	samRdDAH-te guru-jana-ASizaH /
   pūrṇā no manorathāḥ /	pUrNAH naH manoraTAH /
   parigṛhītāsi kuladevatābhiḥ /	parigRhItA-asi kula-devatABiH /
   prasannaste bhagavānaṃśumālī /	prasannaH-te BagavAn-aMSumAlI /
   na cireṇaivātiguṇavadapatyatrayalābhenānandayiṣyati bhavatīm' iti /	na cireNa-eva-ati-guNavat-apatya-traya-lABena-Anandayizyati BavatIma iti /
   avatīrya ca yathākriyamāṇāḥ kriyāścakāra /	avatIrya ca yaTA-kriyamANAH kriyAH-cakAra /
   yaśomatyapi tutoṣa tena patyurbhāṣitena /	yaSomati-api tutoza tena patyuH-BAzitena /
   tataḥ samatikrānte kasmiṃścitkālāṃśe devyāṃ ca yaśomatyāṃ devo	tatas samatikrAnte kasmiMScid-kAla-aMSe devyAm ca yaSomatyAm devaH-
   rājyavardhanaḥ prathamameva saṃbabhūva garbhe /	rAjya-varDanaH praTamam-eva saMbaBUva garBe /
   garbhasthitasyaiva ca yasya yaśaseva pāṇḍutāmādata jananī /	garBa-sTitasya-eva ca yasya yaSasA-iva pANxu-tAm-Adata jananI /
   guṇagauravaklānteva gātramudvoḍhuṃ na śaśāka /	guNa-gOrava-klAntA-iva gAtram-udvoXum na SaSAka /
   kāntivisarāmṛtarasatṛptevāhāraṃ prati parāṅmukhī babhūva /	kAnti-visara-amRta-rasa-tRptA-iva-AhAram prati parAFmuKI baBUva /
   śanaiḥ śanairupacīyamānagarbhamarālasā ca gurubhirvāritāpi vandanāya	SanEs SanEs-upacIyamAna-garBam-arAlasA ca guruBiH-vAritA-api vandanAya
   kayamapi sakhībhirhastāvalambenānīyata /	kayam-api saKIBiH-hasta-avalambena-AnIyata /
   viśrāmyantī sālabhañjikeva samīpagatastambhabhittiṣvalakṣyata /	viSrAmyantI sAlaBaQjikA-iva samIpa-gata-stamBa-Bittizu-alakzyata /
   kamalalobhanilīnairalibhiriva vṛtāvuddhartuṃ nāśakaccaraṇau /	kamala-loBa-nilInEH-aliBiH-iva vRtO=-udDartum nASakat-caraNO /
   mṛṇālalobhena ca caraṇanakhamayūkhalagnairbhavanahaṃsairiva saṃcāyemāṇā	mRNAla-loBena ca caraNa-naKa-mayUKa-lagnEH-Bavana-haMsEH-iva saMcAyemANA
   mandamanda babhrāma /	mandamanda baBrAma /
   maṇibhittipātinīṣu nijapratimāsvapi hastāvalambanalobhena prasārayāmāsa	maNi-Bitti-pAtinIzu nija-pratimAsu-api hasta-avalambana-loBena prasArayAmAsa
   karakamalam, kimuta sakhīṣu /	kara-kamalam, kim-uta saKIzu /
   māṇikyastambhadīdhitīrapyālambitumācakāṅkṣa, ki punarbhavanalatāḥ /	mANikya-stamBa-dIDitIH-api-Alambitum-Aca-kAFkza, ki punar-Bavana-latAH /
   samādeṣṭumapyasamarthāsod gṛhakāryāṇi, kaiva kathā kartum /	samAdezwum-api-asamarTAsot gRha-kAryANi, kA-eva kaTA kartum /
   āstāṃ nūpurabhārakheditaṃ caraṇayugalaṃ manasāpi nodasahata saudhamāroḍhum	AstAm nUpura-BAra-Keditam caraNa-yugalam manasA-api na-udasahata sODam-AroXum
   aṅgānyapi nāśaknoddhārayituṃ dūre bhūṣaṇāni /	aFgAni-api na-aSaknot-DArayitum dUre BUzaNAni /
   cintayitvāpi krīḍāparvatādhirohaṇamutkampitastanī tastāna /	cintayitvA-api krIxA-parvata-aDirohaNam-utkampita-stanI taH-tAnaH /
   pratyutthāneṣūbhayajānuśikharavinihatakarakisalayāpi garvādiva	pratyutTAnezu-uBaya-jAnu-SiKara-vinihata-kara-kisalayA-api garvAt-iva
   garbheṇādhāryata /	garBeNa-ADAryata /
   divasaṃ cādhomukhī stanapṛṣṭhasaṃkrāntenāpatyadarśanautsukyādantaḥ	divasam ca-aDomuKI stana-pRzWa-saMkrAntena-apatya-darSana-OtsukyAt-antar-
   praviṣṭeneva mukhakamalenaivaṃ prīyamāṇā dadarśa garbham /	pravizwena-iva muKa-kamalena-evam prIyamANAH dadarSa garBam /
   udare tanayena hṛdaye ca bharvā tiṣṭhatā dviguṇitāmiva lakṣmīmuvāha /	udare tanayena hRdaye ca BarvA tizWatA dvi-guNitAm-iva lakzmIm-uvAha /
   sakhyutsaṅgamuktaśarīrā ca śarīraparicārikāṇāmaṅkeṣu sapatnīnāṃ tu śiraḥsu	saKI-utsaFga-mukta-SarIrA ca SarIra-paricArikANAm-aFkezu sapatnInAm tu SiraHsu
   pādau cakāra /	pAdO cakAra /
