   // namo mañjuśriye kumārabhūtāya //	// namaH maQju Sriye kumAra BUtAya //
   ācāryavasubandhupraṇītaḥ	AcArya vasu banDu praNItaH
   asaddvayasvabhāvatvād yathākhyānāsvabhāvataḥ /	asat dvaya svaBAva tvAt yaTA AKyAna asvaBAvataH /
   niṣpannāt paratantro 'pi vijñeyo 'bhinnalakṣaṇaḥ // Tsn_21 //	nizpannAt paratantraH api vijQeyaH aBinna lakzaNaH // Tsn_21 //
   kramabhedaḥ svabhāvānāṃ vyavahārādhikārataḥ /	krama BedaH svaBAvAnAm vyavahAra aDikArataH /
   tatpraveśādhikārācca vyutpattyarthaṃ vidhīyate // Tsn_22 //	tad praveSa aDikArAt ca vyutpatti arTam viDIyate // Tsn_22 //
   kalpito vyavahārātmā vyavahartrātmako 'paraḥ /	kalpitaH vyavahAra AtmA vyavahartra AtmakaH aparaH /
   vyavahārasamucchedasvabhāvaścānya iṣyate // Tsn_23 //	vyavahAra samucCeda svaBAvaH ca anyaH izyate // Tsn_23 //
   dvayābhāvātmakaḥ pūrvaṃ paratantraḥ praviśyate /	dvaya aBAva AtmakaH pUrvam paratantraH praviSyate /
   tataḥ praviśyate tatra kalpamātramasaddvayam // Tsn_24 //	tatas praviSyate tatra kalpa mAtram asat dvayam // Tsn_24 //
   tato dvayābhāvabhāvo niṣpanno 'tra praviśyate /	tatas dvaya aBAva BAvaH nizpannaH atra praviSyate /
   tathā hyasāveva tadā astināstīti cocyate // Tsn_25 //	taTA hi asO= eva tadA astinA asti iti ca ucyate // Tsn_25 //
   trayo 'pyete svabhāvā hi advayālambalakṣaṇāḥ /	trayaH api ete svaBAvAH hi advaya Alamba lakzaNAH /
   abhāvādatathābhāvāt tadabhāvasvabhāvataḥ // Tsn_26 //	aBAvAt ataTA BAvAt tad aBAva svaBAvataH // Tsn_26 //
   māyākṛtaṃ mantravaśāt khyāti hastyātmanā yathā /	mAyA kRtam mantra vaSAt KyAti hasti AtmanA yaTA /
   ākāramātraṃ tatrāsti hastī nāsti tu sarvathā // Tsn_27 //	AkAra mAtram tatra asti hastI na asti tu sarvaTA // Tsn_27 //
   svabhāvaḥ kalpito hastī paratantrastadākṛtiḥ /	svaBAvaH kalpitaH hastI paratantraH tad AkRtiH /
   yastatra hastyabhāvo 'sau pariniṣpanna iṣyate // Tsn_28 //	yaH tatra hasti aBAvaH asO parinizpannaH izyate // Tsn_28 //
   asatkalpastathā khyāti mūlacittād dvayātmanā /	asat kalpaH taTA KyAti mUla cittAt dvaya AtmanA /
   dvayamatyantato nāsti tatrāstyākṛtimātrakam // Tsn_29 //	dvayam atyantataH na asti tatra asti AkRti mAtrakam // Tsn_29 //
   mantravanmūlavijñānaṃ kāṣṭhavattathatā matā /	mantravat mUla vijQAnam kAzWa vat taTatA matA /
   hastyākāravadeṣṭavyo vikalpo hastivad dvayam // Tsn_30 //	hasti AkAra vadezwavyaH vikalpaH hasti vat dvayam // Tsn_30 //
   arthatattvaprativedhe yugapallakṣaṇatrayam /	arTa tattva prativeDe yugapad lakzaNa trayam /
   parijñā ca prahāṇaṃ ca prāptiśceṣṭā yathākramam // Tsn_31 //	parijQA ca prahANam ca prAptiH cezwA yaTAkramam // Tsn_31 //
   parijñānupalambho 'tra hānirakhyānamiṣyate /	parijQA anupalamBaH atra hAniH aKyAnam izyate /
   upalambhanimittā tu prāptiḥ sākṣātkriyāpi sā // Tsn_32 //	upalamBa nimittA tu prAptiH sAkzAtkriyA api sA // Tsn_32 //
   dvayasyānupalambhena dvayākāro vigacchati /	dvayasya anupalamBena dvaya AkAraH vigacCati /
   vigamāt tasya niṣpanno dvayābhāvo 'dhigamyate // Tsn_33 //	vigamAt tasya nizpannaH dvaya aBAvaH aDigamyate // Tsn_33 //
   hastino 'nupalambhaśca vigamaśca tadākṛteḥ /	hastinaH anupalamBaH ca vigamaH ca tad AkRteH /
   upalambhaśca kāṣṭhasya māyāyāṃ yugapad yathā // Tsn_34 //	upalamBaH ca kAzWasya mAyAyAm yugapad yaTA // Tsn_34 //
   viruddhadhīvāraṇatvād buddhyā vaiyarthyadarśanāt /	virudDa DIvAraNa tvAt budDyA vEyarTya darSanAt /
   jñānatrayānuvṛtteśca mokṣāpattirayatnataḥ // Tsn_35 //	jQAna traya anuvRtteH ca mokza ApattiH ayatnataH // Tsn_35 //
   cittamātropalambhena jñeyārthānupalambhatā /	cittamAtra upalamBena jQeya arTa anupalamBa tA /
   jñeyārthānupalambhena syāccittānupalambhatā // Tsn_36 //	jQeya arTa anupalamBena syAt citta anupalamBa tA // Tsn_36 //
   dvayoranupalambhena dharmadhātūpalabhbhatā /	dvayoH anupalamBena DarmaDAtu upalaBBa tA /
   dharmadhātūpalambhena syād vibhutvopalambhatā // Tsn_37 //	DarmaDAtu upalamBena syAt viBu tva upalamBa tA // Tsn_37 //
   upalabdhavibhutvaśca svaparārthaprasiddhitaḥ /	upalabDa viBu tvaH ca sva para arTa prasidDitaH /
   prāpnotyanuttarāṃ bodhiṃ dhīmān kāyatrayātmikām // Tsn_38 //	prApnoti anuttarAm boDim DImAn kAya traya AtmikAm // Tsn_38 //
   iti trisvabhāvanirdeśaḥ samāptaḥ //	iti tri svaBAva nirdeSaH samAptaH //
   kṛtirācāryavasubandhupādānāmiti //	kRtiH AcArya vasu banDu pAdAnAm iti //
