   Gorakṣa-śatakam	Gora-kza-Satakam
   vāma-dakṣiṇa-mārgeṇa tataḥ prāṇo'bhidhīyate // GorS(1)_40 //	vAma-dakziNa--mArgeNa tatas prANaH-aBiDIyate // GorS(1)_40 //
   baddha-padmāsano yogī namaskṛtya guruṃ śivam /	badDa--padmAsanaH yogI namaskRtya gurum Sivam /
   nāsāgra-dṛṣṭir ekākī prāṇāyāmaṃ samabhyaset // GorS(1)_41 //	nAsA-agra-dRzwiH ekAkI prANAyAmam samaByaset // GorS(1)_41 //
   prāṇo deha-sthito vāyur āyāmas tan-nibandhanam /	prANaH deha--sTitaH vAyuH AyAmaH tan--nibanDanam /
   eka-śvāsa-mayī mātrā tad yogī gaganāyate // GorS(1)_42 //	eka-SvAsa--mayI mAtrA tat yogI gaganAyate // GorS(1)_42 //
   baddha-padmāsano yogī prāṇaṃ candreṇa pūrayet /	badDa--padmAsanaH yogI prANam candreNa pUrayet /
   dhārayitvā yathā-śakti bhūyaḥ sūryeṇa recayet // GorS(1)_43 //	DArayitvA yaTA-Sakti BUyas sUryeNa recayet // GorS(1)_43 //
   amṛtodadhi-saṅkāśaṃ kṣīroda-dhavala-prabham /	amRta-udaDi--saFkASam kzIroda--Davala--praBam /
   dhyātvā candramayaṃ bimbaṃ prāṇāyāme sukhī bhavet // GorS(1)_44 //	DyAtvA candra-mayam bimbam prANAyAme suKI Bavet // GorS(1)_44 //
   prāṇaṃ sūryeṇa cākṛṣya pūrayed udaraṃ śanaiḥ /	prANam sUryeNa ca-AkRzya pUrayet udaram SanEs /
   kumbhayitvā vidhānena bhūyaś candreṇa recayet // GorS(1)_45 //	kumBayitvA viDAnena BUyas candreNa recayet // GorS(1)_45 //
   prajvalaj-jvalana-jvālā- puñjam āditya-maṇḍalam /	prajvala-j--jvalana--jvAlA puQjam Aditya--maNxalam /
   dhyātvā nābhi-sthitaṃ yogī prāṇāyāme sukhī bhavet // GorS(1)_46 //	DyAtvA nABi-sTitam yogI prANAyAme suKI Bavet // GorS(1)_46 //
   recakaḥ pūrakaś caiva kumbhakaḥ praṇavātmakaḥ /	recakaH pUrakaH ca-eva kumBakaH praNava-AtmakaH /
   prāṇāyāmo bhavet tredhā mātrā dvādaśa-saṃyutaḥ // GorS(1)_47 //	prANAyAmaH Bavet treDA mAtrA dvAdaSa--saMyutaH // GorS(1)_47 //
   dvādaśādhamake mātrā madhyame dviguṇās tataḥ /	dvAdaSa-aDamake mAtrAH maDyame dviguNAH tatas /
   uttame triguṇā mātrāḥ prāṇāyāmasya nirṇayaḥ // GorS(1)_48 //	uttame triguNAH mAtrAH prANAyAmasya nirNayaH // GorS(1)_48 //
   adhame ca ghano gharmaḥ kampo bhavati madhyame /	aDame ca GanaH GarmaH kampaH Bavati maDyame /
   uttiṣṭhaty uttame yogī baddha-padmāsano muhuḥ // GorS(1)_49 //	uttizWati uttame yogI badDa--padmAsanaH muhur // GorS(1)_49 //
   aṅgānāṃ mardanaṃ śastaṃ śrama-saṃjāta-vāriṇā /	aFgAnAm mardanam Sastam Srama--saMjAta--vAriNA /
   kaṭv-amla-lavaṇa-tyāgī kṣīra-bhojanam ācaret // GorS(1)_50 //	kawu--amla--lavaNa-tyAgI kzIra--Bojanam Acaret // GorS(1)_50 //
   mandaṃ mandaṃ pibed vāyuṃ mandaṃ mandaṃ viyojayet /	mandam mandam pibet vAyum mandam mandam viyojayet /
   nādhikaṃ stambhayed vāyuṃ na ca śīghraṃ vimocayet // GorS(1)_51 //	na-aDikam stamBayet vAyum na ca SIGram vimocayet // GorS(1)_51 //
   ūrdhvam ākṛṣya cāpānaṃ vātaṃ prāṇe niyojayet /	UrDvam AkRzya ca-apAnam vAtam prANe niyojayet /
   mūrdhānaṃ nīyate śaktyā sarva-pāpaiḥ pramucyate // GorS(1)_52 //	mUrDAnam nIyate SaktyA sarva-pApEH pramucyate // GorS(1)_52 //
   prāṇāyāmo bhavaty evaṃ pātakendhana-pātakaḥ /	prANAyAmaH Bavati evam pAtaka-inDana-pAtakaH /
   enombudhi-mahā-setuḥ procyate yogibhiḥ sadā // GorS(1)_53 //	enA-umbuDi--mahA--setuH procyate yogiBiH sadA // GorS(1)_53 //
   āsanena rujo hanti prāṇāyāmena pātakam /	Asanena rujaH hanti prANAyAmena pAtakam /
   vikāraṃ mānasaṃ yogī pratyāhāreṇa sarvadā // GorS(1)_54 //	vikAram mAnasam yogI pratyAhAreNa sarvadA // GorS(1)_54 //
   candrāmṛta-mayīṃ dhārāṃ pratyāhārati bhāskaraḥ /	candra-amRta--mayIm DArAm pratyAhArati BAskaraH /
   tat-pratyāharaṇaṃ tasya pratyāhāraḥ sa ucyate // GorS(1)_55 //	tat--pratyAharaNam tasya pratyAhAraH saH ucyate // GorS(1)_55 //
   ekā strī bhujyate dvābhyām āgatā soma-maṇḍalāt /	ekA strI Bujyate dvAByAm AgatA soma--maNxalAt /
   tṛtīyo yo bhavet tābhyāṃ sa bhavaty ajarāmaraḥ // GorS(1)_56 //	tRtIyaH yaH Bavet tAByAm sa Bavati ajara-amaraH // GorS(1)_56 //
   nābhideśe bhavaty eko bhāskaro dahanātmakaḥ /	nABi-deSe Bavati ekaH BAskaraH dahana-AtmakaH /
   amṛtātmā sthito nityaṃ tālumūle ca candramāḥ // GorS(1)_57 //	amRta-AtmA sTitaH nityam tAlu-mUle ca candramAH // GorS(1)_57 //
   varṣaty adhomukhaś candro grasaty ūrdhva-mukho raviḥ /	varzati aDomuKaH candraH grasati UrDva-muKaH raviH /
   jñātavyaṃ karaṇaṃ tatra yena pīyūṣam āpyate // GorS(1)_58 //	jQAtavyam karaNam tatra yena pIyUzam Apyate // GorS(1)_58 //
   ūrdhva-nābhir adhas tālu ūrdhva-bhānur adhaḥ śaśī /	UrDva-nABiH aDas tAlu UrDva-BAnuH aDas SaSI /
   karaṇaṃ viparītākhyaṃ guru-vaktreṇa labhyate // GorS(1)_59 //	karaNam viparIta-AKyam guru-vaktreNa laByate // GorS(1)_59 //
   tridhā baddho vṛṣo yatra rauravīti mahāsvanam /	triDA badDaH vRzaH yatra rOravI-iti mahA-svanam /
   anāhataṃ ca tac cakraṃ hṛdaye yogino viduḥ // GorS(1)_60 //	anAhatam ca tat cakram hRdaye yoginaH viduH // GorS(1)_60 //
   anāhatam atikramya cākramya maṇipūrakam /	anAhatam atikramya ca-Akramya maNipUrakam /
   prāpte prāṇaṃ mahāpadmaṃ yogitvam amṛtāyate // GorS(1)_61 //	prApte prANam mahApadmam yogi-tvam amRtAyate // GorS(1)_61 //
   viśabdaḥ saṃsmṛto haṃso nirmalaḥ śuddha ucyate /	viSabdaH saMsmRtaH haMsaH nirmalaH SudDaH ucyate /
   ataḥ kaṇṭhe viśuddhākhye cakraṃ cakra-vido viduḥ // GorS(1)_62 //	atas kaNWe viSudDa-AKye cakram cakra-vidaH viduH // GorS(1)_62 //
   viśuddhe parame cakre dhṛtvā soma-kalā-jalam /	viSudDe parame cakre DRtvA soma-kalA--jalam /
   māsena na kṣayaṃ yāti vañcayitvā mukhaṃ raveḥ // GorS(1)_63 //	mAsena na kzayam yAti vaQcayitvA muKam raveH // GorS(1)_63 //
   sampīḍya rasanāgreṇa rāja-danta-bilaṃ mahat /	sampIxya rasanA-agreNa rAja--danta--bilam mahat /
   dhyātvāmṛtamayīṃ devīṃ ṣaṇ-māsena kavir bhavet // GorS(1)_64 //	DyAtvA-amRta-mayIm devIm zaN--mAsena kaviH Bavet // GorS(1)_64 //
   amṛtāpūrṇa-dehasya yogino dvi-tri-vatsarāt /	amRta-ApUrNa-dehasya yoginaH dvi--tri-vatsarAt /
   ūrdhvaṃ pravartate reto'py aṇimādi-guṇodayaḥ // GorS(1)_65 //	UrDvam pravartate retaH-api aNima-Adi--guNa-udayaH // GorS(1)_65 //
   indhanāni yathā vahnis taila-varti ca dīpakaḥ /	inDanAni yaTA vahniH tEla-varti ca dIpakaH /
   tathā somakalā-pūrṇaṃ dehī dehaṃ na muñcati // GorS(1)_66 //	taTA soma-kalA--pUrNam dehI deham na muQcati // GorS(1)_66 //
   āsanena samāyuktaḥ prāṇāyāmena saṃyutaḥ /	Asanena samAyuktaH prANAyAmena saMyutaH /
   pratyāhāreṇa saṃyukto dhāraṇāṃ ca samabhyaset // GorS(1)_67 //	pratyAhAreNa saMyuktaH DAraNAm ca samaByaset // GorS(1)_67 //
   hṛdaye pañca-bhūtānāṃ dhāraṇāṃ ca pṛthak pṛthak /	hRdaye paQca-BUtAnAm DAraNAm ca pRTak pRTak /
   manaso niścalatvena dhāraṇā ca vidhīyate // GorS(1)_68 //	manasaH niScala-tvena DAraNA ca viDIyate // GorS(1)_68 //
   yā pṛthvī hari-tāla-deśa-rucirā pītā lakārānvitā saṃyuktā kamalāsanena hi	yA pRTvI hari-tAla--deSa-rucirA pItA lakAra-anvitA saMyuktA kamalAsanena hi
   catuṣkoṇā hṛdi sthāyinī /	catuzkoNA hRdi sTAyinI /
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed eṣā stambhakarī	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet ezA stamBa-karI
   sadā kṣitijayaṃ kuryād bhuvo dhāraṇā // GorS(1)_69 //	sadA kziti-jayam kuryAt BuvaH DAraNA // GorS(1)_69 //
   ardhendu-pratimaṃ ca kunda-dhavalaṃ kaṇṭhe'mbu-tattavṃ sthitaṃ yat	arDa-indu-pratimam ca kunda--Davalam kaNWe-ambu--tattavm sTitam yat-
   pīyūṣa-va-kāra-bīja-sahitaṃ yuktaṃ sadā viṣṇunā /	pIyUza-va-kAra--bIja--sahitam yuktam sadA vizNunA /
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed eṣā	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet ezA
   durvaha-kāla-kūṭa-jaraṇā syād vāriṇī dhāraṇā // GorS(1)_70 //	durvaha--kAla--kUwa--jaraNA syAt vAriNI DAraNA // GorS(1)_70 //
   yat tāla-sthitam indra-gopa-sadṛśaṃ tattvaṃ trikoṇojjvalaṃ	yat tAla--sTitam indra-gopa--sadRSam tattvam trikoNa-ujjvalam
   tejo-repha-mayaṃ pravāla-ruciraṃ rudreṇa yat saṅgatam /	tejaH--rePa--mayam pravAla--ruciram rudreNa yat saFgatam /
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed eṣā vahni-jayaṃ	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet ezA vahni-jayam
   sadā vidadhate vaiśvānarī dhāraṇā // GorS(1)_71 //	sadA vidaDate vESvAnarI DAraNA // GorS(1)_71 //
   yad bhinnāñjana-puñja-sānnibham idaṃ tattvaṃ bhruvor antare vṛttaṃ	yat BinnAQjana--puQja--sAnniBam idam tattvam BruvoH antare vRttam
   vāyumayaṃ ya-kāra-sahitaṃ yatreśvaro devatā /	vAyu-mayam ya-kAra--sahitam yatra-ISvaraH devatA /
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed eṣā khe gamanaṃ	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet ezA Ke gamanam
   karoti yamināṃ syād vāyavī dhāraṇā // GorS(1)_72 //	karoti yaminAm syAt vAyavI DAraNA // GorS(1)_72 //
   ākāśaṃ suviśuddha-vāri-sadṛśaṃ yad brahma-randhre sthitaṃ tatrādyena	AkASam su-viSudDa--vAri--sadRSam yat brahma-ranDre sTitam tatra-Adyena
   sadā-śivena sahitaṃ śāntaṃ ha-kārākṣaram /	sadA-Sivena sahitam SAntam ha-kAra-akzaram /
   prāṇaṃ tatra vinīya pañca-ghaṭikāś cittānvitaṃ dhārayed eṣā	prANam tatra vinIya paQca--GawikAH citta-anvitam DArayet ezA
   mokṣa-kavāṭa-pāṭana-paṭuḥ proktā nabho-dhāraṇā // GorS(1)_73 //	mokza--kavAwa--pAwana--pawuH proktAH naBo-DAraNAH // GorS(1)_73 //
   stambhanī drāvaṇī caiva dahanī bhrāmaṇī tathā /	stamBanI drAvaNI ca-eva dahanI BrAmaNI taTA /
   śoṣaṇī ca bhavanty evaṃ bhūtānāṃ pañca dhāraṇāḥ // GorS(1)_74 //	SozaNI ca Bavanti evam BUtAnAm paQca DAraNAH // GorS(1)_74 //
   karmaṇā manasā vācā dhāraṇāḥ pañca durlabhāḥ /	karmaNA manasA vAcA DAraNAH paQca durlaBAH /
   vidhāya satataṃ yogī sarva-pāpaiḥ pramucyate // GorS(1)_75 //	viDAya satatam yogI sarva-pApEH pramucyate // GorS(1)_75 //
   sarvaṃ cintā-samāvarti yogino hṛdi vartate /	sarvam cintA--samAvarti yoginaH hRdi vartate /
   yat tattve niścitaṃ cetas tat tu dhyānaṃ pracakṣate // GorS(1)_76 //	yat tattve niScitam cetaH tat tu DyAnam pracakzate // GorS(1)_76 //
   dvidhā bhavati tad dhyānaṃ sa-guṇaṃ nirguṇaṃ tathā /	dviDA Bavati tat DyAnam sa-guNam nirguNam taTA /
   saguṇaṃ varṇa-bhedena nirguṇaṃ kevalaṃ viduḥ // GorS(1)_77 //	sa-guNam varNa--Bedena nirguNam kevalam viduH // GorS(1)_77 //
   ādhāraṃ prathamaṃ cakraṃ tapta-kāñcana-sannibham /	ADAram praTamam cakram tapta--kAQcana--sanniBam /
   nāsāgre dṛṣṭim ādāya dhyātvā muñcati kilbiṣam // GorS(1)_78 //	nAsA-agre dRzwim AdAya DyAtvA muQcati kilbizam // GorS(1)_78 //
   svādhiṣṭhānaṃ dvitīyaṃ tu san-māṇikya-suśobhanam /	svADizWAnam dvitIyam tu san--mANikya--su-SoBanam /
   nāsāgre dṛṣṭim ādāya dhyātvā muñcati pātakam // GorS(1)_79 //	nAsA-agre dRzwim AdAya DyAtvA muQcati pAtakam // GorS(1)_79 //
   taruṇāditya-saṃkāśaṃ cakraṃ ca maṇipūrakam /	taruNa-Aditya--saMkASam cakram ca maNipUrakam /
   nāsāgre dṛṣṭim ādāya dhyātvā saṃkṣobhayej jagat // GorS(1)_80 //	nAsA-agre dRzwim AdAya DyAtvA saMkzoBayet jagat // GorS(1)_80 //
   [verse missing]	[verse missing]
   vidyut-prabhāvaṃ hṛt-padme prāṇāyāma-vibhedanaiḥ /	vidyut--praBAvam hRt--padme prANAyAma--viBedanEH /
