   sāṃkhyasūtravivaraṇam |	sAMKya-sUtra-vivaraNam |
   tāmisro nāma aṣṭaguṇaiśvarye 'ṇimādye daśavidhe ca viṣaye pratihatasya	tAmisraH nAma azwaguNa-ESvarye aNima-Adye daSaviDe ca vizaye pratihatasya
   duḥkhamutpadyate 'sau tāmisra ityabhidhīyate |	duHKam-utpadyate asO tAmisraH iti-aBiDIyate |
   andhatāmisro nāma aṇimādyaṣṭaguṇaiśvarye daśavidhe ca viṣaye siddhe	anDatAmisraH nAma aNima-Adi-azwaguNa-ESvarye daSaviDe ca vizaye sidDe
   maraṇakāle ca yo viṣādaḥ pratyapadyate so 'ndhatāmisra ityabhidhīyate |	maraNa-kAle ca yaH vizAdaH pratyapadyate saH anDatAmisraH iti-aBiDIyate |
   evameṣā pañcaparvā 'vidyā dviṣaṣṭibhedā vyākhyātā ||	evam-ezA paQca-parvA avidyA dvi-zazwi-BedAH vyAKyAtAH ||
   [aṣṭaviṃśatidhāśaktiḥ || Tats_15 ||]	[azwaviMSatiDA-SaktiH || Tats_15 ||]
   atrāha kāṣṭāviṃśatidhāśaktiḥ |	atra-Aha kAzwAviMSatiDA-SaktiH |
   atrocyate |	atra-ucyate |
   ekādaśendriyavadhāḥ saptadaśabuddhivadhāḥ |	ekAdaSa-indriya-vaDAH saptadaSa-budDi-vaDAH |
   eṣāṣṭāviṃśatidhāśaktiḥ |	ezA-azwAviMSatiDA-SaktiH |
   tatrendriyavadhāstāvat |	tatra-indriya-vaDAH-tAvat |
   badhirastvakbadhiraḥ andhaḥ jaḍajihvaḥ ajighraḥ mūkaḥ kuṇiḥ paṅguḥ	baDiraH-tvakbaDiraH anDaH jaxa-jihvaH ajiGraH mUkaH kuNiH paFguH
   napuṃsakaḥ ūrdhvavāyuyuktaḥ amanāḥ |	napuMsakaH UrDva-vAyu-yuktaH amanAH |
   taduktam |	tat-uktam |
   bādhiryaṃ kuṣṭhitāndhastvaṃ jaḍatā 'jighratā tathā /	bADiryam kuzWita-anDaH-tvam jaxatA ajiGratA taTA /
   mūkatā kauṇyapaṅgutvaṃ klaibyodāvartamattatāḥ //	mUka-tA kONya-paFgu-tvam klEbya-udAvarta-mattatAH //
   etedindriyadvārā buddhereva vadhāḥ |	etet-indriya-dvArAH budDeH-eva vaDAH |
   sākṣādbuddhivadhā yathā |	sAkzAt-budDi-vaDAH yaTA |
   [navadhā tuṣṭiḥ || Tats_16 ||]	[navaDA tuzwiH || Tats_16 ||]
   [aṣṭadhā siddhiḥ || Tats_17 ||]	[azwaDA sidDiH || Tats_17 ||]
   navavidhatuṣṭivaikalyāt aṣṭavidhāsiddhavaikalyācca saptadaśabuddhivadhā	navaviDa-tuzwi-vEkalyAt azwaviDA-sidDa-vEkalyAt-ca saptadaSa-budDi-vaDA
   ityaṣṭāviṃśatidhāśaktiḥ ||	iti-azwAviMSatiDA-SaktiH ||
   kā punarnavadhā tuṣṭiḥ ucyate |	kA punarnavaDA tuzwiH ucyate |
   catasra ādyātmikyastuṣṭayaḥ bāhyāḥ pañca |	catasraH Adya-AtmikyaH-tuzwayaH bAhyAH paQca |
   ādyāḥ prakṛtyupādānakālabhāgyākhyāḥ |	AdyAH prakRti-upAdAna-kAla-BAgya-AKyAH |
   prakṛtyaiva muktiḥ kiṃ punaḥ sādhanairiti tuṣṭiḥ prakṛtyākhyā ambho nāma |	prakRtyA-eva muktiH kim punar sADanEH-iti tuzwiH prakRti-AKyA amBaH nAma |
   sādhanaiḥ saṃnyāsādibhirupāttaistuṣṭiḥ sādhānākhyā salilaṃ nāma |	sADanEH saMnyAsa-AdiBiH-upAttEH-tuzwiH sADAna-AKyA salilam nAma |
   kālenaiva muktyādikaṃ setsyati kiṃ duḥkhaiḥ saṃnyāsādisādhanairiti tuṣṭiḥ	kAlena-eva mukti-Adikam setsyati kim duHKEH saMnyAsa-Adi-sADanEH-iti tuzwiH
   kālākhyā 'gho nāma |	kAla-AKyA aGaH nAma |
   yā tu bhāgyādeva sarvaṃ setsyati kiṃ sādhanādidhyānādikleśairiti sā	yA tu BAgyAt-eva sarvam setsyati kim sADana-Adi-DyAna-Adi-kleSEH-iti sA
   bhāgyākhyā tuṣṭirnāma |	BAgya-AKyA tuzwiH-nAma |
   bāhyāḥ śabdādiviṣayavairāgyāstuṣṭayaḥ	bAhyAH Sabda-Adi-vizaya-vErAgyAH-tuzwayaH
   arjanarakṣaṇakṣayabhogahiṃsādoṣadarśanaṃ vairāgyahetuḥ	arjana-rakzaNa-kzaya-Boga-hiMsA-doza-darSanam vErAgya-hetuH
   pañcavidhastadbhedena pañcatuṣṭayaḥ ||	paQcaviDaH-tad-Bedena paQcatuzwayaH ||
   atha kāḥ siddhayaḥ ucyante |	aTa kAH sidDayaH ucyante |
   aṣṭau siddhayaḥ |	azwO sidDayaH |
   ucyante |	ucyante |
   adhyayanaṃ tāraṃ nāma siddhiḥ |	aDyayanam tAram nAma sidDiH |
   tato 'rthajñānaṃ sutāraṃ nāma |	tatas arTa-jQAnam sutAram nAma |
   tatastarkeṇārthaparīkṣaṇaṃ tāratāraṃ nāma siddhiḥ |	tatas-tarkeNa-arTa-parIkzaNam tAratAram nAma sidDiH |
   tataḥ parīkṣakasaṃvādanaṃ ramyakaṃ nāma |	tatas parIkzaka-saMvAdanam ramyakam nAma |
   tato vivekakhyātiḥ sadāmuditaṃ nāma |	tatas viveka-KyAtiH sadAmuditam nAma |
   etāḥ pañca gauṇyaḥ siddhayaḥ |	etAH paQca gONyaH sidDayaH |
   duḥkhatrayavighātāstāstrayo mukhyāḥ siddhayaḥ |	duHKa-traya-viGAtAH-tAH-trayaH muKyAH sidDayaH |
   pramodamuditamodanāmākhyāḥ phalamityaṣṭau siddhayaḥ |	pramodam-udita-modanAm-AKyAH Palam-iti-azwO sidDayaH |
   tuṣṭisiddhīnāṃ viparyayāt saptadaśadhā vuddhivadhāḥ ||	tuzwi-sidDInAm viparyayAt saptadaSaDA vudDi-vaDAH ||
   [daśa mūlikārthāḥ || Tats_18 ||]	[daSa mUlikA-arTAH || Tats_18 ||]
   ke punarmaulikārthāḥ katidhā ucyante |	ke punar-mOlikA-arTAH katiDA ucyante |
   daśadhā maulikārthāha |	daSaDA mOlikA-arTa-Aha |
   ekatvamarthavattvaṃ pārārthyaṃ pradhānasya |	eka-tvam-arTavat-tvam pArArTyam praDAnasya |
   anyatvamakartṛtvaṃ bahutvaṃ puruṣasya |	anya-tvam-akartR-tvam bahu-tvam puruzasya |
   astitvaṃ yogo viyogaścetyubhayayoḥ |	astitvam yogaH viyogaH-ca-iti-uBayayoH |
   śeṣavṛttiḥ pariśiṣṭatvaṃ pralaye tadubhayayoḥ |	Seza-vRttiH pariSizwa-tvam pralaye tad-uBayayoH |
   taduktam	tat-uktam
   pradhānāstitvamekatvamarthavattvaṃ yathārthatā /	praDAna-asti-tvam-eka-tvam-arTavat-tvam yaTArTa-tA /
   pārārthyaṃ ca tathā naikyaṃ viyogo yoga eva ca //	pArArTyam ca taTA na-Ekyam viyogaH yogaH eva ca //
   śeṣavṛttirakartṛtvaṃ maulikārthāḥ smṛtā daśa //	Seza-vRttiH-akartR-tvam mOlikA-arTAH smRtAH daSa //
   iti |	iti |
   [anugrahasargaḥ || Tats_19 ||]	[anugraha-sargaH || Tats_19 ||]
   atrāha ko 'nugrahasargaḥ |	atra-Aha kaH anugraha-sargaH |
   anugṛhṇāti pratyayabhūtādisargaṃ yaḥ sargaḥ so 'nugrahasargaḥ |	anugRhNAti pratyaya-BUta-Adi-sargam yaH sargaH saH anugraha-sargaH |
   tanmātrasarga evāsau viśeṣāparanāmā |	tanmAtra-sargaH eva-asO viSeza-apara-nAmA |
   ke viśeṣāḥ kiyantaśca |	ke viSezAH kiyantaH-ca |
   ucyante |	ucyante |
   liṅgadehāha sthūladehāḥ sthūlabhūtāni ca |	liFga-deha-Aha sTUla-dehAH sTUla-BUtAni ca |
   tatra liṅgaṃ sthūladehāt pūrvamutpannamavyāhataṃ sthūlanāśe 'pyanaśvaram |	tatra liFgam sTUla-dehAt pUrvam-utpannam-avyAhatam sTUla-nASe api-anaSvaram |
   mahadahaṃkārendriyatanmātrātmakam |	mahat-ahaMkAra-indriya-tanmAtra-Atmakam |
   dharmādharmajñānājñānavairāgyāvairāgyaiśvaryānaiśvaryākhyabhāvavāsitaṃ	Darma-aDarma-jQAna-ajQAna-vErAgya-avErAgya-ESvaryAnESvarya-AKya-BAva-vAsitam
   saṃsarati |	saMsarati |
   sthūlabhūtāni tu bhūgolasamudravahniśiśumārabrahmāṇḍavirāṭādīni |	sTUla-BUtAni tu BU-gola-samudra-vahni-SiSumAra-brahmANxa-virAwa-AdIni |
   sthūladehāḥ ke katividhāśceti ucyate ||	sTUla-dehAH ke kativiDAH-ca-iti ucyate ||
