   ADHYAYA 1	ADHYAYAH 1
   na tvātmana iṣṭāniṣṭaprāptiparihārecchākāraṇamātmaviṣayamajñānaṃ	na tu AtmanaH izwa anizwa prApti parihAra icCA kAraNam Atma vizayam ajQAnam
   kartṛbhoktṛsvarūpābhimānalakṣaṇaṃ	kartR BoktR svarUpa aBimAna lakzaNam
   tadviparītabrahmātmasvarūpavijñānenāpanītam /	tad viparIta brahma Atma svarUpa vijQAnena apanItam /
   yāvaddhi tannāpanīyate tāvadayaṃ	yAvat hi tat na apanIyate tAvat ayam
   karmaphalarāgadveṣādisvābhāvikadoṣaprayuktaḥ	karma Pala rAga dveza Adi svABAvika doza prayuktaH
   śāstravihitapratiṣiddhātikrameṇāpi vartamāno	SAstra vihita pratizidDA atikrameNa api vartamAnaH 
   manovākkāyairdṛṣṭādṛṣṭāniṣṭasādhanāni adharmasaṃjñakāni karmāṇyupacinoti	manaH vAc kAyEH dRzwa adRzwa anizwa sADanAni aDarma saMjQakAni karmANi upacinoti
   bāhulyena, svābhāvikadoṣabalīyastvāt /	bAhulyena, svABAvika doza balIyaH tvAt /
   tataḥ sthāvarantādhogatiḥ /	tatas sTAvaranta aDogatiH /
   kadācicchāstrakṛtasaṃskārabalīyastvam, tato manaādibhiriṣṭasādhanaṃ	kadAcid SAstra kRta saMskAra balIyaH tvam, tatas manaA AdiBiH izwa sADanam
   bāhulyenopacinoti dharmākhyam /	bAhulyena upacinoti Darma AKyam /
   tad dvividham jñānapūrvakaṃ kevalañca /	tat dviviDam  jQAna pUrvakam kevalaQca /
   tatra kevalaṃ pitṛlokādiprāptiphalam /	tatra kevalam pitR loka Adi prApti Palam /
   jñānapūrvakaṃ devalokādibrahmalokāntaprāptiphalam /	jQAna pUrvakam deva loka Adi brahma loka anta prApti Palam /
   tathā ca śāstram "ātmayāji śreyāndevayājinaḥ"(śata.brāhma.) ityādi /	taTA ca SAstram "Atma yAji SreyAn deva yAjinaH"(Sata.brAhma.) ityAdi /
   smṛtiśca"dvividham karma vaidikam"(manu.12 / 88) ityādyā /	smRtiH ca"dviviDam karma vEdikam"(m anu.12 / 88) ityAdyAH /
   sāmye ca dharmādharmayoḥ manuṣyatvaprāptiḥ /	sAmye ca Darma aDarmayoH manuzya tva prAptiH /
   evaṃ brahmāndyā sthāvarāntā svābhāvikāvidyādidoṣavatī	evam brahma andyA sTAvara antA svABAvika avidyA Adi dozavatI
   dharmādharmasādhanakṛtā saṃsāragatirnāmarūpakarmāśrayā /	Darma aDarma sADana kRtA saMsAra gatiH nAma rUpa karma ASrayAH /
   tadevedaṃ vyākṛtaṃ sādhyasādhanarūpaṃ jagatprāgutpatteravyākṛtamāsīt /	tat eva idam vyAkRtam sADya sADana rUpam jagat prAc utpatteH avyAkRtam AsIt /
   sa eṣa bījāṅkurādivadavidyākṛtaḥ saṃsāra ātmani	saH eza bIja aFkura Adi vat avidyA kRtaH saMsAraH Atmani
   kriyākārakaphalādhyāropalakṣaṇo 'nādirananto 'narthaḥ,	kriyA kAraka Pala aDyAra upalakzaNaH anAdiH anantaH anarTaH,
   ityetasmādviraktasyāvidyānivṛttaye	iti etasmAt viraktasya avidyA nivRttaye
   tadviparītabrahmavidyāpratipattyarthopaniṣadārabhyate /	tad viparIta brahma vidyA pratipatti arTa upanizad A AraByate /
   asya tvaśvamedhakarmasambandhino vijñānasya prayojanaṃ yepāmaśvamedhe na	asya tu aSvameDa karma sambanDinaH vijQAnasya prayojanam yepAm aSvameDe na
   adhikārasteṣāmasmādeva vijñānāt phalaprāptiḥ /	aDikAraH tezAm asmAt eva vijQAnAt Pala prAptiH /
   'vidyayā vā karmaṇā vā' "taddhaitallokajideva"(bṛ.u.1 / 3 / 28)	avidyayA vA karmaNA vA a "tadDa etat loka jit eva "(bR.u.1 / 3 / 28)
   ityevamādiśrutibhyaḥ /	iti evamAdi SrutiByaH /
   karmaviṣayatvameva vijñānasyeti cenna,"yo 'śvamedhena yajate ya u	karma vizaya tvam eva vijQAnasya iti ced na,"yaH aSvameDena yajate yaH u
   cainamevaṃ veda"iti vikalpaśruteḥ /	ca enam evam veda" iti vikalpa SruteH /
   vidyāprakaraṇe cāmnānāt karmāntare ca sampādanadarśanād vijñānāt	vidyA prakaraNe ca AmnAnAt karma antare ca sampAdana darSanAt vijQAnAt 
   tatphalaprāptirastītyavagamyate /	tad Pala prAptiH asti iti avagamyate /
   sarveṣāṃ ca karmaṇāṃ paraṃ karmāśvamedhaḥ samaṣṭivyaṣṭiprāptiphalavatvāt	sarvezAm ca karmaNAm param karma aSvameDaH samazwi vyazwi prApti Palava tvAt 
   tasya ceha brahmavidyāprārambha āmnānaṃ sarvakarmaṇāṃ	tasya ca iha brahma vidyA prAramBaH AmnAnam sarva karmaNAm
   saṃsāraviṣayatvapradarśanārtham /	saMsAra vizaya tva pradarSana arTam /
   tathā ca darśayiṣyati phalamaśanāyāmṛtyubhāvam /	taTA ca darSayizyati Palam aSanAya amRtyu BAvam /
   na nityānāṃ saṃsāraviṣayaphalatvamiti cenna,	na nityAnAm saMsAra vizaya Pala tvam iti ced na,
   sarvakarmaphalopasaṃhāraśruteḥ /	sarva karma Pala upasaMhAra SruteH /
   sarvaṃ hi patnīsambaddhaṃ karma /	sarvam hi patnI sambadDam karma /
   "jayā me syāt ........etāvānvai kāmaḥ"(bṛ.u.1 / 4 / 17) iti nisargata eva	"jayAH me syAt ........etAvAn vE kAmaH"(bR.u.1 / 4 / 17) iti nisargataH eva
   sarvakarmaṇāṃ kāmyatvaṃ darśayitvā, putrakarmāparavidyānāṃ ca"manuṣyalokaḥ	sarva karmaNAm kAmya tvam darSayitvA, putra karma apara vidyAnAm ca" manuzya lokaH
   pitṛloko devalokaḥ"(bṛ.u.1 / 5 / 16) iti phalaṃ darśayitvā,	pitR lokaH deva lokaH"(bR.u.1 / 5 / 16) iti Palam darSayitvA,
   tryannātmakatāṃ cānte upasaṃhariṣyati"trayaṃ vā idaṃ nāma rūpaṃ	tryanna Atmaka tAm ca ante upasaMharizyati" trayam vA idam nAma rUpam
   karma"(bṛ.u.1 / 6 / 1) iti /	karma "(bR.u.1 / 6 / 1) iti /
   sarvatarmaṇāṃ phalaṃ vyākṛtaṃ saṃsāra eveti /	sarva tarmaNAm Palam vyAkRtam saMsAraH eva iti /
   idameva trayaṃ prāgutpattestarhyavyākṛtamāsīt /	idam eva trayam prAk utpatteH tarhi avyAkRtam AsIt /
   tadeva punaḥ sarvaprāṇikarmavaśādvyākriyate bījādiva vṛkṣaḥ /	tat eva punar sarva prANi karma vaSAt vyAkriyate bIjAt iva vRkzaH /
   so 'yaṃ vyākṛtāvyākṛtarūpaḥ saṃsāro	saH ayam vyAkRta avyAkRta rUpaH saMsAraH 
   'vidyāviṣayaḥ;kriyākārakaphalātmakatayā ātmarūpatvenādhyāropitaḥ	avidyA vizayaH;kriyA kAraka Pala Atmaka tayA Atma rUpa tvena aDyAropitaH
   avidyayaiva mūrtāmūrtatadvāsanātmakaḥ /	avidyayA eva mUrta amUrta tad vAsanA AtmakaH /
   ato vilakṣaṇo 'nāmarūpakarmātmako 'dvayo nityaśuddhabuddhamuktasvabhāvo	atas vilakzaNaH anAma rUpa karma AtmakaH advayaH nitya SudDa budDa mukta svaBAvaH 
   'pi kriyākārakaphalabhedādiviparyayeṇāvabhāsate /	api kriyA kAraka Pala Beda Adi viparyayeNa avaBAsate /
   ato 'smātkriyākārakaphalabhedasvarūpād etāvadidamiti	atas asmAt kriyA kAraka Pala Beda svarUpAt etAvat idam iti
   sādhyasādhanarūpādviraktasya kāmādidoṣakarmabījabhūtāvidyānivṛttaye	sADya sADana rUpAt viraktasya kAma Adi doza karma bIja BUta avidyA nivRttaye
   rajjvāmiva sarpavijñānāpanayāya brahmavidyā ārabhyate /	rajjvAm iva sarpa vijQAna apanayAya brahma vidyA AraByate /
   tatra tāvadaśvamedhavijñānāya'uṣā vā aśvasya'ityādi /	tatra tAvat aSvameDa vijQAnAya auzAH vE aSvasya aityAdi /
   tatrāśvaviṣayameva darśanamucyate prādhānyādaśvasya /	tatra aSva vizayam eva darSanam ucyate prADAnyAt aSvasya /
   prādhānyaṃ ca tannāmāṅkitatvātkratoḥ prājāpatyatvācca /	prADAnyam ca tad nAma aFkita tvAt kratoH prAjApatya tvAt ca /
   START BrhUp 1,1.1	START BrhUp 1,1.1
   uṣā vā aśvasya medhyasya śiraḥ |	uzAH vE aSvasya meDyasya SiraH |
   sūryaś cakṣur vātaḥ prāṇo vyāttam agnir vaiśvānaraḥ saṃvatsara ātmāśvasya	sUryaH cakzuH vAtaH prANaH vyAttam agniH vESvAnaraH saMvatsaraH AtmASvasya
   medhyasya |	meDyasya |
   dyauḥ pṛṣṭham antarikṣam udaraṃ pṛthivī pājasyaṃ diśaḥ pārśve	dyOH pRzWam antarikzam udaram pRTivI pAjasyam diSaH pArSve
   avāntaradiśaḥ parśava ṛtavo 'ṅgāni māsāś cārdhamāsāś ca parvāṇy ahorātrāṇi	avAntara diSaH parSavaH RtavaH aFgAni mAsAH ca arDa mAsAH ca parvANi ahorAtrANi
   pratiṣṭhā nakṣatrāṇy asthīni nabho māṃsāni |	pratizWA nakzatrANi asTIni naBaH mAMsAni |
   ūvadhyaṃ sikatāḥ sindhavo gudā yakṛc ca klomānaś ca parvatā oṣadhayaś ca	UvaDyam sikatAH sinDavaH gudA yakRt ca klomAnaH ca parvatAH ozaDayaH ca
   vanaspatayaś ca lomāni |	vanaspatayaH ca lomAni |
   udyan pūrvārdho nimlocañ jaghanārdhaḥ |	udyan pUrva arDaH nimlocan jaGana arDaH |
   yad vijṛmbhate tad vidyotate |	yat vijRmBate tat vidyotate |
   yad vidhūnute tat stanayati |	yat viDUnute tat stanayati |
   yan mehati tad varṣati |	yat mehati tat varzati |
   vāg evāsya vāk || BrhUp_1,1.1 ||	vAc eva asya vAc || BrhUp_1,1.1 ||
   BrhUpBh_1,1.1 uṣā iti, brāhmo muhūrta uṣāḥ /	Brhu upBh_1,1.1 uzAH iti, brAhmaH muhUrte uzAH /
   vaiśabdaḥ smaraṇārthaḥ prasiddhaṃ kālaṃ smārayati /	vESabdaH smaraNa arTaH prasidDam kAlam smArayati /
   śiraḥ prādhānyāt /	SiraH prADAnyAt /
   śiraśca pradhānaṃ śarīrāvayavānām /	SiraH ca praDAnam SarIra avayavAnAm /
   aśvasya medhyasya medhārhasyayajñiyasyopāḥ śiraḥ iti sambandhaḥ /	aSvasya meDyasya meDA arhasya yajQiyasya upAH SiraH iti sambanDaH /
   karmāṅgasya paśoḥ saṃskartavyatvāt kālādidṛṣṭayaḥ śira ādiṣu kṣipyante /	karma aFgasya paSoH saMskartavya tvAt kAla Adi dRzwayaH SiraH Adizu kzipyante /
   prājāpatyatvaṃ ca prajāpatidṛṣṭyadhyāropaṇāt /	prAjApatya tvam ca prajApati dRzwi aDyAropaNAt /
   kālalokadevatātvādhyāropaṇaṃ ca prajāpatitvakaraṇaṃ paśoḥ /	kAla loka devatA Atva aDyAropaNam ca prajApati tva karaNam paSoH /
   evaṃrūpo hi prajāpatiḥ, viṣṇatvādikaraṇamiva pratimādau /	evaMrUpaH hi prajApatiH, vizNa tva Adi karaNam iva pratimA AdO /
   sūryaścakṣuḥ śiraso 'nantaratvāt sūryādhidaivatatvācca /	sUryaH cakzuH SirasaH anantara tvAt sUrya aDidEvata tvAt ca /
   vātaḥ prāṇo vāyusvābhāvyāt /	vAtaH prANaH vAyu svABAvyAt /
   vyāttaṃ vivṛtaṃ mukhamagnirvaiśvānararḥ /	vyAttam vivRtam muKam agniH vESvAnararH /
   vaiśvānara ityagnerviśeṣaṇarm /	vESvAnaraH iti agneH viSezaNarm /
   vaiśvānaro nāmāgnirvivṛtaṃ mukhamityartho mukhasyāgnidaivatatvāt /	vESvAnaraH nAma agniH vivRtam muKam iti arTaH muKasya agni dEvata tvAt /
   saṃvatsara ātmā, saṃvatsaro dvādaśamāsastrayodaśamāso vā,ātmāśarīram /	saMvatsaraH AtmA, saMvatsaraH dvAdaSa mAsaH trayodaSa mAsaH vA,Atma aSarIram /
   kālāvayavānāṃ ca saṃvatsaraḥ śarīraṃ cātmā "madhyaṃ hyaṣāmaṅgānāmātmā"iti	kAla avayavAnAm ca saMvatsaraH SarIram ca AtmA "maDyam hi azAm aFgAnAm AtmA" iti
   śruteḥ /	SruteH /
   aśvasya medhyasyeti sarvatrānupaṅgārthaṃ punarvacanam /	aSvasya meDyasya iti sarvatra anupaFga arTam punarvacanam /
   dyauḥ pṛṣṭhamūrdhvatvasāmānyāt /	dyOH pRzWam UrDva tva sAmAnyAt /
   antarikṣamudaraṃ suṣiratvasāmānyāt pṛthivī pājasyaṃ pādasyaṃ pājasyamiti	antarikzam udaram suzira tva sAmAnyAt pRTivI pAjasyam pAdasyam pAjasyam iti
   varṇavyatyayena, pādāsanasthānamityarthaḥ /	varNa vyatyayena, pAda Asana sTAnam iti arTaH /
   diśaścatasro 'pi pārśve pārśvena diśāṃ sambandhāt /	diSaH catasraH api pArSve pArSvena diSAm sambanDAt /
   pārśvayordiśāṃ ca saṅkhyāvaiṣamyādayuktamiti cenna,	pArSvayoH diSAm ca saFKyA vEzamyAt ayuktam iti ced na,
   sarvamukhatvopapatteraśvasya pārśvābhyāmeva sarvadiśāṃ sambandhādadoṣaḥ /	sarva muKa tva upapatteH aSvasya pArSvAByAm eva sarva diSAm sambanDAt adozaH /
   avāntaradiśa āgneyyādyāḥ parśavaḥ pārśvāsthīni /	avAntara diSaH AgneyI AdyAH parSavaH pArSva asTIni /
   ṛtavo 'ṅgāni saṃvatsarāvayavatvādaṅgasādharmyāt /	RtavaH aFgAni saMvatsara avayava tvAt aFga sADarmyAt /
   ahorātrāṇi pratiṣṭhāḥ /	ahorAtrANi pratizWAH /
   bahuvacanāt prājāpatyadaivapitryamānuṣāṇi, pratiṣṭhāḥ pādāḥ	bahuvacanAt prAjApatya dEva pitrya mAnuzANi, pratizWAH pAdAH
   pratitiṣṭhatyetairiti /	pratitizWati etEH iti /
   ahorātrairhi kālātmā pratitiṣṭhatyaśvasya pādaiḥ /	ahorAtrEH hi kAla AtmA pratitizWati aSvasya pAdEH /
   nakṣatrāṇyasthīni śuklatvasāmānyāt /	nakzatrANi asTIni Sukla tva sAmAnyAt /
   nabho nabhaḥsthā meghā antarīkṣasyodaratvokteḥ,	naBaH naBaH sTA meGAH antarIkzasya udara tva ukteH,
   māṃsānyudakarudhirasecanasāmānyāt /	mAMsAni udaka ruDira secana sAmAnyAt /
   ūvadhyaṃ udarasthamardhajīrṇamaśanaṃ sikatā viśliṣṭāvayavatvasāmānyāt /	UvaDyam udara sTam arDa jIrNam aSanam sikatA viSlizwa avayava tva sAmAnyAt /
   sindhavaḥ syandanasāmānyannadyo gudā nāḍyo bahuvacanācca /	sinDavaH syandana sAmAnyat nadyaH gudAH nAxyaH bahuvacanAt ca /
   yakṛccaklomānaśca hṛdayasyādhasthāddakṣiṇottarau māṃsakhaṇḍau /	yakRt ca klomAnaH ca hRdayasya aDasTAt dakziNa uttarO mAMsa KaNxO /
   klomāna iti nityaṃ bahuvacanamekasminneva /	klomAnaH iti nityam bahuvacanam ekasmin= eva /
   parvatāḥ kāṭhinyāducchritatvācca /	parvatAH kAWinyAt ucCrita tvAt ca /
   oṣadhayaśca kṣudrāḥ sthāvarā vanaspatayo mahānto lomāni keśāśca	ozaDayaH ca kzudrAH sTAvarAH vanaspatayaH mahAntaH lomAni keSAH ca
   yathāsambhavam /	yaTAsamBavam /
   udyannudgacchanbhavati savitā āmadhyāhnādaśvasya pūrvārdho	udyann udgacCan Bavati savitA AmaDyAhnAt aSvasya pUrva arDaH 
   nāmerūrdhvamityarthaḥ /	nAmeH UrDvam iti arTaH /
   nimlocannastaṃ yannāmadhyāhnājjaghanārdho 'parārdhaḥ	nimlocat = astam yat na amaDyAhnAt jaGana arDaH apara arDaH
   pūrvāparatvasādharmyāt /	pUrva aparatva sADarmyAt /
   yadvijṛmbhate gātrāṇi vināmayati vikṣipati tadvidyotate vidyotanaṃ	yat vijRmBate gAtrANi vinAmayati vikzipati tat vidyotate vidyotanam
   mukhaghanavidāraṇasāmānyāt /	muKa Gana vidAraNa sAmAnyAt /
   yadvidhūnute gātrāṇi kampayati tatstanayati garjanaśabdhasāmānyāt /	yat viDUnute gAtrANi kampayati tat stanayati garjana SabDa sAmAnyAt /
   yanmehati mūtraṃ karotyaśvastadvarṣati varṣaṇaṃ tat secanasāmānyāt /	yat mehati mUtram karoti aSvaH tat varzati varzaNam tat secana sAmAnyAt /
   vāgeva śabda evāsyāśvasya vāgiti, nātra kalpanetyarthaḥ //1//	vAc eva SabdaH eva asya aSvasya vAgiti, na atra kalpanA iti arTaH //1//
   aharvā iti /	ahar vA iti /
   sāvarṇarājatau mahimākhyau grahāvaśvasyāgrataḥ pṛṣṭhataśca sthāpyete	sAvarNa rAjatO mahima AKyO grahO= aSvasya agratas pRzWatas ca sTApyete
   tadviṣayamidaṃ darśanam  	tat vizayam idam darSanam  
   START BrhUp 1,1.2	START BrhUp 1,1.2
   ahar vā aśvaṃ purastān mahimānvajāyata |	ahar vE aSvam purastAt mahimA anvajAyata |
   tasya pūrve samudre yoniḥ |	tasya pUrve samudre yoniH |
   rātrir enaṃ paścān mahimānvajāyata |	rAtriH enam paScAt mahimA anvajAyata |
   tasyāpare samudre yonir |	tasya apare samudre yoniH |
   etau vā aśvaṃ mahimānāv abhitaḥ sambabhūvatuḥ |	etO vE aSvam mahimAnO aBitas sambaBUvatuH |
   hayo bhūtvā devān avahad vājī gandharvān arvāsurān aśvo manuṣyān |	hayaH BUtvA devAn avahat vAjI ganDarvAn arva asurAn aSvaH manuzyAn |
   samudra evāsya bandhuḥ samudro yoniḥ || BrhUp_1,1.2 ||	samudraH eva asya banDuH samudraH yoniH || BrhUp_1,1.2 ||
   BrhUpBh_1,1.2 ahaḥ sauvarṇo graho dīptisāmānyādvai /	Brhu upBh_1,1.2 ahar sOvarNaH grahaH dIpti sAmAnyAt vE /
   aharaśvaṃ purastānmahimānvajāyateti katham? aśvasya prajāpatitvāt /	aharaSvam purastAt mahimA anvajAyata iti kaTam? aSvasya prajApati tvAt /
   prajāpatirhyādityādilakṣaṇo 'hnā lakṣyate /	prajApatiH hi At ityAdi lakzaNaH ahnA lakzyate /
   aśvaṃ lakṣayitvājāyata sauvarṇo mahimā graho vṛkṣamanu vidyotate vidyuditi	aSvam lakzayitvA ajAyata sOvarNaH mahimA grahaH vRkzam anu vidyotate vidyut iti
   yadvat /	yadvat /
   tasya grahasya pūrve pūrvaḥ samudre samudro yonirvibhaktivyatyayena /	tasya grahasya pUrve pUrvaH samudre samudraH yoniH viBakti vyatyayena /
   yonirityāsādanasthānam /	yoniH iti AsAdana sTAnam /
   tathā rātrī rājate graho varṇasāmānyājjaghanyatvasāmānyādvā /	taTA rAtrI rAjate grahaH varNa sAmAnyAt jaGanya tva sAmAnyAt vA /
   enamaśvaṃ paścātpṛṣṭato mahimānvajāyata, tasyāpare samudre yoniḥ /	enam aSvam paScAt pRzwataH mahimA anvajAyata, tasya apare samudre yoniH /
   mahimā mahattvāt /	mahimA mahat tvAt /
   aśvasya hi vibhūtireṣā yatsauvarṇo rājataśca grahāvubhayataḥ sthāpyete /	aSvasya hi viBUtiH ezA yat sOvarNaH rAjataH ca grahO= uBayatas sTApyete /
   tāvetau vai mahimānau mahimākhyau grahāvaśvamabhitaḥ	tO= etO vE mahimAnO mahima AKyO grahO= aSvam aBitas 
   sambabhūvaturuktalakṣaṇāveva sambhūtau /	sambaBUva tuH ukta lakzaNO= eva samBUtO /
   itthamasāvaśvo mahatvayukta iti punarvacanaṃ stutyartham /	itTam asO= aSvaH mahatva yuktaH iti punarvacanam stuti arTam /
   tathā ca hayo bhūtvetyādi stutyarthameva /	taTA ca hayaH BUtvA ityAdi stuti arTam eva /
   hayo hinotergatikarmaṇo viśiṣṭagatirityarthaḥ /	hayaH hinoteH gati karmaNaH viSizwa gatiH iti arTaH /
   jātaviśeṣo vā /	jAta viSezaH vA /
