   // bhūmikā //	// BUmikA //
   // śrīmate bhagavadrāmānujāya namaḥ //	// SrImate Bagavat-rAma-anujAya namaH //
   // śrīmate nigamāntamahādeśikāya namaḥ //	// SrImate nigama-anta-mahA-deSikAya namaH //
   tadetat pramāṇapradhānamapi pramāṇagateḥ	tat-etat pramANa-praDAnam-api pramANa-gateH
   prameyasvarūpavivecanaparyavasānatayā prameyepi nyastapadaṃ pravṛttam /	prameya-svarUpa-vivecana-paryavasAna-tayA prameyepi nyasta-padam pravRttam /
   itaretaravisaṃvādasaṃrabdhoddhurairāstikairnāstikaiśca bahudhā vādibhiḥ	itaretara-visaMvAda-saMrabDa-udDurEH-AstikEH-nAstikEH-ca bahuDA vAdiBiH
   svasvacchandānurodhenānyathā cānyathā ca prameyaṃ	sva-sva=-Canda-anuroDena-anyaTA ca-anyaTA ca prameyam
   pratipadyamānairitastataḥ parikṛṣyamāṇāni pramāṇānyapi parāvṛttarūpatayā	pratipadyamAnEH-itas-tatas parikRzyamANAni pramANAni-api parAvRtta-rUpa-tayA
   lakṣaṇato durgrahāṇyabhūvan /	lakzaNataH durgrahANi-aBUvan /
   mānābhāsavyāmiśrāṇi hi mānāni na sukarāṇi vivektum /	mAna-ABAsa-vyAmiSrANi hi mAnAni na sukarANi vivektum /
   tadevaṃ śāstrameva paṅkilīkṛtaṃ cakṣuriva timiropasṛṣṭaṃ	tat-evam SAstram-eva paFkilIkRtam cakzuH-iva timira-upasRzwam
   vigalitārthagrahaṇāpāṭava saṃvṛttam /	vigalita-arTa-grahaNa-apAwava saMvRttam /
   aviparyastalakṣaṇaṃ pramāṇavargaṃ parigṛhṇādbhirapi	aviparyasta-lakzaNam pramANa-vargam parigRhNAdBiH-api
   saugatārhatakāpilacārvākajaiminīyādibhiraṅgeṣvavāntarabhedeṣu	sOgata-arhataka-apila-cArvAka-jEminIya-AdiBiH-aFgezu-avAntara-Bedezu
   canyūnātirekamāsthitairanekadhopayogādanekāntīkṛtamatayaḥ kṛtamatayopi	canyUna-atirekam-AsTitEH-anekaDA-upayogAt-anekAntI-kRta-matayaH kRta-matayA-upi
   svasvopadeśapāramparīpratyayādekatamaṃ pakṣamabhimanyamānāḥ	sva-sva-upadeSa-pAramparI-pratyayAt-ekatamam pakzam-aBimanyamAnAH
   sparigrahāvasādakātaratayā pakṣāntareṣu sābhyasūyāścirāyāpi garukuleṣu	sparigraha-avasAda-kAtara-tayA pakza-antarezu sa-aByasUyAH-cirAya-api garu-kulezu
   pariśramyālabdhabuddhiprasādā vibhrāmyanta evānubhūyante /	pariSramya-alabDa-budDi-prasAdAH viBrAmyante eva-anuBUyante /
   ataḥ sarvopayogāya doṣaguṇahānopādānābhyāṃ śikṣaṇīyasyāsya nyāyavistarasya	atas sarva-upayogAya doza-guNa-hAna-upAdAnAByAm SikzaNIyasya-asya nyAya-vistarasya
   pṛthakprasthānaṃ nyāyadarśanaṃ nāma sūtrajātaṃ gautamena muninā prathamaṃ	pRTakprasTAnam nyAya-darSanam nAma sUtra-jAtam gOtamena muninA praTamam
   praṇītam ; yatra pramāṇāpramāṇādivivecanayā tattvanirṇayopāyāstatra ca	praNItam ; yatra pramANa-apramANa-Adi-vivecanayA tattva-nirNaya-upAyAH-tatra ca
   saṃbhavanto guṇadoṣāḥ kathāsu ca grāhyāparihāryavibhāgāḥ saviśeṣaṃ	saMBavantaH guNa-dozAH kaTAsu ca grAhyA-parihArya-viBAgAH sa-viSezam
   pradarśitāḥ //	pradarSitAH //
   tacca nyāyadarśanaṃ prathamaṃ pramāṇaprameyādisūtreṇa ṣoḍaśadhā padārthān	tat-ca nyAya-darSanam praTamam pramANa-prameya-Adi-sUtreNa zoxaSaDA padArTAn
   vibhajya tatparīkṣaṇena caritārthama /	viBajya tad-parIkzaNena caritArTama /
   tatra prameyatvasya kevalānvayinaḥ sarvapadārthasādhāraṇatayā	tatra prameya-tvasya kevala-anvayinaH sarva-padArTa-sADAraNa-tayA
   vibhājakatvamanupapadyamānaṃ manyamānena kaṇādena muninā kṛtsnameva	viBAjaka-tvam-anupapadyamAnam manyamAnena kaNA-Adena muninA kRtsnam-eva
   prameyajātaṃ dravyādisaptapadārthaparisaṃkhyānenāsaṃkīrṇaṃ vibhaktam /	prameya-jAtam dravya-Adi-sapta-padArTa-parisaMKyAnena-asaMkIrNam viBaktam /
   tatra ca sāmānyaviśeṣasamavāyābhāvān vitathamevāpadārthān padārthayatā	tatra ca sAmAnya-viSeza-samavAya-aBAvAn vitaTam-eva-apadArTAn padArTayatA
   tathāvidhameva cānyadanyadālapatā grāhyamagṛhṇatā tyājyaṃ cātyajatā	taTAviDam-eva ca-anyat-anyat-AlapatA grAhyam-agRhNatA tyAjyam ca-atyajatA
   kaṇabhakṣeṇa dūramapathīkṛtaḥ śāstrapatha iti brahmasūtrakārādibhiḥ	kaNaBakzeNa dUram-apaTIkRtaH SAstra-paTaH iti brahmasUtra-kAra-AdiBiH
   pratikṣipto vaiśeṣikaḥ pakṣaḥ /	pratikziptaH vESezikaH pakzaH /
   nyāyapakṣastu śaṅkyamānopasargopi kathañcidvyākhyānādheyasaṃskāratayā	nyAya-pakzaH-tu SaFkyamAna-upasarga-upi kaTaQcid-vyAKyAna-ADeya-saMskAra-tayA
   nātyarthaparivarjanīyaḥ iti manyamānāḥ katipayasaṃskārasaṃskṛtamimaṃ	na-atyarTa-parivarjanIyaH iti manyamAnAH katipaya-saMskAra-saMskRtam-imam
   pakṣaṃ parigṛhya nibandhān nibabandhuḥ pūrve kecidācāryāḥ /	pakzam parigRhya nibanDAt nibabanDuH pUrve kecid-AcAryAH /
   te ca nibandhā eṣu divaseṣu nāmnaiva	te ca nibanDAH ezu divasezu nAmnA-eva
   kevalamavaśiṣyantotadyathā--śrīmannāthamunimiśrapraṇītaṃ nyāyatattvam,	kevalam-avaSizyantaH-tat-yaTA--SrImat-nATa-m-uni-miSra-praNItam nyAya-tattvam,
   śrīmatparāśarabhaṭṭārakakṛtistattvaratnākaraḥ,	SrImat-parASara-BawwAraka-kRtiH-tattva-ratna-AkaraH,
   śrībhagavadyāmunācāryāṇāmācāryaiḥ śrīmannāthamunicaraṇāśrayāṇāṃ	SrI-Bagavat-yAmunA-AcAryANAm-AcAryEH SrImat-nATa-muni-caraNa-ASrayANAm
   śrīpuṇḍarīkākṣāṇāṃ śiṣyaiśca śrīrāmamiśragurubhirviracitaṃ vivaraṇaṃ	SrI-puNxarIkAkzANAm SizyEH-ca SrI-rAma-miSra-guruBiH-viracitam vivaraNam
   ṣaḍarthasaṃkṣepaśceti granthadvayam, aviditaprabandhṛvyapadeśaṃ	zaz-arTa-saMkzepaH-ca-iti granTa-dvayam, avidita-prabanDR-vyapadeSam
   nyāyasudarśanaṃ prajñāparitrāṇāṃ ceti prabandhayugalam,	nyAya-su-darSanam prajQA-paritrANAm ca-iti prabanDa-yugalam,
   śrīmannārāyaṇamuniviracitatvenācāryopāttaṃ nāmnā cānuddiṣṭaṃ kimapi	SrImat-nArAyaNa-muni-viracita-tvena-AcArya-upAttam nAmnA ca-anuddizwam kim-api
   prabandharatnam, asyaiva ca nyāyapariśuddhipraṇeturācāryasyācāryeṇa	prabanDa-ratnam, asya-eva ca nyAya-pariSudDi-praNetuH-AcAryasya-AcAryeNa
   mātulena ca vādihaṃsāmbuvāhaḥ iti praśastināmāṅkitena	mAtulena ca vAdi-haMsa-ambuvAhaH iti praSasti-nAma-aFkitena
   ātreyarāmānujācāryeṇa kṛtaṃ svapratibhādraviṇanikṣepāyamāṇaṃ	Atreya-rAma-anuja-AcAryeNa kRtam sva-pratiBA-draviNa-nikzepAyamANam
   nyāyakuliśābhidhānaṃ cetyete nibandhāḥ nyāyapariśuddhikṛtaivācāryeṇa tatra	nyAya-kuliSa-aBiDAnam ca-iti-ete nibanDAH nyAya-pariSudDi-kRtA-eva-AcAryeNa tatra
   tatra bhūyiṣṭhamudāhriyante /	tatra BUyizWam-udAhriyante /
   yadeva yāvadeva cācāryeṇa kvacit kvacidudāhṛtaṃ vākyaṃ vākyakhaṇḍaṃ vā,	yat-eva yAvat-eva ca-AcAryeNa kvacid kvacid-udAhRtam vAkyam vAkya-KaNxam vA,
   tadatiriktaṃ kiyadapi ṭīkākṛtāmapi dṛṣṭiviṣayībhūtaṃ nopalabhyate /	tat-atiriktam kiyat-api wIkAkRtAm-api dRzwi-vizayIBUtam na-upalaByate /
   ayamatra hetuḥ	ayam-atra hetuH
   pratibhāti---ācāryasaṃnihitakāleṣvapyanatisaṃkṣepavistararamaṇīyāni	pratiBAti----AcArya-saMnihita-kAlezu-api-anatisaMkzepa-vistara-ramaNIyAni
   prasphuṭārthāni nityaprakāśānyācāryaśrīsūktiratnānyavamṛśya	prasPuwa-arTAni nitya-prakASAni-AcArya-SrI-sUkti-ratnAni-avamRSya
   rasāsvādavādivijayaśiṣyapravacanādripravaṇeṣu uparyupari	rasa-AsvAda-vAdi-vijaya-Sizya-pravacana-adri-pravaNezu upari-upari
   vyākhyānādipraṇayanairavistṛtya śāstraṃ vitathamevātipātitakāleṣu	vyAKyAna-Adi-praNayanEH-avistRtya SAstram vitaTam-eva-atipAtita-kAlezu
   śiṣyapraśiṣyavargeṣu kumāravedāntācāryādiṣu, atīte ca gaṇarātre	Sizya-praSizya-vargezu kumAra-vedAnta-AcAryAdizu, atIte ca gaNarAtre
   kaiścidarvācīnairāvirbhūtairgranthakṛdbhirajñātapūrvavṛttāntairyathākathañcidvyākhyānena	kEScid-arva-acInEH-AvirBUtEH-granTa-kRdBiH-ajQAta-pUrva-vRttAntEH-yaTA-kaTaQcit-vyAKyAnena
   kaścidupakāraḥ kṛta iti //	kaScid-upakAraH kRtaH iti //
   hanta ! niḥśeṣakṣālitākhilakalaṅkasyāpyasya	hanta ! niHSeza-kzAlita-aKila-kalaFkasya-api-asya
   śrībhagavadrāmānujasiddhāntasyedamekaṃ śocanīyaṃ vaiśasam ; yat	SrI-Bagavat-rAma-anuja-sidDAntasya-idam-ekam SocanIyam vESasam ; yat-
   tāvadācāryapadābhiṣiktairapyarvācīnairbudhavaraiḥ	tAvat-AcArya-pada-aBiziktEH-api-arvAcInEH-buDa-varEH
   kāṇādagautamīyādisāmānyaśāstrapariśrameṇa vyayitavayobhirantime vayasi	kANAda-gOtamIya-Adi-sAmAnya-SAstra-pariSrameNa vyayitavayoBiH-antime vayasi
   kathañcidupajātavedāntatṛṣṇaiḥ	kaTaQcid-upajAta-vedAnta-tRzNEH
   śiṣyasaṃgrahaṇakṛtakṣaṇairavaśyopādeyopadeśaśrībhāṣyādikatipayagranthagrahaṇacaritārthairanādṛtāḥ	Sizya-saMgrahaNa-kRta-kzaNEH-avaSya-upAdeya-upadeSa-SrIBAzya-Adi-katipaya-granTa-grahaNa-carita-arTEH-anAdRtAH
   prācāmācāryāṇāṃ vāgvistarā etarhi śrotumapi durlabhatāṃ gamitārḥ /	prAcAm-AcAryANAm vAc-vistarAH etarhi Srotum-api durlaBa-tAm gamita-arH /
   idṛśoyaṃ vidyāvadhaḥ kasya vā vidyāvyasanino na dūnoti mānasam ? /	idRSoyam vidyOvaDaH kasya vA vidyA-vyasaninaH na dUnoti mAnasam ? /
   athavā kṛtaṃ prācāṃ prabandhapraṇāśacintanena /	aTavA kRtam prAcAm prabanDa-praNASa-cintanena /
   asyaivācāryasya vāṅmadhuniṣyando mudhaiva kiyān na visraṃsitaḥ /	asya-eva-AcAryasya vAc-maDu-nizyandaH muDA-eva kiyAt na visraMsitaH /
   sarvatantrasvatantrāṇāmācāryacaraṇānāṃ śatādhikāḥ prabandhā hāravimalāḥ	sarva-tantra-svatantrANAm-AcArya-caraNAnAm Sata-aDikAH prabanDAH hAra-vimalAH
   prasiddhāḥ /	prasidDAH /
   saṃskṛtaprākṛtadrāviḍabhāṣābhistrarauśikāni kāvyanāṭakastotrāṇi,	saMskRta-prAkRta-drAvixa-BAzA-aBiH-tra-rOSikAni kAvya-nAwaka-stotrANi,
   lokaśāstravyavahāranirūḍhasaṃskṛtavyatikīrṇadrāviḍabhāṣāmayāni ca	lokaSAstra-vyavahAra-nirUXa-saMskRta-vyatikIrNa-drAvixa-BAzA-mayAni ca
   caturtharāśiniviṣṭānilaukikānāmapyanugrāhakāni parīkṣakāṇāmapi	caturTa-rASi-nivizwA-nilOkikAnAm-api-anugrAhakAni parIkzakANAm-api
   sugrahasāṃpradāyikatattvahitapuruṣārthānyādarśavimalāni	sugraha-sAMpradAyika-tattva-hita-puruza-arTAni-AdarSa-vimalAni
   maṇipravālaśabditāni niyataśrāvyatayā rahasyasaṃjñitāni	maNi-pravAla-SabditAni niyata-SrAvya-tayA rahasya-saMjQitAni
   siddhāntaniṣkarṣaṇedaṃparāṇi lokaśreyase jātāni granthajātāni /	sidDAnta-nizkarzaNa-IdaMparANi loka-Sreyase jAtAni granTa-jAtAni /
   tatra vedānte tāvat tattvaṭīkā nāma śrībhagavadrāmānujamunivaraviracitasya	tatra vedAnte tAvat tat-tvawIkA nAma SrI-Bagavat-rAma-anuja-muni-vara-viracitasya
   śārīrakamīmāṃsābhāṣyasya vivṛtirapūrvārthaviśeṣavinyāsaparibhūṣitā	SArIrakamI-mAMsa-ABAzyasya vivRtiH-apUrvA-arTa-viSeza-vinyAsa-pariBUzitA
   traikālyasaṃbhāvanīyānāmaśeṣākṣepāṇāmacalaniścayān parihārānupadarśayantī	trEkAlya-saMBAvanIyAnAm-aSeza-AkzepANAm-acala-niScayAn parihAra-anupadarSayantI
   gaṅgena gaurīguroretasmādācāryavaryādāvirbhūtā /	gaFgena gOrI-guroH-etasmAt-AcArya-varyAt-AvirBUtA /
   sā ca prathamasūtramātramapi yāvadasamagropalabdhapracārā	sA ca praTama-sUtra-mAtram-api yAvat-asamagra-upalabDa-pracArA
   vedāntavidyāvicārakāṅkṣiṇāṃ cintāvyasanāyaiva khaṇḍabhūtā paridṛśyate /	vedAnta-vidyA-vicAra-kAFkziNAm cintA-vyasanAya-eva KaNxa-BUtA paridRSyate /
   vicitrāyodhanākuṇṭhaśaktau tejasvini svāṃ śakti samagramadarśayitvaiva	vicitra-AyoDana-akuNWa-SaktO tejasvini svAm Sakti samagram-adarSayitvA-eva
   niyatiyaiyātyenākasmāduparataṃ yodharatne taṭasthadṛṣṭe kasya vā	niyati-yEyAtyena-akasmAt-uparatam yoDa-ratne tawasTa-dRzwe kasya vA
   vīradharmamanutiṣṭhato hṛdayaṃ na dūyeta /	vIra-Darmam-anutizWataH hRdayam na dUyeta /
   soyamasya nibandharatnasya lope dṛṣṭāntaḥ /	soyam-asya nibanDa-ratnasya lope dRzwAntaH /
   kecinmanyeran ācāryaireva na samāpūritāyaṃ grantha iti, tadetat	kecid-manyeran AcAryEH-eva na samApUrita-ayam granTaH iti, tat-etat
   svopamānena sarvatra śaktiparicchedaṃ kalayatāṃ pralapitamatra na kramate	sva-upamAnena sarvatra Sakti-paricCedam kalayatAm pralapitam-atra na kramate
   trividhāḥ khalu loke prabandhakṛtaḥ---kecidgurukulacirapariśramairanekaśaḥ	triviDAH Kalu loke prabanDa-kRtaH---kecid-guru-kula-cira-pariSramEH-anekaSas-
   śrutān yathāśrutamarthān patreṣu viniveśya prakāśayanto lokamanugṛhṇanti /	SrutAn yaTASrutam-arTAn patrezu viniveSya prakASayantaH lokam-anugRhNanti /
   athetare, ye punarjātyaiva sphaṭikāvadātabuddhayaḥ	aTa-itare, ye punar-jAtyA-eva sPawika-avadAta-budDayaH
   sattvaviśeṣāvirbhāvanistuṣāśayāḥ svataḥ	sattva-viSeza-AvirBAva-nistuza-ASayAH svatas-
   svāntamukuratalasphuṭasaṃkrāntasarvārthapraticchandā api	svAnta-mukura-tala-sPuwa-saMkrAnta-sarva-arTa-praticCandAH api
   saṃpradāyaparirakṣaṇaśraddhalutayā gurūpadeśadarśitāṃ	saMpradAya-parirakzaNa-SradDalu-tayA guru-upadeSa-darSitAm
   padavīmavarjayantaścittaghaṇṭāpatheṣu	pada-vIm-avarjayantaH-citta-GaNwA-paTezu
   samasamayasaṃcaradakhilapramāṇatarkagurūpadeśasaṃpradāyaviśeṣā ekahelayā	sama-samaya-saMcarat-aKila-pramANa-tarka-guru-upadeSa-saMpradAya-viSezAH eka-helayA
   bhūyasorthānayatnena grahītuṃ praṇetumapyarhanti /	BUyasorTAn-ayatnena grahItum praNetum-api-arhanti /
   anye tu nirantarabhajanakṛtaprasadanena bhagavatā sarveśvareṇa	anye tu nirantara-Bajana-kRta-prasadanena BagavatA sarva-ISvareNa
   dūrapratyūḍhapratyūhavipruṣo niḥśreyasāvadhīni kuśalajātānyanubhavituṃ	dUra-pratyUXa-pratyUha-vipruzaH niHSreyasa-avaDIni kuSala-jAtAni-anuBavitum
   nijacaraṇaśaraṇānapyanubhāvayituṃ cākuṇṭhaśaktayastṛtīyakakṣyāniviṣṭāḥ /	nija-caraNa-SaraNAn-api-anuBAvayitum ca-akuNWa-SaktayaH-tRtIya-kakzyA-nivizwAH /
   ta ete vyāsaparāśaravālmīkipramukhairmaharṣigaṇairapi gaṇanīyānubhāvā	te ete vyAsa-parASara-vAlmIki-pramuKEH-mahA-Rzi-gaNEH-api gaNanIya-anuBAvA
   vilakṣaṇāḥ prabandhakṛtaḥ; yeṣāmekapratibhāsūtrasyūtāni prameyaratnāni	vilakzaNAH prabanDa-kRtaH; yezAm-eka-pratiBA-sUtra-syUtAni prameya-ratnAni
   punaḥ punaḥ pariśīlitānyapi navanavānīva prajñāvatāṃ hṛdayeṣu kamapi	punar punar pariSIlitAni-api nava-navAni-iva prajQAvatAm hRdayezu kam-api
   camatkāramāvahanti na ca kadācit purāṇacitravad vicchāyāni bhavanti /	camatkAram-Avahanti na ca kadAcid purANa-citra-vat vicCAyAni Bavanti /
   nyāpariśuddhikṛdācāryastu dvitīyatṛtīyayorubhayorapri kakṣyayoḥ	nyApariSudDi-kRt-AcAryaH-tu dvitIya-tRtIyayoH-uBayoH-apri kakzyayoH
   hārāvalyoriva nāyakamaṇiḥ prakāśata iti tattvavidāmaparokṣam /	hAra-AvalyoH-iva nAyaka-maNiH prakASate iti tattva-vidAm-aparokzam /
   prakṛtisiddhaṃ ca prakrāntasyāntagamanaṃ śaktimatām /	prakRti-sidDam ca prakrAntasya-anta-gamanam SaktimatAm /
   lokānugrahamātraphalā yeṣāṃ sarvāḥ pravṛttayaḥ,	loka-anugraha-mAtra-PalAH yezAm sarvAH pravRttayaH,
   tādṛśānāmayatnanirvartanīye lokopakārārthe samārambhe cikīrṣitavicchedaḥ	tAdRSAnAm-ayatna-nirvartanIye loka-upakAra-arTe samAramBe cikIrzita-vicCedaH
   kathamupapadyate ? /	kaTam-upapadyate ? /
   evaṅguṇena cācāryacūḍāmaṇipavanā śiṣyabuddhiṃ prasādayitumārabdhā	evaFguNena ca-AcArya-cUxAmaNi-pavanA Sizya-budDim prasAdayitum-ArabDA
   kṛtirasamāpya madhye apaviddhā bhavatīti ko nukhalu prabhāvavedī	kRtiH-asam-Apya maDye apavidDA Bavati-iti kaH nuKalu praBAva-vedI
   pratipattumarhati ? /	pratipattum-arhati ? /
   api ca "nikhilanigamaśreṇīcūḍāpariṣkṛtirūpiṇī	api ca "niKila-nigama-SreNI-cUxA-parizkRti-rUpiNI
   nipuṇamanasāmāśāsaudhasthalīṣu nibadhyate /	nipuNa-manasAm-ASA-sODa-sTalIzu nibaDyate /
   yatipatibhuvo bhāṣyasyāsau yathāśratācintita-- pravacanavidhāvaṣṭāviṃśe	yatipati-BuvaH BAzyasya-asO yaTASrata-acintita- pravacana-viDO=-azwAviMSe
   jayadhvajapaṭṭikā" //	jayaDvaja-pawwikA" //
   iti svakṛtasya bhāṣyapravacanasya aṣṭāviṃśyāmāvṛttau	iti sva-kRtasya BAzya-pravacanasya azwAviMSya-AmA-vRttO
   tattvaṭīkānibandhapraṇayanamācāryastattvaṭīkāprārambhe svayameva	tattvawI-kA-nibanDa-praNayanam-AcAryaH-tattvawIkA-prAramBe svayam-eva
   spaṣṭamāha /	spazwam-Aha /
   saṃkalpasūryodayaprastāvanāyāṃ ca--- "viṃśatyabde viśrutanānāvidhavidya-	saMkalpa-sUrya-udaya-prastAvanAyAm ca-- "viMSati-abde viSruta-nAnAviDa-vidya-
   striṃśadvāraṃ śrāvitaśārīrakabhāṣyaḥ /	striMSat-vAram SrAvita-SArIraka-BAzyaH /
   śreyaḥ śrīmān veṅkaṭanāthaḥ śrutipathyaṃ nāthaprītyai nāṭakamarthyaṃ	SreyaH SrImAn veFkawa-nATaH Sruti-paTyam nATa-prItyE nAwakam-arTyam
   vyadhitaitat" //	vyaDita-etat" //
   iti sūtradhāravācā śārīrakabhāṣyapravacanaṃ saṃkalpasūryodayanirmāṇakāle	iti sUtra-DAra-vAcA SArIraka-BAzya-pravacanam saMkalpa-sUrya-udaya-nirmANa-kAle
   triṃśadvārakṛtaṃ prathayati /	triMSat-vAra-kRtam praTayati /
   tadānīmeva triṃśadvāraṃ śārīrakabhāṣyapravacanamāsīdyadi, tataḥ paścāt	tadAnIm-eva triMSat-vAram SArIraka-BAzya-pravacanam-AsIt-yadi, tatas paScAt-
   pravacanāvṛttayastatopi hi bhūyasyo bhavitumarhanti /	pravacana-AvRttayaH-tata-upi hi BUyasyaH Bavitum-arhanti /
   kṛṣṇamiśrasamāgamakālo hi saṃkalpasūryodayanirmāṇasamayaḥ /	kRzNa-miSra-samAgama-kAlaH hi saMkalpa-sUrya-udaya-nirmANa-samayaH /
   tataścāṣṭāviṃśyāmāvṛttau tattvaṭīkānirmāṇaṃ kṛṣṇamiśrasamāgamāt pūrvataraṃ	tatas-ca-azwAviMSyAmA-vRttO tattvawIkA-nirmANam kRzNa-miSra-samAgamAt pUrvataram
   bhavati /	Bavati /
   śatadūṣaṇyāḥ samanantaraṃ tattvaṭīkā kṛteti ca pratīyate /	Sata-dUzaNyAH samanantaram tat-tvawIkA kRtA-iti ca pratIyate /
   uktaṃ hi svayamevācāryaistattvaṭīkāṃ prakramamāṇaiḥ--- "śātitaḥ	uktam hi svayam-eva-AcAryEH-tattvawIkAm prakramamANEH-- "SAtitaH
   śatadūṣaṇyāṃ śaṅkarādimudhāgrahaḥ /	Sata-dUzaNyAm SaFkara-Adi-muDA-grahaH /
   śarīrakaśarīraṃ tu vyaktamatra pradarśyate //	SarIraka-SarIram tu vyaktam-atra pradarSyate //
   " iti /	" iti /
   "śrutaprakāśikā bhūmau yenādau parirakṣitā /	"Sruta-prakASikA BUmO yena-AdO parirakzitA /
   pravartitā ca pātreṣu tasmai śreṣṭhāya maṅgalam //	pravartitA ca pAtrezu tasmE SrezWAya maFgalam //
   " iti kumāravedāntācāryakṛtamaṅgalāśāsanaparāmarśane	" iti kumAra-vedAnta-AcArya-kRta-maFgala-ASAsana-parAmarSane
   śrutaprakāśikāpravacanatatparatvamācāryāṇāṃ tattvaṭīkāpūraṇavighātāya	Sruta-prakASikA-pravacana-tatpara-tvam-AcAryANAm tattvawIka-ApUraNa-viGAtAya
   jātaṃ syāditi cāpātaramaṇīyam /	jAtam syAt-iti ca-apAta-ram-aNIyam /
   śruprakāśikācāryasya himlecchabalopamardalagnasya nijagurusabrahmacāriṇo	Sru-prakASika-AcAryasya himlet-Ca-bala-upamarda-lagnasya nija-guru-sabrahmacAriNaH-
   mumūrṣataḥ prārthanayā tadgrantharakṣaṇapravacanayoraṅgīkārepi naitāvatā	mumUrzataH prArTanayA tad-granTa-rakzaNa-pravacanayoH-aFgIkArepi na-etAvatA
   svakīyaṃ mahīyāṃsaṃ prabandhapraṇayanaprayatnamācāryo vitathīkariṣyati /	svakIyam mahIyAMsam prabanDa-praNayana-prayatnam-AcAryaH vitaTIkarizyati /
   na hmatratyamapūrvamarthajātaṃ granthāntareṇa caritārthaṃ bhavati /	na hmatratyam-apUrvam-arTa-jAtam granTa-antareNa caritArTam Bavati /
   tadidamācāryagranthe kṛtaśramāṇāṃ svata eva suvyaktam /	tat-idam-AcArya-granTe kRta-SramANAm svatas eva su-vyaktam /
   idānīmupalabhyamānaparyantepi tattvaṭīkāgranthakhaṇḍe ye viṣayāḥ	idAnIm-upalaByamAna-paryantepi tattvawI-kA-granTa-KaNxe ye vizayAH
   pratipādyantu, naite śrutaprakāśikāyāmanyatra vā granthāntare pratipattuṃ	pratipAdyantu, na-ete Sruta-prakASikAyAm-anyatra vA granTa-antare pratipattum
   sulabhāḥ /	sulaBAH /
