   bhīṣmaparva	BIzma-parva
   pradakṣiṇaśikho vahniḥ prasādo manasastathā /	pradakziNa-SiKaH vahniH prasAdaH manasaH-taTA /
   lakṣavyaktaṃ jayasyaitaddharmo yatrāsti tatra saḥ // Bhmj_6.16 //	lakza-vyaktam jayasya-etat-DarmaH yatra-asti tatra saH // Bhmd-_6.16 //
   śatānyekena jīyante naiko jeyaḥ śatairapi /	SatAni-ekena jIyante na-ekaH jeyaH SatEH-api /
   taralā hyasidhāreyaṃ niścayo nātra gaṇyate // Bhmj_6.17 //	taralA hi-asi-DArA-iyam niScayaH na-atra gaNyate // Bhmd-_6.17 //
   ityuktvāntarhite kṣipraṃ munīndre saṃjayaṃ nṛpaḥ /	iti-uktvA-antarhite kzipram muni-indre saMjayam nRpaH /
   papraccha dvīpasaṃsthānaṃ sa ca pṛṣṭho 'bhyabhāṣata // Bhmj_6.18 //	papracCa dvIpa-saMsTAnam sa ca pRzWaH aByaBAzata // Bhmd-_6.18 //
   rājanviśāle śītāṃśormaṇḍale darpaṇākṛtau /	rAjan-viSAle SItAMSoH-maNxale darpaNa-AkRtO /
   sphāraṃ sudarśanaṃ dvīpaṃ nikhilaṃ pratibimbitam // Bhmj_6.19 //	sPAram sudarSanam dvIpam niKilam pratibimbitam // Bhmd-_6.19 //
   ekataḥ pippalācchāyamanyataḥ śaśakākṛti /	ekatas pippalAcCAyam-anyatas SaSaka-AkRti /
   dvīpe 'sminmaṇlākāre lavaṇāmbudhiveṣṭite /	dvIpe asmin-maNla-AkAre lavaNa-ambuDi-vezwite /
   karṇikevāmbuje prāṃśurmadhye kanakaparvataḥ // Bhmj_6.20 //	karNikA-iva-ambuje prAMSuH-maDye kanakaparvataH // Bhmd-_6.20 //
   śayānā bhṛdharāścānye pārśvayostasya bhūbhṛtaḥ /	SayAnAH BRDarAH-ca-anye pArSvayoH-tasya BUBRtaH /
   sthitā himālayamukhāḥ spṛśantaḥ pūrvapaścimam // Bhmj_6.21 //	sTitAH himAlaya-muKAH spRSantaH pUrva-paScimam // Bhmd-_6.21 //
   himavānhemakūṭaśca niṣadaśceti dakṣiṇe /	himavAn-hemakUwaH-ca nizadaH-ca-iti dakziNe /
   uttare śṛṅgavānnīlaḥ śvetaśceti mahābalāḥ // Bhmj_6.22 //	uttare SRFgavAn-nIlaH SvetaH-ca-iti mahA-balAH // Bhmd-_6.22 //
   eṣāṃ ratnavicatrāṇāmantare varṣabhūmayaḥ /	ezAm ratna-vicatrANAm-antare varza-BUmayaH /
   karmabhūrbhārataṃ varṣamanyāśca phalabhūmayaḥ // Bhmj_6.23 //	karma-BUH-BAratam varzam-anyAH-ca Pala-BUmayaH // Bhmd-_6.23 //
   harivarṣamukheṣveva prajāsargaḥ smaropamaḥ /	hari-varza-muKezu-eva prajA-sargaH smara-upamaH /
   sthānaṃ sukṛtināṃ yatra vikhyātā gaṇḍikā iti // Bhmj_6.24 //	sTAnam sukRtinAm yatra viKyAtA gaNxikAH iti // Bhmd-_6.24 //
   jambūkhaṇḍaṃ tathā meroradho yatphalavisrutā /	jambUKaNxam taTA meroH-aDas yat-Pala-visrutA /
   jātā jambūnadī śubhrā jāmbunadavidhāyinī // Bhmj_6.25 //	jAtA jambUnadI SuBrA jAmbunada-viDAyinI // Bhmd-_6.25 //
   uttarāḥ kuravaḥ pītvā tāmeva gatamṛtyavaḥ /	uttarAH kuravaH pItvA tAm-eva gata-mRtyavaH /
   divaspṛśastarestasya nāmnedaṃ dvīpamucyate // Bhmj_6.26 //	diva-spRSaH-tareH-tasya nAmnA-idam dvIpam-ucyate // Bhmd-_6.26 //
   ityuktvā saṃjayo gatvā kurukṣetre rāṇāṅgaṇe /	iti-uktvA saMjayaH gatvA kurukzetre rANa-aFgaNe /
   sametya dhṛtarāṣṭrāya śaśaṃya svabhaṭakṣayam // Bhmj_6.27 //	sametya DRtarAzwrAya SaSaMya sva-Bawa-kzayam // Bhmd-_6.27 //
   ***** jambūkhaṇḍanirmāṇam || 1 || *****	***** jambUKaNxa-nirmANam || 1 || *****
   śṛṇu rājanhatānantasāmantaḥ śantanoḥ sutaḥ /	SRNu rAjan-hata-ananta-sAmantaH SantanoH sutaH /
   vidadhe pāṇḍuputrāṇāṃ yathā vijayasaṃśayam // Bhmj_6.28 //	vidaDe pANxu-putrANAm yaTA vijaya-saMSayam // Bhmd-_6.28 //
   vajrasūcīmukhākhyābhyāṃ pyūhābhyāṃ rājakuñjaraiḥ	vajra-sUcI-muKa-AKyAByAm pyUhAByAm rAja-kuQjarEH
   mitho vyūḍheṣvanīkeṣu gāṅgeyenārjunena ca // Bhmj_6.29 //	miTas vyUXezu-anIkezu gAFgeyena-arjunena ca // Bhmd-_6.29 //
   tasminkṣattrakṣayakṣetre sarvakṣattrasamāgame /	tasmin-kzattra-kzaya-kzetre sarva-kzattra-samAgame /
   duryodhane 'tisaṃrabdhe pṛthusainyābhimānini // Bhmj_6.30 //	duryoDane ati-saMrabDe pRTu-sEnya-aBimAnini // Bhmd-_6.30 //
   gāṅgeyaśaṅkhanādena samudbhūte balārṇave /	gAFgeya-SaFKa-nAdena samudBUte bala-arNave /
   śaṅkhaśabdena pārthānāṃ pāñcajanyānuyāyinā // Bhmj_6.31 //	SaFKa-Sabdena pArTAnAm pAQcajanya-anuyAyinA // Bhmd-_6.31 //
   pūrite bhuvanābhoge dikṣu visphūrjitāsviva /	pUrite Buvana-ABoge dikzu visPUrjitAsu-iva /
   sarvasenāśrayaḥ śrīmānvijayo 'cyutasārathiḥ // Bhmj_6.32 //	sarvasena-ASrayaH SrImAn-vijayaH acyuta-sAraTiH // Bhmd-_6.32 //
   dadarśa kurusenāsu gurusaṃbandhibāndhavān /	dadarSa kuru-senAsu guru-saMbanDi-bAnDavAn /
   nijapratāpadahane sa teṣāṃ śalabhāyitam /	nija-pratApa-dahane sa tezAm SalaBAyitam /
   matvā jagāda govindaṃ viṣaṇṇaḥ karuṇānidhiḥ // Bhmj_6.33 //	matvA jagAda govindam vizaNNaH karuNA-niDiH // Bhmd-_6.33 //
   aho vata vimūḍhānāṃ rājyaleśe sukhāya naḥ /	aho vata vimUXAnAm rAjya-leSe suKAya naH /
   kṛṣṇa bandhuvadhe 'pyasminsasaṃrambho 'yamudyamaḥ // Bhmj_6.34 //	kRzNa banDu-vaDe api-asmin-sa-saMramBaH ayam-udyamaH // Bhmd-_6.34 //
   avatīrya sadācārastutikramyakulasthitim /	avatIrya sat-AcAra-stuti-kramya-kula-sTitim /
   kathaṃ guruvadhaprāpyāṃ bhajedasmadvidhaṛ śriyam // Bhmj_6.35 //	kaTam guru-vaDa-prApyAm Bajet-asmad-viDaR Sriyam // Bhmd-_6.35 //
   ityuktvā sāsrunayano bībhatsuḥ kṛpayā rathe /	iti-uktvA sa-asru-nayanaH bIBatsuH kRpayA raTe /
   karādutsṛjya gāṇḍīvaṃ niṣasāda viṣādavān // Bhmj_6.36 //	karAt-utsRjya gANxIvam nizasAda vizAdavAn // Bhmd-_6.36 //
   ***** śrīmadbhagavadgītāsu prathamo 'dhyāyaḥ || 2 || *****	***** SrImat-Bagavat-gItAsu praTamaH aDyAyaH || 2 || *****
   taṃ dṛṣṭvā śokavivaśaṃ jagāda madhusūdanaḥ /	tam dRzwvA Soka-vivaSam jagAda maDusUdanaH /
   akāṇḍe dhairyasārasya keyaṃ kātaratā tava // Bhmj_6.37 //	akANxe DErya-sArasya kA-iyam kAtara-tA tava // Bhmd-_6.37 //
   tarasvī kṣatriyo mānī prāṇairapi yaśaḥkrayī /	tarasvI kzatriyaH mAnI prANEH-api yaSaH-krayI /
   nijāṃ kulasthitiṃ pārtha na dharmyāṃ hātumarhasi // Bhmj_6.38 //	nijAm kula-sTitim pArTa na DarmyAm hAtum-arhasi // Bhmd-_6.38 //
   saṃyuktaṃ vā viyuktaṃ vā nityaṃ dehena dehinam /	saMyuktam vA viyuktam vA nityam dehena dehinam /
   viśvamāyāprapañce 'smanko 'nuśocati tattvadhīḥ // Bhmj_6.39 //	viSva-mAyA-prapaQce asman-kaH anuSocati tattva-DIH // Bhmd-_6.39 //
   sukhādyavasthā dehasya kāle kāle yathāvidhāḥ /	suKa-Adi-avasTAH dehasya kAle kAle yaTAviDAH /
   dehino 'sya tathā dehāḥ sataḥ sattāvivarjitāḥ // Bhmj_6.40 //	dehinaH asya taTA dehAH sataH sattA-vivarjitAH // Bhmd-_6.40 //
   viṣayendriyasaṃyogānkṣayino harṣaśokadān /	vizaya-indriya-saMyogAn-kzayinaH harza-Soka-dAn /
   sahate yo viluptātmā nirvāṇaṃ tasya śāśvatam // Bhmj_6.41 //	sahate yaH vilupta-AtmA nirvANam tasya SASvatam // Bhmd-_6.41 //
   ajasya purāṇasya dehino 'syāvināśinaḥ /	ajasya purANasya dehinaH asya-avinASinaH /
   jīrṇaparṇaparāvṛttitulyeyaṃ dehakalpanā // Bhmj_6.42 //	jIrNa-parNa-parAvRtti-tulyA-iyam deha-kalpanA // Bhmd-_6.42 //
   ādimadhyāvasāneṣu vyaktāvyaktasvarūpiṇaḥ /	Adi-maDya-avasAnezu vyakta-avyakta-svarUpiNaH /
   sata evāsya satataṃ na virāmaḥ śarīriṇaḥ // Bhmj_6.43 //	sataH eva-asya satatam na virAmaH SarIriNaH // Bhmd-_6.43 //
   ayaśasyamatastyaktvā saṃkocaṃ vipulāśayaḥ /	ayaSasyam-atas-tyaktvA saMkocam vipula-ASayaH /
   jayājayau samaṃ matvā viśa svargonmukho raṇam // Bhmj_6.44 //	jaya-ajayO samam matvA viSa svarga-unmuKaH raNam // Bhmd-_6.44 //
   āsthāya yaugikīṃ buddhiṃ karmabandhavivarjitaḥ /	AsTAya yOgikIm budDim karma-banDa-vivarjitaH /
   śuṣkavedakriyāhīnaṃ guṇātītaṃ padaṃ bhuja // Bhmj_6.45 //	Suzka-veda-kriyA-hInam guNa-atItam padam Buja // Bhmd-_6.45 //
   sarvavedeṣu viduṣāmetadeva prayojanam /	sarva-vedezu viduzAm-etat-eva prayojanam /
   jalāśayeṣu pūrṇeṣu yathā salilahāriṇām // Bhmj_6.46 //	jalASayezu pUrNezu yaTA salila-hAriNAm // Bhmd-_6.46 //
   niḥsaṅgaḥ phalasaṃnyāsī kuru karma sadoditaḥ /	niHsaFgaH Pala-saMnyAsI kuru karma sadA-uditaH /
   parameśvaramevāhi(?)vāṇijyaṃ hi phalārthinām // Bhmj_6.47 //	parameSvaram-eva-ahi(?)vANijyam hi Pala-arTinAm // Bhmd-_6.47 //
   yadā te vītamohasya buddhiryāsyati nirvṛtim /	yadA te vIta-mohasya budDiH-yAsyati nirvRtim /
   kṛtī bhaviṣyasi tadā śruteṣvartheṣvanādaraḥ // Bhmj_6.48 //	kRtI Bavizyasi tadA Srutezu-arTezu-anAdaraH // Bhmd-_6.48 //
   iti bruvāṇaḥ pārthena sthitaprajñasya lakṣaṇam /	iti bruvANaH pArTena sTita-prajQasya lakzaNam /
   pṛṣṭaḥ samādhisaktasya bhagavānityabhāṣata // Bhmj_6.49 //	pRzwaH samADi-saktasya BagavAn-iti-aBAzata // Bhmd-_6.49 //
   īśvarādaparo nāhamiti svānandanirbharaḥ /	ISvarAt-aparaH na-aham-iti sva-Ananda-nirBaraH /
   nirastākhilasaṃkalpaḥ sthitaprajño 'bhidhīyate // Bhmj_6.50 //	nirasta-aKila-saMkalpaH sTita-prajQaH aBiDIyate // Bhmd-_6.50 //
   āste kūrma ivāṅgāni kāmānsaṃvṛtyayaḥ śrayam /	Aste kUrmaH iva-aFgAni kAmAn-saMvRtyayaH Srayam /
   viṣayādhyānavirahātsthitadhīrna sa naśyati // Bhmj_6.51 //	vizaya-aDyAna-virahAt-sTita-DIH-na sa naSyati // Bhmd-_6.51 //
   kaṣṭaistapobhirviṣayāḥ śuṣyantyeva rasaṃ vinā /	kazwEH-tapoBiH-vizayAH Suzyanti-eva rasam vinA /
   anādaraviraktānāṃ sadāpyadhyātmadarśinām // Bhmj_6.52 //	anAdara-viraktAnAm sadA-api-aDyAtma-darSinAm // Bhmd-_6.52 //
   nidrārlubhūtakāleṣu prabuddhistimireṣu yaḥ /	nidrA-arlu-BUta-kAlezu prabudDiH-timirezu yaH /
   sa mahābdhirivākṣobhyaḥ sthitiṃ brāhmīṃ prapadyate // Bhmj_6.53 //	sa mahA-abDiH-iva-akzoByaH sTitim brAhmIm prapadyate // Bhmd-_6.53 //
   ***** śrīgītāsu dvitīyo 'dhyāyaḥ || 3 || *****	***** SrIgItAsu dvitIyaH aDyAyaH || 3 || *****
   śrutvaitadarjunaḥ kṛṣṇamuvācākulitāśayaḥ /	SrutvA-etat-arjunaH kRzNam-uvAca-Akulita-ASayaH /
   kathamevaṃ vadanghore samare 'sminyunakṣi mām // Bhmj_6.54 //	kaTam-evam vadan-Gore samare asmin-yunakzi mAm // Bhmd-_6.54 //
   karmaṇaḥ śreyasī buddhirityuktvāpi svayaṃ vibho /	karmaNaH SreyasI budDiH-iti-uktvA-api svayam viBo /
   karma durmatiyogyaṃ māṃ praśaṃsasi vimohayan // Bhmj_6.55 //	karma durmati-yogyam mAm praSaMsasi vimohayan // Bhmd-_6.55 //
   śreyo vadetyuktavati śvetāśve keśavo 'bravīt /	SreyaH vada-iti-uktavati Sveta-aSve keSavaH abravIt /
   niṣṭhā prajñānakarmabhyāṃ mayoktā sāṃkhyayogayoḥ // Bhmj_6.56 //	nizWA prajQAna-karmaByAm mayA-uktA sAMKya-yogayoH // Bhmd-_6.56 //
   anārambhānna ca tyāgātkarmaṇo mucyate janaḥ /	anAramBAt-na ca tyAgAt-karmaNaH mucyate janaH /
   śrotrādayo balādasya dhāvantyeva svakarmasu // Bhmj_6.57 //	Srotra-AdayaH balAt-asya DAvanti-eva sva-karmasu // Bhmd-_6.57 //
   smaranti manasā sarvaṃ ruddhakarmendriyā api /	smaranti manasA sarvam rudDa-karmendriyAH api /
   mithyācārānatvasaktāḥ(?)karmiṇo niyatāntarāḥ // Bhmj_6.58 //	miTyA-AcArAnatva-saktAH(?)karmiNaH niyata-antarAH // Bhmd-_6.58 //
   śreyo hyakarmaṇaḥ karma na yajñaḥ karmaṇā vinā /	SreyaH hi-akarmaNaH karma na yajQaH karmaNA vinA /
   yajñaśeṣāśinaḥ puṇyadrumāḥ kevalabhoginaḥ // Bhmj_6.59 //	yajQa-Seza-ASinaH puNya-drumAH kevala-BoginaH // Bhmd-_6.59 //
   karmasthito 'pi niḥsaṃjño(saṅgo) yadā prāpnoti mānavaḥ /	karma-sTitaH api niHsaMjQaH-(saFgo) yadA prApnoti mAnavaH /
   ātmārāmadaśāstuṣṭhastadā kāryānnivartate // Bhmj_6.60 //	Atma-ArAma-daSAH-tuzWaH-tadA kAryAt-nivartate // Bhmd-_6.60 //
   karmaṇaiva gatāḥ siddhiṃ janakapramukhāḥ purā /	karmaNA-eva gatAH sidDim janaka-pramuKAH purA /
   tanmā kāryānnivartasva lokastvāmanuvartatām // Bhmj_6.61 //	tat-mA kAryAt-nivartasva lokaH-tvAm-anuvartatAm // Bhmd-_6.61 //
   mamāpi kṛtakṛtyasya karmedaṃ sthitirakṣiṇaḥ /	mama-api kRtakRtyasya karma-idam sTiti-rakziNaH /
   vinasyatyanyathā loko matpramāṇaviśṛṅkhalaḥ // Bhmj_6.62 //	vinasyati-anyaTA lokaH mad-pramANa-viSRFKalaH // Bhmd-_6.62 //
   pātraṃ sarvajñayogyeṣu nādareṣu pṛthagjanaḥ /	pAtram sarvajQa-yogyezu na-Adarezu pRTagjanaH /
   tasmānnotsāhayedetānpaṅgūnvegagatāniva // Bhmj_6.63 //	tasmAt-na-utsAhayet-etAn-paFgUn-vega-gatAn-iva // Bhmd-_6.63 //
   yudhyasva sarvakarmāṇi mayi saṃnyasya nirvṛtaḥ /	yuDyasva sarva-karmANi mayi saMnyasya nirvRtaH /
   taranti hi tamo ghoraṃ nityaṃ manmatavartinaḥ // Bhmj_6.64 //	taranti hi tamaH Goram nityam mad-mata-vartinaH // Bhmd-_6.64 //
   prakṛterucitaṃ sarvaṃ svadharmanirataḥ kuru /	prakRteH-ucitam sarvam svaDarma-nirataH kuru /
   rāgadveṣau parityajya priyāpriyasamudbhavau // Bhmj_6.65 //	rAga-dvezO parityajya priya-apriya-samudBavO // Bhmd-_6.65 //
   śrutvaitadarjuno 'vādītpreritaḥ kena pātakam /	SrutvA-etat-arjunaH avAdIt-preritaH kena pAtakam /
   caratyanīśvaraḥ prāṇī balādiva vaśīkṛtaḥ // Bhmj_6.66 //	carati-anISvaraH prANI balAt-iva vaSIkRtaH // Bhmd-_6.66 //
   iti pṛṣṭo hṛṣīkeśo jagāda jagatāṃ patiḥ /	iti pRzwaH hRzIkeSaH jagAda jagatAm patiH /
   rajoguṇasamutthena harṣaśokādidāyinā // Bhmj_6.67 //	rajaH-guNa-samutTena harza-Soka-Adi-dAyinA // Bhmd-_6.67 //
   lokasaṃhāraśīlena kāmena krodhabandhunā /	loka-saMhAra-SIlena kAmena kroDa-banDunA /
   ahaṃkāreṇa balinā ghoreṇānena vairiṇā // Bhmj_6.68 //	ahaMkAreNa balinA GoreNa-anena vEriNA // Bhmd-_6.68 //
   śevālenaiva salilaṃ rajasevāmalaṃ nabhaḥ /	SevAlena-eva salilam rajasA-iva-amalam naBaH /
   āvṛto malinonātmā meghenaivodito raviḥ // Bhmj_6.69 //	AvRtaH malina-Una-AtmA meGena-eva-uditaH raviH // Bhmd-_6.69 //
   manobuddhisamāyuktaṃ sthānamindriyapañjaram /	manaH-budDi-samAyuktam sTAnam-indriya-paQjaram /
   yasya taṃ duḥsahaṃ śatruṃ kāmarūpa vināśaya // Bhmj_6.70 //	yasya tam duHsaham Satrum kAmarUpa vinASaya // Bhmd-_6.70 //
   ***** śrīgītāsu tṛtīyo 'dhyāyaḥ || 4 || *****	***** SrIgItAsu tRtIyaH aDyAyaH || 4 || *****
   sūryeṇāptaḥ purā matto yogo 'yaṃ manunā tataḥ /	sUryeNa-AptaH purA mattaH yogaH ayam manunA tatas /
   ya eva kālenotsannastubhyamadya mayoditaḥ // Bhmj_6.71 //	yaH eva kAlena-utsannaH-tuByam-adya mayA-uditaH // Bhmd-_6.71 //
   anekajanmasākṣī tvaṃ bhaktaḥ sahacaro 'pi me /	aneka-janma-sAkzI tvam BaktaH sahacaraH api me /
   na tatsmṛtipathaṃ yātaṃ kiṃtu te prāktanaṃ vapuḥ // Bhmj_6.72 //	na tad-smRti-paTam yAtam kiMtu te prAktanam vapuH // Bhmd-_6.72 //
   ahaṃ tu nityadharamasya sthitaye guptaye satām /	aham tu nitya-Daram-asya sTitaye guptaye satAm /
   yuge yuge bhavāmyeṣa vināśāya dṛrātmanām // Bhmj_6.73 //	yuge yuge BavAmi-eza vinASAya dRrAtmanAm // Bhmd-_6.73 //
   akṛtaṃ dharmakartāraṃ karmaitannāvṛṇoti mām /	akRtam Darma-kartAram karma-etat-na-AvRNoti mAm /
   tvamapyasakto niṣkāmaḥ kuru karma kulocitam // Bhmj_6.74 //	tvam-api-asaktaH nizkAmaH kuru karma kula-ucitam // Bhmd-_6.74 //
   durjñeyaḥ pravibhāgastu karmākarmavikarmaṇām /	durjQeyaH praviBAgaH-tu karma-akarma-vikarmaNAm /
   svocitaṃ phalahīnaṃ ca viruddhaṃ ceti bhedataḥ // Bhmj_6.75 //	sva-ucitam Pala-hInam ca virudDam ca-iti BedataH // Bhmd-_6.75 //
   karmaṇaḥ phalasaṃnyāsādyo 'nupaśyatyakarmatām /	karmaNaH Pala-saMnyAsa-At-yaH anupaSyati-akarmatAm /
   jānātyakarmaṇaḥ pāpātkarma yaśca sa buddhimān // Bhmj_6.76 //	jAnAti-akarmaNaH pApAt-karma yaH-ca sa budDimAn // Bhmd-_6.76 //
   jñānāgninā dagdhakarmā nityānando nirāśrayaḥ /	jQAna-agninA dagDa-karmA nitya-AnandaH nirASrayaH /
   nirāśīrnirahaṃkāro yajvā brahmaṇi līyate // Bhmj_6.77 //	nirASIH-nirahaMkAraH yajvA brahmaNi lIyate // Bhmd-_6.77 //
   brahmārpaṇena brahmagnau hutvā brahmamayaṃ haviḥ /	brahma-arpaNena brahma-gnO hutvA brahma-mayam haviH /
   prāṇayajñarato yāti brahma brahmasamādhinā // Bhmj_6.78 //	prANa-yajQa-rataH yAti brahma brahma-samADinA // Bhmd-_6.78 //
   saṃyamāgnāvindriyāṇi viṣayānindriyānale /	saMyama-agnO=-indriyANi vizayAn-indriya-anale /
   tatkarmāṇyātmayogāgnau hutvā yānti parāṃ gatim // Bhmj_6.79 //	tad-karmANi-Atma-yoga-agnO hutvA yAnti parAm gatim // Bhmd-_6.79 //
   ye 'pi dravyatapoyogasvādhyāyajñānayājinaḥ /	ye api dravya-tapaH-yoga-svADyAya-jQAna-yAjinaH /
   prāṇāpānādiha viṣo dhṛtvā nāḍīṣu dhāraṇam // Bhmj_6.80 //	prANa-apAnAt-iha vizaH DRtvA nAxIzu DAraNam // Bhmd-_6.80 //
   samarpayanti nikhilaṃ jñānaṃ vigatakalmaṣāḥ /	samarpayanti niKilam jQAnam vigata-kalmazAH /
   te prayānti paraṃ dhāma yajñaśiṣṭāmṛtāśinaḥ // Bhmj_6.81 //	te prayAnti param DAma yajQa-Sizwa-amRta-ASinaH // Bhmd-_6.81 //
   tadvidhāḥ praṇipātena sevitā jñāninastvayā /	tadviDAH praNipAtena sevitAH jQAninaH-tvayA /
   ayatnāttvāṃ vidhāsyanti svātmanyakhiladarśinam // Bhmj_6.82 //	ayatnAt-tvAm viDAsyanti sva-Atmani-aKila-darSinam // Bhmd-_6.82 //
   jñānāgninā dagdhapāpaḥ pavitreṇa bhaviṣyasi /	jQAna-agninA dagDa-pApaH pavitreNa Bavizyasi /
   kālena śraddadhānānāṃ svayaṃ jñānaṃ prasīdati // Bhmj_6.83 //	kAlena SraddaDAnAnAm svayam jQAnam prasIdati // Bhmd-_6.83 //
   naśyanti saṃśayajuṣo mūḍhā na tvastasaṃśayāḥ /	naSyanti saMSaya-juzaH mUXAH na tu-asta-saMSayAH /
   jñāninaḥ saṃśayaṃ tvasmātsthitvottiṣṭha vibhūtaye // Bhmj_6.84 //	jQAninaH saMSayam tu-asmAt-sTitvA-uttizWa viBUtaye // Bhmd-_6.84 //
   ***** śrīgītāsu caturtho 'dhyāyaḥ || 5 || *****	***** SrIgItAsu caturTaH aDyAyaH || 5 || *****
   niśamya tatpunaḥ pārthaḥ papraccha madhusūdanam /	niSamya tat-punar pArTaH papracCa maDusUdanam /
   saṃnyāsakarmayogābhyāṃ śreyo brūhi janārdana // Bhmj_6.85 //	saMnyAsa-karma-yogAByAm SreyaH brUhi janArdanaH // Bhmd-_6.85 //
   iti pṛṣṭo 'vadacchaurirubhāvetau vimuktaye /	iti pRzwaH avadat-SOriH-uBO=-etO vimuktaye /
   karmayogastu saṃnyāsādviśiṣṭa iti me matiḥ // Bhmj_6.86 //	karma-yogaH-tu saMnyAsAt-viSizwaH iti me matiH // Bhmd-_6.86 //
   śṛṇvanto 'pi vadanto 'pi spṛśanto 'pi svakarmaṇi /	SRNvantaH api vadantaH api spRSantaH api sva-karmaNi /
