   //mahāprasthānikaṃ parva//	//-mahAprasTAnikam parva//
   śirīṣapelavatanuḥ papāta drupadātmajā // Bhmj_17.11 //	SirIza-pelava-tanuH papAta drupada-AtmajA // Bhmd-_17.11 //
   tāṃ yātajīvitāṃ dṛṣṭvā bhīmaḥ prāha yudhiṣṭhiram /	tAm yAta-jIvitAm dRzwvA BImaH prAha yuDizWiram /
   rājanpāñcālarājasya suteyaṃ patitā bhuvi // Bhmj_17.12 //	rAjan-pAQcAla-rAjasya sutA-iyam patitAH Buvi // Bhmd-_17.12 //
   cintayannapi paśyāmi nāsyāḥ kimapi kilbiṣam /	cintayan=-api paSyAmi na-asyAH kim-api kilbizam /
   kasmādeṣā tapoyegaṃ tyaktvā pañcatvamāgatā // Bhmj_17.13 //	kasmAt-ezA tapaH-yegam tyaktvA paQcatvam-AgatAH // Bhmd-_17.13 //
   dharmasūnurniśamyaitadanāvṛttamukho 'vadat /	Darma-sUnuH-niSamya-etat-anAvRtta-muKaH avadat /
   babhuva pakṣapāto 'syāḥ sarvadābhyadhikor'june // Bhmj_17.14 //	baBuva pakzapAtaH asyAH sarvadA-aByaDikor-ajune // Bhmd-_17.14 //
   ityukte bhūmipālena sahadevo 'patadbhuvi /	iti-ukte BUmipAlena sahadevaH apatat-Buvi /
   tasminnipatite pṛṣṭo bhīmenoce nṛpaḥ punaḥ // Bhmj_17.15 //	tasmin-nipatite pRzwaH BImena-Uce nRpaH punar // Bhmd-_17.15 //
   eṣa prajñābhimānena jaḍaṃ jagadamanyata /	eza prajQA-aBimAnena jaxam jagat-amanyata /
   iti dharmasutenokte papāta nakulaḥ kṣitau // Bhmj_17.16 //	iti Darmasutena-ukte papAta nakulaH kzitO // Bhmd-_17.16 //
   rājā pṛṣṭo 'tha bhīmena vrajannevābravītpunaḥ /	rAjA pRzwaH aTa BImena vrajan=-eva-abravIt-punar /
   rūpamānī smareṇāpi spardhāmeṣa na ca kṣamī // Bhmj_17.17 //	rUpa-mAnI smareNa-api sparDAm-eza na ca kzamI // Bhmd-_17.17 //
   ityukte vrajatā rājñā nipapāta dhanaṃjayaḥ /	iti-ukte vrajatA rAjQA nipapAta DanaMjayaH /
   punaśca pṛṣṭo bhīmena jagāda jagatīpatiḥ // Bhmj_17.18 //	punar-ca pRzwaH BImena jagAda jagatIpatiH // Bhmd-_17.18 //
   śūramānī cacāraiṣa śithilaṃ samarāṅgane /	SUra-mAnI cacAra-eza SiTilam samara-aFgane /
   iti bruvāṇo bhūpālo jagāmaivāviluptadhīḥ // Bhmj_17.19 //	iti bruvANaH BUpAlaH jagAma-eva-avilupta-DIH // Bhmd-_17.19 //
   bhīmastato nipatitaḥ patito 'smītyuvāca tam /	BImaH-tatas nipatitaH patitaH asmi-iti-uvAca tam /
   so 'bravīdbaladarpo 'bhūdbhīma bahvaśanasya te // Bhmj_17.20 //	saH abravIt-bala-darpaH aBUt-BIma bahu-aSanasya te // Bhmd-_17.20 //
   tato 'bhūdeka evātha vrajannanugataḥ śunā /	tatas aBUt-ekaH eva-aTa vrajan=-anugataH SunA /
   dadarśa sākṣādāyātaṃ rathenendraṃ yudhiṣṭhiraḥ // Bhmj_17.21 //	dadarSa sAkzAt-AyAtam raTena-indram yuDizWiraH // Bhmd-_17.21 //
   rājanmatpuramehīti śakreṇokto jagāda saḥ /	rAjan-mad-puram-ehi-iti SakreNa-uktaH jagAda saH /
   śunā virahitaḥ svargaṃ saśarīro na kāmaye // Bhmj_17.22 //	SunA virahitaH svargam sa-SarIraH na kAmaye // Bhmd-_17.22 //
   tamabravītsurapatiḥ śunāṃ svarge kuto gatiḥ /	tam-abravIt-surapatiH SunAm svarge kutas gatiH /
   dhiṣṇyamārohatu śveti tvadanyaḥ ko 'nubhāṣate // Bhmj_17.23 //	DizNyam-Arohatu SvA-iti tvad-anyaH kaH anuBAzate // Bhmd-_17.23 //
   tatastamūce nṛpatirbhaktatyāgaṃ kathaṃ sahe /	tatas-tam-Uce nRpatiH-Bakta-tyAgam kaTam sahe /
   bhaktavidveṣiṇaḥ svarge nṛśaṃsasya kuto gatiḥ // Bhmj_17.24 //	Bakta-vidveziNaH svarge nRSaMsasya kutas gatiH // Bhmd-_17.24 //
   yadyasti sukutaṃ kiṃcinmama tena sureśvara /	yadi-asti su-kutam kiMcid-mama tena sureSvara /
   yātu svargaṃ sadehaḥ svā nainaṃ tyaktuṃ samutsahe // Bhmj_17.25 //	yAtu svargam sa-dehaH svAH na-enam tyaktum samutsahe // Bhmd-_17.25 //
   strīvadhenaiva sadṛśaṃ brahmasvaharaṇena ca /	strI-vaDena-eva sadRSam brahma-sva-haraNena ca /
   sarvapāpātmakaṃ santo bhaktatyāgaṃ pracakṣate // Bhmj_17.26 //	sarva-pApa-Atmakam santaH Bakta-tyAgam pracakzate // Bhmd-_17.26 //
   ityukte dharmarājena dharmastyaktvā śvavigraham /	iti-ukte DarmarAjena DarmaH-tyaktvA Sva-vigraham /
   tamūce putra tuṣṭo 'smi sadvṛttena tavāmunā // Bhmj_17.27 //	tam-Uce putra tuzwaH asmi sat-vRttena tava-amunA // Bhmd-_17.27 //
   dṛṣṭo 'si pāthaso hetoḥ purā dvaitavane mayā /	dRzwaH asi pATasaH hetoH purA dvEtavane mayA /
   svasti te vraja bhūpāla saśarīraḥ surālayam // Bhmj_17.28 //	svasti te vraja BUpAla sa-SarIraH surAlayam // Bhmd-_17.28 //
   iti pitrā samādiṣṭo vimānaṃ vipulaprabham /	iti pitrA samAdizwaH vimAnam vipula-praBam /
   āruhya puṇyasopānaṃ viveśa suramandiram // Bhmj_17.29 //	Aruhya puNya-sopAnam viveSa sura-mandiram // Bhmd-_17.29 //
   pūjyamānaḥ suraiḥ sārdhaṃ munibhirnāradādibhiḥ /	pUjyamAnaH surEH sArDam muniBiH-nArada-AdiBiH /
   rājarṣitārakāmadhye sa rarājāṃśumāniva // Bhmj_17.30 //	rAjarzi-tArakA-maDye sa rarAja-aMSumAn-iva // Bhmd-_17.30 //
   tataḥ sa śakramavadbhrātaro yatra me sthitāḥ /	tatas sa Sakrama-vat-BrAtaraH yatra me sTitAH /
   śyāmā ca yatra dayitā tatra vāso mamepsitaḥ // Bhmj_17.31 //	SyAmA ca yatra dayitA tatra vAsaH mama-IpsitaH // Bhmd-_17.31 //
   tamabravītsahasrākṣo bhāvaṃ mā mānuṣaṃ gamaḥ /	tam-abravIt-sahasrAkzaH BAvam mA mAnuzam gamaH /
   rājarṣibhiranāsādyāṃ prāpto 'si gatimuttamām // Bhmj_17.32 //	rAjarziBiH-anAsa-AdyAm prAptaH asi gatim-uttamAm // Bhmd-_17.32 //
   ityukto 'pyasakṛdyatnādvajriṇā dharmanandanaḥ /	iti-uktaH api-asakRt-yatnAt-vajriNA DarmanandanaH /
   bhrātṝnavāptumicchāmītyabhāṣata punaḥ punaḥ // Bhmj_17.33 //	BrAtLn-avAptum-icCAmi-iti-aBAzata punar punar // Bhmd-_17.33 //
   iti śrīkṣemendraviracitāyāṃ bhāratamañjaryāṃ mahāprasthānikaṃ parva	iti SrIkzema-indra-viracitAyAm BArata-maQjaryAm mahAprasTAnikam parva
