   śrīgaruḍamahāpurāṇam	SrI garuxa mahApurANam
   vasundharā kimarthaṃ ca kutaḥ strīśabdakīrtanam // GarP_2,1.33 //	vasunDarA kimarTam ca kutas strI Sabda kIrtanam // GarP_2,1.33 //
   yamasūktaṃ kimarthaṃ ca udīcyā diśamāharet /	yama sUktam kim arTam ca udIcyAH diSam Aharet /
   pānīyamekavastreṇa sūryabimbanirīkṣaṇam // GarP_2,1.34 //	pAnIyam eka vastreNa sUrya bimba nirIkzaNam // GarP_2,1.34 //
   yavasarṣapadūrvāstu pāṣāṇe nimbapatrakam /	yava sarzapa dUrvAstu pAzANe nimba patrakam /
   vastraṃ naraśca nārī ca vidadhyādadharottaram // GarP_2,1.35 //	vastram naraH ca nArI ca vidaDyAt aDara uttaram // GarP_2,1.35 //
   annādyaṃ gṛhamāgatya na bhoktavyaṃ janaiḥ saha /	annAdyam gRham Agatya na Boktavyam janEH saha /
   navakāṃścaiva piṇḍāṃśca kimarthaṃ dadate sutāḥ // GarP_2,1.36 //	navakAn= ca eva piNxAn= ca kim arTam dadate sutAH // GarP_2,1.36 //
   kimarthaṃ catvare dugdhaṃ yātre pakve ca mṛnmaye /	kimarTam catvare dugDam yAtre pakve ca mRd maye /
   kāṣṭhatrayaṃ gaṇābaddhaṃ kṛtvā rātrau catuṣpathe // GarP_2,1.37 //	kAzWa trayam gaNa AbadDam kRtvA rAtrO catuzpaTe // GarP_2,1.37 //
   niśāyāṃ dīyate dīpo yāvadabdaṃ dinedina /	niSAyAm dIyate dIpaH yAvat abdam dinedinaH /
   dāhodakaṃ kimarthaṃ ca kimarthaṃ ca janaiḥ saha // GarP_2,1.38 //	dAha udakam kim arTam ca kim arTam ca janEH saha // GarP_2,1.38 //
   bhagavannāti vāhaśca nava piṇḍāḥ pradāpayet /	Bagavat na ati vAhaH ca nava piNxAH pradApayet /
   kathaṃ deyaṃ pitṛbhyaśca vāhasyāvāhanaṃ katham // GarP_2,1.39 //	kaTam deyam pitRByaH ca vAhasya AvAhanam kaTam // GarP_2,1.39 //
   idañcetkriyate deva kasmātpiṇḍaṃ pradāpayet /	idaQcet kriyate deva kasmAt piNxam pradApayet /
   kiṃ tatpradīyate tasya piṇḍadānādyanantaram // GarP_2,1.40 //	kim tat pradIyate tasya piNxa dAna Adi anantaram // GarP_2,1.40 //
   asthisañcayanaṃ caiva ghaṭasphoṭaṃ tathaiva ca /	asTi saQcayanam ca eva GawasPowam taTA eva ca /
   dvitīye 'hni kutaḥ snānaṃ caturthe sāgnike dvije // GarP_2,1.41 //	dvitIye ahni kutas snAnam caturTe sa agnike dvije // GarP_2,1.41 //
   daśame kiṃ malasnānaṃ kāryaṃ sarvajanaiḥ saha /	daSame kim mala snAnam kAryam sarva janEH saha /
   kasmāttailodvartanaṃ ca skandhavāhagṛhaṃ nayet // GarP_2,1.42 //	kasmAt tEla udvartanam ca skanDa vAha gRham nayet // GarP_2,1.42 //
   tailodvartanakaṃ cāpi dadhuḥ sthūlajalāśaye /	tEla udvartanakam ca api daDuH sTUla jala ASaye /
   daśame 'hani yatpiṇḍaṃ taddadyā dāmiṣeṇa tu // GarP_2,1.43 //	daSame ahani yat piNxam tat dadyA dAmizeNa tu // GarP_2,1.43 //
   piṇāñcaikādaśe kasmādvṛṣotsargādipūrvakam /	piNAQca ekAdaSe kasmAt vRzotsarga Adi pUrvakam /
   bhājanopānahau cchatraṃ vāsāṃsi tvaṅgulīyakam // GarP_2,1.44 //	BAjana upAnahO cCatram vAsAMsi tu aFgulIyakam // GarP_2,1.44 //
   trayodaśe 'hni deyaṃ syātpadadānaṃ kimarthakam /	trayodaSe ahni deyam syAt pada dAnam kimarTakam /
   śrāddhāni ṣoḍaśaitāni abdaṃ yāvatkuto ghaṭaḥ // GarP_2,1.45 //	SrAdDAni zoxaSa etAni abdam yAvat kutas GawaH // GarP_2,1.45 //
   annādyenodakenaiva ṣaṣṭyādhikaśatatrayam /	annAdyena udakena eva zazwyA aDika Sata trayam /
   dinedine ca dātavyaṃ ghaṭānnaṃ pretatṛptaye // GarP_2,1.46 //	dinedine ca dAtavyam Gawa annam preta tRptaye // GarP_2,1.46 //
   prāpte kāle vai mriyate anityā mānavāḥ prabho // GarP_2,1.47 //	prApte kAle vE mriyate anityAH mAnavAH praBo // GarP_2,1.47 //
   chidraṃ tu naiva paśyāmi kuto jīvaḥ sa nirgataḥ /	Cidram tu na eva paSyAmi kutas jIvaH sa nirgataH /
   kuto gacchanti bhūtāni pṛthivyāpo manastathā /	kutas gacCanti BUtAni pRTivI ApaH manaH taTA /
   tejo vadasva me nātha vāyurākāśameva ca // GarP_2,1.48 //	tejaH vadasva me nATa vAyuH AkASam eva ca // GarP_2,1.48 //
   kutaḥ karmendriyāṇīha pañcabuddhīndriyāṇi ca /	kutas karmendriyANi iha paQca budDIndriyANi ca /
   vāyavaścaiva pañcaite kathaṃ gacchanti cātyayam // GarP_2,1.49 //	vAyavaH ca eva paQca ete kaTam gacCanti ca atyayam // GarP_2,1.49 //
   lobhamohādayaḥ pañca śarīre caiva taskarāḥ /	loBa moha AdayaH paQca SarIre ca eva taskarAH /
   tṛṣṇā kāmo hyahaṅkāraḥ kuto yānti janārdanā // GarP_2,1.50 //	tRzNA kAmaH hi ahaFkAraH kutas yAnti janArdanAH // GarP_2,1.50 //
   puṇyaṃ vāpyathavāpuṇyaṃ yatkiñcitsukṛtaṃ tathā /	puNyam vA api aTavA puNyam yat kiQcit sukRtam taTA /
   naṣṭe dehe kuto yānti dānāni vividhāni ca // GarP_2,1.51 //	nazwe dehe kutas yAnti dAnAni viviDAni ca // GarP_2,1.51 //
   sapiṇḍanaṃ kimarthaṃ ca pūrṇe saṃvatsare 'pi vā /	sapiNxanam kim arTam ca pUrNe saMvatsare api vA /
   pretasya melanaṃ keṣāṃ kiṃvidhaṃ tatra kārayet // GarP_2,1.52 //	pretasya melanam kezAm kiMviDam tatra kArayet // GarP_2,1.52 //
   mūrchanātpananādvāpi vipattiryadi jāyate /	mUrCanAt pananAt vA api vipattiH yadi jAyate /
   ye dagdhā ye tvadagdhāśca patitā ye narā bhuvi // GarP_2,1.53 //	ye dagDAH ye tu adagDAH ca patitAH ye narAH Buvi // GarP_2,1.53 //
   yāni cānyāni bhūtāni teṣāmante bhavecca kim /	yAni ca anyAni BUtAni tezAm ante Bavet ca kim /
   pāpino ye durācārā ye cānye gatabuddhayaḥ // GarP_2,1.54 //	pApinaH ye durAcArAH ye ca anye gata budDayaH // GarP_2,1.54 //
   ātmaghātī brahmahā ca steyī viśvāsaghātakaḥ /	Atma GAtI brahma hA ca steyI viSvAsa GAtakaH /
   kapilāyāḥ pibecchūdro yaḥ paṭhedidamakṣaram // GarP_2,1.55 //	kapilAyAH pibet SUdraH yaH paWet idam akzaram // GarP_2,1.55 //
   dhārayedbrahmasūtraṃ vā kā gatistasya mādhava /	DArayet brahmasUtram vA kA gatiH tasya mADava /
   śūdrasya brāhmaṇī bhāryā saṃgṛhītā yadā bhavet // GarP_2,1.56 //	SUdrasya brAhmaNI BAryA saMgRhItAH yadA Bavet // GarP_2,1.56 //
   bhīto 'haṃ pāpinastasmāttanme vada jagatprabho /	BItaH aham pApinaH tasmAt tat me vada jagatpraBo /
   anyacca śṛṇu viśvātmanmayā kautukinā rayāt // GarP_2,1.57 //	anyat ca SRNu viSvAtman mayA kOtukinA rayAt // GarP_2,1.57 //
   lokāṃllokayatā loke jagāhe viśvamaṇḍalam /	lokAn= lokayatA loke jagAhe viSva maNxalam /
   tatrājani janāndṛṣṭvā duḥ kheṣveva nimajjataḥ // GarP_2,1.58 //	tatra ajani janAn dRzwvA duH Kezu eva nimajjataH // GarP_2,1.58 //
   svānte me durdharā pīḍā tatpīḍāto garīyasī /	svAnte me durDarA pIxA tat pIxAtaH garIyasI /
   tridive ditijātebhyo bhūmau mṛtyurugādibhiḥ // GarP_2,1.59 //	tridive ditijAteByaH BUmO mRtyu ruj a AdiBiH // GarP_2,1.59 //
   iṣṭavastuviyo gaiśca pātāle māmakaṃ bhayam /	izwa vastu viyaH gEH ca pAtAle mAmakam Bayam /
   evaṃ na nirbhayaṃ sthānamanyadīśa bhavatpadāt // GarP_2,1.60 //	evam na nirBayam sTAnam anyat ISa Bavat padAt // GarP_2,1.60 //
   asatyaṃ svapnamāyāvatkālena kavalīkṛtam /	asatyam svapna m AyAvat kAlena kavalIkRtam /
   tatrāpi bhārate varṣe bahuduḥ khasya bhāginaḥ // GarP_2,1.61 //	tatra api BArate varze bahuduH Kasya BAginaH // GarP_2,1.61 //
   janā dṛṣṭā mayā rāgadveṣamohādiviplutāḥ /	janAH dRzwAH mayA rAga dveza moha Adi viplutAH /
   kecidandhāḥ kekarākṣāskhaladvācastu paṅgavaḥ // GarP_2,1.62 //	kecid anDAH keka rAkzA H Kalat vAcaH tu paFgavaH // GarP_2,1.62 //
   khañjāḥ kāṇāśca badhirā mūkāḥ kuṣṭhāśca lomaśāḥ /	KaQjAH kANAH ca baDirAH mUkAH kuzWAH ca lomaSAH /
   nānārogaparītāśca khapuṣpāccābhimāninaḥ // GarP_2,1.63 //	nAnA roga parItAH ca KapuzpAt ca aBimAninaH // GarP_2,1.63 //
   teṣāṃ doṣasya vaicitryaṃ mṛtyorgocaratāmapi /	tezAm dozasya vEcitryam mRtyoH gocaratAm api /
   dṛṣṭvā prasumanāḥ prāptaḥ ko mṛtyuścitratā katham // GarP_2,1.64 //	dRzwvA prasumanAH prAptaH kaH mRtyuH citra tA kaTam // GarP_2,1.64 //
   mṛtiryasya vidhānena maraṇādapyanantaram /	mRtiH yasya viDAnena maraNAt api anantaram /
   vidhinābdakriyā yasya na sa durgatimāpnuyāt // GarP_2,1.65 //	viDinA abda kriyA yasya na sa durgatim ApnuyAt // GarP_2,1.65 //
   ṛṣibhyastu mayā pūrvamiti sāmānyataḥ śrutam /	RziByaH tu mayA pUrvam iti sAmAnyatas Srutam /
   jñānāya taddviśeṣasya pṛcchāmīdamiti prabho // GarP_2,1.66 //	jQAnAya tad dvi Sezasya pRcCAmi idam iti praBo // GarP_2,1.66 //
   mriyamāṇasya kiṃ kṛtyaṃ kiṃ dānaṃ vāsavānuja /	mriyamANasya kim kRtyam kim dAnam vAsava anujaH /
   vāhamṛtyorantarāle ko vidhirdahanasya ca // GarP_2,1.67 //	vAha mRtyoH antarAle kaH viDiH dahanasya ca // GarP_2,1.67 //
   sadyo vilambato vā kiṃ dehamanyaṃ prapadyate /	sadyas vilambataH vA kim deham anyam prapadyate /
   saṃyamanyāṃ kramyamāṇamāvarṣaṃ kā mṛtikriyā // GarP_2,1.68 //	saMyamanyAm kramyamANam Avarzam kA mRti kriyA // GarP_2,1.68 //
   prāyaścittaṃ durmateḥ kiṃ pañcakādimṛtasya ca /	prAyaScittam durmateH kim paQcaka Adi mRtasya ca /
   prasādaṃ kuru me mohaṃ chettumarhasyaśeṣataḥ // GarP_2,1.69 //	prasAdam kuru me moham Cettum arhasi aSezatas // GarP_2,1.69 //
   sarvamantemayā pṛṣṭaṃ brūhi lokahitāya vai // GarP_2,1.70 //	sarvam antemayA pRzwam brUhi loka hitAya vE // GarP_2,1.70 //
   iti śrīgāruḍe mahāpurāṇe uttarakhaṇḍe dvitīyāṃśākhye dharmakāṇḍe	iti SrI gAruxe mahApurANe uttara KaNxe dvitIya aMSa AKye Darma kANxe
   (pretakhaṇḍe) śrīkṛṣṇagaruḍasaṃvāde praśraprapañco nāma prathamo 'dhyāyaḥ	(preta KaNxe) SrI kRzNa garuxa saMvAde praSraprapaQcaH nAma praTamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  2	SrI garuxa mahApurANam 2
   śrīkṛṣṇa uvāca /	SrI kRzNaH uvAca /
   sādhu pṛṣṭaṃ tvayā bhadra mānuṣāṇāṃ hitāya vai /	sADu pRzwam tvayA Badra mAnuzANAm hitAya vE /
   śṛṇuṣvāvahito bhūtvā sarvamevaurdhvadaihikam // GarP_2,2.1 //	SRNuzva avahitaH BUtvA sarvam eva OrDva dEhikam // GarP_2,2.1 //
   samyagvibhedarahitaṃ śrutismṛtisamuddhṛtam /	samyak viBeda rahitam Sruti smRti samudDRtam /
   yanna dṛṣṭaṃ suraiḥ sendrairyogibhiryogacintakaiḥ // GarP_2,2.2 //	yat na dRzwam surEH sa indrEH yogiBiH yoga cintakEH // GarP_2,2.2 //
   guhyadguhyataraṃ tacca nākhyātaṃ kasyacitkvacit /	guhyat guhyataram tat ca na AKyAtam kasyacid kvacid /
   bhaktastvaṃ hi mahābhāga vainateyaṃ bravīmi te // GarP_2,2.3 //	BaktaH tvam hi mahABAga vEnateyam bravImi te // GarP_2,2.3 //
   aputrasya gatirnāstu svargo naiva ca naiva ca /	aputrasya gatiH na astu svargaH na eva ca na eva ca /
   yena kenāpyupāyena kāryaṃ janma sutasya hi // GarP_2,2.4 //	yena kena api upAyena kAryam janma sutasya hi // GarP_2,2.4 //
   tārayennarakātputtro yadi mokṣo na vidyate /	tArayet narakAt puttraH yadi mokzaH na vidyate /
   skandhaḥ putreṇa kartavyo hyagnidātā ca pautrakaḥ // GarP_2,2.5 //	skanDaH putreNa kartavyaH hi agni dAtA ca pOtrakaH // GarP_2,2.5 //
   tiladarbhaiśca bhūmyāṃ vai kuṭī ṛtumatī bhavet /	tila darBEH ca BUmyAm vE kuwI RtumatI Bavet /
   pañca ratnāni vaktre tu yena jīvaḥ prarohati // GarP_2,2.6 //	paQca ratnAni vaktre tu yena jIvaH prarohati // GarP_2,2.6 //
   yadā puṣpaṃ pranaṣṭaṃ hi kva tadā garbhadhāraṇam /	yadA puzpam pranazwam hi kva tadA garBa DAraNam /
   ādarācca tato bhūmau yena garbhaṃ pradhāryate // GarP_2,2.7 //	AdarAt ca tatas BUmO yena garBam praDAryate // GarP_2,2.7 //
   lepyā tu gomayairbhūmistilāndarbhānviniḥ kṣipet /	lepyA tu gomayEH BUmiH tilAn darBAn viniH kzipet /
   tasyāmevāturo muktaḥ sarvaṃ dahati kilbiṣam // GarP_2,2.8 //	tasyAm eva AturaH muktaH sarvam dahati kilbizam // GarP_2,2.8 //
   darbhatūlī nayetsvargamāturasya na saṃśayaḥ /	darBa tUlI nayet svargam Aturasya na saMSayaH /
   darbhāṃstatra kṣipedvātha tūlīgendukamadhyataḥ // GarP_2,2.9 //	darBAn= tatra kzipet vA aTa tUlI ga induka maDyatas // GarP_2,2.9 //
   sarvatra vasudhāpūtā yatra lepo na vidyate /	sarvatra vasuDA pUtA yatra lepaH na vidyate /
   yatra lepaḥ sthitastatra punarlepena śudhyati // GarP_2,2.10 //	yatra lepaH sTitaH tatra punar lepena SuDyati // GarP_2,2.10 //
   yātudhānāḥ piśācāśca rākṣasāḥ krūrakarmiṇaḥ /	yAtuDAnAH piSAcAH ca rAkzasAH krUra karmiNaH /
   alepaṃ hyāturaṃ muktaṃ viśantyete viyonayaḥ // GarP_2,2.11 //	alepam hi Aturam muktam viSanti ete viyonayaH // GarP_2,2.11 //
   nityahomastathā śrāddhaṃ pādaśaucaṃ dvije tathā /	nitya homaH taTA SrAdDam pAda SOcam dvije taTA /
   maṇḍalena vinā bhūmyāmāturo mucyate na hi // GarP_2,2.12 //	maNxalena vinA BUmyAm AturaH mucyate na hi // GarP_2,2.12 //
   brahmā viṣṇuśca rudraśca śrīrhutāśastathaiva ca /	brahmA vizNuH ca rudraH ca SrIH hutASaH taTA eva ca /
   maṇḍale copatiṣṭhanti tasmātkurvīta maṇḍalam // GarP_2,2.13 //	maNxale ca upatizWanti tasmAt kurvIta maNxalam // GarP_2,2.13 //
   anyathā mriyate vālo vṛddhastārkṣyayuvāthavā /	anyaTA mriyate vAlaH vRdDaH tArkzya yuvA aTavA /
   yonyantaraṃ na gacchetsa krīḍate vāyunā saha // GarP_2,2.14 //	yoni antaram na gacCet sa krIxate vAyunA saha // GarP_2,2.14 //
   miśritaṃ lohitāmiśraṃ tadevaṃ janma jīyate /	miSritam lohita amiSram tat evam janma jIyate /
   tasyaiva vāyubhūtasya na śrāddhaṃ nodakakriyā // GarP_2,2.15 //	tasya eva vAyu BUtasya na SrAdDam na udaka kriyA // GarP_2,2.15 //
   mama svedasamudbhūtāstilāstārkṣya pavitrakāḥ /	mama sveda samudBUtAH tilAH tArkzya pavitrakAH /
   asurā dānavā daityā vidravanti tilaistathā // GarP_2,2.16 //	asurAH dAnavAH dEtyAH vidravanti tilEH taTA // GarP_2,2.16 //
   tilāḥ śvetāstilā kṛṣṇāstilā gomūtrasaṃnnibhāḥ /	tilAH SvetAH tilAH kRzNAH tilAH go mUtra saMnniBAH /
   dahantu te me pāpāni śarīreṇa kṛtāni vai // GarP_2,2.17 //	dahantu te me pApAni SarIreNa kRtAni vE // GarP_2,2.17 //
   eka eva tilo datto hemadroṇatilaiḥ samaḥ /	ekaH eva tilaH dattaH hema droNa tilEH samaH /
   tarpaṇe dānahomeṣu datto bhavati cākṣayaḥ // GarP_2,2.18 //	tarpaNe dAna homezu dattaH Bavati ca akzayaH // GarP_2,2.18 //
   darbhā romasamudbhūtāstilāḥ svedeṣu nānyathā /	darBAH roma samudBUtAH tilAH svedezu na anyaTA /
   devatā dānavāstṛptāḥ śrāddhena pitarastathā // GarP_2,2.19 //	devatAH dAnavAH tRptAH SrAdDena pitaraH taTA // GarP_2,2.19 //
   prayogavidhinā brahmā viśvaṃ cāpyupajīvanām /	prayoga viDinA brahmA viSvam ca api upajIvanAm /
