   Kalhaṇa: Ardhanārīśvarastotra	KalhaNa: ArDanArISvara-stotra
   priyayā vilāsakalaha śraddheya evāsi na /	priyayA vilAsa-kalaha SradDeyaH eva-asi na /
   ity ukte nibiḍapravāsacakitair yāvad guṇaiḥ sthīyate saṃghaṭṭaḥ śivayoḥ sa	iti ukte nibixa-pravAsa-cakitEH yAvat guNEH sTIyate saMGawwaH SivayoH sa
   tāvad adhikaspaṣṭaḥ śivāyāstu vaḥ // 8 //	tAvat aDika-spazwaH SivAya-aH-tu vaH // 8 //
   tad ardhanārīśvaramūrdharatnam ardhaṃ vidhor astu samṛddhaye vaḥ /	tat arDanArISvara-mUrDa-ratnam arDam viDoH astu samRdDaye vaH /
   yad adrikanyāvadanātiriktadvitīyabhāgabhramam ātanoti // 9 //	yat adri-kanyA-vadana-atirikta-dvitIya-BAga-Bramam Atanoti // 9 //
   tadvītavyatirekam adritanayādehena miśrībhavan niṣpratyūham iha vyapohatu	tad-vIta-vyatirekam adri-tanayA-dehena miSrIBavan nizpratyUham iha vyapohatu
   vapuḥ sthāṇor abhadrāṇi vaḥ /	vapuH sTANoH aBadrANi vaH /
   veṇyā bhogivadhūśarīrakuṭilaśyāmatviṣā veṣṭitā jūṭāher api yatra bhāti	veNyA Bogi-vaDU-SarIra-kuwila-SyAma-tvizA vezwitA jUwAheH api yatra BAti
   dayitāmūrtyeva pṛktā tanuḥ // 10 [= RT 4.1] //	dayitA-mUrtyA-iva pRktA tanuH // 10 [ RT 4.1] //
   prauḍhāḥ kañcukino jaradvṛṣavaraḥ kubjas tuṣāradyutir nityāpto 'pi	prOXAH kaQcukinaH jarat-vRza-varaH kubjaH tuzAra-dyutiH nitya-AptaH api
   bahiṣkṛtaḥ parikaraḥ so 'yaṃ samasto 'py aho /	bahizkRtaH parikaraH saH ayam samastaH api aho /
   ardhād yadvasatīkṛtād bhagavatā cāritracaryāvidā sā bhidyād duritaṃ	arDAt yat-vasatIkRtAt BagavatA cAritra-caryA-vidA sA BidyAt duritam
   carācaraguror antaḥpuraṃ pārvatī // 11 [= RT 8.1] //	carAcara-guroH antaHpuram pArvatI // 11 [ RT 8.1] //
   līlodyānavanaśmaśānagamane svecchāparādhīnayoḥ	lIlA-udyAna-vana-SmaSAna-gamane sva-icCA-para-aDInayoH
   samyaksāmbaratādigambaradaśāsavrīḍanirvrīḍayoḥ /	samyaksa-ambara-tA-Adi-gambara-da-SAsa-vrIxa-nirvrIxayoH /
   paryāptātularāmaṇīyakamahāśrībhairavākārayoḥ kṣemaṃ vaḥ śivayoḥ	paryApta-atula-rAmaNIyaka-mahA-SrI-BErava-AkArayoH kzemam vaH SivayoH
   samāsamadṛśor diśyād acintyaṃ vapuḥ // 12 //	samA-samadRSoH diSyAt acintyam vapuH // 12 //
   cūḍendor iva rociṣā mukulitaṃ vātāyanābhaṃ śriyaḥ pānārthaṃ pariṣevitaṃ	cUxa-indoH iva rocizA mukulitam vAtAyana-ABam SriyaH pAna-arTam parizevitam
   madhukarākāraiḥ kumārānanaiḥ /	maDukara-AkArEH kumAra-AnanEH /
   aunnatyād adhivāsya vaktrapavanair ghrāṇopayogīkṛtaṃ kasyorojasarojam asti	OnnatyAt aDivAsya vaktra-pavanEH GrANa-upayogIkRtam kasyoroja-sarojam asti
   na manastoṣāya gaurīśayoḥ // 13 //	na manaH-tozAya gOrISayoH // 13 //
   ardhaṃ snigdhavimugdham iddhahutabhugdigdhaṃ tathārdhaṃ jagat pāyād	arDam snigDa-vimugDam idDa-hutaBuj-digDam taTA-arDam jagat pAyAt-
   īśvarayos tad akṣi tilakasthānasthitaṃ vīkṣya yat /	ISvarayoH tat akzi tilaka-sTAna-sTitam vIkzya yat /
   krīḍākarmaṇi kārmukaṃ karatale kartuṃ kirīṭendunā sotsekaś ca nirutsukaś	krIxA-karmaNi kArmukam kara-tale kartum kirIwa-indunA sa-utsekaH ca nirutsukaH-
   ca yugapad devaḥ smaro jāyate // 14 //	ca yugapad devaH smaraH jAyate // 14 //
   vyālā vāyubhujas tṛṇeḍhi ca tṛṇāny ukṣā bubhukṣāturo niṣkaupīnapaṭaḥ	vyAlA vAyuBujaH tRNa-IXi ca tRNAni ukzA buBukzA-AturaH nizkOpIna-pawaH
   kuṭumbabharaṇo kiṃ tv asmi cintākulaḥ /	kuwumba-BaraNaH kim tu asmi cintA-AkulaH /
   daurgatyād iti piṇḍam ekam akarod gaurīśarūpeṇa yo yaś cābhīṣṭaphalapradas	dOrgatyAt iti piNxam ekam akarot gOrISa-rUpeNa yaH yaH ca-aBIzwa-Pala-pradas
   trijagataḥ kasmaicid asmai namaḥ // 15 //	trijagataH kasmEcid asmE namaH // 15 //
   jyāghoṣair badhirīkaroti kakubho bāhū muhuḥ paśyati svasya svena	jyA-GozEH baDirIkaroti kakuBaH bAhU muhur paSyati svasya svena
   vikatthate racayati proccaistarāṃ tarjanīm /	vikatTate racayati proccEstarAm tarjanIm /
   yasmin kevalam eva kelirabhasāj jāte 'rdhanārīśvare vīraṃmanyatayā sa	yasmin kevalam eva keliH-aBasAt jAte arDa-nArISvare vIraMmanyatayA sa
   manmathabhaṭo vātūlitas taṃ stumaḥ // 16 //	manmaTa-BawaH vAtUlitaH tam stumaH // 16 //
   vapuḥkhaṇḍe khaṇḍaḥ prativasati śailendraduhituḥ śikhaṇḍe khaṇḍenduḥ	vapuH-KaNxe KaNxaH prativasati SElendra-duhituH SiKaNxe KaNxa-induH
   svayam api vibhuḥ khaṇḍaparaśuḥ /	svayam api viBuH KaNxaparaSuH /
   tathāpi pratyagraṃ śaraṇam upayātaṃ prati vibhor akhaṇḍo vyāpāro jagati	taTA-api pratyagram SaraNam upayAtam prati viBoH aKaNxaH vyApAraH jagati
   karuṇāyā vijayate // 17 [= SKA 15.37] //	karuNAyAH vijayate // 17 [ SKAH 15.37] //
   premnārdhaṃ vapuṣo vilokya militaṃ devyā samaṃ svāmino maulau yasya	premnA-arDam vapuzaH vilokya militam devyA samam svAminaH mOlO yasya
   niśāpatir nagasutāveṇīniśāmiśritaḥ /	niSApatiH naga-suta-aveNI-niSA-miSritaH /
   āste svāmyanuvartanārtham iva tat kṛtvā vapuḥ khaṇḍitaṃ deyād	Aste svAmi-anuvartana-arTam iva tat kRtvA vapuH KaNxitam deyAd
   advayabhāvanāṃ sa bhagavān devo 'rdhanārīśvaraḥ // 18 [= ŚRT 1.1.2] //	advaya-BAvanAm sa BagavAn devaH arDanArI-ISvaraH // 18 [ ŚRT 1.1.2] //
