   Sandhi markers:	SanDi markeH-s:
   iṣv-asana-yantra-muktaḥ kṣaṇād alikṣat |	izu--asana-yantra-muktaH kzaNAt alikzat |
   bhilla-dārakaiḥ sa bālo 'pāhāri |	Billa-dArakEH sa bAlaH apAhAri |
   sā tv ahaṃ moha-suptā kena api	sA tu aham moha--suptA kena api
   vṛṣṇi-pāleno7panīya svaṃ kuṭīram āveśya	vRzNi-pAlena-u7panIya svam kuwIram AveSya
   kṛpayo9pakrānta-vraṇā svasthībhūya sva-bhartur anti	kRpayo9-pakra-anta--vraNA svasTIBUya sva-BartuH anti
   kam upatiṣṭhāsur a-sahāyatayā yāvad	kam upatizWAsuH a--sahAya-tayA yAvat-
   vyākulībhavāmi tāvan mamai7va duhitā saha yūnā kena	vyAkulIBavAmi tAvat mama-e7va duhitA saha yUnA kena
   api tam evo7ddeśam āgamat |	api tam eva-u7t-deSam Agamat |
   sā bhṛśaṃ ruroda |	sA BRSam ruroda |
   ruditā1nte ca sā sārtha-ghāte sva-hasta-gatasya	rudita-a1nte ca sA sArTa-GAte sva-hasta-gatasya
   rāja-putrasya kirāta-bhartṛ-hasta-gamanam ātmanaś ca	rAja--putrasya kirAta--BartR-hasta--gamanam AtmanaH ca
   kena api vana-careṇa vraṇa-viropaṇam svasthāyāś ca	kena api vana-careNa vraNa--viropaNam svasTAyAH ca
   punas teno7payantuṃ cintitā yā	punar tena-u7payantum cintitA yA
   nikṛṣṭa-jāti-samsarga-vaiklavyāt	nikRzwa-jAti---samsarga--vEklavyAt-
   pratyākhyāna-pāruṣyam tad a-kṣameṇa ca amunā	pratyAKyAna--pAruzyam tat a-kzameNa ca amunA
   vivikte vipine sva-śiraḥ kartano1dyamam anena yūnā	vivikte vipine sva-SiraH kartana-u1dyamam anena yUnA
   yad-ṛcchayā dṛṣṭena tasya dur-ātmano hananam	yat--RcCayA dRzwena tasya dur-AtmanaH hananam
   ātmanaś co7payamanam ity akathayat |	AtmanaH ca-u7payamanam iti akaTayat |
   sa tu pṛṣṭo maithile1ndrasyai7va ko 'pi sevakaḥ	sa tu pRzwaH mETile1ndrasya-e7va kaH api sevakaH
   kāraṇa-vilambī tan-mārgā1nusārī jātaḥ |	kAraNa--vilambI tan--mArgA1nusArI jAtaH |
   saha tena bhartur antikam upasṛtya putra-vṛttā ntena	saha tena BartuH antikam upasRtya putra--vRttA ntena
   śrotram asya devyāḥ priyamvadāyāś ca	Srotram asya devyAH priyamvadAyAH ca
   adahāva |	adahAvaH |
   sa ca rājā diṣṭa-doṣāj jyeṣṭha-putraiś ciraṃ	sa ca rAjA dizwa-dozAt jyezWa-putrEH ciram
   vigṛhya punar a-sahiṣṇutayā atimātraṃ ciraṃ	vigRhya punar a--sahizNu-tayA atimAtram ciram
   prayudhya baddhaḥ |	prayuDya badDaH |
   devī ca bandhanaṃ gamitā |	devI ca banDanam gamitA |
   dagdhā punar aham asminn api vārddhake hata-jīvitam	dagDA punar aham asmin api vArdDake hata--jIvitam
   a-pārayantī hātuṃ pravrajyāṃ kila agrahīṣam |	a-pArayantI hAtum pravrajyAm kila agrahIzam |
   duhitā tu mama hata-jīvitā3kṛṣṭā	duhitA tu mama hata-jIvitA3-kRzwA
   vikaṭa-varma-mahā-devīṃ kalpa-sundarīṃ kila	vikawa-varma--mahA--devIm kalpa--sundarIm kila
   aśiśriyat |	aSiSriyat |
   tau ced rāja-putrau nir-upadravāv eva avardhiṣyetām	tO ced rAja--putrO nir-upadravO eva avarDizyetAm
   iyatā kālena tave7māṃ vayo-avasthām asprakṣyetām |	iyatA kAlena tava-i7mAm vayaH--avasTAm asprakzyetAm |
   tayoś ca sator na dāyādā nare1ndrasya	tayoH ca satoH na dAyAdAH nare1ndrasya
   prasahya-kāriṇo bhaveyuḥ ' iti pra-manyur abhiruroda |	prasahya--kAriNaH BaveyuH a iti pra-manyuH aBiruroda |
   śrutvā ca tāpasī-giram aham api pravṛddha-bāṣpo	SrutvA ca tApasI--giram aham api pravRdDa--bAzpaH-
   nigūḍham abhyadhām -- 'yady evam amba samāśvasihi |	nigUXam aByaDAm -- ayadi evam amba samASvasihi |
   nanv asti kaś cin munis tvayā tad-avasthayā	nanu asti kaH cit muniH tvayA tad--avasTayA
   putrā1bhyupapādanā1rthaṃ yācitas tena sa labdho	putrA1Bi-upapAdana-A1rTam yAcitaH tena sa labDaH-
   vardhitaś ca |	varDitaH ca |
   vārte9yam atimahatī |	vArte9yam ati-mahatI |
   kim anayā |	kim anayA |
   so 'ham asmi |	saH aham asmi |
   śakyaś ca mayā	SakyaH ca mayA
   asau vikaṭa-varmā yathā-kathaṃ-cid upaśliṣya	asO vikawa-varmA yaTA-kaTaM-cit upaSlizya
   vyāpādayitum |	vyApAdayitum |
   anujāḥ punar atibahavaḥ tair api ghaṭante	anujAH punar ati-bahavaH tEH api Gawante
   paura-jānapadāḥ |	pOra-jAnapadAH |
   māṃ tu na kaś=cid ihatya īdṛktayā jano jānāti |	mAm tu na kaS=cid ihatyaH IdRS-tayA janaH jAnAti |
   pitarāv api tāvan māṃ na samvidāte kim ute7tare |	pitarO api tAvat mAm na samvidAte kim uta-i7tare |
   tad enam artham upāyena sādhayiṣyāmi ' ity agādiṣam |	tat enam arTam upAyena sADayizyAmi a iti agAdizam |
   sā tu vṛddhā sa-ruditaṃ pariṣvajya muhuḥ śirasy	sA tu vRdDA sa-ruditam parizvajya muhur Sirasi-
   upāghrāya prasnuta-stanī sa-gadgadam agadat - 'vatsa	upAGrAya prasnuta--stanI sa-gadgadam agadat  avatsa
   ciraṃ jīva |	ciram jIva |
   bhadraṃ tava |	Badram tava |
   prasanno 'dya bhagavān vidhiḥ |	prasannaH adya BagavAn viDiH |
   adyai7va prahāra-varmaṇy adhi videhā jātāḥ yataḥ	adya-e7va prahAra-varmaNi aDi videhAH jAtAH yatas-
   pralambamāna-pīna-bāhur bhavān apāram etac	pralambamAna--pIna-bAhuH BavAn apAram etat-
   choka-sāgaram adyo7ttārayituṃ sthitaḥ |	Coka--sAgaram adya-u7ttArayitum sTitaH |
   aho mahad bhāgadheyaṃ devyāḥ priyamvadāyāḥ ' iti	aho mahat BAgaDeyam devyAH priyam-vadAyAH a iti
   harṣa-nirbharā snāna-bhojanā3dinā mām upācarat |	harza--nirBarA snAna-BojanA3dinA mAm upAcarat |
   aśiśriyaṃ ca asmin maṭhai1kadeśe niśi	aSiSriyam ca asmin maWE1ka-deSe niSi
   kaṭa-śayyām |	kawa-SayyAm |
   acintayaṃ ca - 'vino9padhinā ayam artho na sādhyaḥ |	acintayam ca  avino9paDinA ayam arTaH na sADyaH |
   striyaś co7padhīnām udbhava-kṣetram |	striyaH ca-u7paDInAm udBava--kzetram |
   ato 'ntaḥ-pura-vṛttāntam asyā avagamya tad-dvāreṇa	atas antaH-pura-vRttAntam asyAH avagamya tad--dvAreNa
   kiñ=cij jālam ācareyam ' iti cintayaty eva mayi	kiQ=cid jAlam Acareyam a iti cintayati eva mayi
   mahā2rṇavo1nmagna-mārtaṇḍa-turaṅgama-śvāsa-rayā1vadhūte9va	mahA-2rNavaH-1nmagna--mArtaNxa--turaFgama--SvAsa--rayA1vaDUte9va
   vyāvartata tri-yāmā |	vyAvartata tri-yAmA |
   samugra-garbha-vāsa-jaḍīkṛta iva manda-pratāpo	samugra--garBa-vAsa--jaxIkRtaH iva manda--pratApaH-
   divasa-karaḥ prādur āsīt |	divasa--karaH prAdur AsIt |
   utthāya avasāyita-dina-mukha-niyama-vidhis tāṃ me	utTAya avasAyita--dina--muKa--niyama--viDiH tAm me
   mātaram avādiṣam -- ' amba jālmasya vikaṭa-varmaṇaḥ	mAtaram avAdizam -- a amba jAlmasya vikawa-varmaNaH
   kac=cid antaḥ-pura-vṛttāntam abhijānāsi ' ity	kac=cit antaH-pura-vRttAntam aBijAnAsi a iti-
   an-avasita-vacanae eva mayi kā=cid aṅganā	an-avasita--vacanae eva mayi kA=cid aFganA
   pratyadṛśyata |	pratyadRSyata |
   tāṃ ca avekṣya sā me dhātrī	tAm ca avekzya sA me DAtrI
   harṣā1śru-kuṇṭhita-kaṇṭham ācaṣṭa -- 'putri	harzA1-Sru--kuNWita-kaNWam Acazwa -- aputri
   puṣkarike paśya bhartṛ-dārakam |	puzkarike paSya BartR-dArakam |
   ayam asāv a-kṛpayā mayā vane parityaktaḥ punar apy	ayam asO a-kRpayA mayA vane parityaktaH punar api-
   evam āgataḥ ' iti |	evam AgataH a iti |
   sā tu harṣa-nirbhara-nipīḍitā ciraṃ prarudya bahu	sA tu harza--nirBara--nipIxitA ciram prarudya bahu
   vilapya śāntā punaḥ sva-mātrā	vilapya SAntA punar sva--mAtrA
   rājā1ntaḥ-pura-vṛttāntā3khyāne nyayujyata |	rAjA-a1ntaH-pura-vRttAntA3-KyAne nyayujyata |
   uktaṃ ca tayā -- 'kumāra kāma-rūpe3śvarasya	uktam ca tayA -- akumAra kAma--rUpe3Svarasya
   kalinda-varma-nāmnaḥ kanyā kalpa-sundarī kalāsu rūpe	kalinda-varma--nAmnaH kanyA kalpa-sundarI kalAsu rUpe
   ca apsaraso 'py atikrāntā patim abhibhūya vartate |	ca apsarasaH api atikrAntA patim aBiBUya vartate |
   tad-eka-vallabhaḥ sa tu bahv-avarodho 'pi vikaṭa-varmā	tad--eka-vallaBaH sa tu bahu--avaroDaH api vikawa-varmA
   ' iti |	a iti |
   tām avocam -- ' upasarpai7nāṃ mat-prayuktair	tAm avocam -- a upasarpE7nAm mat--prayuktEH-
   gandha-mālyaiḥ |	ganDa--mAlyEH |
   upajanaya ca a-samāna-doṣa-nindā4dinā sva-bhartari	upajanaya ca a-samAna-doza--nindA4dinA sva-Bartari
   dveṣam |	dvezam |
   anurūpa-bha rtṛ-gāminīnāṃ ca	anurUpa-Ba rtR-gAminInAm ca
   vāsava-dattā4dīnāṃ varṇanena grāhaya anuśayam |	vAsava-dattA4-dInAm varNanena grAhaya anuSayam |
   avarodhā1ntareṣu ca rājño vilasitāni su=gūḍhāny	avaroDa-a1ntarezu ca rAjQaH vilasitAni su=gUXAni-
   api prayatnena anviṣya prakāśayantī mānam asyā	api prayatnena anvizya prakASayantI mAnam asya-a
   vardhaya ' iti |	varDaya a iti |
   punar idam ambām avocam -- ' ittham eva tvayā apy	punar idam ambAm avocam -- a itTam eva tvayA api-
   an=anya-vyāpārayā nṛpā1ṅganā asāv upasthātavyā |	an=anya-vyApArayA nRpa-a1FganAH asO upasTAtavyA |
   praty-ahaṃ ca yad yat tatra vṛttaṃ tad asmi	praty-aham ca yat yat tatra vRttam tat asmi
   tvayai9va bodhyaḥ |	tvayA-e9va boDyaH |
   mad-uktā punar iyam udarka-svāduno 'smat-karmaṇaḥ	mad--uktA punar iyam udarka-svAdunaH asmat--karmaNaH
   prasādhanāya cchāye9va an=apāyinī kalpa-sundarīm	prasADanAya cCAyA-i9va an=a-pAyinI kalpa--sundarIm
   anuvartatām ' iti |	anuvartatAm a iti |
   te ca tam arthaṃ tathai9va anvatiṣṭhatām |	te ca tam arTam taTA-e9va anvatizWatAm |
   keṣu-cid dineṣu gateṣv ācaṣṭa māṃ mad-ambā --	kezu-cid dinezu gatezu Acazwa mAm mad--ambA --
   'vatsa mādhavī9va picumandā3śleṣiṇī yathā asau	avatsa mADavI9va picumandA3-SleziNI yaTA asO
   śocyam ātmānaṃ manyeta tatho9papādya sthāpitā |	Socyam AtmAnam manyeta taTA-u9papAdya sTApitA |
   kiṃ bhūyaḥ kṛtyam ' iti |	kim BUyas kRtyam a iti |
   punar aham abhilikhyā8tmanaḥ pratikṛtim ' iyam amuṣmai	punar aham aBiliKyA8tmanaH pratikRtim a iyam amuzmE
   neyā |	neyAH |
   nītāṃ cai7nāṃ nirvarṇya sā niyatam evaṃ vakṣyati	nItAm cE7nAm nirvarNya sA niyatam evam vakzyati
   -- ' nanv asti kaś cid īdṛśā3kāraḥ pumān ' iti |	-- a nanu asti kaH cit IdRSA3kAraH pumAn a iti |
   pratibrūhy enām -- ' yadi syāt tataḥ kim ' iti |	pratibrUhi enAm -- a yadi syAt tatas kim a iti |
   tasya yad uttaraṃ sā dāsyati tad aham asmi	tasya yat uttaram sA dAsyati tat aham asmi
   pratibodhanīyaḥ ' iti |	pratiboDanIyaH a iti |
   sā ' tathā ' iti rāja-kulam upasaṅkramya pratinivṛttā	sA a taTA a iti rAja--kulam upasaFkramya pratinivRttA
   mām ekānte nyavedayat -- 'vatsa darśito 'sau	mAm ekAnte nyavedayat -- avatsa darSitaH asO
   citra-paṭas tasyai matta-kāśinyai |	citra-pawaH tasyE matta-kASinyE |
   citrīyamāṇā ca asau ' bhuvanam idaṃ	citrIyamANA ca asO a Buvanam idam
   sa-nāthīkṛtaṃ yad deve 'pi kusuma-dhanvani	sa-nATIkRtam yat deve api kusuma--Danvani
   ne8dṛśī vapuḥ-śrīḥ samnidhatte |	ne8dRSI vapuH-SrIH samniDatte |
   citram etac citrataram |	citram etat citrataram |
   na ca tam avaimi ya īdṛśam ihatyo nirmimīte |	na ca tam avEmi ye IdRSam ihatyaH nirmimIte |
   kene7dam ālikhitam ' ity ādṛtavatī vyāhṛtavatī ca |	kena-i7dam AliKitam a iti AdRtavatI vyAhRtavatI ca |
   mayā ca smerayo9dīritam -- ' devi sadṛśam	mayA ca smerayo9dIritam -- a devi sadRSam
   ājñāpayasi |	AjQApayasi |
   bhagavān makara-ketur apy evaṃ sundara iti na śakyam	BagavAn makara-ketuH api evam sundaraH iti na Sakyam
   eva sambhāvayitum |	eva samBAvayitum |
   atha ca vistīrṇe9yam arṇava-nemiḥ |	aTa ca vistIrNe9yam arNava-nemiH |
   kvacid īdṛ śam api rūpaṃ daiva-śaktyā sambhavet |	kvacid IdR Sam api rUpam dEva--SaktyA samBavet |
   atha tu yady evaṃ-rūpo	aTa tu yadi evaM--rUpaH-
   rūpā1nurūpa-śilpa-śīla-vidyā-jñāna-kauśalo yuvā	rUpA1nurUpa--Silpa--SIla-vidyA--jQAna--kOSalaH yuvA
   mahā-kulīnaś ca kaś=cit samnihitaḥ syāt sa kiṃ	mahA--kulInaH ca kaS=cid samnihitaH syAt sa kim
   lapsyate ' iti |	lapsyate a iti |
   tayo9ktam -- ' amba kiṃ bravīmi |	tayA-u9ktam -- a amba kim bravImi |
   śarīraṃ dṛdayaṃ jīvitam iti sarvam idam alpam	SarIram dRdayam jIvitam iti sarvam idam alpam
   an-arhaṃ ca |	an-arham ca |
   tato na kiñ=cil lapsyate |	tatas na kiQ=cid lapsyate |
   na ced ayaṃ vipralambhas tasya amuṣya	na ced ayam vipralamBaH tasya amuzya
   darśanā1nubhavena yathe9daṃ cakṣuś caritā1rthaṃ	darSanA1nuBavena yaTe9dam cakzuH carita-a1rTam
   bhavet tathā anugrahaḥ kāryaḥ ' iti |	Bavet taTA anugrahaH kAryaH a iti |
   bhūyo 'pi mayā dṛḍhatarīkartum upanyastam - ' asti	BUyas api mayA dRXatarIkartum upanyastam  a asti
   ko 'pi rāja-sūnur nigūḍhaṃ caran |	kaH api rAja--sUnuH nigUXam caran |
   amuṣya vasanto1tsave saha sakhībhir	amuzya vasantaH-1tsave saha saKIBiH-
   nagaro1pavana-vihāriṇī ratir iva vigrahiṇī	nagaraH-1pavana--vihAriNI ratiH iva vigrahiNI
   yad-ṛcchayā darśana-pathaṃ gatā asi |	yat--RcCayA darSana-paTam gatAH asi |
   gataś ca asau kāma-śarai1ka-lakṣya tāṃ mām	gataH ca asO kAma-SarE1-ka-lakzya tAm mAm
   anvavartiṣṭa |	anvavartizwa |
   mayā ca vām anyo-anyā1nurūpair dur-labhair	mayA ca vAm anyo-anyA1nurUpEH dur-laBEH-
   ākārā3dibhir guṇā1tiśayaiś ca preryamāṇayā	AkAra-A3diBiH guNa-a1tiSayEH ca preryamANayA
   tad-racitair eva kusuma-śekhara-srag-anulepanā3dibhiś	tad--racitEH eva kusuma--SeKara--sraj--anulepanA3diBiH-
   ciram upāsitā asi |	ciram upAsitAH asi |
   sādṛśyaṃ ca svam anena svayam eva abhilikhya	sAdRSyam ca svam anena svayam eva aBiliKya
   tvat-samādhi-gāḍhatva-darśanāya preṣi tam |	tu-at--samADi--gAXa-tva--darSanAya prezi tam |
   eṣa ced artho niścitas tasya amuṣya	eza ced arTaH niScitaH tasya amuzya
   atimānuṣa-prāṇa-sattva-prajñā-prakarṣasya na	ati-mAnuza--prANa--sattva--prajQA--prakarzasya na
   kiñ=cid duṣkaraṃ nāma |	kiQ=cid duzkaram nAma |
   tam adyai7va darśayeyam |	tam adya-e7va darSayeyam |
   saṅketo deyaḥ ' iti |	saFketaH deyaH a iti |
   tayā tu kiñ=cid iva dhyātvā punar abhihitam - ' amba	tayA tu kiQ=cid iva DyAtvA punar aBihitam  a amba
   tava nai7tad idānīṃ gopya-tamam |	tava nE7tat idAnIm gopya-tamam |
   ataḥ kathayāmi |	atas kaTayAmi |
   mama tātasya rājñā prahāra-varmaṇā saha mahatī	mama tAtasya rAjQA prahAra-varmaNA saha mahatI
   prītir āsīt |	prItiH AsIt |
   mātuś ca me mānavatyāḥ priya-vayasyā devī	mAtuH ca me mAnavatyAH priya--vayasyA devI
   priyamvadā0sīt |	priyam-vadA0-sIt |
   tābhyāṃ punar a-jātā1patyābhyām eva kṛtaḥ samayo	tAByAm punar a-jAtA-a1-patyAByAm eva kRtaH samayaH-
   abhūt -- ' āvayoḥ putravatyāḥ putrāya duhitṛmatyā	aBUt -- a AvayoH putravatyAH putrAya duhitR-matyA
   duhitā deyā ' iti |	duhitA deyA a iti |
   tātas tu māṃ jātāṃ pranaṣṭā1patyā	tAtaH tu mAm jAtAm pranazwA-a1patyA
   priyamvade9ti prārthayamānāya vikaṭa-varmaṇe daivād	priyam-vade9ti prArTayamAnAya vikawa-varmaNe dEvAt-
   dattavān |	dattavAn |
   ayaṃ ca niṣṭhuraḥ pitṛ-drohī na	ayam ca nizWuraH pitR-drohI na
   atyupasanna-saṃsthānaḥ kāmo1pacāreṣv	ati-upasanna--saMsTAnaH kAma-u1pacArezu-
   a-labdha-vaicakṣaṇyaḥ kalāsu kāvya-nāṭakā3diṣu	a-labDa--vEcakzaNyaH kalAsu kAvya-nAwakA3dizu
   mandā1bhiniveśaḥ śauryo1nmādī dur-vikatthano	mandA1BiniveSaH SOrya-u1nmAdI dur-vikatTanaH-
   an-ṛta-vādī ca a-sthāna-varṣī |	an-Rta-vAdI ca a-sTAna-varzI |
   na atirocate me eṣa bhartā viśeṣataś cai7ṣu	na atirocate me eza BartA viSezataH ca-e7zu
   vāsareṣu |	vAsarezu |
   yad ayam udyāne mad-antaraṅga-bhūtāṃ puṣkarikām	yat ayam udyAne mad--antaraFga-BUtAm puzkarikAm
   apy upānta-vartinīm an-ādṛtya mayi	api upAnta--vartinIm an-AdRtya mayi
   baddha-sāpatnya-matsarām an-ātma-jñām	badDa--sApatnya--matsarAm an-A-Atma--jQAm
   ātma-nāṭakīyāṃ ramayantikā nāma	Atma-nAwakIyAm ramayantikA nAma
   apatya-nir=viśeṣaṃ mat-samvardhitāyāś	apatya--nir=viSezam mat--samvarDitAya-aS
   campaka-latāyāḥ svayam avacitābhiḥ su=manobhir alam	campaka-latAyAH svayam avacitABiH su=manoBiH alam
   akārṣīt |	akArzIt |
   mad-upabhukta-mukte citra-kūṭa-garbha-vedikā-gate	mad--upaBukta-mukte citra-kUwa--garBa-vedikA--gate
   ratna-talpe tayā saha vyahārṣīt |	ratna-talpe tayA saha vyahArzIt |
   a-yogyaś ca pumān avajñātuṃ ca pravṛttaḥ |	a-yogyaH ca pumAn avajQAtum ca pravRttaH |
   tat kim ity apekṣyate |	tat kim iti apekzyate |
   para-loka-bhayaṃ ca aihikena duḥkhena antaritam |	para-loka--Bayam ca Ehikena duHKena antaritam |
   a=viṣahyaṃ hi yoṣitām an=aṅga-śara-niṣaṅgī	a=vizahyam hi yozitAm an=aFga--Sara--nizaFgI
   bhūta-cetasām an=iṣṭa-jana-samvāsa-yantraṇā-duḥkham |	BUta--cetasAm an=izwa--jana--samvAsa--yantraNA--duHKam |
   ato 'munā puruṣeṇa mām adyo7dyāna-mādhavī-gṛhe	atas amunA puruzeNa mAm adya-u7dyAna-mADavI--gRhe
   samāgamaya |	samAgamaya |
   tad-vārtā-śravaṇa-mātreṇai7va hi mama atimātraṃ	tad--vArtA--SravaNa--mAtreNa-e7va hi mama atimAtram
   mano 'nuraktam |	manaH anuraktam |
   asti ca ayam artha-rāśiḥ |	asti ca ayam arTa-rASiH |
   anena amuṣya pade pratiṣṭhāpya tam eva atyantam	anena amuzya pade pratizWApya tam eva atyantam
   upacarya jīviṣyāmi ' iti |	upacarya jIvizyAmi a iti |
   mayā api tad abhyupetya pratyāgatam |	mayA api tat aByupetya pratyAgatam |
   ataḥ paraṃ bhartṛ-dārakaḥ pramāṇam ' iti |	atas param BartR-dArakaH pramANam a iti |
   tatas tasyā eva sakāśād antaḥ-pura-niveśam	tatas tasyAH eva sakASAt antaH-pura--niveSam
   antar-vamśika-puruṣa-sthānāni pramada-vana-pradeśān	antar-vamSika--puruza--sTAnAni pramada-vana--pradeSAn
   api vibhāgena avagamya	api viBAgena avagamya
   asta-giri-kūṭa-pāta-kṣubhita-śoṇita iva	asta-giri-kUwa-pAta--kzuBita--SoNitaH iva
   śoṇībhavati bhānu-bimbe	SoNIBavati BAnu--bimbe
   paścimā1mbudhi-payaḥ-pāta-nirvāpita-pataṅgā1ṅgāra-dhūma-sambhāra	paScima-a1mbuDi--payaH-pAta--nirvApita--pataFga-a1FgAra--DUma--samBAra
   iva bharita-nabhasi tamasi vijṛmbhite para-dāra-parāmarśo1nmukhasya	iva Barita--naBasi tamasi vijRmBite para-dAra--parAm-arSaH-1nmuKasya
   mamā8cāryakam iva kartum utthite	mama-a8cAryakam iva kartum utTite
   guru-parigraha-ślāghini grahā1gre-sare kṣapā-kare	guru--parigraha--SlAGini grahA1gre-sare kzapA-kare
   kalpa-sundarī-vadana-puṇḍarīkeṇe7va	kalpa--sundarI--vadana--puNxarIkeNa-i7va
   mad-darśanā1tirāga-prathamo1panatena smayamānena	mad---darSana-a1ti-rAga--praTama-u1panatena smayamAnena
   candra-maṇḍalena sandhukṣamāṇa-tejasi	candra--maNxalena sanDukzamANa--tejasi
   bhuvana-vijigīṣo2dyate deve kusuma-dhanvani	Buvana--vijigIzo2dyate deve kusuma--Danvani
   yatho2citaṃ śayanīyam abhaje |	yaTo2citam SayanIyam aBaje |
   vyacītaraṃ ca - ' siddha-prāya eva ayam arthaḥ |	vyacItaram ca  a sidDa--prAyaH eva ayam arTaH |
   kiṃ tu para-kalatra-laṅghanād dharma-pīḍā bhavet |	kim tu para-kalatra--laFGanAt Darma--pIxA Bavet |
   sā apy artha-kāmayor dvayor upalambhe	sA api arTa--kAmayoH dvayoH upalamBe
   śāstra-kārair anumatai9ve7ti |	SAstra-kArEH anumatE9ve7ti |
   guru-jana-bandha-mokṣo1pāya-sandhinā mayā cai7ṣa	guru--jana-banDa--mokzaH-1pAya--sanDinA mayA ca-E7za
   vyatikramaḥ kṛtas tad api pāpaṃ nirhṛtya kiyatyā	vyatikramaH kRtaH tat api pApam nirhRtya kiyatyA
   api dharma-kalayā māṃ samagrayed iti |	api Darma--kalayA mAm samagrayet iti |
   api tv etad ākarṇya devo rāja-vāhanaḥ su-hṛdo vā	api tu etat AkarNya devaH rAja-vAhanaH su-hRdaH vA
   kiṃ nu vakṣyanti ' iti cintā-parā1dhīna eva nidrayā	kim nu vakzyanti a iti cintA--para-a1DInaH eva nidrayA
   parāmṛśye |	parAmRSye |
   adṛśyata ca svapne hasti-vaktro bhagavān |	adRSyata ca svapne hasti-vaktraH BagavAn |
   āha sma ca - ' saumya upahāra-varman mā sma te	Aha sma ca  a sOmyaH upahAra--varman mA sma te
