   darpadalanam	darpa-dalanam
   dogdhrīkulodbhavā dhenur vandhyā kasyopayujyate // KDarp_1.13 //	dogDrI-kula-udBavA DenuH vanDyA kasya-upayujyate // KDarp_1.13 //
   svayaṃ kulakṛtastasmād vicārya tyajyatāṃ madaḥ /	svayam kula-kRtaH-tasmAt vicArya tyajyatAm madaH /
   guṇādhīnaṃ kulaṃ jñātvā guṇeṣvādhīyatāṃ matiḥ // KDarp_1.14 //	guNa-aDInam kulam jQAtvA guNezu-ADIyatAm matiH // KDarp_1.14 //
   mūlānveṣaṇacintyamānamaniśaṃ nāstyeva puṃsāṃ kulaṃ strīṇāṃ yatra	mUla-anvezaNa-cintyamAnam-aniSam na-asti-eva puMsAm kulam strINAm yatra
   paramparaiva tanute saṃtānatantukramam /	paramparA-eva tanute saMtAna-tantu-kramam /
   etāsāṃ kṛtakaprapañcaracanālajjāvatīnāṃ puraḥ	etAsAm kRtaka-prapaQca-racanA-lajjAvatInAm puras-
   saṃsaktasmararūḍhagūḍhacaritaṃ tattvena jānāti kaḥ // KDarp_1.15 //	saMsakta-smara-rUXa-gUXa-caritam tattvena jAnAti kaH // KDarp_1.15 //
   kulābhimānābharaṇasya mātā pitāmahī vā prapitāmahī vā /	kula-aBimAna-ABaraNasya mAtA pitAmahI vA prapitAmahI vA /
   yoṣitsvabhāvena yadi praduṣṭā tadeṣa doṣaḥ kulamūlaghātaḥ // KDarp_1.16 //	yozit-svaBAvena yadi praduzwA tat-eza dozaH kula-mUla-GAtaH // KDarp_1.16 //
   sūryavaṃśe triśaṅkuryaś caṇḍālo 'bhūnmahīpatiḥ /	sUrya-vaMSe triSaFkuryaH caNxAlaH aBUt-mahIpatiH /
   dilīparaghurāmādyāḥ kṣitipāstatkulodbhavāḥ // KDarp_1.17 //	dilI-pa-raGu-rAma-AdyAH kzitipAH-tad-kula-udBavAH // KDarp_1.17 //
   bhūbhujāṃ somavaṃśyānāṃ yaḥ pūrvapuruṣo budhaḥ /	BUBujAm soma-vaMSyAnAm yaH pUrva-puruzaH buDaH /
   gurutalpe sa candrasya jāto jagati viśrutaḥ // KDarp_1.18 //	gurutalpe sa candrasya jAtaH jagati viSrutaH // KDarp_1.18 //
   kanyāyāstanayaḥ karṇaḥ kṣetrajāḥ pāṇḍunandanāḥ /	kanyAyAH-tanayaH karNaH kzetra-jAH pANxu-nandanAH /
   sāmānyakulacarcābhiḥ kimanyābhiḥ prayojanam // KDarp_1.19 //	sAmAnya-kula-carcABiH kim-anyABiH prayojanam // KDarp_1.19 //
   mathurāyāmabhūtpūrvaṃ brāhmaṇaḥ śrīmatāṃ varaḥ /	maTurAyAm-aBUt-pUrvam brAhmaNaH SrImatAm varaH /
   yajvā śrutanidhirnāma śrutimānviśrutaśrutaḥ // KDarp_1.20 //	yajvA SrutaniDiH-nAma SrutimAn-viSruta-SrutaH // KDarp_1.20 //
   tasya muktālatā nāma prāṃśuvaṃśasamudbhavā /	tasya muktAlatA nAma prAMSu-vaMSa-samudBavA /
   babhūva vallabhā patnī lāvaṇyalalitākṛtiḥ // KDarp_1.21 //	baBUva vallaBA patnI lAvaNya-lalita-AkRtiH // KDarp_1.21 //
   tasyāṃ tasyābhavatkāntaḥ suvṛttaḥ saguṇāgraṇīḥ /	tasyAm tasya-aBavat-kAntaH su-vRttaH sa-guNa-agraNIH /
   putrastejonidhirnāma vidyāvimaladarpaṇaḥ // KDarp_1.22 //	putraH-tejoniDiH-nAma vidyA-vimala-darpaNaH // KDarp_1.22 //
   sa dhīmānvedavidvādī kaviḥ sarvakalālayaḥ /	sa DImAn-veda-vid-vAdI kaviH sarva-kalA-AlayaH /
   sabhāsu viduṣāṃ cakre lajjayāvanataṃ śiraḥ // KDarp_1.23 //	saBAsu viduzAm cakre lajjayA-avanatam SiraH // KDarp_1.23 //
   taṃ darpadoṣajvaritaṃ grīvāstambhayutaṃ rahaḥ /	tam darpa-doza-jvaritam grIvA-stamBa-yutam rahaH /
   praśamāya pitā snehāt pathyaṃ vaktuṃ pracakrame // KDarp_1.24 //	praSamAya pitA snehAt paTyam vaktum pracakrame // KDarp_1.24 //
   putra mithyābhimānena kiṃ prayāto 'si mūḍhatām /	putra miTyA-aBimAnena kim prayAtaH asi mUXa-tAm /
   yanmadadviradārūḍhaḥ pūjyapūjāsu lajjase // KDarp_1.25 //	yat-mada-dvirada-ArUXaH pUjya-pUjAsu lajjase // KDarp_1.25 //
   nāstyupāyaḥ sa saṃsāre darpaśvabhranipātinām /	na-asti-upAyaH sa saMsAre darpa-Su-aBra-nipAtinAm /
   mūḍhānāṃ kriyate yena kṣanaṃ hastāvalambanam // KDarp_1.26 //	mUXAnAm kriyate yena kzanam hasta-avalambanam // KDarp_1.26 //
   kaṣṭaṃ kenopadiṣṭaste vinaṣṭavinayasmṛteḥ /	kazwam kena-upadizwaH-te vinazwa-vinaya-smRteH /
   madaḥ sādhujanāviṣṭaḥ kulavidyādhanodbhavaḥ // KDarp_1.27 //	madaH sADu-jana-AvizwaH kula-vidyA-Dana-udBavaH // KDarp_1.27 //
   asthiraḥ kulasaṃbandhaḥ sadā vidyāvivādinī /	asTiraH kula-saMbanDaH sadA vidyA-vivAdinI /
   mado mohāya mithyaiva muhūrtanidhanaṃ dhanam // KDarp_1.28 //	madaH mohAya miTyA-eva muhUrta-niDanam Danam // KDarp_1.28 //
   etadeva kulīnatvam etadeva guṇārjanam /	etat-eva kulIna-tvam etat-eva guNa-arjanam /
   yatsadaiva satāṃ satsu vinayāvanataṃ śiraḥ // KDarp_1.29 //	yat-sadA-eva satAm satsu vinaya-avanatam SiraH // KDarp_1.29 //
   dayaiva viditā vidyā satyamevākṣayaṃ dhanam /	dayA-eva viditA vidyA satyam-eva-akzayam Danam /
   akalaṅkavivekānāṃ śīlamevāmalaṃ kulam // KDarp_1.30 //	akalaFka-vivekAnAm SIlam-eva-amalam kulam // KDarp_1.30 //
   abhogasubhagā bhūtir adainyadhavalaṃ kulam /	aBoga-suBagA BUtiH adEnya-Davalam kulam /
   adarpaviśadā vidyā bhavatyunnatacetasām // KDarp_1.31 //	adarpa-viSadAH vidyA Bavati-unnata-cetasAm // KDarp_1.31 //
   dveṣaḥ kasya na doṣāya prītiḥ kasya na bhūtaye /	dvezaH kasya na dozAya prItiH kasya na BUtaye /
   darpaḥ kasya na pātāya nonnatyai kasya namratā // KDarp_1.32 //	darpaH kasya na pAtAya na-unnatyE kasya namra-tA // KDarp_1.32 //
   tyāginā kiṃ daridreṇa kiṃ kulīnena pāpinā /	tyAginA kim daridreNa kim kulInena pApinA /
   tuṣṭena kiṃ kadaryeṇa darpāndhena budhena kim // KDarp_1.33 //	tuzwena kim kadaryeNa darpa-anDena buDena kim // KDarp_1.33 //
   vairāyate suhṛdbhāvaḥ pradānaṃ haraṇāyate /	vErAyate suhRd-BAvaH pradAnam haraNAyate /
   darpabhūtābhibhūtasya vidyā maurkhyaśatāyate // KDarp_1.34 //	darpa-BUta-aBiBUtasya vidyA mOrKya-SatAyate // KDarp_1.34 //
   guṇināṃ matsaraḥ śatrur lubdhānāmatiyācakaḥ /	guNinAm matsaraH SatruH lubDAnAm-atiyAcakaH /
   sarva eva sadarpāṇāṃ na kaścitpriyavādinām // KDarp_1.35 //	sarve eva sa-darpANAm na kaScid-priya-vAdinAm // KDarp_1.35 //
   tasmātkāryastvayā putra nāhaṃkāraḥ kadācana /	tasmAt-kAryaH-tvayA putra na-ahaMkAraH kadAcana /
   darpodgrīvaḥ kilogreṇa mohagrāheṇa gṛhyate // KDarp_1.36 //	darpa-udgrIvaH kila-ugreNa moha-grAheNa gRhyate // KDarp_1.36 //
   vaṃśenonnatiśālinā guṇagaṇenāntaścamatkāriṇā rūpeṇātimanohareṇa mahatā	vaMSena-unnati-SAlinA guNa-gaNena-antar-camat-kAriNA rUpeNa-ati-manohareNa mahatA
   vittena vṛttena vā /	vittena vRttena vA /
   rohanmohamahātarurmadamayaḥ saṃjāyate yaḥ sadā tasyādau	rohat-moha-mahA-taruH-mada-mayaH saMjAyate yaH sadA tasya-AdO
   dṛḍharūḍhamūladalane kāryo 'bhiyogastvayā // KDarp_1.37 //	dRXa-rUXa-mUla-dalane kAryaH aBiyogaH-tvayA // KDarp_1.37 //
   guṇeṣvanādaraṃ putra prāptaśrīrapi mā kṛthāḥ /	guNezu-anAdaram putra prApta-SrIH-api mA kRTAH /
   saṃpūrṇo 'pi ghaṭaḥ kūpād guṇacchinnaḥ patatyadhaḥ // KDarp_1.38 //	saMpUrNaH api GawaH kUpAt guNa=-CinnaH patati-aDas // KDarp_1.38 //
   kulābhimānaṃ tyaja saṃvṛttāgraṃ dhanābhimānaṃ tyaja dṛṣṭanaṣṭam /	kula-aBimAnam tyaja saMvRtta-agram Dana-aBimAnam tyaja dRzwa-nazwam /
   vidyābhimānaṃ tyaja paṇyarūpaṃ rūpābhimānaṃ tyaja kālalehyam // KDarp_1.39	vidyA-aBimAnam tyaja paNya-rUpam rUpa-aBimAnam tyaja kAlalehyam // KDarp_1.39
   putra prayatnena vibodhito 'si na muñcasi tvaṃ yadi darpamoham /	putra prayatnena viboDitaH asi na muQcasi tvam yadi darpa-moham /
   tadeṣa te yāsyati śalyabhāvaṃ tīvrābhitāpaprasavo 'bhimānaḥ // KDarp_1.40	tat-eza te yAsyati Salya-BAvam tIvra-aBitApa-prasavaH aBimAnaH // KDarp_1.40
   vibhūtinalinīgajaḥ sujanamānabhaṅgaśani- nipātapathadaiśikaḥ	viBUti-nalinI-gajaH su-jana-mAna-BaFga-Sani nipAta-paTa-dESikaH
   sukṛtacitradhūmodgamaḥ /	su-kRta-citra-DUma-udgamaH /
   parāśayanavajvaraścaritacandrabimbāmbudaḥ sadā samadacetasāṃ	parASaya-navajvaraH-carita-candra-bimba-ambudaH sadA samada-cetasAm
   guṇavināśaheturmadaḥ // KDarp_1.41 //	guNa-vinASa-hetuH-madaH // KDarp_1.41 //
   anityateyaṃ yadi nityatā syāt sarvaṃ na pāke virasaṃ yadi syāt /	anitya-tA-iyam yadi nityatA syAt sarvam na pAke virasam yadi syAt /
   kulārthavidyādikṛto 'bhimānas tadaiṣa te syānna viḍambanīyaḥ // KDarp_1.42	kula-arTa-vidyA-Adi-kRtaH aBimAnaH tadA-eza te syAt-na vixambanIyaH // KDarp_1.42
   ahaṃ vādī vidyāparicayaguruḥ sarvaviduṣām ahaṃ mānī vāṇīprasaraparipākena	aham vAdI vidyA-paricaya-guruH sarva-viduzAm aham mAnI vANI-prasara-paripAkena
   sukaviḥ /	su-kaviH /
   ahaṃ līlāhaṃsaḥ kuvalayadṛśāṃ mānasacaraḥ karotyantaḥ puṃsāmiti	aham lIlA-haMsaH kuvalaya-dRSAm mAnasa-caraH karoti-antar puMsAm-iti
   madapiśācaḥ paricayam // KDarp_1.43 //	mada-piSAcaH paricayam // KDarp_1.43 //
   lakṣmīḥ kṣaṇakṣayavatī parirakṣitāpi kāyo 'pyapāyanicayasya nikāya eva /	lakzmIH kzaNa-kzayavatI parirakzitA-api kAyaH api-apAya-nicayasya nikAyaH eva /
   saṃbhogayogasukhasaṃgatirapyatathyā mithyābhimānakalanāghana eṣa śāpaḥ //	saMBoga-yoga-suKa-saMgatiH-api-ataTyA miTyA-aBimAna-kalanA-GanaH eza SApaH //
   KDarp_1.44 //	KDarp_1.44 //
   ityukto 'pyasakṛtpitrā līlāmīlitalocanaḥ /	iti-uktaH api-asakRt-pitrA lIlA-mIlita-locanaH /
   sa yayau mattahastīva vegādagaṇitāṅkuśaḥ // KDarp_1.45 //	sa yayO matta-hastI-iva vegAt-agaNita-aFkuSaH // KDarp_1.45 //
   pādena kṣitimālikhanti samadāḥ kopoṣṇaniḥśvāsinas	pAdena kzitim-AliKanti sa-madAH kopa-uzNa-niHSvAsina-s
   tiryagjihmanirīkṣaṇairvidadhati bhrūbhaṅgabhīmaṃ mukham /	tiryak-jihma-nirIkzaNEH-vidaDati BrU-BaFga-BImam muKam /
   sasvedāṅgulikandalīnikaṣaṇaistāmyallalāṭatvacaḥ kampante	sa-sveda-aFguli-kanda-lI-nikazaNEH-tAmyat-lalAwa-tvacaH kampante
   hitamantravādasamaye bhūtābhibhūtā iva // KDarp_1.46 //	hita-mantra-vAda-samaye BUta-aBiBUtAH iva // KDarp_1.46 //
   sa kadācidvarāśveṣu sthiteṣu javakautukāt /	sa kadAcid-vara-aSvezu sTitezu java-kOtukAt /
   pratasthe kharamāruhya vayasyagṛhamutsave // KDarp_1.47 //	pratasTe Karam-Aruhya vayasya-gRham-utsave // KDarp_1.47 //
   tena tīkṣṇapratodena codyamānaḥ punaḥ punaḥ /	tena tIkzNa-pratodena codyamAnaH punar punar /
   kharastīvravyathārto 'bhūt prakṣaratkṣatajokṣitaḥ // KDarp_1.48 //	KaraH-tIvra-vyaTA-ArtaH aBUt prakzarat-kzataja-ukzitaH // KDarp_1.48 //
   srutākṣaḥ kathitakleśaḥ svasvanocitasaṃjñayā /	sruta-akzaH kaTita-kleSaH sva-svana-ucita-saMjQayA /
   so 'vadatsaṃmukhāyātāṃ gardabhīṃ jananīṃ nijām // KDarp_1.49 //	saH avadat-saMmuKa-AyAtAm gardaBIm jananIm nijAm // KDarp_1.49 //
   mātarbrāhmaṇaputro 'yaṃ paśya māmadhamāśayaḥ /	mAtar-brAhmaNa-putraH ayam paSya mAm-aDama-ASayaH /
   vidārayanpratodena vahantaṃ hantumudyataḥ // KDarp_1.50 //	vidArayan-pratodena vahantam hantum-udyataH // KDarp_1.50 //
   kiṃ karomi yamenāhaṃ labdho 'nena durātmanā /	kim karomi yamena-aham labDaH anena durAtmanA /
   avaṭe pātayāmyenaṃ tanuṃ śvabhre kṣipāmi vā // KDarp_1.51 //	avawe pAtayAmi-enam tanum SvaBre kzipAmi vA // KDarp_1.51 //
   ityārtarāviṇaṃ putraṃ sāśrunetrātha gardabhī /	iti-Arta-rAviNam putram sa-aSru-netra-aTa gardaBI /
   tamuvāca sasaṃtāpaṃ snehasaṃkrantatadyathā // KDarp_1.52 //	tam-uvAca sa-saMtApam sneha-saMkranta-tat-yaTA // KDarp_1.52 //
   vahainaṃ durmadaṃ putra sahasva viṣamāṃ vyathām /	vaha-enam durmadam putra sahasva vizamAm vyaTAm /
   asya nāstyeva hṛdaye dāruṇe karuṇākaṇaḥ // KDarp_1.53 //	asya na-asti-eva hRdaye dAruNe karuNA-kaNaH // KDarp_1.53 //
   raudraḥ śūdreṇa jāto 'yaṃ brāhmaṇyāṃ brahmavarjitaḥ /	rOdraH SUdreNa jAtaH ayam brAhmaNyAm brahma-varjitaH /
   paraduḥkhaṃ na jānāti caṇḍaṃ caṇḍālaceṣṭitaḥ // KDarp_1.54 //	para-duHKam na jAnAti caNxam caNxAla-cezwitaH // KDarp_1.54 //
   dayādaridraṃ hṛdayaṃ vacaḥ krakacakarkaśam /	dayA-daridram hRdayam vacaH krakaca-karkaSam /
   yonisaṃkarajātānām etatpratyakṣalakṣaṇam // KDarp_1.55 //	yoni-saMkara-jAtAnAm etad-pratyakza-lakzaNam // KDarp_1.55 //
   navanītopamā vāṇī karuṇākomalaṃ manaḥ /	navanIta-upamA vANI karuNA-komalam manaH /
   ekabījaprajātānāṃ bhavatyavanataṃ śiraḥ // KDarp_1.56 //	eka-bIja-prajAtAnAm Bavati-avanatam SiraH // KDarp_1.56 //
   raṭati kaṭukāṭopaṃ kopādakāraṇavairavān spṛśati na dayāṃ dainyāpanne	rawati kawuka-Awopam kopAt-akAraNa-vEravAn spRSati na dayAm dEnya-Apanne
   vijātitayā śaṭhaḥ /	vijAtitayA SaWaH /
   kṣaṇarasikatālolaḥ sevāśritānavamanyate guṇiṣu kurute	kzaNa-rasika-tA-lolaH sevA-ASritAn-avamanyate guNizu kurute
   garvodgārānakharvagalaḥ khalaḥ // KDarp_1.57 //	garva-udgArAn-aKarvagalaH KalaH // KDarp_1.57 //
   iti duḥsahamākarṇya gardabhīvacanaṃ dvijaḥ /	iti duHsaham-AkarNya gardaBI-vacanam dvijaH /
   sarvaprāṇisvanābhijñaḥ saṃmohābhihato 'patat // KDarp_1.58 //	sarva-prANi-svanABi-jQaH saMmoha-aBihataH apatat // KDarp_1.58 //
   sa labdhasaṃjñaḥ sucirān meruśṛṅgādiva cyutaḥ /	sa labDa-saMjQaH su-cirAt meru-SRFgAt-iva cyutaH /
   tatyāja sahasā darpaṃ naṣṭākhilakulonnatiḥ // KDarp_1.59 //	tatyAja sahasA darpam nazwa-aKila-kula-unnatiH // KDarp_1.59 //
   saṃmūrcchito viṣeṇeva sa gatvā māturantikam /	saMmUrcCitaH vizeNa-iva sa gatvA mAtuH-antikam /
   yathāśrutaṃ nivedyāsyai sarvaṃ papraccha tāṃ rahaḥ // KDarp_1.60 //	yaTASrutam nivedya-asyE sarvam papracCa tAm rahaH // KDarp_1.60 //
   tanutyāgapravṛttena pṛṣṭā sā tena śāpitā /	tanu-tyAga-pravRttena pRzwA sA tena SApitA /
   adhomukhī tamavadad vailakṣyalulitākṣaraiḥ // KDarp_1.61 //	aDomuKI tam-avadat vElakzya-lulita-akzarEH // KDarp_1.61 //
   lajjākaramasatkarma kathaṃ tatkathayāmi te /	lajjA-karam-asat-karma kaTam tat-kaTayAmi te /
   saṃsārādapi sāścaryaṃ gahanaṃ strīviceṣṭitam // KDarp_1.62 //	saMsArAt-api sa-AScaryam gahanam strI-vicezwitam // KDarp_1.62 //
   api kuñjarakarṇāgrād api pippalapallavāt /	api kuQjara-karNa-agrAt api pippala-pallavAt /
   api vidyudvilasitād vilolaṃ lalanāmanaḥ // KDarp_1.63 //	api vidyut-vilasitAt vilolam lala-nA-manaH // KDarp_1.63 //
   na bādhyante guṇaiḥ patyur na lakṣyante parīkṣakaiḥ /	na bADyante guNEH patyuH na lakzyante parIkzakEH /
   na dhanena nivāryante śīlatyāgodyatāḥ striyaḥ // KDarp_1.64 //	na Danena nivAryante SIla-tyAga-udyatAH striyaH // KDarp_1.64 //
   dhanayauvanasaṃjāta- darpakāluṣyaviplavāḥ /	Dana-yOvana-saMjAta darpa-kAluzya-viplavAH /
   kenonnataparibhraṣṭā vāryante nimnagāḥ striyaḥ // KDarp_1.65 //	kena-unnata-pariBrazwAH vAryante nimnagAH striyaH // KDarp_1.65 //
   dehapradāḥ prāṇaharā narāṇāṃ bhīrusvabhāvāḥ praviśanti vahnim /	deha-pradAH prANa-harAH narANAm BIru-svaBAvAH praviSanti vahnim /
   krūrāḥ paraṃ pallavapeśalāṅgyo mugdhā vidagdhānapi vañcayanti //	krUrAH param pallava-peSala-aFgyaH mugDAH vidagDAn-api vaQcayanti //
   KDarp_1.66 //	KDarp_1.66 //
   ahaṃ pura rajaḥsnātā kāle kusumulāñchane /	aham pura rajaH-snAtA kAle kusumulAQCane /
   ekākinī puṣpavane yauvanonmādinī sthitā // KDarp_1.67 //	ekAkinI puzpa-vane yOvana-unmAdinI sTitAH // KDarp_1.67 //
   vratadīkṣāpare patyau serṣyeva vinatānanā /	vrata-dIkzA-pare patyO sa-IrzyA-iva vinatA-AnanAH /
   unnatastanavinyasta- hastā ciramacintayam // KDarp_1.68 //	unnata-stana-vinyasta hastA ciram-acintayam // KDarp_1.68 //
   etāḥ śvasanasotkampāḥ sajṛmbhāḥ ṣaṭpadasvanaiḥ /	etAH Svasana-sa-utkampAH sa-jRmBAH zawpada-svanEH /
   sotkaṇṭhamiva gāyanti latāḥ puṣparajakhalāḥ // KDarp_1.69 //	sa-utkaNWam-iva gAyanti latAH puzparaja-KalAH // KDarp_1.69 //
   udbhinnayauvanākrāntā priyabhogaviyoginī /	udBinna-yOvana-AkrAntA priya-Boga-viyoginI /
   vrataśeṣajuṣaḥ patyur doṣeṇaivāsmi niṣphalā // KDarp_1.70 //	vrata-Seza-juzaH patyuH dozeNa-eva-asmi nizPalAH // KDarp_1.70 //
   iti cintākṣaṇe tasmiṃl lagnābhimukhadarpaṇaḥ /	iti cintA-kzaNe tasmin lagna-aBimuKa-darpaNaH /
   nāpitaḥ parihāsākhyaḥ śīlaśatrurivāyayau // KDarp_1.71 //	nApitaH parihAsa-AKyaH SIla-SatruH-iva-AyayO // KDarp_1.71 //
   sa māmekākinīṃ dṛṣṭvā naṣṭasaṃvṛttikātarām /	sa mAm-ekAkinIm dRzwvA nazwa-saMvRtti-kAtarAm /
   pasparśotkampinīṃ pāda- nakhagrahaṇalīlayā // KDarp_1.72 //	pasparSa-utkampinIm pAda naKa-grahaNa-lIlayA // KDarp_1.72 //
   tatrāhaṃ vṛttakartavyā nīcasaṃgamalajjayā /	tatra-aham vRtta-kartavyA nIca-saMgama-lajjayA /
   adhomukhī cyutaṃ śīlaṃ vīkṣamāṇeva mūrcchitā // KDarp_1.73 //	aDomuKI cyutam SIlam vIkzamANA-iva mUrcCitAH // KDarp_1.73 //
   avidūre carantī sā kharī sarvaṃ dadarśa tat /	avidUre carantI sA KarI sarvam dadarSa tat /
   gūḍhagarbhapradaṃ caitat karma me kulapātakam // KDarp_1.74 //	gUXa-garBa-pradam ca-etat karma me kula-pAtakam // KDarp_1.74 //
   āstāṃ kimanayā putra guptavṛttāntacarcayā /	AstAm kim-anayA putra gupta-vRttAnta-carcayA /
   saṃvṛttānyeva śobhante śarīrāṇi kulāni ca // KDarp_1.75 //	saMvRttAni-eva SoBante SarIrANi kulAni ca // KDarp_1.75 //
   iti māturvacaḥ śrutvā yātaḥ sa sahasāndhatām /	iti mAtuH-vacaH SrutvA yAtaH sa sahasA-anDatAm /
   jātimānāvapatanān nirjīvita ivābhavat // KDarp_1.76 //	jAti-mAn-a-avapatanAt nirjIvitaH iva-aBavat // KDarp_1.76 //
   atha gatvā nirāhāraḥ sa kailāsāṭṭāhāsinīm /	aTa gatvA nirAhAraH sa kElAsa-awwa-AhAsinIm /
   āśāṃ brāhmaṇyabaddhāśaś cacāra suciraṃ tapaḥ // KDarp_1.77 //	ASAm brAhmaNya-badDa-ASaH cacAra su-ciram tapaH // KDarp_1.77 //
   tasyogratapasā tuṣṭaḥ svayameva śatakratuḥ /	tasya-ugra-tapasA tuzwaH svayam-eva SatakratuH /
   brāhmaṇyaṃ yācamānasya na dadau durlabhaṃ bhuvi // KDarp_1.78 //	brAhmaNyam yAcamAnasya na dadO durlaBam Buvi // KDarp_1.78 //
   punaḥ punaḥ sa tapasā saṃtāpitajagattrayaḥ /	punar punar sa tapasA saMtApita-jagattrayaH /
   sahasrākṣavarātprāpa devatvaṃ na tu vipratām // KDarp_1.79 //	sahasra-akza-varAt-prApa deva-tvam na tu vipra-tAm // KDarp_1.79 //
   chandodevābhidhāno 'tha so 'bhavadbhuvi viśrutaḥ /	Candodeva-aBiDAnaH aTa saH aBavat-Buvi viSrutaH /
   pratyabdamekadivase hy arcanīyo mṛgīdṛśām // KDarp_1.80 //	pratyabdam-eka-divase hi arcanIyaH mRgI-dRSAm // KDarp_1.80 //
   saṃmohapātālaviśālasarpas tasmānna kāryaḥ kulajātidarpaḥ /	saMmoha-pAtAla-viSAla-sarpaH tasmAt-na kAryaH kula-jAti-darpaH /
   śamakṣamādānadayāśrayāṇāṃ śīlaṃ viśālaṃ kulamāmananti // KDarp_1.81 //	Samakzama-AdAna-daya-ASrayANAm SIlam viSAlam kulam-Amananti // KDarp_1.81 //
   mātā na yasyāstyavivekarāśiḥ punarbhavābdhirjanako na yasya /	mAtA na yasya-asti-aviveka-rASiH punarBava-abDiH-janakaH na yasya /
   yasya prasaktā dayitā na tṛṣṇā sa eva loke kuśalī kulīnaḥ // KDarp_1.82 //	yasya prasaktA dayitA na tRzNA saH eva loke kuSalI kulInaH // KDarp_1.82 //
   dvitīyo vicāraḥ	dvitIyaH vicAraH
   dhanena darpaḥ kimayaṃ narāṇāṃ lakṣmīkaṭākṣāñcalacañcalena /	Danena darpaH kim-ayam narANAm lakzmI-kawAkza-aQcala-caQcalena /
