   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   START BsRp_3,1.1.2ḥ	START BsRp _3,1.1.2H
   tryātmakatvāt tu bhūyastvāt | BBs_3,1.2 |	tri Atmaka tvAt tu BUyastvAt | BBH _3,1.2 |
   nanu pākasvedagandharūpakāryatrayopalabdhestryātmako deha ityayuktam /	nanu pAka sveda ganDa rUpa kArya traya upalabDeH tri AtmakaH dehaH iti ayuktam /
   prāṇāvakāśayorapyupalabdhyā dehasya pañcabhūtātmatvādityarucyā	prANa avakASayoH api upalabDyA dehasya paQcaBUta Atma tvAditya rucyA
   vyākhyāntaramāha punaśceti /	vyAKyA antaram Aha punar ca iti /
   dehadhārakatvāddhātavastaistridhātutvātryāyātmaka ityanvayaḥ /	deha DAraka tvAt DAtavaH tEH tri DAtu tva atryAya AtmakaH iti anvayaH /
   dehasya kevalābjatve vātaṃ pittaṃ ca vāyavyaṃ taijasaṃ na syātāmiti bhāvaḥ	dehasya kevala abja tve vAtam pittam ca vAyavyam tEjasam na syAtAm iti BAvaH
   pṛthivītarabhūtāpekṣayāpāṃ bāhulyam /	pRTivI itara BUta apekzayA apAm bAhulyam /
   kiñca dehanimittānāṃ karmaṇāmabbāhulyāttābhirbhūtāntarāṇyupalakṣyanta	kiQca deha nimittAnAm karmaNAm ap bAhulyAt tABiH BUta antarANi upalakzyanta
   ityāha karma cetyādinā //2//	iti Aha karma ca ityAdinA //2//
   END BsRp_3,1.1.2	END BsRp _3,1.1.2
   START BsRp_3,1.1.3ḥ	START BsRp _3,1.1.3H
   prāṇagateś ca | BBs_3,1.3 |	prANa gateH ca | BBH _3,1.3 |
   utkrāntau prāṇā dehabījapañcabhūtāśrayāḥ	utkrAntO prANAH deha bIja paQcaBUta ASrayAH
   prāṇatvajjīvaddehasthaprāṇavadityāha prāṇagateśceti //3//	prANa tvat jIvat deha sTa prANavat iti Aha  prANa gateH ca iti //3//
   END BsRp_3,1.1.3	END BsRp _3,1.1.3
   START BsRp_3,1.1.4ḥ	START BsRp _3,1.1.4H
   agnyādigatiśruter iti cen na bhāktatvāt | BBs_3,1.4 |	agni Adi gati SruteH iti ced na BAkta tvAt | BBH _3,1.4 |
   prāṇānāṃ gatirasiddhetyāśaṅkya niṣedhati agnyādīti /	prANAnAm gatiH asidDA iti ASaFkya nizeDati agni Adi iti /
   adarśanādoṣadhivanaspatigamanasyeti śeṣaḥ /	adarSanAt ozaDi vanaspati gamanasya iti SezaH /
   lomānyapiyantītyarthaḥ //	lomAni apiyanti iti arTaH //
   prāṇānāmagnyādiṣu layasya mukhyatve jīvasya gatibhogayorayogātsarve prāṇā	prANAnAm agni Adizu layasya muKya tve jIvasya gati BogayoH ayogAt sarve prANA
   anūtkrāmantīti vispaṣṭaśruterlomādigauṇalayapāṭhācca gauṇatvamityarthaḥ	anUtkrAmantI iti vispazwa SruteH loma Adi gONalaya pAWAt ca gONa tvam iti arTaH
   END BsRp_3,1.1.4	END BsRp _3,1.1.4
   START BsRp_3,1.1.5ḥ	START BsRp _3,1.1.5H
   prathame 'śravaṇād iti cen na tā eva hy upapatteḥ | BBs_3,1.5 |	praTame aSravaNAt iti ced na tAH eva hi upapatteH | BBH _3,1.5 |
   bhūtāntarayuktānāmapāṃ gatimuktvā puruṣavacastvaṃ tāsāmākṣipya	BUta antara yuktAnAm apAm gatim uktvA puruza vacaH tvam tAsAm Akzipya
   samādhatte prathama iti /	samADatte  praTamaH iti /
   nanu prathamapadaṃ vyarthamuttarāgniṣvapyapāmaśravaṇādityāśaṅkya	nanu praTama padam vyarTam uttara agnizu api apAma SravaNAt ityASaFkya
   somavṛṣṭyannaretasāmabrūpatvāduttaratra tāsāṃ śravaṇamasti, na prathama	soma vRzwi annaretasAm ap rUpatvAt uttaratra tAsAm SravaNam asti, na praTama 
   ityāha yadināmeti /	iti Aha yadinAma iti /
   pañcāgniṣvapāmāhutitve siddhe tāsāṃ pañcamyāmāhutau puruṣavacastvaṃ	paQca agnizu apAm Ahuti tve sidDe tAsAm paQcamyAm AhutO puruza vacaH tvam
   bhavenna tatsiddhaṃ prathamāgnau tāsāmanāhutitvāditi śaṅkārthaḥ evaṃ hi	Bavet na tat sidDam praTama agnO tAsAm anAhuti tvAt iti SaFkA arTaH evam hi
   śraddhāśabdenāpāṃ grahe sati praśnottaropasaṃhārāṇāṃ	SradDA Sabdena apAm grahe sati praSna uttara upasaMhArANAm
   saṃgānādekārthatvādekavākyatopapadyate, agrahe tu	saMgAnAt ekArTa tvAt eka vAkyatA upapadyate, agrahe tu
   caturṣvagniṣvevāpāmāhutitvāccaturthyāmāhutāviti vācyaṃ, ataḥ	caturzu agnizu eva apAm Ahuti tvAt caturTyAm AhutO= iti vAcyaM, atas 
   praśnopasaṃhārayoḥ pañcamyāmiti śravaṇāt, prathamāgnāvapyāpa eva grāhyā	praSna upasaMhArayoH paQcamyAm iti SravaNAt, praTama agnO= api ApaH eva grAhyA
   iti samādhānārthaḥ /	iti samADAna arTaH /
   anapaḥ adbhyo 'nyataḥ /	anapaH adByaH anyatas /
   etadeveti /	etat eva iti /
   śraddhāśabdasyābarthakatvaṃ darśayatītyarthaḥ /	SradDA Sabdasya AbarTaka tvam darSayati iti arTaH /
   upapatterityasyārthāntaramāha śraddhākāryamiti /	upapatteH iti asya arTa antara mAha SradDA kAryam iti /
   tasyāḥ śraddhāhuteḥ somaḥ saṃbhavatītyādinā śraddhāsomādīnāṃ	tasyAH SradDA AhuteH somaH saMBavati ityAdinA SradDA soma AdInAm
   pūrvapūrvapariṇāmatvaṃ śrutaṃ tato dravapariṇāmatvāt śraddhāyā aptvaṃ	pUrva pUrva pariNAma tvam Srutam tatas drava pariNAma tvAt SradDAyAH ap tvam
   pratyayātmakamukhyaśraddhāyā āhutitvāyogāccetyarthaḥ /	pratyaya Atmaka muKya SradDAyAH Ahuti tva ayogAt ca iti arTaH /
   śraddhāśabdasyāpsu sūkṣmatvaguṇena vṛttimuktvā lakṣaṇāṃ vaktuṃ śraddhāyā	SradDA Sabdasya apsu sUkzma tvaguNena vRttim uktvA lakzaNAm vaktum SradDAyAH 
   adbhirekakarmayogitvaṃ hetutvaṃ vā saṃbandhamāha śraddhāpūrvaketi /	adBiH eka karma yogi tvam hetu tvam vA saMbanDa mAha  SradDA pUrvakA iti /
   asmai yajamānāya /	asmE yajamAnAya /
   snānādyarthamāpaḥ śraddhāṃ saṃnamante janayantīti śrutyarthaḥ //5//	snAna Adi arTam ApaH SradDAm saMnamante janayanti iti Sruti arTaH //5//
   END BsRp_3,1.1.5	END BsRp _3,1.1.5
   START BsRp_3,1.1.6ḥ	START BsRp _3,1.1.6H
   aśrutatvād iti cen neṣṭādikāriṇāṃ pratīteḥ | BBs_3,1.6 |	aSruta tvAt iti ced na izwa Adi kAriNAm pratIteH | BBH _3,1.6 |
   apāṃ gatimupetyādbhiḥ saha jīvānāṃ gatimākṣipya samādhatte athāpītyādinā /	apAm gatim upetya adBiH saha jIvAnAm gatim Akzipya samADatte aTa api ityAdinA /
   dyulokāgnau śraddhāhuteḥ somo rājā saṃbhavatītyuktvā vākyaśeṣe	dyu loka agnO SradDA AhuteH somaH rAjA saMBavati iti uktvA vAkya Seze
   dhūmādimārgeṇa ākāśāccandramasaṃ prāptā iṣṭyādikāriṇa eṣa somo	DUma Adi mArgeNa AkASAt candramasam prAptAH izwi Adi kAriNaH eza somaH 
   rājetyuktāḥ, ataḥ somarājāśabdasāmānyādiṣṭyādikāriṇāṃ jīvānāṃ	rAjA iti uktAH, atas somarAjA Sabda sAmAnya Adizwi Adi kAriNAm jIvAnAm
   śraddhāśabditādbhiḥ saha gatiriha śraddhāhutivākye pratīyata ityarthaḥ /	SradDA SabditA adBiH saha gatiH iha SradDA huti vAkye pratIyate iti arTaH /
   teṣāṃ sūkṣmābhirdravyāpūrvarūpābhiḥ pañcīkṛtābhiradbhiḥ saṃbandhaṃ vadan	tezAm sUkzmABiH dravya apUrvarUpABiH paQcIkRtABiH adBiH saMbanDam vadan
   sahagatiṃ vivṛṇoti teṣāṃ cāgnihotreti /	saha gatim vivRNoti tezAm ca agnihotra iti /
   nidhanaṃ maraṇaṃ tannimittakamantyeṣṭividhānaṃ, asau yajamānaḥ, svargāya	niDanam maraNam tat nimittakam antyA izwi viDAnan, asO yajamAnaH, svargAya
   gacchatviti mantrārthaḥ /	gacCatu iti mantra arTaH /
   hutadravyarūpāṇāmapāṃ gamane śrutyantaramāha tathāceti /	huta dravya rUpANAm apAm gamane Sruti antaram Aha taTA ca iti /
   agnihotraprakaraṇe janakena yājñavalkyaṃ prati 'natvevainayoḥ	agnihotra prakaraNe janakena yAjQavalkyam prati anatu eva enayoH
   sāyaṃprātarāhutyostvamutkrāntiṃ na gatiṃ na pratiṣṭhāṃ na tṛptiṃ na	sAyaMprAtara AhutyoH tvam utkrAntim na gatim na pratizWAm na tRptim na
   punarāvṛttiṃ na lokaṃ pratyutthāyinaṃ vettha'iti ṣaṭ praśnāḥ kṛtāsteṣāṃ	punarAvRttim na lokam pratyutTAyinam vetTa aiti zaw praSnAH kRtAH tezAm
   nirvacanamapi rājñaiva 'te vā ete āhutī hute utkrāmataḥ te 'ntarikṣadvārā	nirvacanam api rAjQA eva ate vE ete AhutI hute utkrAmataH te antarikza dvArA
   divaṃ gacchataste divamevāhavanīyaṃ pratiṣṭhāṃ kurvāte divaṃ tarpayataste	divam gacCataH te divam eva AhavanIyam pratizWAm kurvAte divam tarpayataH te
   tataḥ punarāvartete tataḥ pṛthivyāṃ puruṣe yoṣiti ca hute	tatas punar Avartete tatas pRTivyAm puruze yoziti ca hute
   puruṣarūpeṇottiṣṭhataḥ'iti vākyaśeṣeṇa kṛtam //6//	puruza rUpeNa uttizWataH aiti vAkya SezeNa kRtam //6//
   END BsRp_3,1.1.6	END BsRp _3,1.1.6
   START BsRp_3,1.1.7ḥ	START BsRp _3,1.1.7H
   bhāktaṃ vānātmavittvāt tathā hi darśayati | BBs_3,1.7 |	BAktam vAnAtma vid tvAt taTA hi darSayati | BBH _3,1.7 |
   saṃpratyuttarasūtravyāvartyaṃ śaṅkate kathamityādinā /	saMprati uttara sUtra vyAvartyam SaFkate  kaTam ityAdinA /
   atra somākhyacandrasyānnatvamuktaṃ neṣṭādikāriṇāmiti bhrāntinirāsārthaṃ	atra soma AKya candrasya anna tvam uktam na izwa Adi kAriNAm iti BrAnti nirAsa arTam
   śrutyantaramāha te candramiti /	Sruti antaram Aha te candram iti /
   yathā yajñe camasasthaṃ somamṛtvija āpyāyasveti kriyāvṛttau loṭ punaḥ	yaTA yajQe camasa sTam somam RtvijaH ApyAyasva iti kriyA vRttO loz punar 
   punarāpyāyya punaḥ punarapakṣayya bhakṣayanti /	punar ApyAyya punar punar apakzayya Bakzayanti /
   evamenāniṣṭādikāriṇo 'nnarūpān bhakṣayanti devā ityarthaḥ /	evam ena anizwa Adi kAriNaH anna rUpAn Bakzayanti devAH iti arTaH /
   adhikriyate puruṣo vidhinā saṃbadhyate 'nenetyadhikāraḥ phalakāmanā /	aDikriyate puruzaH viDinA saMbaDyate anena iti aDikAraH Pala kAmanA /
   śāstrānarthakyavāraṇāya annatvaṃ goṇamiti bhāvaḥ /	SAstra anarTakya vAraNAya anna tvam goNam iti BAvaH /
   kena doṣeṇa teṣāṃ devabhogyatetyata āha anātmavittvācceti /	kena dozeNa tezAm deva Bogya tA iti atas Aha ana Atma vid tvAt ca iti /
   yathā paśurbhogya evamajñaḥ sa bhedadhīmān devānāṃ bhogya ityarthaḥ /	yaTA paSuH BogyaH evam ajQaH sa Beda DImAn devAnAm BogyaH iti arTaH /
   ātmaśabdasya mukhyatvabalena sūtrāṃśaṃ vyākhyāya prakṛtapañcāgnayaḥ	Atma Sabdasya muKya tva balena sUtra aMSam vyAKyAya prakRta paQca agnayaH
   sūtrakṛtātmatvenopacaritā iti vyākhyāntaramāha anātmetyādinā /	sUtra kRtAtma tvena upacaritAH iti vyAKyA antaram Aha ana Atma ityAdinA /
   vidyāstutyarthamannatvaṃ na mukhyamityatra śrutyantarārthaṃ sūtraśeṣaṃ	vidyA stuti arTam anna tvam na muKyam iti atra Sruti antara arTam sUtra Sezam
   vyācaṣṭe tathāhīti /	vyAcazwe  taTA ahi iti /
   evaṃ gatiparyālocanayā vairāgyamiti siddham //7//	evam gati paryAlocanayA vErAgyam iti sidDam //7//
   END BsRp_3,1.1.7	END BsRp _3,1.1.7
   START BsRp_3,1.2.8ḥ	START BsRp _3,1.2.8H
   kṛtātyaye 'nuśayavān dṛṣṭasmṛtibhyāṃ yathetamanevaṃ ca | BBs_3,1.8 |	kRta atyaye anuSayavAn dRzwa smRtiByAm yaTetam anevam ca | BBH _3,1.8 |
   idānīṃ gatyantarabhāvinīmāgatiṃ nirūpapayati kṛtātyaya iti /	idAnIm gati antara BAvinIm Agatim nirUpa payati kRta atyayaH iti /
   bhoktavyakarmasamāptyānantaryamathaśabdārthaḥ /	Boktavya karma samApti A anantaryam aTa Sabda arTaH /
   yathetamityārabhya śvādiyonimityantaṃ vākyaṃ yāvattāvadāmnāyata iti yojanā	yaTetam iti AraBya Sva Adi yonim iti antam vAkyam yAvat tAvat AmnAyate iti yojanA
   atra yāvatsaṃpātamiti viśeṣaṇādramaṇīyacaraṇā iti vākyācca	atra yAvat saMpAtam iti viSezaNAt ramaNIya caraNAH iti vAkyAt ca
   saṃśayamāha tatreti /	saMSayam Aha tatra iti /
   anuśayaḥ karma, atra pūrvapakṣe karmābhāvenāgateraniyamādvairāgyādārḍhyaṃ,	anuSayaH karma, atra pUrva pakze karma aBAvena AgateH aniyamAt vErAgyA dArXyaM,
   siddhānte karmasattvenāgatiniyamādvairāgyadārḍhyamiti bhedaḥ /	sidDAnte karma sattvena agati niyamAt vErAgya dArXyam iti BedaH /
   teṣāmiṣṭādikāriṇāṃ yadā tatkarma paryavaiti viparikṣīṇaṃ bhavati tadā	tezAm izwa Adi kAriNAm yadA tat karma paryavEti viparikzINam Bavati tadA
   punarāvartanta iti śrutyantareṇāpi kṛtsrakarmaṇaścandraloke	punar Avartante iti Sruti antareNa api kRtsra karmaNaH candra loke
   bhuktatvamucyata ityarthaḥ /	Bukta tvam ucyate iti arTaH /
   yāvatpadasaṅkoco na yuktaḥ śrutyantaravirodhādityāha naivamiti /	yAvat pada saFkocaH na yuktaH Sruti antara viroDAt itya aha na evam iti /
   ayaṃ naro yatkiñcidiha loke karma karoti tasyāntaṃ phalaṃ paraloke prāpya	ayam naraH yat kiQcid iha loke karma karoti tasya antam Palam para loke prApya
   karmārthaṃ punarāyātīti śrutyarthaḥ /	karma arTam punar AyAti iti Sruti arTaH /
   karmābhāve śrutimuktvā yuktimāha apiceti /	karma aBAve Srutim uktvA yuktim Aha apicA iti /
   abhivyaktiḥ phalonmukhatā, maraṇenābhivyaktasya sarvasya karmaṇaḥ	aBivyaktiH Pala unmuKa tA, maraNena aBivyaktasya sarvasya karmaNaH
   paralokabhogasyāvaśyaṃbhāvātkarmābhāva ityarthaḥ /	para loka Bogasya avaSyaMBAvAt karma aBAvaH iti arTaH /
   caraṇākhyasīlamātrādavaroha iti prāpte siddhāntapratijñāṃ	caraNa AKya sIla mAtrAt avarohe iti prApte sidDAnta pratijQAm
   vyācaṣṭe yenetyādinā /	vyAcazwe yena ityAdinA /
   tat tatrāvarohatāṃ jīvānāṃ madhye ye kecidiha karmabhūmau ramaṇīyacaraṇāḥ	tat tatra avarohatAm jIvAnAm maDye ye kecid iha karma BUmO ramaNIya caraNAH
   puṇyakarmāṇaḥ puṇyayonibhāja iti yat tat abhyāśo ha avaśyaṃ hītyarthaḥ /	puNya karmANaH puNya yoni BAjaH iti yat tat aByASaH ha avaSyam hi iti arTaH /
   kapūyaṃ pāpam /	kapUyam pApam /
   dṛṣṭaśabdasya śrutyarthamuktvārthāntaramāha dṛṣṭaśceti /	dRzwa Sabdasya Sruti arTam uktvA arTa antaram Aha dRzwaH ca iti /
   'puṇyo vai puṇyena karma bhavati pāpaḥ pāpena'ityādiśāstreṇa	apuNyaH vE puNyena karma Bavati pApaH pApena aitya Adi SAstreNa
   sukhaduḥkhayordharmārdharmahetukatvamavagatam /	suKa duHKayoH Darma arDarma hetuka tvam avagatam /
   tataśca janmārabya dṛṣṭo bhogaḥ karmahetukaḥ bhogatvāt,	tatas ca janma Arabya dRzwaH BogaH karma hetukaH Boga tvAt,
   svargabhogavadityānuśayasiddhiḥ, vipakṣe ca hetvabhāvāt	svarga Boga vat ityA anuSaya sidDiH, vipakze ca hetu aBAvAt 
   bhogasyākasmikatvaprasaṅga ityarthaḥ /	Bogasya Akasmika tva prasaFgaH iti arTaH /
   smṛtavāśramāḥ āśramiṇaḥ pretya mṛtvā lokāntare karmaphalaṃ bhuktvā tataḥ	smRtavASramAH ASramiNaH pretya mRtvA loka antare karma Palam BuktvA tatas 
   śeṣeṇa bhuktādanyena karmaṇā anuśayākhyena punarjanma pratipadyante iti	SezeNa BuktAt anyena karmaNA anuSaya AKyena punarjanma pratipadyante iti
   saṃbandhaḥ /	saMbanDaH /
   viśiṣṭā deśādayo medhāntā daśa guṇā yeṣu te tathoktāḥ /	viSizwAH deSa AdayaH meDAntAH daSa guNAH yezu te taTA uktAH /
   śrutaṃ jñānaṃ, vṛttaṃ ācāraḥ /	Srutam jQAnaM, vRttam AcAraH /
   svābhimatānuśayaṃ vaktuṃ pṛcchati kaḥ punariti /	sva aBimata anuSayam vaktum pRcCati kaH punar iti /
   kṛtasya karmaṇaḥ svarge bhoge sati bhuktasya karmaṇo leśo	kRtasya karmaNaH svarge Boge sati Buktasya karmaNaH leSaH 
   'nuśayastadvānavarohati bhāṇḍe snehaleśasya dṛṣṭatvāt, tataḥ śeṣeṇeti	anuSayaH tat vA an avarohati BANxe sneha leSasya dRzwa tva at, tatas SezeNa iti
   smṛteścetyekadeśivyākhyāmāha kecidityādinā /	smRteH ca iti eka deSi vyAKyAmAha kecid ityAdinA /
   ricyamānaṃ snehena viyujyamānam /	ricyamAnam snehena viyujyamAnam /
   nanu bhoganāśyatvāt karmaṇo leśo na yuktaḥ iti śaṅkate nanviti /	nanu Boga nASya tvAt karmaNaH leSaH na yuktaH iti SaFkate nanu iti /
   kṛtsnakarmaṇo bhoge jāte nāśaḥ syāt, natu bhogo jāta iti parihārārthaḥ /	kRtsna karmaNaH Boge jAte nASaH syAt, na tu BogaH jAtaH iti parihAra arTaH /
   bhogo na jāyata ityayuktamiti śaṅkate nanviti /	BogaH na jAyate iti ayuktam iti SaFkate nanu iti /
   bhogaḥ sāvaśeṣo jāta iti samādhatte bāḍhamityādinā /	BogaH sa avaSezaH jAtaH iti samADatte  bAXam ityAdinA /
