   sāṅkhyakārikā gauḍapādabhāṣya	sAFKya-kArikAH gOxa-pAda-BAzya
   jvarātīsārādi / mānasaṃ priyaviyogāpriyasaṃyogādi / ādhibhautikaṃ	jvara-atIsAra-Adi / mAnasam priya-viyoga-apriya-saMyoga-Adi / ADiBOtikam
   caturvidhaṃ - bhūtagrāmanimittaṃ	caturviDam  BUta-grAma-nimittam
   manuṣyapaśumṛgapakṣisarīsṛpadaṃśamaśakayūkāmatkuṇamatsyamakaragrāhasthāvarebhyo	manuzya-paSu-mRga-pakzi-sarIsRpa-daMSa-maSaka-yUkA-matkuNa-matsya-makara-grAha-sTAvareByaH-
   jarāyujāṇḍajasvedajodbhijjebhyaḥ sakāśādupajāyate / ādhidaivikaṃ -	jarAyu-jANxaja-sveda-ja-udBid-jeByaH sakASAt-upajAyate / ADidEvikam -
   devānāmidaṃ daivikam / divaḥ prabhavatīti vā daivaṃ tadadhikṛtya	devAnAm-idam dEvikam / divaH praBavati-iti vA dEvam tat-aDikRtya
   yadupajāyate śītoṣṇavātavarṣāśanipātādikam / evaṃ yathā	yat-upajAyate SIta-uzNa-vAta-varza-aSani-pAta-Adikam / evam yaTA
   duḥkhatrayābhijñātājjijñāsā kāryyā kva / tadabhighātake hetau / tasya	duHKa-traya-aBijQAtAt-jijQAsA kAryyA kva / tad-aBiGAtake hetO / tasya
   duḥkhatrayasya abhighātako yo 'sau hetustatreti / dṛṣṭe sāpārthā cet /	duHKa-trayasya aBiGAtakaH yaH asO hetuH-tatra-iti / dRzwe sA-apArTA ced /
   dṛṣṭe hetau duḥkhatrayābhighātake sā jijñāsāpārthā cedyadi /	dRzwe hetO duHKa-traya-aBiGAtake sA jijQAsA-apArTA ced-yadi /
   tatrādhyātmikasya dvividhasyāpi āyurvedaśāstrakriyayā	tatra-ADyAtmikasya dviviDasya-api Ayurveda-SAstra-kriyayA
   priyasamāgamāpriyaparihārakaṭutiktakaṣāyādikvāthādibhirdṛṣṭa eva	priya-samAgama-apriya-parihAra-kawu-tikta-kazAya-Adi-kvATa-AdiBiH-dRzwaH eva
   ādhyātmikopāyaḥ / ādhibhautikasya rakṣādinābhighāto dṛṣṭaḥ / dṛṣṭe	ADyAtmika-upAyaH / ADiBOtikasya rakzA-AdinA-aBiGAtaH dRzwaH / dRzwe
   sāpārthā cedevaṃ manyase / na / ekāntyātyantato 'bhāvāt / yata ekāntato	sa-apArTA ced-evam manyase / na / ekAntyA-atyantataH aBAvAt / yatas ekAntataH-
   'vaśyaṃ atyantato nityaṃ dṛṣṭena hetunābhighāto na bhavati tasmādanyatra	avaSyam atyantataH nityam dRzwena hetunA-aBiGAtaH na Bavati tasmAt-anyatra
   ekāntātyantābhighātake hetau jijñāsā vividiṣā kāryeti // 1 //	ekAnta-atyanta-aBiGAtake hetO jijQAsA vividizA kAryA-iti // 1 //
   yadi dṛṣṭānyatra jijñāsā kāryyā tato 'pi naiva yata ānuśraviko	yadi dRzwA-ani-atra jijQAsA kAryyA tatas api na-eva yatas AnuSravikaH-
   heturduḥkhatrayābhighātakaḥ / anuśravatītyanuśravastatrabhavaḥ ānuśravikaḥ	hetuH-duHKa-traya-aBiGAtakaH / anuSravati-iti-anuSravaH-tatraBavaH AnuSravikaH
   sa ca āgamātsiddhaḥ / yathā	sa ca AgamAt-sidDaH / yaTA
        apāma somamamṛtā abhūmāganma jyotiravidāma devān /	apAma somam-amRtAH aBUma-aganma jyotiH-avidAma devAn /
        kinnūnamasmān kṛṇavadarātiḥ kimu dhūrttiramṛtamartyasya //	kinnUnam-asmAn kRNava-t-arAtiH kimu DUrttiH-amRta-martyasya //
   kadācidindrādīnāṃ devānāṃ kalpa āsīt / kathaṃ vayamamṛtā abhūmeti	kadAcid-indra-AdInAm devAnAm kalpaH AsIt / kaTam vayam-amRtAH aBUma-iti
   vicāryyāmuṃ yasmādvayamapāma somaṃ pītavantaḥ somaṃ tasmādamṛtā abhūma	vicAryya-amum yasmAt-vayam-apAma somam pItavantaH somam tasmAt-amRtAH aBUma
   amarā bhūtavanta ityarthaḥ kiṃca aganma jyotiḥ gatavato labdhavato jyotiḥ	amarAH BUtavantaH iti-arTaH kiMca aganma jyotiH gatavataH labDavataH jyotiH
   svargamiti / avidāma devān divyān viditavantaḥ / evaṃ ca kinnūnamasmān	svargam-iti / avidAma devAn divyAn viditavantaH / evam ca kinnUnam-asmAn
   kṛṇavadarātiḥ nūnaṃ niścitaṃ kiṃ arātiḥ śatrurasmān kṛṇavat kartteti kimu	kRNava-t-arAtiH nUnam niScitam kim arAtiH SatruH-asmAn kRNavat karttA-iti kimu
   dhūrttiramṛtamartyasya dhūrttirjarā hiṃsā vā kiṃ kariṣyati amṛtamartyasya	DUrttiH-amRta-martyasya DUrttiH-jarA hiMsA vA kim karizyati amRta-martyasya
   / anyacca śrūyate ātyantikaṃ phalaṃ paśuvadhena / sarvvaṃllokāñjayati	/ anyat-ca SrUyate Atyantikam Palam paSu-vaDena / sarvvan=-lokAn-jayati
   mṛtyuṃ tarati pāpmānaṃ tarati brahmahatyāṃ tarati yo yo 'śvamedhena yajata	mRtyum tarati pApmAnam tarati brahma-hatyAm tarati yaH yaH aSvameDena yajata
   iti / ekāntātyantike eva vedokte apārthe 'vajijñāsā iti na / ucyate /	iti / ekAnta-Atyantike eva veda-ukte apArTe avajijQAsA iti naH / ucyate /
   dṛṣṭavadānuśravikaḥ sa hyaviśuddhikṣayātiśayayuktaḥ /	dRzwa-vat-AnuSravikaH sa hi-aviSudDi-kzaya-atiSaya-yuktaH /
   tadviparītaḥ śreyān vyaktāvyaktajñavijñānāt // ISk_2 //	tad-viparItaH SreyAn vyakta-avyakta-jQa-vijQAnAt // ISc-_2 //
   dṛṣṭavadānuśravika iti dṛṣṭena tulyo dṛṣṭavat / ko 'sau ānuśravikaḥ	dRzwa-vat-AnuSravikaH iti dRzwena tulyaH dRzwa-vat / kaH asO AnuSravikaH
   kasmātsa yasmādaviśuddhikṣayātiśayayuktaḥ / aviśuddhiyuktaḥ paśughātāt	kasmAt-sa yasmAt-aviSudDi-kzaya-atiSaya-yuktaH / aviSudDi-yuktaH paSu-GAtAt-
   tathā coktam /	taTA ca-uktam /
        ṣaṭ śatāni niyujyante paśunāṃ madhyame 'hani /	zax SatAni niyujyante paSunAm maDyame ahani /
        aśvamedhasya vacanādūnāni paśuhistribhiḥ //	aSvameDasya vacanAt-UnAni paSuhiH-triBiH //
   yadyapi śrutismṛtivihito dharmmastathāpi miśrībhāvādaviśuddhiyukta iti /	yadi-api Sruti-smRti-vihitaH DarmmaH-taTA-api miSrIBAvAt-aviSudDi-yuktaH iti /
   yathā	yaTA
        bahūnīndrasahasrāṇi devānāṃ ca yuge yuge /	bahUni-indra-sahasrANi devAnAm ca yuge yuge /
        kālena samatītāni kālo hi duratikramaḥ //	kAlena samatItAni kAlaH hi duratikramaH //
   evamindrādināśātkṣayayuktaḥ / tathātiśayo viśeṣastena yuktaḥ /	evam-indra-Adi-nASAt-kzaya-yuktaH / taTA-atiSayaH viSezaH-tena yuktaH /
   viśeṣaguṇādarśanāditarasya duḥkhaṃ syāditi / evamānuśraviko 'pi	viSeza-guNa-adarSanAt-itarasya duHKam syAt-iti / evam-AnuSravikaH api
   heturdṛṣṭavat / kastarhi śreyāniti cet / ucyate /	hetuH-dRzwa-vat / kaH-tarhi SreyAn-iti ced / ucyate /
   tadviparītaḥ śreyān tābhyāṃ dṛṣṭānuśravikābhyāṃ viparītaḥ śreyān	tad-viparItaH SreyAn tAByAm dRzwa-AnuSravikAByAm viparItaH SreyAn
   praśasyatara iti / aviśuddhikṣayātiśayāyuktatvāt / sa kathamityāha /	praSasyataraH iti / aviSudDi-kzaya-atiSaya-Ayukta-tvAt / sa kaTam-iti-Aha /
   vyaktāvyaktajñavijñānāt tatra vyaktaṃ mahadādibuddhirahaṃkāraḥ pañca	vyakta-avyakta-jQa-vijQAnAt tatra vyaktam mahat-Adi-budDiH-ahaMkAraH paQca
   tanmātrāṇi ekādaśendriyāṇi pañcamahābhūtāni / avyaktaṃ pradhānam / jñaḥ	tanmAtrANi ekAdaSa-indriyANi paQca-mahABUtAni / avyaktam praDAnam / jQaH
   puruṣaḥ / evametāni pañcaviṃśatitattvāni vyaktāvyaktajñāni kathyante	puruzaH / evam-etAni paQcaviMSati-tattvAni vyakta-avyakta-jQAni kaTyante
   etadvijñānācchreya ityuktaṃ ca pañcaviṃśatitattvajña iti // 2 //	etad-vijQAnAt-SreyaH iti-uktam ca paQcaviMSati-tattva-jQaH iti // 2 //
   atha vyaktāvyaktajñānāṃ ko viśeṣa ityucyate /	aTa vyakta-avyakta-jQAnAm kaH viSezaH iti-ucyate /
   mūlaprakṛtiravikṛtirmahadādyāḥ prakṛtivikṛtayaḥ sapta /	mUlaprakRtiH-avikRtiH-mahat-AdyAH prakRti-vikRtayaH sapta /
   ṣoḍaśakastu vikāro na prakṛtirna vikṛtiḥ puruṣaḥ // ISk_3 //	zoxaSakaH-tu vikAraH na prakRtiH-na vikRtiH puruzaH // ISc-_3 //
   mūlaprakṛtiḥ pradhānam / prakṛtivikṛtisaptakasya mūlabhūtatvāt / mūlaṃ ca	mUlaprakRtiH praDAnam / prakRti-vikRti-saptakasya mUla-BUta-tvAt / mUlam ca
   sā prakṛtiśca mūlaprakṛtiravikṛtiḥ / anyasmānnotpadyate tena prakṛtiḥ	sA prakRtiH-ca mUlaprakRtiH-avikRtiH / anyasmAt-na-utpadyate tena prakRtiH
   kasyacidvikāro na bhavati / mahadādyāḥ prakṛtivikṛtayaḥ sapta /	kasyacid-vikAraH na Bavati / mahat-AdyAH prakRti-vikRtayaH sapta /
   mahābhūtāditi buddhiḥ buddhyādyāḥ sapta buddhi 1 ahaṃkāraḥ 2	mahABUtAt-iti budDiH budDi-AdyAH sapta budDi 1 ahaMkAraH 2
   pañcatanmātrāṇi 5 etāni saptaprakṛtivikṛtayaḥ / tadyathā /	paQca-tanmAtrANi 5 etAni sapta-prakRti-vikRtayaH / tat-yaTA /
   pradhānādbuddhirutpadyate tena vikṛtiḥ pradhānasya vikāra iti	praDAnAt-budDiH-utpadyate tena vikRtiH praDAnasya vikAraH iti
   saivāhaṃkāramutpādayati ataḥ prakṛtiḥ / ahaṃkāro 'pi buddherutpadyata iti	sA-eva-ahaMkAram-utpAdayati atas prakRtiH / ahaMkAraH api budDeH-utpadyate iti
   vikṛtiḥ sa ca pañcatanmātrāṇyutpādayatīti prakṛtiḥ / tatra	vikRtiH sa ca paQca-tanmAtrANi-utpAdayati-iti prakRtiH / tatra
   śabdatanmātramahaṃkārādutpadyata iti vikṛtistasmādākāśamutpadyata iti	Sabda-tanmAtram-ahaMkArAt-utpadyate iti vikRtiH-tasmAt-AkASam-utpadyate iti
   prakṛtiḥ / tathā sparśatanmātramahaṃkārādutpadyata iti vikṛtistadevaṃ	prakRtiH / taTA sparSa-tanmAtram-ahaMkArAt-utpadyate iti vikRtiH-tat-evam
   vāyumutpādayatīti prakṛtiḥ / gandhatanmātramahaṃkārādutpadyata iti	vAyum-utpAdayati-iti prakRtiH / ganDa-tanmAtram-ahaMkArAt-utpadyate iti
   vikṛtistadevaṃ pṛthivīmutpādayatīti prakṛtiḥ /	vikRtiH-tat-evam pRTivIm-utpAdayati-iti prakRtiH /
   rūpatanmātramahaṃkārādutpadyata iti vikṛtistadevaṃ teja utpādayatīti	rUpa-tanmAtram-ahaMkArAt-utpadyate iti vikRtiH-tat-evam tejaH utpAdayati-iti
   prakṛtiḥ / rasatanmātramahaṃkārādutpadyata iti vikṛtistadevaṃ āpa	prakRtiH / rasa-tanmAtram-ahaMkArAt-utpadyate iti vikRtiH-tat-evam Apa
   utpādayatīti prakṛtiḥ / evaṃ mahadādyāḥ sapta prakṛtayo vikṛtayaśca /	utpAdayati-iti prakRtiH / evam mahat-AdyAH sapta prakRtayaH vikRtayaH-ca /
   ṣoḍaśakaśca vikāraḥ pañcabuddhīndriyāṇi pañcakarmmendriyāṇi ekādaśaṃ manaḥ	zoxaSakaH-ca vikAraH paQca-budDIndriyANi paQcakarmma-indriyANi ekAdaSam manaH
   pañcamahābhūtāni eṣa ṣoḍaśako gaṇo vikṛtireva / vikāro vikṛtiḥ / na	paQca-mahABUtAni eza zoxaSakaH gaNaH vikRtiH-eva / vikAraH vikRtiH / na
   prakṛtirna vikṛtiḥ puruṣaḥ // 3 //	prakRtiH-na vikRtiH puruzaH // 3 //
   evameṣāṃ vyaktāvyaktajñānāṃ trayāṇāṃ padārthānāṃ kaiḥ kiyadbhiḥ pramāṇaiḥ	evam-ezAm vyakta-avyakta-jQAnAm trayANAm padArTAnAm kEH kiyadBiH pramANEH
   kena kasya vā pramāṇena siddhirbhavati / iha loke prameyavastu pramāṇena	kena kasya vA pramANena sidDiH-Bavati / iha loke prameya-vastu pramANena
   sādhyate yathā prasthādibhirvrīhayastulayā candanādi / tasmāt	sADyate yaTA prasTa-AdiBiH-vrIhayaH-tulayA candana-Adi / tasmAt-
   pramāṇamabhidheyam /	pramANam-aBiDeyam /
   dṛṣṭamanumānamāptavacanaṃ ca sarvapramāṇasiddhatvāt /	dRzwam-anumAnam-Apta-vacanam ca sarva-pramANa-sidDa-tvAt /
   trividhaṃ pramāṇamiṣṭaṃ prameyasiddhiḥ pramāṇāddhi // ISk_4 //	triviDam pramANam-izwam prameya-sidDiH pramANAt-hi // ISc-_4 //
   dṛṣṭaṃ yathā śrotraṃ tvak cakṣurjihvā ghrāṇamiti pañcabuddhīndriyāṇi	dRzwam yaTA Srotram tvac cakzuH-jihvA GrANam-iti paQca-budDIndriyANi
   śabdasparśarūparasagandhā eṣāṃ pañcānāṃ pañcaiva viṣayā yathāsaṃkhyaṃ	Sabda-sparSa-rUpa-rasa-ganDAH ezAm paQcAnAm paQca-eva vizayAH yaTAsaMKyam
   śabdaṃ śrotraṃ tvak sparśaṃ cakṣū rūpaṃ jihvā rasaṃ ghrāṇaṃ gandhamiti /	Sabdam Srotram tvac sparSam cakzuH rUpam jihvA rasam GrANam ganDam-iti /
   etaddṛṣṭamityucyate pramāṇam / pratyakṣeṇānumānena va yo 'rtho na gṛhyate	etat-dRzwam-iti-ucyate pramANam / pratyakzeNa-anumAnena va yaH arTaH na gRhyate
   sa āptavacanādgrāhyaḥ / yathendroḥ devarājaḥ uttarāḥ kuravaḥ svarge	saH Apta-vacanAt-grAhyaH / yaTA-indroH devarAjaH uttarAH kuravaH svarge
   'psarasa ityādi / pratyakṣānumānāgrāhyamathāptavacanādgṛhyate / api coktam	apsarasaH ityAdi / pratyakza-anumAna-agrAhyam-aTa-Apta-vacanAt-gRhyate / api ca-uktam
        āgamo hyāptavacanamāptaṃ doṣakṣayādviduḥ /	AgamaH hi-Apta-vacanam-Aptam doza-kzayAt-viduH /
        kṣīṇadoṣo 'nṛtaṃ vākyaṃ na brūyāddhetvasambhavāt //	kzINa-dozaH anRtam vAkyam na brUyAt-hetu-asamBavAt //
        svakarmmaṇyabhiyukto yaḥ saṅgadveṣavivarjjitaḥ /	sva-karmmaNi-aBiyuktaH yaH saFga-dveza-vivarjjitaH /
        pūjitastadvidhairnityamāpto jñeyaḥ sa tādṛśaḥ //	pUjitaH-tadviDEH-nityam-AptaH jQeyaH sa tAdRSaH //
   eteṣu pramāṇeṣu sarvapramāṇāni siddhāni bhavanti / ṣaṭ pramāṇāni jaiminiḥ	etezu pramANezu sarva-pramANAni sidDAni Bavanti / zax pramANAni jEminiH
   / atha kāni tānyapramāṇāni / arthāpattiḥ sambhavaḥ abhāvaḥ pratibhā	/ aTa kAni tAni-apramANAni / arTApattiH samBavaH aBAvaH pratiBA
   aitihyaṃ upamānaṃ ceti ṣaṭ pramāṇāni / tatrārthāpattirdvividhā dṛṣṭā śrutā	Etihyam upamAnam ca-iti zax pramANAni / tatra-arTa-ApattiH-dviviDA dRzwA SrutA
   ca / tatra dṛṣṭā / ekasmin pakṣe ātmabhāvo gṛhītaścedanyasminnapyātmabhāvo	ca / tatra dRzwA / ekasmin pakze Atma-BAvaH gRhItaH-ced-anyasmin=-api-Atma-BAvaH-
   gṛhyata eva / śrutā yathā / divā devadatto na bhuṅkte atha ca pīno dṛśyate	gRhyate eva / SrutAH yaTA / divA devadattaH na BuFkte aTa ca pInaH dRSyate
   ato 'vagamyate rātrau bhuṅkta iti / sambhavo yathā / prastha ityukte	atas avagamyate rAtrO BuFkte iti / samBavaH yaTA / prasTaH iti-ukte
   catvāraḥ kuḍavāḥ sambhāvyante / abhāvo nāma /	catvAraH kuxavAH samBAvyante / aBAvaH nAma /
   prāgitaretarātyantasarvābhāvalakṣaṇaḥ / prāgabhāvo yathā devadattaḥ	prAk-itaretara-atyanta-sarva-aBAva-lakzaNaH / prAc-aBAvaH yaTA devadattaH
   kaumārayauvanādiṣu / itaretarābhāvaḥ paṭe ghaṭābhāvaḥ / atyantābhāvaḥ	kOmAra-yOvana-Adizu / itaretarABAvaH pawe Gawa-aBAvaH / atyanta-aBAvaH
   kharaviṣāṇavandhyāsutakhapuṣpavaditi / sarvābhāvaḥ pradhvaṃsābhāvo	Kara-vizANa-vanDyA-suta-Ka-puzpa-vat-iti / sarva-aBAvaH praDvaMsa-aBAvaH-
   dagdhapaṭavaditi / yathā śuṣkadhānyadarśanadvṛṣṭerabhāvo 'vagamyate /	dagDa-pawa-vat-iti / yaTA Suzka-DAnya-darSanadvRzweH-aBAvaH avagamyate /
   evamabhāvo 'nekadhā / pratibhā yathā / dakṣiṇena vindhyasya sahyasya ca	evam-aBAvaH anekaDA / pratiBA yaTA / dakziNena vinDyasya sahyasya ca
   yaduttaram / pṛthivyāmāsamudrāyāṃ sa pradeśo manoramaḥ / evamukte tasmin	yat-uttaram / pRTivI-AmAsa-mudrAyAm sa pradeSaH manoramaH / evam-ukte tasmin
   pradeśe śobhanāḥ guṇāḥ santīti pratibhotpadyate pratibhānvāsasaṃjñānamiti	pradeSe SoBanAH guNAH santi-iti pratiBA-utpadyate pratiBAn-vAsa-saMjQAnam-iti
   / aitihyaṃ yathā / bravīti loko yathātra vaṭe yakṣiṇī pravasatītyeva	/ Etihyam yaTA / bravIti lokaH yaTA-atra vawe yakziNI pravasati-iti-eva
   aitihyam / upamānaṃ yathā / gauriva gavayaḥ samudra iva taḍāgam / etāni	Etihyam / upamAnam yaTA / gOH-iva gavayaH samudraH iva taxAgam / etAni
   ṣaṭ pramāṇāni triṣu dṛṣṭādiṣvantarbhūtāni / tatrānumāne	zax pramANAni trizu dRzwa-Adizu-antarBUtAni / tatra-anumAne
   tāvadarthāpattirantarbhūtā / sambhavābhāvapratibhaitihyopamāścāptavacane /	tAvat-arTApattiH-antarBUtAH / samBava-aBAva-pratiBA-Etihya-upamAH-ca-Apta-vacane /
   tasmāttriṣveva sarvapramāṇasiddhatvāt trividhaṃ pramāṇamiṣṭaṃ tadāha tena	tasmAt-trizu-eva sarva-pramANa-sidDa-tvAt triviDam pramANam-izwam tat-Aha tena
   trividhena pramāṇena pramāṇasiddhirbhavatītita vākyaśeṣaḥ / prameyasiddhiḥ	triviDena pramANena pramANa-sidDiH-Bavati-itita vAkya-SezaH / prameya-sidDiH
   pramāṇāddhi / prameyaṃ pradhānaṃ buddhirahaṃkāraḥ pañcatanmātrāṇi	pramANAt-hi / prameyam praDAnam budDiH-ahaMkAraH paQca-tanmAtrANi
   ekādaśendriyāṇi pañcamahābhūtāni puruṣa iti etāni pañcaviṃśatitattvāni	ekAdaSa-indriyANi paQca-mahABUtAni puruzaH iti etAni paQcaviMSati-tattvAni
   vyaktāvyaktajñānyucyante / tatra kiñcit pratyakṣeṇa sādhyaṃ	vyakta-avyakta-jQAni-ucyante / tatra kiQcid pratyakzeNa sADyam
   kiñcidanumānena kiñcidāgameneti trividhaṃ pramāṇamuktaṃ // 4 //	kiQcid-anumAnena kiQcid-Agamena-iti triviDam pramANam-uktam // 4 //
   tasya kiṃ lakṣaṇametadāha /	tasya kim lakzaNam-etat-Aha /
   prativiṣayādhyavasāyo dṛṣṭaṃ trividhamanumānamākhyātam /	prativizaya-aDyavasAyaH dRzwam triviDam-anumAnam-AKyAtam /
   talliṅgaliṅgipūrvakamāptaśrutirāptavacanaṃ tu // ISk_5 //	tad-liFga-liFgi-pUrva-kam-Apta-SrutiH-Apta-vacanam tu // ISc-_5 //
   prativiṣayeṣu śrotrādināṃ śabdādiviṣayeṣu adhyavasāyo dṛṣṭaṃ	prativizayezu Srotra-AdinAm Sabda-Adi-vizayezu aDyavasAyaH dRzwam
   pratyakṣamityarthaḥ / trividhamanumānamākhyātaṃ śeṣavat pūrvavat sāmānyato	pratyakzam-iti-arTaH / triviDam-anumAnam-AKyAtam Sezavat pUrvavat sAmAnyatas-
   dṛṣṭaṃ ceti / pūrvamasyāstīti pūrvavad yathā meghonnatyā vṛṣṭiṃ sādhayati	dRzwam ca-iti / pUrvam-asya-asti-iti pUrvavat yaTA meGa-unnatyA vRzwim sADayati
   pūrvavṛṣṭitvāt / śeṣavadyathā samudrādekaṃ jalapalaṃ lavaṇamāsādya	pUrva-vRzwi-tvAt / Sezavat-yaTA samudrAt-ekam jala-palam lavaNam-AsAdya
   śeṣasyāpyasti lavaṇabhāva iti / sāmānyato dṛṣṭam / deśāntarāddeśāntaraṃ	Sezasya-api-asti lavaNa-BAvaH iti / sAmAnyatas dRzwam / deSa-antarAt-deSa-antaram
   prāptaṃ dṛṣṭam / gatimaccandratārakaṃ caitravat / yathā caitranāmānaṃ	prAptam dRzwam / gatimat-candra-tArakam cEtra-vat / yaTA cEtra-nAmAnam
   deśāntarāddeśāntaraṃ prāptamavalokya gatimānayāmīti tadvaccandratārakamiti	deSa-antarAt-deSa-antaram prAptam-avalokya gatim-AnayAmi-iti tadvat-candra-tArakam-iti
   tathā puṣpitāmradarśanādanyatrapuṣpitāmrā iti sāmānyato dṛṣṭena sādhayati	taTA puzpita-Amra-darSanAt-anyatrapuzpita-AmrAH iti sAmAnyatas dRzwena sADayati
   / etatsāmānyadṛṣṭam /	/ etad-sAmAnya-dRzwam /
   kiñca talliṅgaliṅgipūrvakamiti tadanumānaṃ liṅgapūrvakaṃ yatra liṅgena	kiQca tad-liFga-liFgi-pUrvakam-iti tad-anumAnam liFga-pUrvakam yatra liFgena
   liṅgī anumīyate yathā daṇḍena yatiḥ / liṅgipūrvakaṃ ca yatra liṅginā	liFgI anumIyate yaTA daNxena yatiH / liFgi-pUrvakam ca yatra liFginA
   liṅgamanumīyate yathā dṛṣṭvā yatimasyedaṃ tridaṇḍamiti /	liFgam-anumIyate yaTA dRzwvA yatimasya-idam tridaNxam-iti /
   āptaśrutirāptavacanaṃ ca / āptā ācāryyā brahmādayaḥ / śrutirvedaḥ /	Apta-SrutiH-Apta-vacanam ca / AptAH AcAryyAH brahma-AdayaH / SrutiH-vedaH /
   āptaśca śrutiśca āptaśrutī taduktamāptavacanamiti // 5 //	AptaH-ca SrutiH-ca Apta-SrutI tat-uktam-Apta-vacanam-iti // 5 //
   evaṃ trividhaṃ pramāṇamuktaṃ tatra kena pramāṇena kiṃ sādhyamucyate /	evam triviDam pramANam-uktam tatra kena pramANena kim sADyam-ucyate /
   sāmānyatastu dṛṣṭādatīndriyāṇāṃ prasiddhiranumānāt /	sAmAnyatas-tu dRzwAt-ati-indriyANAm prasidDiH-anumAnAt /
   tasmādapi cāsiddhaṃ parokṣamāptāgamātsiddham // ISk_6 //	tasmAt-api ca-asidDam parokzam-Apta-AgamAt-sidDam // ISc-_6 //
   sāmānyato dṛṣṭādanumānādatīndriyāṇamindriyāṇyatītyavarttamānānāṃ siddhiḥ	sAmAnyatas dRzwAt-anu-mAnAt-ati-indriyANam-indriyANi-atIti-avarttamAnAnAm sidDiH
   pradhānapuruṣāvatīndriyau sāmānyato dṛṣṭenānumānena sādhyete	praDAna-puruzO=-ati-indriyO sAmAnyatas dRzwena-anumAnena sADyete
   yasmānmahadādiliṅgaṃ triguṇam / yasyedaṃ triguṇaṃ kāryaṃ tatpradhānamiti /	yasmAt-mahat-Adi-liFgam triguNam / yasya-idam triguNam kAryam tat-praDAnam-iti /
   yataścātenaṃ cetanamivābhāti ato 'nyo 'dhiṣṭhātā puruṣa iti / vyaktaṃ	yatas-ca-Atenam cetanam-iva-ABAti atas anyaH aDizWAtA puruzaH iti / vyaktam
   pratyakṣasādhyam / tasmādapi cāsiddhaṃ parokṣamāptāgamāt siddhaṃ yathendro	pratyakza-sADyam / tasmAt-api ca-asidDam parokzam-Apta-AgamAt sidDam yaTA-indraH-
